,Type,Dimensions,Messaging,Model Image,_1,Bluetooth,3.5mm jack,SIM,EDGE,Video,Brand,Phonebook,Status,Resolution,Sensors,WLAN,Single,Infrared port,Price,Alert types,Browser,USB,Internal,Talk time,Card slot,Colors,3G bands,Loudspeaker,Single_1,Games,Radio,Type_1,Call records,2G bands,Size,Weight,Announced,Model Name,_2,Technology,Stand-by,Video_1,Features,GPRS,Positioning,Java,_3,Speed
"Second external CSTN display, 65K colors (96 x 64 pixels)Downloadable pictures","CSTN, 65K colors",76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1100.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,"Yes, Photocall",Cancelled,128 x 143 pixels,,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,,,,No,"Pastel Pink, Black",,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800,,71.4 g (2.50 oz),"2006, February",VK Mobile VK1100,MP3 playerPredictive text inputOrganizerPC Sync,GSM,,,,Class 10,No,No,,
"Second external CSTN display, 65K colors (96 x 64 pixels)Downloadable pictures","STN, 65K colors",76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1020.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,"Yes, Photocall",Discontinued,128 x 143 pixels,,No,VGA,Yes,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,,,,microSD (dedicated slot),"Silver, Purple",,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 850 / 900 / 1800 / 1900,,,"2005, Q4",VK Mobile VK1020,MP3 playerPredictive text inputOrganizer,GSM,,,,Class 10,No,No,,
"Second external CSTN display, 65K colors (96 x 64 pixels)Downloadable pictures","STN, 65K colors",76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1010.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,"Yes, Photocall",Discontinued,128 x 143 pixels,,No,VGA,Yes,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,,,,microSD (dedicated slot),"Green, Red",,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 850 / 900 / 1800 / 1900,,,"2005, Q4",VK Mobile VK1010,MP3 playerPredictive text inputOrganizer,GSM,,,,Class 10,No,No,,
"Second external CSTN display, 65K colors (96 x 64 pixels)Downloadable pictures","STN, 65K colors",76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1000.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,"Yes, Photocall",Discontinued,128 x 143 pixels,,No,VGA,Yes,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,,,,microSD (dedicated slot),"Pink, Orange, Black",,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 850 / 900 / 1800 / 1900,,,"2005, Q4",VK Mobile VK1000,MP3 playerPredictive text inputOrganizer,GSM,,,,Class 10,No,No,,
GSM 850 / 1900 - US version,"STN, 65K colors",89.9 x 49.9 x 8.8 mm (3.54 x 1.96 x 0.35 in),"SMS, EMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2000.gif,Downloadable pictures and animations,No,No,Mini-SIM,No,,VK_Mobile,500 entries,Discontinued,128 x 143 pixels,,No,,,,Vibration; Downloadable monophonic ringtones,WAP 2.0/xHTML,No,,Up to 2 h,No,Black,,No,,1 - Bulbmon,No,Removable Li-Po (VKST-2000),"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800,,48 g (1.69 oz),"2005, Q3",VK Mobile VK2000,No,GSM,Up to 72 h,,,Class 10,No,No,Predictive text inputOrganizerStopwatch,
"Second external display, 65K colors (96 x 64 pixels)","TFT, 256K colors",85 x 44 x 21 mm (3.35 x 1.73 x 0.83 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-e100.gif,No,No,No,Mini-SIM,No,Yes,VK_Mobile,Yes,Discontinued,176 x 220 pixels,,No,1.3 MP,,,Vibration; Downloadable polyphonic ringtones,WAP,,64MB,,No,"Silver, Blue, White",,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800 / 1900,,88 g (3.10 oz),"2005, Q3",VK Mobile E100,Predictive text inputMP3 playerOrganizer,GSM,,,,Yes,No,Yes,,
"Second external CSTN display, 65K colors (96 x 64 pixels)","CSTN, 65K colors",76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk570.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,Yes,Discontinued,128 x 143 pixels,,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 1.2.1,,,,No,"Black, Silver",,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800,,75 g (2.65 oz),"2005, Q3",VK Mobile VK570,Predictive text inputOrganizerBio Rhythm,GSM,,,,Yes,No,No,,
No,"TFT, 65K colors",89 x 45.5 x 26 mm (3.50 x 1.79 x 1.02 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk700.gif,MP4/MP3 playerFunny photo transformation applicationPredictive text input,No,No,Mini-SIM,No,Yes,VK_Mobile,"500 entries, Photo call",Discontinued,128 x 160 pixels,,No,1.3 MP,Yes,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,Proprietary,64MB,Up to 3 h,No,"Silver, Blue",,No,,Yes,No,Removable Li-Ion 810 mAh battery,"20 dialed, 20 received, 20 missed calls, 20 temp calls",GSM 900 / 1800,,93 g (3.28 oz),"2005, Q2",VK Mobile VK700,,GSM,Up to 200 h,,LED flash,Class 10,No,"Yes, MIDP 2.0",,
ScreensaverDownloadable pictures,"TFT, 256K colors",90 x 45 x 24.5 mm (3.54 x 1.77 x 0.96 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vk900.gif,No,No,No,Mini-SIM,No,Yes,VK_Mobile,"500 entries, Photo call",Discontinued,176 x 220 pixels,,No,1.3 MP,Yes,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,Proprietary,60MB,Up to 4 h,MiniSD,"Silver, Black, White",,No,,Yes,No,Removable Li-Ion 880 mAh battery,"20 dialed, 20 received, 20 missed calls",GSM 900 / 1800 / 1900,,102 g (3.60 oz),"2004, Q4",VK Mobile VK900,IrRC (Remote Control Function)MP3 playerFunny photo transformation applicationPredictive text inputOrganizer,GSM,Up to 200 h,,LED flash,Class 10,No,"Yes, MIDP 2.0",,
Second external display 65K colors (96 x 64 pixels),"TFT, 256K colors",79 x 44 x 23.7 mm (3.11 x 1.73 x 0.93 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vk800.gif,No,No,No,Mini-SIM,No,Yes,VK_Mobile,"500 entries, Photo call",Discontinued,128 x 143 pixels,,No,1.3 MP,,,"Vibration; Downloadable polyphonic, MP3 ringtones",WAP 2.0/xHTML,Proprietary,,,No,"White, Silver, Red",,No,,Yes,No,Removable Li-Ion 720 mAh battery,"20 dialed, 20 received, 20 missed calls",GSM 900 / 1800,,79 g (2.79 oz),"2005, Q1",VK Mobile VK800,MP3 playerOrganizer,GSM,,,,Class 10,No,"Yes, MIDP 2.0",,
GSM 850 / 1900 - US version,"STN, 65K colors",76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vk530.gif,"Second external STN display, 65K colors (96 x 64 pixels)",No,No,Mini-SIM,No,No,VK_Mobile,400 entries,Discontinued,128 x 143 pixels,,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 1.2.1,,,,No,"Pink, Lilac",,No,,Yes,No,Removable Li-Ion 720 mAh battery,"20 dialed, 20 received, 20 missed calls",GSM 900 / 1800,,75 g (2.65 oz),"2004, Q3",VK Mobile VK530,No,GSM,,,,Class 8,No,No,Predictive text inputPC SyncBiorhythmOrganizer,
No,"TFT, 65K colors",84 x 43 x 22.5 mm (3.31 x 1.69 x 0.89 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vk610.gif,Predictive text inputOrganizer,No,No,Mini-SIM,No,No,VK_Mobile,500 entries,Discontinued,128 x 160 pixels,,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 2.0/xHTML,,,Up to 4 h,No,"Dark Blue, Orange",,No,,Yes,No,Removable Li-Ion 720 mAh battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800,,83.5 g (2.93 oz),"2004, Q3",VK Mobile VK610,,GSM,Up to 150 h,,LED flash,Class 8,No,No,,
"Second external CSTN display, 65K colors (96 x 64 pixels)","CSTN, 65K colors",76 x 44 x 19 mm (2.99 x 1.73 x 0.75 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vk580.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,Yes,Discontinued,128 x 143 pixels,,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 1.2.1,,,,No,Silver,,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800,,75 g (2.65 oz),"2004, Q3",VK Mobile VK580,Predictive text inputOrganizerBio Rhythm,GSM,,,,Yes,No,No,,
"Second external CSTN display, 65K colors (96 x 64 pixels)","CSTN, 65K colors",76 x 44 x 19 mm (2.99 x 1.73 x 0.75 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vk560.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,Yes,Discontinued,128 x 143 pixels,,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 1.2.1,,,,No,Silver,,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800,,75 g (2.65 oz),"2004, Q3",VK Mobile VK560,Predictive text inputOrganizerBio Rhythm,GSM,,,,Class 10,No,No,,
"Second external CSTN display, 65K colors (96 x 64 pixels)","TFT, 65K colors",79.5 x 42.5 x 21.5 mm (3.13 x 1.67 x 0.85 in),"SMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vk540.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,Yes,Discontinued,128 x 160 pixels,,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 1.2.1,,,,No,Blue,,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800,,,"2004, Q2",VK Mobile VK540,Predictive text inputOrganizerBio Rhythm,GSM,,,,Class 10,No,No,,
"Second external CSTN display, 65K colors (96 x 64 pixels)","CSTN, 65K colors",76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),"SMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vk520.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,Yes,Discontinued,128 x 143 pixels,,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 1.2.1,,,,No,Blue,,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800,,,"2004, Q2",VK Mobile VK520,Predictive text inputOrganizerBio Rhythm,GSM,,,,Class 10,No,No,,
"Second external CSTN display, 65K colors (96 x 64 pixels)","TFT, 65K colors",79.5 x 42.5 x 21.5 mm (3.13 x 1.67 x 0.85 in),"SMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/vk500.gif,No,No,No,Mini-SIM,No,No,VK_Mobile,Yes,Discontinued,128 x 160 pixels,,No,VGA,,,Vibration; Downloadable polyphonic ringtones,WAP 1.2.1,,,,No,Blue,,No,,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800,,,"2004, Q2",VK Mobile VK500,Predictive text inputOrganizerBio Rhythm,GSM,,,,Class 10,No,No,,
