Unnamed: 0,CPU,Single,Internal,Talk time,Model Image,SIM,WLAN,Price,Dimensions,128GB 6GB RAM,128GB 8GB RAM,Dual,Model Name,NFC,Infrared port,Quad,OS,128GB 4GB RAM,SAR EU,4G bands,USB,Video,5G bands,Size,Speed,Card slot,3G bands,2G bands,Positioning,Announced,Type,Type_1,Video_1,GPRS,256GB 8GB RAM,Build,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Music play,Models,Loudspeaker,Single_1,_1,Charging,Features_1,EDGE,GPU,_2,3.5mm jack,Resolution,Protection,Stand-by,Brand,Triple,URL,Image
,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"16 MP, f/2.0, (wide), 1.0µm",256GB 8GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-agni2-5g.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 220 EUR,164.2 x 74.7 x 8.8 mm (6.46 x 2.94 x 0.35 in),,,,Lava Agni 2,No,,"50 MP, f/1.9, (wide), 1/1.55"", 1.0µm, PDAF8 MP, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",Android 13,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG","4K@30fps, 1080p@30fps","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA","6.78 inches, 111.0 cm2(~90.5% screen-to-body ratio)","HSPA, LTE, 5G",No,HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS, GALILEO, BDS, QZSS","2023, May 16","AMOLED, 1B colors, 120Hz, HDR10+, 950 nits (HBM)",Li-Po 4700 mAh,1080p@30fps,,,,"5.2, A2DP, LE",Unspecified,Mediatek Dimensity 7050 (6 nm),"Dual-LED flash, HDR","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE / 5G,"Blue, Purple, Gray",210 g (7.41 oz),"Available. Released 2023, May 24",,,Yes,,,"66W wired, 50% in 16 min",,,Mali-G68 MC4,,No,"1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",,,Lava,,,
UFS 2.2,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"8 MP, (wide)",128GB 6GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-1x-5g.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,,165.3 x 76.4 x 8.9 mm (6.51 x 3.01 x 0.35 in),,,,Lava Blaze 1X,No,,,Android 12,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG","1440p@30fps, 1080p@30fps","1, 3, 5, 8, 28, 41, 41, 77, 78 SA/NSA/Sub6","6.5 inches, 102.0 cm2(~80.8% screen-to-body ratio)","HSPA, LTE, 5G",microSDXC (uses shared SIM slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2023, April 27","IPS LCD, 90Hz",Li-Po 5000 mAh,Yes,,,,"5.1, A2DP, LE",FM radio,Mediatek Dimensity 700 (7 nm),"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE / 5G,"Glass Blue, Glass Green",207 g (7.30 oz),"Available. Released 2023, June 14",,,Yes,,,15W wired,,,Mali-G57 MC2,,Yes,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,Lava,"50 MP, (wide), AF2 MP0.3 MP",,
UFS 2.2,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"8 MP, (wide)",128GB 6GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-2.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 100 EUR,165 x 76.1 x 8.6 mm (6.50 x 3.00 x 0.34 in),,,"13 MP, (wide), AF2 MP",Lava Blaze 2,No,,,Android 12,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.5 inches, 102.0 cm2(~81.2% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2023, April 10","IPS LCD, 90Hz",Li-Po 5000 mAh,Yes,,,,"5.0, A2DP, LE",FM radio,Unisoc Tiger T616 (12 nm),LED flash,"Fingerprint (side-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Glass Blue, Glass Black, Glass Orange",203 g (7.16 oz),"Available. Released 2023, April 18",,LZX409,Yes,,,18W wired,,,Mali-G57 MP1,,Yes,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,Lava,,,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),5 MP,64GB 4GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-2-pro.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 90 EUR,164.5 x 76 x 9 mm (6.48 x 2.99 x 0.35 in),,,,Lava Yuva 2 Pro,No,,,Android 12,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.52 inches, 102.6 cm2(~82.1% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2023, February 22",IPS LCD,Li-Po 5000 mAh,Yes,,,,"5.1, A2DP, LE",FM radio,Mediatek MT6765 Helio G37 (12 nm),LED flash,"Fingerprint (side-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Glass Lavender, Glass Green, Glass White",204 g (7.20 oz),"Available. Released 2023, February 22",,LZX408,Yes,,,10W wired,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,"13 MP, (wide), AFVGAVGA",,
eMMC 5.1,Quad-core 2.0 GHz Cortex-A53,5 MP,32GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-x3-2022.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 80 EUR,164.6 x 75.8 x 9.2 mm (6.48 x 2.98 x 0.36 in),,,8 MPQVGA,Lava X3,No,,,Android 12 (Go edition),,,"1, 3, 5, 8, 40, 41",USB Type-C,1080p@30fps,,"6.52 inches, 102.6 cm2(~82.3% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2022, December 22",IPS LCD,Li-Po 4000 mAh,,,,"Glass front, plastic back, plastic frame","5.1, A2DP, LE",FM radio,Mediatek MT6761 Helio A22 (12 nm),"LED flash, HDR","Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Black, Green, Blue",210 g (7.41 oz),"Available. Released 2022, December 27",,,Yes,,,10W wired,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,,,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),8 MP,64GB 4GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-nxt.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 110 EUR,164.8 x 76.3 x 8.9 mm (6.49 x 3.00 x 0.35 in),,,,Lava Blaze Nxt,No,,,Android 12,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.52 inches, 102.6 cm2(~81.6% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2022, November 25",IPS LCD,Li-Ion 5000 mAh,Yes,,,,"5.0, A2DP, LE",FM radio,Mediatek MT6765 Helio G37 (12 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Glass Blue, Glass Red, Glass Green",203.5 g (7.20 oz),"Available. Released 2022, December 02",,,Yes,,,10W wired,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,"13 MP, (wide), AF2 MPVGA",,
eMMC 5.1,,"13 MP, (wide), AF0.08 MP (auxiliary lens)0.08 MP (auxiliary lens)",32GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-pro.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 100 EUR,164.4 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in),,,,Lava Yuva Pro,No,,,Android 12,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.52 inches, 102.6 cm2(~82.4% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2022, October 11",IPS LCD,Li-Po 5000 mAh,Yes,,,,"5.0, A2DP, LE",FM radio,,LED flash,"Fingerprint (side-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Metallic Black, Metallic Blue, Metallic Grey",191 g (6.74 oz),"Available. Released 2022, October 11",,LIX402,Yes,8 MP,,10W wired,,,,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,,,
UFS 2.2,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"8 MP, f/2.0, (wide)","128GB 4GB RAM, 128GB 6GB RAM",,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-5g.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 130 EUR,165.3 x 76.4 x 8.9 mm (6.51 x 3.01 x 0.35 in),,,,Lava Blaze 5G,No,,,Android 12,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,SA/NSA,"6.52 inches, 102.6 cm2(~81.3% screen-to-body ratio)","HSPA, LTE, 5G",microSDXC (uses shared SIM slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2022, October 3","IPS LCD, 90Hz",Li-Po 5000 mAh,Yes,,,,"5.0, A2DP, LE",FM radio,Mediatek Dimensity 700 (7 nm),"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity",GSM / HSPA / LTE / 5G,"Green, Blue",207 g (7.30 oz),"Available. Released 2022, October 24",,LXX503,Yes,,,10W wired,,,Mali-G57 MC2,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,"50 MP, (wide), 0.64µm, AF2 MP, (macro)0.3 MP",,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"8 MP, f/2.0, (wide)",64GB 4GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-pro.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 130 EUR,164.8 x 76.3 x 8.9 mm (6.49 x 3.00 x 0.35 in),,,,Lava Blaze Pro,No,,,Android 12,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.52 inches, 102.6 cm2(~81.6% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2022, September 20","IPS LCD, 90Hz",Li-Po 5000 mAh,Yes,,,,"5.0, A2DP, LE",FM radio,Mediatek MT6765V/CB Helio G37 (12 nm),LED flash,"Fingerprint (side-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Gold, Green, Blue, Orange",187 g (6.60 oz),"Available. Released 2022, September 20",,LZX404,Yes,,,10W wired,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,"50 MP, (wide), 0.64µm, AF2 MP, (macro)VGA",,
eMMC 5.1,Quad-core 2.0 GHz Cortex-A53,"13 MP, (wide), AF0.08 MP (auxiliary lens)0.08 MP (auxiliary lens)",64GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n/ac,About 110 EUR,164.8 x 76.3 x 8.9 mm (6.49 x 3.00 x 0.35 in),,,,Lava Blaze,No,,,Android 12,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.52 inches, 102.6 cm2(~81.6% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2022, July 07",IPS LCD,Li-Po 5000 mAh,Yes,,,,"5.0, A2DP, LE",FM radio,Mediatek MT6761 Helio A22 (12 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Green, Red, Black, Blue",-,"Available. Released 2022, July 14",,"LZX403, LZX411",Yes,"8 MP, (wide)",,,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,,,
eMMC 5.1,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"5 MP, f/2.2, (wide)",32GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z3-pro.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",About 80 EUR,164.5 x 75.8 x 8.9 mm (6.48 x 2.98 x 0.35 in),,,"8 MP, f/2.0, (wide), 1.12µm, AFQVGA",Lava Z3 Pro,No,,,Android 11,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.52 inches, 102.6 cm2(~82.3% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2022, May 18",IPS LCD,Li-Po 5000 mAh,,,,"Glass front, plastic back, plastic frame","5.0, A2DP, LE",FM radio,Mediatek MT6762D Helio A25 (12 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Blue, Dark Blue",192 g (6.77 oz),"Available. Released 2022, May 18",,,Yes,,,,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,,,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"5 MP, f/2.2, (wide)",32GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z3.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",About 90 EUR,164.5 x 75.8 x 8.9 mm (6.48 x 2.98 x 0.35 in),,,"8 MP, f/2.0, (wide), 1.12µm, AFQVGA",Lava Z3,No,,,Android 11,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.52 inches, 102.6 cm2(~82.3% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2022, February 26",IPS LCD,Li-Po 5000 mAh,,,,"Glass front, plastic back, plastic frame","5.0, A2DP, LE",FM radio,Mediatek MT6765G Helio G35 (12 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Blue, Cyan",-,"Available. Released 2022, March",,LZG403 25,Yes,,,,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,Lava,,,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"5 MP, f/2.2, (wide)",32GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-x2.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 80 EUR,165 x 76 x 9 mm (6.50 x 2.99 x 0.35 in),,,"8 MP, f/2.0, (wide), 1.12µm, AFQVGA",Lava X2,No,,,Android 11 (Go edition),,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,,"6.5 inches, 102.0 cm2(~81.3% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2022, March 04",IPS LCD,Li-Po 5000 mAh,,,,"Glass front, plastic back, plastic frame","5.0, A2DP, LE",FM radio,Mediatek MT6765G Helio G35 (12 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Blue, Cyan",192 g (6.77 oz),"Available. Released 2022, March 12",,,Yes,,,,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,Lava,,,
,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"16 MP, f/2.0, (wide)",128GB 8GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-agni-5g.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 210 EUR,168.8 x 76.8 x 9.1 mm (6.65 x 3.02 x 0.36 in),,,,Lava Agni 5G,No,,"64 MP, f/1.8, (wide), 0.7µm, AF5 MP, 115˚, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",Android 11,,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",1080p@30fps,"41, 77, 78 SA/NSA","6.78 inches, 109.2 cm2(~84.2% screen-to-body ratio)","HSPA, LTE, 5G",microSDXC (uses shared SIM slot),HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900,"GPS, GLONASS","2021, November 09","IPS LCD, 90Hz",Li-Po 5000 mAh,1080p@30fps,,,,"5.1, A2DP, LE",FM radio,Mediatek Dimensity 810 (6 nm),"Dual-LED flash, HDR","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE / 5G,Fiery Blue,204 g (7.20 oz),"Available. Released 2021, November 18",,LXX501,Yes,,,33W wired,,,Mali-G57 MC2,,Yes,1080 x 2460 pixels (~396 ppi density),Corning Gorilla Glass 3,,Lava,,,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"8 MP, f/2.0, (wide), 1.12µm, AF",32GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z2s.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 80 EUR,164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in),,,,Lava Z2s,No,,,Android 11 (Go edition),,,"1, 3, 5, 8, 40, 41",USB Type-C,1080p@30fps,,"6.51 inches, 102.3 cm2(~82.1% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2021, January 07",IPS LCD,Li-Po 5000 mAh,1080p@30fps,,,"Glass front, plastic back, plastic frame","5.0, A2DP, LE",FM radio,Mediatek MT6765G Helio G35 (12 nm),LED flash,Accelerometer,GSM / HSPA / LTE,Striped Blue,190 g (6.70 oz),"Available. Released 2021, January 11",,,Yes,"5 MP, f/2.2, (wide)",,,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Corning Gorilla Glass 3,,Lava,,,
eMMC 5.1,Quad-core 1.8 GHz,"8 MP, f/2.0, (wide), 1.12µm",32GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z2-max.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 90 EUR,174.7 x 78.6 x 9.1 mm (6.88 x 3.09 x 0.36 in),,,"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF2 MP, f/2.4, (depth)",Lava Z2 Max,No,,,Android 10 (Go edition),,,"1, 3, 5, 8, 40, 41","USB Type-C 2.0, OTG",720p@30fps,,"7.0 inches, 116.4 cm2(~84.7% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900,GPS,"2021, May 11",IPS LCD,Li-Po 6000 mAh,,,,"Glass front, plastic back, plastic frame","5.0, A2DP, LE",FM radio,,LED flash,Accelerometer,GSM / HSPA / LTE,"Stroked Blue, Stroked Cyan",216 g (7.62 oz),"Available. Released 2021, May 11",,LS0001,Yes,,,,,,,,Yes,720 x 1640 pixels (~256 ppi density),Corning Gorilla Glass 3,,Lava,,,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"16 MP, f/2.0, (wide), 1/3.06"" 1.0µm",64GB 6GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z6.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 110 EUR,164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in),,,,Lava Z6,No,,,Android 10,,,"1, 3, 5, 8, 40, 41",USB Type-C,1080p@30fps,,"6.51 inches, 102.3 cm2(~82.1% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2021, January 07",IPS LCD,Li-Po 5000 mAh,1080p@30fps,,,"Glass front, plastic back, plastic frame","5.0, A2DP, LE",FM radio,Mediatek MT6765G Helio G35 (12 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Blue, Red",190 g (6.70 oz),"Available. Released 2021, January 11",,LMX06,Yes,,,,LED flash,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Corning Gorilla Glass 3,,Lava,"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF5 MP, (ultrawide)2 MP, f/2.4, (depth)",,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"16 MP, f/2.0, (wide), 1/3.06"" 1.0µm",64GB 4GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z4.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 100 EUR,164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in),,,,Lava Z4,No,,,Android 10,,,"1, 3, 5, 8, 40, 41",USB Type-C,1080p@30fps,,"6.51 inches, 102.3 cm2(~82.1% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2021, January 07",IPS LCD,Li-Po 5000 mAh,1080p@30fps,,,"Glass front, plastic back, plastic frame","5.0, A2DP, LE",FM radio,Mediatek MT6765G Helio G35 (12 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Blue, Red",190 g (6.70 oz),"Available. Released 2021, January 11",,,Yes,,,,LED flash,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Corning Gorilla Glass 3,,Lava,"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF5 MP, (ultrawide)2 MP, f/2.4, (depth)",,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"8 MP, f/2.0, (wide)",32GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z2.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 80 EUR,164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in),,,"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF2 MP, f/2.4, (depth)",Lava Z2,No,,,Android 10 (Go edition),,,"1, 3, 5, 8, 40, 41",USB Type-C,1080p@30fps,,"6.51 inches, 102.3 cm2(~82.1% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2021, January 07",IPS LCD,Li-Po 5000 mAh,1080p@30fps,,,"Glass front, plastic back, plastic frame","5.0, A2DP, LE",FM radio,Mediatek MT6765G Helio G35 (12 nm),LED flash,"Fingerprint (rear-mounted), accelerometer",GSM / HSPA / LTE,"Blue, Red",190 g (6.70 oz),"Available. Released 2021, January 11",,LMG02,Yes,,,,,,PowerVR GE8320,,Yes,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Corning Gorilla Glass 3,,Lava,,,
eMMC 5.1,Quad-core 1.8 GHz Cortex-A53,"5 MP, f/2.2",16GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z1.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 60 EUR,145.1 x 73.3 x 10.3 mm (5.71 x 2.89 x 0.41 in),,,,Lava Z1,No,,,Android 10 (Go edition),,,"1, 3, 5, 8, 40, 41",microUSB,720p@30fps,,"5.0 inches, 68.9 cm2(~64.8% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2021, January 07",TFT LCD,"Li-Po 3100 mAh, removable",720p,,,"Glass front, plastic back, plastic frame","5.0, A2DP, LE",FM radio,Mediatek MT6761 Helio A20 (12 nm),LED flash,Accelerometer,GSM / HSPA / LTE,"Blue, Red",175 g (6.17 oz),"Available. Released 2021, January 26",,LS000Z1,Yes,"5 MP, f/2.2",,,,,PowerVR GE8320,,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Corning Gorilla Glass 3,,Lava,,,
eMMC 5.1,Octa-core 1.6 GHz processor,"8 MP, f/2.0, (wide), 1.12µ",16GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z61-pro.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 70 EUR,147 x 71.8 x 9.2 mm (5.79 x 2.83 x 0.36 in),,,,Lava Z61 Pro,No,,,Android 9.0 (Pie),,,"1, 3, 5, 8, 40, 41","microUSB 2.0, OTG",1080p@30fps,,"5.45 inches, 76.7 cm2(~72.6% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,"GPS, GLONASS","2020, July 09",TFT LCD,Li-Po 3100 mAh,,,,"Glass front, plastic back, plastic frame","4.2, A2DP, LE",FM radio,,"LED flash, HDR, panorama","Accelerometer, proximity",GSM / HSPA / LTE,"Midnight Blue, Amber Red",160 g (5.64 oz),"Available. Released 2020, July",,,Yes,"5 MP, f/2.2, (wide), 1.12µ",,"5W, 100% in 3h 30 min",LED flash,,,,Yes,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,,Lava,,,
