Speed,Loudspeaker,,EDGE,GPRS,Card slot,Features,CPU,Sensors,Model Image,Type_1,Talk time,OS,Dual,Bluetooth,SIM,2G bands,Internal,_1,Video_1,Positioning,Radio,Dual_1,Phonebook,Games,Model Name,Weight,5G bands,Video,Triple,Charging,Messaging,3G bands,Call records,Status,_2,SAR,NFC,3.5mm jack,Single_1,WLAN,Price,_3,GPU,Build,4G bands,Chipset,Resolution,Technology,Single,Announced,Brand,USB,Colors,Java,Features_1,Dimensions,Stand-by,Type,Size,No,Protection
"HSPA, LTE",Yes,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",,,microSDHC,LED flash,Quad-core 1.5 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e242s-plus.jpg,2000 mAh battery,,KaiOS 2.X,,"4.0, A2DP",Nano-SIM + Micro-SIM,GSM 850 / 900 / 1800 / 1900,4GB 512MB RAM,,,GPS,FM radio,,,,Energizer E242s+,116 g (4.09 oz),,Yes,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2024, January",,,No,Yes,,Yes,About 30 EUR,,PowerVR GE8100,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",Mediatek MT6739,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA / LTE,2 MP,"2024, January",Energizer,microUSB,Black,,,130.8 x 53.6 x 13 mm (5.15 x 2.11 x 0.51 in),,"TFT LCD, 256K colors","2.4 inches, 17.8 cm2(~25.4% screen-to-body ratio)",1.3 MP,
"HSPA, LTE",Yes,No,,,microSDHC,LED flash,Single-core 1 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e244s.jpg,1400 mAh battery,,,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,,Energizer E244s,91 g (3.21 oz),,No,,,SMS,HSDPA 850 / 900 / 2100,Yes,"Available. Released 2024, February",,,No,Yes,,No,About 20 EUR,,,,LTE,Unisoc T107,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA / LTE,0.3 MP,"2023, December",Energizer,USB Type-C 2.0,Black,No,,131.2 x 54 x 12 mm (5.17 x 2.13 x 0.47 in),,TN TFT,"2.4 inches, 17.8 cm2(~25.2% screen-to-body ratio)",,
,Yes,Flashlight,No,Yes,microSD,,Single-core 312 MHz,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e13.jpg,Li-Ion 1000 mAh battery,,,,2.1,Dual SIM (Mini-SIM),GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E13,73 g (2.57 oz),,Yes,,,SMS,,Yes,"Available. Released 2022, June",,,No,Yes,,No,About 10 EUR,,,,,Mediatek MT6261D,128 x 160 pixels (~116 ppi density),GSM,VGA,"2022, June",Energizer,microUSB,Black,No,,116 x 50 x 14.5 mm (4.57 x 1.97 x 0.57 in),,"TFT LCD, 256K colors","1.77 inches, 9.9 cm2(~17.0% screen-to-body ratio)",,
,Yes,No,No,Yes,microSDHC,,Single-core 260 MHz,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e20-plus.jpg,1000 mAh,,,,3.0,"Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E20+,-,,Yes,,,SMS,,Yes,"Available. Released 2023, December",,,No,No,,No,About 20 EUR,,,,,Mediatek MT6261D,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM,QVGA,"2023, November",Energizer,USB Type-C,Black,No,,105 x 52.6 x 19.9 mm (4.13 x 2.07 x 0.78 in),,TFT,"2.4 inches, 17.8 cm2(~32.3% screen-to-body ratio)",,
,Yes,Flashlight,No,Yes,microSDHC,LED flash,Single-core 312 MHz,,https://fdn2.gsmarena.com/vv/bigpic/energizer-e29.jpg,Li-Ion 1700 mAh battery,,,,2.1,Dual SIM (Mini-SIM),GSM 850 / 900 / 1800 / 1900,,,,No,FM radio,,Yes,No,Energizer E29,-,,Yes,,,SMS,,Yes,"Available. Released 2023, November",,,No,Yes,,No,About 20 EUR,,,,,Unisoc 6531E,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM,VGA,"2023, October",Energizer,microUSB,Black,No,,137.6 x 62.5 x 15.6 mm (5.42 x 2.46 x 0.61 in),,TFT LCD,"2.8 inches, 24.3 cm2(~28.2% screen-to-body ratio)",,
No,Yes,,No,Yes,microSDHC,,312 MHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e4.jpg,"Li-Ion 1000 mAh battery, removable",,,,2.0,"Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,4MB,SOS feature,,No,FM radio,,Yes,,Energizer E4,65 g (2.29 oz),,Yes,,,SMS,N/A,Yes,"Available. Released 2022, August",,,No,Yes,,No,About 10 EUR,,,,N/A,Unisoc SC6531DA,128 x 160 pixels (~116 ppi density),GSM,QVGA,"2022, June",Energizer,microUSB,"Black, Blue, Red, Gold, Silver",No,,115 x 46 x 13.5 mm (4.53 x 1.81 x 0.53 in),,TFT,"1.77 inches, 9.9 cm2(~18.6% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC 5.1,,,microSDXC,LED flash,Quad-core 2.0 GHz Cortex-A53,,https://fdn2.gsmarena.com/vv/bigpic/energizer-u608s.jpg,Li-Ion 3000 mAh,,Android 12 (Go edition),,"4.2, A2DP",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,32GB 2GB RAM,,720p,GPS,FM radio,,,,Energizer Ultimate U608s,156.8 g (5.54 oz),,1080p@30/60fps,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2022, July",,,No,Yes,5 MP,Wi-Fi 802.11 b/g/n,About 90 EUR,,PowerVR GE8320,,LTE,Mediatek MT6761 Helio A22 (12 nm),"720 x 1520 pixels, 19:9 ratio (~277 ppi density)",GSM / HSPA / LTE,5 MP,"2022, June",Energizer,microUSB,Black,,,155.4 x 73.3 x 9.8 mm (6.12 x 2.89 x 0.39 in),,LCD,"6.08 inches, 92.3 cm2(~81.0% screen-to-body ratio)",,
"HSPA, LTE",Yes,"Downloadable applications Facebook, Gmail, Whatsapp, etc.",,,microSDHC,LED flash,Quad-core 1.5 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e242s.jpg,"Li-Ion 1700 mAh battery, removable",,KaiOS 2.5.3,,"4.2, A2DP, LE","Dual SIM (Micro-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,4GB 512MB RAM,,Yes,GPS,FM radio,,,,Energizer E242s,116 g (4.09 oz),,Yes,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2022, April 10",,,No,Yes,0.3 MP,Yes,About 40 EUR,,PowerVR GE8100,,"1, 3, 7, 8, 20, 28, 38, 40, 41",Mediatek MT6739,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA / LTE,0.3 MP,"2022, April 10",Energizer,microUSB,"Black, Blue, Pink, Gold, Silver",,,130.8 x 53.6 x 13 mm (5.15 x 2.11 x 0.51 in),,"TFT LCD, 256K colors","2.4 inches, 17.8 cm2(~25.4% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC,,,microSDHC,LED flash,1 GHz,No,https://fdn2.gsmarena.com/vv/bigpic/energizer-e284s.jpg,"Li-Ion 2000 mAh, removable",,,,2.1,Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,"128MB, 64MB RAM",,Yes,No,FM radio,,Yes,Downloadable,Energizer E284S,131 g (4.62 oz),,Yes,,,SMS,HSDPA 850 / 900 / 2100,Yes,"Available. Released 2022, Q2",,,No,Yes,VGA,Yes,About 50 EUR,,,,"1, 3, 7, 8, 20, 28, 38, 40, 41",Unisoc T117,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM / HSPA / LTE,2 MP,"2021, December",Energizer,microUSB,"Black, Blue, Red, Green",No,,137.6 x 62.5 x 15.6 mm (5.42 x 2.46 x 0.61 in),,TFT LCD,"2.8 inches, 24.3 cm2(~28.2% screen-to-body ratio)",,
"HSPA, LTE",Yes,eMMC 5.1,,,microSDHC,LED flash,Quad-core 1.5 GHz,"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-u505s.jpg,"Li-Po 3000 mAh, removable",,Android 11 (Go edition),5 MPVGA,"4.0, A2DP",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,16GB 1GB RAM,,720p,GPS,FM radio,,,,Energizer Ultimate U505s,-,,1080p@30fps,,,,HSDPA 850 / 900 / 2100,,"Available. Released 2022, March",,,No,Yes,,Yes,About 80 EUR,,,,"1, 3, 7, 8, 20, 28, 38, 40, 41",Mediatek MT6739,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM / HSPA / LTE,2 MP,"2022, March",Energizer,microUSB 2.0,Black,,,138.5 x 73.5 x 10.6 mm (5.45 x 2.89 x 0.42 in),,TFT LCD,"5.0 inches, 68.9 cm2(~67.7% screen-to-body ratio)",,
