,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Positioning,128GB 6GB RAM,Loudspeaker,256GB 8GB RAM,Messaging,Models,Phonebook,Loudspeaker_1,Radio,Build,Battery (new),OS,Speed,EDGE,64GB 4GB RAM,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,4GB 512MB RAM,Display,256GB 12GB RAM,4 MB 4 MB RAM,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Announced,_2,Video,_1,USB,128GB 4GB RAM,Chipset,Triple,Price,CPU,Resolution,Brand,Java,Dual,3.5mm jack,Single,Performance,GPU,Video_1,Charging,128MB 64MB RAM,Status,GPRS,SIM,5G bands
"IP54, dust and water resistant",microSDHC,,115.5 x 49.5 x 14 mm (4.55 x 1.95 x 0.55 in),No,GSM 900 / 1800,,No,,Yes,,,,,,Wireless FM radio,,,RTOS OS,,Yes,,"TFT LCD, 65K colors",77.5 g (2.75 oz),,4 MB 4 MB RAM,"2.0 inches, 12.4 cm2(~21.7% screen-to-body ratio)","Black, Blue, Purple",,,"1000 mAh, removable",,,,"₹ 2,199",,GSM,,No,No,HMD 105,https://fdn2.gsmarena.com/vv/bigpic/hmd-105.jpg,,"2024, June 25",MP3 player,,,microUSB,,,,"₹ 2,199",,"120 x 160 pixels, 4:3 ratio (~100 ppi density)",HMD,,,Yes,,,,,,,"Available. Released 2024, July 08",Yes,"Dual SIM (Mini-SIM, dual stand-by)",
,microSDXC (uses shared SIM slot),,-,"4.2, A2DP",GSM 850 / 900 / 1800 / 1900,LTE,GPS,,Yes,,,,,,Unspecified,,,Android 13,"HSPA, LTE",,,IPS LCD,-,"Fingerprint (rear-mounted), accelerometer, proximity",64GB 4GB RAM,"6.56 inches, 118.6 cm2","Glacier Green, Indigo Black",,5 MP,5000 mAh,,,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,Wi-Fi 802.11 b/g/n,No,HMD Aura,https://fdn2.gsmarena.com/vv/bigpic/hmd-aura.jpg,LED flash,"2024, May 23",,1080p@30fps,,USB Type-C,,Unisoc SC9863A1 (28 nm),,About 110 EUR,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"900 x 1600 pixels, 16:9 ratio (~280 ppi density)",HMD,,,Yes,"13 MP, (wide), AFAuxiliary lens",,IMG8322,Yes,10W wired,,"Available. Released 2024, May 23",,Nano-SIM + Nano-SIM,
Splash resistantStylus support,microSDXC (dedicated slot),,247.5 x 157.3 x 7.5 mm (9.74 x 6.19 x 0.30 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","GPS, GLONASS, GALILEO",,"Yes, with stereo speakers",,,,,,FM radio,"Glass front, aluminum back",,Android 13,"HSPA, LTE",,,"IPS LCD, 360 nits (typ)",467 g (1.03 lb),"Accelerometer, proximity (accessories only)","64GB 4GB RAM, 128GB 4GB RAM","10.36 inches, 305.5 cm2(~78.5% screen-to-body ratio)",Black Steel,,8 MP,Li-Po 8200 mAh,,,,,Scratch-resistant glass,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes (market/region dependent),HMD T21,https://fdn2.gsmarena.com/vv/bigpic/hmd-t21.jpg,LED flash,"2024, May 15",,1080p@30fps,eMMC 5.1,"USB Type-C 2.0, OTG",,Unisoc Tiger T612 (12 nm),,About 300 EUR,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",HMD,,,Yes,"8 MP, AF",,Mali-G57,Yes,"18W wired, PD3.0",,"Available. Released 2024, May 15",,Nano-SIM,
IP68/IP69K dust/water resistant (up to 1.5m for 60 min)Drop resistant up to 1.8mMIL-STD-810H compliant,No,,168 x 78.6 x 10.5 mm (6.61 x 3.09 x 0.41 in),"5.1, A2DP, LE, aptX Adaptive",GSM 850 / 900 / 1800 / 1900,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 48, 66, 71","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",,"Yes, with stereo speakers",,,,,,Unspecified,"Glass front (Gorilla Glass Victus), plastic back, plastic frame",,Android 12,"HSPA, LTE, 5G",,,"IPS LCD, 120Hz, 450 nits (typ), 550 nits (HBM)",231 g (8.15 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",128GB 6GB RAM,"6.49 inches, 101.7 cm2(~77.0% screen-to-body ratio)",Midnight Black,,,Li-Po 4800 mAh,,,,,Corning Gorilla Glass Victus,GSM / HSPA / LTE / 5G,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,HMD XR21,https://fdn2.gsmarena.com/vv/bigpic/hmd-xr21.jpg,"Dual-LED dual-tone flash, second LED flash, HDR, panorama","2024, May 14",,1080p@30fps,"3-year warranty (Europe, Australia, and New Zealand)","USB Type-C 2.0, OTG",,Qualcomm SM6375 Snapdragon 695 5G (6 nm),,About 600 EUR,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),"1080 x 2400 pixels, 20:9 ratio (~406 ppi density)",HMD,,"64 MP, f/1.8, (wide), 1/2.0"", PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm",Yes,"16 MP, f/2.4 (wide)",,Adreno 619,1080p@30fps,"33W wired, PD2.0, QC3",,"Available. Released 2024, May",,Nano-SIM + Nano-SIM +eSIM(max 2 at a time),"1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 48, 66, 71, 77, 78, 79 SA/NSA"
Dust and splash resistant,microSDXC,,163.8 x 75.2 x 8.4 mm (6.45 x 2.96 x 0.33 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"2, 4, 5, 12, 13, 66",GPS,$ 79.99,Yes,,,,,,Wireless FM radio,"Glass front, plastic frame, plastic back",,Android 14,"HSPA, LTE",,,"IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM)",186 g (6.56 oz),"Accelerometer, proximity, compass, gyro, barometer",128GB 6GB RAM,"6.56 inches, 109.2 cm2(~88.7% screen-to-body ratio)",Charcoal,,,4000 mAh,,,,,Toughened glass,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,Wi-Fi 802.11 a/b/g/n/ac,No,HMD Vibe,https://fdn2.gsmarena.com/vv/bigpic/hmd-vibe.jpg,"LED flash, HDR","2024, April 24",,1080p@30fps,,"USB Type-C 2.0, OTG",,Qualcomm SM6225 Snapdragon 680 4G (6 nm),,$ 79.99,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),"720 x 1480 pixels, 18.5:9 ratio (~251 ppi density)",HMD,,"13 MP, (wide)2 MP, (depth)",Yes,5 MP,,Adreno 610,Yes,10W wired,,"Available. Released 2024, June 04",,Nano-SIM,
Dust and splash resistant,microSDXC,,163.2 x 75 x 8.6 mm (6.43 x 2.95 x 0.34 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 28, 38, 40","GPS, GALILEO",£ 119.97,Yes,,,,,,Unspecified,,,Android 14,"HSPA, LTE",,,"IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM)",196 g (6.91 oz),"Fingerprint (side-mounted), accelerometer, proximity, compass","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","6.65 inches, 106.2 cm2(~86.8% screen-to-body ratio)","Black Ocean, Clacier Creen, Twilight Purple",,,"5000 mAh, user replaceable",,,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,Wi-Fi 802.11 a/b/g/n/ac,Yes,HMD Pulse Pro,https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-pro.jpg,"LED flash, HDR","2024, April 24",,1080p@30fps,,"USB Type-C 2.0, OTG",€ 99.00,Unisoc T606 (12 nm),,£ 119.97 / € 99.00,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"720 x 1612 pixels, 20:9 ratio (~265 ppi density)",HMD,,"50 MP, (wide), AF2 MP, (depth)",Yes,50 MP,,Mali-G57 MP1,Yes,20W wired,,"Available. Released 2024, April 26",,Nano-SIM,
Dust and splash resistant,microSDXC,,163.2 x 75 x 8.5 mm (6.43 x 2.95 x 0.33 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 28, 38, 40","GPS, GALILEO",,Yes,,,,,,Unspecified,,,Android 14,"HSPA, LTE",,,"IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM)",187 g (6.60 oz),"Fingerprint (side-mounted), accelerometer, proximity, compass","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","6.65 inches, 106.2 cm2(~86.8% screen-to-body ratio)","Apricot Crush, Midnight Blue, Glacier Green",,8 MP,"5000 mAh, user replaceable",,,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,Wi-Fi 802.11 a/b/g/n/ac,Yes,HMD Pulse+,https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-plus-.jpg,"LED flash, HDR","2024, April 24",,1080p@30fps,,"USB Type-C 2.0, OTG",€ 99.00,Unisoc T606 (12 nm),,€ 99.00,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"720 x 1612 pixels, 20:9 ratio (~265 ppi density)",HMD,,,Yes,"50 MP, (wide), AFAuxiliary lens",,Mali-G57 MP1,Yes,10W wired,,"Available. Released Exp. release 2024, April 29",,Nano-SIM,
Dust and splash resistant,microSDXC,,163.2 x 75 x 8.5 mm (6.43 x 2.95 x 0.33 in),"5.0, A2DP, LE",GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 20, 28, 38, 40","GPS, GALILEO",,Yes,,,,,,Unspecified,,,Android 14,"HSPA, LTE",,£ 89.98,"IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM)",187 g (6.60 oz),"Fingerprint (side-mounted), accelerometer, proximity, compass","64GB 4GB RAM, 64GB 6GB RAM","6.65 inches, 106.2 cm2(~86.8% screen-to-body ratio)","Meteor Black, Dreamy Pink, Atmos Blue",,8 MP,"5000 mAh, user replaceable",,,,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,Wi-Fi 802.11 a/b/g/n/ac,Yes,HMD Pulse,https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-.jpg,"LED flash, HDR","2024, April 24",,1080p@30fps,,"USB Type-C 2.0, OTG",,Unisoc T606 (12 nm),,£ 89.98 / € 89.00,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"720 x 1612 pixels, 20:9 ratio (~265 ppi density)",HMD,,,Yes,"13 MP, (wide), AFAuxiliary lens",,Mali-G57 MP1,Yes,10W wired,,"Available. Released 2024, April 24",,Nano-SIM,
"Repair-it-yourself capable (display, back cover, battery and charging port repairs)IP54, dust and splash resistant",microSDXC,,-,"5.2, A2DP, LE",GSM 850 / 900 / 1800 / 1900,LTE,"GPS, GALILEO, GLONASS, BDS",,"Yes, with stereo speakers",,,,,,Unspecified,,,"Android 14, up to 2 major Android upgrades","HSPA, LTE, 5G",,,"OLED, 120Hz",-,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","128GB 8GB RAM, 256GB 8GB RAM","6.55 inches, 103.6 cm2",Yellow,,,"4700 mAh, user replaceable",,,,,,GSM / HSPA / LTE / 5G,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,HMD Hyper,https://fdn2.gsmarena.com/vv/bigpic/hmd-hyper-r.jpg,"LED flash, HDR",Not announced yet,,"4K@30fps, 1080p@30/60fps, gyro-EIS",,USB Type-C 2.0,,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"50 MP, (wide), PDAF, OIS13 MP, (telephoto), PDAF, 2x optical zoom8 MP, (ultrawide)",,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),"1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",HMD,,,Unspecified,"50 MP, (wide), AF",,Adreno 710,1080p@30fps,33W wired,,Cancelled,,Nano-SIM +eSIM,SA/NSA
"IP54, dust and splash resistant",microSDXC,,-,"5.1, A2DP, LE",GSM 850 / 900 / 1800 / 1900,LTE,"GPS, GALILEO",,Yes,,,,,,Unspecified,,,Android 14,"HSPA, LTE, 5G",,,"IPS LCD, 120Hz",-,"Fingerprint (side-mounted), accelerometer, proximity, compass","128GB 6GB RAM, 256GB 8GB RAM","6.64 inches, 106.4 cm2","Mocha, Snow, Glacier Green",,,5500 mAh,,,,,,GSM / HSPA / LTE / 5G,HSDPA 850 / 900 / 2100,Wi-Fi 802.11 a/b/g/n/ac,Yes,HMD Ridge Pro,https://fdn2.gsmarena.com/vv/bigpic/hmd-ridge-pro-r1.jpg,"LED flash, HDR",Not announced yet,,1080p@30fps,,"USB Type-C 2.0, OTG",,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),"50 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (depth)",,Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),"1080 x 2400 pixels, 20:9 ratio (~396 ppi density)",HMD,,,Yes,50 MP,,Adreno 613,1080p@30fps,"Wired, QC4",,Cancelled,,Nano-SIM,SA/NSA
