Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
"LED flash, HDR, panorama",Quad-core 1.3 GHz Cortex-A53,eMMC 5.1,"1, 3, 5, 40, 41",5 MP,,,Android 7.1 (Nougat),Yes,"4.1, A2DP",,,,,About 7000 INR,,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,"8 MP, AF",145 g (5.11 oz),Mediatek MT6739WA (28 nm),,"Available. Released 2018, April","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900,LED flash,,"480 x 960 pixels, 18:9 ratio (~197 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2018, April",1080p@30fps,GSM / HSPA / LTE,,,Panasonic,,PowerVR GE8100,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p101.jpg,"5.45 inches, 76.7 cm2(~71.5% screen-to-body ratio)",Panasonic P101,,"Dark Blue, Black",IPS LCD,,,148.8 x 72 x 9.1 mm (5.86 x 2.83 x 0.36 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity, compass",
LED flash,Quad-core 1.25 GHz Cortex-A53,eMMC 5.0,"1, 3, 5, 8, 40, 41",5 MP,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 5300 INR,,Yes,Dual SIM,,8 MP,174.8 g (6.17 oz),Mediatek MT6737 (28 nm),,"Available. Released 2018, February","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900,LED flash,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2018, February",,GSM / HSPA / LTE,,,Panasonic,Corning Gorilla Glass (unspecified version),Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p100-.jpg,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",Panasonic P100,,Gold,IPS LCD,,,145 x 73 x 9.9 mm (5.71 x 2.87 x 0.39 in),"16GB 1GB RAM, 16GB 2GB RAM","microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,P100,720p@30fps,"Li-Ion 2200 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity",
"LED flash, HDR, panorama",Quad-core 1.25 GHz Cortex-A53,eMMC 5.0,"1, 3, 5, 40, 41","5 MP, f/2.4",,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 100 EUR,,Yes,Nano-SIM + Micro-SIM,,"13 MP, f/2.2, AF",143 g (5.04 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, December","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (uses shared SIM slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"Glass front, aluminum back, aluminum frame","2017, December",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-I9.jpg,"5.0 inches, 68.9 cm2(~68.6% screen-to-body ratio)",Panasonic Eluga I9,,"Space grey, Champagne Gold, Blue",IPS LCD,,,142.5 x 70.5 x 7.8 mm (5.61 x 2.78 x 0.31 in),32GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio with RDS,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity",
LED flash,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),eMMC 5.1,"1, 3, 7, 8, 28",,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 200 EUR,,Yes,Dual SIM,"13 MP, f/2.2, AF5 MP, f/2.4, (depth)",5 MP,-,Mediatek MT6750T (28 nm),,"Available. Released 2017, December","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,"Glass front, plastic back, plastic frame","2017, November",,GSM / HSPA / LTE,,,Panasonic,,Mali-T860MP2,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-c.jpg,"5.5 inches, 83.4 cm2(~80.5% screen-to-body ratio)",Panasonic Eluga C,,"Blue, Soft Pink",S-IPS LCD,,,141 x 73.5 x 8.7 mm (5.55 x 2.89 x 0.34 in),64GB 4GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",,"Fingerprint (front-mounted), accelerometer, proximity",
"LED flash, HDR, panorama",Quad-core 1.1 GHz Cortex-A7,eMMC 5.0,"1, 3, 5, 40",5 MP,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 6500 INR,,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,"8 MP, AF",161 g (5.68 oz),Mediatek MT6737M (28 nm),,"Available. Released 2017, November","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, November",,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Glass,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p91.jpg,"5.0 inches, 68.9 cm2(~65.8% screen-to-body ratio)",Panasonic P91,,"Gold, Black, Blue",IPS LCD,,,144.7 x 72.4 x 10.1 mm (5.70 x 2.85 x 0.40 in),16GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,"Li-Ion 2500 mAh, non-removable",,"Accelerometer, proximity",
"LED flash, HDR, panorama",Quad-core 1.25 GHz Cortex-A53,eMMC 5.0,"3, 5, 40","5 MP, f/2.2",,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 6500 INR,,Yes,Nano-SIM + Micro-SIM,,"13 MP, f/2.2, AF",145.5 g (5.15 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, November","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (uses shared SIM slot),,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, November",,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Glass,Mali-T720MP1,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l5.jpg,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",Panasonic Eluga I5,,"Black, Gold",IPS LCD,,,143 x 71 x 7.5 mm (5.63 x 2.80 x 0.30 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity",
LED flash,Quad-core 1.25 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",5 MP,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 12500 INR,,Yes,Dual SIM,,"13 MP, PDAF",162 g (5.71 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, November","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,microSDXC,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, November",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP1,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-a4.jpg,"5.2 inches, 74.5 cm2(~67.4% screen-to-body ratio)",Panasonic Eluga A4,,"Champagne Gold, Mocha Gold, and Marine Blue",IPS LCD,,,149.5 x 74 x 9 mm (5.89 x 2.91 x 0.35 in),32GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,ELUGA A4,1080p@30fps,"Li-Po 5000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity",
"LED flash, HDR, panorama",Quad-core 1.25 GHz,,"3, 5, 40",5 MP,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 7450 INR,,Yes,Dual SIM,,"8 MP, AF",145 g (5.11 oz),,,"Available. Released 2017, September","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, September",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p99.jpg,"5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)",Panasonic P99,,"Champagne Gold, Black, Blue",IPS LCD,,,144.6 x 71.8 x 8.6 mm (5.69 x 2.83 x 0.34 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,"Li-Ion 2000 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.25 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",5 MP,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 8300 INR,,Yes,Dual SIM,,"8 MP, AF",150.7 g (5.33 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, September","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, September",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i4.jpg,"5.0 inches, 68.9 cm2(~65.9% screen-to-body ratio)",Panasonic Eluga I4,,"Black, Blue, Gold",IPS LCD,,,146.7 x 71.3 x 8.3 mm (5.78 x 2.81 x 0.33 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,Yes,"Li-Ion 3000 mAh, non-removable",,"Fingerprint (front-mounted), accelerometer, proximity",
"LED flash, HDR, panorama",Quad-core 1.25 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",,,,Android 7 (Nougat),Yes,"4.0, A2DP",,,,,About 110 EUR,,Yes,Nano-SIM + Nano-SIM,"13 MP, f/2.0, AF8 MP, f/2.4","5 MP, f/2.4",163 g (5.75 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, September","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HDR,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (uses shared SIM slot),,"HSPA, LTE",No,,"2017, September",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP1,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-500.jpg,"5.0 inches, 68.9 cm2(~67.0% screen-to-body ratio)",Panasonic Eluga Ray 500,,"Champagne gold, Mocha gold, Marine Blue",IPS LCD,,,144.3 x 71.3 x 9.2 mm (5.68 x 2.81 x 0.36 in),32GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 4000 mAh, non-removable",,"Fingerprint (front-mounted), accelerometer, proximity",
"Dual-LED flash, HDR, panorama",Octa-core 1.3 GHz Cortex-A53,,"3, 5, 40","13 MP, f/2.2",,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 130 EUR,,Yes,Nano-SIM + Nano-SIM,,"13 MP, f/2.0, PDAF",182 g (6.42 oz),Mediatek MT6753 (28 nm),,"Available. Released 2017, September","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HDR,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,microSDXC (dedicated slot),,"HSPA, LTE",No,,"2017, September",1080p@30fps,GSM / HSPA / LTE,,,Panasonic,Corning Gorilla Glass 3,Mali-T720MP3,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-700.jpg,"5.5 inches, 83.4 cm2(~71.9% screen-to-body ratio)",Panasonic Eluga Ray 700,,"Champagne gold, Mocha gold, Marine Blue",IPS LCD,,,153.8 x 75.4 x 8.9 mm (6.06 x 2.97 x 0.35 in),32GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,Eluga_Ray_700,1080p@30fps,"Li-Ion 5000 mAh, non-removable",,"Fingerprint (front-mounted), accelerometer, proximity, compass",
LED flash,Quad-core 1.1 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",5 MP,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 100 EUR,,Yes,Dual SIM,,8 MP,144 g (5.08 oz),Mediatek MT6737M (28 nm),,"Available. Released 2017, September",Wi-Fi 802.11 b/g/n,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,microSDHC (dedicated slot),,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, September",,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Glass,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p9.jpg,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Panasonic P9,,"Champagne Gold, Black",IPS LCD,,,144.5 x 73 x 8.6 mm (5.69 x 2.87 x 0.34 in),16GB 1GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,"Li-Ion 2210 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.3 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",5 MP,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 7200 INR,,Yes,Hybrid Dual SIM,,"8 MP, AF",133 g (4.69 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, August","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (uses shared SIM slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, August",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-l2-activ.jpg,"5.0 inches, 68.9 cm2(~67.7% screen-to-body ratio)",Panasonic Eluga I2 Activ,,"Gold, Rose Gold, Gray",IPS LCD,,,143 x 71.2 x 8 mm (5.63 x 2.80 x 0.31 in),"16GB 1GB RAM, 16GB 2GB RAM",microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,"Li-Ion 2200 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Octa-core 1.3 GHz Cortex-A53,,"3, 5, 40",8 MP,,,"Android 7.0 (Nougat), FitHome UI",Yes,"4.0, A2DP",,,,,About 12800 INR,,Yes,Dual SIM,,"13 MP, PDAF",161 g (5.68 oz),Mediatek MT6753 (28 nm),,"Available. Released 2017, August","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, August",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP3,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-a3-pro.jpg,"5.2 inches, 74.5 cm2(~69.2% screen-to-body ratio)",Panasonic Eluga A3 Pro,,"Gold, Silver",IPS LCD,,,148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in),32GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,A3_Pro,1080p@30fps,"Li-Ion 4000 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.25 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",8 MP,,,"Android 7.0 (Nougat), FitHome UI",Yes,"4.0, A2DP",,,,,About 11300 INR,,Yes,Dual SIM,,"13 MP, PDAF",161 g (5.68 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, August","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, August",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP1,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-a3-2.jpg,"5.2 inches, 74.5 cm2(~69.2% screen-to-body ratio)",Panasonic Eluga A3,,"Gold, Silver",IPS LCD,,,148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in),16GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 4000 mAh, non-removable",,"Accelerometer, proximity",
quad-LED flash,Quad-core 1.3 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",5 MP,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 8500 INR,,Yes,Nano-SIM + Micro-SIM,,"13 MP, AF",180 g (6.35 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, July","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC (dedicated slot),,"HSPA, LTE",No,,"2017, July",,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Glass,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p55-max.jpg,"5.5 inches, 83.4 cm2(~70.7% screen-to-body ratio)",Panasonic P55 Max,,"Champagne Gold, Matte Black",IPS LCD,,,152 x 77.6 x 8.7 mm (5.98 x 3.06 x 0.34 in),16GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 5000 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.3 GHz Cortex-A53,,"3, 5, 40",5 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 11500 INR,,Yes,Nano-SIM + Micro-SIM,,"13 MP, 1/3.1"", 1.12µm, AF",180 g (6.35 oz),Mediatek MT6735 (28 nm),,"Available. Released 2017, June","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC,,"HSPA, LTE",No,,"2017, May",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-I3.jpg,"5.5 inches, 83.4 cm2(~70.1% screen-to-body ratio)",Panasonic Eluga i3 Mega,,"Champagne Gold, Silver",IPS LCD,,,154.6 x 77 x 9.4 mm (6.09 x 3.03 x 0.37 in),16GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 4000 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.0 GHz,,"3, 5, 40",2 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 90 EUR,,Yes,Dual SIM,,"8 MP, AF",146.7 g (5.19 oz),,,"Available. Released 2017, May","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC,,"HSPA, LTE",No,,"2017, May",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p85.jpg,"5.0 inches, 68.9 cm2(~65.8% screen-to-body ratio)",Panasonic P85,,"Grey, Gold",IPS LCD,,,145 x 72.2 x 9.4 mm (5.71 x 2.84 x 0.37 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio with RDS; recording,HSDPA 900 / 2100,,P85,720p@30fps,"Li-Ion 4000 mAh, non-removable",,"Accelerometer, gyro, proximity",
LED flash,Quad-core 1.3 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",5 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 110 EUR,,Yes,Dual SIM,,"13 MP, AF",169 g (5.96 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, May","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC,,"HSPA, LTE",No,,"2017, May",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray.jpg,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",Panasonic Eluga Ray,,"Rose Gold, Space Grey, Gold",IPS LCD,,,144.4 x 71.6 x 9.7 mm (5.69 x 2.82 x 0.38 in),16GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio with RDS; recording,HSDPA 900 / 2100,,,720p@30fps,"Li-Ion 4000 mAh, non-removable",,"Fingerprint (front-mounted), accelerometer, proximity, compass",
"LED flash, HDR",Octa-core 1.3 GHz Cortex-A53,,"3, 5, 40","5 MP, f/2.4",,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 150 EUR,,Yes,Nano-SIM + Micro-SIM,,"13 MP, f/2.2, AF",163 g (5.75 oz),Mediatek MT6753 (28 nm),,"Available. Released 2016, November","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC (uses shared SIM slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2016, November",,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Glass,Mali-T720MP3,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-mark2.jpg,"5.5 inches, 83.4 cm2(~72.7% screen-to-body ratio)",Panasonic Eluga Mark 2,,Gold,IPS LCD,,,151 x 76 x 7.7 mm (5.94 x 2.99 x 0.30 in),32GB 3GB RAM,"microUSB 2.0, OTG",,GPS,No,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity, compass",
LED flash,Quad-core 1.3 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",5 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 130 EUR,,Yes,Dual SIM,,"13 MP, AF",193 g (6.81 oz),Mediatek MT6737 (28 nm),,"Available. Released 2017, April","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC,,"HSPA, LTE",No,,"2017, April",,GSM / HSPA / LTE,,,Panasonic,Corning Gorilla Glass,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-x.jpg,"5.5 inches, 83.4 cm2(~70.6% screen-to-body ratio)",Panasonic Eluga Ray X,,"Rose Gold, Space Grey, Gold",IPS LCD,,,153.4 x 77 x 10.5 mm (6.04 x 3.03 x 0.41 in),32GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio with RDS; recording,HSDPA 900 / 2100,,ELUGA Ray X,720p@30fps,"Li-Ion 4000 mAh, non-removable",,"Fingerprint (front-mounted), accelerometer, proximity, compass",
"LED flash, panorama",Octa-core 1.4 GHz Cortex-A53,eMMC 5.1,"3, 5, 40",8 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 170 EUR,,Yes,Dual SIM,,"16 MP, AF",165 g (5.82 oz),Qualcomm MSM8937 Snapdragon 430 (28 nm),,"Available. Released 2017, April","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,microSDXC,,"HSPA, LTE",No,,"2017, April",,GSM / HSPA / LTE,,,Panasonic,Corning Gorilla Glass 3,Adreno 505,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-max.jpg,"5.2 inches, 74.5 cm2(~69.0% screen-to-body ratio)",Panasonic Eluga Ray Max,,"Rose Gold, Space Grey, Gold",IPS LCD,,,148 x 73 x 9.5 mm (5.83 x 2.87 x 0.37 in),"32GB 4GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG",,GPS,FM radio with RDS; recording,HSDPA 900 / 2100,"18W wired, QC3",ELUGA Ray Max,1080p@30fps,"Li-Ion 3000 mAh, non-removable",,"Fingerprint (front-mounted), accelerometer, proximity, compass",
LED flash,Quad-core 1.25 GHz Cortex-A53,,"3, 5, 40",5 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 160 EUR,,Yes,Dual SIM,,"13 MP, AF",145 g (5.11 oz),,,"Available. Released 2017, March","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC,,"HSPA, LTE",No,,"2017, March",,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Glass,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-pulse-x.jpg,"5.5 inches, 83.4 cm2(~71.3% screen-to-body ratio)",Panasonic Eluga Pulse X,,"Rose Gold, Dark Grey, Gold",IPS LCD,,,152 x 77 x 8.1 mm (5.98 x 3.03 x 0.32 in),16GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 3000 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity, compass",
