,Features,CPU,Stand-by,4G bands,Single_1,Alert types,Loudspeaker,Bluetooth,Games,OS,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Battery (old),Browser,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,SAR,Brand,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Models,Video,Type_1,_4,Sensors,Java
IP57 dust/water resistant (up to 1m. and 30 min),LED flash,Dual-core 1.5 GHz Scorpion,Up to 600 h,17,2 MP,,Yes,"3.0, A2DP, EDR",,Android 4.0 (Ice Cream Sandwich),,,,About 220 EUR,,Yes,,Micro-SIM,"5 MP, AF",469.8 g (1.03 lb),Qualcomm APQ8060 Snapdragon S3,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",Up to 12 h,microSDHC (dedicated slot),"HSPA, LTE",,"2012, January. Released 2012, January",,GSM / HSPA / LTE,HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerPredictive text input,,Pantech,Adreno 220,https://fdn2.gsmarena.com/vv/bigpic/pantech-element.jpg,"8.0 inches, 198.2 cm2(~60.1% screen-to-body ratio)",Pantech Element,,,Black,TFT,,,212.3 x 155.4 x 10.7 mm (8.36 x 6.12 x 0.42 in),16GB 1GB RAM,microUSB 2.0,,"GPS, A-GPS",No,HSDPA 850 / 1900 / 2100,,720p,Non-removable Li-Ion 6400 mAh battery,,"Accelerometer, gyro, compass",
No,,,Up to 342 h,,,,Yes,"3.0, A2DP",Yes,,,,,,,Yes,,Mini-SIM,3.15 MP,91 g (3.21 oz),,Yes,Discontinued,No,,,CDMA 800 / 1900,,,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Up to 5 h,"microSDHC (dedicated slot), 2 GB included","EV-DO Rev.0, 153.2 Kbps",,"2011, October. Released 2011, October",,CDMA / CDMA2000,MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerOrganizerVoice memoPredictive text input,1.32 W/kg (head)     0.78 W/kg (body),Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-hotshot.jpg,"3.2 inches, 29.1 cm2(~40.8% screen-to-body ratio)",Pantech Hotshot,,"SMS, MMS, Email, IM","Black, Red","TFT, 256K colors","1000, Photocall",,119 x 60 x 9 mm (4.69 x 2.36 x 0.35 in),,microUSB 2.0,,"GPS, A-GPS, VZ Navigator",No,CDMA2000 1x,,Yes,Removable Li-Ion 1000 mAh battery,,Proximity,No
No,,,Up to 250 h,,,,Yes,"2.1, A2DP",Yes,,,,,,,No,QWERTY,Mini-SIM,2 MP,94 g (3.32 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Up to 3 h,microSDHC (dedicated slot),HSPA,,"2011, October. Released 2011, October",,GSM / HSPA,MP3/WAV/eAAC+/WMA playerMP4/H.263/WMV playerOrganizerVoice memoPredictive text input,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-link-ii.jpg,"2.4 inches, 17.8 cm2(~25.7% screen-to-body ratio)",Pantech Link II,,"SMS, MMS, Email, IM",Black,"TFT, 256K colors","1000 entries, Photocall",,114 x 61 x 10 mm (4.49 x 2.40 x 0.39 in),200MB,2.0,,"GPS, A-GPS",No,HSDPA 850 / 1900,,Yes,Removable Li-Ion 1000 mAh battery,,,Yes
No,,,Up to 250 h,,,,Yes,"2.1, A2DP, EDR",,Android 2.3 (Gingerbread),,,,About 280 EUR,,Yes,,Mini-SIM,"5 MP, AF",132.1 g (4.66 oz),,,Discontinued,"Wi-Fi 802.11 b/g, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"600 x 800 pixels, 4:3 ratio (~250 ppi density)",Up to 3 h,"microSDHC (dedicated slot), 2 GB included",HSPA 21.1/5.76 Mbps,,"2011, October. Released 2011, December",,GSM / HSPA,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerVoice memoPredictive text input,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pocket.jpg,"4.0 inches, 49.5 cm2(~55.4% screen-to-body ratio)",Pantech Pocket P9060,,,Black,TFT,,,114.7 x 78 x 11.3 mm (4.52 x 3.07 x 0.44 in),600MB,2.0,,"GPS, A-GPS",No,HSDPA 850 / 1900 / 2100,,720p,Removable Li-Ion 1650 mAh battery,,"Accelerometer, proximity, compass",
GSM 850 / 900 / 1800 / 1900,,,Up to 322 h,,,,Yes,"3.0, A2DP",Yes,,,,No,,2.5 mm audio jack,No,QWERTY,Mini-SIM,2 MP,116 g (4.09 oz),,Yes,Discontinued,No,,,CDMA 800 / 1900,,,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h 54 min,microSDHC (dedicated slot),"EV-DO Rev.0, 153.2 Kbps",,"2011, October. Released 2011, October",,GSM / CDMA / UMTS / CDMA2000,UMTS 2100,1.15 W/kg (head)     1.17 W/kg (body),Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-jest-ii.jpg,"2.4 inches, 17.8 cm2(~28.8% screen-to-body ratio)",Pantech Jest II,,"SMS, MMS, Email, IM",Black,"TFT, 256K colors","1000 entries, Photocall",,94 x 66 x 15 mm (3.70 x 2.60 x 0.59 in),,microUSB,,"GPS, VZ Navigator",No,CDMA2000 1x,,Yes,Removable Li-Ion 950 mAh battery,SNS integrationMP3/WAV/WMA/eAAC+ playerMP4/H.263 playerOrganizerVoice memo/dial/commandsPredictive text input,,No
No,,230 MHz,Up to 250 h,,,,Yes,"2.0, A2DP, EDR",Yes,,,,,About 200 EUR,,No,QWERTY,Mini-SIM,2 MP,127 g (4.48 oz),Qualcomm QSC6270,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 3 h,microSDHC (dedicated slot),HSPA 3.6/0.384 Mbps,,"2011, July. Released 2011, July",,GSM / HSPA,MP3/WAV/WMA playerMP4/H.263 playerOrganizerVoice memo/dialPredictive text input,0.49 W/kg (head)     0.59 W/kg (body),Pantech,,https://fdn2.gsmarena.com/vv/bigpic/samsung-pantech-pursuit-ii.jpg,"2.8 inches, 24.3 cm2(~39.4% screen-to-body ratio)",Pantech Pursuit II,,"SMS, MMS, Email, IM","Pink, green, black","TFT, 256K colors","Yes, Photocall",,101 x 61 x 15 mm (3.98 x 2.40 x 0.59 in),217MB,2.0,,"GPS, A-GPS",No,HSDPA 850 / 1900,,Yes,Removable Li-Ion 1000 mAh battery,,,No
MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerVoice memoPredictive text input (Swype),,1.0 GHz,Up to 303 h,13,VGA,,Yes,"3.0, A2DP",,Android 2.3 (Gingerbread),,,,,,Yes,,Mini-SIM,"5 MP, AF",138 g (4.87 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,CDMA 800 / 1900,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 5 h 47 min,"microSDHC (dedicated slot), 8 GB included","EV-DO Rev.A 3.1 Mbps, LTE",,"2011, July. Released 2011, September",,CDMA / EVDO / LTE,,1.46 W/kg (head)     0.77 W/kg (body),Pantech,,https://fdn2.gsmarena.com/vv/bigpic/Pantech-Breakout.jpg,"4.0 inches, 45.5 cm2(~56.0% screen-to-body ratio)",Pantech Breakout,,,Black,"TFT, 256K colors",,,127 x 64 x 12 mm (5.0 x 2.52 x 0.47 in),1GB 512MB RAM,microUSB 2.0,,"GPS, A-GPS, VZ Navigator",No,CDMA2000 1xEV-DO,,720p,Removable Li-Ion 1500 mAh battery,,"Accelerometer, proximity",
Secondary external display,,,Up to 336 h,,,,Yes,Yes,Yes,,,,MP3/eAAC+/WMA/WAV playerMP4/WMV/H.263 playerOrganizerVoice memoPredictive text input,About 150 EUR,,No,,Mini-SIM,1.3 MP,102 g (3.60 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 5 h,microSDHC (dedicated slot),HSPA 3.6/0.384 Mbps,,"2011, July. Released 2011, July",,GSM / HSPA,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-iii.jpg,"2.2 inches, 15.0 cm2(~29.7% screen-to-body ratio)",Pantech Breeze III,,"SMS, MMS, Email, IM",Black/Silver,"TFT,  256K colors","1000 entries, Photocall",,99 x 51 x 19 mm (3.90 x 2.01 x 0.75 in),80MB,microUSB,,No,No,HSDPA 850 / 1900,,Yes,Removable Li-Ion 920 mAh battery,,,"Yes, MIDP 2.0"
DMB TV tunerTV-outDivX/XviD/MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerVoice memo/dialPredictive text input,,1.0 GHz Scorpion,Up to 260 h,,Yes,,Yes,"2.1, A2DP",,Android 2.2 (Froyo),0.93 W/kg (head),,,About 200 EUR,,Yes,,Mini-SIM,"5 MP, AF",119.8 g (4.20 oz),Qualcomm MSM8255 Snapdragon S2,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,GSM 850 / 900 / 1800 / 1900,,HTML,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 5 h 30 min,"microSDHC (dedicated slot), 8 GB included",HSPA,,"2010, December. Released 2011, Q2",,GSM / HSPA,,,Pantech,Adreno 205,https://fdn2.gsmarena.com/vv/bigpic/Pantech-Vega-X.jpg,"4.0 inches, 45.5 cm2(~58.2% screen-to-body ratio)",Pantech Vega Xpress IM-A720L,,,"Black, White, Red",TFT,,,122.5 x 63.9 x 10.8 mm (4.82 x 2.52 x 0.43 in),512MB DDR2 RAM,2.0,,"GPS, A-GPS",No,HSDPA 2100,,Yes,Removable Li-Po 1500 mAh battery,,Accelerometer,
No,LED flash,,Up to 314 h,,,,Yes,Yes,Yes,,,,,,,No,,Mini-SIM,3.15 MP,104.4 g (3.67 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 3 h,microSD (dedicated slot),,,"2010, November. Released 2010, November",,GSM,T-DMB TV tunerMP3/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-s902.jpg,"3.0 inches, 25.6 cm2(~47.0% screen-to-body ratio)",Pantech S902,,"SMS, MMS, Email","Gold, White, Black","TFT,  256K colors","Yes, Photocall",Yes,105.2 x 51.8 x 12.9 mm (4.14 x 2.04 x 0.51 in),,Proprietary,Yes,No,No,,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,,,Up to 324 h,,,,Yes,"2.1, A2DP",Yes,,,,,,,Yes,,Mini-SIM,3.15 MP,122 g (4.30 oz),,Yes,Discontinued,No,,,CDMA 800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 5 h 20 min,microSDHC (dedicated slot),"EV-DO Rev.0, 153.2 Kbps",,"2010, October. Released 2010, November",,CDMA / EVDO,MP3/WAV playerMP4/H.263 playerOrganizerVoice memo/dial/commandsPredictive text input,1.25 W/kg (head)     0.61 W/kg (body),Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-crux.jpg,"3.0 inches, 25.6 cm2(~40.5% screen-to-body ratio)",Pantech Crux,,"SMS, MMS, Email",Gray,"TFT resistive touchscreen, 256K colors","1000, Photocall",,109 x 58 x 13 mm (4.29 x 2.28 x 0.51 in),,2.0,,"GPS, A-GPS, VZ Navigator",No,CDMA2000 1xEV-DO,,Yes,Removable Li-Ion battery,,,No
,,,Up to 336 h,,,,"Yes, with stereo speakers","2.0, A2DP, EDR",Yes,,,,,,,No,QWERTY,Mini-SIM,3.15 MP,115 g (4.06 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","480 x 800 pixels, 5:3 ratio (~301 ppi density)",Up to 5 h,microSDHC (dedicated slot),HSPA 3.6/0.384 Mbps,,"2010, October. Released 2010, October",,GSM / HSPA,SNS integrationMP3/WAV/WMA playerMP4/H.263 playerMusic ID recognitionOrganizerVoice memo/dialPredictive text input,0.74 W/kg (head)     0.93 W/kg (body),Pantech,,https://fdn2.gsmarena.com/vv/bigpic/Pantech-Laser.jpg,"3.1 inches, 27.4 cm2(~41.5% screen-to-body ratio)",Pantech Laser P9050,,"SMS, MMS, Email, IM",Gray/Blue,"AMOLED resistive touchscreen, 256K colors","1000 entries, Photocall",,113.8 x 57.9 x 10 mm (4.48 x 2.28 x 0.39 in),,microUSB 2.0,,"GPS, A-GPS",,HSDPA 850 / 1900,,Yes,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 450 h,,,,Yes,"2.0, A2DP",Yes,,,,MP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,Dual SIM (Mini-SIM),3.15 MP,99 g (3.49 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,WAP 2.0/xHTML,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 4 h 30 min,microSDHC (dedicated slot),,,"2010, August. Released 2010, Q3",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-p4000.jpg,"3.0 inches, 25.6 cm2(~40.9% screen-to-body ratio)",Pantech P4000,,"SMS, MMS, Email","Black Glossy/Black SF, Titan/Ivory, Ivory/Red","TFT,  256K colors","Yes, Photocall",Class 10,110 x 57 x 12.5 mm (4.33 x 2.24 x 0.49 in),30MB,2.0,Class 10,No,"Stereo FM radio, RDS",,,Yes,Removable Li-Po 1000 mAh battery,,,"Yes, MIDP 2.0"
GSM 900 / 1800 - SIM 2,,,Up to 600 h,,,,Yes,"2.0, A2DP",Yes,,,,MP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Yes,,Dual SIM (Mini-SIM),1.3 MP,75 g (2.65 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 - SIM 1,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 4 h 30 min,microSDHC (dedicated slot),,,"2010, August. Released 2010, Q3",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-p1000.jpg,"1.8 inches, 10.2 cm2(~19.8% screen-to-body ratio)",Pantech P1000,,"SMS, MMS","Black, Silver, Pink, Ivory-Brown","TFT,  256K colors","Yes, Photocall",Class 10,97 x 53 x 14.9 mm (3.82 x 2.09 x 0.59 in),,2.0,No,No,"Stereo FM radio, RDS",,,No,Removable Li-Po 1100 mAh battery,,,"Yes, MIDP 2.0"
No,,600 MHz ARM 11,Up to 270 h,,,,Yes,"2.1, A2DP",,Android 2.1 (Eclair),,,,,,Yes,,Mini-SIM,"5 MP, AF",106.2 g (3.74 oz),Qualcomm MSM7227 Snapdragon S1,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 850 / 900 / 1800 / 1900,,HTML,"480 x 800 pixels, 5:3 ratio (~292 ppi density)",Up to 4 h 20 min,microSDHC (dedicated slot),HSPA 7.2/0.384 Mbps,,"2010, July. Released 2010, July",,GSM / HSPA,DMB TV tunerMP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memo/dialPredictive text input,,Pantech,Adreno 200,https://fdn2.gsmarena.com/vv/bigpic/Pantech-A630K.jpg,"3.2 inches, 29.1 cm2(~46.0% screen-to-body ratio)",Pantech SKY Izar IM-A630K,,,"Black, White","TFT,  256K colors",,,114.4 x 55.4 x 13.4 mm (4.50 x 2.18 x 0.53 in),4GB,2.0,,"GPS, A-GPS",No,HSDPA 2100,,Yes,Removable Li-Po 1100 mAh battery,,Accelerometer,
No,,,Up to 358 h,,,,Yes,"2.1, A2DP, EDR",Yes,,,,SNS applicationsMP3 playerMP4/H.263 playerOrganizerVoice memo/dial/commandsPredictive text input,,,No,QWERTY,Mini-SIM,2 MP,116 g (4.09 oz),,Yes,Discontinued,No,,,CDMA 800 / 1900,,,"320 x 320 pixels, 1:1 ratio (~174 ppi density)",Up to 4 h 36 min,microSDHC (dedicated slot),,,"2010, June. Released 2010, June",,CDMA,2.5 mm audio jack,0.89 W/kg (head)     0.27 W/kg (body),Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-jest.jpg,"2.6 inches, 21.8 cm2(~36.2% screen-to-body ratio)",Pantech Jest,,"SMS, MMS, Email, IM",Black,"TFT, 256K colors","1000 entries, Photocall",No,94 x 64 x 15 mm (3.70 x 2.52 x 0.59 in),975MB,microUSB,No,No,No,,,Yes,Removable Li-Ion 920 mAh battery,,,No
No,,,Up to 250 h,,,,Yes,"2.0, A2DP",Yes,,,,,,,No,QWERTY,Mini-SIM,1.3 MP,91 g (3.21 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Up to 3 h,microSDHC (dedicated slot),HSPA,,"2010, March. Released 2010, April",,GSM / HSPA,MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-link.jpg,"2.4 inches, 17.8 cm2(~25.4% screen-to-body ratio)",Pantech Link,,"SMS, MMS, Email, IM",Black,"TFT, 256K colors","1000 entries, Photocall",,115.2 x 60.9 x 9.9 mm (4.54 x 2.40 x 0.39 in),,2.0,,"GPS, A-GPS",No,HSDPA 850 / 1900,,320p@15fps,Removable Li-Ion 930 mAh battery,,,Yes
No,,,Up to 360 h,,,,"Yes, with stereo speakers","2.0, A2DP",Yes,,,,,About 180 EUR,,No,QWERTY,Mini-SIM,2 MP,99.2 g (3.49 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 400 pixels, 5:3 ratio (~146 ppi density)",Up to 5 h,microSDHC (dedicated slot),HSPA 7.2/2 Mbps,,"2010, June. Released 2010, June 20",,GSM / HSPA,MP3/WAV/WMA playerMP4/H.263 playerOrganizer,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-ease.jpg,"3.2 inches, 29.1 cm2(~44.2% screen-to-body ratio)",Pantech Ease,,"SMS, MMS, Email, IM",Black/Gray,"TFT, 256K colors","Yes, Photocall",,113.8 x 57.9 x 14.2 mm (4.48 x 2.28 x 0.56 in),50MB,2.0,,"GPS, A-GPS",No,HSDPA 850 / 1900,,Yes,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
No,,,Up to 360 h,,,,Yes,"2.0, A2DP, EDR",Yes,,,,,,,No,QWERTY,Mini-SIM,2 MP,129.8 g (4.55 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,microSDHC (dedicated slot),HSPA 3.6/0.384 Mbps,,"2010, May. Released 2010, June",,GSM / HSPA,MP3/WAV/WMA playerMP4/H.263 playerMusic ID recognitionShake controlOrganizerVoice memoPredictive text input,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pursuit.jpg,"2.8 inches, 24.3 cm2(~40.8% screen-to-body ratio)",Pantech Pursuit,,"SMS, MMS, Email, IM","Blue, Green","TFT resistive touchscreen, 256K colors","Yes, Photocall",,93.2 x 63.8 x 14.7 mm (3.67 x 2.51 x 0.58 in),50MB,2.0,,A-GPS only; AT&T Navigator,No,HSDPA 850 / 1900,,Yes,Removable Li-Ion 930 mAh battery,,,"Yes, MIDP 2.0"
Secondary display,,,Up to 336 h,,,,Yes,"2.0, A2DP",Yes,,,,MP4/H.264 playerMP3/e-AAC+/WAV playerVoice dial/memoPredictive text input,About 170 EUR,,No,QWERTY,Mini-SIM,2 MP,125 g (4.41 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,WAP 2.0 / xHTML,"400 x 240 pixels, 5:3 ratio (~179 ppi density)",Up to 5 h,microSDHC (dedicated slot),HSPA 3.6/0.384 Mbps,,"2009, November. Released 2009, November",,GSM / HSPA,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-impact-ofic.jpg,"2.6 inches, 19.2 cm2(~34.9% screen-to-body ratio)",Pantech Impact,,"SMS, MMS, Email, IM","Black, Pink","TFT, 256K colors","1000 entries, Photocall",,106 x 52 x 17.8 mm (4.17 x 2.05 x 0.70 in),80MB,microUSB 2.0,,A-GPS only; AT&T Navigator,No,HSDPA 850 / 1900 / 2100,,320p@15fps,Removable Li-Ion 950 mAh battery,,,"Yes, MIDP 2.1"
No,,,Up to 244 h (2G) / - (3G),,,,Yes,"2.0, A2DP",Yes,,,,,About 170 EUR,,No,QWERTY,Mini-SIM,1.3 MP,112 g (3.95 oz),,Yes,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,WAP 2.0/xHTML,"320 x 240 pixels, 4:3 ratio (~182 ppi density)",Up to 3 h (2G) / - (3G),microSDHC (dedicated slot),HSPA 3.6/0.384 Mbps,,"2009, October. Released 2009, October",,GSM / HSPA,MP4/H.264 playerMP3/eAAC+/WMA playerOrganizerVoice memo/dialPredictive text input,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-c790-reveal.jpg,"2.2 inches, 2.2, 15.0 cm2(~25.2% screen-to-body ratio)",Pantech C790 Reveal,,"SMS, MMS, Email, IM","Red, Blue","TFT, 256K colors","1000 entries, Photocall",,99 x 60 x 14.8 mm (3.90 x 2.36 x 0.58 in),80MB,2.0,,AT&T A-GPS only,"Stereo FM radio, RDS",HSDPA 850 / 1900 / 2100,,320p@15fps,Removable Li-Ion 950 mAh battery,,,"Yes, MIDP 2.0"
Dual slide design,,528 MHz,249 h,,,,Yes,"2.0, A2DP",,Microsoft Windows Mobile 6.1 Standard,,,AT&T NavigatorMP3/MP4 playerVoice memo,About 210 EUR,,No,QWERTY,Mini-SIM,2 MP,122 g (4.30 oz),,,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~167 ppi density)",3 h,microSDHC (dedicated slot),HSPA 3.6/0.384 Mbps,,"2009, February. Released 2009, February",,GSM / HSPA,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-matrix-pro.jpg,"2.4 inches, 17.8 cm2(~33.2% screen-to-body ratio)",Pantech Matrix Pro,,,Steel Blue,"TFT, 256K colors",,,105.9 x 50.8 x 21.6 mm (4.17 x 2.0 x 0.85 in),"128MB RAM, 256MB ROM",Proprietary,,"GPS, A-GPS",No,HSDPA 850 / 1900 / 2100,,Yes,Removable Li-Po 1320 mAh battery,,,
Jog Wheel,,,Up to 240 h,,,,Yes,"1.2, A2DP",Yes,,,,AT&T NavigatorMP3/MP4 playerVoice memoPredictive text input,About 100 EUR,,No,QWERTY,Mini-SIM,1.3 MP,91 g (3.21 oz),,"30 dialed, 30 received, 30 missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML",220 x 176 pixels (~128 ppi density),Up to 3 h,No,,,"2008, October. Released 2008, October",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-slate.jpg,"2.2 inches, 15.2 cm2(~22.2% screen-to-body ratio)",Pantech Slate,,"SMS, MMS, Email",Black,"TFT, 256K colors","1000 contacts, Photo call",Class 10,107 x 64 x 10 mm (4.21 x 2.52 x 0.39 in),20MB,2.0,Class 10,GPS,No,,,Yes,Removable Li-Ion 950 mAh battery,,,"Yes, MIDP 2.0"
Dual slide design,,,,,,,Yes,"1.2, A2DP",Yes,,,,Full QWERTY keyboard,About 150 EUR,AT&T NavigatorMP3/MP4 playerVoice memo,No,,Mini-SIM,1.3 MP,132 g (4.66 oz),,"30 dialed, 30 received, 30 missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio",,microSD (dedicated slot),HSPA 3.6/0.384 Mbps,,"2008, October. Released 2008, October",,GSM / HSPA,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-matrix.jpg,,Pantech Matrix,,"SMS, MMS, Email, Instant Messaging","Gray, Blue","TFT, 256K colors","1000 contacts, Photo call",,102 x 50 x 20 mm (4.02 x 1.97 x 0.79 in),,Proprietary,,GPS,No,HSDPA 850 / 1900,,Yes,Removable Li-Po battery,,,"Yes, MIDP 2.0"
Dual slide design,,Marvell PXA270 416 MHz,Up to 240 h,,,"Vibration; Downloadable polyphonic, MP3, WMA, WAV ringtones",Yes,"1.2, A2DP",,Windows Mobile 6 Standard,,,Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager,About 110 EUR,,Yes,QWERTY,Mini-SIM,1.3 MP,110 g (3.88 oz),,,Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 3 h,microSD (dedicated slot),HSPA,,"2007, October. Released 2007, October",,GSM / HSPA,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech_duo.jpg,"2.2 inches, 15.0 cm2(~29.4% screen-to-body ratio)",Pantech Duo,,,Black,"TFT, 256K colors",,,102 x 50 x 19.9 mm (4.02 x 1.97 x 0.78 in),"64MB RAM, 128MB ROM",1.1,,No,No,HSDPA 850 / 1900,,No,Removable Li-Po 1320 mAh battery,,,
Video telephonyMP3/AAC/AAC+/AAC++ playerFile managerPhoto editing,,,,,VGA videocall camera,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,1.1,No,,,,,,,No,,Mini-SIM,1.3 MP,92 g (3.25 oz),,"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels (~148 ppi density),,microSD (dedicated slot),"Yes, 384 kbps",,"2006, November",,GSM / UMTS,,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-u4000.gif,"1.9 inches, 11.4 cm2(~27.8% screen-to-body ratio)",Pantech U-4000,,"SMS, MMS, Email, Instant Messaging",Silver black,"TFT, 260K colors",Yes,,95 x 43 x 16.5 mm (3.74 x 1.69 x 0.65 in),30MB,2.0,,No,No,UMTS 2100,,Yes,Removable Li-Ion 820 mAh battery,,,"Yes, MIDP 2.0"
Second external 65K colors CSTN display (96 x 96 pixels),,,Up to 240 h,,,"Vibration; Downloadable polyphonic, MP3 ringtones",No,No,Yes,,,,MP3 playerPredictive text inputOrganizerVoice memo,,,No,,Mini-SIM,VGA,80 g (2.82 oz),,"20 dialed, 20 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio",Up to 4 h,No,,,"2006, Q3",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg3300.gif,,Pantech PG-3300,,"SMS, EMS, MMS","Black, Pink","TFT, 256K colors","800 entries, Photo call",Class 10,82.5 x 41.5 x 18.5 mm (3.25 x 1.63 x 0.73 in),14MB,Proprietary,No,No,No,,,Yes,Removable Li-Ion 710 mAh battery,,,"Yes, MIDP 2.0"
