,256GB 12GB RAM,Dimensions,Camera,Model Image,Type_1,Build,Battery (old),_1,512GB 12GB,Model Name,Models,Loudspeaker_1,Card slot,Brand,256GB 8GB,Speed,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,64GB 4GB RAM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Features_1,128GB 6GB RAM,Price,Display,Single_1,Type,256GB 8GB RAM,Chipset,64GB 3GB RAM,WLAN,128GB 8GB RAM,3G bands,Size,Single,Bluetooth,Radio,USB,Protection,Dual,Status,Internal,Performance,OS,Colors,128GB 4GB RAM,Battery (new),5G bands,512GB 12GB RAM,Weight,Infrared port,Resolution
"IP53, dust and splash resistant",€ 313.58,165.5 x 76.1 x 7.9 mm (6.52 x 3.00 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-6-pro-11.jpg,6000 mAh,"Glass front, plastic frame, plastic back",,24-bit/192kHz Hi-Res & Hi-Res wireless audio,,Tecno Pova 6 Pro,LI9,-25.2 LUFS (Very good),microSDXC (dedicated slot),Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","1440p@30fps, 1080p@30/60fps","70W wired, 50% in 20 min, 100% in 50 min10W reverse wired",,Mali-G57 MC2,"2024, February 26",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30/60fps",Yes,,LTE,Dual-LED flash,Dual-LED dual-tone flash,,€ 313.58,1070 nits max brightness (measured),,"AMOLED, 120Hz, 1300 nits (peak)",,Mediatek Dimensity 6080 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,"6.78 inches, 109.9 cm2(~87.2% screen-to-body ratio)","32 MP, f/2.2, 22mm (wide), 1/3.1"", 0.7µm","5.3, A2DP, LE",FM radio,USB Type-C 2.0,,"108 MP, f/1.9, 24mm (wide), 1/1.52"", 0.7µm, PDAF2 MP, (depth)0.08 MP (auxiliary lens)","Available. Released 2024, April 4","256GB 8GB RAM, 256GB 12GB RAM","AnTuTu: 390556 (v9), 433321 (v10)GeekBench: 1890 (v5), 2035 (v6)3DMark: 373 (Wild Life Extreme)","Android 14, HIOS 14","Comet Green, Meteorite Grey",,Active use score 14:22h,SA/NSA,,198 g (6.98 oz),Yes,1080 x 2436 pixels (~393 ppi density)
"IP53, dust and splash resistant",,164.7 x 75 x 7.6 mm (6.48 x 2.95 x 0.30 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-20-pro-plus.jpg,5000 mAh,"Glass front (Gorilla Glass 5), plastic back, plastic frame",,Always-On display,,Tecno Spark 20 Pro+,KJ7,-25.2 LUFS (Very good),No,Tecno,,"HSPA, LTE (CA)",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","1440p@30fps, 1080p@30/60fps",33W wired,24-bit/192kHz Hi-Res & Hi-Res wireless audio,Mali-G57 MC2,"2023, December 29",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,No,"1440p@30fps, 1080p@30fps",Yes,,LTE,"Quad-LED flash, HDR",Dual-LED flash,,,549 nits max brightness (measured),,"AMOLED, 1B colors, 120Hz, 1000 nits (peak)",,Mediatek Helio G99 Ultimate,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 900 / 2100,"6.78 inches, 109.9 cm2(~89.0% screen-to-body ratio)","32 MP, f/2.2, (wide), 1/3.1"", 0.7µm","5.2, A2DP, LE",FM radio,USB Type-C,Corning Gorilla Glass 5,"108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF2 MP, f/2.4 (macro)","Available. Released 2024, February 09",256GB 8GB RAM,"AnTuTu: 386262 (v9), 433988 (v10)GeekBench: 1787 (v5), 1953 (v6)3DMark: 347 (Wild Life Extreme)",Android 14,"Temporal Orbits, Lunar Frost, Radiant Starstream, Magic Skin 2.0 Green",,Active use score 11:56h,,,179 g (6.31 oz),,1080 x 2436 pixels (~393 ppi density)
"IP53, dust and splash resistant",,168.6 x 76.6 x 8.4 mm (6.64 x 3.02 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-20-pro.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,,,Tecno Spark 20 Pro,KJ6,,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,33W wired,,Mali-G57 MC2,"2023, December 15",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,LTE,"Quad-LED flash, HDR",Dual-LED flash,,About 60 EUR,,,"IPS LCD, 120Hz",,Mediatek Helio G99 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 900 / 2100,"6.78 inches, 109.2 cm2(~84.5% screen-to-body ratio)","32 MP, f/2.2, (wide)","5.2, A2DP, LE",FM radio,USB Type-C,,"108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF2 MP, (macro)","Available. Released 2023, December",256GB 8GB RAM,,Android 13,"Moonlit Black, Frosty Ivory, Sunset Blush, Magic Skin 2.0 Green",,,,,-,,1080 x 2460 pixels (~396 ppi density)
"IP53, dust and splash resistant",,163.7 x 75.6 x 8.5 mm (6.44 x 2.98 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-20.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,,,Tecno Spark 20,"KJ5, KJ5n",,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,18W wired,,Mali-G52 MC2,"2023, December 01",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",No,,LTE,"Dual-LED flash, HDR",Dual-LED flash,,,,"32 MP, f/2.2, (wide)","IPS LCD, 90Hz",,Mediatek MT6769Z Helio G85 (12 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 900 / 2100,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)","50 MP, f/1.6, (wide), 0.64µm, PDAF0.08 MP (auxiliary lens)","5.2, A2DP, LE",FM radio,"USB Type-C, OTG",,,"Available. Released 2023, December","128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,"Android 13, HIOS 13","Gravity Black, Cyber White, Neon Gold, Magic Skin 2.0 (Blue)",,,,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
,,163.7 x 75.6 x 8.6 mm (6.44 x 2.98 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-20c.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,,,Tecno Spark 20C,"BG7n, BG7",,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, compass",Yes,18W wired,,,"2023, November 27",Octa-core 2.2 GHz Cortex-A53,GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Dual-LED flash, HDR",Dual-LED flash,,About 150 EUR,,8 MP,"IPS LCD, 90Hz",,Mediatek,,Yes,,HSDPA 900 / 2100,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)","50 MP, (wide), 1/2.8"", PDAF0.08 MP (auxiliary lens)",Yes,FM radio,"USB Type-C, OTG",,,"Available. Released 2023, December","128GB 4GB RAM, 128GB 8GB RAM, 256GB 4GB RAM",,Android 13,"Mystery White, Alpenglow Gold, Magic Skin, Gravity Black",,,,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
eMMC 5.1,,163.7 x 75.6 x 8.6 mm (6.44 x 2.98 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-go-2024.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,,,Tecno Spark Go 2024,BG6,,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer",Yes,10W wired,,Mali-G57 MP1,"2023, November 21",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with dual speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Dual-LED flash, HDR",Dual-LED flash,,About 90 EUR,,8 MP,"IPS LCD, 90Hz",,Unisoc T606 (12 nm),,Yes,,HSDPA 900 / 2100,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)","13 MP, f/1.9, (wide), 1.12µm, AF0.08 MP (auxiliary lens)",Yes,FM radio,"USB Type-C, OTG",,,"Available. Released 2023, December 07","64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",,"Android 13 (Go edition), HIOS 13","Mystery White, Alpenglow Gold, Magic Skin, Gravity Black",,,,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
eMMC 5.1,,163.7 x 75.6 x 8.6 mm (6.44 x 2.98 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop8.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,,,Tecno Pop 8,"BG6h, BG6i",,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer",Yes,10W wired,,Mali-G57 MP1,"2023, October 30",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with dual speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Dual-LED flash, HDR",Dual-LED flash,,,,8 MP,"IPS LCD, 90Hz",,Unisoc T606 (12 nm),,Yes,,HSDPA 900 / 2100,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)","13 MP, f/1.8, (wide), 1.12µm, AF0.08 MP (auxiliary lens)",Yes,FM radio,"USB Type-C, OTG",,,"Available. Released 2023, November","64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",,Android 13 (Go edition),"Mystery White, Alpenglow Gold, Magic Skin, Gravity Black",,,,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
Always-on display,,162.7 x 75.9 x 7.8 mm (6.41 x 2.99 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon20-pro-5g.jpg,Li-Po 5000 mAh,,,24-bit/192kHz Hi-Res audio,,Tecno Camon 20s Pro 5G,CK8nB,,microSDXC (dedicated slot),Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",1080p@30fps,33W wired,,Mali-G77 MC9,"2023, November 17",Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps, HDR",No,"64 MP, f/1.7, (wide), 1/1.7"", 0.8µm, PDAF, OIS2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",LTE,"Ring-LED flash, panorama, HDR",Dual-LED flash,,About 200 EUR,,,"AMOLED, 120Hz",,Mediatek Dimensity 8020 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.67 inches, 107.4 cm2(~87.0% screen-to-body ratio)","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm","5.2, A2DP, LE",FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2023, November","128GB 8GB RAM, 256GB 8GB RAM",,"Android 13, HIOS 13","Dark Welkin, Serenity Blue",,,SA/NSA,,193 g (6.81 oz),,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)"
"Cover display:AMOLED1.32 inches, 466 x 466 pixels, 352 ppi, 800 nits (peak)",,Unfolded: 171.7 x 74.1 x 7 mmFolded: 88.8 x 74.1 x 15 mm,Photo/Video,https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-v-flip-5g-new.jpg,4000 mAh,"Eco leather back, aluminum frame, steel hinge",Endurance rating 88h,UFS 3.1,,Tecno Phantom V Flip,AD11,-22.7 LUFS (Excellent),No,Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity (incl. for accessories), compass","1440p@30fps, 1080p@30/60fps","45W wired, 50% in 15 min",,Mali-G77 MC9,"2023, September 22",Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,No,"4K@30fps, 1080p@30/60fps",Yes,,LTE,"LED flash, HDR, panorama",LED flash,,About 560 EUR,818 nits max brightness (measured),,"Foldable LTPO AMOLED, 120Hz, 1000 nits (peak)",,Mediatek Dimensity 8050 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,HSDPA 850 / 900 / 1900 / 2100,"6.9 inches, 107.6 cm2(~84.6% screen-to-body ratio)","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm, AF","5.1, A2DP, LE",Unspecified,USB Type-C,,"64 MP, f/1.7, 25mm (wide), 1/1.73"", 0.8µm, PDAF13 MP, f/2.2, (ultrawide), 1/3.0"", 1.12µm","Available. Released 2023, October 01",256GB 8GB RAM,"AnTuTu: 565851 (v9), 734846 (v10)GeekBench: 2805 (v5.5), 3333 (v6.0)GFXBench: 35fps (ES 3.1 onscreen)","Android 13, HIOS 13.5","Iconic Black, Mystic Dawn",,,SA/NSA,,194 g (6.84 oz),,1080 x 2640 pixels (~413 ppi density)
"Multiple LED lights on the back (notifications, low battery, game actions)",,168.5 x 76.5 x 9 mm (6.63 x 3.01 x 0.35 in),Photo/Video,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-5-pro.jpg,5000 mAh,"Glass front, plastic frame, plastic back",Endurance rating 90h,24-bit/192kHz Hi-Res audio,,Tecno Pova 5 Pro,LH8n,-25.6 LUFS (Very good),microSDXC (dedicated slot),Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,"68W wired, 50% in 15 min",,Mali-G57 MC2,"2023, August 01",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,LTE,Dual LED flash,LED flash,,€ 224.99,"1354:1 contrast ratio, 509 nits max brightness (measured)","16 MP, f/2.0, (wide)","IPS LCD, 120Hz, 580 nits (peak)",€ 224.99,Mediatek Dimensity 6080 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,"6.78 inches, 109.2 cm2(~84.7% screen-to-body ratio)","50 MP, f/1.6, (wide), PDAF0.08 MP (auxiliary lens)",Yes,FM radio,USB Type-C 2.0,,,"Available. Released 2023, August 22","128GB 8GB RAM, 256GB 8GB RAM","AnTuTu: 389037 (v9), 423437 (v10)GeekBench: 1884 (v5), 2102 (v6)GFXBench: 13fps (ES 3.1 onscreen)","Android 13, upgradable to Android 14, HIOS 14","Dark Illusion, Silver Fantasy, Free Fire Edition",,,SA/NSA,,212 g (7.48 oz),,1080 x 2460 pixels (~396 ppi density)
,,170.7 x 77.6 x 9.3 mm (6.72 x 3.06 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-neo-3.jpg,7000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Pova Neo 3,LH6n,,microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity, compass",Yes,18W wired,,Mali-G52 MC2,"2023, June 29",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,LTE,"Dual-LED flash, HDR, panorama",LED flash,,,,8 MP,"IPS LCD, 90Hz",,Mediatek MT6769Z Helio G85 (12 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,"6.82 inches, 110.5 cm2(~83.4% screen-to-body ratio)","16 MP, (wide), AF0.08 MP (auxiliary lens)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2023, July","128GB 4GB RAM, 128GB 8GB RAM",,"Android 13, HIOS","Amber Gold, Mecha Black, Hurricane Blue",,,,,-,,720 x 1640 pixels (~263 ppi density)
UFS 2.2,,168.6 x 76.6 x 9 mm (6.64 x 3.02 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-5.jpg,6000 mAh,"Glass front, plastic frame, plastic back",,24-bit/192kHz Hi-Res & Hi-Res Wireless audio,,Tecno Pova 5,LH7n,,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,"45W wired, 50% in 21 min, 100% in 60 min10W reverse wired",,Mali-G57 MC2,"2023, June 29",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,LTE,Dual LED flash,LED flash,,About 130 EUR,,8 MP,"IPS LCD, 120Hz, 580 nits (typ)",,Mediatek Helio G99 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,"6.78 inches, 109.2 cm2(~84.5% screen-to-body ratio)","50 MP, f/1.6, (wide), 1/2.76"", PDAF0.08 MP (auxiliary lens)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2023, July","128GB 8GB RAM, 256GB 8GB RAM",,"Android 13, HIOS 13","Mecha Black, Amber Gold, Hurricane Blue, Free Fire Edition",,,,,219.4 g (7.76 oz),,1080 x 2460 pixels (~396 ppi density)
Always-on display,,161.9 x 74.3 x 8.2 mm (6.37 x 2.93 x 0.32 in),Photo/Video,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon20-premier-5g.jpg,5000 mAh,"Glass front, leather back",Endurance rating 107h,24-bit/192kHz Hi-Res audio,,Tecno Camon 20 Premier,CK9n,-27.8 LUFS (Good),No,Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",1080p@30fps,45W wired,,Mali-G77 MC9,"2023, May 09",Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,No,"4K@30fps, 1080p@30fps, HDR",Yes,"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, PDAF, sensor-shift OIS108 MP, f/2.2, 13mm, 115˚ (ultrawide), PDAF2 MP, f/2.4, (depth)",LTE,"Laser AF, Ring-LED flash, HDR, panorama",Dual-LED flash,,About 410 EUR,684 nits max brightness (measured),,"AMOLED, 120Hz",,Mediatek Dimensity 8050 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.67 inches, 107.4 cm2(~89.3% screen-to-body ratio)","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm","5.2, A2DP, LE",FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2023, May 09",512GB 8GB RAM,"AnTuTu: 673809 (v9), 802232(v10)GeekBench: 3074 (v5), 3348 (v6)GFXBench: 39fps (ES 3.1 onscreen)","Android 13, HIOS 13","Dark Welkin, Serenity Blue",,,SA/NSA,,202.5 g (7.16 oz),,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)"
Always-on display,,162.7 x 75.9 x 7.8 mm (6.41 x 2.99 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon20-pro-5g.jpg,5000 mAh,,,24-bit/192kHz Hi-Res audio,,Tecno Camon 20 Pro 5G,CK8n,,microSDXC (dedicated slot),Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",1080p@30fps,33W wired,,Mali-G77 MC9,"2023, May 09",Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps, HDR",Yes,"64 MP, f/1.7, (wide), 1/1.7"", 0.8µm, PDAF, OIS2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",LTE,"Ring-LED flash, panorama, HDR",Dual-LED flash,,About 270 EUR,,,"AMOLED, 120Hz",,Mediatek Dimensity 8050 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.67 inches, 107.4 cm2(~87.0% screen-to-body ratio)","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm","5.2, A2DP, LE",FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2023, May 09",256GB 8GB RAM,,"Android 13, HIOS 13","Dark Welkin, Serenity Blue",,,SA/NSA,,-,,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)"
Always-on display,,163.4 x 76.7 x 7.8 mm (6.43 x 3.02 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon20-pro.jpg,5000 mAh,,,24-bit/192kHz Hi-Res audio,,Tecno Camon 20 Pro,CK7n,,Unspecified,Tecno,,"HSPA, LTE",,,"Fingerprint (under display, optical), accelerometer, proximity, compass",1080p@30fps,33W wired,,Mali-G57 MC2,"2023, May 09",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"64 MP, f/1.7, 25mm (wide), 1/1.7"", 0.8µm, PDAF2 MP, f/2.4, (depth)QVGA",LTE,"Ring-LED flash, panorama, HDR",Dual-LED flash,,,,,"AMOLED, 120Hz",,Mediatek Helio G99 (6 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.67 inches, 107.4 cm2(~85.7% screen-to-body ratio)","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2023, May 09",256GB 8GB RAM,,"Android 13, HIOS 13","Predawn Black, Serenity Blue",,,,,-,,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)"
"IP53, dust and splash resistant",,163.4 x 76.7 x 7.8 mm (6.43 x 3.02 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon20-pro.jpg,5000 mAh,,,Always-on display,,Tecno Camon 20,"CK6, CK6n",,Unspecified,Tecno,,"HSPA, LTE",,,"Fingerprint (under display, optical), accelerometer, proximity, compass",1080p@30fps,33W wired,,Mali-G52 MC2,"2023, May 09",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"64 MP, f/1.7, 25mm (wide), 1/1.7"", 0.8µm, PDAF2 MP, f/2.4, (depth)QVGA",LTE,"Ring-LED flash, panorama, HDR",Dual-LED flash,,,,,AMOLED,,Mediatek MT6769Z Helio G85 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.67 inches, 107.4 cm2(~85.7% screen-to-body ratio)","32 MP, f/2.5, 24mm (wide), 1/2.8"", 0.8µm",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2023, May 09",256GB 8GB RAM,,"Android 13, HIOS 13","Predawn Black, Glacier Glow, Serenity Blue",,,,,-,,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)"
eMMC 5.1,,163.9 x 75.5 x 8.9 mm (6.45 x 2.97 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop7.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,,,Tecno Pop 7,BF6,,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,10W wired,,,"2023, March 28",,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,Dual-LED flas,Dual-LED flash,,,,5 MP,IPS LCD,,,,Yes,,HSDPA 900 / 2100,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)","8 MP, f/2.0, (wide), AF0.08 MP (auxiliary lens)",Yes,FM radio,Yes,,,"Available. Released 2023, April",64GB 2GB RAM,,Android 12 (Go edition),"Endless Black, Capri Blue",,,,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
,,164.4 x 75.5 x 8.4 mm (6.47 x 2.97 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark10-5g.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Spark 10 5G,KI8,,microSDXC,Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,18W wired,,Mali-G57 MC2,"2023, March 23",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,Dual-LED flash,Dual-LED flash,,About 200 EUR,,"8 MP, f/2.0, (wide)","IPS LCD, 90Hz",,Mediatek Dimensity 6020 (7 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.6 inches, 104.6 cm2(~84.3% screen-to-body ratio)","50 MP, f/1.6, (wide), PDAF0.08 MP (auxiliary lens)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2023, April 07","64GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,"Android 13, HIOS 12.6","Black, Blue, White",,,SA/NSA,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
