,Positioning,Languages,Java,Talk time,Video,_1,WLAN,Messaging,GPRS,Phonebook,Alert types,USB,OS,CPU,2G bands,Announced,Internal,Status,3.5mm jack,Games,EDGE,_3,_2,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Infrared port,Colors,Resolution,Sensors,_4,Clock,Radio,Bluetooth,Browser,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Alarm,Stand-by
Picture menuSoftkey,No,8,No,3 h,,Detailed call duration reports,No,SMS,No,100,Vibration; Monophonic ringtones,,,,GSM 900 / 1800,2000,,Discontinued,No,Yes,No,Ascending ring tone,No,Mitsubishi Trium Mars,Mini-SIM,Mitsubishi,Monochrome graphic,GSM,,https://fdn2.gsmarena.com/vv/bigpic/mimars.gif,120 g (4.23 oz),"10 dialed, 10 received, 10 missed calls",,3,5 x 13 to 25 chars,,Predictive text inputScratchpadCurrency converter,Yes,No,No,WAP 1.1,,120 x 50 x 28 mm (4.72 x 1.97 x 1.10 in),No,Yes,Removable NiMH 800 mAh battery,,Yes,130 h
Picture menuSoftkey,No,8,No,3 h,,Detailed call duration reports,No,SMS,No,100,Vibration; Monophonic ringtones,,,,GSM 900 / 1800,1999,,Discontinued,No,Yes,No,Ascending ring tone,No,Mitsubishi Trium Geo-@,Mini-SIM,Mitsubishi,Monochrome graphic,GSM,,https://fdn2.gsmarena.com/vv/bigpic/migeo2b.gif,149 g (5.26 oz),"10 dialed, 5 received, 5 missed calls",,2 - Wine red & Dark grey,5 x 13 to 25 chars,,ScratchpadCurrency converter,Yes,No,No,WAP,,"132 x 49 x 29 mm, 140 cc (5.20 x 1.93 x 1.14 in)",No,No,Removable NiMH 900 mAh battery,,Yes,150 h
Detailed call duration reports,No,8,,2 h 30 min,,No,No,,No,,Vibration; Monophonic ringtones,,Microsoft Windows PocketPC,64-bit NEC VR4131 166 MHz,GSM 900 / 1800,2000,,Discontinued,No,,No,Predictive text inputCalculatorPDA compatibleMP3 reader,Ascending ring tone,Mitsubishi Trium Mondo,Mini-SIM,Mitsubishi,"Monochrome resistive touchscreen, 16 shades",GSM,,https://fdn2.gsmarena.com/vv/bigpic/mimondb.gif,200 g (7.05 oz),,Yes,,"240 x 320 pixels, 4:3 ratio",,,Yes,No,No,WAP 1.1,,139.5 x 84 x 19 mm (5.49 x 3.31 x 0.75 in),No,Yes,Removable NiMH battery,,Yes,100 h
Picture menuSoftkey,No,8,No,3 h,,Detailed call duration reports,No,SMS,No,100,Vibration; Monophonic ringtones,,,,GSM 900 / 1800,2000,,Discontinued,No,Yes,No,Ascending ring tone,No,Mitsubishi Trium xs,Mini-SIM,Mitsubishi,Monochrome graphic,GSM,,https://fdn2.gsmarena.com/vv/bigpic/mixsb.gif,120 g (4.23 oz),"10 dialed, 10 received, 10 missed calls",,3,5 x 13 to 25 chars,,Predictive text inputCalculatorScratchpadCurrency converter,Yes,No,No,WAP 1.1,,120 x 50 x 28 mm (4.72 x 1.97 x 1.10 in),No,No,Removable NiMH battery,,Yes,130 h
Picture menuSoftkey,No,8,No,3 h,,Detailed call duration reports,No,SMS,No,100,Vibration; Monophonic ringtones,,,,GSM 900 / 1800,2000,,Discontinued,No,Yes,No,Ascending ring tone,No,Mitsubishi Trium fx,Mini-SIM,Mitsubishi,Monochrome graphic,GSM,,https://fdn2.gsmarena.com/vv/bigpic/mifxb.gif,120 g (4.23 oz),"10 dialed, 10 received, 10 missed calls",,3,5 x 13 to 25 chars,,Predictive text inputCalculatorScratchpadCurrency converter,Yes,No,No,WAP 1.1,,120 x 50 x 28 mm (4.72 x 1.97 x 1.10 in),No,No,Removable Li-Ion battery,,Yes,130 h
Picture menuSoftkey,No,8,No,3 h,,Detailed call duration reports,No,SMS,No,100,Vibration; Monophonic ringtones,,,,GSM 900 / 1800,2000,,Discontinued,No,Yes,No,Ascending ring tone,No,Mitsubishi Trium Cosmo,Mini-SIM,Mitsubishi,Monochrome graphic,GSM,,https://fdn2.gsmarena.com/vv/bigpic/micosmb.gif,69 g (2.43 oz),"10 dialed, 10 received, 10 missed calls",,2,5 x 13 to 25 chars,,Predictive text input for 5 languagesCalculatorAuto On/Off switchScratchpadCurrency converter,Yes,No,No,,,"103 x 51 x 16 mm, 72 cc (4.06 x 2.01 x 0.63 in)",No,No,Removable Li-Ion 540 mAh battery,,Yes,80 h
Picture menuSoftkey,No,8,No,2 h,,Detailed call duration reports,No,SMS,No,200,Vibration; Monophonic ringtones,,,,GSM 900 / 1800,2000,,Discontinued,No,Yes,No,Ascending ring tone,No,Mitsubishi Trium Aria,Mini-SIM,Mitsubishi,Monochrome graphic,GSM,,https://fdn2.gsmarena.com/vv/bigpic/miariab.gif,90 g (3.17 oz),"10 dialed, 10 received, 10 missed calls",,2,5 x 13 to 25 chars,,Predictive text input for 5 languagesOrganizerAuto On/Off switchScratchpad,Yes,No,No,,,"123 x 40 x 23 mm, 90 cc (4.84 x 1.57 x 0.91 in)",No,No,Removable Li-Ion 580 mAh battery,,Yes,75 h
Picture menuSoftkey,No,8,No,3 h,,Detailed call duration reports,No,SMS,No,100,Vibration; Monophonic ringtones,,,,GSM 900 / 1800,1999,,Discontinued,No,No,No,Ascending ring tone,No,Mitsubishi Trium Geo,Mini-SIM,Mitsubishi,Monochrome graphic,GSM,,https://fdn2.gsmarena.com/vv/bigpic/migeob.gif,149 g (5.26 oz),"10 dialed, 5 received, 5 missed calls",,3,5 x 13 to 25 chars,,ScratchpadCurrency converter,Yes,No,No,,,"132 x 49 x 29 mm, 140 cc (5.20 x 1.93 x 1.14 in)",No,No,Removable NiMH 900 mAh battery,,Yes,150 h
Picture menuSoftkey,No,8,No,3 h,,Detailed call duration reports,No,SMS,No,100,Monophonic ringtones,,,,GSM 900 / 1800,1999,,Discontinued,No,No,No,Ascending ring tone,No,Mitsubishi Trium Astral,Mini-SIM,Mitsubishi,Monochrome graphic,GSM,,https://fdn2.gsmarena.com/vv/bigpic/miastrb.gif,149 g (5.26 oz),"10 dialed, 5 received, 5 missed calls",,3,5 x 13 to 25 chars,,ScratchpadCurrency converter,No,No,No,,,"132 x 49 x 29 mm, 140 cc (5.20 x 1.93 x 1.14 in)",No,No,Removable NiMH 900 mAh battery,,No,150 h
Picture menuSoftkey,No,8,No,3 h,,Detailed call duration reports,No,SMS,No,100,Monophonic ringtones,,,,GSM 900 / 1800,1999,,Discontinued,No,No,No,Ascending ring tone,No,Mitsubishi Trium Galaxy,Mini-SIM,Mitsubishi,Monochrome graphic,GSM,,https://fdn2.gsmarena.com/vv/bigpic/migalab.gif,149 g (5.26 oz),"10 dialed, 5 received, 5 missed calls",,3,5 x 13 to 25 chars,,ScratchpadCurrency converter,No,No,No,,,"132 x 49 x 29 mm, 140 cc (5.20 x 1.93 x 1.14 in)",No,No,Removable NiMH 900 mAh battery,,No,150 h
