,Positioning,Quad,Single_1,4G bands,Java,Talk time,Video,Charging,Video_1,_1,Dual,WLAN,Messaging,SAR EU,GPRS,Phonebook,3G bands,CPU,OS,USB,2G bands,Announced,Internal,Chipset,GPU,Status,3.5mm jack,Price,Music play,Features_1,Build,Games,NFC,EDGE,_3,_2,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Keyboard,Infrared port,Colors,Resolution,Protection,Speed,Sensors,_4,Models,Radio,Bluetooth,SAR,Features,Browser,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
,GPS,,5 MP,,,Up to 9 h (3G),Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Octa-core 1.4 GHz Cortex-A7,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, November. Released 2015, November",16GB 2GB RAM,Mediatek MT6592M (28 nm),Mali-450MP4,Discontinued,Yes,About 120 EUR,,,,,No,,,,Micromax Canvas Nitro 3 E352,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~66.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-nitro3-e352.jpg,-,,,,Black,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,E352,FM radio,"4.0, A2DP",,LED flash,,144.3 x 72 x 8.7 mm (5.68 x 2.83 x 0.34 in),microSDHC,Yes,"Li-Ion 2500 mAh, removable","13 MP, AF",Up to 375 h (3G)
,GPS,,2 MP,"3, 40",,Up to 6 h 30 min,720p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.0 GHz Cortex-A53,Android 5.1 (Lollipop),microUSB 2.0,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, November. Released 2015, November",16GB 2GB RAM,Mediatek MT6735P (28 nm),Mali-T720MP2,Discontinued,Yes,About 60 EUR,,,,,No,,,,Micromax Canvas Xpress 4G Q413,Dual SIM (Micro-SIM),Micromax,IPS LCD,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~66.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-express-4g-q413.jpg,155 g (5.47 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"HSPA, LTE Cat4 150/50 Mbps","Accelerometer, proximity",,Q413,FM radio,"4.0, A2DP",,LED flash,,142.7 x 72.8 x 8.7 mm (5.62 x 2.87 x 0.34 in),microSDHC,Yes,"Li-Ion 2000 mAh, removable","8 MP, f/2.0, AF",Up to 182 h
,GPS,,2 MP,"3, 5, 40",,Up to 5 h,720p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.0 GHz Cortex-A53,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, November. Released 2015, November",8GB 1GB RAM,Mediatek MT6735M (28 nm),Mali-T720MP2,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Blaze 4G+ Q414,Dual SIM (Mini-SIM/ Micro-SIM),Micromax,IPS LCD,GSM / HSPA / LTE,"4.5 inches, 55.8 cm2(~65.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-blaze-4g-plus-q414.jpg,119 g (4.20 oz),,,,Black,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity",,,FM radio,"4.0, A2DP",,LED flash,,131 x 65.5 x 8.2 mm (5.16 x 2.58 x 0.32 in),microSDHC,Yes,"Li-Ion 1750 mAh, removable","8 MP, AF",Up to 200 h
,GPS,,2 MP,"3, 5, 40",,Up to 9 h,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.1 GHz,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, November. Released 2015, November",4GB 1GB RAM,,,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Pace 4G Q416,Dual SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-pace-4g-q416.jpg,-,,,,Black,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity",,,FM radio,"4.0, A2DP",,LED flash,,143 x 72 x 8.8 mm (5.63 x 2.83 x 0.35 in),microSDHC,Yes,"Li-Ion 2500 mAh, removable","5 MP, AF",Up to 375 h
,GPS,,5 MP,LTE 850 / 1800 / TD-LTE 2300,,Up to 10 h (3G),1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Octa-core 1.3 GHz Cortex-A53,"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)",microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, November. Released 2015, November",16GB 3GB RAM,Mediatek MT6753 (28 nm),Mali-T720MP3,Discontinued,Yes,About 170 EUR,,LED flash,,,No,,,,Micromax Canvas 5 E481,"Dual SIM (Micro-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA / LTE,"5.2 inches, 74.9 cm2(~68.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-5-e481.jpg,143 g (5.04 oz),,,,Black,"1080 x 1920 pixels, 16:9 ratio (~423 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity, compass",,E481,FM radio,"4.0, A2DP",,LED flash,,148 x 73.6 x 8.3 mm (5.83 x 2.90 x 0.33 in),microSDXC (dedicated slot),Yes,"Li-Ion 2900 mAh, non-removable","13 MP, AF",Up to 275 h (3G)
,GPS,,5 MP,,,Up to 10 h (3G),1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Octa-core 1.4 GHz,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, October. Released 2015, November",8GB 1GB RAM,,,Discontinued,Yes,About 150 EUR,,,,,No,,,,Micromax Canvas Mega E353,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.5 inches, 83.4 cm2(~68.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-mega-e353.jpg,-,,,,Black,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Corning Gorilla Glass 3,HSPA,Yes,,,FM radio,"4.0, A2DP",,LED flash,,154 x 78.7 x 8.9 mm (6.06 x 3.10 x 0.35 in),microSDHC,Yes,"Li-Ion 2820 mAh, removable","13 MP, AF",Up to 600 h (3G)
,GPS,,5 MP,,,Up to 7 h (3G),720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 5.0 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, October. Released 2015, November",8GB 2GB RAM,Mediatek MT6580 (28 nm),Mali-400MP2,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Amaze Q395,"Dual SIM (Micro-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-amaze-q395.jpg,-,,,,Black,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,HSPA,"Accelerometer, gyro, proximity, compass",,,FM radio,"4.0, A2DP",,LED flash,,-,microSDHC,Yes,"Li-Ion 2000 mAh, removable","13 MP, AF",Up to 260 h (3G)
eMMC 4.5,GPS,,5 MP,LTE 800 / 1800 / 2600 TD-LTE 2300,,Up to 10 h (3G),1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.2 GHz Cortex-A53,Android 5.0.2 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, October. Released 2015, November",16GB 2GB RAM,Qualcomm MSM8916 Snapdragon 410 (28 nm),Adreno 306,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Play 4G Q469,Dual SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"5.5 inches, 83.4 cm2(~54.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-play-4g-q469.jpg,100 g (3.53 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Corning Gorilla Glass 3,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity, compass",,Q469,FM radio,"4.0, A2DP",,LED flash,,164 x 94 x 0 mm (6.46 x 3.70 x 0.0 in),microSDHC,Yes,"Li-Ion 2820 mAh, removable","13 MP, AF",Up to 230 h (3G)
,GPS,,2 MP,,,Up to 6 h 30 min,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, October. Released 2015, November",4GB 512MB RAM,,,Discontinued,Yes,,,,,,No,,,,Micromax Bolt Q332,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-q332.jpg,140.9 g (4.97 oz),,,,Black,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,HSPA 42.2/11.5 Mbps,Yes,,,FM radio,"4.0, A2DP",,LED flash,,141.2 x 73.1 x 9.8 mm (5.56 x 2.88 x 0.39 in),microSDHC,Yes,"Li-Ion 2000 mAh, removable",5 MP,Up to 225 h
,GPS,,5 MP,,,Up to 12 h,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 5.0 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, October. Released 2015, November",16GB 2GB RAM,Mediatek MT6582M (28 nm),Mali-400MP2,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Juice 3+ Q394,"Dual SIM (Micro-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA,"5.5 inches, 83.4 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-juice-3-plus-q394.jpg,152 g (5.36 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Corning Gorilla Glass 3,HSPA,"Accelerometer, gyro, proximity, compass",,,FM radio,3.0,,LED flash,,-,microSDHC,Yes,"Li-Ion 4000 mAh, non-removable","8 MP, AF",Up to 500 h
,,,2 MP,,,Up to 5 h 30 min,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.2 GHz,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, October. Released 2015, October",4GB 512MB RAM,Spreadtrum SC7731,,Discontinued,Yes,,,,,,No,,,,Micromax Bolt Q339,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"4.5 inches, 55.8 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-q339.jpg,-,,,,Black,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,FM radio,"4.0, A2DP",,LED flash,,-,microSDHC,Yes,"Li-Ion 1650 mAh, removable",5 MP,Up to 280 h
,,,5 MP,,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, September. Released 2015, September",8GB 1GB RAM,Mediatek MT6580 (28 nm),Mali-400MP2,Discontinued,Yes,,,,,,No,,,,Micromax Bolt Q338,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~68.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-q338.jpg,157 g (5.54 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass (unspecified version),HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,FM radio,"4.0, A2DP",,LED flash,,142.5 x 71 x 9.3 mm (5.61 x 2.80 x 0.37 in),microSDHC,Yes,"Li-Ion 2000 mAh, removable","8 MP, AF",
,,,2 MP,,,Up to 6 h,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.2 GHz,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, October. Released 2015, October",4GB 512MB RAM,Spreadtrum 7731G,,Discontinued,Yes,,,,,,No,,,,Micromax Bolt Q331,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-q331.jpg,-,,,,Black,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,FM radio,2.1,,LED flash,,,microSDHC,Yes,"Li-Ion 2000 mAh, removable",5 MP,Up to 200 h
,A-GPS only,,1.3 MP,,,Up to 4 h,480p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,1.0 GHz,Android 4.4.3 (KitKat),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2015, October. Released 2015, October",4GB 512MB RAM,Spreadtrum SC7715,,Discontinued,Yes,,,,,,No,,,,Micromax Bolt S302,Dual SIM,Micromax,"TFT, 256K colors",GSM / HSPA,"4.0 inches, 45.5 cm2(~56.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-s302.jpg,-,,,,Black,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,HSPA 21.1/5.76 Mbps,Accelerometer,,,FM radio,2.1,,LED flash,,124.2 x 64.5 x 11 mm (4.89 x 2.54 x 0.43 in),microSDHC,Yes,"Li-Ion 1450 mAh, removable",2 MP,Up to 200 h
,,,2 MP,"3, 40",,Up to 6 h 30 min,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.0 GHz Cortex-A53,Android 5.1 (Lollipop),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2015, September. Released 2015, September",8GB 1GB RAM,Mediatek MT6735 (28 nm),Mali-T720MP2,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Fire 4G Q411,Dual SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"4.5 inches, 55.8 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-fire-4g-q411.jpg,-,,,,Black,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity",,,FM radio,"4.0, A2DP",,LED flash,,-,microSDHC,"Yes, dual speakers","Li-Ion 1850 mAh, removable","5 MP, AF",Up to 320 h
eMMC 4.5,GPS,,2 MP,"3, 7, 40",,Up to 6 h,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.1 GHz Cortex-A7,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, October. Released 2015, October",8GB 1GB RAM,Qualcomm MSM8909 Snapdragon 210 (28 nm),Adreno 304,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Blaze 4G Q400,Dual SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"4.5 inches, 55.8 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-blaze-4g-q400.jpg,-,,,,Black,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity",,,FM radio,"4.0, A2DP",,LED flash,,-,microSDHC,"Yes, dual speakers","Li-Ion 2000 mAh, removable","5 MP, AF",Up to 220 h
,GPS,,2 MP,,,Up to 14 h,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, September. Released 2015, September",8GB 2GB RAM,Mediatek MT6580 (28 nm),Mali-400MP2,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Juice 3 Q392,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~69.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-juice-3-q392.jpg,150 g (5.29 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,Q392,FM radio,"4.0, A2DP",,LED flash,,141 x 70 x 8.9 mm (5.55 x 2.76 x 0.35 in),microSDHC,Yes,"Li-Ion 4000 mAh, non-removable","8 MP, AF",Up to 514 h
,GPS,,2 MP,,,Up to 6 h 30 min,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 5.1 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, September. Released 2015, September",4GB 768MB RAM,Mediatek MT6580M (28 nm),Mali-400MP2,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Spark 2 Q334,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~64.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-spark-2-q334.jpg,154 g (5.43 oz),,,,Black,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,FM radio,"4.0, A2DP",,LED flash,,145.2 x 73.2 x 9.1 mm (5.72 x 2.88 x 0.36 in),microSDHC,Yes,"Li-Ion 1800 mAh, removable",5 MP,Up to 324 h
eMMC 4.5,GPS,,5 MP,LTE 1800 / 2100 / 2300,,Up to 8 h (3G),1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,0.45 W/kg (head)     0.48 W/kg (body),,,HSDPA 900 / 2100,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Android 5.0.2 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, August. Released 2015, September",16GB 2GB RAM,Qualcomm MSM8929 Snapdragon 415 (28 nm),Adreno 405,Discontinued,Yes,,,,,,No,,,,Micromax Canvas Nitro 4G E455,Dual SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~70.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-nitro-4g-e455.jpg,135 g (4.76 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity, compass",,E455,FM radio,"4.0, A2DP",,Dual-LED flash,,140.5 x 69.8 x 9.3 mm (5.53 x 2.75 x 0.37 in),microSDHC,Yes,"Li-Ion 2500 mAh, removable","13 MP, AF",Up to 273 h (3G)
,GPS,,8 MP,,,Up to 8 h 30 min,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,0.41 W/kg (head)     0.75 W/kg (body),,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 5.0 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, August. Released 2015, August",8GB 1GB RAM,Mediatek MT6582 (28 nm),Mali-400MP2,Discontinued,Yes,,,LED flash,,,No,,,,Micromax Canvas Selfie 3 Q348,Dual SIM,Micromax,AMOLED,GSM / HSPA,"4.8 inches, 63.5 cm2(~65.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie-3-q348.jpg,110 g (3.88 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",Corning Gorilla Glass 3,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,FM radio,"4.1, A2DP, LE",,LED flash,,141 x 68.4 x 7.8 mm (5.55 x 2.69 x 0.31 in),microSDHC,Yes,"Li-Ion 2300 mAh, non-removable","8 MP, AF",Up to 275 h
,GPS,,5 MP,,,Up to 7 h,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,0.36 W/kg (head)     0.66 W/kg (body),,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 5.0 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, August. Released 2015, August",8GB 1GB RAM,Mediatek MT6582M (28 nm),Mali-400MP2,Discontinued,Yes,,,LED flash,,,No,,,,Micromax Canvas Selfie 2 Q340,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~67.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie2-q340.jpg,136 g (4.80 oz),,,,Black,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,Q340,FM radio,"4.0, A2DP",,LED flash,,143 x 71.8 x 9 mm (5.63 x 2.83 x 0.35 in),microSDHC,Yes,"Li-Ion 2000 mAh, removable","5 MP, AF",Up to 313 h
,GPS,,2 MP,,,Up to 9 h 30 min (3G),1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Octa-core 1.4 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, July. Released 2015, August",8GB 1GB RAM,Mediatek MT6592M (28 nm),Mali-450MP4,Discontinued,Yes,About 90 EUR,,,,,No,,,,Micromax Canvas Xpress 2 E313,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~70.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-xpress2-e313.jpg,135 g (4.76 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass (unspecified version),HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,E313,FM radio,"4.0, A2DP",0.54 W/kg (head)     0.48 W/kg (body),Dual-LED flash,,140.5 x 69.8 x 9.3 mm (5.53 x 2.75 x 0.37 in),microSDHC,Yes,"Li-Ion 2500 mAh, removable","13 MP, AF",Up to 393 h (3G)
,GPS,,VGA,,,Up to 4 h 40 min (3G),480p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Dual-core 1.3 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2015, July. Released 2015, July",4GB 512MB RAM,Mediatek MT6572M (28 nm),Mali-400,Discontinued,Yes,,,,,,No,,,,Micromax Bolt D303,Dual SIM,Micromax,"TFT, 256K colors",GSM / HSPA,"4.0 inches, 45.5 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-d303.jpg,-,,,,Black,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,HSPA 21.1/5.76 Mbps,Accelerometer,,,FM radio,"4.0, A2DP",0.39 W/kg (head)     0.64 W/kg (body),LED flash,,-,microSDHC,Yes,"Li-Ion 1300 mAh, removable",3.15 MP,Up to 245 h (3G)
,A-GPS only,,VGA,,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,1.0 GHz,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2015, July. Released 2015, August",4GB 512MB RAM,,,Discontinued,Yes,About 40 EUR,,,,,No,,,,Micromax Bolt S301,Dual SIM,Micromax,"TFT, 256K colors",GSM / HSPA,"3.5 inches, 33.8 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-s301.jpg,-,,,,"Black, White","480 x 854 pixels, 16:9 ratio (~280 ppi density)",,HSPA,Accelerometer,,,FM radio,2.1,,,,-,microSDHC,Yes,"Li-Ion 1200 mAh, removable",1.3 MP,
,GPS,,5 MP,,,Up to 9 h (3G),720p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,0.35 W/kg (head)     0.86 W/kg (body),,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A7,Android 5.0 (Lollipop),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"2015, June. Released 2015, June",8GB 1GB RAM,Mediatek MT6582 (28 nm),Mali-400MP2,Discontinued,Yes,About 120 EUR,,,,,No,,,,Micromax Canvas Selfie Lens Q345,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie-lens-plus-q345.jpg,144 g (5.08 oz),,,,"Champagne, Moondust Gray","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass 3,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,Q345,FM radio,"4.0, A2DP",,LED flash,,143 x 71 x 8.1 mm (5.63 x 2.80 x 0.32 in),microSDHC (dedicated slot),Yes,"Li-Ion 2800 mAh, non-removable","8 MP, AF",Up to 374 h (3G)
