,Positioning,Quad,Single_1,4G bands,Java,Talk time,Video,Charging,Video_1,_1,Dual,WLAN,Messaging,SAR EU,GPRS,Phonebook,3G bands,CPU,OS,USB,2G bands,Announced,Internal,Chipset,GPU,Status,3.5mm jack,Price,Music play,Features_1,Build,Games,NFC,EDGE,_3,_2,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Keyboard,Infrared port,Colors,Resolution,Protection,Speed,Sensors,_4,Models,Radio,Bluetooth,SAR,Features,Browser,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
eMMC 5.0,GPS,,5 MP,"3, 5, 40",,,1080p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.3 GHz Cortex-A53,Android 7.0 (Nougat),"microUSB 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2018, April",16GB 2GB RAM,Mediatek MT6737 (28 nm),Mali-T720,"Available. Released 2018, April",Yes,About 7000 INR,,LED flash,,,No,,,,Micromax Canvas 1 2018,"Dual SIM (Micro-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA / LTE,"5.7 inches, 83.8 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-1-2018.jpg,-,,,,"Matte Black, Chrome Black","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity",,,FM radio,"4.0, A2DP",,"Dual-LED dual-tone flash, panorama",,-,microSDXC (dedicated slot),Yes,Li-Ion 3000 mAh battery,"8 MP, AF",
eMMC 5.0,GPS,,"8 MP, f/2.0","3, 5, 40",,Up to 9 h (3G),1080p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 850 / 900 / 1900 / 2100,Quad-core 1.4 GHz Cortex-A53,"Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)","microUSB 2.0, OTG",GSM 850 / 900 / 1800 / 1900,"2018, March",16GB 2GB RAM,Mediatek MT6737 (28 nm),Mali-T720MP1,"Available. Released 2018, April",Yes,About 8500 INR,,LED flash,,,No,,,,Micromax Canvas Infinity Life,"Dual SIM (Micro-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA / LTE,"5.45 inches, 76.7 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-infinity-life.jpg,-,,,,Black,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, proximity",,,FM radio,"4.0, A2DP",,"LED flash, auto-HDR",,-,microSDXC (dedicated slot),Yes,"Li-Ion 2500 mAh, removable","13 MP, f/2.0, 1/3.1"", 1.12µm, AF",
eMMC 5.0,GPS,,5 MP,"1, 3, 5, 40, 41",,,720p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A53,Android 7.0 (Nougat),"microUSB 2.0, OTG",GSM 900 / 1800,"2018, March",32GB 3GB RAM,Mediatek MT6737 (28 nm),Mali-T720,"Available. Released 2018, March",Yes,About 8000 INR,,LED flash,,,No,,,,Micromax Bharat 5 Pro,Nano-SIM + Micro-SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"5.2 inches, 74.5 cm2(~67.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-pro.jpg,170 g (6.00 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Accelerometer,,B5Pro,FM radio,"4.0, A2DP",,LED flash,,149.5 x 73.5 x 9.8 mm (5.89 x 2.89 x 0.39 in),microSDXC (uses shared SIM slot),Yes,"Li-Po 5000 mAh, non-removable","13 MP, AF",
eMMC 5.0,GPS,,5 MP,"1, 3, 5, 40, 41",,,720p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A53,Android 7.0 (Nougat),"microUSB 2.0, OTG",GSM 900 / 1800,"2018, January",16GB 2GB RAM,Mediatek MT6737 (28 nm),Mali-T720,"Available. Released 2018, January",Yes,About 7200 INR,,LED flash,,,No,,,,Micromax Bharat 5 Plus,Nano-SIM + Micro-SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"5.2 inches, 74.5 cm2(~67.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5.jpg,170 g (6.00 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Accelerometer,,Bharat 5 Plus,FM radio,"4.0, A2DP",,LED flash,,149.5 x 73.5 x 9.8 mm (5.89 x 2.89 x 0.39 in),microSDXC (uses shared SIM slot),Yes,"Li-Po 5000 mAh, non-removable",8 MP,
eMMC 5.0,GPS,,5 MP,"1, 3, 5, 40, 41",,,1080p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A53,Android 7.0 (Nougat),"microUSB 2.0, OTG",GSM 900 / 1800,"2017, December",16GB 1GB RAM,Mediatek MT6737 (28 nm),Mali-T720,"Available. Released 2017, December",Yes,About 5700 INR,,LED flash,,,No,,,,Micromax Bharat 5,Nano-SIM + Micro-SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"5.2 inches, 74.5 cm2(~67.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5.jpg,170 g (6.00 oz),,,,Black,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Accelerometer,,Bharat 5,FM radio,"4.0, A2DP",,LED flash,,149.5 x 73.5 x 9.8 mm (5.89 x 2.89 x 0.39 in),microSDXC (uses shared SIM slot),Yes,"Li-Po 5000 mAh, non-removable",5 MP,
eMMC 5.1,GPS,,,"1, 3, 5, 40",,Up to 21 h (3G),1080p@30fps,,,,"20 MP, f/2.0, (wide), 1/3"", 0.9µm8 MP, f/2.2",Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Octa-core 1.4 GHz Cortex-A53,Android 8.0 (Oreo),"microUSB 2.0, OTG",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2017, December. Released 2017, December",64GB 4GB RAM,Qualcomm MSM8937 Snapdragon 430 (28 nm),Adreno 505,Discontinued,Yes,About 14000 INR,,,"Glass front, aluminum back, aluminum frame",,No,,,,Micromax Canvas Infinity Pro,"Dual SIM (Micro-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA / LTE,"5.7 inches, 83.8 cm2(~75.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-infinity-pro-hs3.jpg,-,,,,Black,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, proximity",,HS3,FM radio,"4.2, A2DP",,"LED flash, auto-HDR",,152.3 x 72.8 x 8.3 mm (6.00 x 2.87 x 0.33 in),microSDXC (dedicated slot),Yes,"Li-Po 3000 mAh, non-removable","16 MP, f/2.0, AF",Up to 200 h (3G)
,GPS,,VGA,"3, 5, 40",,,720p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz,Android 6.0 (Marshmallow),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2017, October. Released 2017, November",4GB 512MB RAM,Spreadtrum SC9832,,Discontinued,Yes,About 2900 INR,,,,,No,,,,Micromax Bharat 2 Ultra,"Dual SIM (Micro-SIM, dual stand-by)",Micromax,TFT,GSM / HSPA / LTE,"4.0 inches, 45.5 cm2(~57.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-brahat2-q402.jpg,120 g (4.23 oz),,,,"Gold, Black","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Accelerometer,,,FM radio,"4.0, A2DP",,LED flash,,125 x 63.4 x 10.8 mm (4.92 x 2.50 x 0.43 in),microSDHC,Yes,"Li-Ion 1300 mAh, non-removable",2 MP,
eMMC 5.1,GPS,,"13 MP, 1/3""",LTE,,,1080p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Octa-core 1.4 GHz Cortex-A53,Android 7.0 (Nougat),"microUSB 2.0, OTG",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2017, July. Released 2017, July",64GB 4GB RAM,Qualcomm MSM8940 Snapdragon 435 (28 nm),Adreno 505,Discontinued,Yes,About 19000 INR,,,,,No,,,,Micromax Dual 4 E4816,"Hybrid Dual SIM (Micro-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA / LTE,"5.2 inches, 74.5 cm2(~74.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-dual-4-e4816.jpg,141 g (4.97 oz),,,Yes,"Black/Gray, White/Gold","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Corning Gorilla Glass (unspecified version),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (front-mounted), accelerometer, proximity",,,FM radio,"4.1, A2DP",,"LED flash, panorama",,143.5 x 70 x 8.9 mm (5.65 x 2.76 x 0.35 in),microSDXC (uses shared SIM slot),Yes,"Li-Ion 2730 mAh, non-removable","13 MP, f/2.0, 1/3.0"", AF2 MP, (depth)",
eMMC 5.1,GPS,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","3, 5, 40",,,1080p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Octa-core 1.4 GHz Cortex-A53,Android 7.0 (Nougat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2017, September. Released 2017, September",32GB 3GB RAM,Qualcomm MSM8940 Snapdragon 435 (28 nm),Adreno 505,Discontinued,Yes,About 12000 INR,,LED flash,,,No,,,,Micromax Canvas Selfie 3 Q460,Dual SIM,Micromax,IPS LCD,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-selfie-3.jpg,-,,,,"Black, BLue","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Fingerprint (rear-mounted), accelerometer, proximity",,,FM radio,"4.2, A2DP",,"LED flash, HDR, panorama",,-,microSDHC,Yes,"Li-Ion 3000 mAh, non-removable","13 MP, f/2.0, AF",
eMMC 5.0,GPS,,5 MP,"3, 5, 40",,Up to 7 h (3G),720p@30fps,,,,,Wi-Fi 802.11 b/g/n,,,,,HSDPA 900 / 2100,Quad-core 1.3 GHz Cortex-A53,Android 7.0 (Nougat),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2017, September. Released 2017, September",16GB 3GB RAM,Mediatek MT6737 (28 nm),Mali-T720,Discontinued,Yes,About 5000 INR,,LED flash,,,No,,,,Micromax Bharat 4 Q440,"Dual SIM (Micro-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA / LTE,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-4.jpg,150 g (5.29 oz),,,,"Gold, Black","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Accelerometer,,Q440,FM radio,"4.0, A2DP",,LED flash,,144.5 x 73 x 9 mm (5.69 x 2.87 x 0.35 in),microSDHC,Yes,"Li-Ion 2500 mAh, non-removable",5 MP,Up to 180 h (3G)
