,_5,Penta,Triple,256GB 8GB RAM,Alarm,SIM,Stand-by_1,NFC,Dual,Browser,Camera,Build,Bluetooth,Radio,Protection,64GB 4GB RAM,Features_1,Colors,Quad,Features,Games,128GB 6GB RAM,Talk time,GPU,128GB 4GB RAM,Audio quality,Loudspeaker,64GB 3GB RAM,128MB 48MB RAM,Model Name,Dimensions,Messaging,4G bands,3G bands,Resolution,CPU,Battery (old),USB,Technology,Weight,OS,5G bands,4MB,Display,Alert types,Model Image,Performance,Models,_2,Chipset,Status,Java,Call records,Type,32GB 3GB RAM,_6,Internal,Speed,_4,SAR EU,_1,Price,Stand-by,Card slot,Video,Clock,SAR,Type_1,Announced,Brand,Phonebook,Talk time_1,Charging,WLAN,EDGE,_3,Keyboard,4GB 512MB RAM,Languages,GPRS,3.5mm jack,Single_1,Positioning,Single,Size,Music play,128MB 64MB RAM,Infrared port,Loudspeaker_1,Sensors,2G bands,Video_1
No,,,,,,Nano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP, LE",Wireless FM radio,,,,"Black, Green",,LED flash,Yes,,,,,,Yes,,,Nokia 6310 (2024),"135.5 x 56 x 14.1 mm, 44.8 cc (5.33 x 2.20 x 0.56 in)","SMS, MMS",,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,USB Type-C,GSM,-,,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-6310-2024-new.jpg,,,,Unisoc 6531F,"Available. Released 2024, April 26",No,Yes,TFT LCD,,,16MB 8MB RAM,,,,,About 70 EUR,,microSDHC,Unspecified,,,"Li-Ion 1450 mAh, removable","2024, April 11",Nokia,Yes,,,No,Yes,,,,,Yes,Yes,,No,VGA,"2.8 inches, 24.3 cm2(~32.0% screen-to-body ratio)",,,,,,GSM 900 / 1800,
Dedicated hardware music keys,,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,,,,,"5.0, A2DP, LE",Wireless FM radio,,,,"White/Red, Black/Red",,LED flash,Yes,,,,,,"Yes, with dual speakers",,,Nokia 5310 (2024),132 x 57 x 13.1 mm (5.20 x 2.24 x 0.52 in),"SMS, MMS, Email, IM",,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,USB Type-C,GSM,-,,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-5310-2024.jpg,,,MP3 player,Unisoc 6531F,"Available. Released 2024, April 26",No,Yes,IPS LCD,,,16MB 8MB RAM,No,,,No,About 60 EUR,,microSDHC,Yes,,,"Li-Ion 1450 mAh, removable","2024, April 11",Nokia,Yes,,,No,Yes,,,,,Yes,Yes,,No,VGA,"2.8 inches, 24.3 cm2(~32.3% screen-to-body ratio)",,,,,,GSM 900 / 1800,
Flashlight,,,,,,Nano-SIM + Nano-SIM,,No,,,,Aluminum back cover,"5.0, A2DP, LE",Wireless FM radio,,,LED flash,"Black, White",,LED flash,Yes,,,,,,Yes,,,Nokia 230 (2024),124.6 x 53.4 x 10.9 mm (4.91 x 2.10 x 0.43 in),SMS,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,USB Type-C,GSM,-,,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-230-2024.jpg,,,,Unisoc 6531F,"Available. Released 2024, April 26",No,Yes,TFT LCD,,,16MB 8MB RAM,,,,MP3 player,About 70 EUR,,microSDHC,Yes,,,"Li-Ion 1450 mAh, removable","2024, April 11",Nokia,Yes,,,No,No,,,,,Yes,Yes,2 MP,No,2 MP,"2.8 inches, 24.3 cm2(~36.5% screen-to-body ratio)",,,,,No,GSM 900 / 1800,Yes
Dust and splash resistant,,,,,,Nano-SIM,,No,"13 MP, (wide), AF2 MP, f/2.4, (depth)",,,,"5.0, A2DP, LE",Unspecified,Corning Gorilla Glass 3,,,Gray,,LED flash,,,,Adreno 610,,,Yes,,,Nokia C210,159.5 x 73.9 x 8.6 mm (6.28 x 2.91 x 0.34 in),,LTE,HSDPA 850 / 1700(AWS) / 1900,"720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,"USB Type-C 2.0, OTG",GSM / HSPA / LTE,167.8 g (5.93 oz),Android 13,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c210.jpg,,,,Qualcomm SM6115 Snapdragon 662 (11 nm),"Available. Released 2023, September 14",,,IPS LCD,$ 109.99,,32GB 3GB RAM,"HSPA, LTE",,,eMMC 5.1,$ 109.99,,microSDXC (dedicated slot),1080p@30fps,,,Li-Ion 3000 mAh,"2023, August 16",Nokia,,,,Wi-Fi 802.11 b/g/n/ac,,,,,,,Yes,,GPS,5 MP,"6.3 inches, 97.4 cm2(~82.7% screen-to-body ratio)",,,,,Yes,GSM 850 / 900 / 1800 / 1900,Yes
Dust and splash resistantQuickFix user-reparable design,,,"50 MP, (wide), AF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,Nano-SIM,,No,,,,,"5.1, A2DP, LE",No,Corning Gorilla Glass 3,,,Blue,,"LED flash, HDR, panorama",,,,Adreno 619,,,Yes,,,Nokia G310,165.1 x 75.7 x 8.6 mm (6.5 x 2.98 x 0.34 in),,LTE,HSDPA 850 / 1700(AWS) / 1900 / 2100,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",Octa-core (2x2.2 GHz Kryo 460 & 6x1.8 GHz Kryo 460),,"USB Type-C 2.0, OTG",GSM / HSPA / LTE / 5G,195.1 g (6.88 oz),Android 13,SA/NSA,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-g310-5g.jpg,,,,Qualcomm SM4350-AC Snapdragon 480+ 5G (8 nm),"Available. Released 2023, August 24",,,"IPS LCD, 90Hz",,,128GB 4GB RAM,"HSPA, LTE, 5G",,,,About 170 EUR,,microSDXC (dedicated slot),1080p@30/60fps,,,Li-Po 5000 mAh,"2023, August 16",Nokia,,,"20W wired, PD, QC",Wi-Fi 802.11 b/g/n/ac,,,,,,,Yes,,GPS (L1+L5),"8 MP, (wide)","6.56 inches, 103.4 cm2(~82.7% screen-to-body ratio)",,,,,"Fingerprint (side-mounted), accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,1080p@30fps
FlashlightSplash & dust resistant,,,,,,"Dual SIM (Mini-SIM, dual stand-by)",,No,,,,,No,FM radio; built-in antenna,,,,"Black, Cyan, Red",,LED flash,Yes,,,,,,Yes,,,Nokia 150 (2023),131 x 50.6 x 15.2 mm (5.16 x 1.99 x 0.60 in),SMS,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,microUSB 1.1,GSM,106.3 g (3.63 oz),,,$ 149.00,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-150-2023.jpg,,,MP3 player,,"Available. Released 2023, September",No,Yes,"TFT LCD, 65K colors",,,4MB,,,,No,"$ 149.00 / € 55.99 / £ 54.00 / ₹ 2,209",,microSDHC,,,,"Li-Ion 1450 mAh, removable","2023, August 10",Nokia,2000 entries,,,No,No,,,,,No,Yes,,No,VGA,"2.4 inches, 17.8 cm2(~26.9% screen-to-body ratio)",,,,,No,GSM 900 / 1800,
Flashlight,,,,,,"Dual SIM (Mini-SIM, dual stand-by)",,No,,,,,No,FM radio; built-in antenna,,,,"Dark Blue, Purple, Light Gold",,,Yes,,,,,,Yes,,,Nokia 130 (2023),130.9 x 50.6 x 14 mm (5.15 x 1.99 x 0.55 in),SMS,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,microUSB 1.1,GSM,98.2 g (3.46 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-130-music.jpg,,,MP3 player,,"Available. Released 2023, August 10",No,Yes,"TFT LCD, 65K colors",,,4MB,,,,No,About 20 EUR,,microSDHC,,,,"Li-Ion 1450 mAh, removable","2023, August 10",Nokia,2000 entries,,,No,No,,,,,No,Yes,,No,,"2.4 inches, 17.8 cm2(~26.9% screen-to-body ratio)",,,,,No,GSM 900 / 1800,
Dust and splash resistantQuickFix user-reparable design,,,"50 MP, f/1.8, (wide), AF2 MP, (macro)2 MP, (depth)",,,Nano-SIMNano-SIM + Nano-SIM,,Yes (market/region dependent),,,,"Glass front, plastic back, plastic frame","5.1, A2DP, LE",FM radio,Corning Gorilla Glass 3,,,"Gray, Purple, Red",,"LED flash, HDR, panorama",,$ 231.00,,Adreno 619,"₹ 10,498",,Yes,,,Nokia G42,165 x 75.8 x 8.6 mm (6.50 x 2.98 x 0.34 in),,"1, 2, 3, 4, 5, 7, 8, 12, 17, 13, 20, 28, 38, 39, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",Octa-core (2x2.2 GHz Kryo 460 & 6x1.8 GHz Kryo 460),,"USB Type-C 2.0, OTG",GSM / HSPA / LTE / 5G,193.8 g (6.84 oz),"Android 13, upgradable to Android 14","1, 2, 3, 5, 7, 8, 28, 40, 41, 66, 77, 78 SA/NSA",,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-g42-5g.jpg,,,,Qualcomm SM4350-AC Snapdragon 480+ 5G (8 nm),"Available. Released 2023, June 28",,,"IPS LCD, 90Hz, 450 nits (typ), 560 nits (peak)",,,"128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM","HSPA, LTE, 5G",,,,"$ 231.00 / € 115.79 / £ 129.99 / ₹ 10,498",,microSDXC,1080p@30fps,,,Li-Po 5000 mAh,"2023, June 28",Nokia,,,"20W wired, PD3.0, QC3","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,,,,Yes,,"GPS, GLONASS, GALILEO, BDS",8 MP,"6.56 inches, 103.4 cm2(~82.7% screen-to-body ratio)",,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",GSM 850 / 900 / 1800 / 1900,Yes
Splash and dust resistant,,,"13 MP, (wide), AF2 MP, (macro)2 MP, (depth)",,,Nano-SIM,,No,,,,"Glass front, plastic back, plastic frame","5.0, A2DP",FM radio,Scratch-resistant glass,,,Blue,,"LED flash, HDR, portrait, night",,,,Adreno 610,,,Yes,,,Nokia C300,166.7 x 76.6 x 8.6 mm (6.56 x 3.02 x 0.34 in),,LTE,HSDPA 850 / 1700 / 1900,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,USB Type-C 2.0,GSM / HSPA / LTE,190 g (6.70 oz),Android 12,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c300.jpg,,,,Qualcomm SM6115 Snapdragon 662 (11 nm),"Available. Released 2023, June 14",,,"IPS LCD, 400 nits (typ)",$ 64.95,,32GB 3GB RAM,"HSPA, LTE",,,eMMC 5.1,$ 64.95,,microSDXC (dedicated slot),1080p@30fps,,,Li-Po 4000 mAh,"2023, June 02",Nokia,,,10W wired,"Wi-Fi 802.11 b/g/n/ac, dual-band, hotspot",,,,,,,Yes,,GPS,8 MP,"6.52 inches, 102.6 cm2(~80.4% screen-to-body ratio)",,,,,"Fingerprint (side-mounted), accelerometer, proximity, barometer",GSM 850 / 1900,Yes
Splash and dust resistant,,,,,,Nano-SIM,,No,,,,"Glass front, plastic back, plastic frame","5.0, A2DP",FM radio,Scratch-resistant glass,,,Gray,,"LED flash, HDR",,,,PowerVR GE8320,,,Yes,,,Nokia C110,160.8 x 74 x 8.5 mm (6.33 x 2.91 x 0.33 in),,"2, 4, 5, 12, 13, 41, 66, 71",HSDPA 850 / 1700 / 1900,"720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,USB Type-C 2.0,GSM / HSPA / LTE,172 g (6.07 oz),Android 12,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c110.jpg,,,,Mediatek MT6762 Helio P22 (12 nm),"Available. Released 2023, June 14",,,"IPS LCD, 400 nits (typ)",,,32GB 3GB RAM,"HSPA, LTE",,,eMMC 5.1,About 100 EUR,,microSDXC (dedicated slot),1080p@30fps,,,Li-Po 3000 mAh,"2023, June 02",Nokia,,,5W wired,"Wi-Fi 802.11 b/g/n/ac, dual-band, hotspot",,,,,,,Yes,5 MP,GPS,"13 MP, (wide), AF","6.3 inches, 97.4 cm2(~81.9% screen-to-body ratio)",,,,,"Accelerometer, proximity, barometer",GSM 850 / 1900,Yes
