,_5,Penta,Triple,256GB 8GB RAM,Alarm,SIM,Stand-by_1,NFC,Dual,Browser,Camera,Build,Bluetooth,Radio,Protection,64GB 4GB RAM,Features_1,Colors,Quad,Features,Games,128GB 6GB RAM,Talk time,GPU,128GB 4GB RAM,Audio quality,Loudspeaker,64GB 3GB RAM,128MB 48MB RAM,Model Name,Dimensions,Messaging,4G bands,3G bands,Resolution,CPU,Battery (old),USB,Technology,Weight,OS,5G bands,4MB,Display,Alert types,Model Image,Performance,Models,_2,Chipset,Status,Java,Call records,Type,32GB 3GB RAM,_6,Internal,Speed,_4,SAR EU,_1,Price,Stand-by,Card slot,Video,Clock,SAR,Type_1,Announced,Brand,Phonebook,Talk time_1,Charging,WLAN,EDGE,_3,Keyboard,4GB 512MB RAM,Languages,GPRS,3.5mm jack,Single_1,Positioning,Single,Size,Music play,128MB 64MB RAM,Infrared port,Loudspeaker_1,Sensors,2G bands,Video_1
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,,,,,,Nano-SIM + Nano-SIM,,Yes (market dependent),"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF2 MP, (depth)",,,"Glass front, glass back, plastic frame","4.2, A2DP, LE, aptX",FM radio,,,,"Black, Pink Sand",,LED flash,,,,Adreno 505,,,Yes,,,Nokia 4.2,149 x 71.3 x 8.4 mm (5.87 x 2.81 x 0.33 in),,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA, APAC, MENA",HSDPA 850 / 900 / 2100 - Global,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)",Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53),,"microUSB 2.0, OTG",GSM / HSPA / LTE,161 g (5.68 oz),"Android 9.0 (Pie), upgradable to Android 11, Android One",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-42.jpg,,"TA-1184, TA-1133, TA-1149, TA-1150, TA-1157, TA-1152","1, 3, 5, 8, 40, 41 - India",Qualcomm SDM439 Snapdragon 439 (12 nm),"Available. Released 2019, May 07",,,IPS LCD,,,"16GB 2GB RAM, 32GB 3GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.45 W/kg (head)     1.53 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 38, 66 - LATAM",About 130 EUR,,microSDXC (dedicated slot),1080p@30fps,,0.43 W/kg (head)     1.08 W/kg (body),"Li-Ion 3000 mAh, non-removable","2019, February 24",Nokia,,,,Wi-Fi 802.11 b/g/n,,eMMC 5.1,,,,,Yes,,"GPS, GLONASS, BDS","8 MP, f/2.0, 1/4.0"", 1.12µm","5.71 inches, 81.4 cm2(~76.6% screen-to-body ratio)",,,,,"Fingerprint (rear-mounted), accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,1080p@30fps
eMMC 5.1,,,,,,Nano-SIM,,No,,,,"Glass front, plastic back, plastic frame","4.2, A2DP, LE, aptX",FM radio,,,,Blue,,LED flash,,,,Adreno 504,,,Yes,,,Nokia 3 V,161.2 x 76.2 x 9.1 mm (6.35 x 3.00 x 0.36 in),,"1, 2, 4, 5, 8, 13",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Quad-core 1.8 GHz Cortex-A53,,"microUSB 2.0, OTG",GSM / HSPA / LTE,188.6 g (6.67 oz),"Android 9.0 (Pie), upgradable to Android 10, Android One",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-3v.jpg,,,,Qualcomm SDM429 Snapdragon 429 (12 nm),"Available. Released 2019, August 23",,,IPS LCD,,,16GB 2GB RAM,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,About 140 EUR,,microSDXC (dedicated slot),1080p@30fps,,,Li-Ion 4000 mAh,"2020, August 20",Nokia,,,10W wired,Wi-Fi 802.11 b/g/n,,,,,,,Yes,"5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm","GPS, GLONASS, BDS","13 MP, f/2.2, 1/3.1"", 1.12µm, AF","6.26 inches, 97.8 cm2(~79.6% screen-to-body ratio)",,,,,"Accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,
"1, 3, 5, 8, 40, 41 - India",,,,,,Nano-SIM + Nano-SIM,,No,,,,"Glass front, plastic back, plastic frame","4.2, A2DP, LE, aptX",FM radio,,,,"Black, Steel",,LED flash,,,,Adreno 504,,,Yes,,,Nokia 3.2,159.4 x 76.2 x 8.6 mm (6.28 x 3.00 x 0.34 in),,"1, 3, 5, 7, 8, 20, 28, 38, 40 - EMEA, APAC, MENA",HSDPA 850 / 900 / 2100,"720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Quad-core 1.8 GHz Cortex-A53,,"microUSB 2.0, OTG",GSM / HSPA / LTE,181 g (6.38 oz),"Android 9.0 (Pie), upgradable to Android 11, Android One",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-32.jpg,,"TA-1156, TA-1159, TA-1164",,Qualcomm SDM429 Snapdragon 429 (12 nm),"Available. Released 2019, May 22",,,IPS LCD,,,"16GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.24 W/kg (head)     1.63 W/kg (body),eMMC 5.1,About 140 EUR,,microSDXC (dedicated slot),1080p@30fps,,,"Li-Ion 4000 mAh, non-removable","2019, February 24",Nokia,,,10W wired,Wi-Fi 802.11 b/g/n,,,,,,,Yes,"5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm","GPS, GLONASS, BDS","13 MP, f/2.2, 1/3.1"", 1.12µm, AF","6.26 inches, 97.8 cm2(~80.5% screen-to-body ratio)",,,,,"Fingerprint (rear-mounted, 32/3GB only), accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,,,,,,Nano-SIM + Nano-SIM,,No,,,,"Glass front, plastic back, plastic frame","4.2, A2DP",FM radio,,,,"Black, Red, Blue",,LED flash,,,,PowerVR GE8100,,,Yes,,,Nokia 1 Plus,145 x 70.4 x 8.6 mm (5.71 x 2.77 x 0.34 in),,"1, 3, 5, 7, 8, 20, 38, 40 - Global",HSDPA 850 / 900 / 2100 - Global,"480 x 960 pixels, 18:9 ratio (~197 ppi density)",Quad-core 1.5 GHz Cortex-A53,,microUSB 2.0,GSM / HSPA / LTE,138.4 g (4.87 oz),"Android 9.0 Pie (Go edition), upgradable to Android 10 (Go edition)",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-1-plus.jpg,,"TA-1130, TA-1111, TA-1123, TA-1127, TA-1131",eMMC 5.1,Mediatek MT6739WW (28 nm),"Available. Released 2019, February 24",,,IPS LCD,,,"8GB 1GB RAM, 16GB 1GB RAM, 16GB 3GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.59 W/kg (head)     1.79 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 17, 28 - LATAM",About 80 EUR,,microSDXC (dedicated slot),720p@30fps,,0.96 W/kg (head)     0.72 W/kg (body),"Li-Ion 2500 mAh, removable","2019, February 24",Nokia,,,,Wi-Fi 802.11 a/b/g/n,,,,,,,Yes,5 MP,"GPS, GLONASS","8 MP, AF","5.45 inches, 76.7 cm2(~75.1% screen-to-body ratio)",,,,,"Accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,720p
Flashlight,,,,,,"Dual SIM (Mini-SIM, dual stand-by)",,No,,,,"Glass front, plastic back, plastic frame",3.0,FM radio,,,,"Charcoal, Red, Grey",,LED flash,Yes,,,,,,Yes,,,Nokia 210,120.8 x 53.5 x 13.8 mm (4.76 x 2.11 x 0.54 in),SMS,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,microUSB 2.0,GSM,82 g (2.89 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-210-2019.jpg,,TA-1139,MP3 player,Mediatek MT6260A,"Available. Released 2019, March",No,Yes,"TFT LCD, 65K colors",,,16MB,,,1.18 W/kg (head)     1.55 W/kg (body),No,About 30 EUR,,microSDHC (dedicated slot),Yes,,,"Li-Ion 1020 mAh, removable","2019, February",Nokia,Yes,,,No,Yes,,,,,Yes,Yes,,No,0.3 MP,"2.4 inches, 17.8 cm2(~27.6% screen-to-body ratio)",,,,,,GSM 900 / 1800,
CDMA 800 & TD-SCDMA,,,,,,Nano-SIM + Nano-SIM,,Yes,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF, OIS13 MP",,,"Glass front, glass back, plastic frame","5.0, A2DP, LE",FM radio,NEG,,,"Blue, Silver, Steel, Copper, Iron, Steel",,"Zeiss optics, dual-LED dual-tone flash, panorama, HDR",,,,Adreno 616,,,Yes,,,Nokia 8.1 (Nokia X7),154.8 x 75.8 x 8 mm (6.09 x 2.98 x 0.31 in),,"1, 3, 5, 6, 8, 20, 28, 38, 40, 41 - TA-1119 (Global)","HSDPA 850 / 900 / 1900 / 2100 - TA-1119 (Global), TA-1131 (China)","1080 x 2280 pixels, 19:9 ratio (~408 ppi density)",Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),,"USB Type-C 2.0, OTG",GSM / CDMA / HSPA / LTE,180 g (6.35 oz),"Android 9.0 (Pie), upgradable to Android 11, Android One",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-81-r.jpg,,"TA-1099, TA-1113, TA-1115, TA-1131, TA-1119, TA-1121, TA-1128","1, 3, 5, 8, 40, 41 - TA-1121 (India)",Qualcomm SDM710 Snapdragon 710 (10 nm),"Available. Released 2018, December 05",,,"IPS LCD, HDR10",,,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",eMMC 5.1,0.51 W/kg (head)     1.49 W/kg (body),HSDPA 850 / 900 / 2100 - TA-1121 (India),About 390 EUR,,microSDXC (uses shared SIM slot),"4K@30fps, 1080p@30fps (gyro-EIS)",,,"Li-Ion 3500 mAh, non-removable","2018, October 16",Nokia,,,18W wired,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"1, 3, 5, 8, 34, 38, 39, 40, 41 - TA-1131 (China)",,,,,Yes,,"GPS, GLONASS, BDS","20 MP, f/2.0, (wide), 1/3"", 0.9µm","6.18 inches, 95.3 cm2(~81.2% screen-to-body ratio)",,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,1080p@30fps
Flashlight,,,,,,"Dual SIM (Mini-SIM, dual stand-by)",,No,,,,"Glass front, plastic back, plastic frame",No,FM radio,,,,Black,,,Yes,,Up to 16 h,,,,Yes,,,Nokia 106 (2018),111.2 x 49.5 x 14.4 mm (4.38 x 1.95 x 0.57 in),SMS,,,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,microUSB 2.0 (charging only),GSM,70.2 g (2.47 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-106-2018-.jpg,,TA-1114,,Mediatek MT6261D,"Available. Released 2018, November",No,Yes,"TFT, 65K colors",,,4MB 4MB RAM,,,1.49 W/kg (head)     1.23 W/kg (body),No,About 20 EUR,Up to 504 h,No,,,,"Li-Ion 800 mAh, removable","2018, November",Nokia,Yes,,,No,No,,,,,No,TBC,,No,,"1.8 inches, 10.0 cm2(~18.2% screen-to-body ratio)",,,,,,GSM 900 / 1800,
HSDPA 850 / 1700(AWS) / 1900 - USA,,,,,,Nano-SIM + Nano-SIM,,"Yes (USA, APAC & EMEA)","13 MP, f/2.0, AF5 MP, f/2.4, (depth)",,,"Glass front, aluminum back, aluminum frame","4.1, A2DP, LE",FM radio,,,"LED flash, HDR","Blue, White, Gray",,"LED flash, HDR, panorama",,,,PowerVR GE8320 - GlobalAdreno 505 - USA,,,Yes,,,Nokia 3.1 Plus,156.9 x 76.4 x 8.2 mm (6.18 x 3.01 x 0.32 in),,"2, 4, 5, 12, 14, 29, 30 - USA",HSDPA 850 / 900 / 1900 / 2100,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Octa-core 2.0 GHz Cortex-A53 - GlobalOcta-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53) - USA,,"microUSB 2.0, OTG",GSM / HSPA / LTE,180 g (6.35 oz),"Android 8.1 (Oreo), upgradable to Android 10, Android One",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-31-plus-.jpg,,"TA-1118, TA-1125, TA-1113, TA-1117, TA-1124, TA-1125",,Mediatek MT6762 Helio P22 (12 nm) - GlobalQualcomm SDM439 Snapdragon 439 (12 nm) - USA,"Available. Released 2018, October",,,IPS LCD,,,"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.41 W/kg (head)     1.58 W/kg (body),eMMC 5.1,About 120 EUR,,microSDXC (dedicated slot),1080p@30fps,,,"Li-Ion 3500 mAh, non-removable","2018, October",Nokia,,,10W wired,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,,Yes,,"GPS, GLONASS, BDS, GALILEO","8 MP, f/2.2","6.0 inches, 92.9 cm2(~77.5% screen-to-body ratio)",,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,720p@30fps
CDMA 800 & TD-SCDMA,,,,,,Nano-SIMNano-SIM + Nano-SIM,,Yes,"12 MP, f/1.8, 1.28µm, dual pixel PDAF5 MP, f/2.4, (depth)",,Photo/Video,"Glass front (Gorilla Glass 3), glass back, aluminum frame","5.0, A2DP, EDR, LE, aptX",No,Corning Gorilla Glass 3,,,"Gloss midnight blue, gloss steel",,"Zeiss optics, dual-LED dual-tone flash, panorama, HDR",,,Up to 19 h 30 min (3G),Adreno 509,,Noise -91.0dB / Crosstalk -94.4dB,Yes,,,Nokia 7.1,149.7 x 71.2 x 8 mm (5.89 x 2.80 x 0.31 in),,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 40, 66 - USA",HSDPA 850 / 900 / 1900 / 2100,"1080 x 2280 pixels, 19:9 ratio (~432 ppi density)",Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Endurance rating 80h,"USB Type-C 2.0, OTG",GSM / CDMA / HSPA / LTE,160 g (5.64 oz),"Android 8.1 (Oreo), upgradable to Android 10, Android One",,,"Contrast ratio: 1300:1 (nominal), 2.804 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-71-plus.jpg,AnTuTu: 117175 (v7)GeekBench: 4975 (v4.4)GFXBench: 5.9fps (ES 3.1 onscreen),"TA-1100, TA-1097, TA-1085, TA-1095, TA-1096",eMMC 5.1,Qualcomm SDM636 Snapdragon 636 (14 nm),"Available. Released 2018, October 28",,,"IPS LCD, HDR10",,,"32GB 3GB RAM, 64GB 4GB RAM","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,0.26 W/kg (head)     1.74 W/kg (body),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,About 240 EUR,Up to 408 h (3G),microSDXC (uses shared SIM slot),"4K@30fps, 1080p@30fps (gyro-EIS)",,,"Li-Ion 3060 mAh, non-removable","2018, October 04",Nokia,,,18W wired,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,,,Yes,,"GPS, GLONASS, BDS","8 MP, f/2.0, 24mm (wide)","5.84 inches, 85.1 cm2(~79.9% screen-to-body ratio)",,,,Voice 75dB / Noise 76dB / Ring 81dB,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,1080p@30fps
eMMC 5.1,,,,,,Nano-SIM + Nano-SIM,,No,"16 MP, f/2.0, 1.0µm, PDAF5 MP, f/2.4, (depth)",,,"Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame","5.0, A2DP, LE",FM radio,Corning Gorilla Glass 3,,,"Black, Blue, White",,"Dual-LED dual-tone flash, panorama, HDR",,,,Adreno 509,,,Yes,,,Nokia 6.1 Plus (Nokia X6),147.2 x 71 x 8 mm (5.80 x 2.80 x 0.31 in),,"1, 3, 5, 8, 40, 41",HSDPA 850 / 900 / 2100,"1080 x 2280 pixels, 19:9 ratio (~432 ppi density)",Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),,"USB Type-C 2.0, OTG",GSM / HSPA / LTE,151 g (5.33 oz),"Android 8.1 (Oreo), upgradable to Android 10, Android One",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-61-plus.jpg,AnTuTu: 115571 (v7)GeekBench: 4929 (v4.4)GFXBench: 5.9fps (ES 3.1 onscreen),"TA-1099, TA-1103, TA-1083, TA-1099",,Qualcomm SDM636 Snapdragon 636 (14 nm),"Available. Released 2018, August 21",,,IPS LCD,,,"32GB 4GB RAM, 64GB 4GB RAM, 64GB 6GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.94 W/kg (head)     1.82 W/kg (body),,About 160 EUR,,microSDXC (uses shared SIM slot),"4K@30fps, 1080p@30fps (gyro-EIS)",,,"Li-Ion 3060 mAh, non-removable","2018, July 23",Nokia,,,"18W wired, QC3","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,,,Yes,,"GPS, GLONASS, BDS","16 MP, f/2.0, 1/3.06"", 1.0µm","5.8 inches, 85.1 cm2(~81.5% screen-to-body ratio)",,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,1080p@30fps
CDMA 800 & TD-SCDMA,,,,,,Nano-SIM + Nano-SIM,,No,"13 MP, f/2.0, PDAF5 MP, f/2.4, (depth)",,,"Glass front, glass back, plastic frame","4.2, A2DP, LE",FM radio,,,,"Night black, Glacier white, Baltic sea blue",,"LED flash, HDR, panorama",,,,Mali-G72 MP3,,,Yes,,,Nokia 5.1 Plus (Nokia X5),149.5 x 72 x 8.1 mm (5.89 x 2.83 x 0.32 in),,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 40, 66 - USA",HSDPA 850 / 900 / 1900 / 2100,"720 x 1520 pixels, 19:9 ratio (~287 ppi density)",Octa-core (4x1.8 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53) - GlobalOcta-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53) - China,,"USB Type-C 2.0, OTG",GSM / CDMA / HSPA / LTE,160 g (5.64 oz),"Android 8.1 (Oreo), upgradable to Android 10, Android One",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-x5-51-plus.jpg,AnTuTu: 119428 (v7)GFXBench: 7.4fps (ES 3.1 onscreen),"TA-1120, TA-1105, TA-1102","1, 3, 5, 8, 40, 41 - India",Mediatek MT6771 Helio P60 (12 nm),"Available. Released 2018, December 05",,,IPS LCD,,,"32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.78 W/kg (head)     1.89 W/kg (body),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,About 190 EUR,,microSDXC (uses shared SIM slot),1080p@30fps,,1.10 W/kg (head),"Li-Ion 3060 mAh, non-removable","2018, July 18",Nokia,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,eMMC 5.1,,,,,Yes,,"GPS, GLONASS, BDS, GALILEO","8 MP, f/2.2, 26mm (wide)","5.86 inches, 85.7 cm2(~79.6% screen-to-body ratio)",,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,1080p@30fps
GSM 900 / 1800 - India,,,,,,Nano-SIM + Nano-SIM,,Yes,,,,"Glass front (Gorilla Glass), aluminum back, aluminum frame (6000 series)","4.2, A2DP, LE",FM radio,Corning Gorilla Glass (unspecified version),,,"Copper, Tempered Blue, Black",,"Dual-LED dual-tone flash, HDR, panorama",,,Up to 19 h (3G),Mali-T860MP2,,,Yes,,,Nokia 5.1,151.1 x 70.7 x 8.3 mm (5.95 x 2.78 x 0.33 in),,"1, 3, 5, 7, 8, 20, 38, 40 - APAC, EMEA, HK","HSDPA 850 / 900 / 2100 - APAC, EMEA, HK","1080 x 2160 pixels, 18:9 ratio (~439 ppi density)",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),,"microUSB 2.0, OTG",GSM / HSPA / LTE,150 g (5.29 oz),"Android 8.0 (Oreo), upgradable to Android 10, Android One",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-51.jpg,,"TA-1075, TA-1061, TA-1088, TA-1081, TA-1076","1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 38, 40 - LATAM, AU, TW",Mediatek MT6755S Helio P18 (28 nm),"Available. Released 2018, August",,,IPS LCD,,,"16GB 2GB RAM, 32GB 3GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.29 W/kg (head)     0.61 W/kg (body),"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM, AU, TW",About 240 EUR,,microSDXC (dedicated slot),1080p@30fps,,,"Li-Ion 2970 mAh, non-removable","2018, May",Nokia,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,"1, 3, 5, 40, 41 - India",,,,,Yes,8 MP,"GPS, GLONASS, BDS","16 MP, PDAF","5.5 inches, 78.1 cm2(~73.1% screen-to-body ratio)",Up to 53 h,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,1080p@30fps
GSM 900 / 1800 - India,,,,,,Nano-SIM + Nano-SIM,,Yes (APAC & EMEA only),,,Photo/Video,"Glass front (Gorilla Glass 3), plastic back, aluminum frame","4.2, A2DP, LE",FM radio,Corning Gorilla Glass 3,,HDR,"Blue/Copper, Black/Chrome, White/Iron",,"LED flash, HDR, panorama",,,Up to 18 h (3G),Mali-T860MP2,,Noise -84.3dB / Crosstalk -88.9dB,Yes,,,Nokia 3.1,146.3 x 68.7 x 8.7 mm (5.76 x 2.70 x 0.34 in),,"1, 3, 5, 7, 8, 20, 38, 40 - APAC, EMEA","HSDPA 850 / 900 / 2100 - APAC, EMEA, India","720 x 1440 pixels, 18:9 ratio (~310 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Endurance rating 56h,"microUSB 2.0, OTG",GSM / HSPA / LTE,138.3 g (4.87 oz),"Android 8.0 (Oreo), upgradable to Android 10, Android One",,,"Contrast ratio: 1490:1 (nominal), 2.837 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-31.jpg,GeekBench: 2624 (v4.4)GFXBench: 2fps (ES 3.1 onscreen),"TA-1049, TA-1057, TA-1063, TA-1070, TA-1074","1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 38, 40 - LATAM, NAM",Mediatek MT6750 (28 nm),"Available. Released 2018, May",,,IPS LCD,,,"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",eMMC 5.1,0.64 W/kg (head)     1.79 W/kg (body),"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM, NAM",About 200 EUR,,microSDXC (dedicated slot),1080p@30fps,,,"Li-Ion 2990 mAh, non-removable","2018, May",Nokia,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,"1, 3, 5, 40, 41 - India",,,,,Yes,"8 MP, f/2.0","GPS, GLONASS","13 MP, f/2.0, AF","5.2 inches, 69.8 cm2(~69.4% screen-to-body ratio)",Up to 84 h,,,Voice 70dB / Noise 70dB / Ring 78dB,"Accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,720p@30fps
GSM 900 / 1800 - India,,,,,,Nano-SIM + Nano-SIM,,No,,,,"Glass front (Gorilla Glass 3), plastic back, aluminum frame","4.2, A2DP, LE",FM radio,Corning Gorilla Glass 3,,,"Blue/Copper, Blue/Silver, Grey/Silver",,LED flash,,,Up to 19 h (3G),Adreno 308,,,"Yes, with stereo speakers",,,Nokia 2.1,153.6 x 77.6 x 9.7 mm (6.05 x 3.06 x 0.38 in),,"1, 3, 5, 7, 8, 20, 38, 40 - APAC, EMEA","HSDPA 850 / 900 / 2100 - APAC, EMEA, India","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.4 GHz Cortex-A53,,"microUSB 2.0, OTG",GSM / HSPA / LTE,174 g (6.14 oz),"Android 8.1 Oreo (Go edition), upgradable to Android 10.0, Android One",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-21-.jpg,,"TA-1080, TA-1092, TA-1084, TA-1093, TA-1086","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 40, 66 - LATAM, USA",Qualcomm MSM8917 Snapdragon 425 (28 nm),"Available. Released 2018, August",,,IPS LCD,,,8GB 1GB RAM,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",eMMC 5.1,0.83 W/kg (head)     1.67 W/kg (body),"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM, USA",About 100 EUR,,microSDXC (dedicated slot),720p@30fps,,,"Li-Ion 4000 mAh, non-removable","2018, May",Nokia,,,10W wired,Wi-Fi 802.11 b/g/n,,"1, 3, 5, 40, 41 - India",,,,,Yes,5 MP,"GPS, GLONASS, BDS","8 MP, AF","5.5 inches, 83.4 cm2(~70.0% screen-to-body ratio)",Up to 128 h,,,,"Accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,1080p@30fps
"1, 3, 5, 7, 8, 20, 38, 39, 40, 41 - MENA/China",,,,,,Micro-SIMMicro-SIM + Nano-SIM,Up to 408 h,No,,,,"Glass front, plastic back, plastic frame","4.1, A2DP, LE",FM radio,,,,"Traditional Black, Banana Yellow",,LED flash,,,Up to 11 h (3G),Adreno 304,,,Yes,,,Nokia 8110 4G,133.5 x 49.3 x 14.9 mm (5.26 x 1.94 x 0.59 in),,"1, 3, 5, 7, 8, 20 - Europe",HSDPA 850 / 900 / 2100 - Europe,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual-core (2x1.1 GHz Cortex-A7),,microUSB 2.0,GSM / HSPA / LTE,117 g (4.13 oz),KaiOS 2.5.1,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-8110-4g-.jpg,,"TA-1071, TA-1067",eMMC 4.5,Qualcomm MSM8905 Snapdragon 205 (28 nm),"Available. Released 2018, April 23",,,TFT,,,4GB 512MB RAM,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Downloadable applications Facebook, Gmail, Whatsapp, etc.Audio/Video player",0.95 W/kg (head)     1.48 W/kg (body),Drip protectionFlashlight,About 140 EUR,Up to 600 h (3G),microSDHC (dedicated slot),Yes,,1.16 W/kg (head)     1.18 W/kg (body),Li-Ion 1500 mAh battery,"2018, February 25",Nokia,,Up to 11 h,,Wi-Fi 802.11 b/g/n,,No,,,,,Yes,,GPS,2 MP,"2.4 inches, 17.8 cm2(~27.1% screen-to-body ratio)",Up to 48 h,,,,,GSM 900 / 1800,
