Unnamed: 0,Brand,3.5mm jack,_1,CPU,Weight,Display,Protection,Loudspeaker_1,Build,Phonebook,Price,NFC,Positioning,Speed,Dual,Resolution,Games,Talk time,Size,Status,Infrared port,GPU,Technology,Colors,Triple,WLAN,Charging,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Single_1,OS,Bluetooth,USB,SAR,_4,Java,EDGE,Sensors,Video,Dimensions,Features,Single,5G bands,Quad,128GB 4GB RAM,_2,_5,Internal,Models,Call records,_3,Loudspeaker,Features_1,Card slot,Model Image,Radio,4G bands,URL,Image
,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),195 g (6.88 oz),,,,,,,No,"GPS, GLONASS, GALILEO","HSPA, LTE","13 MP, (wide), AF2 MP, (depth)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,,"6.6 inches, 104.6 cm2(~84.4% screen-to-body ratio)","Available. Released 2024, July 05",,Mali-G57 MC2,GSM / HSPA / LTE,Storm Gray,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2024, June 26",,TCL 50 LE,,1080p@30fps,4000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,"IPS LCD, 90Hz",Mediatek Dimensity 700 (7 nm),,Android 14,"5.1, A2DP, LE","USB Type-C, OTG",,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",1080p@30fps,164.5 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in),"LED flash, HDR, panorama","8 MP, (wide)",,,,,,64GB 4GB RAM,,,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-le.jpg,FM radio,"2, 3, 4, 5, 7, 12, 13, 20, 28, 66",,
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 4056S,TCL,Yes,"2, 3, 4, 5, 7, 12, 13, 66 - 4056S",Quad-core 1.3 GHz Cortex-A53,133 g (4.69 oz),,,,,,About 80 EUR,No,GPS,"HSPA, LTE",,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,,"2.8 inches, 24.3 cm2(~40.7% screen-to-body ratio)",Available. Released 2024,,Adreno 308,GSM / HSPA / LTE,"Midnight Blue, Dark Gray, Slate Gray",,Wi-Fi 802.11 b/g/n,5W wired,,HSDPA 850 / 1700(AWS) / 1900 - 4056W,2024,,TCL Flip,,,1850 mAh,GSM 850 / 1900,Nano-SIM,TFT LCD,Qualcomm QM215 Snapdragon 215 (28 nm),,KaiOS 3.0,"4.2, A2DP",USB Type-C,0.78 W/kg (head)     1.27 W/kg (body),,,,,480p@30fps,107.3 x 55.6 x 19.9 mm (4.22 x 2.19 x 0.78 in),,2 MP,,,,"External display: 1.44"", TFT-TN LCD",,4GB 512MB RAM,"4056W, 4056S",,No,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-flip.jpg,FM radio,"2, 4, 5, 12, 25, 26, 41, 66, 71 - 4056W",,
"External display: 1.44"", TFT-TN LCD",TCL,Yes,No,Quad-core 1.5 GHz Cortex-A53,139.8 g (4.94 oz),,,,,Yes,About 70 EUR,No,GPS,"HSPA, LTE",,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Yes,,"2.8 inches, 24.3 cm2(~40.7% screen-to-body ratio)",Available. Released 2024,,PowerVR GE8100,GSM / HSPA / LTE,Black,,Wi-Fi 802.11 b/g/n,5W wired,,HSDPA 850 / 1700(AWS) / 1900,2024,"SMS, MMS",TCL Classic,,,1850 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,TFT LCD,Mediatek MT6739 (28 nm),,,"4.2, A2DP",USB Type-C,0.86 W/kg (head)     1.29 W/kg (body),,No,,Barometer,480p@30fps,107.3 x 55.6 x 19.8 mm (4.22 x 2.19 x 0.78 in),LED flash,2 MP,,,,,,4GB 512MB RAM,4058C,Yes,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-classic.jpg,No,"2, 4, 5, 12, 14",,
"External display: 1.77"", TFT-TN LCD",TCL,Yes,No,Quad-core 1.3 GHz Cortex-A53,143.5 g (5.04 oz),,,,,,About 80 EUR,No,GPS,"HSPA, LTE",,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",,,"3.2 inches, 31.7 cm2(~49.8% screen-to-body ratio)",Available. Released 2024,,Adreno 308,GSM / HSPA / LTE,Black,,Wi-Fi 802.11 b/g/n,5W wired,,HSDPA 850 / 1700(AWS) / 1900 / 2100,2024,,TCL Flip 3,,,1850 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,TFT LCD,Qualcomm QM215 Snapdragon 215 (28 nm),,KaiOS 3.1,"4.2, A2DP",USB Type-C,1.36 W/kg (head)     0.94 W/kg (body),,,,Barometer,480p@30fps,107.2 x 59.4 x 19.8 mm (4.22 x 2.34 x 0.78 in),LED flash,5 MP,,,,,,16GB 1GB RAM,T435D,,,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-flip3.jpg,FM radio,"2, 4, 5, 12, 13, 41, 41, 66",,
"External display: 1.44"", TFT-TN LCD",TCL,Yes,No,Quad-core 1.5 GHz Cortex-A53,140 g (4.94 oz),,,,,Yes,About 70 EUR,No,GPS,"HSPA, LTE",,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Yes,,"2.8 inches, 24.3 cm2(~40.7% screen-to-body ratio)",Available. Released 2024,,PowerVR GE8100,GSM / HSPA / LTE,"Black, Blue",,Wi-Fi 802.11 b/g/n,5W wired,,HSDPA 850 / 1700(AWS) / 1900,2024,"SMS, MMS",TCL Flip 2,,,1850 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,TFT LCD,Mediatek MT6739-CH (28 nm),,,"4.2, A2DP",USB Type-C,0.86 W/kg (head)     1.29 W/kg (body),,No,,Barometer,480p@30fps,107.3 x 55.6 x 19.9 mm (4.22 x 2.19 x 0.78 in),LED flash,2 MP,,,,,,4GB 1GB RAM,"4058G, 4058W",Yes,,Yes,,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-flip2.jpg,FM radio,"2, 4, 5, 12, 25, 26, 41, 66, 71",,
IP54 dust and splash resistant,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),183.5 g (6.49 oz),,,,,,€ 149.99 / £ 129.99,Yes,"GPS, GLONASS, BDS, GALILEO","HSPA, LTE, 5G","50 MP, f/1.8, (wide), 1/2.5"", 0.7µm, PDAF5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,,"6.6 inches, 104.6 cm2(~84.9% screen-to-body ratio)","Available. Released 2024, April",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,"Dark Blue, Space Gray",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2024, February 26",,TCL 50 5G,,1080p@30fps,5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM +eSIM,"IPS LCD, 90Hz, 480 nits (typ)",Mediatek Dimensity 6100+ (6 nm),,"Android 14, planned upgrade to Android 15","5.3, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,164.1 x 75.1 x 8.3 mm (6.46 x 2.96 x 0.33 in),"LED flash, HDR, panorama","8 MP, (wide), 1/4.0"", 1.12µm","1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 48, 77, 78 SA/NSA",,€ 149.99,,,128GB 4GB RAM,,,,"Yes, with stereo speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-50-5g-.jpg,Unspecified,"1, 2, 3, 4, 5, 7, 8, 13, 17, 20, 26, 28, 32, 38, 40, 41, 42",,
eMMC 5.1,TCL,Yes,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),195 g (6.88 oz),,,,"Glass front, plastic frame, plastic back",,About 150 EUR,Yes (market/region dependent),"GPS, GLONASS, GALILEO, BDS","HSPA, LTE","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)",1080 x 2460 pixels (~396 ppi density),,,"6.78 inches, 109.2 cm2(~86.0% screen-to-body ratio)","Available. Released 2024, April 08",,Mali-G52 MC2,GSM / HSPA / LTE,"Midnight Blue, Space Gray",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","33W wired, 50% in 30 min",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2024, February 26",,TCL 50 SE,,1080p@30fps,5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz, 550 nits (typ)",Mediatek Helio G88 (12 nm),,"Android 14, planned upgrade to Android 15","5.1, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,168.2 x 75.5 x 8.1 mm (6.62 x 2.97 x 0.32 in),"LED flash, HDR, panorama","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",,,,,,"128GB 4GB RAM, 256GB 6GB RAM",,,,"Yes, with stereo speakers",HDR,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-50-se-.jpg,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",,
eMMC 5.1,TCL,Yes,,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),-,,,,,,,No,"GPS, GLONASS, GALILEO, BDS","HSPA, LTE",,540 x 1092 pixels (~203 ppi density),,,"6.0 inches, 92.3 cm2(~78.7% screen-to-body ratio)","Available. Released 2024, April",,PowerVR GE8320,GSM / HSPA / LTE,"Black, Glacial Blue",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1900 / 2100,"2024, February 26",,TCL 501,,720p@30fps,3000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM + Nano-SIM,IPS LCD,Mediatek Helio G36 (12 nm),"2 MP, f/2.8",Android 14 (Go edition),"5.1, A2DP, LE",USB Type-C,,,,,Accelerometer,1080p@30fps,156.5 x 74.9 x 9.7 mm (6.16 x 2.95 x 0.38 in),LED flash,"5 MP, f/2.2",,,,,,32GB 2GB RAM,T433D,,,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-501.jpg,Unspecified,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,
eMMC 5.1,TCL,Yes,Virtual proximity sensing,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),190 g (6.70 oz),,,,,,,Yes (market/region dependent),"GPS, GLONASS, GALILEO, BDS","HSPA, LTE","50 MP, f/1.8, 26mm (wide), 1/2.55"", 0.7µm, PDAF2 MP, f/2.4, (depth)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,,"6.75 inches, 110.0 cm2(~85.2% screen-to-body ratio)","Available. Released 2024, March",,PowerVR GE8320,GSM / HSPA / LTE,"Ocean Blue, Space Grey",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1900 / 2100,"2024, February 06",,TCL 505,,1080p@30fps,5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits (typ)",Mediatek Helio G36 (12 nm),,Android 14,"5.1, A2DP, LE","USB Type-C 2.0, OTG",,,,,"Fingerprint (side-mounted; market/region dependent), accelerometer",1080p@30fps,168.3 x 76.7 x 8.3 mm (6.63 x 3.02 x 0.33 in),"LED flash, HDR, panorama","5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm",,,,,,"64GB 4GB RAM, 128GB 4GB RAM",,,,"Yes, with stereo speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-505.jpg,FM radio,"1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41",,
,TCL,Yes,,Quad-core (4x1.8 GHz Cortex-A53),472 g (1.04 lb),,,,"Glass front, aluminum frame",,About 110 EUR,No,GPS - cellular model only,"HSPA, LTE - cellular model only",,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,,"10.1 inches, 295.8 cm2(~78.3% screen-to-body ratio)","Available. Released 2023, September",,PowerVR GE8300,GSM / HSPA / LTE,Space Black,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2023, August 29",,TCL Tab 10L Gen2,,Yes,Li-Po 6000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM (cellular model only),"IPS LCD, 350 nits",Mediatek MT8766B,2 MP,Android 13,"5.0, A2DP, LE",USB Type-C 2.0,,,,,Accelerometer,Yes,241.2 x 156.6 x 8 mm (9.50 x 6.17 x 0.31 in),LED flash,2 MP,,,,,,32GB 3GB RAM,,,,"Yes, with dual speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10l-gen2.jpg,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 38, 40, 41, 66",,
Stylus support,TCL,No,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),425 g (14.99 oz),,,,"Glass front, aluminum frame",,About 170 EUR,No,Unspecified,"HSPA, LTE - cellular model only",,"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",,,"10.36 inches, 305.5 cm2(~80.6% screen-to-body ratio)","Available. Released 2023, September",,PowerVR GE8320,GSM / HSPA / LTE,"Space Gray, Glacier Blue",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2023, August 29",,TCL Tab 10 Gen2,,1080p@30fps,Li-Po 6000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM (cellular model only),"IPS LCD, 350 nits",Mediatek MT6762 Helio P22T (12 nm),5 MP,Android 13,"5.0, A2DP, LE",USB Type-C 2.0,,,,,Accelerometer,1080p@30fps,244.9 x 154.7 x 7.4 mm (9.64 x 6.09 x 0.29 in),LED flash,8 MP,,,,,,"64GB 4GB RAM, 128GB 4GB",,,,"Yes, with dual speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10-gen2.jpg,Unspecified,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 34, 38, 39, 40, 41, 66",,
,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),192 g (6.77 oz),"1892:1 contrast ratio, 611 nits max brightness (measured)",,,,,About 250 EUR,Yes,"GPS, GLONASS, BDS, GALILEO","HSPA, LTE, 5G",,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,,"6.6 inches, 104.6 cm2(~84.4% screen-to-body ratio)","Available. Released 2023, October",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Starlight Black,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",15W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2023, August 29",,TCL 40 NxtPaper 5G,,1080p@30fps,Li-Ion 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM + Nano-SIM,"LCD, 90Hz, 500 nits",Mediatek Dimensity 6020 (7 nm),,"Android 13, TCL UI","5.1, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,164.5 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in),"LED flash, HDR, panorama","8 MP, (wide), 1/4.0"", 1.12µm","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 78 SA/NSA",,,,,256GB 6GB RAM,,,,Yes,,microSDXC (uses shared SIM slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-40-nxtpaper-5g.jpg,FM radio,"1, 3, 5, 7, 8, 20, 28, 32, 38, 40, 41, 42",,
Stylus support,TCL,Yes,NxtPaper technology,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),195 g (6.88 oz),,,,,,About 200 EUR,Yes,"GPS, GLONASS, BDS, GALILEO","HSPA, LTE",,1080 x 2460 pixels (~396 ppi density),,,"6.78 inches, 109.2 cm2(~86.2% screen-to-body ratio)","Available. Released 2023, September",,Mali-G52 MC2,GSM / HSPA / LTE,"Midnight Blue, Opalescent","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF5 MP, f/2.2, (ultra wide), 115°, 1.12µm2 MP, f/2.4, (macro)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",33W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2023, August 29",,TCL 40 NxtPaper,,1080p@30fps,Li-Ion 5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",Mediatek MT6769H Helio G88 (12 nm),,"Android 13, TCL UI","5.1, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,168.2 x 75.3 x 7.9 mm (6.62 x 2.96 x 0.31 in),"LED flash, HDR, panorama","32 MP, (wide)",,,,,,256GB 8GB RAM,,,,"Yes, with dual speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-40-nxtpaper.jpg,FM radio,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 38, 40, 41, 66",,
,TCL,Yes,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),195 g (6.88 oz),,,,"Glass front, plastic frame, plastic back",,About 140 EUR,No,GPS,"HSPA, LTE",,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,,"6.75 inches, 110.0 cm2(~85.6% screen-to-body ratio)","Available. Released 2023, May",,PowerVR GE8320,GSM / HSPA / LTE,Dark Gray,"50 MP, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 1700(AWS) / 1900 - USA,"2023, February 26",,TCL 40 XL,,1080p@30fps,Li-Ion 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM +eSIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz",Mediatek MT6765 Helio G37 (12 nm),,"Android 13, TCL UI","5.1, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",1080p@30fps,167.9 x 76.5 x 8.8 mm (6.61 x 3.01 x 0.35 in),"LED flash, HDR, panorama","8 MP, (wide)",,,,,,"128GB 4GB RAM, 256GB 6GB RAM",T608M,,,"Yes, with dual speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-40-xl-.jpg,FM radio,"2, 4, 5, 12, 13, 25, 26, 41, 66, 71 - USA",,
,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),195 g (6.88 oz),,,,"Glass front, plastic frame, plastic back",,About 190 EUR,No,GPS,"HSPA, LTE, 5G",,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"6.56 inches, 103.4 cm2(~83.4% screen-to-body ratio)","Available. Released 2023, June",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Black,"50 MP, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",18W wired,,HSDPA 850 / 1700(AWS) / 1900 - USA,"2023, February 26",,TCL 40 X,,1080p@30fps,Li-Ion 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz",Mediatek Dimensity 700 (7 nm),,"Android 13, TCL UI","5.1, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer (USA only)",1080p@30fps,164.5 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in),"LED flash, HDR, panorama","8 MP, (wide)","2, 5, 66, 77 SA/NSA",,,,,64GB 4GB RAM,T609M,,,"Yes, with dual speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-40-x-.jpg,Unspecified,"2, 4, 5, 12, 13, 25, 26, 41, 66, 71 - USA",,
eMMC 5.1,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),195 g (6.88 oz),,,,"Glass front, plastic frame, plastic back",,About 100 EUR,No,"GPS, GLONASS, GALILEO, BDS","HSPA, LTE, 5G",,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"6.56 inches, 103.4 cm2(~83.4% screen-to-body ratio)","Available. Released 2023, June",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Starlight Black,"13 MP, f/2.2, 27mm (wide) 1/3.0"", 1.12µm, PDAF2 MP, f/2.4, (depth)2 MP, f/2.4, (macro)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 1700(AWS) / 1900 - USA,"2023, February 26",,TCL 40 XE,,1080p@30fps,Li-Ion 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz",Mediatek Dimensity 700 (7 nm),,"Android 13, TCL UI","5.1, A2DP, LE",USB Type-C 2.0,1.38 W/kg (head)     1.12 W/kg (body),,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,164.5 x 75.4 x 0 mm (6.48 x 2.97 x 0.0 in),"LED flash, HDR, panorama","8 MP, f/2.0, 26mm (wide) 1/4.0"", 1.12µm",SA/NSA,,,,,64GB 4GB RAM,,,,Yes,,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-40-xe-.jpg,FM radio,"2, 4, 5, 12, 13, 25, 26, 41, 66, 71 - USA",,
Stylus support,TCL,Unspecified,,Octa-core (4x2.0 GHz Cortex-A73 & 4x Cortex-A53),462 g (1.02 lb),,,,,,About 180 EUR,No,Unspecified,"HSPA, LTE - cellular model only",,"1200 x 2000 pixels, 5:3 ratio (~213 ppi density)",,,"10.95 inches, 341.3 cm2(~80.5% screen-to-body ratio)","Available. Released 2023, May",,PowerVR GE8320,GSM / HSPA / LTE,"Digital Lavender, Dark Gray",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2023, February 26",,TCL Tab 11,,1080p@30fps,Li-Po 8000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM (cellular model only),IPS,Mediatek MT8183 Helio P60T (12 nm),"8 MP, 100˚, (ultrawide), 1/4.0"", 1.12µm",Android 13,"5.0, A2DP, LE",USB Type-C 2.0,,,,,"Accelerometer, proximity (accessories only)",1080p@30fps,259 x 163.6 x 6.9 mm (10.20 x 6.44 x 0.27 in),LED flash,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm, AF",,,,,,,"9166G, 9466X",,,"Yes, with dual speakers (4 speakers)",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-11.jpg,Unspecified,"1, 2, 3, 4, 5, 7, 8, 17, 20, 28, 34, 38, 39, 40, 41, 66 - USA",,
Stylus support,TCL,Unspecified,,Octa-core (4x2.0 GHz Cortex-A73 & 4x Cortex-A53),462 g (1.02 lb),,,,,,About 240 EUR,No,Unspecified,"HSPA, LTE - cellular model only",,"1200 x 2000 pixels, 5:3 ratio (~213 ppi density)",,,"10.95 inches, 341.3 cm2(~80.5% screen-to-body ratio)","Available. Released 2023, May",,PowerVR GE8320,GSM / HSPA / LTE,"Digital Lavender, Dark Gray",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1900 / 2100,"2023, February 26",,TCL NxtPaper 11,,1080p@30fps,Li-Po 8000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM (cellular model only),NCVM IPS,Mediatek MT8183 Helio P60T (12 nm),"8 MP, 100˚, (ultrawide), 1/4.0"", 1.12µm",Android 13,"5.0, A2DP, LE",USB Type-C 2.0,,,,,"Accelerometer, proximity (accessories only)",1080p@30fps,259 x 163.6 x 6.9 mm (10.20 x 6.44 x 0.27 in),LED flash,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm, AF",,,,,,,9466X,,,"Yes, with dual speakers (4 speakers)",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-11.jpg,Unspecified,LTE,,
Virtual proximity sensing,TCL,Yes,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),190 g (6.70 oz),,,,,,About 110 EUR,Yes (market/region dependent),"GPS, GLONASS, GALILEO, BDS","HSPA, LTE","13 MP, f/2.2, (wide), 1/3.0"", 1.12µm, PDAF2 MP, f/2.4, (depth)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,,"6.6 inches, 104.6 cm2(~84.3% screen-to-body ratio)","Available. Released 2023, February 26",,PowerVR GE8320,GSM / HSPA / LTE,"Dark Grey, Lavender Purple",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1900 / 2100,"2023, February 26",,TCL 406,,1080p@30fps,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 400 nits (typ)",,,Android 13,"5.1, A2DP, LE","USB Type-C 2.0, OTG",,,,,"Fingerprint (side-mounted), accelerometer",1080p@30fps,164.7 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in),LED flash,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",,,,,,32GB 3GB RAM,T506K,,,"Yes, with stereo speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-406.jpg,FM radio,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,
