,Price,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Infrared port,EDGE,Phonebook,Bluetooth,Messaging,Music play,GPU,Chipset,Keyboard,Java,Model Image,OS,3G bands,2G bands,Call records,4G bands,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Video_1,Games,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,CPU,Colors,Announced,Type,_1,Sensors,Single_1,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio,NFC
Flashlight,,LED flash,Up to 3 h 20 min,GPS,"480 x 800 pixels, 5:3 ratio (~235 ppi density)","Li-Ion 1550 mAh, removable",Wi-Fi 802.11 b/g/n,,,,2.0,,,Mali-400,Mediatek MT6572M/W,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-4.jpg,Android 4.2.2 (Jelly Bean),HSDPA 850 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC,4GB 512MB RAM,Discontinued,,GSM / HSPA,Up to 120 h,Yes,,,2 MP,Yes,Icemobile,HSPA,124 x 66 x 9.3 mm (4.88 x 2.60 x 0.37 in),,,-,Dual-core Cortex-A7,"White, Black, Blue","2014, May. Released 2014, May",IPS LCD,,Accelerometer,VGA,"3.97 inches, 44.9 cm2(~54.8% screen-to-body ratio)",Icemobile Prime 4.0,Yes,microUSB,,Dual SIM (Mini-SIM),FM radio,No
,,LED flash,Up to 6 h,A-GPS only,"320 x 480 pixels, 3:2 ratio (~165 ppi density)","Li-Ion 1200 mAh, removable","Wi-Fi 802.11 b/g/n, hotspot",,,,"2.1, EDR",,,,,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch-3g.jpg,Android 4.0 (Ice Cream Sandwich),HSDPA 850 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),512MB 512MB RAM,Discontinued,,GSM / HSPA,Up to 240 h,Yes,,,2 MP,Yes,Icemobile,HSPA,110.5 x 64.5 x 12.4 mm (4.35 x 2.54 x 0.49 in),,,100 g (3.53 oz),1.0 GHz Cortex-A9,"White, Black, Blue","2014, February. Released 2014, February",TFT,,Accelerometer,VGA,"3.5 inches, 36.5 cm2(~51.2% screen-to-body ratio)",Icemobile Apollo Touch 3G,Yes,microUSB 2.0,,Dual SIM (Mini-SIM),FM radio,No
,,LED flash,Up to 6 h,A-GPS only,"480 x 320 pixels, 3:2 ratio (~222 ppi density)","Li-Ion 1200 mAh, removable",Wi-Fi 802.11 b/g/n,,,,2.0,,,,,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/apollo-3g.jpg,Android 4.2.2 (Jelly Bean),HSDPA 850 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),512MB 512MB RAM,Discontinued,,GSM / HSPA,Up to 240 h,Yes,,,2 MP,Yes,Icemobile,HSPA,110.5 x 64.5 x 12.4 mm (4.35 x 2.54 x 0.49 in),,,100 g (3.53 oz),1.0 GHz Cortex-A9,"White, Black, Pink, Blue, Green, Red","2014, February. Released 2014, February",TFT,,Accelerometer,VGA,"2.6 inches, 20.1 cm2(~28.2% screen-to-body ratio)",Icemobile Apollo 3G,Yes,microUSB 2.0,,Dual SIM (Mini-SIM),FM radio,No
,,,,No,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Li-Po 2800 mAh, non-removable",Wi-Fi 802.11 b/g/n,,,,"4.0, A2DP",,,Mali-400,Mediatek MT6572W,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g7-pro.jpg,Android 4.2.2 (Jelly Bean),HSDPA 850 / 2100,GSM 850 / 900 / 1800 / 1900,,,microSDHC (dedicated slot),4GB 512MB RAM,Discontinued,,GSM / HSPA,,Yes,,,2 MP,Yes,Icemobile,HSPA,197.6 x 122.3 x 10.7 mm (7.78 x 4.81 x 0.42 in),,,307 g (10.83 oz),Dual-core 1.2 GHz Cortex-A7,"Black, Red, White, Gray",2014. Released 2014,IPS LCD,,Accelerometer,VGA,"7.0 inches, 137.9 cm2(~57.1% screen-to-body ratio)",Icemobile G7 Pro,Yes,2.0,,Micro-SIM,No,No
HDMI port,,LED flash,Up to 3 h 30 min (multimedia),No,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Li-Ion 2800 mAh, non-removable",Wi-Fi 802.11 b/g/n,,No,,3.0,,Up to 8 h,,,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g3.jpg,Android 4.2.2 (Jelly Bean),,N/A,,,microSDHC (dedicated slot),4GB 512MB RAM,Discontinued,,No cellular connectivity,,Yes,,,1.3 MP,Yes,Icemobile,,194 x 117 x 10 mm (7.64 x 4.61 x 0.39 in),,No,300 g (10.58 oz),Dual-core 1.0 GHz Cotex-A7,"Black, Red, White",2014. Released 2014,TFT,,Accelerometer,VGA,"7.0 inches, 137.9 cm2(~60.8% screen-to-body ratio)",Icemobile G3,Yes,"2.0, OTG",,No,No,No
Flashlight,,LED flash,,,"540 x 960 pixels, 16:9 ratio (~247 ppi density)","Li-Ion 1550 mAh, removable",Wi-Fi 802.11 b/g/n,,,,2.1,,,Mali-400,Mediatek MT6572AW,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-45.jpg,Android 4.2.2 (Jelly Bean),HSDPA 850 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),4GB 512MB RAM,Discontinued,,GSM / HSPA,,Yes,,,2 MP,Yes,Icemobile,HSPA,133.5 x 67 x 9.5 mm (5.26 x 2.64 x 0.37 in),,,-,Dual-core Cortex-A7,"Black, White/Blue","2014, January. Released 2014, January",IPS LCD,,,VGA,"4.46 inches, 54.8 cm2(~61.3% screen-to-body ratio)",Icemobile Prime 4.5,Yes,microUSB,,Dual SIM,FM radio,No
No,,,Up to 7 h,No,220 x 176 pixels (~141 ppi density),"Li-Ion 1000 mAh, removable",No,,No,500 contacts,2.0,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-charm2.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,20 entries,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 150 h,Yes,,Yes,VGA,Yes,Icemobile,,100 x 48.9 x 17.4 mm (3.94 x 1.93 x 0.69 in),,Class 10,-,,"Black, Red, Sliver, Blue, Pink","2014, January. Released 2014, January",TFT,MP3/MP4 playerPredictive text input,,,"2.0 inches, 12.6 cm2(~25.7% screen-to-body ratio)",Icemobile Charm II,Yes,miniUSB,,Dual SIM,Stereo FM radio,No
,,LED flash,Up to 8 h,GPS,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Li-Ion 6000 mAh, non-removable",Wi-Fi 802.11 b/g/n,Yes,,,"2.1, EDR",,,PowerVR SGX544,Mediatek MT8389,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g10.jpg,Android 4.2 (Jelly Bean),HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,,microSD (dedicated slot),,Discontinued,,GSM / HSPA,Up to 120 h,Yes,,,2 MP,Yes,Icemobile,HSPA,246 x 175 x 10.2 mm (9.69 x 6.89 x 0.40 in),,,-,Quad-core 1.2 GHz Cortex-A7,"White, Black","2014, January. Released 2014, January",TFT,,Accelerometer,VGA,"10.1 inches, 295.8 cm2(~68.7% screen-to-body ratio)",Icemobile G10,Yes,2.0,,Micro-SIM,FM radio,No
IP67 dust/water resistant (up to 1m for 30 min),,LED flash,Up to 11 h,GPS,"480 x 854 pixels, 16:9 ratio (~244 ppi density)","Li-Ion 2800 mAh, removable","Wi-Fi 802.11 b/g/n, hotspot",,,,"4.1, A2DP",,,PowerVR SGX544,Mediatek MT6589 (28 nm),,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-gravity-pro.jpg,Android 4.0 (Ice Cream Sandwich),HSDPA 850 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),4GB 1GB RAM,Discontinued,,GSM / HSPA,Up to 700 h,Yes,,,"8 MP, AF",Yes,Icemobile,HSPA 7.2/5.76 Mbps,139.7 x 76.4 x 17.6 mm (5.5 x 3.01 x 0.69 in),,,240 g (8.47 oz),Quad-core 1.2 GHz Cortex-A7,"Black, White, Orange",2013. Released 2013,IPS LCD,,,1.3 MP,"4.02 inches, 44.5 cm2(~41.7% screen-to-body ratio)",Icemobile Gravity Pro,Yes,microUSB 2.0,,Yes,FM radio,No
GSM 900 / 1800 - SIM 1 & SIM 2,,LED flash,,No,"320 x 480 pixels, 3:2 ratio (~144 ppi density)","Li-Ion 1000 mAh, removable",Wi-Fi 802.11 b/g/n,,No,Yes,Yes,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-sol-3.jpg,,,GSM 850 / 1900 - SIM 1 & SIM 2,Yes,,microSDHC (dedicated slot),,Discontinued,TV appOrganizerMP4 playerMP3 playerPredictive text input,GSM,,,,Yes,VGA,Yes,Icemobile,,128 x 68.7 x 10.2 mm (5.04 x 2.70 x 0.40 in),No,Yes,-,,"Black, Red, White, Blue","2013, November. Released 2013, November",TFT,Flashlight,,,"4.0 inches, 47.6 cm2(~54.2% screen-to-body ratio)",Icemobile Sol III,Yes,Proprietary,,"Dual SIM (Mini-SIM, dual stand-by)",Stereo FM radio,No
