,Price,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Infrared port,EDGE,Phonebook,Bluetooth,Messaging,Music play,GPU,Chipset,Keyboard,Java,Model Image,OS,3G bands,2G bands,Call records,4G bands,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Video_1,Games,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,CPU,Colors,Announced,Type,_1,Sensors,Single_1,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio,NFC
"IP54, dust and splash resistantFlashlight",,,Up to 5 h,No,144 x 176 pixels (~114 ppi density),"Li-Ion 500 mAh, removable",No,,No,500 contacts,2.0,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-hydro.jpg,,,GSM 850 / 900 / 1800 / 1900,100 entries,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 80 h,Yes,,Yes,1.3 MP,No,Icemobile,,114 x 54 x 11.8 mm (4.49 x 2.13 x 0.46 in),MP3/MP4 player,Yes,85 g (3.00 oz),,"Black, White, Blue",2013. Released 2013,TFT,No,,,"2.0 inches, 12.6 cm2(~20.5% screen-to-body ratio)",Icemobile Hydro,Yes,microUSB 2.0,,Yes,FM radio,No
Flashlight,,,Up to 6 h,No,128 x 160 pixels (~114 ppi density),"Li-Ion 700 mAh, removable",No,,No,500 contacts,No,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-bold.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"20 dialed, 20 received, 20 missed calls",,microSD (dedicated slot),,Discontinued,,GSM,Up to 180 h,Yes,,No,1.3 MP,No,Icemobile,,103.2 x 45.2 x 14.5 mm (4.06 x 1.78 x 0.57 in),MP3/MP4 playerPredictive text input,Class 10,46 g (w/out battery) (1.62 oz),,"Black, White, Red, Blue",2013. Released 2013,TFT,No,,,"1.8 inches, 10.2 cm2(~21.9% screen-to-body ratio)",Icemobile Rock Bold,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,No
Flashlight,,,Up to 4 h,GPS,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Li-Po 2800 mAh, non-removable",Wi-Fi 802.11 b/g,Yes,Yes,,"2.1, EDR",,,,,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g2.jpg,Android OS,,GSM 850 / 900 / 1800 / 1900,,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 120 h,Yes,,,3.15 MP,Yes,Icemobile,,195 x 124 x 9.8 mm (7.68 x 4.88 x 0.39 in),,Class 12,450 g (0.99 lb),,"White, Black","2013, July. Released 2013, July",TFT,Analog TV,Accelerometer,VGA,"7.0 inches, 137.9 cm2(~57.0% screen-to-body ratio)",Icemobile G2,Yes,2.0,,Yes,No,No
,,LED flash,Up to 6 h,GPS,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Li-Ion 1600 mAh, removable","Wi-Fi 802.11 b/g/n, hotspot",,,,"2.1, EDR",,,PowerVR SGX544,Mediatek MT6589 (28 nm),,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-gprime-extreme.jpg,Android 4.2.1 (Jelly Bean),HSDPA 850 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),,Discontinued,,GSM / HSPA,Up to 240 h,Yes,,,"8 MP, AF",Yes,Icemobile,HSPA,143 x 72.8 x 10 mm (5.63 x 2.87 x 0.39 in),,,125 g (4.41 oz),Quad-core 1.2 GHz Cortex-A7,"Black, White",2013. Released 2013,TFT,,"Accelerometer, proximity",2 MP,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)",Icemobile Gprime Extreme,No,microUSB 2.0,,Dual SIM (Mini-SIM),FM radio,No
Flashlight,,,Up to 4 h,GPS,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Li-Po 2800 mAh, non-removable",Wi-Fi 802.11 b/g,Yes,,,"2.1, EDR",,,,,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g7.jpg,Android OS,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,,microSDHC (dedicated slot),,Discontinued,,GSM / HSPA,Up to 120 h,Yes,,,3.15 MP,Yes,Icemobile,HSPA,195 x 124 x 9.8 mm (7.68 x 4.88 x 0.39 in),,,450 g (0.99 lb),,"White, Black","2013, April. Released 2013, April",TFT,Analog TV,Accelerometer,VGA,"7.0 inches, 137.9 cm2(~57.0% screen-to-body ratio)",Icemobile G7,Yes,2.0,,Yes,No,No
Analog TV,,,,GPS,"600 x 1024 pixels, 16:9 ratio","Li-Po 3000 mAh, non-removable",Wi-Fi 802.11 b/g/n,Yes,,,Yes,,,PowerVR SGX531,Mediatek MT6575 (40 nm),,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-g51.jpg,Android 4.0 (Ice Cream Sandwich),HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,,microSDHC (dedicated slot),,Discontinued,,GSM / HSPA,,Yes,,,2 MP,Yes,Icemobile,HSPA,196.6 x 123.3 x 11.1 mm (7.74 x 4.85 x 0.44 in),,,345 g (12.17 oz),1.0 GHz Cortex-A9,White/Black,"2013, January. Released 2013, January",TFT,,Accelerometer,VGA,"7.0 inches, 137.9 cm2(~56.9% screen-to-body ratio)",Icemobile G5,Yes,2.0,,Mini-SIM,FM radio,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 7 h,No,128 x 160 pixels (~114 ppi density),"Li-Ion 800 mAh, removable",No,,No,500 entries,Yes,"SMS, MMS",,,,QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-tropical3.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,20 entries,,microSDHC (dedicated slot),,Discontinued,MP3/MP4 playerPredictive text input,GSM,Up to 180 h,,,Yes,VGA,Yes,Icemobile,,103 x 55 x 13.3 mm (4.06 x 2.17 x 0.52 in),No,Class 10,-,,"Black, Red, Blue, Silver, White","2011, November. Released 2012, November",TFT,Flashlight,,,"1.8 inches, 10.2 cm2(~18.0% screen-to-body ratio)",Icemobile Tropical 3,Yes,miniUSB,,Dual SIM (Mini-SIM),Stereo FM radio,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,"320 x 240 pixels, 4:3 ratio (~174 ppi density)","Li-Ion 1500 mAh, removable (BP-4L)",No,,No,300 entries,Yes,"SMS, MMS",,,,QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-quattro.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,20 entries,,microSDHC (dedicated slot),,Discontinued,MP4/H.263 playerMP3 playerPredictive text input,GSM,Up to 220 h,,,Yes,Yes,Yes,Icemobile,,104 x 54 x 10.3 mm (4.09 x 2.13 x 0.41 in),,Class 10,-,,"White, Black, Silver, Blue, Red","2012, November. Released 2012, November",TFT,Flashlight,,,"2.3 inches, 16.4 cm2(~29.2% screen-to-body ratio)",Icemobile Quattro,Yes,miniUSB,,Dual SIM (Mini-SIM),Stereo FM radio,No
HSDPA 2100,,LED flash,Up to 8 h,GPS,"480 x 800 pixels, 5:3 ratio (~187 ppi density)","Li-Ion 2150 mAh, removable","Wi-Fi 802.11 b/g/n, hotspot",,,,"4.0, EDR",,,Adreno 203,Qualcomm MSM8225 Snapdragon S4 Play,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-galaxy-prime-plus.jpg,Android 4.0 (Ice Cream Sandwich),HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),4GB 512MB RAM,Discontinued,,GSM / HSPA,Up to 120 h,Yes,,,"5 MP, AF",Yes,Icemobile,HSPA,141.6 x 76.1 x 10.5 mm (5.57 x 3.00 x 0.41 in),,,135 g (4.76 oz),Dual-core 1.0 GHz Cortex-A5,"Black, White","2012, October. Released 2012, October",TFT,,"Accelerometer, proximity",VGA,"5.0 inches, 71.2 cm2(~66.0% screen-to-body ratio)",Icemobile Prime Plus,No,"microUSB 2.0, OTG",,Dual SIM (Mini-SIM),No,No
Flashlight,,,Up to 12 h,No,176 x 144 pixels (~114 ppi density),"Li-Ion 1800 mAh, removable",Wi-Fi 802.11 b/g/n,,No,300 entries,Yes,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-submarine.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 550 h,Yes,,Yes,1.3 MP,Yes,Icemobile,,119 x 53 x 20 mm (4.69 x 2.09 x 0.79 in),,Yes,135 g (4.76 oz),,"Black, Orange, Gray","2012, October. Released 2012, October",TFT,No,,,"2.0 inches, 12.6 cm2(~20.1% screen-to-body ratio)",Icemobile Submarine,Yes,1.1,,Dual SIM (Mini-SIM),FM radio,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 7 h,No,128 x 160 pixels (~114 ppi density),"Li-Ion 800 mAh, removable",No,,No,200 contacts,Yes,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-charm.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),,Discontinued,MP3/MP4 playerPredictive text input,GSM,Up to 150 h,No,,Yes,VGA,No,Icemobile,,92 x 43.5 x 20.8 mm (3.62 x 1.71 x 0.82 in),No,Class 10,-,,"Black, Red, Silver, Blue, Pink","2012, October. Released 2012, October",TFT,Flashlight,,,"1.8 inches, 10.2 cm2(~25.5% screen-to-body ratio)",Icemobile Charm,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,No,"320 x 480 pixels, 3:2 ratio (~165 ppi density)","Li-Ion 1200 mAh, removable",Wi-Fi 802.11 b/g/n,,Yes,,Yes,,,PowerVR SGX531,Mediatek MT6515,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch.jpg,Android 2.3.6 (Gingerbread),,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,microSDHC (dedicated slot),,Discontinued,,GSM,,Yes,,,2 MP,Yes,Icemobile,,-,,Class 12,-,1.0 GHz Cortex-A9,"White, Black, Pink, Blue, Green, Red, Yellow","2012, October. Released 2012, October",TFT,MP4/H.264 playerMP3/WAV/eAAC+ playerDocument viewerPhoto viewer/editor,Accelerometer,VGA,"3.5 inches, 36.5 cm2",Icemobile Apollo Touch,Yes,microUSB 2.0,,Dual SIM (Mini-SIM),FM radio,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,No,"480 x 320 pixels, 3:2 ratio (~222 ppi density)","Li-Ion 1200 mAh, removable",Wi-Fi 802.11 b/g/n,,Yes,,Yes,,,PowerVR SGX531,Mediatek MT6515,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo.jpg,Android 2.3.6 (Gingerbread),,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,microSDHC (dedicated slot),,Discontinued,,GSM,,Yes,,,2 MP,Yes,Icemobile,,-,,Class 12,-,1.0 GHz Cortex-A9,"White, Black, Pink, Blue, Green, Red","2012, October. Released 2012, October",TFT,MP4/H.264 playerMP3/WAV/eAAC+ playerDocument viewerPhoto viewer/editor,Accelerometer,VGA,"2.6 inches, 20.1 cm2",Icemobile Apollo,Yes,microUSB 2.0,,Dual SIM (Mini-SIM),FM radio,No
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Removable Li-Ion 1000 mAh battery,No,,No,500 entries,Yes,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-sol2.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,"20 dialed, 20 received, 20 missed calls",,microSDHC (dedicated slot),,Discontinued,TV appOrganizerMP4 playerMP3 playerPredictive text input,GSM,Up to 200 h,Yes,,Yes,1.3 MP,Yes,Icemobile,,101 x 55.6 x 12.6 mm (3.98 x 2.19 x 0.50 in),No,Class 10,65 g (2.29 oz),,"Black, Red, Pink, White, Blue","2012, August. Released 2012, August","TFT resistive touchscreen, 65K colors",Flashlight,,,"2.8 inches, 24.3 cm2(~43.2% screen-to-body ratio)",Icemobile Sol II,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,,No,176 x 144 pixels (~103 ppi density),Removable Li-Ion 950 mAh battery,Wi-Fi 802.11 b/g/n,,No,300 entries,2.0,"SMS, MMS",,,Mediatek MT6252C,QWERTY,Yes,https://fdn2.gsmarena.com/vv/bigpic/icemobile-diamond-dust.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),16MB ROM,Discontinued,,GSM,,Yes,,Yes,VGA,Yes,Icemobile,,115 x 61 x 12.8 mm (4.53 x 2.40 x 0.50 in),TV appMP3/3gp playerOrganizerE-book readerUnit converter,Class 12,-,,"White, Black, Pink, Blue, Violet","2012, August. Released 2012, August",TFT,No,,,"2.2 inches, 15.3 cm2(~21.8% screen-to-body ratio)",Icemobile Diamond Dust,Yes,Proprietary,,Dual SIM (Mini-SIM),FM radio,
GSM 850 / 1900 - SIM 1 & SIM 2,,,Up to 2 h 10 min,No,176 x 220 pixels,Removable Li-Ion 1000 mAh battery,No,,No,Yes,"2.0, A2DP","SMS, MMS, Email, IM",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-blizzard.jpg,,,GSM 900 / 1800 - SIM 1 & SIM 2,"20 dialed, 20 received, 20 missed calls",,microSD (dedicated slot),128MB 32MB,Discontinued,Mobile TVMP3/MP4 playerOrganizerPredictive text input,GSM,Up to 100 h,Yes,,No,VGA,No,Icemobile,,106.3 x 46 x 13.5 mm (4.19 x 1.81 x 0.53 in),No,Yes,-,,"Black, Silver, Red, Blue, Pink","2012, May",TFT,Flashlight,,,"2.0 inches, 12.6 cm2(~25.7% screen-to-body ratio)",Icemobile Blizzard,Yes,microUSB,,"Dual SIM (Mini-SIM, dual stand-by)",FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 6 h,No,128 x 160 pixels (~114 ppi density),Removable Li-Ion 700 mAh battery,No,,No,200 contacts,No,SMS,,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-lite.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,"20 dialed, 20 received, 20 missed calls",,microSD (dedicated slot),,Discontinued,MP3/MP4 playerPredictive text input,GSM,Up to 180 h,,,No,,No,Icemobile,,108 x 47 x 13.9 mm (4.25 x 1.85 x 0.55 in),No,No,51 g without battery (1.80 oz),,"Black, Red, White, Red, Silver","2012, May",TFT,Flashlight,,,"1.8 inches, 10.2 cm2(~20.1% screen-to-body ratio)",Icemobile Rock Lite,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 900 / 1800 - SIM 1 & SIM 2,,,Up to 3 h 20 min,No,128 x 160 pixels,Removable Li-Ion 1200 mAh battery,No,,No,Yes,"2.0, A2DP (optional)","SMS, MMS, Email, IM",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-cenior.jpg,,,GSM 850 / 1900 - SIM 1 & SIM 2,"20 dialed, 20 received, 20 missed calls",,microSDHC (dedicated slot),64MB 32MB,Discontinued,MP3/MP4 playerOrganizer,GSM,Up to 150 h,Yes,,No,VGA,No,Icemobile,,110 x 46 x 16 mm (4.33 x 1.81 x 0.63 in),No,Yes,-,,"Black, Brown, Red","2012, May",TFT,Flashlight,,,"1.8 inches, 10.2 cm2(~20.2% screen-to-body ratio)",Icemobile Cenior,Yes,microUSB,,Dual SIM (Mini-SIM),FM radio,
IP68 dust/water resistant (up to 1.5m for 30 min)Flashlight,,,Up to 24 h,No,128 x 160 pixels (~116 ppi density),Removable Li-Ion 3600 mAh battery,No,,No,500 entries,Yes,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-acqua.jpg,,,GSM 850 / 900 / 1800 / 1900,Yes,,No,2GB,Discontinued,,GSM,Up to 600 h,Yes,,Yes,1.3 MP,No,Icemobile,,120 x 54 x 23 mm (4.72 x 2.13 x 0.91 in),,Class 12,168 g (5.93 oz),,"Black, Orange, Green","2012, April. Released 2012, September",TFT,No,,,"1.77 inches, 9.9 cm2(~15.2% screen-to-body ratio)",Icemobile Acqua,Yes,1.1,,Mini-SIM,FM radio (external),
MP3/WAV/WMA/AAC playerMP4/H.263 playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,,LED flash,,"GPS, A-GPS","480 x 800 pixels, 5:3 ratio (~179 ppi density)",Removable Li-Ion 2200 mAh battery,"Wi-Fi 802.11 b/g, hotspot",,,,2.0,,,PowerVR SGX531,Mediatek MT6573 (65 nm),,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-galaxy-prime.jpg,Android 2.3 (Gingerbread),HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,microSDHC (dedicated slot),512MB 512MB RAM,Discontinued,,GSM / HSPA,,Yes,,,"5 MP, AF",Yes,Icemobile,HSPA 7.2/5.76 Mbps,-,,,-,650 MHz Cortex-A9,"Black, White",2012,TFT,,"Accelerometer, gyro, proximity, compass",VGA,"5.2 inches, 77.0 cm2",Icemobile Prime,No,microUSB 2.0,,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 6 h,No,128 x 160 pixels (~114 ppi density),Removable Li-Ion 700 mAh battery,No,,No,500 contacts,No,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-mini.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,"20 dialed, 20 received, 20 missed calls",,microSD (dedicated slot),,Discontinued,MP3/MP4 playerPredictive text input,GSM,Up to 180 h,Yes,,Yes,1.3 MP,No,Icemobile,,103.2 x 45.2 x 14.5 mm (4.06 x 1.78 x 0.57 in),No,Class 10,46 g without battery (1.62 oz),,"Black, White, Red, Silver","2012, March",TFT,Flashlight,,,"1.8 inches, 10.2 cm2(~21.9% screen-to-body ratio)",Icemobile Rock Mini,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 6 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 700 mAh battery,No,,No,500 entries,2.0,"SMS, MMS",,,,QWERTY,Yes,https://fdn2.gsmarena.com/vv/bigpic/icemobile-twilight2.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 180 h,Yes,,Yes,2 MP,No,Icemobile,,100 x 51.2 x 17.6 mm (3.94 x 2.02 x 0.69 in),OrganizerTV appMP3/MP4 playerPredictive Text Input,Yes,100 g (3.53 oz),,"Black, Red, White",2012,TFT,Flashlight,,VGA,"2.4 inches, 17.8 cm2(~34.8% screen-to-body ratio)",Icemobile Twilight II,No,miniUSB,,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 6 h,No,220 x 176 pixels (~141 ppi density),Removable Li-Ion 950 mAh battery,No,,No,500 entries,Yes,"SMS, MMS",,,,QWERTY,Yes,https://fdn2.gsmarena.com/vv/bigpic/icemobile-fuego.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 500 h,Yes,,Yes,1.3 MP,,Icemobile,,88.5 x 57.6 x 17.5 mm (3.48 x 2.27 x 0.69 in),TV appMP4 playerMP3 playerPredictive text input,No,90 g (3.17 oz),,"Black, Red, White","2012, January. Released 2012, January",TFT,Flashlight,,VGA,"2.0 inches, 12.6 cm2(~24.7% screen-to-body ratio)",Icemobile Fuego,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,"240 x 320 pixels, 4:3 ratio",Removable Li-Ion 1050 mAh battery,Wi-Fi 802.11 b/g/n,,No,500 entries,Yes,SMS,,,,QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-hurricane-ii.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),64MB 128 MB,Discontinued,TV appMP4 playerMP3 player,GSM,Up to 72 h,Yes,,Yes,VGA,,Icemobile,,111.5 x 60 x 12.8 mm (4.39 x 2.36 x 0.50 in),No,Yes,90 g (3.17 oz),,"Black, White, Gold, Blue","2011, December. Released 2011, December",TFT,Flashlight,,,"2.2 inches, 15.0 cm2(~22.4% screen-to-body ratio)",Icemobile Hurricane II,Yes,Proprietary,,"Dual SIM (Mini-SIM, dual stand-by)",FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 850 mAh battery,No,,No,250 entries,Yes,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-sol.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),,Discontinued,TV appOrganizerMP4 playerMP3 playerPredictive text input,GSM,Up to 580 h,,,Yes,VGA,Yes,Icemobile,,96.2 x 52 x 13.2 mm (3.79 x 2.05 x 0.52 in),No,Class 10,59 g (2.08 oz),,"Red, Pink, White, Blue","2011, October. Released Exp. release 2012, Q1","TFT resistive touchscreen, 65K colors",Flashlight,,,"2.4 inches, 17.8 cm2(~35.7% screen-to-body ratio)",Icemobile Sol,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 9 h,No,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1000 mAh battery,No,,,500 entries,Yes,"SMS, MMS",,,,,"Yes, MIDP 2.0",https://fdn2.gsmarena.com/vv/bigpic/icemobile-twister.jpg,,HSDPA 850 / 2100 - SIM 1 only,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),,Discontinued,,GSM / HSPA,Up to 600 h,Yes,,Yes,2 MP,Yes,Icemobile,HSPA,111.3 x 50 x 13 mm (4.38 x 1.97 x 0.51 in),OrganizerMP4 playerMP3 playerPredictive text input,,90 g (3.17 oz),,"Black, Blue, White, Pink","2011, October. Released Exp. release 2012, Q1","TFT, 65K colors",Flashlight,,Yes,"2.4 inches, 17.8 cm2(~32.1% screen-to-body ratio)",Icemobile Twister,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Removable Li-Ion 800 mAh battery,No,,No,300 entries,Yes,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-wave.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 580 h,Yes,,Yes,VGA,Yes,Icemobile,,111 x 50 x 14.3 mm (4.37 x 1.97 x 0.56 in),TV appOrganizerMP4 playerMP3 playerPredictive text input,Class 10,86 g (3.03 oz),,"Black/Red, Blue/White, Black/Silver, Black","2011, October. Released 2011, October","TFT, 65K colors",Flashlight,,Yes,"2.2 inches, 15.0 cm2(~27.0% screen-to-body ratio)",Icemobile Wave,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 4 h 10 min,No,"320 x 240 pixels, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1050 mAh battery,Wi-Fi 802.11 b/g/n,,No,500 entries,Yes,"SMS, MMS",,,,QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-tornado-ii.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSD (dedicated slot),,Discontinued,,GSM,Up to 200 h,Yes,,Yes,VGA,Yes,Icemobile,,107 x 45.4 x 13.8 mm (4.21 x 1.79 x 0.54 in),TV appOrganizerMP4 playerMP3 playerPredictive text input,Yes,101 g (3.56 oz),,"Black, Red, Orange, Blue, Silver","2011, September. Released 2011, October","TFT, 65K colors",Flashlight,,Yes,"2.2 inches, 15.0 cm2(~30.9% screen-to-body ratio)",Icemobile Tornado II,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3,,LED flash,Up to 8 h,No,220 x 176 pixels (~141 ppi density),Removable Li-Ion 1000 mAh battery,No,,No,300 entries,Yes,"SMS, MMS",,,,QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-storm.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 580 h,Yes,,Yes,VGA,Yes,Icemobile,,106.5 x 59 x 14.6 mm (4.19 x 2.32 x 0.57 in),TV appOrganizerMP4 playerMP3 playerPredictive text input,Class 10,-,,"Purple, Black, Red, Rose, Coffee, Blue, Yellow","2011, August. Released 2011, September","TFT, 26K colors",Flashlight,,Yes,"2.0 inches, 12.6 cm2(~20.0% screen-to-body ratio)",Icemobile Storm,Yes,miniUSB (charging only),,Triple SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,About 70 EUR,,Up to 8 h,No,"640 x 320 pixels, 18:9 ratio (~298 ppi density)",Removable Li-Ion 1000 mAh battery,Wi-Fi 802.11 b/g/n,,No,,Yes,,,,Mediatek MT6516,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-clima-ii.jpg,Android 2.2 (Froyo),,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 680 h,Yes,,,2 MP,Yes,Icemobile,,108.6 x 60 x 12.5 mm (4.28 x 2.36 x 0.49 in),TV appOrganizerDocument viewerMP4 playerMP3 playerPredictive text input,Class 10,106 g (3.74 oz),416 MHz,"Black, Blue, White","2011, May. Released 2011, December","TFT resistive touchscreen, 65K colors",Flashlight,,VGA,"2.4 inches, 14.9 cm2(~22.8% screen-to-body ratio)",Icemobile Clima II,Yes,miniUSB (charging only),,Dual SIM (Mini-SIM),Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,220 x 176 pixels (~141 ppi density),Removable Li-Ion 800 mAh battery,No,,No,300 entries,Yes,"SMS, MMS",,,,QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-flurryII.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 580 h,Yes,,Yes,VGA,No,Icemobile,,98 x 53 x 13.5 mm (3.86 x 2.09 x 0.53 in),TV appOrganizerMP4 playerMP3 playerPredictive text input,Class 10,-,,"Black, Red, Blue, Pink, White","2011, August. Released 2011, September",TFT,Flashlight,,Yes,"2.0 inches, 12.6 cm2(~24.2% screen-to-body ratio)",Icemobile Flurry II,Yes,miniUSB (charging only),,"Dual SIM (Mini-SIM, dual stand-by)",Stereo FM radio,
