,CPU,Single,Internal,Talk time,Model Image,SIM,WLAN,Price,Dimensions,Model Name,NFC,Messaging,Games,OS,SAR EU,Call records,USB,Video,Size,Speed,Card slot,3G bands,2G bands,Positioning,Phonebook,Announced,Type,Video_1,Type_1,Build,GPRS,SAR,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Single_1,Loudspeaker,_1,EDGE,GPU,_2,3.5mm jack,Resolution,Protection,Stand-by,Java,Brand
,Quad-core 1.5 GHz Cortex-A7,"13 MP, AF",16GB 1GB RAM,Up to 6 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-x.jpg,Micro-SIM,Wi-Fi 802.11 b/g/n,About 200 EUR,143.9 x 70.5 x 9.9 mm (5.67 x 2.78 x 0.39 in),Karbonn Titanium X,Yes,,,Android 4.2.2 (Jelly Bean),,,"microUSB 2.0, OTG",Yes,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",HSPA,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800,GPS,,"2014, January. Released 2014, January",IPS LCD,,"Li-Ion 2300 mAh, non-removable",,,,"4.0, A2DP",FM radio,Mediatek MT6589T (28 nm),"Dual-LED flash, HDR, panorama","Accelerometer, proximity",GSM / HSPA,Black,143 g (5.04 oz),Discontinued,5 MP,Yes,,,PowerVR SGX544MP2,,Yes,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Up to 240 h,,Karbonn
,Dual-core 1.3 GHz,5 MP,4GB 512MB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a16.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 60 EUR,-,Karbonn A16,No,,,Android 4.2 (Jelly Bean),,,microUSB 2.0,Yes,"3.9 inches, 43.3 cm2",HSPA,microSDHC,HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,,"2014, January. Released 2014, January",TFT,,"Li-Ion 1350 mAh, removable",,,,2.0,FM radio,,,"Accelerometer, proximity",GSM / HSPA,Black,-,Discontinued,Yes,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~239 ppi density)",,,,Karbonn
,Dual-core 1.3 GHz,"5 MP, AF",4GB 512MB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a12-plus.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 60 EUR,-,Karbonn A12+,No,,,Android 4.2 (Jelly Bean),,,microUSB 2.0,Yes,"4.0 inches, 45.5 cm2",HSPA,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,,"2013, October. Released 2013, October",IPS LCD,,Li-Ion 1400 mAh battery,,,,Yes,FM radio,,LED flash,"Accelerometer, proximity",GSM / HSPA,Black/White,-,Discontinued,VGA,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,,Karbonn
,Quad-core 1.3 GHz,"8 MP, AF",4GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s5-plus.jpg,Dual SIM (Mini-SIM),"Wi-Fi 802.11 b/g/n, hotspot",About 120 EUR,138 x 70.5 x 7.9 mm (5.43 x 2.78 x 0.31 in),Karbonn Titanium S5 Plus,No,,,Android 4.2.2 (Jelly Bean),,,microUSB 2.0,Yes,"5.0 inches, 68.9 cm2(~70.8% screen-to-body ratio)",HSPA 21.1/5.76 Mbps,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,,"2013, December. Released 2013, December",IPS LCD,,"Li-Ion 1800 mAh, removable",,,,Yes,FM radio,,LED flash,"Accelerometer, proximity",GSM / HSPA,"Black, White",104.5 g (3.70 oz),Discontinued,Yes,Yes,,,,,Yes,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,,,Karbonn
,Quad-core 1.5 GHz,"13 MP, AF",16GB 1GB RAM,Up to 4 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s7.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 180 EUR,143.5 x 72 x 9.3 mm (5.65 x 2.83 x 0.37 in),Karbonn S7 Titanium,No,,,Android 4.2 (Jelly Bean),,,Proprietary,Yes,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",HSPA,microSDHC (dedicated slot),HSDPA 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2013, November. Released 2013, December",IPS LCD,,Li-Ion 2000 mAh battery,,,,Yes,FM radio,,LED flash,"Accelerometer, gyro, proximity, compass",GSM / HSPA,Black,-,Discontinued,2 MP,Yes,,,,,Yes,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Up to 200 h,,Karbonn
,Quad-core 1.2 GHz Cortex-A7,"13 MP, AF",16GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s9.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",About 170 EUR,-,Karbonn S9 Titanium,No,,,Android 4.2 (Jelly Bean),,,Proprietary,Yes,"5.5 inches, 83.4 cm2",HSPA,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,"2013, July. Released 2013, July",IPS LCD,,Li-Ion 2600 mAh battery,,,,Yes,FM radio,Mediatek MT6589 (28 nm),LED flash,"Accelerometer, proximity",GSM / HSPA,White,176.5 (6.21 oz),Discontinued,5 MP,Yes,,,PowerVR SGX544,,Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,,Karbonn
,Dual-core 1.0 GHz Cortex-A9,"5 MP, AF",512MB 512MB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a10.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 70 EUR,-,Karbonn A10,No,,,Android 4.1 (Jelly Bean),,,Proprietary,Yes,"3.9 inches, 43.3 cm2",HSPA,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,,"2013, July. Released 2013, July",IPS LCD,,Li-Ion 1400 mAh battery,,,,Yes,FM radio,Mediatek MT6577 (40 nm),LED flash,"Accelerometer, proximity",GSM / HSPA,Black,-,Discontinued,VGA,Yes,,,PowerVR SGX531u,,Yes,"480 x 800 pixels, 5:3 ratio (~239 ppi density)",,,,Karbonn
,1.0 GHz,3.15 MP,512MB 256MB RAM,,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a5.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,About 50 EUR,-,Karbonn A5,No,,,Android 2.3 (Gingerbread),,,Proprietary,Yes,"3.2 inches, 30.5 cm2",HSPA,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,,"2013, July. Released 2013, July","TFT, 256K colors",,Li-Ion 1200 mAh battery,,,,Yes,FM radio,,,Accelerometer,GSM / HSPA,Black,-,Discontinued,VGA,Yes,,,,,Yes,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,,,Karbonn
,Dual-core 1.0 GHz,2 MP,4GB 512MB RAM,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a37.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 100 EUR,197 x 124 x 12.3 mm (7.76 x 4.88 x 0.48 in),Karbonn A37,No,,,Android 4.1 (Ice Cream Sandwich),,,Proprietary,Yes,"7.0 inches, 139.5 cm2(~57.1% screen-to-body ratio)",HSPA 7.2/0.384 Mbps,microSDHC (dedicated slot),HSDPA 2100,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,2013. Released 2013,TFT,,Li-Ion 3000 mAh battery,,,,Yes,FM radio,,,Accelerometer,GSM / HSPA,Black/White,335 g (11.82 oz),Discontinued,Yes,Yes,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",,Up to 240 h,,Karbonn
,1.0 GHz Cortex-A9,2 MP,4GB 512MB RAM,Up to 8 h,https://fdn2.gsmarena.com/vv/bigpic/karbonn-a34.jpg,Dual SIM,"Wi-Fi 802.11 b/g/n, hotspot",About 90 EUR,197 x 124 x 12.3 mm (7.76 x 4.88 x 0.48 in),Karbonn A34,No,,,Android 4.0 (Ice Cream Sandwich),,,Proprietary,Yes,"7.0 inches, 139.5 cm2(~57.1% screen-to-body ratio)",,microSDHC (dedicated slot),,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,,2013. Released 2013,TFT,,Li-Ion 3000 mAh battery,,Yes,,Yes,FM radio,Mediatek MT6515,,Accelerometer,GSM,Gray/White,335 g (11.82 oz),Discontinued,Yes,Yes,,Yes,PowerVR SGX531,,Yes,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",,Up to 240 h,,Karbonn
