,Dimensions,Phonebook,Model Image,Type_1,_1,Model Name,Messaging,Card slot,Brand,Speed,EDGE,Stand-by,SAR,Sensors,Video_1,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,4G bands,Features,Java,Features_1,Single_1,Type,Games,Talk time,WLAN,Call records,3G bands,Size,Single,Bluetooth,Radio,USB,Music play,Status,Internal,OS,Colors,GPRS,Weight,Resolution
,115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-x1.jpg,Li-Ion 1100 mAh battery,,Unnecto Drone X,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 150 h (3G),,Accelerometer,,,Mali-400,"2015, January. Released 2015, January",1.2 GHz,GPS,GSM / HSPA,"Yes, with stereo speakers",Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,,,VGA,IPS LCD,,Up to 8 h (2G) / Up to 10 h (3G),"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 850 / 1900 / 2100,"3.5 inches, 36.5 cm2(~52.0% screen-to-body ratio)",3.15 MP,"4.0, A2DP",FM radio,microUSB 2.0,Up to 24 h,Discontinued,512MB 256MB RAM,Android 4.4.2 (KitKat),"Black, White, Blue",,152 g (5.36 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
,153 x 76 x 8.5 mm (6.02 x 2.99 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-air-551.jpg,Li-Ion 2100 mAh battery,,Unnecto Air 5.5,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 120 h (3G),,Accelerometer,,,Mali-450MP4,"2015, January. Released 2015, February",Quad-core 1.3 GHz,GPS,GSM / HSPA,"Yes, with stereo speakers",Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@60fps,No,,,"LED flash, HDR",,,5 MP,IPS LCD,,Up to 8 h (3G),"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 850 / 1900 / 2100,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)","13 MP, AF","4.0, A2DP",FM radio,"microUSB 2.0, OTG",Up to 24 h,Discontinued,8GB 1GB RAM,Android 4.4.2 (KitKat),"Black, White, Gray",,156 g (5.50 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
,143.5 x 71.6 x 7.9 mm (5.65 x 2.82 x 0.31 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-air-51.jpg,Li-Ion 1900 mAh battery,,Unnecto Air 5.0,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 120 h (3G),,Accelerometer,,,Mali-450MP4,"2015, January. Released 2015, February",Quad-core 1.3 GHz,GPS,GSM / HSPA,"Yes, with stereo speakers",Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@60fps,No,,,"LED flash, HDR",,,3 MP,IPS LCD,,Up to 8 h (3G),"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 850 / 1900 / 2100,"5.0 inches, 68.9 cm2(~67.1% screen-to-body ratio)","12 MP, AF","4.0, A2DP",FM radio,"microUSB 2.0, OTG",Up to 24 h,Discontinued,8GB 1GB RAM,Android 4.4.2 (KitKat),"Black, White, Gray",,127.6 (4.52 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,133.9 x 66 x 8.3 mm (5.27 x 2.60 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-air-451.jpg,Li-Ion 1700 mAh battery,,Unnecto Air 4.5,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 120 h (3G),,Accelerometer,,,Mali-450MP4,"2015, January. Released 2015, February",Quad-core 1.3 GHz,GPS,GSM / HSPA,"Yes, with stereo speakers",Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@60fps,No,,,"LED flash, HDR",,,3 MP,IPS LCD,,Up to 8 h (3G),"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,HSDPA 850 / 1900 / 2100,"4.5 inches, 55.8 cm2(~63.1% screen-to-body ratio)","8 MP, AF","4.0, A2DP",FM radio,"microUSB 2.0, OTG",Up to 24 h,Discontinued,8GB 1GB RAM,Android 4.4.2 (KitKat),"Black, White, Gray",,110.6 g (3.92 oz),"480 x 854 pixels, 16:9 ratio (~218 ppi density)"
,148 x 74 x 9 mm (5.83 x 2.91 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-rush.jpg,Li-Ion 2000 mAh battery,,Unnecto Rush,,microSDHC,Unnecto,HSPA 21.1/11.5 Mbps,,Up to 750 h (3G),,"Accelerometer, proximity",,,Mali-400,"2014, September. Released 2014, September",Quad-core 1.3 GHz,GPS,GSM / HSPA,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,,,VGA,TFT,,Up to 15 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900 / 2100,"5.0 inches, 68.9 cm2(~62.9% screen-to-body ratio)",8 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,4GB 512MB RAM,Android 4.4.2 (KitKat),"Black, White, Blue",,180 g (6.35 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,125.5 x 65 x 9.4 mm (4.94 x 2.56 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-z.jpg,Li-Ion 1500 mAh battery,,Unnecto Quattro Z,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 600 h,,,,,Mali-400,"2014, June. Released 2014, June",Dual-core 1.2 GHz,GPS,GSM / HSPA,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,,,VGA,IPS LCD,,Up to 11 h,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1900 / 2100,"4.0 inches, 45.5 cm2(~55.8% screen-to-body ratio)",8 MP,"4.0, A2DP",FM radio,microUSB,,Discontinued,4GB 512MB RAM,Android 4.2.2 (Jelly Bean),"Black, White, Blue",,110 g (3.88 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,116 x 61 x 11.5 mm (4.57 x 2.40 x 0.45 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-z.jpg,Li-Ion 1200 mAh battery,,Unnecto Drone Z,,microSDHC,Unnecto,HSPA 21.1/5.76 Mbps,,Up to 450 h (3G),,,,,,"2014, June. Released 2014, June",Dual-core 1.0 GHz,GPS,GSM / HSPA,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,,,,VGA,TFT,,Up to 9 h (3G),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 1900 / 2100,"3.5 inches, 36.5 cm2(~51.5% screen-to-body ratio)",3.15 MP,"4.0, A2DP",FM radio,microUSB,,Discontinued,512MB 256MB RAM,Android 4.2.2 (Jelly Bean),"Black, White, Grey",,100 g (3.53 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
,123 x 65 x 11.5 mm (4.84 x 2.56 x 0.45 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro.jpg,Li-Ion 1400 mAh battery,,Unnecto Quattro,,"microSDHC (dedicated slot), 8 GB included",Unnecto,HSPA 7.2/5.76 Mbps,,Up to 170 h,,,,,,"2012, March. Released 2012, June",,GPS,GSM / HSPA,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,,,,VGA,TFT,,Up to 3 h,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 2100 - SIM 1,"4.0 inches, 45.5 cm2(~57.0% screen-to-body ratio)",3.15 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,512MB RAM,Android 2.3 (Gingerbread),Black,,140 g (4.94 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
No,114 x 62.5 x 11.5 mm (4.49 x 2.46 x 0.45 in),1000 entries,https://fdn2.gsmarena.com/vv/bigpic/unnecto-blaze.jpg,Li-Ion 1100 mAh battery,MP3/MP4 playerOrganizerVoice memo,Unnecto Blaze,"SMS, MMS, Email, Push Email, IM","microSDHC (dedicated slot), 2 GB included",Unnecto,,Class 32,Up to 180 h,,,,,,"2012, March. Released 2012, April",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,"Yes, MIDP 2.0",,,TFT resistive touchscreen,Yes,Up to 4 h,Wi-Fi 802.11 b/g,Yes,,"3.5 inches, 3.50, 36.5 cm2(~51.2% screen-to-body ratio)",2 MP,"2.1, EDR",FM radio,microUSB,,Discontinued,1GB 512MB RAM,,"Black, White",Class 12,131.5 g (4.62 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
,102.6 x 56.4 x 12.4 mm (4.04 x 2.22 x 0.49 in),,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone.jpg,Li-Ion 800 mAh battery,,Unnecto Drone,,microSDHC (dedicated slot),Unnecto,,Yes,Up to 100 h,,,,,,"2012, February. Released 2012, April",,No,GSM,Yes,Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,LED flash,,,VGA,TFT resistive touchscreen,,Up to 4 h,Wi-Fi 802.11 b/g/n,,,"3.2 inches, 3.20, 29.1 cm2(~50.4% screen-to-body ratio)",2 MP,"2.1, A2DP, EDR",FM radio,microUSB,,Discontinued,4GB 2GB RAM,Android 2.2 (Froyo),"Black/black, black/silver, black/white",Class 12,117 g (4.13 oz),"240 x 400 pixels, 5:3 ratio (~146 ppi density)"
