,CPU,Features,4G bands,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Games,3.5mm jack,SIM,Single,Weight,Chipset,Call records,Status,WLAN,2G bands,Features_1,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Video,Type_1,Sensors,Java
HSDPA 850 / 1900 / 2100 - S700B,Dual-core 1.3 GHz Cortex-A7,"LED flash, panorama, HDR",,1.3 MP,Up to 300 h (3G),Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",5 MP,244 g (8.61 oz),Mediatek MT8312 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 10 h (3G),microSDXC,HSPA 21.1/5.76 Mbps,No,"2014, August. Released 2014, September",,GSM / HSPA,,Posh,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/posh-s700.jpg,"7.0 inches, 137.9 cm2(~69.0% screen-to-body ratio)",Posh Equal S700,,"Black, White",TFT,,,193.9 x 103 x 8.9 mm (7.63 x 4.06 x 0.35 in),4GB 512MB RAM,microUSB 2.0,,"GPS, GLONASS",FM radio,HSDPA 850 / 1700 / 1900 - S700A,,1080p@30fps,"Li-Ion 2600 mAh, non-removable","Accelerometer, compass",
,Quad-core 1.3 GHz Cortex-A7,HDR,,1.3 MP,Up to 250 h (3G),Android 4.4 (KitKat),"Yes, with stereo speakers","4.0, A2DP, EDR",,Yes,No,5 MP,231 g (8.15 oz),Mediatek MT8127 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",N/A,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,microSDHC (dedicated slot),,No,"2014, September. Released 2014, December",,No cellular connectivity,,Posh,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/posh-w700.jpg,"7.0 inches, 137.9 cm2(~65.9% screen-to-body ratio)",Posh Equal Lite W700,,White,TFT,,No,192 x 109 x 9.8 mm (7.56 x 4.29 x 0.39 in),8GB 512MB RAM,microUSB 2.0,No,GPS,FM radio,,,1080p@30fps,"Li-Po 2100 mAh, non-removable",Accelerometer,
HSDPA 850 / 2100 - S580B,Dual-core 1.0 GHz Cortex-A7,"LED flash, panorama, HDR",,1.3 MP,Up to 800 h (2G) / Up to 750 h (3G),Android 4.4 (KitKat),"Yes, with stereo speakers","2.1, EDR",,Yes,"Dual SIM (Mini-SIM, dual stand-by)",8 MP,175 g (6.17 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~159 ppi density)",Up to 24 h (2G) / Up to 14 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, June. Released 2014, August",,GSM / HSPA,,Posh,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/posh-s580.jpg,"5.88 inches, 98.4 cm2(~65.7% screen-to-body ratio)",Posh Memo S580,,"Black, White",TFT,,,165.5 x 90.5 x 9.7 mm (6.52 x 3.56 x 0.38 in),4GB 512MB RAM,microUSB 2.0,,"GPS, GLONASS","Stereo FM radio, RDS",HSDPA 850 / 1900 - S580A,,720p@30fps,Li-Ion 2500 mAh battery,"Accelerometer, proximity",
HSDPA 850 / 2100 - X550B,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama, HDR",,1.3 MP,Up to 650 h (2G) / Up to 600 h (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers","3.0, EDR",,Yes,"Dual SIM (Mini-SIM, dual stand-by)","8 MP, AF",194 g (6.84 oz),Mediatek MT6582M (28 nm),,Discontinued,Wi-Fi 802.11 b/g/n,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"540 x 960 pixels, 16:9 ratio (~200 ppi density)",Up to 23 h (2G) / Up to 13 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, July. Released 2014, September",,GSM / HSPA,,Posh,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/posh-x550.jpg,"5.5 inches, 83.4 cm2(~68.9% screen-to-body ratio)",Posh Orion Max X550,,"Black, White, Blue",IPS LCD,,,156.3 x 77.4 x 9.6 mm (6.15 x 3.05 x 0.38 in),4GB 1GB RAM,microUSB 2.0,,"GPS, GLONASS","Stereo FM radio, RDS",HSDPA 850 / 1900 - X550A,,720p,Li-Ion 2500 mAh battery,"Accelerometer, proximity",
HSDPA 850 / 2100 - X500B,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama, HDR",,"1.3 MP, AF",Up to 550 h (2G) / Up to 500 h (3G),Android 4.4 (KitKat),"Yes, with stereo speakers","4.0, A2DP, EDR",,Yes,"Dual SIM (Mini-SIM, dual stand-by)",8 MP,168 g (5.93 oz),Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 20 h (2G) / Up to 10 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, January. Released 2014, April",,GSM / HSPA,,Posh,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/posh-x500.jpg,"5.0 inches, 68.9 cm2(~65.2% screen-to-body ratio)",Posh Orion Pro X500,,"Black, White, Blue, Pink",IPS LCD,,,144 x 73.4 x 9.7 mm (5.67 x 2.89 x 0.38 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 - X500A,,720p@30fps,Li-Ion 1800 mAh battery,"Accelerometer, proximity",
HSDPA 850 / 1900 / 2100 - X510B,Quad-core 1.3 GHz Cortex-A7,"LED flash, HDR, panorama",,1.3 MP,Up to 800 h (2G) / Up to 680 h (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers","4.0, A2DP, EDR, LE, aptX",,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","8 MP, AF",155 g (5.47 oz),Mediatek MT6582M (28 nm),,Discontinued,Wi-Fi 802.11 b/g/n,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 24 h (2G) / Up to 14 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, September. Released 2015, January",,GSM / HSPA,,Posh,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/posh-x510.jpg,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)",Posh Revel Pro X510,,"Black, White, Blue, Pink, Yellow, Silver",TFT,,,142.5 x 73 x 9.4 mm (5.61 x 2.87 x 0.37 in),4GB 512MB RAM,"microUSB 2.0, OTG",,"GPS, GLONASS","Stereo FM radio, RDS",HSDPA 850 / 1700 / 1900 - X510A,,720p@30fps,Li-Po 2100 mAh battery,"Accelerometer, proximity",
HSDPA 850 / 2100 - S500B,Quad-core 1.0 GHz Cortex-A7,"LED flash, HDR, panorama",,1.3 MP,Up to 600 h (2G) / Up to 550 h (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers","2.1, EDR",,Yes,"Dual SIM (Mini-SIM, dual stand-by)",8 MP,160 g (5.64 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 22 h (2G) / Up to 12 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, June. Released 2014, August",,GSM / HSPA,,Posh,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/posh-s500.jpg,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",Posh Revel S500,,"Black, White, Blue, Green",TFT,,,147 x 73 x 9.6 mm (5.79 x 2.87 x 0.38 in),4GB 512MB RAM,microUSB 2.0,,"GPS, GLONASS","Stereo FM radio, RDS",HSDPA 850 / 1900 - S500A,,720p@30fps,Li-Ion 1800 mAh battery,"Accelerometer, proximity",
,Dual-core 1.0 GHz Cortex-A7,"LED flash, HDR, panorama",,VGA,Up to 600 h (2G) / Up to 550 h (3G),Android 4.2.2 (Jelly Bean),"Yes, with stereo speakers","2.1, EDR",,Yes,"Dual SIM (Mini-SIM, dual stand-by)","5 MP, AF",150 g (5.29 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",Up to 22 h (2G) / Up to 12 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, January. Released 2014, April",,GSM / HSPA,,Posh,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/posh-s450.jpg,"4.5 inches, 55.8 cm2",Posh Orion S450,,"Black, White",IPS LCD,,,-,4GB 512MB RAM,microUSB 2.0,,"GPS, GLONASS","Stereo FM radio, RDS",HSDPA 850 / 1900,,720p@30fps,Li-Ion 2000 mAh battery,"Accelerometer, proximity",
HSDPA 850 / 2100 - S400B,Dual-core 1.0 GHz Cortex-A7,"HDR, panorama",,1.3 MP,Up to 450 h (2G) / Up to 350 h (3G),Android 4.2.2 (Jelly Bean),"Yes, with stereo speakers","2.1, A2DP, EDR",,Yes,"Dual SIM (Mini-SIM, dual stand-by)",5 MP,119 g (4.20 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 18 h (2G) / Up to 12 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, May. Released 2014, July",,GSM / HSPA,,Posh,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/posh-s400.jpg,"4.0 inches, 45.5 cm2(~56.6% screen-to-body ratio)",Posh Pegasus 4G S400,,"Black, White, Blue, Green",TFT,,,126.8 x 63.5 x 9.9 mm (4.99 x 2.5 x 0.39 in),4GB 512MB RAM,microUSB 2.0,,No,FM radio,HSDPA 850 / 1900 - S400A,,720p@30fps,Li-Po 1450 mAh battery,Accelerometer,
HSDPA 850 / 2100 - S350B,Dual-core 1.0 GHz Cortex-A7,"HDR, panorama",,1.3 MP,Up to 450 h (2G) / Up to 380 h (3G),Android 4.4.2 (KitKat),"Yes, with stereo speakers","2.1, A2DP, EDR",,Yes,"Dual SIM (Mini-SIM, dual stand-by)",5 MP,107 g (3.77 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 18 h (2G) / Up to 10 h (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, July. Released 2014, September",,GSM / HSPA,,Posh,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/posh-s350.jpg,"3.5 inches, 36.5 cm2(~49.7% screen-to-body ratio)",Posh Orion Mini S350,,"Black, White, Blue, Green",TFT,,,118 x 62.2 x 10.5 mm (4.65 x 2.45 x 0.41 in),512MB 256MB RAM,microUSB 2.0,,No,FM radio,HSDPA 850 / 1900 - S350A,,720p@30fps,Li-Po 1200 mAh battery,Accelerometer,
