,Dimensions,Phonebook,Model Image,Type_1,_1,Model Name,Messaging,Card slot,Brand,EDGE,Speed,Stand-by,SAR,Sensors,Video_1,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,Features,Java,Price,Single_1,Type,Games,Chipset,Talk time,WLAN,Call records,Size,Single,3G bands,Bluetooth,Radio,USB,Protection,Status,Internal,OS,Colors,Alert types,Browser,GPRS,Weight,Infrared port,Resolution
,115 x 62 x 13 mm (4.53 x 2.44 x 0.51 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-g710.jpg,Removable Li-Ion 1050 mAh battery,No,Toshiba G710,,microSD (dedicated slot),Toshiba,Class 10,,Up to 200 h,,,,Pocket OfficeMP3/ACC+ playerPhoto editorVoice memoOrganizer,,"2008, January. Released 2008, September",260 MHz,GPS,GSM,No,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,No,Yes,,QWERTY,,,About 220 EUR,,"TFT, 65K colors",,TI OMAP V1030,Up to 3 h,No,,"2.46 inches, 18.7 cm2(~26.3% screen-to-body ratio)",2 MP,,"1.2, A2DP",No,Proprietary,,Discontinued,"64MB RAM, 128MB ROM",Microsoft Windows Mobile 6 Standard,Black,"Vibration; Downloadable polyphonic, MP3 ringtones","WAP 2.0/xHTML, HTML (IE)",Class 10,130 g (4.59 oz),,"320 x 240 pixels, 4:3 ratio (~163 ppi density)"
2.5 mm audio jack,119 x 61 x 21.5 mm (4.69 x 2.40 x 0.85 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-g900.gif,Removable Li-Ion 1320 mAh battery,Pocket OfficeMP3/ACC+ playerPhoto editorVoice memoOrganizer,Toshiba G900,,miniSD,Toshiba,,HSPA 3.6/0.384 Mbps,Up to 320 h,0.50 W/kg (head)     1.13 W/kg (body),Fingerprint (front-mounted),,,,"2007, February",Marvell PXA270 520 MHz,No,GSM / HSPA,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,320p,,QWERTY,LED flash,,About 410 EUR,VGA videocall camera,"TFT resistive touchscreen, 65K colors",,,Up to 4 h 20 min,"Wi-Fi 802.11b/g, VoIP over WLAN",,"3.0 inches, 25.6 cm2(~35.3% screen-to-body ratio)",2 MP,HSDPA 850 / 1900 / 2100,"2.0, A2DP",No,"miniUSB 1.1, OTG",,Discontinued,40MB 128MB RAM,Microsoft Windows Mobile 6 Professional,Silver,"Vibration; Downloadable polyphonic, MP3 ringtones","WAP 2.0/xHTML, HTML (Opera 8.6)",,198 g (6.98 oz),,"480 x 800 pixels, 5:3 ratio (~311 ppi density)"
2.5 mm audio jack,96 x 49 x 22.9 mm (3.78 x 1.93 x 0.90 in),,https://fdn2.gsmarena.com/vv/bigpic/toshiba-g500.gif,Removable Li-Ion 1200 mAh battery,Pocket OfficeMP3/WMA/ACC+ playerMP4/WMV/H.264/H.263 playerPhoto editorVoice memoOrganizer,Toshiba G500,,miniSD,Toshiba,,HSPA 3.6/0.384 Mbps,Up to 240 h (2G) / Up to 240 h (3G),0.22 W/kg (head)     1.44 W/kg (body),Fingerprint (rear-mounted),,,,"2007, February",32-bit Intel XScale PXA270 312 MHz,No,GSM / HSPA,Yes,Mini-SIM,,GSM 900 / 1800 / 1900,No,Yes,,,,,About 260 EUR,VGA videocall camera,"TFT, 65K colors",,,Up to 4 h (2G) / Up to 3 h (3G),"Wi-Fi 802.11b/g, VoIP over WLAN",,"2.3 inches, 16.4 cm2(~34.8% screen-to-body ratio)",2 MP,HSDPA 2100,"2.0, A2DP",No,miniUSB 1.1,,Discontinued,64MB,Microsoft Windows Mobile 5.0,Silver,"Vibration, MP3 ringtones","WAP 2.0/xHTML, HTML (Opera 8.6)",,135 g (4.76 oz),,"240 x 320 pixels, 4:3 ratio (~174 ppi density)"
No,113 x 47 x 10.3 mm (4.45 x 1.85 x 0.41 in),Yes,https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts605.gif,Removable Li-Ion battery,MP3/ACC+ playerPredictive text inputPhoto editorVoice memoOrganizer,Toshiba TS605,"SMS, EMS, MMS, Email",microSD (dedicated slot),Toshiba,No,,Up to 150 h,,,,,,"2006, December",,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,CIF,,,,"Yes, MIDP 2.0",,,"TFT, 256K colors",3 embedded,,Up to 2 h 30 min,No,"20 dialed, 20 received, 20 missed calls","1.93 inches, 11.7 cm2(~22.1% screen-to-body ratio)",1.3 MP,,1.2,FM radio,1.1,,Discontinued,5.5MB,,"Pink, Green, Champagne, Copper, Silver, Aubergine","Vibration; Downloadable polyphonic, MP3 ringtones, composer","WAP 2.0/xHTML, WSP",Class 10,79 g (2.79 oz),,176 x 220 pixels (~146 ppi density)
"Second external mono OLED display, 96 x 39 pixels",97 x 49 x 20 mm (3.82 x 1.93 x 0.79 in),Yes,https://fdn2.gsmarena.com/vv/bigpic/toshiba-tx80.gif,Removable Li-Ion battery,MP3/AAC/AAC+ playerPredictive text inputPhoto editorOrganizerVoice memo,Toshiba TX80,"SMS, MMS",microSD (dedicated slot),Toshiba,,"Yes, 384 kbps",Up to 330 h,,,,,,"2006, December",,No,GSM / UMTS,Yes,Mini-SIM,,GSM 900 / 1800 / 1900,No,Yes,,,LED flash,"Yes, MIDP 2.0",,VGA videocall camera,"TFT, 256K colors",Yes+ downloadable,,Up to 5 h 20 min,No,"20 dialed, 20 received, 20 missed calls","2.4 inches, 17.8 cm2(~37.5% screen-to-body ratio)",3.15 MP,UMTS 2100,No,No,1.1,,Discontinued,40MB,,"Cosmo Pink, Sugar White, Honeycomb Black","Vibration; Downloadable polyphonic, MP3 ringtones",WAP 2.0/xHTML,,111 g (3.92 oz),Yes,"240 x 320 pixels, 4:3 ratio (~167 ppi density)"
No,113 x 47 x 10.3 mm (4.45 x 1.85 x 0.41 in),Yes,https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts32.gif,Removable Li-Ion battery,MP3/ACC/ACC+ playerPredictive text inputPhoto editorVoice memoOrganizer,Toshiba TS32,"SMS, MMS, Email",microSD (dedicated slot),Toshiba,No,,Up to 150 h,,,,,,"2006, December",,No,GSM,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,CIF,,,,"Yes, MIDP 2.0",,,"TFT, 256K colors",Yes+ downloadable,,Up to 2 h 30 min,No,"20 dialed, 20 received, 20 missed calls","1.93 inches, 11.7 cm2(~22.1% screen-to-body ratio)",1.3 MP,,1.2,FM radio,1.1,,Discontinued,5.5MB,,"Lunar Graphite, Desert Gold, Midnight Purple","Vibration; Downloadable polyphonic, MP3 ringtones",WAP 2.0/xHTML,Class 10,79 g (2.79 oz),,176 x 220 pixels (~146 ppi density)
No,105 x 46 x 15 mm (4.13 x 1.81 x 0.59 in),Yes,https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts705.gif,Removable Li-Ion battery,MP3/ACC/ACC+ playerPredictive text inputPhoto editorVoice memoOrganizer,Toshiba TS705,"SMS, EMS, MMS, Email",microSD (dedicated slot),Toshiba,,"Yes, 384 kbps",Up to 250 h,,,,,,"2006, September",,No,GSM / UMTS,"Yes, with stereo speakers",Mini-SIM,,GSM 900 / 1800 / 1900,No,Yes,,,rotating,"Yes, MIDP 2.0",,,"TFT, 256K colors",Yes+ downloadable,,Up to 3 h,No,"20 dialed, 20 received, 20 missed calls","1.8 inches, 10.2 cm2(~21.1% screen-to-body ratio)",1.3 MP,UMTS 2100,Yes,No,1.1,,Cancelled,10MB,,"Silver, Black","Vibration; Downloadable polyphonic, MP3 ringtones, composer",WAP 2.0/xHTML,,95 g (3.35 oz),,176 x 220 pixels (~157 ppi density)
No,110 x 46.9 x 9.9 mm (4.33 x 1.85 x 0.39 in),Yes,https://fdn2.gsmarena.com/vv/bigpic/toshiba-ts608.gif,Removable Li-Ion battery,MP3 playerPredictive text inputPhoto editorVoice memoOrganizer,Toshiba TS608,"SMS, EMS, MMS, Email",microSD (dedicated slot),Toshiba,No,,Up to 150 h,,,,,,"2006, June",,No,GSM,No,Mini-SIM,,GSM 900 / 1800,No,Yes,,,,"Yes, MIDP 2.0",,,"TFT, 256K colors",Yes+ downloadable,,Up to 2 h 30 min,No,"20 dialed, 20 received, 20 missed calls","1.93 inches, 11.7 cm2(~22.7% screen-to-body ratio)",1.3 MP,,1.2,FM radio,Proprietary,,Discontinued,8MB,,Silver,"Vibration; Downloadable polyphonic, MP3 ringtones, composer","WAP 2.0/xHTML, WSP",Class 10,81 g (2.89 oz),,176 x 220 pixels (~146 ppi density)
Second external 1.3-inch mono STN display,98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in),Yes,https://fdn2.gsmarena.com/vv/bigpic/toshiba-tx62.gif,Removable Li-Ion battery,No,Toshiba TX62,"SMS, MMS, Email",miniSD,Toshiba,,"Yes, 384 kbps",Up to 370 h,,,,External music control keypad,,"2006, June",,No,GSM / UMTS,"Yes, with stereo speakers",Mini-SIM,MP3/AAC/AAC+ playerTV-outPredictive text inputPhoto editorOrganizer,GSM 900 / 1800 / 1900,No,Yes,,,,"Yes, MIDP 2.0",,,"TFT, 256K colors",Yes+ downloadable,,Up to 3 h 10 min,No,"20 dialed, 20 received, 20 missed calls","2.0 inches, 12.4 cm2(~26.9% screen-to-body ratio)",1.3 MP,UMTS 2100,Yes,No,Proprietary,,Discontinued,40MB,,"Black, Green, Pink","Vibration; Downloadable polyphonic, MP3 ringtones",WAP 2.0/xHTML,,121 g (4.27 oz),,"240 x 320 pixels, 4:3 ratio (~200 ppi density)"
Second external 1.16-inch STN display (33 x 160 pixels)Rotate 180 deg display,112 x 50 x 26 mm (4.41 x 1.97 x 1.02 in),Yes,https://fdn2.gsmarena.com/vv/bigpic/toshiba-904T.gif,Removable Li-Ion 720 mAh battery,MP3 playerPC SyncPredictive text inputElectronic dictionaryOrganizerPhoto editor,Toshiba 904T,"SMS, MMS",miniSD,Toshiba,,"Yes, 384 kbps",Up to 270 h,,,,,,"2006, March",,GPS,GSM / UMTS,No,Mini-SIM,,GSM 900 / 1800 / 1900,No,Yes,,,LED flash,No,,VGA videocall camera,"TFT, 260K colors",Yes,,Up to 4.5 h,No,"20 dialed, 20 received, 20 missed calls","2.4 inches, 17.8 cm2(~31.9% screen-to-body ratio)",3.15 MP,UMTS 2100,Yes,No,Proprietary,,Discontinued,,,"Forest Green, Urban Silver, Canyon Red","Vibration; Downloadable polyphonic, MP3, MIDI ringtones",WAP,,146 g (5.15 oz),Yes,"240 x 320 pixels, 4:3 ratio (~167 ppi density)"
