EDGE,,Weight,_4,SIM,4G bands,Audio quality,Browser,Loudspeaker_1,Model Name,Status,Dimensions,Card slot,USB,NFC,Models,Video,Video_1,Speed,Display,Sensors,Colors,GPU,Type,Chipset,WLAN,Talk time,Features_1,_2,Keyboard,Camera,_1,Stand-by,Features,Price,Single,Loudspeaker,Resolution,OS,3G bands,Technology,Charging,SAR EU,Performance,3.5mm jack,Music play,Talk time_1,Announced,Brand,Radio,_3,Positioning,Bluetooth,CPU,SAR,Internal,Model Image,GPRS,2G bands,Announced_1,Type_1,Single_1,Battery (old),Size,Protection
No,,355 g (12.52 oz),,No,,,,,Acer Iconia One 8 B1-820,Discontinued,213.9 x 127.7 x 9.5 mm (8.42 x 5.03 x 0.37 in),microSDHC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,,,Accelerometer,"Black, White",,IPS LCD,Intel Atom Z3735G,Wi-Fi 802.11 b/g/n,Up to 8 h 30 min (multimedia),,,,,,,,About 180 EUR,5 MP,"Yes, with stereo speakers","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Android 5.0 (Lollipop),,No cellular connectivity,,,,Yes,,,"2015, April. Released 2015, May",Acer,No,,"GPS, GLONASS","4.0, A2DP",Quad-core 1.33 GHz,,"16GB 1GB RAM, 32GB 1GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-one-8-b1-820.jpg,No,N/A,,"Li-Ion 4550 mAh, non-removable (17.2 Wh)",VGA,,"8.0 inches, 185.6 cm2(~67.9% screen-to-body ratio)",
No,,508 g (1.12 lb),,No,,,,,Acer Iconia Tab A3-A20,Discontinued,256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in),microSDXC (dedicated slot),microUSB 2.0,No,,720p,,,,Accelerometer,"Black, White",Mali-450MP4,LED-backlit IPS LCD,Mediatek MT8127 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 9 h (multimedia),,,,,,,,About 190 EUR,"5 MP, AF","Yes, with stereo speakers","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Android 4.4 (KitKat),,No cellular connectivity,,,,Yes,,Up to 9 h (multimedia),"2014, October. Released 2014, October",Acer,No,,A-GPS only,"4.0, A2DP",Quad-core 1.3 GHz Cortex-A7,,16GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,No,N/A,,"Li-Po 5910 mAh, non-removable (A3-A20-K1AY)",2 MP,,"10.1 inches, 295.8 cm2(~67.8% screen-to-body ratio)","Corning Gorilla Glass 4, oleophobic coating"
No,,508 g (1.12 lb),,No,,,,,Acer Iconia Tab A3-A20FHD,Discontinued,256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in),microSDXC (dedicated slot),microUSB 2.0,No,,720p,,,,Accelerometer,"Black, White",Mali-450MP4,LED-backlit IPS LCD,Mediatek MT8127 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 8 h (multimedia),,,,,,,,About 230 EUR,"5 MP, AF","Yes, with stereo speakers","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.4 (KitKat),,No cellular connectivity,,,,Yes,,Up to 8 h (multimedia),"2014, October. Released 2014, October",Acer,No,,A-GPS only,"4.0, A2DP",Quad-core 1.5 GHz Cortex-A7,,32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,No,N/A,,"Li-Po 5910 mAh, non-removable (A3-A20FHD-K8KX)",2 MP,,"10.1 inches, 295.8 cm2(~67.8% screen-to-body ratio)","Corning Gorilla Glass 4, oleophobic coating"
,HSDPA 850 / 900 / 1900 / 2100,110 g (3.88 oz),,Nano-SIM + Nano-SIM,"1, 3, 7, 20",,,,Acer Liquid Jade Z,Discontinued,143.5 x 69.8 x 8 mm (5.65 x 2.75 x 0.31 in),microSDHC (uses shared SIM slot),microUSB 2.0,No,,1080p@30fps,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Accelerometer, gyro, proximity, compass","Black, White",Mali-T760MP2,IPS LCD,Mediatek MT6732 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 7 h (2G) / Up to 4 h (3G),,,,,,Up to 410 h (2G) / Up to 400 h (3G),"LED flash, HDR, panorama",About 200 EUR,"13 MP, f/1.8, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.0 (Lollipop),HSDPA 900 / 2100,GSM / HSPA / LTE,,,,Yes,,,"2015, March. Released 2015, April",Acer,FM radio,,GPS,"4.0, A2DP, EDR",Quad-core 1.5 GHz Cortex-A53,,"8GB 1GB RAM (Jade Z), 16GB 2GB RAM (Jade Z+)",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-z.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Li-Po 2300 mAh, non-removable",5 MP,,"5.0 inches, 68.9 cm2(~68.8% screen-to-body ratio)",Corning Gorilla Glass 3
,HSDPA 850 / 900 / 1900 / 2100,118 g (4.16 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,Acer Liquid Z520,Discontinued,154 x 86 x 6.4 mm (6.06 x 3.39 x 0.25 in),microSDHC (dedicated slot),microUSB 2.0,No,Z520,"1080p@30fps, 720p@60fps",,HSPA,,"Accelerometer, proximity","Black, White",Mali-400MP2,TFT,Mediatek MT6582M (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,"LED flash, HDR, panorama",About 130 EUR,"8 MP, AF",Yes,"480 x 854 pixels, 16:9 ratio (~187 ppi density)",Android 4.4.2 (KitKat),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2015, March. Released 2015, April",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.3 GHz Cortex-A7,,"8GB 1GB RAM, 16GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z520.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Po 2000 mAh, removable",2 MP,,"5.0 inches, 75.7 cm2(~57.1% screen-to-body ratio)",
,HSDPA 850 / 1900,120 g (4.23 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",,,,,Acer Liquid Z220,Discontinued,125.3 x 64 x 9.6 mm (4.93 x 2.52 x 0.38 in),microSDHC (dedicated slot),microUSB 2.0,No,Z220,720p@30fps,,HSPA,,Accelerometer,"Black, White",Adreno 302,IPS LCD,Qualcomm Snapdragon 200 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,eMMC 4.5,,,HSDPA 850 / 1700(AWS),,LED flash,About 90 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 5.0 (Lollipop),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2015, March. Released 2015, April",Acer,FM radio,,GPS,"4.0, A2DP",Dual-core 1.2 GHz Cortex-A7,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z220.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 1300 mAh, removable",2 MP,,"4.0 inches, 45.5 cm2(~56.8% screen-to-body ratio)",
,HSDPA 850 / 1900,119 g (4.20 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",,,,,acer liquid m220-7071 ,Discontinued,124.9 x 64 x 9.6 mm (4.92 x 2.52 x 0.38 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA 21.1/5.76 Mbps,,"Accelerometer, proximity","Mystic Black, Pure White",Adreno 302,TFT,Qualcomm MSM8210 Snapdragon 200 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 4 h,,eMMC 4.5,,,HSDPA 850 / 1700(AWS),Up to 200 h,"LED flash, panorama",About 80 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Microsoft Windows Phone 8.1,HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2015, March. Released 2015, May",Acer,FM radio,,GPS,"4.0, A2DP",Dual-core 1.2 GHz Cortex-A7,,"4GB 512MB RAM (M220), 8GB 1GB RAM (M220+)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"2015, March. Released 2015, May","Li-Ion 1300 mAh, removable",2 MP,,"4.0 inches, 45.5 cm2(~57.0% screen-to-body ratio)",
,HSDPA 850 / 900 / 1900 / 2100,145 g (5.11 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",,,,acer liquid z410-6912 ,Discontinued,136 x 66.7 x 9.9 mm (5.35 x 2.63 x 0.39 in),microSDHC (dedicated slot),microUSB 2.0,No,,"Yes, dual shot",,"HSPA, LTE Cat4 150/50 Mbps",,"Accelerometer, proximity",Black,Mali-T760MP2,IPS LCD,Mediatek MT6732M (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,"2, 4, 7, 17",,LED flash,About 130 EUR,"5 MP, AF","Yes, dual speakers","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.4.4 (KitKat),HSDPA 900 / 2100,GSM / HSPA / LTE,,,,Yes,,,"2015, January. Released 2015, February",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.3 GHz Cortex-A53,,"8GB 1GB RAM, 16GB 2GB RAM",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"2015, January. Released 2015, February","Li-Po 2000 mAh, removable",2 MP,,"4.5 inches, 55.8 cm2(~61.5% screen-to-body ratio)",
,HSDPA 850 / 900 / 1900 / 2100 - EU,116 g (4.09 oz),,Nano-SIM + Nano-SIM,"3, 8, 28 - Taiwan",,,Voice 60dB / Noise 56dB / Ring 60dB,Acer Liquid Jade S,Discontinued,143 x 69 x 7.8 mm (5.63 x 2.72 x 0.31 in),microSDHC (uses shared SIM slot),microUSB 2.0,No,S56,1080p@30fps,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Accelerometer, proximity, compass","Black, White, Red, Pink",Mali-T760MP2,IPS LCD,Mediatek MT6752M,"Wi-Fi 802.11 b/g/n, hotspot",Up to 6 h (3G),,,,Photo/Video,LTE 800 / 1800 / 2100 / 2600 - EU,Up to 250 h (3G),"LED flash, HDR, panorama",About 200 EUR,"13 MP, f/1.8, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 4.4.4 (KitKat), upgradable to 5.1 (Lollipop)",HSDPA 900 / 2100,GSM / HSPA / LTE,,,Basemark OS II 2.0: 725Basemark X: 3934,Yes,,,"2014, December. Released 2014, December",Acer,FM radio,,GPS,"4.0, A2DP, EDR",Octa-core 1.5 GHz Cortex-A53,,16GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-s-s56.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Li-Ion 2300 mAh, non-removable","5 MP, f/2.2",Endurance rating 43h,"5.0 inches, 68.9 cm2(~69.8% screen-to-body ratio)",Corning Gorilla Glass 3
,HSDPA 850 / 900 / 1900 / 2100,150 g (5.29 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,Acer Liquid Z500,Discontinued,145 x 73 x 8.8 mm (5.71 x 2.87 x 0.35 in),microSDHC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,HSPA,,"Accelerometer, proximity","Aquamarine Green, Sandy Silver, Titanium Black",Mali-400MP2,IPS LCD,Mediatek MT6582 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,"LED flash, HDR",About 150 EUR,"8 MP, AF","Yes, with stereo speakers","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),HSDPA 900 / 2100,GSM / HSPA,,0.62 W/kg (head),,Yes,,,"2014, September. Released 2014, Septeber",Acer,FM radio,,GPS,"4.0, A2DP, EDR",Quad-core 1.3 GHz Cortex-A7,,"4GB 1GB RAM, 16GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2000 mAh, non-removable",2 MP,,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",Corning Gorilla Glass 3
,,110 g (3.88 oz),,"Hybrid Dual SIM (Micro-SIM, dual stand-by)",,,,,Acer Liquid Jade,Discontinued,140.5 x 69 x 7.5 mm (5.53 x 2.72 x 0.30 in),microSDHC (uses shared SIM slot),microUSB 2.0,No,,1080p@30fps,,HSPA,,"Accelerometer, proximity, compass","Black, White, Green, Pink, Gray",Mali-400MP2,IPS LCD,Mediatek MT6582 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 5 h (3G),,,,,,Up to 330 h (3G),LED flash,About 180 EUR,"13 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2014, June. Released 2014, July",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.3 GHz Cortex-A7,,"8GB 1GB RAM, 16GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Li-Ion 2100 mAh, non-removable",2 MP,,"5.0 inches, 68.9 cm2(~71.1% screen-to-body ratio)",Corning Gorilla Glass 3
,,155 g (5.47 oz),,Triple SIM (Micro-SIM),,,,,Acer Liquid E700,Discontinued,147.3 x 73 x 9.9 mm (5.80 x 2.87 x 0.39 in),microSDHC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,HSPA,,"Accelerometer, proximity","Titan Black, Burgundy Red",Mali-400MP2,IPS LCD,Mediatek MT6582 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 24 h,LED flash,,,,,Up to 1440 h,LED flash,About 200 EUR,"8 MP, AF","Yes, with stereo speakers","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA,,,,Yes,Up to 100 h,,"2014, June. Released 2014, August",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.2 GHz Cortex-A7,,"4GB 1GB RAM, 16GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e700.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,,"Li-Ion 3500 mAh, non-removable",2 MP,,"5.0 inches, 68.9 cm2(~64.1% screen-to-body ratio)",
,HSDPA 850 / 900 / 1900 / 2100,155 g (5.47 oz),,Micro-SIM,"1, 3, 7, 20",,,,Acer Liquid E600,Discontinued,147 x 72 x 9.5 mm (5.79 x 2.83 x 0.37 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Accelerometer, proximity","Black, Green, Dark red",Adreno 305,IPS LCD,Qualcomm MSM8926 Snapdragon 400 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 6 h (3G),,eMMC 4.5,,,LTE: 800 / 1700(AWS) 1800 / 1900 / 2100 / 2600 MHz,,"LED flash, HDR",About 200 EUR,"8 MP, AF","Yes, with stereo speakers","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),HSDPA 900 / 2100,GSM / HSPA / LTE,,,,Yes,,,"2014, June. Released 2014, September",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.2 GHz Cortex-A7,,"4GB 1GB RAM, 16GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e600-1.jpg,,GSM 850 / 900 / 1800 / 1900,,"Li-Ion 2500 mAh, non-removable",2 MP or VGA,,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",
,HSDPA 850 / 900 / 1900 / 2100,130 g (4.59 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",,,,,Acer Liquid Z200,Discontinued,126 x 65 x 10.3 mm (4.96 x 2.56 x 0.41 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA,,Accelerometer,"Titanium Black, Essential White, Fragrant Pink, Sky Blue, Sunshine Yellow",Mali-400,TFT,Mediatek MT6572M (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,No,,Panorama,About 90 EUR,2 MP,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2014, June. Released 2014, September",Acer,FM radio,,GPS,"4.0, A2DP",Dual-core 1.0 GHz Cortex-A7,,4GB 512MB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z200.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 1300 mAh, removable",,,"4.0 inches, 45.5 cm2(~55.6% screen-to-body ratio)",
No,HDMI port,360 g (12.70 oz),,No,,,,,Acer Iconia Tab 8 A1-840FHD,Discontinued,215 x 130 x 8.5 mm (8.46 x 5.12 x 0.33 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,,,Accelerometer,Silver,Intel Gen 7 (Ivy Bridge),IPS LCD,Intel Atom Z3745,"Wi-Fi 802.11 a/b/g/n, dual-band",Up to 7 h 30 min (multimedia),,,,,,,,About 200 EUR,5 MP,Yes,"1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",Android 4.4.2 (KitKat),,No cellular connectivity,,,,Yes,,,"2014, June. Released 2014, September",Acer,No,,"GPS, GLONASS","4.0, A2DP",Quad-core 1.86 GHz,,"16GB 2GB RAM, 32GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-8-2014-1.jpg,No,N/A,,"Li-Ion 4600 mAh, non-removable",2 MP,,"8.0 inches, 185.6 cm2(~66.4% screen-to-body ratio)",
Yes,,298 g (10.51 oz),,Mini-SIM,,,,,Acer Iconia Tab 7 A1-713,Discontinued,8.9 mm thickness,microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA,,Accelerometer,Black,,TFT,,Wi-Fi 802.11 b/g/n,Up to 6 h (multimedia),,,,,,,,About 110 EUR,2 MP,Yes,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",HSDPA,GSM / HSPA,,,,Yes,,,"2014, April. Released 2014, August",Acer,No,,GPS,"4.0, A2DP",Quad-core,,16GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,Yes,GSM 850 / 900 / 1800 / 1900 N/A,,"Li-Ion 3400 mAh, non-removable",Yes,,"7.0 inches, 137.9 cm2",
Yes,,298 g (10.51 oz),,Mini-SIM,,,,,Acer Iconia Tab 7 A1-713HD,Discontinued,8.9 mm thickness,microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA,,Accelerometer,Black,,IPS LCD,,Wi-Fi 802.11 b/g/n,Up to 6 h (multimedia),,,,,,,,About 150 EUR,5 MP,Yes,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.4.2 (KitKat),HSDPA,GSM / HSPA,,,,Yes,,,"2014, April. Released 2014, August",Acer,No,,GPS,"4.0, A2DP",Quad-core,,16GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,Yes,GSM 850 / 900 / 1800 / 1900 N/A,,"Li-Ion 3400 mAh, non-removable",Yes,,"7.0 inches, 142.1 cm2",
No,,-,,No,,,,,Acer Iconia One 7 B1-730,Discontinued,8.9 mm thickness,microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,,,Accelerometer,"Red, white, black, blue, pink",PowerVR SGX544MP2,IPS LCD,Intel Atom Z2560,Wi-Fi 802.11 b/g/n,Up to 7 h (multimedia),,,,,,,,About 90 EUR,5 MP,"Yes, with stereo speakers","800 x 1280 pixels, 16:10 ratio (~216 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",,No cellular connectivity,,,,Yes,,,"2014, April. Released 2014, June",Acer,No,,No,"4.0, A2DP",Dual-core 1.6 GHz,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-one-7.jpg,No,N/A,,"Li-Ion 3700 mAh, non-removable",Yes,,"7.0 inches, 142.1 cm2",
Yes,,-,,Dual SIM,,,,,Acer Liquid E3 Duo Plus,Discontinued,138 x 69 x 8.9 mm (5.43 x 2.72 x 0.35 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA,,"Accelerometer, proximity",Black,PowerVR SGX544,IPS LCD,Mediatek MT6589 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 5 h,LED flash,,,,,Up to 260 h,LED flash,About 240 EUR,"13 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Android 4.2.2 (Jelly Bean),HSDPA,GSM / HSPA,,,,Yes,,,"2014, Q3. Released 2014, Q3",Acer,FM radio,,"GPS, GLONASS","4.0, A2DP",Quad-core 1.2 GHz Cortex-A7,,16GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e3-plus.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Li-Ion 2000 mAh, non-removable",2 MP,,"4.7 inches, 60.9 cm2(~64.0% screen-to-body ratio)",
Yes,,134 g (4.73 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,Acer Liquid E3,Discontinued,136 x 68 x 9 mm (5.35 x 2.68 x 0.35 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA,,"Accelerometer, proximity",Black/White,PowerVR SGX544,IPS LCD,Mediatek MT6589 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 5 h,LED flash,,,,,Up to 260 h,LED flash,About 200 EUR,"13 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Android 4.2.2 (Jelly Bean),HSDPA,GSM / HSPA,,,,Yes,,,"2014, February. Released 2014, April",Acer,FM radio,,"GPS, GLONASS","4.0, A2DP",Quad-core 1.2 GHz Cortex-A7,,4GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e3-new.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2500 mAh, non-removable",2 MP,,"4.7 inches, 60.9 cm2(~65.8% screen-to-body ratio)",
Yes,,122 g (4.30 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,Acer Liquid Z4,Discontinued,124 x 64 x 9.7 mm (4.88 x 2.52 x 0.38 in),microSDXC (dedicated slot),microUSB 2.0,No,,720p@30fps,,HSPA,,"Accelerometer, proximity",Black/White,Mali-400,TFT,Mediatek MT6572 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,LED flash,About 100 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.2.2 (Jelly Bean),HSDPA,GSM / HSPA,,,,Yes,,,"2014, February. Released 2014, April",Acer,No,,No,"4.0, A2DP",Dual-core 1.3 GHz Cortex-A7,,4GB 512MB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z4.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 1630 mAh, removable",1.3 MP,,"4.0 inches, 45.5 cm2(~57.4% screen-to-body ratio)",
Yes,No,323 g (11.39 oz),,Yes,,,,,Acer Iconia B1-721,Discontinued,199 x 122.3 x 11.4 mm (7.83 x 4.81 x 0.45 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA,,Accelerometer,Black/Red,Mali-400,TFT,Mediatek MT8312 (28 nm),Wi-Fi 802.11 b/g/n,,,,,,,,,About 130 EUR,VGA,Yes,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.2 (Jelly Bean),HSDPA,GSM / HSPA,,,,Yes,,,"2014, January. Released 2014, January",Acer,No,,GPS,Yes,Dual-core 1.3 GHz Cortex-A7,,16GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-721.jpg,Yes,GSM 850 / 900 / 1800 / 1900,,"Li-Po 2955 mAh, non-removable",,,"7.0 inches, 137.9 cm2(~56.7% screen-to-body ratio)",
No,No,315 g (11.11 oz),,No,,,,,Acer Iconia B1-720,Discontinued,198.1 x 121.9 x 10.2 mm (7.80 x 4.80 x 0.40 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,,,Accelerometer,"Black, Gold",PowerVR SGX531,TFT,Mediatek MT8111,Wi-Fi 802.11 b/g/n,Up to 5 h (multimedia),,,,,,,,About 100 EUR,VGA,Yes,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.2 (Jelly Bean),,No cellular connectivity,,,,Yes,,,"2014, January. Released 2014, January",Acer,No,,GPS,"4.0, A2DP",Dual-core 1.3 GHz,,"8GB 1GB RAM, 16GB 1GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-b1-720.jpg,No,N/A,,"Li-Po 2955 mAh, non-removable",,,"7.0 inches, 137.9 cm2(~57.1% screen-to-body ratio)",
No,,380 g (13.40 oz),,No,,,,,acer iconia a1 830-5930 ,Discontinued,203 x 138.4 x 8.2 mm (7.99 x 5.45 x 0.32 in),microSDHC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,,,Accelerometer,White,PowerVR SGX544MP2,LED-backlit IPS LCD,Intel Atom Z2560,Wi-Fi 802.11 b/g/n,Up to 7 h 30 min (multimedia),,,,,,,,About 130 EUR,"5 MP, AF",Yes,"768 x 1024 pixels, 4:3 ratio (~162 ppi density)",Android 4.2 (Jelly Bean),,No cellular connectivity,,,,Yes,,,"2014, January. Released 2014, March",Acer,No,,GPS,3.0,Dual-core 1.6 GHz,,16GB 1GB RAM,,No,N/A,"2014, January. Released 2014, March","Li-Ion 4000 mAh, non-removable",2 MP,,"7.9 inches, 193.3 cm2(~68.8% screen-to-body ratio)",
,,150 g (5.29 oz),,Dual SIM,,,,,Acer Liquid Z5,Discontinued,145.5 x 73.5 x 8.8 mm (5.73 x 2.89 x 0.35 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA,,"Accelerometer, proximity","Essential White, Gentle Grey",Mali-400,TFT,Mediatek MT6572 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,LED flash,About 170 EUR,5 MP,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.2 (Jelly Bean),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2014, January. Released 2014, January",Acer,FM radio,,GPS,"3.0, A2DP, EDR",Dual-core 1.3 GHz Cortex-A7,,4GB 512MB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Li-Ion 2000 mAh, non-removable",VGA,,"5.0 inches, 68.9 cm2(~64.4% screen-to-body ratio)",
