EDGE,,Weight,_4,SIM,4G bands,Audio quality,Browser,Loudspeaker_1,Model Name,Status,Dimensions,Card slot,USB,NFC,Models,Video,Video_1,Speed,Display,Sensors,Colors,GPU,Type,Chipset,WLAN,Talk time,Features_1,_2,Keyboard,Camera,_1,Stand-by,Features,Price,Single,Loudspeaker,Resolution,OS,3G bands,Technology,Charging,SAR EU,Performance,3.5mm jack,Music play,Talk time_1,Announced,Brand,Radio,_3,Positioning,Bluetooth,CPU,SAR,Internal,Model Image,GPRS,2G bands,Announced_1,Type_1,Single_1,Battery (old),Size,Protection
,HSDPA 850 / 1700(AWS) / 1900 / 2100 - USA,150 g (5.29 oz),Microsoft Continuum support,Nano-SIM + Nano-SIM,LTE 800 / 1800 / 2100 / 2600 - Europe,,,,Acer Liquid Jade Primo,Discontinued,156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in),microSDXC (uses shared SIM slot),USB Type-C 3.1,No,,"4K@30fps, 1080p@30fps",1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,"Accelerometer, gyro, proximity, compass",Black,Adreno 418,AMOLED,Qualcomm MSM8992 Snapdragon 808 (20 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Up to 20 h (3G),,LTE 700 / 1700 / 1900 / 2600 - USA,,Photo/Video,LTE 900 / 1800 / 2600 - Taiwan,Up to 330 h (3G),"Dual-LED flash, HDR, panorama",About 220 EUR,"21 MP, f/2.2, AF",Yes,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Microsoft Windows 10,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan,GSM / HSPA / LTE,,,,Yes,,,"2015, September. Released 2016, April",Acer,FM radio,eMMC 5.0,GPS,"4.0, A2DP, LE, EDR",Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),,32GB 3GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Li-Po 2870 mAh, non-removable","8 MP, f/2.2",Endurance rating 56h,"5.5 inches, 83.4 cm2(~70.2% screen-to-body ratio)",Corning Gorilla Glass (unspecified version)
Yes,eMMC 4.5,142 g (5.01 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,Acer Liquid Z330,Discontinued,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),microSDXC (dedicated slot),microUSB 2.0,No,,Yes,,"HSPA, LTE",,"Accelerometer, proximity","Mystic Black, Pure White",Adreno 304,IPS LCD,Qualcomm MSM8909 Snapdragon 210 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 11 h,,,,,,Up to 430 h,LED flash,About 110 EUR,"5 MP, AF",Yes,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.1 (Lollipop),HSDPA,GSM / HSPA / LTE,,,,Yes,,,"2015, September. Released 2015, October",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.1 GHz Cortex-A7,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2000 mAh, removable",5 MP,,"4.5 inches, 55.8 cm2(~61.7% screen-to-body ratio)",
Yes,eMMC 4.5,142 g (5.01 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,Acer Liquid Z320,Discontinued,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),microSDXC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA 42.2/5.76 Mbps,,"Accelerometer, proximity",Pure White,Adreno 304,IPS LCD,Qualcomm MSM8909 Snapdragon 210 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,LED flash,About 90 EUR,"5 MP, AF",Yes,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.1 (Lollipop),HSDPA,GSM / HSPA,,,,Yes,,,"2015, September. Released 2015, November",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.0 GHz Cortex-A7,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Po 2000 mAh, removable",2 MP,,"4.5 inches, 55.8 cm2(~61.7% screen-to-body ratio)",
,,165 g (5.82 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,acer liquid z630s-7529 ,Discontinued,156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in),microSDXC (dedicated slot),"microUSB 2.0, OTG",No,,1080p@30fps,,"HSPA, LTE",,"Accelerometer, proximity, compass","Black, Gold",Mali-T720MP3,IPS LCD,Mediatek MT6753 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,"LED flash, HDR, panorama",,"8 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),HSDPA 900 / 1900 / 2100,GSM / HSPA / LTE,,,,Yes,,,"2015, September. Released 2015, September",Acer,FM radio,,GPS,"4.0, A2DP",Octa-core 1.3 GHz Cortex-A53,,32GB 3GB RAM,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"2015, September. Released 2015, September","Li-Po 4000 mAh, removable (15.2 Wh)",8 MP,,"5.5 inches, 83.4 cm2(~68.8% screen-to-body ratio)",
Yes,,165 g (5.82 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,Acer Liquid Z630,Discontinued,156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in),microSDXC (dedicated slot),"microUSB 2.0, OTG",No,,Yes,,"HSPA, LTE",,"Accelerometer, proximity, compass",Black,Mali-T720MP2,IPS LCD,Mediatek MT6735 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 22 h,,,,,,Up to 1030 h,"LED flash, HDR, panorama",About 200 EUR,"8 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),HSDPA,GSM / HSPA / LTE,,,,Yes,,,"2015, September. Released 2015, September",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.3 GHz Cortex-A53,,"8GB 1GB RAM, 16GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 4000 mAh, removable",8 MP,,"5.5 inches, 83.4 cm2(~68.8% screen-to-body ratio)",
Yes,,145 g (5.11 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,Acer Liquid Z530S,Discontinued,144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in),microSDXC (dedicated slot),microUSB 2.0,No,,Yes,,"HSPA, LTE",,"Accelerometer, proximity","Black, White",Mali-T720MP3,IPS LCD,Mediatek MT6753 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,"LED flash, HDR, panorama",,"8 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),HSDPA,GSM / HSPA / LTE,,,,Yes,,,"2015, September. Released 2015, November",Acer,FM radio,,GPS,"4.0, A2DP",Octa-core 1.3 GHz Cortex-A53,,32GB 3GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2420 mAh, removable",8 MP,,"5.0 inches, 68.9 cm2(~68.1% screen-to-body ratio)",
Yes,,145 g (5.11 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,Acer Liquid Z530,Discontinued,144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in),microSDXC (dedicated slot),microUSB 2.0,No,,Yes,,"HSPA, LTE",,"Accelerometer, proximity","Black, White",Mali-T720MP2,IPS LCD,Mediatek MT6735 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,"LED flash, HDR, panorama",About 150 EUR,"8 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),HSDPA,GSM / HSPA / LTE,,,,Yes,,,"2015, September. Released 2015, October",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.3 GHz Cortex-A53,,"8GB 1GB RAM, 16GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2420 mAh, removable",8 MP,,"5.0 inches, 68.9 cm2(~68.1% screen-to-body ratio)",
Yes,eMMC 4.5,142 g (5.01 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",LTE,,,,Acer Liquid M330,Discontinued,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),microSDXC (dedicated slot),microUSB 2.0,No,,Yes,,"HSPA, LTE",,"Accelerometer, proximity","Mystic Black, Pure White",Adreno 304,IPS LCD,Qualcomm MSM8909 Snapdragon 210 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,LED flash,,"5 MP, AF",Yes,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Microsoft Windows 10,HSDPA,GSM / HSPA / LTE,,,,Yes,,,"2015, September. Released 2015, November",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.0 GHz Cortex-A7,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2000 mAh, removable",5 MP,,"4.5 inches, 55.8 cm2(~61.7% screen-to-body ratio)",
Yes,eMMC 4.5,142 g (5.01 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,Acer Liquid M320,Discontinued,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),microSDXC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA 42.2/5.76 Mbps,,"Accelerometer, proximity","Mystic Black, Pure White",Adreno 304,IPS LCD,Qualcomm MSM8909 Snapdragon 210 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",,,,,,,,LED flash,,"5 MP, AF",Yes,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Microsoft Windows 10,HSDPA,GSM / HSPA,,,,Yes,,,"2015, September. Released 2015, November",Acer,FM radio,,GPS,"4.0, A2DP",Quad-core 1.1 GHz Cortex-A7,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2000 mAh, removable",2 MP,,"4.5 inches, 55.8 cm2(~61.7% screen-to-body ratio)",
No,,540 g (1.19 lb),,No,,,,,Acer Iconia Tab 10 A3-A30,Discontinued,260 x 176 x 9.7 mm (10.24 x 6.93 x 0.38 in),microSDXC (dedicated slot),microUSB 2.0,Yes,,1080p@30fps,,,,Accelerometer,Black,,LED-backlit IPS LCD,Intel Atom Z3735F,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",Up to 7 h 30 min (multimedia),,,,,,,,About 250 EUR,5 MP,"Yes, with stereo speakers","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 5.0 (Lollipop),,No cellular connectivity,,,,Yes,,,"2015, April. Released 2015, June",Acer,No,,A-GPS only,"4.0, A2DP",Quad-core 1.33 GHz,,"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a30-new.png,No,N/A,,"Li-Ion 5910 mAh, non-removable (22 Wh)",2 MP,,"10.1 inches, 295.8 cm2(~64.6% screen-to-body ratio)","Corning Gorilla Glass 4, oleophobic coating"
