Positioning,,Card slot,Java,Video,Messaging,OS,GPRS,3.5mm jack,Model Image,Single,Loudspeaker,USB,NFC,EDGE,Colors,Announced,Keyboard,CPU,Chipset,Size,Features,Talk time,GPU,2G bands,SIM,Stand-by,Single_1,_1,Type,Type_1,Model Name,_2,Bluetooth,Status,Radio,WLAN,3G bands,Internal,Call records,Brand,_3,Games,Resolution,Speed,Phonebook,Video_1,Dimensions,Sensors,Price,Weight,Technology
GPS,,microSDXC,,480p@30fps,,Android 4.2 (Jelly Bean),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niutek-35d2.jpg,2 MP,Yes,microUSB 2.0,No,,"Black, White, Blue, Green, Red","2014, August. Released 2014, October",,Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M (28 nm),"3.5 inches, 36.5 cm2(~51.5% screen-to-body ratio)","LED flash, panorama",Up to 8 h (2G) / Up to 6 h (3G),Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),Up to 400 h (2G) / Up to 320 h (3G),VGA,,"TFT, 256K colors","Li-Ion 1200 mAh, removable",NIU Niutek 3.5D2,,"3.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",HSDPA 850 / 1900 -  SIM 1 & SIM 2 - TM35D2H043,2GB 256MB RAM,,NIU,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",HSPA 21.1/5.76 Mbps,,,116 x 61 x 11.5 mm (4.57 x 2.40 x 0.45 in),Accelerometer,,98 g (3.46 oz),GSM / HSPA
No,No,microSDHC,No,,"SMS, MMS, IM",,Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-go-21.jpg,VGA,Yes,microUSB 2.0,No,No,"Black, Orange, Gray, Red, Green, Blue","2014, May. Released 2014, June",,,,"1.8 inches, 10.2 cm2(~21.6% screen-to-body ratio)",,Up to 6 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 200 h,,Whatsapp messengerVideo/music playerOrganizerPredictive text input,"TFT, 65K colors","Li-Ion 650 mAh, removable",NIU GO 21,,"2.1, EDR",Discontinued,Stereo FM radio,No,,32Mb 32Mb RAM,Yes,NIU,,Yes,128 x 160 pixels (~114 ppi density),,Yes,,105 x 44.9 x 14.2 mm (4.13 x 1.77 x 0.56 in),,,66 g (2.33 oz),GSM
GPS,,microSDHC (dedicated slot),,720p@30fps,,Android 4.2 (Jelly Bean),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-45d.jpg,5 MP,Yes,microUSB 2.0,No,,Black,"2013, December. Released 2014, January",,Dual-core 1.2 GHz Cortex-A7,Mediatek MT6572 (28 nm),"4.5 inches, 55.8 cm2(~59.6% screen-to-body ratio)","LED flash, panorama",Up to 16 h (2G) / Up to 9 h (3G),Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 640 h (2G) / Up to 420 h (3G),1.3 MP,,"TFT, 256K colors","Li-Ion 1650 mAh, removable",NIU Niutek 4.5D,,"3.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",HSDPA 850 / 1900 - SIM 1 or SIM 2,512MB 256MB RAM,,NIU,,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",HSPA 21.1/5.76 Mbps,,,137.6 x 68 x 10.4 mm (5.42 x 2.68 x 0.41 in),"Accelerometer, proximity",,139 g (4.90 oz),GSM / HSPA
GPS,,microSDHC (dedicated slot),,720p@30fps,,Android 4.2 (Jelly Bean),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-4d-.jpg,3.15 MP,Yes,microUSB 2.0,No,,"Black, Blue, Green, White, Yellow","2013, December. Released 2014, January",,Dual-core 1.2 GHz Cortex-A7,Mediatek MT6572 (28 nm),"4.0 inches, 45.5 cm2(~57.0% screen-to-body ratio)",LED flash,Up to 15 h (2G) / Up to 8 h 30 min (3G),Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 630 h (2G) / Up to 415 h (3G),1.3 MP,,"TFT, 256K colors","Li-Ion 1500 mAh, removable",NIU Niutek 4.0D,,"3.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",HSDPA 850 / 1900 - SIM 1 or SIM 2,512MB 256MB RAM,,NIU,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",HSPA 21.1/5.76 Mbps,,,127 x 62.9 x 9.9 mm (5.0 x 2.48 x 0.39 in),"Accelerometer, proximity",,131 g (4.62 oz),GSM / HSPA
GPS,,microSDHC (dedicated slot),,480p@30fps,,Android 4.2 (Jelly Bean),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-35d.jpg,2 MP,Yes,microUSB 2.0,No,,"Black, Blue, Green, White, Yellow","2013, December. Released 2014, January",,Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572 (28 nm),"3.5 inches, 36.5 cm2(~49.5% screen-to-body ratio)","LED flash, panorama, HDR",Up to 15 h (2G) / Up to 8 h (3G),Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 620 h (2G) / Up to 410 h (3G),VGA,,"TFT, 256K colors","Li-Ion 1400 mAh, removable",NIU Niutek 3.5D,,"3.0, A2DP",Discontinued,Stereo FM radio,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",HSDPA 850 / 1900 - SIM 1 or SIM 2,512MB 256MB RAM,,NIU,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",HSPA 21.1/5.76 Mbps,,,118 x 62.5 x 13.5 mm (4.65 x 2.46 x 0.53 in),"Accelerometer, proximity",,108 g (3.81 oz),GSM / HSPA
No,Flashlight,microSDHC (dedicated slot),No,,"SMS, MMS, IM",,Up to 48 kbps,No,https://fdn2.gsmarena.com/vv/bigpic/niu-go-20.jpg,VGA,Yes,Proprietary,No,No,"Black, White, Silver, Purple, Blue, Red","2013, November. Released 2013, November",,,,"1.8 inches, 10.2 cm2(~23.0% screen-to-body ratio)",,Up to 6 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 200 h,,No,"TFT, 65K colors","Li-Ion 500 mAh, removable",NIU GO 20,Whatsapp messengerVideo/music playerOrganizerPredictive text input,2.1,Discontinued,Stereo FM radio,No,,32Mb 32Mb RAM,Yes,NIU,,Yes,128 x 160 pixels (~114 ppi density),,Yes,,101 x 43.8 x 14 mm (3.98 x 1.72 x 0.55 in),,,60 g (2.12 oz),GSM
A-GPS only,No,microSDHC (dedicated slot),,@30fps,,Android 2.3 (Gingerbread),Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-3.jpg,3.15 MP,Yes,microUSB 2.0,No,Class 10,"Black, White","2013, March. Released 2013, July",,1.0 GHz Cortex-A5,Spreadtrum SC6820,"3.5 inches, 36.5 cm2(~51.8% screen-to-body ratio)",,Up to 17 h,Mali-400,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 850 h,,Analog TV,TFT,"Li-Ion 1300 mAh, removable",NIU Niutek 3.5B,,3.0,Discontinued,"Stereo FM radio, recording","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",,512MB 256MB RAM,,NIU,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,,,113.6 x 62 x 13.8 mm (4.47 x 2.44 x 0.54 in),Accelerometer,,92 g without battery (3.25 oz),GSM
No,Flashlight,microSDHC (dedicated slot),No,Yes,SMS,,Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-liv-10.jpg,VGA,Yes,microUSB,No,No,"Black, White, Blue, red","2013, March. Released 2013, May",QWERTY,,,"1.8 inches, 10.2 cm2(~17.2% screen-to-body ratio)",LED flash,Up to 7 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,Triple SIM (Mini-SIM),Up to 660 h,,No,"TFT, 65K colors","Li-Ion 860 mAh, removable",NIU LIV 10,Whatsapp messengerVideo/music playerOrganizer,"2.1, A2DP",Discontinued,Stereo FM radio,No,,32Mb 16Mb RAM,Yes,NIU,,Yes,160 x 128 pixels (~114 ppi density),,Yes,,102 x 58 x 13.3 mm (4.02 x 2.28 x 0.52 in),,,73 g without battery (2.57 oz),GSM
No,Flashlight,microSDHC (dedicated slot),No,Yes,SMS,,Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-go-50.jpg,VGA,Yes,microUSB,No,No,"Blue, Black, White, Red, Silver, Dark Grey","2013, March. Released 2013, June",,,,"2.0 inches, 12.6 cm2(~25.3% screen-to-body ratio)",,Up to 6 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 200 h,,No,"TFT, 65K colors","Li-Ion 800 mAh, removable",NIU GO 50,Whatsapp messengerVideo/music playerOrganizer,2.1,Discontinued,Stereo FM radio,No,,32Mb 32Mb RAM,Yes,NIU,,Yes,176 x 220 pixels (~141 ppi density),,Yes,,108 x 46 x 13.7 mm (4.25 x 1.81 x 0.54 in),,,57 g without battery (2.01 oz),GSM
GPS,Analog TVMP4/WMV/H.264 playerMP3/WAV/eAAC+ playerPhoto/video editorDocument viewer,microSDHC (dedicated slot),,Yes,,Android 4.0 (Ice Cream Sandwich),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-tek-3g-35.jpg,3.2 MP,Yes,microUSB,No,,"Black, White","2012, June. Released 2012, November",,1.0 GHz Cortex-A9,Mediatek MT6575 (40 nm),"3.5 inches, 36.5 cm2(~49.5% screen-to-body ratio)",LED flash,Up to 15 h (2G) / Up to 6 h 30 min (3G),PowerVR SGX531,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 713 h (2G) / Up to 428 h (3G),VGA,,TFT,"Li-Ion 1200 mAh, removable",NIU Niutek 3G 3.5 N209,,2.1,Discontinued,Stereo FM radio,"Wi-Fi 802.11 b/g, hotspot",HSDPA 850 / 1900 - SIM 1 only,256MB 512MB RAM,,NIU,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",HSPA 14.4/5.76 Mbps,,,117 x 63 x 12 mm (4.61 x 2.48 x 0.47 in),"Accelerometer, proximity",About 100 EUR,71 g without battery (2.50 oz),GSM / HSPA
