Positioning,,Card slot,Java,Video,Messaging,OS,GPRS,3.5mm jack,Model Image,Single,Loudspeaker,USB,NFC,EDGE,Colors,Announced,Keyboard,CPU,Chipset,Size,Features,Talk time,GPU,2G bands,SIM,Stand-by,Single_1,_1,Type,Type_1,Model Name,_2,Bluetooth,Status,Radio,WLAN,3G bands,Internal,Call records,Brand,_3,Games,Resolution,Speed,Phonebook,Video_1,Dimensions,Sensors,Price,Weight,Technology
GPS,MP4/WMV/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,microSDHC (dedicated slot),,Yes,,Android 2.3 (Gingerbread),,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-niutek-3g-4.jpg,"5 MP, AF",Yes,microUSB,,,"Black, White","2012, June. Released 2012, August",,1.0 GHz Cortex-A9,Mediatek MT6575 (40 nm),"4.0 inches, 45.5 cm2(~56.7% screen-to-body ratio)",LED flash,Up to 16 h (2G) / Up to 7 h (3G),PowerVR SGX531,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 713 h (2G) / Up to 428 h (3G),VGA,,TFT,Removable Li-Ion 1650 mAh battery,NIU Niutek 3G 4.0 N309,,2.1,Discontinued,Stereo FM radio,"Wi-Fi 802.11 b/g, hotspot",HSDPA 850 / 1900 - SIM 1 only,512MB 512MB RAM,,NIU,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",HSPA 14.4/5.76 Mbps,,,123.5 x 65 x 10.5 mm (4.86 x 2.56 x 0.41 in),"Accelerometer, proximity",About 150 EUR,71 g without battery (2.50 oz),GSM / HSPA
No,"Analog TVFacebook, MSN, Twitter, YahooVideo playerMusic playerOrganizerVoice memoPredictive text input",microSDHC (dedicated slot),Yes,Yes,"SMS, MMS, Email, IM",,,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-panna-3g-tv.jpg,2 MP,Yes,microUSB,,,"Blue, Red, Silver, White","2012, June. Released 2012, September",QWERTY,,,"2.0 inches, 12.6 cm2(~21.7% screen-to-body ratio)",LED flash,Up to 6 h 30 min (2G) / Up to 4 h 30 min (3G),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),Up to 312 h (2G) / Up to 211 h (3G),VGA,,"TFT, 256K colors",Removable Li-Ion 800 mAh battery,NIU Pana 3G TV N206,,2.1,Discontinued,Stereo FM radio,No,HSDPA 850 / 1900 - SIM 1 only,128MB 32MB,Yes,NIU,,Yes,220 x 176 pixels (~141 ppi density),HSPA 14.4/5.76 Mbps,Yes,,103.5 x 56.1 x 14 mm (4.07 x 2.21 x 0.55 in),,,71 g without battery (2.50 oz),GSM / HSPA
No,GSM 850 / 900 / 1800 / 1900 - SIM 2,microSD (dedicated slot),No,No,"SMS, MMS",,Yes,No,https://fdn2.gsmarena.com/vv/bigpic/verykool-domo2.jpg,1.3 MP,Yes,miniUSB,,No,"Black, White","2012, March. Released 2012, Q3",,,,"1.8 inches, 10.2 cm2(~15.6% screen-to-body ratio)",,Up to 6 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Dual SIM (Mini-SIM),Up to 250 h,,Flashlight,"TFT, 65K colors",Removable Li-Ion 1200 mAh battery,NIU GO 80,No,2.0,Discontinued,Stereo FM radio,No,,64MB,Yes,NIU,"Video PlayerMusic PlayerOrganizerCalendarCalculatorSound RecorderFacebook, MSN, Twitter, YahooRadio Antenna",Yes,128 x 160 pixels (~114 ppi density),,Yes,,113 x 58 x 15.9 mm (4.45 x 2.28 x 0.63 in),,,90 g without battery (3.17 oz),GSM
No,GSM 850 / 900 / 1800 / 1900 - SIM 2,microSD (dedicated slot),No,No,SMS,,No,No,https://fdn2.gsmarena.com/vv/bigpic/niu-domo.jpg,VGA,Yes,Proprietary,,No,"Black, White","2012, January. Released 2012, January",,,,"2.0 inches, 12.6 cm2(~17.6% screen-to-body ratio)",,Up to 4 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Dual SIM (Mini-SIM),Up to 200 h,,Flashlight,"TFT, 65K colors",Removable Li-Ion 1000 mAh battery,NIU Domo N102,No,No,Discontinued,Stereo FM radio; built-in antenna,No,,64MB 32MB,Yes,NIU,Music playerOrganizer,No,128 x 160 pixels (~102 ppi density),,Yes,,123 x 58 x 15.9 mm (4.84 x 2.28 x 0.63 in),,About 40 EUR,90 g without battery (3.17 oz),GSM
No,GSM 850 / 900 / 1800 / 1900 - SIM 2,microSD (dedicated slot),No,,SMS,,No,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-bingo.jpg,,Yes,microUSB,,No,"Blue, Purple, Red, Silver, White","2012, January. Released 2012, January",,,,"1.8 inches, 10.2 cm2(~23.3% screen-to-body ratio)",,Up to 4 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Dual SIM (Mini-SIM),Up to 96 h,,No,"TFT, 65K colors",Removable Li-Ion 500 mAh battery,NIU Bingo N103,Music player,No,Discontinued,Stereo FM radio,No,,32MB 3MB,Yes,NIU,,Yes,128 x 160 pixels (~114 ppi density),,Yes,,100 x 43.8 x 14.5 mm (3.94 x 1.72 x 0.57 in),,,45 g without battery (1.59 oz),GSM
No,GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),No,No,"SMS, MMS, IM",,Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-lotto.jpg,1.3 MP,Yes,microUSB,,No,"Blue, Purple, Red, Silver, White","2012, January. Released 2012, January",,,,"2.0 inches, 12.6 cm2(~24.0% screen-to-body ratio)",,Up to 4 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Dual SIM (Mini-SIM),Up to 96 h,,Flashlight,"TFT, 65K colors",Removable Li-Ion 750 mAh battery,NIU Lotto N104,No,2.0,Discontinued,"Stereo FM radio, recording",No,,64MB,Yes,NIU,"Facebook, MSN, Twitter, YahooVideo PlayerMusic PlayerOrganizer",Yes,176 x 220 pixels (~141 ppi density),,Yes,,111.5 x 47 x 13.2 mm (4.39 x 1.85 x 0.52 in),,About 30 EUR,55 g without battery (1.94 oz),GSM
No,GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),No,No,"SMS, MMS, IM",,Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-pana.jpg,1.3 MP,Yes,microUSB,,No,"Blue, Red, Silver, White","2012, January. Released 2012, January",QWERTY,,,"2.2 inches, 15.0 cm2(~23.1% screen-to-body ratio)",,Up to 4 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Dual SIM (Mini-SIM),Up to 140 h,,No,"TFT, 256K colors",Removable Li-Ion 850 mAh battery,NIU Pana N105,"Facebook, MSN, TwitterVideo PlayerMusic PlayerOrganizer",2.0,Discontinued,"Stereo FM radio, recording",No,,64MB,Yes,NIU,,Yes,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",,Yes,,111 x 58.5 x 11.8 mm (4.37 x 2.30 x 0.46 in),,About 40 EUR,68 g without battery (2.40 oz),GSM
No,GSM 850 / 900 / 1800 / 1900 - SIM2 & SIM 3,microSDHC (dedicated slot),Yes,No,"SMS, MMS, IM",,Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-panatv.jpg,1.3 MP,Yes,microUSB,,No,"Blue, Red, Silver, White","2012, January. Released 2012, January",QWERTY,,,"2.0 inches, 12.6 cm2(~19.4% screen-to-body ratio)",,Up to 4 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Triple SIM (Mini-SIM),Up to 150 h,,Flashlight,"TFT, 256K colors",Removable Li-Ion 1000 mAh battery,NIU Pana TV N106,No,2.0,Discontinued,"Stereo FM radio, recording",No,,128MB 32MB,Yes,NIU,"Analog TVFacebook, MSN, TwitterVideo playerMusic playerOrganizerPredictive text input",Yes,220 x 176 pixels (~141 ppi density),,Yes,,111 x 58.5 x 13.5 mm (4.37 x 2.30 x 0.53 in),,,70 g without battery (2.47 oz),GSM
"GPS, A-GPS",GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),,Yes,,Android 2.2 (Froyo),Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-tekq.jpg,2 MP,Yes,microUSB,,No,"Black, White","2012, January. Released 2012, January",QWERTY,416 MHz,Mediatek MT6516,"2.3 inches, 15.8 cm2(~24.6% screen-to-body ratio)",LED flash,Up to 3 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Dual SIM (Mini-SIM),Up to 48 h,,No,"TFT resistive touchscreen, 256K colors",Removable Li-Ion 1000 mAh battery,NIU NiutekQ N108,MP4/WMV/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,2.0,Discontinued,"Stereo FM radio, recording",Wi-Fi 802.11 b/g,,256MB 128MB RAM,,NIU,,,"480 x 320 pixels, 3:2 ratio (~251 ppi density)",,,,107.9 x 59.4 x 13.7 mm (4.25 x 2.34 x 0.54 in),"Accelerometer, compass",About 70 EUR,73 g without battery (2.57 oz),GSM
"GPS, A-GPS",GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),,Yes,,Android 2.2 (Froyo),Up to 48 kbps,Yes,https://fdn2.gsmarena.com/vv/bigpic/niu-tek.jpg,2 MP,Yes,microUSB,,No,"Black, White","2012, January. Released 2012, January",,416 MHz,Mediatek MT6516,"2.8 inches, 23.3 cm2(~37.2% screen-to-body ratio)",LED flash,Up to 3 h,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Dual SIM (Mini-SIM),Up to 48 h,,No,"TFT resistive touchscreen, 256K colors",Removable Li-Ion 1000 mAh battery,NIU Niutek N109,MP4/WMV/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,2.0,Discontinued,"Stereo FM radio, recording",Wi-Fi 802.11 b/g,,256MB 128MB RAM,,NIU,,,"320 x 480 pixels, 3:2 ratio (~206 ppi density)",,,,107.8 x 58.2 x 13.7 mm (4.24 x 2.29 x 0.54 in),"Accelerometer, compass",About 60 EUR,71 g without battery (2.50 oz),GSM
