,Triple,Resolution,Games,Price,Phonebook,Type_1,Call records,Talk time,Video,_2,GPU,Card slot,Chipset,Java,Infrared port,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Music play,Brand,5G bands,Dual_1,Protection,Browser,Radio,CPU,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,Models,Keyboard,2G bands,Messaging,Features,Dimensions
HSDPA 850 / 1900 / 2100 - L,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,About 50 EUR,,"Li-Po 1700 mAh, removable",,Up to 18 h (2G) / Up to 15 h (3G),720p@30fps,,Mali-400,microSDXC,Mediatek MT6570 (28 nm),,,,GSM / HSPA,"2017, December",IPS LCD,Android 6.0 (Marshmallow),2 MP,LED flash,,BLU,,,,,FM radio,Dual-core 1.3 GHz,,,Up to 500 h (2G) / Up to 550 h (3G),119 g (4.20 oz),,Dual SIM (Mini-SIM/Micro-SIM),8GB 512MB RAM,5 MP,,"4.0 inches, 45.5 cm2(~56.0% screen-to-body ratio)",Yes,,"Available. Released 2017, December",https://fdn2.gsmarena.com/vv/bigpic/blu-dash-l4-3g.jpg,microUSB 2.0,Accelerometer,,BLU Dash L4,HSDPA 850 / 1700(AWS) / 1900 - U,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Gold, Rose Gold, Silver, Red",,Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,126.8 x 64.1 x 10.5 mm (4.99 x 2.52 x 0.41 in)
"IP54, dust and splash resistant",,240 x 240 pixels (~309 ppi density),,About 50 EUR,,"Li-Po 320 mAh, non-removable",,,,Voice dial/commands,,No,Mediatek MT2502,,,,GSM,"2018, March",IPS LCD,Proprietary OS,,,,BLU,,,,,No,256 MHz,,No,,65 g (2.29 oz),"Glass front, aluminum back, aluminum frame",Mini-SIM,4MB 4MB RAM,,,1.1 inches,No,No,"Available. Released 2018, May",https://fdn2.gsmarena.com/vv/bigpic/blu-xlink.jpg,No,"Accelerometer, heart rate",Yes,BLU X Link,,,Yes,4.0,,"Black, Silver, Rose Gold",,No,No,No,,,,GSM 850 / 900 / 1800 / 1900,,,45.8 x 54 x 13.9 mm (1.80 x 2.13 x 0.55 in)
eMMC 5.1,,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",,About 180 EUR,,"Li-Po 3000 mAh, non-removable",,Up to 26 h (2G) / Up to 16 h (3G),1080p@30fps,,Adreno 308,microSDXC,Qualcomm MSM8917 Snapdragon 425 (28 nm),,,,GSM / HSPA / LTE,"2018, March",IPS LCD,Android 7.1.2 (Nougat),"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",LED flash,,BLU,,,,,FM radio,Quad-core 1.4 GHz Cortex-A53,,,Up to 725 h (2G) / Up to 625 h (3G),169 g (5.96 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,"13 MP, PDAF",,"6.0 inches, 92.9 cm2(~76.8% screen-to-body ratio)",Yes,,"Available. Released 2018, April",https://fdn2.gsmarena.com/vv/bigpic/blu-vivo-xl3.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,BLU Vivo XL3 Plus,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,Black,"2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, panorama, HDR",158.1 x 76.5 x 8.2 mm (6.22 x 3.01 x 0.32 in)
,,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",,About 260 EUR,,"Li-Po 4010 mAh, non-removable",,Up to 28 h (2G) / Up to 22 h (3G),1080p@30fps,,Mali-T880MP2,microSDXC,Mediatek MT6757 Helio P20 (16 nm),,,,GSM / HSPA / LTE,"2018, February",IPS LCD,Android 7.0 (Nougat),,LED flash,,BLU,,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm8 MP, 1/4.0"", 1.12µm",Corning Gorilla Glass 3,,FM radio,Octa-core (4x2.6 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),,,Up to 750 h (2G) / Up to 700 h (3G),188 g (6.63 oz),,Nano-SIM + Micro-SIM,64GB 4GB RAM,,,"6.0 inches, 92.9 cm2(~75.6% screen-to-body ratio)",Yes,,"Available. Released 2018, February",https://fdn2.gsmarena.com/vv/bigpic/blu-vivo-x.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BLU Vivo X,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"4.0, A2DP","13 MP, 1/3.1"", 1.12µm, PDAF5 MP, f/2.4, (depth)",Black,"1, 2, 3, 4, 5, 7, 8, 12, 17, 28","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR",160 x 76.8 x 8.2 mm (6.30 x 3.02 x 0.32 in)
eMMC 5.0,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,About 90 EUR,,"Li-Po 2000 mAh, non-removable",,Up to 24 h (2G) / Up to 14 h (3G),1080p@30fps,,Mali-T720,microSDXC,Mediatek MT6737 (28 nm),,,,GSM / HSPA / LTE,"2018, February",IPS LCD,Android 7.0 (Nougat),5 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A53,,,Up to 600 h (2G) / Up to 500 h (3G),140 g (4.94 oz),,"Dual SIM (Micro-SIM, dual stand-by)",16GB 2GB RAM,8 MP,,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",Yes,,"Available. Released 2018, February",https://fdn2.gsmarena.com/vv/bigpic/blu-sj8m.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU Studio J8M LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Gold","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR",145 x 72 x 9.4 mm (5.71 x 2.83 x 0.37 in)
eMMC 5.1,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",,About 120 EUR,,"Li-Po 3000 mAh, non-removable",,Up to 26 h (2G) / Up to 16 h (3G),1080p@30fps,,PowerVR GE8100,microSDXC,Mediatek MT6739 (28 nm),,,,GSM / HSPA / LTE,"2018, February",IPS LCD,Android 7.1.1 (Nougat),8 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A53,,,Up to 725 h (2G) / Up to 625 h (3G),160 g (5.64 oz),,Nano-SIM + Micro-SIM,16GB 2GB RAM,12 MP,,"5.5 inches, 78.1 cm2(~75.0% screen-to-body ratio)",Yes,,"Available. Released 2018, February",https://fdn2.gsmarena.com/vv/bigpic/blu-vo.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU Vivo One,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Gold, Silver","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"Dual-LED dual-tone flash, HDR",148.4 x 70.1 x 9.8 mm (5.84 x 2.76 x 0.39 in)
,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 100 EUR,,"Li-Po 3000 mAh, removable",,Up to 26 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-400MP2,microSDXC,Mediatek MT6580 (28 nm),,,,GSM / HSPA,"2018, January",IPS LCD,Android 7.0 (Nougat),5 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 725 h (2G) / Up to 625 h (3G),174 g (6.14 oz),,"Dual SIM (Micro-SIM, dual stand-by)",16GB 1GB RAM,"13 MP, 1/4.0"", 1.12µm",,"5.7 inches, 83.8 cm2(~70.5% screen-to-body ratio)",Yes,,"Available. Released 2018, January",https://fdn2.gsmarena.com/vv/bigpic/blu-sv-xl.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU Studio View XL,HSDPA 850 / 1700(AWS) / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Gold, Rose Gold, Silver",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,Studio View XL,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR",160.1 x 74.3 x 9.3 mm (6.30 x 2.93 x 0.37 in)
eMMC 5.0,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,,"Li-Po 2000 mAh, removable",,Up to 24 h (2G) / Up to 14 h (3G),720p@30fps,,Mali-T720,microSDXC,Mediatek MT6737 (28 nm),,,,GSM / HSPA / LTE,"2017, November. Released 2017, November",IPS LCD,Android 7.0 (Nougat),5 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.1 GHz Cortex-A53,,,Up to 600 h (2G) / Up to 500 h (3G),148 g (5.22 oz),,Dual SIM (Micro-SIM),8GB 1GB RAM,5 MP,,"5.0 inches, 68.9 cm2(~64.6% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-dl5-lte.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Dash L5 LTE,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,Black,"1, 2, 3, 4, 7, 12, 17, 28",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,145 x 73.6 x 10.5 mm (5.71 x 2.90 x 0.41 in)
eMMC 5.0,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,,"Li-Po 1700 mAh, removable",,Up to 18 h (2G) / Up to 15 h (3G),720p@30fps,,Mali-T720,microSDXC,Mediatek MT6737 (28 nm),,,,GSM / HSPA / LTE,"2017, December. Released 2017, December",IPS LCD,Android 7.0 (Nougat),2 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.1 GHz Cortex-A53,,,Up to 500 h (2G) / Up to 550 h (3G),123 g (4.34 oz),,Dual SIM (Mini-SIM/Micro-SIM),8GB 1GB RAM,5 MP,,"4.0 inches, 45.5 cm2(~56.0% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-dl4-lte.jpg,microUSB 2.0,Accelerometer,,BLU Dash L4 LTE,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Gold","2, 4, 5, 7, 12, 17",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,126.8 x 64.1 x 10.5 mm (4.99 x 2.52 x 0.41 in)
,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,,"Li-Po 2800 mAh, removable",,Up to 26 h (2G) / Up to 18 h (3G),1080p@30fps,,Mali-400MP2,microSDXC,Mediatek MT6580 (28 nm),,,,GSM / HSPA,"2017, November. Released 2017, November",IPS LCD,Android 7.0 (Nougat),8 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 600 h (2G) / Up to 550 h (3G),170 g (6.00 oz),,"Dual SIM (Micro-SIM, dual stand-by)",16GB 1GB RAM,"13 MP, 1/4.0"", 1.12µm",,"5.5 inches, 83.4 cm2(~68.7% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-g55-hd2.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Grand 5.5 HD II,HSDPA 850 / 1700(AWS) / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Gold, Rose Gold",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, HDR",155.2 x 78.2 x 8.4 mm (6.11 x 3.08 x 0.33 in)
,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,,,"Li-Po 5000 mAh, non-removable",,Up to 72 h (2G) / Up to 48 h (3G),1080p@30fps,,Mali-T720,microSDXC,Mediatek MT6753 (28 nm),,,,GSM / HSPA / LTE,"2017, November. Released 2017, November",IPS LCD,Android 7.0 (Nougat),13 MP,LED flash,,BLU,,,,,FM radio,Octa-core 1.3 GHz,,,Up to 720 h (2G) / Up to 720 h (3G),182 g (6.42 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,"13 MP, 1/3.1"", 1.12µm",,"5.5 inches, 83.4 cm2(~71.9% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-l1x3.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU Life One X3,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,Black,"1, 2, 3, 4, 7, 12, 17, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, HDR",154 x 75.3 x 8.9 mm (6.06 x 2.96 x 0.35 in)
,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,,,"Li-Po 3000 mAh, non-removable",,Up to 26 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-T720,microSDXC,Mediatek MT6753 (28 nm),,,,GSM / HSPA / LTE,"2017, November. Released 2017, November",IPS LCD,Android 7.0 (Nougat),13 MP,dual-LED dual-tone flash,,BLU,,,,,FM radio,Octa-core 1.3 GHz,,,Up to 725 h (2G) / Up to 625 h (3G),167 g (5.89 oz),,Dual SIM (Micro-SIM),32GB 3GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",,"5.5 inches, 83.4 cm2(~69.6% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-r2p.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,BLU R2 Plus,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Gold","1, 2, 3, 4, 7, 12, 17, 28",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Dual-LED dual-tone flash, HDR",155.7 x 77 x 9.2 mm (6.13 x 3.03 x 0.36 in)
,,"480 x 854 pixels, 16:9 ratio (~188 ppi density)",,,,"Li-Po 2050 mAh, non-removable",,Up to 24 h (2G) / Up to 15 h (3G),1080p@30fps,,Mali-400MP2,microSDXC,Mediatek MT6580 (28 nm),,,,GSM / HSPA,"2017, October. Released 2017, October",IPS LCD,Android 7.0 (Nougat),5 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 600 h (2G) / Up to 500 h (3G),161 g (5.68 oz),,"Dual SIM (Micro-SIM, dual stand-by)",8GB 1GB RAM,5 MP,,"5.2 inches, 74.5 cm2(~67.2% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-sg3.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Studio G3,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Gold, Silver",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,149.2 x 74.3 x 9.9 mm (5.87 x 2.93 x 0.39 in)
HSDPA 850 / 900 / 1900 / 2100 - LL,,"480 x 854 pixels, 16:9 ratio (~188 ppi density)",,,,"Li-Po 2600 mAh, non-removable",,Up to 22 h (2G) / Up to 16 h (3G),1080p@30fps,eMMC 5.0,Mali-T720,microSDXC,Mediatek MT6737 (28 nm),,,,GSM / HSPA / LTE,"2017, October. Released 2017, October",IPS LCD,Android 7.0 (Nougat),5 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.1 GHz Cortex-A53,,,Up to 725 h (2G) / Up to 625 h (3G),160 g (5.64 oz),,Nano-SIM + Nano-SIM,8GB 1GB RAM,5 MP,,"5.2 inches, 74.5 cm2(~71.3% screen-to-body ratio)",Yes,"3, 4, 5, 7, 28 - LL",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-gm2.jpg,microUSB 2.0,Accelerometer,,BLU Grand M2 LTE,HSDPA 850 / 1700(AWS) / 1900 / 2100 - UU,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Gold, Silver, Rose Gold","2, 4, 5, 7, 12, 17 - UU",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,144.9 x 72.1 x 9.4 mm (5.70 x 2.84 x 0.37 in)
HSDPA 900 / 2100 - EE,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,,"Li-Po 2000 mAh, non-removable",,Up to 24 h (2G) / Up to 14 h (3G),720p@30fps,eMMC 5.0,Mali-T720,microSDXC,Mediatek MT6737 (28 nm),,,,GSM / HSPA / LTE,"2017, November. Released 2017, November",IPS LCD,Android 6.0 (Marshmallow),3.15 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.1 GHz Cortex-A53,,,Up to 600 h (2G) / Up to 500 h (3G),176 g (6.21 oz),,Dual SIM (Micro-SIM),8GB 1GB RAM,5 MP,,"5.0 inches, 68.9 cm2(~65.2% screen-to-body ratio)",Yes,"1, 3, 7, 20 - EE",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-c5lte.jpg,microUSB 2.0,Proximity,,BLU C5 LTE,HSDPA 850 / 1700(AWS) / 1900 / 2100 - UU,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Gold","2, 4, 5, 7, 12, 17 - UU",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,144.4 x 73.2 x 10 mm (5.69 x 2.88 x 0.39 in)
HSDPA 850 / 900 / 1900 / 2100 - G190EQ,,"480 x 854 pixels, 16:9 ratio (~188 ppi density)",,,,"Li-Po 2600 mAh, non-removable",,Up to 22 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-400MP2,microSDXC,Mediatek MT6580 (28 nm),,,,GSM / HSPA,"2017, October. Released 2017, October",IPS LCD,Android 7.0 (Nougat),5 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 725 h (2G) / Up to 625 h (3G),160 g (5.64 oz),,Nano-SIM + Nano-SIM,8GB 1GB RAM,5 MP,,"5.2 inches, 74.5 cm2(~71.3% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-grand-m2.jpg,microUSB 2.0,Accelerometer,,BLU Grand M2,HSDPA 850 / 1700(AWS) / 1900 / 2100 - G190Q,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Gold, Silver, Red, Rose Gold",,Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,144.9 x 72.1 x 9.4 mm (5.70 x 2.84 x 0.37 in)
,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,,Li-Po 2000 mAh battery,,Up to 24 h (2G) / Up to 15 h (3G),720p@30fps,,Mali-400,microSDXC,Mediatek MT6570 (28 nm),,,,GSM / HSPA,"2017, October. Released 2017, October",IPS LCD,Android 6.0 (Marshmallow),3.15 MP,LED flash,,BLU,,,,,FM radio,Dual-core 1.3 GHz Cortex-A7,,,Up to 600 h (2G) / Up to 500 h (3G),172 g (6.07 oz),,Dual SIM (Micro-SIM),8GB 512MB RAM,5 MP,,"5.0 inches, 68.9 cm2(~65.2% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-c5-3g.jpg,microUSB 2.0,Proximity,,BLU C5 (2017),HSDPA 850 / 1700(AWS) / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Gold, Silver, Rose Gold",,Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,144.4 x 73.2 x 10 mm (5.69 x 2.88 x 0.39 in)
eMMC 5.1,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,,,"Li-Po 2800 mAh, non-removable",,Up to 24 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-T860MP2,microSDXC (dedicated slot),Mediatek MT6750 (28 nm),,,,GSM / HSPA / LTE,"2017, September. Released 2017, September",IPS LCD,Android 7.0 (Nougat),5 MP,,,BLU,,,,,FM radio,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,Up to 600 h (2G) / Up to 550 h (3G),137 g (4.83 oz),,Nano-SIM,16GB 2GB RAM,13 MP,,"5.2 inches, 74.5 cm2(~69.5% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-s1.jpg,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",,BLU S1,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"4.0, A2DP",,"Black, Gold","2, 3, 4, 5, 7, 12, 17, 25, 26, 41",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,147.3 x 72.8 x 8.4 mm (5.80 x 2.87 x 0.33 in)
eMMC 5.0,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,,"Li-Po 3200 mAh, non-removable",,Up to 24 h (2G) / Up to 18 h (3G),1080p@30fps,,Mali-T720,microSDXC,Mediatek MT6737 (28 nm),,,,GSM / HSPA / LTE,"2017, August. Released 2017, August",IPS LCD,Android 7.0 (Nougat),8 MP,LED flash,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A53,,,Up to 700 h (2G) / Up to 600 h (3G),182 g (6.42 oz),,Nano-SIM + Nano-SIM,"8GB 1GB RAM, 16GB 2GB RAM","13 MP, 1/4.0"", AF",,"5.5 inches, 83.4 cm2(~67.1% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-gxllte.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Grand XL LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Gold, Rose Gold, Silver","1, 2, 3, 4, 7, 12, 17, 28",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,157.6 x 78.8 x 8.5 mm (6.20 x 3.10 x 0.33 in)
,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,,"Li-Po 2800 mAh, non-removable",,Up to 9 h (3G),720p@30fps,,Mali-400,microSDXC,Mediatek MT8321 (28 nm),,,,GSM / HSPA,"2017, July. Released 2017, July",IPS LCD,Android 6.0 (Marshmallow),2 MP,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 190 h (3G),265 g (9.35 oz),,Dual SIM (Micro-SIM),8GB 1GB RAM,3.15 MP,,"7.0 inches, 137.9 cm2(~68.3% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-tm7.jpg,"microUSB 2.0, OTG",Accelerometer,,BLU Touchbook M7,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.1, A2DP, LE",,"Black, White",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,187.7 x 107.5 x 9.7 mm (7.39 x 4.23 x 0.38 in)
,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,"Li-Po 2000 mAh, removable",,Up to 24 h (2G) / Up to 12 h (3G),1080p@30fps,,Mali-400MP2,microSDXC,Mediatek MT6580 (28 nm),,,,GSM / HSPA,"2017, August. Released 2017, August",IPS LCD,Android 7.0 (Nougat),,LED flash,,BLU,,,,,No,Quad-core 1.3 GHz Cortex-A7,,,Up to 650 h (2G) / Up to 550 h (3G),151 g (5.33 oz),,Dual SIM (Micro-SIM),8GB 1GB RAM,5 MP,,"5.0 inches, 68.9 cm2(~65.7% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-sp.jpg,microUSB 2.0,Accelerometer,,BLU Studio Pro,HSDPA 850 / 900 / 1700 / 1900 / 2100 - S750P,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP","8 MP, AF2 MP, (depth)","Black, Gray, Gold, Rose Gold",,Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Dual-LED flash,144.1 x 72.8 x 9.9 mm (5.67 x 2.87 x 0.39 in)
,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,,"Li-Po 1700 mAh, removable",,Up to 30 h (2G) / Up to 18 h (3G),720p@30fps,,Mali-400,microSDXC,Mediatek MT6570 (28 nm),,,,GSM / HSPA,"2017, August. Released 2017, August",IPS LCD,Android 6.0 (Marshmallow),2 MP,LED flash,,BLU,,,,,No,Dual-core 1.3 GHz Cortex-A7,,,Up to 725 h (2G) / Up to 625 h (3G),121 g (4.27 oz),,Dual SIM (Micro-SIM),8GB 512MB RAM,5 MP,,"4.5 inches, 55.8 cm2(~61.6% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-sgm1.jpg,microUSB 2.0,Accelerometer,,BLU Studio G Mini,HSDPA 850 / 1700 / 1900 / 2100 - S210Q,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Blue & White",,Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,133.6 x 67.8 x 10 mm (5.26 x 2.67 x 0.39 in)
