,Triple,Resolution,Games,Price,Phonebook,Type_1,Call records,Talk time,Video,_2,GPU,Card slot,Chipset,Java,Infrared port,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Music play,Brand,5G bands,Dual_1,Protection,Browser,Radio,CPU,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,Models,Keyboard,2G bands,Messaging,Features,Dimensions
eMMC 5.1,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,About 50 EUR,,"Li-Ion 2000 mAh, removable",,,720p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2022, July",IPS LCD,Android 11 (Go edition),,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A53,720p@30fps,,,149 g (5.26 oz),,Nano-SIM + Nano-SIM,32GB 1GB RAM,2 MP,,"5.0 inches, 68.9 cm2(~65.6% screen-to-body ratio)",Yes,,"Available. Released 2022, July",https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x5.jpg,microUSB 2.0,Accelerometer,,BLU Studio X5,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.2, A2DP",5 MPSecondary unspecified camera,"Green, Bronze, Black, Blue","2, 3, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,145 x 72.4 x 10.1 mm (5.71 x 2.85 x 0.40 in)
eMMC 5.1,,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",,About 100 EUR,,"Li-Ion 3000 mAh, removable",,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2022, June",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Quad-core 2.0 GHz Cortex-A75,1080p@30fps,,,203 g (7.16 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,8 MP,,"6.0 inches, 92.9 cm2(~72.2% screen-to-body ratio)",Yes,,"Available. Released 2022, June",https://fdn2.gsmarena.com/vv/bigpic/blu-g40.jpg,microUSB 2.0,Accelerometer,,BLU G40,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",13 MP0.3 MP,"Black, Blue, Green, Cyan, Teal, White","2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",163.4 x 78.8 x 10.8 mm (6.43 x 3.10 x 0.43 in)
,,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",,About 230 EUR,,Li-Po 4200 mAh,,,1080p@30fps,,Mali-G57 MC2,Unspecified,Mediatek Dimensity 810 (6 nm),,,"30W wired, 50% in 20 min",GSM / HSPA / LTE / 5G,"2022, August 11",AMOLED,Android 11,,,,BLU,"2, 5, 25, 41, 66, 71, 77 SA/NSA",,Corning Gorilla Glass 5,,FM radio,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),1080p@30fps,,,180 g (6.35 oz),,Nano-SIM + Nano-SIM,256GB 8GB RAM,,,"6.6 inches, 106.9 cm2(~90.9% screen-to-body ratio)",No,,"Available. Released 2022, August 11",https://fdn2.gsmarena.com/vv/bigpic/blu-bold-n2-new.jpg,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,BLU Bold N2,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA, LTE (CA), 5G",Yes,"5.1, A2DP, LE","16 MP, (wide)2 MP, (depth)",Cyprus Teal,"2, 4, 5, 12, 13, 17, 25, 26, 41, 66, 71","Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",GPS,No,"64 MP, (wide), PDAF5 MP, f/2.4, 115˚ (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,,"Dual-LED flash, HDR, panorama",158.7 x 74.1 x 8.6 mm (6.25 x 2.92 x 0.34 in)
,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,About 50 EUR,,"Li-Ion 2000 mAh, removable",,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2022, July",IPS LCD,Android 11 (Go edition),5 MP,,,BLU,,,,,FM radio,Quad-core (4x1.4 GHz Cortex-A53),720p@30fps,,,175 g (6.17 oz),,Nano-SIM + Nano-SIM,32GB 1GB RAM,8 MP,,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",Yes,,"Available. Released 2022, July",https://fdn2.gsmarena.com/vv/bigpic/blu-studiox10l-2022.jpg,microUSB 2.0,Accelerometer,,BLU Studio X10L 2022,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP",,"Black, Blue, Green, Red","2, 3, 4, 5, 7, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,145.9 x 73.5 x 9.8 mm (5.74 x 2.89 x 0.39 in)
,"50 MP, f/1.8 (wide), 0.7µm, PDAF2 MP, f/2.4, 115º (ultrawide)0.8 MP, f/2.4, (depth)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 180 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6765V/CB Helio G37 (12 nm),,,,GSM / HSPA / LTE,"2022, July",IPS LCD,Android 12,,,,BLU,,,,,FM radio,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),1080p@30fps,,,202 g (7.13 oz),,Nano-SIM + Nano-SIM,128GB 4GB RAM,13 MP,,"6.5 inches, 102.0 cm2(~81.5% screen-to-body ratio)",Yes,,"Available. Released 2022, July",https://fdn2.gsmarena.com/vv/bigpic/blu-s91pro.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity, compass",,BLU S91 Pro,HSDPA 850 / 900 / 1700 / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"Black, Mint Green","1, 2, 3, 4, 5, 7, 12, 13, 17, 28, 66","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"Dual-LED flash, HDR, panorama",164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in)
eMMC 5.1,,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,About 50 EUR,,Li-Ion 3000 mAh,,,720p@30fps,,Mali-400,microSDXC,,,,,GSM / HSPA,"2022, July 07",IPS LCD,Android 11 (Go edition),5 MP,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,720p@30fps,,,161 g (5.68 oz),,Nano-SIM + Nano-SIM,32GB 1GB RAM,8 MP,,"6.1 inches, 91.3 cm2(~81.5% screen-to-body ratio)",Yes,,"Available. Released 2022, July 07",https://fdn2.gsmarena.com/vv/bigpic/blu-j6s.jpg,microUSB 2.0,"Fingerprint (rear-mounted), proximity, gyro",,BLU J6S,HSDPA 850 / 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.2, A2DP",,"Blue, Bronze, Teal, White",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,152.9 x 73.3 x 9.7 mm (6.02 x 2.89 x 0.38 in)
eMMC 5.1,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 60 EUR,,Li-Ion 4000 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA,"2022, July 07",IPS LCD,Android 11 (Go edition),,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,720p@30fps,,,203 g (7.16 oz),,Nano-SIM + Nano-SIM,32GB 1GB RAM,8 MP,,"6.5 inches, 102.0 cm2(~80.3% screen-to-body ratio)",Yes,,"Available. Released 2022, July 07",https://fdn2.gsmarena.com/vv/bigpic/blu-c7x.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",,BLU C7X,HSDPA 850 / 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.2, A2DP","8 MP0.3 MP, (depth)","Brown, Cyan, Dark Blue, Mint Green, Red",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,165.6 x 76.7 x 9.8 mm (6.52 x 3.02 x 0.39 in)
,"13 MP, (wide), PDAF0.3 MP, f/2.4, (macro)0.3 MP, f/2.4, (depth)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 170 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6762G Helio G25 (12 nm),,,,GSM / HSPA / LTE,"2022, June 24",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),1080p@30fps,,,202 g (7.13 oz),,Nano-SIM + Nano-SIM,128GB 4GB RAM,13 MP,,"6.5 inches, 102.0 cm2(~81.1% screen-to-body ratio)",Yes,,"Available. Released 2022, June 24",https://fdn2.gsmarena.com/vv/bigpic/blu-s91.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BLU S91,HSDPA 850 / 900 / 1700 / 1900 / 2100,"HSPA, LTE",Yes,"5.0, A2DP, LE",,"Black, Green","1, 2, 3, 4, 5, 7, 12, 13, 17, 28, 66","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",164.8 x 76.3 x 8.9 mm (6.49 x 3.00 x 0.35 in)
eMMC 5.1,,"720 x 1520 pixels, 19:9 ratio (~276 ppi density)",,,,Li-Po 3000 mAh,,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6761 Helio A22 (12 nm),,,,GSM / HSPA / LTE,"2022, June 03",IPS LCD,Android 11 (Go edition),,,,BLU,,,,,FM radio,Quad-core 2.0 GHz Cortex-A53,720p@30fps,,,166 g (5.86 oz),,Nano-SIM + Nano-SIM,32GB 2GB RAM,8 MP,,"6.1 inches, 92.9 cm2(~81.4% screen-to-body ratio)",Yes,,"Available. Released 2022, June 03",https://fdn2.gsmarena.com/vv/bigpic/blu-g51.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G51,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",8 MP0.3 MP (depth),"Black, Blue, Green, Silver, Gold","2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",155.3 x 73.5 x 9.5 mm (6.11 x 2.89 x 0.37 in)
eMMC 5.1,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,,Li-Po 5000 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2022, April",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Octa-core 2.0 GHz Cortex-A75,1080p@30fps,,,164 g (5.78 oz),,Nano-SIM + Nano-SIM,64GB 4GB RAM,8 MP,,"6.5 inches, 102.0 cm2(~83.6% screen-to-body ratio)",Yes,,"Available. Released 2022, April",https://fdn2.gsmarena.com/vv/bigpic/blu-g61s.jpg,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, proximity",,BLU G61s,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE","13 MP0.3 MP, (depth)","Bronze, Red, Green, Cyan, Black","2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,159.5 x 76.5 x 9.8 mm (6.28 x 3.01 x 0.39 in)
eMMC 5.1,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 100 EUR,,Li-Po 4000 mAh,,,1080p@30fps,,,microSDXC,,,,10W wired,GSM / HSPA / LTE,"2022, April",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Quad-core 2.0 GHz Cortex-A75,1080p@30fps,,,188 g (6.63 oz),,Nano-SIM + Nano-SIM,32GB 3GB RAM,8 MP,,"6.5 inches, 102.0 cm2(~90.1% screen-to-body ratio)",Yes,,"Available. Released 2022, April",https://fdn2.gsmarena.com/vv/bigpic/glu-g50-mega-2022.jpg,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G50 Mega 2022,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE","12 MP, f/2.2, 1.25µm, AF12 MP, f/2.2, 1.25µm, AF","Black, Blue, Red, Green","2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",156.1 x 72.5 x 9.3 mm (6.15 x 2.85 x 0.37 in)
