,Brand,SAR EU,3.5mm jack,_1,CPU,Weight,Phonebook,Price,NFC,Positioning,Speed,Resolution,Games,Talk time,Size,Status,GPU,Technology,Colors,WLAN,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Bluetooth,OS,USB,Single_1,SAR,Keyboard,Java,EDGE,Sensors,Video,Dimensions,Features,Single,Browser,_2,Internal,Music play,Call records,_3,Loudspeaker,Card slot,Model Image,Radio
,Spice,0.92 W/kg (head),Yes,,Quad-core 1.3 GHz Cortex-A7,120 g (4.23 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Up to 4 h 30 min,"5.0 inches, 68.9 cm2(~60.1% screen-to-body ratio)",Discontinued,Mali-400MP2,GSM / HSPA,White,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",Up to 170 h,HSDPA 2100,"2014, May. Released 2014, May",,Spice Stellar 509 (Mi-509),,,Li-Ion 2000 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,Mediatek MT6582M (28 nm),"3.0, A2DP",Android 4.4.2 (KitKat),microUSB 2.0,2 MP,,,,,"Accelerometer, proximity",720p@30fps,145 x 79 x 9.5 mm (5.71 x 3.11 x 0.37 in),"LED flash, panorama, HDR","8 MP, AF",,,4GB 1GB RAM,Up to 30 h,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-509.jpg,FM radio
,Spice,0.44 W/kg (head),Yes,,Quad-core 1.3 GHz Cortex-A7,189 g (6.67 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"540 x 960 pixels, 16:9 ratio (~184 ppi density)",,Up to 18 h,"6.0 inches, 99.2 cm2",Discontinued,Mali-400MP2,GSM / HSPA,White,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",Up to 100 h,HSDPA 2100,"2014, July. Released 2014, July",,Spice Stellar 600 (Mi-600),,,Li-Po 2500 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),IPS LCD,Mediatek MT6582M (28 nm),"3.0, A2DP",Android 4.4.2 (KitKat),microUSB 2.0,3.15 MP,,,,,"Accelerometer, proximity",720p@30fps,,"LED flash, panorama, HDR","8 MP, AF",,,4GB 1GB RAM,Up to 35 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-600.jpg,FM radio
,Spice,0.44 W/kg (head),Yes,,Hexa-core 1.5 GHz Cortex-A7,210 g (7.41 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Up to 9 h,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",Discontinued,Mali-450MP4,GSM / HSPA,"White, Silver","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",Up to 280 h,HSDPA 2100,"2014, July. Released 2014, July",,Spice Stellar 526 (Mi-526),,,Li-Po 2500 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),TFT,Mediatek MT6591,"4.0, A2DP, EDR",Android 4.4.2 (KitKat),"microUSB 2.0, OTG",3.15 MP,,,,,"Accelerometer, proximity",1080p@30fps,143.6 x 71.7 x 8.3 mm (5.65 x 2.82 x 0.33 in),"LED flash, panorama, HDR","8 MP, AF",,,8GB 1GB RAM,Up to 35 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-526.jpg,FM radio
,Spice,0.82 W/kg (head),Yes,,Quad-core 1.3 GHz Cortex-A7,156 g (5.50 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Up to 4 h,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Discontinued,Mali-400MP2,GSM / HSPA,Red/Yellow,"Wi-Fi 802.11 b/g/n, hotspot",Up to 200 h,HSDPA 2100,"2014, July. Released 2014, July",,Spice Stellar 520 (Mi-520),,,Li-Ion 2000 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,Mediatek MT6582 (28 nm),"3.0, A2DP, EDR",Android 4.4.2 (KitKat),microUSB 2.0,2 MP,,,,,"Accelerometer, proximity",Yes,145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),"LED flash, panorama, HDR","8 MP, AF",,,4GB 1GB RAM,Up to 20 h,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-520.jpg,FM radio
,Spice,0.82 W/kg (head),Yes,,Quad-core 1.3 GHz Cortex-A7,156 g (5.50 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Up to 4 h,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Discontinued,Mali-400MP2,GSM / HSPA,Red/Yellow,"Wi-Fi 802.11 b/g/n, hotspot",Up to 200 h,HSDPA 2100,"2014, December. Released 2014, December",,Spice Stellar 520n (Mi-520n),,,Li-Ion 2000 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,IPS LCD,Mediatek MT6582 (28 nm),"3.0, A2DP, EDR",Android 4.4.2 (KitKat),microUSB 2.0,2 MP,,,,,"Accelerometer, proximity",Yes,145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),"LED flash, panorama, HDR","8 MP, AF",,,8GB 1GB RAM,Up to 20 h,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-520n.jpg,FM radio
,Spice,0.58 W/kg (head),Yes,,Dual-core 1.0 GHz Cortex-A7,119 g (4.20 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 8 h,"4.0 inches, 45.5 cm2(~55.9% screen-to-body ratio)",Discontinued,Mali-400,GSM / HSPA,Gray,"Wi-Fi 802.11 b/g/n, hotspot",Up to 72 h,HSDPA 2100,"2014, December. Released 2014, December",,Spice Stellar 440 (Mi-440),,,Li-Ion 1400 mAh battery,GSM 900 / 1800,Mini-SIM,"TFT, 256K colors",Mediatek MT6572 (28 nm),"2.0, A2DP",Android 4.4.2 (KitKat),microUSB 2.0,1.3 MP,,,,,Accelerometer,480p@25fps,127.6 x 63.8 x 11.5 mm (5.02 x 2.51 x 0.45 in),LED flash,3.15 MP,,,4GB 512MB RAM,Up to 15 h,,,"Yes, dual speakers",microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-440.jpg,FM radio
,Spice,0.89 W/kg (head),Yes,,Quad-core 1.3 GHz Cortex-A7,140 g (4.94 oz),,,No,GPS,HSPA 21.1/5.76 Mbps,"540 x 960 pixels, 16:9 ratio (~234 ppi density)",,Up to 4 h,"4.7 inches, 60.9 cm2(~64.4% screen-to-body ratio)",Discontinued,Mali-400MP2,GSM / HSPA,"Black, Blue","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",Up to 120 h,HSDPA 2100,"2014, October. Released 2014, October",,Spice Stellar 470 (Mi-470),,,Li-Ion 1500 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM/ Micro-SIM),TFT,Mediatek MT6582 (28 nm),"4.0, A2DP, EDR",Android 4.4.2 (KitKat),"microUSB 2.0, OTG",3.2 MP,,,,,"Accelerometer, proximity",1080p@30fps,137.8 x 68.6 x 7.9 mm (5.43 x 2.70 x 0.31 in),"LED flash, panorama, HDR","8 MP, AF",,,8GB 1GB RAM,Up to 22 h,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-470.jpg,FM radio
,Spice,,Yes,,,156 g (5.50 oz),,,No,A-GPS only,HSPA,"480 x 854 pixels, 16:9 ratio",,Up to 5 h 30 min,", -",Discontinued,,GSM / HSPA,"White, Gray",Wi-Fi 802.11 b/g/n,Up to 60 h,HSDPA 2100,2014. Released 2014,,Spice Mi-449 3G,,,Li-Ion 1450 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,TFT,,2.0,Android 4.4 (KitKat),microUSB,1.3 MP,,,,,Accelerometer,Yes,134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in),,3.15 MP,,,,,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/Mi-449-3G.jpg,FM radio
,Spice,,Yes,,,156 g (5.50 oz),,,No,A-GPS only,HSPA,"480 x 854 pixels, 16:9 ratio",,Up to 5 h 30 min,", -",Discontinued,,GSM / HSPA,"White, Gray",Wi-Fi 802.11 b/g/n,Up to 60 h,HSDPA 2100,2014. Released 2014,,Spice Mi-451 3G,,,Li-Ion 1450 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,TFT,,2.0,Android 4.4 (KitKat),microUSB,1.3 MP,,,,,Accelerometer,Yes,134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in),,3.15 MP,,,,,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/Mi-451-3G.jpg,FM radio
,Spice,,Yes,,Quad-core 1.3 GHz Cortex-A7,107 g (3.77 oz),,About 90 EUR,No,GPS,HSPA 21.1/5.76 Mbps,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Up to 17 h,"4.5 inches, 55.8 cm2(~63.1% screen-to-body ratio)",Discontinued,Mali-400MP2,GSM / HSPA,"Black, White","Wi-Fi 802.11 b/g/n, hotspot",Up to 160 h,HSDPA 850 / 2100,"2014, September. Released 2014, September",,Spice Mi-498 Dream Uno,,,"Li-Ion 1700 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM,TFT,Mediatek MT6582 (28 nm),2.1,"Android 4.4.4 (KitKat), upgradable to 5.1.1 (Lollipop), Android One",microUSB 2.0,2 MP,,,,,"Accelerometer, proximity",Yes,132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in),LED flash,"5 MP, AF",,,4GB 1GB RAM,,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-498.jpg,FM radio
