,Brand,SAR EU,3.5mm jack,_1,CPU,Weight,Phonebook,Price,NFC,Positioning,Speed,Resolution,Games,Talk time,Size,Status,GPU,Technology,Colors,WLAN,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Bluetooth,OS,USB,Single_1,SAR,Keyboard,Java,EDGE,Sensors,Video,Dimensions,Features,Single,Browser,_2,Internal,Music play,Call records,_3,Loudspeaker,Card slot,Model Image,Radio
,Spice,,Yes,,,177 g (6.24 oz),,About 80 EUR,No,GPS,HSPA,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Up to 7 h 30 min,"5.0 inches, 68.9 cm2(~65.2% screen-to-body ratio)",Discontinued,,GSM / HSPA,White/Silver,Wi-Fi 802.11 b/g/n,Up to 200 h,HSDPA 2100,"2014, March. Released 2014, March",,Spice Mi-506 Stellar Mettle Icon,,,"Li-Ion 1800 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,"4.0, A2DP",Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,,Accelerometer,Yes,145 x 72.9 x 9.6 mm (5.71 x 2.87 x 0.38 in),LED flash,8 MP,,,,,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-506.jpg,FM radio
,Spice,,Yes,,,112 g (3.95 oz),,About 40 EUR,No,A-GPS only,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 7 h 30 min,"3.5 inches, 36.5 cm2(~48.3% screen-to-body ratio)",Discontinued,,GSM,Silver,Wi-Fi 802.11 b/g/n,Up to 120 h,,"2014, January. Released 2014, January",,Spice Mi-356 Smart Flo Mettle 3.5X,Class 12,,Li-Ion 1500 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,2.0,Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,Class 12,Accelerometer,Yes,119.9 x 63 x 11.5 mm (4.72 x 2.48 x 0.45 in),,2 MP,,,,,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-356.jpg,FM radio
,Spice,,Yes,,,122 g (4.30 oz),,About 50 EUR,No,GPS,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 6 h,"4.0 inches, 45.5 cm2(~65.5% screen-to-body ratio)",Discontinued,,GSM,Silver,Wi-Fi 802.11 b/g/n,Up to 250 h,,"2014, January. Released 2014, January",,Spice Mi-426 Smart Flo Mettle 4.0X,Class 12,,Li-Ion 1400 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,2.0,Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,Class 12,Accelerometer,Yes,119.9 x 58 x 10.8 mm (4.72 x 2.28 x 0.43 in),,2 MP,,,,,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-426.jpg,FM radio
,Spice,,Yes,,,155 g (5.47 oz),,About 60 EUR,No,GPS,HSPA,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 4 h 30 min,"4.0 inches, 45.5 cm2(~39.8% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black/White,Wi-Fi 802.11 b/g/n,Up to 170 h,HSDPA 2100,"2014, April. Released 2014, June",,Spice Mi-438 Stellar Glide,,,Li-Ion 1350 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,"4.0, A2DP",Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,,Accelerometer,Yes,145 x 79 x 9.5 mm (5.71 x 3.11 x 0.37 in),,2 MP,,,,,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-438.jpg,FM radio
,Spice,,Yes,,,190 g (6.70 oz),,About 80 EUR,No,GPS,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Up to 5 h 30 min,"5.0 inches, 68.9 cm2(~58.8% screen-to-body ratio)",Discontinued,,GSM,White,Wi-Fi 802.11 b/g/n,,,"2014, February. Released 2014, February",,Spice Mi-504 Smart Flo Mettle 5X,Class 12,,"Li-Ion 1800 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,2.0,Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,Class 12,Accelerometer,Yes,148.5 x 78.9 x 10.4 mm (5.85 x 3.11 x 0.41 in),LED flash,8 MP,,,,,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-504.jpg,FM radio
,Spice,,Yes,,,156 g (5.50 oz),,About 60 EUR,No,A-GPS only,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Up to 5 h 30 min,"4.5 inches, 55.8 cm2(~59.7% screen-to-body ratio)",Discontinued,,GSM,White,Wi-Fi 802.11 b/g/n,,,"2014, February. Released 2014, June",,Spice Mi-451 Smartflo Poise,Class 12,,"Li-Ion 1450 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),IPS LCD,,"4.0, A2DP",Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,Class 32,Accelerometer,Yes,134.5 x 69.5 x 8.7 mm (5.30 x 2.74 x 0.34 in),,3.15 MP,,,,,,,Yes,microSDHC,https://fdn2.gsmarena.com/vv/bigpic/spice-451.jpg,FM radio
No,Spice,,Yes,,Quad-core 1.2 GHz Cortex-A7,-,,About 110 EUR,No,A-GPS,HSPA,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",,,"4.5 inches, 55.8 cm2",Discontinued,PowerVR SGX544,GSM / HSPA,White,Wi-Fi 802.11 b/g/n,,HSDPA 2100,"2013, November. Released 2013, November",,Spice Mi-496 Spice Coolpad 2,,,Li-Ion 1700 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,TFT,Mediatek MT6589 (28 nm),Yes,Android 4.1 (Jelly Bean),microUSB,,,,,,"Accelerometer, proximity",Yes,-,LED flash,"5 MP, AF",,,4GB 1GB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-coolpad-2-mi-496.jpg,FM radio
,Spice,,Yes,,Dual-core 1.0 GHz,-,,About 50 EUR,No,No,,"320 x 480 pixels, 3:2 ratio (~144 ppi density)",,Up to 8 h,"4.0 inches, 47.6 cm2(~55.0% screen-to-body ratio)",Discontinued,,GSM,White,Wi-Fi 802.11 b/g/n,Up to 120 h,,"2013, September. Released 2013, September",,Spice Mi-423 Smart Flo Ivory 2,Yes,,Li-Ion 1400 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,"TFT, 256K colors",,Yes,Android 4.2.2 (Jelly Bean),microUSB,1.3 MP,,,,Yes,Accelerometer,Yes,126.3 x 68.6 x 11.2 mm (4.97 x 2.70 x 0.44 in),,3.15 MP,,,512MB 256MB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-smart-flo-ivory-2-mi-423.jpg,FM radio
,Spice,,Yes,,1.0 GHz,-,,About 40 EUR,No,A-GPS only,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 8 h,"3.5 inches, 36.5 cm2(~49.5% screen-to-body ratio)",Discontinued,,GSM,White,Wi-Fi 802.11 b/g/n,Up to 120 h,,"2013, September. Released 2013, September",,Spice Mi-349 Smart Flo Edge,Yes,,Li-Ion 1500 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,"TFT, 256K colors",,Yes,Android 2.3.5 (Gingerbread),microUSB,VGA,,,,Yes,Accelerometer,Yes,117 x 63 x 12.3 mm (4.61 x 2.48 x 0.48 in),,1.3 MP,,,512MB 256MB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-smart-flo-edge-mi-349.jpg,FM radio
Stylus,Spice,,Yes,,,155 g (5.47 oz),,About 150 EUR,No,GPS,HSPA,"720 x 1280 pixels, 16:9 ratio",,Up to 9 h 40 min,", -",Discontinued,,GSM / HSPA,"Black, White",Wi-Fi 802.11 b/g/n,Up to 504 h,HSDPA 2100,"2013, September. Released 2013, September",,Spice Mi-550 Pinnacle Stylus,,,Li-Ion 2500 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,TFT,,"4.0, A2DP",Android 4.2 (Jelly Bean),microUSB,2 MP,,,,,"Accelerometer, proximity",Yes,160 x 79 x 9.5 mm (6.30 x 3.11 x 0.37 in),,"8 MP, AF",,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-550.jpg,FM radio
,Spice,,Yes,,,190 g (6.70 oz),,About 80 EUR,No,GPS,,"480 x 800 pixels, 5:3 ratio",,Up to 8 h 20 min,", -",Discontinued,,GSM,White. Blue,Wi-Fi 802.11 b/g/n,Up to 400 h,,"2013, September. Released 2013, September",,Spice Mi-502n Smart FLO Pace3,Class 12,,"Li-Ion 2100 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,TFT,,"4.0, A2DP",Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,Class 12,"Accelerometer, proximity",Yes,148.5 x 78.9 x 10.4 mm (5.85 x 3.11 x 0.41 in),,8 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-502n.jpg,FM radio
,Spice,,Yes,,,123.3 g (4.34 oz),,About 80 EUR,No,GPS,HSPA,"480 x 854 pixels, 16:9 ratio",,Up to 5 h,", -",Discontinued,,GSM / HSPA,"Black, White",Wi-Fi 802.11 b/g/n,Up to 350 h,HSDPA 2100,"2013, September. Released 2013, September",,Spice Mi-492 Stellar Virtuoso Pro+,,,"Li-Ion 1730 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,TFT,,"4.0, A2DP",Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,,"Accelerometer, proximity",Yes,133.8 x 68.2 x 10 mm (5.27 x 2.69 x 0.39 in),,5 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-virtuoso-pro-plus.jpg,FM radio
,Spice,,Yes,,,108 g (3.81 oz),,About 70 EUR,No,GPS,HSPA,"480 x 800 pixels, 5:3 ratio",,Up to 7 h,", -",Discontinued,,GSM / HSPA,Gray,Wi-Fi 802.11 b/g/n,Up to 400 h,HSDPA 2100,"2013, October. Released 2013, October",,Spice Mi-437 Stellar Nhance 2,,,Li-Ion 1400 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,TFT,,Yes,Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,,"Accelerometer, proximity",Yes,124.5 x 65.5 x 10.5 mm (4.90 x 2.58 x 0.41 in),,3.15 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-437.jpg,FM radio
,Spice,,Yes,,Dual-core 1.2 GHz Cortex-A7,100 g (3.53 oz),,About 70 EUR,No,GPS,HSPA,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 4 h 30 min,"4.0 inches, 45.5 cm2(~55.4% screen-to-body ratio)",Discontinued,Mali-400,GSM / HSPA,"Blue, Red/black",Wi-Fi 802.11 b/g/n,Up to 170 h,HSDPA 2100,"2013, August",,Spice Mi-436 Stellar Glamour,,,Li-Ion 1400 mAh battery,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM,TFT,Mediatek MT6572 (28 nm),3.0,Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,,"Accelerometer, proximity",Yes,125 x 65.8 x 11.5 mm (4.92 x 2.59 x 0.45 in),,5 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-436.jpg,FM radio
,Spice,,Yes,,Dual-core 1.0 GHz Cortex-A9,125 g (4.41 oz),,About 40 EUR,No,GPS,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 6 h,"3.5 inches, 36.5 cm2(~50.8% screen-to-body ratio)",Discontinued,PowerVR SGX531u,GSM,"Black/silver, White/silver",Wi-Fi 802.11 b/g/n,Up to 200 h,,"2013, August",,Spice Mi-354 Smartflo Space,Class 12,,Li-Ion 1450 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,TFT,Mediatek MT6517,3.0,Android 4.2 (Jelly Bean),microUSB,1.3 MP,,,,Class 12,"Accelerometer, proximity",Yes,118.2 x 60.8 x 12.4 mm (4.65 x 2.39 x 0.49 in),,3.15 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-354.jpg,FM radio
,Spice,0.91 W/kg (head),Yes,,Quad-core 1.5 GHz Cortex-A7,175 g (6.17 oz),,About 160 EUR,No,GPS,HSPA,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Up to 7 h,"5.0 inches, 68.9 cm2(~61.6% screen-to-body ratio)",Discontinued,PowerVR SGX544,GSM / HSPA,Black/White,"Wi-Fi 802.11 b/g/n, hotspot",Up to 362 h,HSDPA 2100,"2013, June. Released 2013, July",,Spice Mi-525 Pinnacle FHD,,,"Li-Ion 2100 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,IPS LCD,Mediatek MT6589 (28 nm),"4.0, A2DP",Android 4.2 (Jelly Bean),microUSB 2.0,2 MP,,,,,"Accelerometer, gyro, proximity",1080p@30fps,149.4 x 74.9 x 9.3 mm (5.88 x 2.95 x 0.37 in),Dual-LED flash,"8 MP, AF",,,8GB 1GB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-pinnacle-fhd-mi-525.jpg,FM radio
,Spice,0.37 W/kg (head),Yes,,Quad-core 1.2 GHz Cortex-A7,161 g (5.68 oz),,About 130 EUR,No,GPS,HSPA,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,,"5.0 inches, 68.9 cm2(~67.4% screen-to-body ratio)",Discontinued,PowerVR SGX544,GSM / HSPA,Black,Wi-Fi 802.11 b/g/n,,HSDPA 900 / 2100,"2013, June. Released 2013, June",,Spice Mi-515 Coolpad,,,"Li-Ion 2000 mAh, removable",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM,IPS LCD,Mediatek MT6589 (28 nm),3.0,Android 4.1 (Jelly Bean),microUSB 2.0,VGA,,,,,Accelerometer,Yes,140 x 73 x 9.9 mm (5.51 x 2.87 x 0.39 in),LED flash,"5 MP, AF",,,4GB 1GB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-515.jpg,FM radio
SRS audio,Spice,,Yes,,Quad-core 1.2 GHz Cortex-A7,176 g (6.21 oz),,About 220 EUR,No,GPS,HSPA,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Up to 6 h,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",Discontinued,PowerVR SGX544,GSM / HSPA,White,Wi-Fi 802.11 b/g/n,Up to 250 h,HSDPA 2100,"2013, June. Released 2013, July",,Spice Mi-510 Stellar Prime,,,"Li-Ion 2100 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,Mediatek MT6589 (28 nm),3.0,Android 4.2 (Jelly Bean),microUSB,3 MP,,,,,Accelerometer,Yes,145 x 74 x 9.9 mm (5.71 x 2.91 x 0.39 in),LED flash,8 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-510.jpg,FM radio
,Spice,,Yes,,Dual-core 1.0 GHz Cortex-A9,186 g (6.56 oz),,About 90 EUR,No,GPS,HSPA,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",,Up to 4 h 20 min,"5.0 inches, 71.2 cm2(~62.3% screen-to-body ratio)",Discontinued,PowerVR SGX531u,GSM / HSPA,White,Wi-Fi 802.11 b/g/n,Up to 200 h,HSDPA 900 / 2100,"2013, May. Released 2013, May",,Spice Mi-505 Stellar Horizon Pro,,,Li-Ion 2100 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,Mediatek MT6577 (40 nm),"4.0, A2DP",Android 4.0 (Ice Cream Sandwich),microUSB,1.3 MP,,,,,Accelerometer,Yes,148 x 77.2 x 9.6 mm (5.83 x 3.04 x 0.38 in),Dual-LED flash,5 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-505.jpg,FM radio
SRS audio,Spice,,Yes,,Dual-core 1.0 GHz Cortex-A9,143 g (5.04 oz),,About 80 EUR,No,A-GPS only,HSPA,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Up to 5 h,"4.5 inches, 55.8 cm2(~60.8% screen-to-body ratio)",Discontinued,PowerVR SGX531u,GSM / HSPA,Black,Wi-Fi 802.11 b/g/n,Up to 210 h,HSDPA 2100,"2013, June. Released 2013, July",,Spice Mi-491 Stellar Virtuoso Pro,,,Li-Ion 1700 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,Mediatek MT6577 (40 nm),3.0,Android 4.1 (Jelly Bean),microUSB,1.3 MP,,,,,Accelerometer,Yes,135 x 68 x 9.9 mm (5.31 x 2.68 x 0.39 in),,5 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-491.jpg,FM radio
,Spice,,Yes,,Dual-core 1.0 GHz Cortex-A9,130 g (4.59 oz),,About 70 EUR,No,A-GPS only,,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",,Up to 6 h,"4.5 inches, 57.6 cm2(~63.9% screen-to-body ratio)",Discontinued,PowerVR SGX531u,GSM,White,Wi-Fi 802.11 b/g/n,Up to 250 h,,"2013, May. Released 2013, May",,Spice Mi-450 Smartflo Ivory,Class 12,,Li-Ion 1500 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,Mediatek MT6517,Yes,Android 4.0 (Ice Cream Sandwich),microUSB,1.3 MP,,,,Class 12,Accelerometer,Yes,131.7 x 68.5 x 11.1 mm (5.19 x 2.70 x 0.44 in),LED flash,3.15 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-450.jpg,FM radio
,Spice,,Yes,,1.0 GHz Cortex-A9,90 g (3.17 oz),,About 50 EUR,No,A-GPS only,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 4 h 30 min,"4.0 inches, 45.5 cm2(~56.7% screen-to-body ratio)",Discontinued,PowerVR SGX531,GSM,White,Wi-Fi 802.11 b/g/n,Up to 190 h,,"2013, May. Released 2013, May",,Spice Mi-422 Smartflo Pace,Class 12,,"Li-Ion 1300 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,Mediatek MT6515,Yes,Android 4.0 (Ice Cream Sandwich),microUSB,1.3 MP,,,,Class 12,Accelerometer,Yes,126 x 63.8 x 10.9 mm (4.96 x 2.51 x 0.43 in),LED flash,3.15 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-422.jpg,FM radio
,Spice,,Yes,,,135 g (4.76 oz),,About 40 EUR,No,GPS,HSPA,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 3 h 30 min,"3.5 inches, 36.5 cm2(~46.1% screen-to-body ratio)",Discontinued,,GSM / HSPA,White,Wi-Fi 802.11 b/g/n,Up to 150 h,HSDPA 2100,"2013, May. Released 2013, May",,Spice Mi-353 Stellar Jazz,,,"Li-Ion 1500 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,3.0,Android 2.3 (Gingerbread),microUSB,1.3 MP,,,,,Accelerometer,Yes,124.1 x 63.7 x 13.6 mm (4.89 x 2.51 x 0.54 in),LED flash,3.15 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-353.jpg,FM radio
,Spice,,Yes,,,450 g (0.99 lb),,About 120 EUR,No,GPS,HSPA,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,Up to 10 h,"7.0 inches, 137.9 cm2(~57.0% screen-to-body ratio)",Discontinued,,GSM / HSPA,White,Wi-Fi 802.11 b/g/n,Up to 400 h,HSDPA 2100,"2013, May. Released 2013, May",,Spice Mi-725 Stellar Slatepad,,,"Li-Po 3000 mAh, non-removable",GSM 900 / 1800,Yes,TFT,,"4.0, A2DP",Android 4.1 (Jelly Bean),microUSB,1.3 MP,,,,,Accelerometer,Yes,194.4 x 124.5 x 12.2 mm (7.65 x 4.90 x 0.48 in),,3.15 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-725.jpg,FM radio
,Spice,,Yes,,,185 g (6.53 oz),,About 100 EUR,No,A-GPS only,,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",,Up to 4 h 20 min,"5.0 inches, 71.2 cm2(~62.3% screen-to-body ratio)",Discontinued,,GSM,"White, Blue",Wi-Fi 802.11 b/g/n,Up to 288 h,,"2013, May. Released 2013, May",,Spice Mi-502 Smartflo Pace2,Class 12,,"Li-Ion 2100 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM,TFT,,"4.0, A2DP",Android 4.0 (Ice Cream Sandwich),"microUSB 2.0, OTG",1.3 MP,,,,Class 12,"Accelerometer, proximity",Yes,148 x 77.2 x 9.6 mm (5.83 x 3.04 x 0.38 in),Dual-LED flash,"5 MP, AF",,,512MB,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-502.jpg,FM radio
,Spice,,Yes,,Quad-core 1.2 GHz Cortex-A7,196.3 g (6.91 oz),,About 210 EUR,No,GPS,HSPA,"540 x 960 pixels, 16:9 ratio (~208 ppi density)",,Up to 4 h 12 min,"5.3 inches, 77.4 cm2(~64.5% screen-to-body ratio)",Discontinued,PowerVR SGX544,GSM / HSPA,Brown,Wi-Fi 802.11 b/g/n,Up to 700 h,HSDPA 900 / 2100 - SIM 1 & SIM 2,"2013, May. Released 2013, May",,Spice Mi-535 Stellar Pinnacle Pro,,,"Li-Po 2550 mAh, removable",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM,IPS LCD,Mediatek MT6589 (28 nm),"4.0, A2DP",Android 4.2 (Jelly Bean),"microUSB 2.0, OTG",5 MP,,,,,"Accelerometer, gyro, proximity, compass",Yes,152 x 79 x 10.3 mm (5.98 x 3.11 x 0.41 in),Dual-LED flash,"8 MP, AF",,,16GB 1GB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-535.jpg,FM radio
,Spice,,Yes,,,196.3 g (6.91 oz),,About 190 EUR,No,GPS,HSPA,"540 x 960 pixels, 16:9 ratio (~208 ppi density)",,Up to 4 h 12 min,"5.3 inches, 77.4 cm2(~64.5% screen-to-body ratio)",Discontinued,,GSM / HSPA,Black,Wi-Fi 802.11 b/g/n,Up to 700 h,HSDPA 2100 - SIM 1 & SIM 2,"2013, January. Released 2013, February",,Spice Mi-530 Stellar Pinnacle,,,"Li-Ion 2550 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,"4.0, A2DP","Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)","microUSB 2.0, OTG",5 MP,,,,,"Accelerometer, proximity, compass",Yes,152 x 79 x 10.3 mm (5.98 x 3.11 x 0.41 in),LED flash,"8 MP, AF",,,16GB 1GB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/Spice-Stellar-Pinnacle-Mi-530.jpg,FM radio
HDMI port,Spice,,Yes,,,-,,About 180 EUR,No,No,,"1280 x 800 pixels, 16:10 ratio (~151 ppi density)",,,"10.0 inches, 290.0 cm2",Discontinued,,No cellular connectivity,Silver,Wi-Fi 802.11 b/g/n,,,"2013, January. Released 2013, January",,Spice Mi-1010 Stellar Pad,No,,"Li-Po 7600 mAh, non-removable",N/A,No,IPS LCD,,No,Android 4.1 (Jelly Bean),microUSB,VGA,,,,No,Accelerometer,Yes,-,,3.15 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-1010.jpg,No
,Spice,,Yes,,,-,,About 150 EUR,No,GPS,HSPA,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",,,"4.5 inches, 55.8 cm2",Discontinued,,GSM / HSPA,Black/Silver,Wi-Fi 802.11 b/g/n,,HSDPA 2100,"2013, January. Released 2013, January",,Spice Mi-495 Stellar Virtuoso,,,Li-Ion 1700 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,"4.0, A2DP",Android 4.0 (Ice Cream Sandwich),microUSB,1.3 MP,,,,,"Accelerometer, proximity",Yes,-,LED flash,"8 MP, AF",,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-495.jpg,FM radio
MP4/WMV/H.263 playerMP3/WAV/AAC+ playerDocument viewerPhoto/video editor,Spice,,Yes,,Dual-core 1.0 GHz Cortex-A9,205 g (7.23 oz),,About 180 EUR,No,GPS,HSPA 7.2/5.76 Mbps,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",,Up to 6 h,"5.0 inches, 71.2 cm2(~64.3% screen-to-body ratio)",Discontinued,PowerVR SGX531u,GSM / HSPA,White,"Wi-Fi 802.11 b/g/n, hotspot",Up to 200 h,HSDPA 2100,"2012, September. Released 2012, October",,Spice Mi-500 Stellar Horizon,,,"Li-Ion 2400 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual SIM (Mini-SIM, dual stand-by)",TFT,Mediatek MT6577 (40 nm),Yes,Android 4.0 (Ice Cream Sandwich),Proprietary,VGA,,,,,"Accelerometer, proximity",Yes,143 x 77.4 x 10.5 mm (5.63 x 3.05 x 0.41 in),Dual-LED flash,"5 MP, AF",,,4GB 512MB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-500-stellar-horizon.jpg,FM radio
No,Spice,,,,650 MHz Cortex-A9,79 g (2.79 oz),,About 60 EUR,No,GPS,"Yes, 384 kbps","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Up to 6 h,"2.8 inches, 24.3 cm2(~35.7% screen-to-body ratio)",Discontinued,PowerVR SGX531,GSM / HSPA,Black,Wi-Fi 802.11 b/g/n,Up to 480 h,HSDPA 2100 - SIM 1 only,"2012, June. Released 2012, June",,Spice Mi-285 Stellar,,,"Li-Ion 1400 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",Mediatek MT6573 (65 nm),Yes,Android 2.3 (Gingerbread),Proprietary,,,QWERTY,,,,Yes,116.5 x 58.4 x 12.7 mm (4.59 x 2.30 x 0.5 in),,3.15 MP,,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-stellar-mi-285.jpg,Wireless FM radio (no wired headphones required)
