,Stand-by,Card slot,Price,Model Name,USB,SAR EU,EDGE,Sensors,SIM,4G bands,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Quad,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,GPU,Video_1,Call records,Single,Announced,NFC,Radio,Chipset,Loudspeaker,Features_1,Models,Protection,Status,OS,Type,Internal,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Charging,Dual,Phonebook,Features,Talk time,_1,3G bands,Resolution,2G bands,WLAN
eMMC 5.1,Up to 555 h,microSDXC,,Allview P9 Energy,microUSB 2.0,1.40 W/kg (head),,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20, 38, 39, 40, 41","5.5 inches, 83.4 cm2(~72.7% screen-to-body ratio)",,1080p@30fps,,,Yes,GSM / HSPA / LTE,Allview,,152.3 x 75.3 x 8.2 mm (6.00 x 2.96 x 0.32 in),183 g (6.46 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p9-energy.jpg,GPS,,,8 MP,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,,,"13 MP, PDAF","2016, September. Released 2016, September",No,FM radio,Mediatek MT6755 Helio P10 (28 nm),Yes,,,Scratch-resistant glass,Discontinued,Android 6.0 (Marshmallow),AMOLED,64GB 4GB RAM,"Li-Po 5000 mAh, non-removable","4.0, A2DP, EDR",Yes,"Gold, Mocha Gold","HSPA 21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",10W wiredReverse wired,,,"LED flash, HDR, panorama",Up to 27 h,,HSDPA 850 / 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
eMMC 5.0,Up to 208 h (3G),microSDHC,,Allview P7 Pro,microUSB 2.0,1.82 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20, 38, 39, 40, 41","5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,144 x 72 x 9 mm (5.67 x 2.83 x 0.35 in),165 g (5.82 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p7-pro.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,,,"8 MP, PDAF","2016, September. Released 2016, September",No,FM radio,Mediatek MT6737 (28 nm),Yes,,P7_PRO,Asahi Dragontrail Glass,Discontinued,Android 6.0 (Marshmallow),IPS LCD,16GB 2GB RAM,"Li-Ion 2300 mAh, removable","4.0, A2DP, EDR",Yes,"Dark Blue, Gold","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, panorama, HDR",Up to 11 h 20 min (3G),,HSDPA 850 / 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct"
,Up to 225 h (3G),microSDXC (uses shared SIM slot),,Allview X3 Soul Style,microUSB 2.0,0.96 W/kg (head),,"Accelerometer, proximity",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38, 39, 40, 41","5.5 inches, 83.4 cm2(~71.4% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,154.5 x 75.6 x 8.2 mm (6.08 x 2.98 x 0.32 in),162.2 g (5.71 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x3ss.jpg,GPS,,,8 MP,Octa-core 1.3 GHz Cortex-A53,Mali-T720,,,"13 MP, PDAF","2016, June. Released 2016, June",No,FM radio,Mediatek MT6753 (28 nm),Yes,,X3_Soul_Style,Corning Gorilla Glass 3,Discontinued,Android 6.0 (Marshmallow),IPS LCD,32GB 3GB RAM,"Li-Po 3150 mAh, non-removable","4.0, A2DP, EDR",Yes,Mocha Gold,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 15 h (3G),,HSDPA 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
eMMC 5.1,Up to 225 h (3G),microSDXC (uses shared SIM slot),,Allview X3 Soul Plus,USB Type-C 2.0,0.95 W/kg (head),,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38, 39, 40, 41","5.5 inches, 83.4 cm2(~72.4% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,153 x 75.3 x 7.6 mm (6.02 x 2.96 x 0.30 in),175 g (6.17 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x3sp.jpg,GPS,,,8 MP,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,,,"13 MP, f/2.0, PDAF","2016, July. Released 2016, July",No,FM radio,Mediatek MT6755 Helio P10 (28 nm),Yes,,,Corning Gorilla Glass 3,Discontinued,Android 6.0 (Marshmallow),IPS LCD,32GB 4GB RAM,"Li-Po 3130 mAh, non-removable","4.0, A2DP, EDR",Yes,Gold,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,,"Laser AF, LED flash, HDR",Up to 15 h (3G),,HSDPA 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 220 h,microSDXC (uses shared SIM slot),,Allview X3 Soul Lite,microUSB 2.0,1.22 W/kg (head),,"Accelerometer, proximity","Hybrid Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20, 38, 39, 40, 41","5.0 inches, 68.9 cm2(~67.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,145.3 x 70.6 x 8.5 mm (5.72 x 2.78 x 0.33 in),142.7 g (5.04 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x3sl.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720,,,"13 MP, PDAF","2016, June. Released 2016, June",No,FM radio,Mediatek MT6735 (28 nm),Yes,,X3_Soul_Lite,Asahi Dragontrail Glass,Discontinued,Android 6.0 (Marshmallow),IPS LCD,16GB 3GB RAM,"Li-Po 2400 mAh, removable","4.0, A2DP, EDR",Yes,"Gold, Gray","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 12 h,,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 266 h,microSDXC,,Allview P6 Energy Lite,microUSB 2.0,1.18 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20, 38","5.0 inches, 68.9 cm2(~68.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA / LTE,Allview,,140.8 x 72 x 9.6 mm (5.54 x 2.83 x 0.38 in),175 g (6.17 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p6el.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"8 MP, AF","2016, June. Released 2016, June",No,FM radio,Mediatek MT6580 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Android 6.0 (Marshmallow),IPS LCD,8GB 1GB RAM,"Li-Po 4000 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 19 h 30 min,,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 225 h,microSDXC (dedicated slot),,Allview AX501Q,microUSB 2.0,1.74 W/kg (body),,Accelerometer,Micro-SIM,,"7.0 inches, 137.9 cm2(~66.2% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,192 x 108.5 x 9.9 mm (7.56 x 4.27 x 0.39 in),253.6 g (8.96 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-ax501q.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,2 MP,"2016, June. Released 2016, June",No,FM radio,Mediatek MT8321 (28 nm),Yes,LED flash,,,Discontinued,Android 5.1 (Lollipop),TN,8GB 1GB RAM,"Li-Po 2500 mAh, non-removable","4.0, A2DP",Yes,Black,HSPA 21.1/5.76 Mbps,,,,LED flash,Up to 4 h,,HSDPA 900 / 2100,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 346 h,microSDXC (dedicated slot),,Allview Viva H1001 LTE,microUSB 2.0,1.49 W/kg (body),,Accelerometer,Micro-SIM,"3, 7, 20, 38","10.1 inches, 295.8 cm2(~74.1% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA / LTE,Allview,,257.5 x 155 x 10 mm (10.14 x 6.10 x 0.39 in),510 g (1.12 lb),https://fdn2.gsmarena.com/vv/bigpic/allview-viva-h1001.jpg,GPS,,,2 MP,Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,,,5 MP,"2016, March. Released 2016, March",No,FM radio,Mediatek MT8735,"Yes, with stereo speakers",,,,Discontinued,Android 5.1 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Po 6000 mAh, non-removable","4.0, A2DP",Yes,Black,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,LED flash,Up to 8 h,,HSDPA 900 / 2100,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",GSM 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,Up to 210 h,microSDXC,,Allview V2 Viper i4G,microUSB 2.0,0.57 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20, 38, 39, 40, 41","5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,143.5 x 72 x 8.3 mm (5.65 x 2.83 x 0.33 in),144.5 g (5.11 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v2-viper-i4g.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720,,,"8 MP, AF","2016, April. Released 2016, April",No,FM radio,Mediatek MT6735 (28 nm),Yes,,,Scratch-resistant glass,Discontinued,Android 5.1 (Lollipop),IPS LCD,16GB 2GB RAM,"Li-Ion 2300 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR, panorama",Up to 10 h,,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 185 h,microSDXC,,Allview V2 Viper e,microUSB 2.0,0.46 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"4.5 inches, 55.8 cm2(~64.1% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,132 x 66 x 9.1 mm (5.20 x 2.60 x 0.36 in),133.2 g (4.69 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v2-viper-e.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"5 MP, AF","2016, April. Released 2016, April",No,FM radio,Mediatek MT6580 (28 nm),Yes,,,,Discontinued,Android 5.1 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Ion 1850 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR, panorama",Up to 10 h,,HSDPA 900 / 1900 / 2100,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
