,Stand-by,Card slot,Price,Model Name,USB,SAR EU,EDGE,Sensors,SIM,4G bands,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Quad,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,GPU,Video_1,Call records,Single,Announced,NFC,Radio,Chipset,Loudspeaker,Features_1,Models,Protection,Status,OS,Type,Internal,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Charging,Dual,Phonebook,Features,Talk time,_1,3G bands,Resolution,2G bands,WLAN
,Up to 153 h,microSDXC,,Allview P6 Lite,microUSB 2.0,0.44 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,145 x 72 x 9.7 mm (5.71 x 2.83 x 0.38 in),138 g (4.87 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p6-lite.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,"8 MP, AF","2016, March. Released 2016, March",No,FM radio,Mediatek MT8321 (28 nm),Yes,,,,Discontinued,Android 5.1 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Po 2300 mAh, removable","4.0, A2DP, EDR",Yes,"Black, Black/Brown",HSPA 21.1/5.76 Mbps,,,,"LED flash, panorama",Up to 11 h 30 min,,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
eMMC 5.1,Up to 300 h (3G),microSDXC (uses shared SIM slot),About 450 EUR,Allview X3 Soul Pro,USB Type-C 2.0,0.86 W/kg (head),,"Fingerprint (front-mounted), accelerometer, proximity, compass",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38, 39, 40, 41","5.5 inches, 83.4 cm2(~72.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,154.3 x 74.9 x 7 mm (6.07 x 2.95 x 0.28 in),144 g (5.08 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x3-soul-pro.jpg,GPS,,,8 MP,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,,,"16 MP, f/1.8, AF","2016, February. Released 2016, February",No,FM radio,Mediatek MT6755 Helio P10 (28 nm),Yes,,,Corning Gorilla Glass 3,Discontinued,Android 6.0 (Marshmallow),AMOLED,64GB 4GB RAM,"Li-Po 3000 mAh, non-removable","4.0, A2DP, EDR",Yes,"Gold, Silver","HSPA 21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,,"LED flash, panorama, HDR",Up to 15 h 20 min (3G),,HSDPA 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 235 h (3G),microSDXC (uses shared SIM slot),,Allview X3 Soul mini,microUSB 2.0,,,"Accelerometer, proximity, compass",Nano-SIM + Micro-SIM,"3, 7, 20, 38","5.0 inches, 68.9 cm2(~69.5% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,142.6 x 69.5 x 7.2 mm (5.61 x 2.74 x 0.28 in),129 g (4.55 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x3-soul-mini.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720,,,"13 MP, f/2.2, AF","2016, February. Released 2016, February",No,FM radio,Mediatek MT6735 (28 nm),Yes,,,,Discontinued,Android 5.1 (Lollipop),LCD,16GB 1GB RAM,"Li-Po 2350 mAh, non-removable","4.0, A2DP, EDR",Yes,"Gray, Gold, Silver","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, panorama, HDR",Up to 12 h (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
,Up to 450 h,microSDXC,About 420 EUR,Allview P8 Energy Pro,USB Type-C 3.0,0.40 W/kg (head),,"Fingerprint (front-mounted), accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 38, 39, 40","6.0 inches, 99.2 cm2(~76.0% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,160.9 x 81.2 x 8.4 mm (6.33 x 3.20 x 0.33 in),209.8 g (7.37 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p8-energy-pro.jpg,GPS,,,5 MP,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP2,,,"13 MP, f/2.0, AF","2016, February. Released 2016, February",No,FM radio,Mediatek MT6753 (28 nm),Yes,,,Corning Gorilla Glass 3,Discontinued,Android 5.1 (Lollipop),AMOLED,64GB 3GB RAM,"Li-Po 5020 mAh, non-removable","4.0, A2DP, EDR",Yes,Gold/Silver,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR, panorama",Up to 22 h 30 min,,HSDPA 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 153 h,microSDXC (dedicated slot),,Allview P6 eMagic,microUSB 2.0,0.44 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,145 x 72 x 9.7 mm (5.71 x 2.83 x 0.38 in),138 g (4.87 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p6-emagic.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,"8 MP, AF","2016, March. Released 2016, March",No,FM radio,Mediatek MT8321 (28 nm),Yes,,,,Discontinued,Android 5.1 (Lollipop),TFT,16GB 1GB RAM,"Li-Po 2300 mAh, removable","4.0, A2DP, EDR",Yes,"Gold, Brown",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR, panorama",Up to 11 h 30 min,,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM 900 / 1800 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 160 h,microSDXC (dedicated slot),,Allview P5 eMagic,microUSB 2.0,1.03 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"4.5 inches, 57.6 cm2(~65.1% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,133.1 x 66.5 x 9 mm (5.24 x 2.62 x 0.35 in),105 g (3.70 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p5-emagic.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"5 MP, AF","2016, March. Released 2016, March",No,FM radio,Mediatek MT6580 (28 nm),Yes,,,,Discontinued,Android 5.1 (Lollipop),TFT,8GB 1GB RAM,"Li-Po 1600 mAh, removable","4.0, A2DP, EDR",Yes,"Dark blue, Gold",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 7 h 40 min,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",GSM 900 / 1800 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 200 h,microSDXC (dedicated slot),,Allview P4 eMagic,microUSB 2.0,0.67 W/kg (head),,Accelerometer,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,"4.0 inches, 45.5 cm2(~56.3% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,125.6 x 64.4 x 10 mm (4.94 x 2.54 x 0.39 in),105 g (3.70 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p4-emagic.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,5 MP,"2016, March. Released 2016, March",No,FM radio,Mediatek MT6580 (28 nm),Yes,,,,Discontinued,Android 5.1 (Lollipop),TFT,8GB 1GB RAM,"Li-Ion 1400 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 7 h,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 210 h (3G),microSDXC (uses shared SIM slot),About 300 EUR,Allview X3 Soul,USB Type-C,0.55 W/kg (head),,"Accelerometer, proximity, compass",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38, 39, 40","5.5 inches, 83.4 cm2(~73.6% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,151.9 x 74.6 x 6.9 mm (5.98 x 2.94 x 0.27 in),147.6 g (5.22 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x3-soul.jpg,GPS,,,5 MP,Octa-core 1.3 GHz Cortex-A53,Mali-T720,,,"13 MP, f/2.0, AF","2016, January. Released 2016, January",No,FM radio,Mediatek MT6753 (28 nm),Yes,,X3_Soul,Corning Gorilla Glass 3,Discontinued,Android 5.1 (Lollipop),AMOLED,32GB 3GB RAM,"Li-Po 3150 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, Gold","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 15 h (3G),,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
,Up to 235 h (3G),microSDXC (uses shared SIM slot),About 200 EUR,Allview X2 Soul Style + Platinum,microUSB 2.0,0.72 W/kg (head),,"Accelerometer, proximity",Nano-SIM + Micro-SIM,"3, 7, 20, 38","5.0 inches, 68.9 cm2(~68.0% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,142.4 x 71.2 x 7 mm (5.61 x 2.80 x 0.28 in),128 g (4.52 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x2-soul-style-plus.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720,,,"13 MP, f/2.2, AF","2015, November. Released 2015, November",No,FM radio,Mediatek MT6735 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Android 5.1 (Lollipop),IPS LCD,16GB 3GB RAM,"Li-Po 2350 mAh, non-removable","4.0, A2DP, EDR",Yes,Silver,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 7 h 20 min (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
,Up to 235 h (3G),microSDXC (uses shared SIM slot),About 180 EUR,Allview X2 Soul Style,microUSB 2.0,0.72 W/kg (head),,"Accelerometer, proximity",Nano-SIM + Micro-SIM,"3, 7, 20, 38","5.0 inches, 68.9 cm2(~68.0% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,142.4 x 71.2 x 7 mm (5.61 x 2.80 x 0.28 in),128 g (4.52 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x2-soul-style.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720,,,"13 MP, f/2.2, AF","2015, November. Released 2015, November",No,FM radio,Mediatek MT6735 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Android 5.1 (Lollipop),IPS LCD,16GB 2GB RAM,"Li-Po 2350 mAh, non-removable","4.0, A2DP, EDR",Yes,Silver,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 7 h 20 min (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
,Up to 240 h (3G),microSDXC (uses shared SIM slot),About 160 EUR,Allview X2 Soul Lite,microUSB 2.0,0.63 W/kg (head),,"Accelerometer, proximity, compass","Hybrid Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20","5.0 inches, 68.9 cm2(~68.6% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,143 x 70.3 x 8 mm (5.63 x 2.77 x 0.31 in),137 g (4.83 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x2-soul-lite.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720,,,"8 MP, AF","2015, September. Released 2015, September",No,FM radio,Mediatek MT6735 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Android 5.0 (Lollipop),IPS LCD,16GB 1GB RAM,"Li-Po 2400 mAh, removable","4.0, A2DP, EDR",Yes,"Black, white","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 10 h 25 min (3G),,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
,Up to 393 h (3G),microSDXC,About 300 EUR,Allview V2 Viper X+,USB Type-C,0.69 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20, 39, 40, 41","5.5 inches, 83.4 cm2(~70.3% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,154 x 77 x 7.2 mm (6.06 x 3.03 x 0.28 in),155.3 g (5.47 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v2-viper-x-plus.jpg,GPS,,,5 MP,Octa-core 1.3 GHz Cortex-A53,Mali-T720,,,"13 MP, f/2.0, AF","2015, October. Released 2015, October",No,FM radio,Mediatek MT6753 (28 nm),Yes,,,Corning Gorilla Glass 3,Discontinued,Android 5.1 (Lollipop),AMOLED,16GB 3GB RAM,"Li-Po 3150 mAh, removable","4.0, A2DP, EDR",Yes,"Dark blue, Golden pearl","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 13 h 40 min (3G),,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
,Up to 393 h (3G),microSDXC,About 250 EUR,Allview V2 Viper X,USB Type-C,0.69 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20, 39, 40, 41","5.5 inches, 83.4 cm2(~70.3% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,154 x 77 x 7.2 mm (6.06 x 3.03 x 0.28 in),155.3 g (5.47 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v2-viper-x.jpg,GPS,,,5 MP,Octa-core 1.3 GHz Cortex-A53,Mali-T720,,,"13 MP, f/2.0, AF","2015, October. Released 2015, October",No,FM radio,Mediatek MT6753 (28 nm),Yes,,,Corning Gorilla Glass 3,Discontinued,Android 5.1 (Lollipop),AMOLED,16GB 1GB RAM,"Li-Po 3150 mAh, removable","4.0, A2DP, EDR",Yes,"Dark blue, Golden pearl","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 13 h 40 min (3G),,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
,Up to 200 h (3G),microSDXC,About 200 EUR,Allview V2 Viper,microUSB 2.0,0.83 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20","4.7 inches, 60.9 cm2(~66.2% screen-to-body ratio)",,1080p@30fps,,,Yes,GSM / HSPA / LTE,Allview,,137.2 x 67 x 7.9 mm (5.40 x 2.64 x 0.31 in),143 g (5.04 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v2-viper.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720,,,"8 MP, AF","2015, October. Released 2015, October",No,FM radio,Mediatek MT6735 (28 nm),Yes,,,Scratch-resistant glass,Discontinued,Android 5.0 (Lollipop),AMOLED,16GB 1GB RAM,"Li-Ion 2000 mAh, removable","4.0, A2DP, EDR",Yes,"Blue, white","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 9 h (3G),,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
,Up to 200 h (3G),microSDXC,About 120 EUR,Allview V2 Viper i,microUSB 2.0,0.79 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)",,720p,,,,GSM / HSPA,Allview,,143.3 x 72 x 8.9 mm (5.64 x 2.83 x 0.35 in),153 g (5.40 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v2-viper-i.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"5 MP, AF","2015, December. Released 2015, December",No,FM radio,Mediatek MT6580 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Android 5.1 (Lollipop),IPS LCD,16GB 1GB RAM,"Li-Ion 2000 mAh, removable","4.0, A2DP, EDR",Yes,"Black, white",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 8 h 20 min (3G),,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct"
,Up to 400 h (3G),microSDXC,About 170 EUR,Allview P8 Energy mini,microUSB 2.0,0.74 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,143.3 x 72 x 8.9 mm (5.64 x 2.83 x 0.35 in),200 g (7.05 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p8-en-mini.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"8 MP, AF","2016, January. Released 2016, January",No,FM radio,Mediatek MT6580 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Android 5.1 (Lollipop),IPS LCD,16GB 2GB RAM,"Li-Ion 4000 mAh, removable","4.0, A2DP, EDR",Yes,"White, Gray, Gold",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 25 h (3G),,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 141 h (3G),microSDXC,About 130 EUR,Allview P5 Pro,microUSB 2.0,0.73 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)","3, 7, 20, 38","4.5 inches, 55.8 cm2(~60.7% screen-to-body ratio)",,720p,,,,GSM / HSPA / LTE,Allview,,136 x 67.6 x 9.3 mm (5.35 x 2.66 x 0.37 in),118.5 g (4.20 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p5-pro.jpg,GPS,,,VGA,Quad-core 1.0 GHz Cortex-A53,Mali-T720,,,"5 MP, AF","2016, January. Released 2016, January",No,FM radio,Mediatek MT6735M (28 nm),Yes,,,,Discontinued,Android 5.1 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Ion 1700 mAh, removable","4.0, A2DP, EDR",Yes,Black,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR, panorama",Up to 8 h (3G),,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
No,Up to 270 h,microSDHC (dedicated slot),,Allview AX4 Nano Plus,microUSB 2.0,1.30 W/kg (body),,"Accelerometer, proximity",Micro-SIM,,"7.0 inches, 137.9 cm2(~67.6% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,189 x 108 x 10 mm (7.44 x 4.25 x 0.39 in),300 g (10.58 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-ax4-nano-plus.jpg,GPS,,,,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,VGA,"2015, June. Released 2015, June",No,FM Radio,Mediatek MT8312 (28 nm),Yes,,,,Discontinued,Android 4.4.2 (KitKat),TFT,8GB 512MB RAM,"Li-Po 2700 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA,,,,,Up to 4 h 30 min,,HSDPA 900 / 2100,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
No,Up to 270 h,microSDHC (dedicated slot),,Allview Viva C701,microUSB 2.0,,No,Accelerometer,No,,"7.0 inches, 137.9 cm2(~67.6% screen-to-body ratio)",,Yes,,,,No cellular connectivity,Allview,,189 x 108 x 10.7 mm (7.44 x 4.25 x 0.42 in),296 g (10.44 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-c701.jpg,,No,,,Quad-core 1.2 GHz Cortex-A7,Mali-400MP2,,,VGA,"2015, September. Released 2015, September",No,No,,Yes,,,,Discontinued,Android 5.1 (Lollipop),"TFT, 256K colors",8GB 1GB RAM,"Li-Po 2700 mAh, non-removable",No,Yes,"White, Black",,,,,,Up to 4 h,,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,Wi-Fi 802.11 b/g/n
,Up to 392 h (3G),microSDXC,About 100 EUR,Allview P6 Pro,microUSB 2.0,,,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",LTE 900 / 1800 / 2100 / 2600 TD-LTE 2600,"5.0 inches, 68.9 cm2(~65.6% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA / LTE,Allview,,144 x 73 x 8.1 mm (5.67 x 2.87 x 0.32 in),154 g (5.43 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p6-pro.jpg,GPS,,,5 MP,Quad-core 1.0 GHz Cortex-A53,Mali-T720,,,"8 MP, AF","2015, November. Released 2015, November",No,FM radio,,Yes,,P6 PRO,,Discontinued,Android 5.1 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Ion 3140 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 13 h 40 min (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
,Up to 750 h,microSDXC,About 300 EUR,Allview P8 Energy,microUSB 2.0,0.35 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 38, 39, 40","5.5 inches, 83.4 cm2(~72.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,152 x 76 x 8.5 mm (5.98 x 2.99 x 0.33 in),212 g (7.48 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p8-energy1.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,,,"13 MP, AF","2015, September. Released 2015, September",No,FM radio,Mediatek MT6735 (28 nm),Yes,,,Corning Gorilla Glass 3,Discontinued,Android 5.1 (Lollipop),AMOLED,16GB 2GB RAM,"Li-Po 6000 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, White, Brown","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",10W wiredReverse wired,,,"LED flash, HDR",Up to 25 h,,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 500 h,microSDHC,About 140 EUR,Allview P5 Energy,microUSB 2.0,0.69 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","3, 7, 20, 38, 40","4.5 inches, 55.8 cm2(~62.8% screen-to-body ratio)",,720p,,,,GSM / HSPA / LTE,Allview,,134.2 x 66.2 x 11.2 mm (5.28 x 2.61 x 0.44 in),156.5 g (5.54 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p5-energy.jpg,GPS,,,2 MP,Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,,,"5 MP, AF","2015, September. Released 2015, September",No,FM radio,Mediatek MT6735M (28 nm),Yes,,,,Discontinued,Android 5.1 (Lollipop),IPS LCD,16GB 1GB RAM,"Li-Po 4000 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 19 h,,HSDPA 900 / 1900 / 2100,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 210 h,microSDHC,About 240 EUR,Allview E4,microUSB 2.0,1.23 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","2, 3, 20, 38","5.0 inches, 68.9 cm2(~69.8% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,140.7 x 70.2 x 8.6 mm (5.54 x 2.76 x 0.34 in),130 g (4.59 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-e4.jpg,GPS,,,5 MP,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,,,"13 MP, AF","2015, September. Released 2015, September",No,FM radio,Mediatek MT6753 (28 nm),Yes,LED flash,,,Discontinued,Android 5.1 (Lollipop),IPS LCD,16GB 2GB RAM,"Li-Po 2100 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR, panorama",Up to 9 h 30 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
