,Announced,Resolution,Price,Dual,Chipset,Loudspeaker_1,CPU,Technology,Model Image,SAR EU,Video_1,Charging,WLAN,NFC,Talk time,OS,USB,Protection,Features,Status,Camera,3G bands,Positioning,Radio,SAR,Build,Bluetooth,Brand,Sensors,_1,Video,Speed,Battery (old),Features_1,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Loudspeaker,GPU,Single_1,Model Name,Type,Card slot,Performance,4G bands,Stand-by
,"2015, September. Released 2015, November","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,,Mediatek MT6753 (28 nm),,Octa-core 1.3 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-plus.jpg,,,,Wi-Fi 802.11 b/g/n,No,,Android 5.1.1 (Lollipop),"microUSB 2.0, OTG",Asahi Dragontrail Glass,LED flash,Discontinued,,HSDPA 850 / 900 / 1900 / 2100,GPS,FM radio,,,"4.0, LE",Archos,"Accelerometer, proximity, compass",,1080p@30fps,"HSPA, LTE",,,152.6 x 76.4 x 8.4 mm (6.01 x 3.01 x 0.33 in),"16 MP, AF",Silver,Yes,Hybrid Dual SIM,"5.5 inches, 83.4 cm2(~71.5% screen-to-body ratio)",160 g (5.64 oz),"Li-Ion 2850 mAh, non-removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-T720MP3,8 MP,Archos Diamond Plus,IPS LCD,microSDXC (uses shared SIM slot),,"3, 7, 20",
,"2015, September. Released 2015, November","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Mediatek MT6753 (28 nm),,Octa-core 1.3 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-s.jpg,0.33 W/kg (head)     1.60 W/kg (body),,,Wi-Fi 802.11 b/g/n,No,,Android 5.1.1 (Lollipop),"microUSB 2.0, OTG",Corning Gorilla Glass 3,LED flash,Discontinued,,HSDPA 850 / 900 / 1900 / 2100,GPS,FM radio,,,"4.0, LE",Archos,"Accelerometer, proximity, compass",,1080p@30fps,"HSPA, LTE",,,145 x 71.5 x 6.5 mm (5.71 x 2.81 x 0.26 in),"16 MP, 1/2.8"", 1.12µm, AF",Black,Yes,Dual SIM,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",118 g (4.16 oz),"Li-Ion 2300 mAh, non-removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-T720MP3,8 MP,Archos Diamond S,Super AMOLED,microSDXC,,"3, 7, 20",
eMMC 4.5,"2015, July. Released 2015, July","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",About 140 EUR,,Qualcomm MSM8916 Snapdragon 410 (28 nm),,Quad-core 1.2 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-50d-helium-4g.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,,Android 5.1 (Lollipop),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,FM radio,,,"4.0, LE",Archos,"Accelerometer, proximity, compass",,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,146 x 72.2 x 8.4 mm (5.75 x 2.84 x 0.33 in),"13 MP, AF","Dark blue, Black",Yes,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2(~65.4% screen-to-body ratio)",154 g (5.43 oz),"Li-Ion 2100 mAh, removable",8GB 1GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 305,5 MP,Archos 50d Helium 4G,IPS LCD,microSD,,"3, 7, 20",
eMMC 4.5,"2014, October. Released 2014, December","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",About 150 EUR,,Qualcomm MSM8916 Snapdragon 410 (28 nm),,Quad-core 1.2 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-50b-helium.jpg,0.40 W/kg (head)     0.71 W/kg (body),,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,Android 4.4.4 (KitKat),microUSB 2.0,,LED flash,Discontinued,,HSDPA 850 / 900 / 2100,GPS,FM radio,,,"4.0, A2DP",Archos,"Accelerometer, proximity, compass",,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,145 x 71.5 x 9 mm (5.71 x 2.81 x 0.35 in),"8 MP, AF",Black,Yes,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",160 g (5.64 oz),"Li-Po 2000 mAh, removable",8GB 1GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 306,2 MP,Archos 50b Helium 4G,IPS LCD,microSDXC,,"1, 3, 7, 20",
eMMC 4.5,"2014, October. Released 2015, January","1080 x 1920 pixels, 16:9 ratio (~440 ppi density)",About 200 EUR,,Qualcomm MSM8939 Snapdragon 615 (28 nm),,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-50-diamond.jpg,0.40 W/kg (head)     0.71 W/kg (body),,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,Android 4.4.4 (KitKat),microUSB 2.0,,LED flash,Discontinued,Photo/Video,HSDPA 850 / 900 / 2100,GPS,FM radio,,,"4.0, A2DP",Archos,"Accelerometer, proximity, compass",,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Endurance rating 60h,,146 x 70.4 x 8 mm (5.75 x 2.77 x 0.31 in),"16 MP, AF","Black, Electric yellow",Yes,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 69.2 cm2(~67.4% screen-to-body ratio)",142 g (5.01 oz),"Li-Po 2700 mAh, non-removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Adreno 405,8 MP,Archos 50 Diamond,IPS LCD,microSDXC,,"1, 3, 7, 20",
eMMC 4.5,"2014, September. Released 2014, September","480 x 800 pixels, 5:3 ratio (~233 ppi density)",About 80 EUR,,Qualcomm Snapdragon 200 (28 nm),,Quad-core 1.2 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-40-cesium.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot",No,,Microsoft Windows Phone 8.1,microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,"FM radio, RDS",,,"4.0, A2DP, EDR",Archos,"Accelerometer, proximity, compass",,1080p@30fps,HSPA 21.1/5.76 Mbps,,,-,"5 MP, AF",Black; Yellow and Blue (included),Yes,Dual SIM (dual stand-by),"4.0 inches, 45.5 cm2",,"Li-Ion 1700 mAh, removable",4GB 512MB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 302,2 MP,Archos 40 Cesium,TFT,microSDHC,,,
,"2014, August. Released 2014, September","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,Mediatek MT6582 (28 nm),,Quad-core 1.3 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-45c-platinum.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA",No,,Android 4.4.2 (KitKat),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"4.0, A2DP, EDR",Archos,"Accelerometer, proximity, compass",,1080p@30fps,HSPA 21.1/5.76 Mbps,,,133 x 67.5 x 8.9 mm (5.24 x 2.66 x 0.35 in),"5 MP, AF",Black; Metallic Blue and Spicy Pink (included),Yes,Dual SIM (Mini-SIM),"4.5 inches, 55.8 cm2(~62.2% screen-to-body ratio)",138 g (4.87 oz),"Li-Ion 1700 mAh, removable",4GB 512MB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Mali-400MP2,2 MP,Archos 45c Platinum,IPS LCD,microSDHC,,,
,"2014, February. Released 2014, April","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,Mediatek MT6572 (28 nm),,Dual-core 1.3 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-40c-titanium.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot",No,,Android 4.4 (KitKat),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100 - SIM 1 & SIM 2,GPS,No,1.00 W/kg (head)     0.87 W/kg (body),,"3.0, A2DP, EDR",Archos,"Accelerometer, proximity",,720p@30fps,HSPA 21.1/5.76 Mbps,,,126 x 65 x 10 mm (4.96 x 2.56 x 0.39 in),"5 MP, AF",Black/White,Yes,Dual SIM (dual stand-by),"4.0 inches, 45.5 cm2(~55.6% screen-to-body ratio)",110 g (3.88 oz),"Li-Po 1450 mAh, removable",4GB 512MB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Yes, with stereo speakers",Mali-400,VGA,Archos 40c Titanium,LCD,microSDXC,,,
,"2014, August. Released 2014, September","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,,Mediatek MT6582 (28 nm),,Quad-core 1.3 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-50b-platinum.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA",No,,Android 4.4.2 (KitKat),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"4.0, A2DP, EDR",Archos,"Accelerometer, proximity, compass",,1080p@30fps,HSPA 21.1/5.76 Mbps,,,146.8 x 73 x 8.3 mm (5.78 x 2.87 x 0.33 in),"8 MP, AF",Black,Yes,Dual SIM (Mini-SIM),"5.0 inches, 68.9 cm2(~64.3% screen-to-body ratio)",160 g (5.64 oz),"Li-Ion 1900 mAh, removable",4GB 512MB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Mali-400MP2,2 MP,Archos 50b Platinum,IPS LCD,microSDHC,,,
eMMC 4.5,"2014, February. Released 2014, April","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",About 280 EUR,,Qualcomm MSM8926 Snapdragon 400 (28 nm),,Quad-core 1.2 GHz Cortex-A7,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-80-helium-4g.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA",No,,Android 4.3 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,No,,,"4.0, A2DP, EDR",Archos,Accelerometer,,1080p@30fps,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,-,"5 MP, AF",White/Silver,Yes,Mini-SIM,"8.0 inches, 198.2 cm2",-,"Li-Ion 3500 mAh, removable",8GB 1GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Adreno 305,2 MP,Archos 80 Helium 4G,IPS LCD,microSDHC (dedicated slot),,"1, 3, 7, 20",
,"2014, February. Released 2014, April","720 x 1280 pixels, 16:9 ratio (~229 ppi density)",About 240 EUR,,Mediatek MT6582 (28 nm),,Quad-core 1.3 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-64-xenon.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA",No,,Android 4.2.2 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,No,,,"3.0, A2DP, EDR",Archos,"Accelerometer, proximity, compass",,720p,HSPA 21.1/5.76 Mbps,,,170.7 x 90.6 x 9.3 mm (6.72 x 3.57 x 0.37 in),"8 MP, AF",Black,Yes,Dual SIM,"6.4 inches, 112.9 cm2(~73.0% screen-to-body ratio)",232 g (8.18 oz),"Li-Ion 2800 mAh, removable",4GB 1GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Mali-400MP2,2 MP,Archos 64 Xenon,IPS LCD,microSDHC,,,
,"2014, February. Released 2014, April","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",About 240 EUR,,Mediatek MT6592 (28 nm),,Octa-core 1.7 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-50c-oxygen.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA",No,,Android 4.2.2 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"4.0, A2DP, EDR",Archos,"Accelerometer, proximity, compass",,1080p@30fps,HSPA 21.1/5.76 Mbps,,,145 x 69.8 x 7.6 mm (5.71 x 2.75 x 0.30 in),"8 MP, AF",Black,Yes,Dual SIM,"5.0 inches, 68.9 cm2(~68.1% screen-to-body ratio)",140 g (4.94 oz),"Li-Ion 2000 mAh, removable",8GB 1GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Mali-450MP4,2 MP,Archos 50c Oxygen,IPS LCD,microSDHC,,,
,"2014, February. Released 2014, April","480 x 800 pixels, 5:3 ratio (~233 ppi density)",About 120 EUR,,,,,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-40b-titanium.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA",No,,Android 4.2.2 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,No,1.00 W/kg (head)     0.87 W/kg (body),,"3.0, A2DP, EDR",Archos,"Accelerometer, proximity",,Yes,HSPA 21.1/5.76 Mbps,,,125 x 61 x 8.5 mm (4.92 x 2.40 x 0.33 in),"5 MP, AF",Black/White,Yes,Dual SIM,"4.0 inches, 45.5 cm2(~59.7% screen-to-body ratio)",115 g (4.06 oz),"Li-Ion 1400 mAh, removable",4GB 512MB RAM,GSM 850 / 900 / 1800 / 1900,"Yes, with stereo speakers",,VGA,Archos 40b Titanium,IPS LCD,microSDHC,,,
eMMC 4.5,2014. Released 2014,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",About 280 EUR,,Qualcomm MSM8926 Snapdragon 400 (28 nm),,Quad-core 1.2 GHz Cortex-A7,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-helium-4g-50.jpg,0.37 W/kg (head)     0.89 W/kg (body),,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA",No,Up to 10 h (2G) / Up to 8 h (3G),Android 4.3 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100  / 1800,"GPS, GLONASS",FM radio,,,"4.0, A2DP, EDR, LE",Archos,"Accelerometer, proximity, compass",,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,145 x 71.5 x 9 mm (5.71 x 2.81 x 0.35 in),"8 MP, AF",Black,Yes,Micro-SIM,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",160 g (5.64 oz),"Li-Ion 2000 mAh, removable",8GB 1GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Adreno 305,2 MP,Archos 50 Helium 4G,IPS LCD,microSDHC (dedicated slot),,"1, 3, 7, 8",
eMMC 4.5,2014. Released 2014,"480 x 800 pixels, 5:3 ratio (~207 ppi density)",About 230 EUR,,Qualcomm MSM8926 Snapdragon 400 (28 nm),,Quad-core 1.2 GHz Cortex-A7,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-helium-4g-45.jpg,,,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA",No,Up to 9 h (2G) / Up to 7 h (3G),Android 4.3 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100  / 1800,"GPS, GLONASS",FM radio,,,"4.0, A2DP, EDR, LE",Archos,"Accelerometer, proximity, compass",,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,135 x 67 x 9.8 mm (5.31 x 2.64 x 0.39 in),"5 MP, AF",Black,Yes,Micro-SIM,"4.5 inches, 57.6 cm2(~63.7% screen-to-body ratio)",140 g (4.94 oz),"Li-Ion 1850 mAh, removable",4GB 1GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,Adreno 305,VGA,Archos 45 Helium 4G,IPS LCD,microSDHC (dedicated slot),,"1, 3, 7, 8",
,2013. Released 2013,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,,Mediatek MT6589T (28 nm),,Quad-core 1.5 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-50.jpg,0.22 W/kg (head)     0.56 W/kg (body),,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct, DLNA",No,,Android 4.2.2 (Jelly Bean),"microUSB 2.0 (MHL TV-out), OTG",,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"4.0, A2DP, EDR",Archos,"Accelerometer, gyro, proximity, compass",,1080p@30fps,HSPA 42.2/11.5 Mbps,,LED flash,143 x 70.5 x 9.9 mm (5.63 x 2.78 x 0.39 in),"13.4 MP, AF",Black,Yes,Micro-SIM,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",130 g (4.59 oz),"Li-Ion 2300 mAh, removable",16GB 1GB RAM,GSM 850 / 900 / 1800 / 1900,Yes,PowerVR SGX544MP2,5.3 MP,Archos 50 Oxygen,IPS LCD,microSDHC (dedicated slot),,,
,2013. Released 2013,"540 x 960 pixels, 16:9 ratio (~208 ppi density)",,,Qualcomm MSM8225Q Snapdragon S4 Play,,Quad-core 1.2 GHz Cortex-A5,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-platinum-53.jpg,0.33 W/kg (head)     0.75 W/kg (body),,,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",No,Up to 21 h (2G) / Up to 15 h (3G),Android 4.1.2 (Jelly Bean),microUSB 2.0,,"LED flash, HDR",Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"3.0, A2DP, EDR",Archos,"Accelerometer, proximity",,720p,HSPA 7.2/5.76 Mbps,,,153.6 x 78 x 9.3 mm (6.05 x 3.07 x 0.37 in),"8 MP, AF",Black,Yes,Dual SIM (Mini-SIM),"5.3 inches, 77.4 cm2(~64.6% screen-to-body ratio)",189.9 g (6.67 oz),"Li-Ion 2800 mAh, removable",4GB 1GB RAM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 203,2 MP,Archos 53 Platinum,IPS LCD,microSDHC (dedicated slot),,,Up to 264 h
,2013. Released 2013,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,,Qualcomm MSM8225Q Snapdragon S4 Play,,Quad-core 1.2 GHz Cortex-A5,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-platinum-50.jpg,0.33 W/kg (head)     0.51 W/kg (body),,,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",No,Up to 12 h 20 min (2G) / Up to 10 h (3G),Android 4.1.2 (Jelly Bean),microUSB 2.0,,"LED flash, HDR",Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"3.0, A2DP, EDR",Archos,"Accelerometer, proximity",,720p,HSPA 7.2/5.76 Mbps,,,143.4 x 72.4 x 8.9 mm (5.65 x 2.85 x 0.35 in),"8 MP, AF",Black,Yes,Dual SIM (Mini-SIM),"5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)",160.2 g (5.64 oz),"Li-Ion 2000 mAh, removable",4GB 1GB RAM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 203,2 MP,Archos 50 Platinum,IPS LCD,microSDHC (dedicated slot),,,Up to 161 h
,2013. Released 2013,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",,,Qualcomm MSM8225Q Snapdragon S4 Play,,Quad-core 1.2 GHz Cortex-A5,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-platinum-45.jpg,0.39 W/kg (head)     1.28 W/kg (body),,,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",No,Up to 8 h 20 min (2G) / Up to 10 h (3G),Android 4.1.2 (Jelly Bean),microUSB 2.0,,"LED flash, HDR",Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"3.0, A2DP, EDR",Archos,"Accelerometer, proximity",,720p,HSPA 7.2/5.76 Mbps,,,142.5 x 71.8 x 9.2 mm (5.61 x 2.83 x 0.36 in),"5 MP, AF",Black,Yes,Dual SIM (Mini-SIM),"4.5 inches, 55.8 cm2(~54.6% screen-to-body ratio)",150 g (5.29 oz),"Li-Ion 1600 mAh, removable",4GB 1GB RAM,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 203,VGA,Archos 45 Platinum,TFT,microSDHC (dedicated slot),,,Up to 135 h
,2013. Released 2013,"480 x 854 pixels, 16:9 ratio (~185 ppi density)",,,Mediatek MT6572 (28 nm),,Dual-core 1.3 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-53.jpg,0.38 W/kg (head)     0.55 W/kg (body),,,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",No,,Android 4.2.2 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"2.1, A2DP, EDR",Archos,Accelerometer,,720p,HSPA 21.1/5.76 Mbps,,,152.7 x 76.6 x 10.1 mm (6.01 x 3.02 x 0.40 in),"5 MP, AF",Black,Yes,Dual SIM (Mini-SIM),"5.3 inches, 77.4 cm2(~66.2% screen-to-body ratio)",200 g (7.05 oz),"Li-Ion 2500 mAh, removable",4GB 512MB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-400,VGA,Archos 53 Titanium,TFT,microSDHC (dedicated slot),,,
,2013. Released 2013,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,,Mediatek MT6572 (28 nm),,Dual-core 1.3 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-50.jpg,0.35 W/kg (head)     0.70 W/kg (body),,,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",No,,Android 4.2.2 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"2.1, A2DP, EDR",Archos,Accelerometer,,720p,HSPA 21.1/5.76 Mbps,,,144.5 x 73.7 x 9.9 mm (5.69 x 2.90 x 0.39 in),"5 MP, AF",Black,Yes,Dual SIM (Mini-SIM & Micro-SIM),"5.0 inches, 68.9 cm2(~64.7% screen-to-body ratio)",160 g (5.64 oz),"Li-Ion 2100 mAh, removable",4GB 512MB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-400,VGA,Archos 50 Titanium,IPS LCD,microSDHC (dedicated slot),,,
,2013. Released 2013,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,Mediatek MT6572 (28 nm),,Dual-core 1.3 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-45.jpg,1.16 W/kg (head)     0.77 W/kg (body),,,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",No,,Android 4.2.2 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"3.0, A2DP, EDR",Archos,Accelerometer,,720p,HSPA 21.1/5.76 Mbps,,,133.8 x 68.2 x 10 mm (5.27 x 2.69 x 0.39 in),"5 MP, AF",Black,Yes,Dual SIM (Mini-SIM),"4.5 inches, 55.8 cm2(~61.2% screen-to-body ratio)",152 g (5.36 oz),"Li-Ion 1680 mAh, removable",4GB 512MB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-400,VGA,Archos 45 Titanium,TFT,microSDHC (dedicated slot),,,
,2013. Released 2013,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,Mediatek MT6572 (28 nm),,Dual-core 1.3 GHz Cortex-A7,GSM / HSPA,https://fdn2.gsmarena.com/vv/bigpic/archos-titanium-40.jpg,0.44 W/kg (head)     0.73 W/kg (body),,,"Wi-Fi 802.11 b/g/n, hotspot, DLNA",No,Up to 12 h (2G) / Up to 9 h 30 min (3G),Android 4.2.2 (Jelly Bean),microUSB 2.0,,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,Stereo FM radio,,,"3.0, A2DP, EDR",Archos,Accelerometer,,720p,HSPA 21.1/5.76 Mbps,,,125 x 65 x 8.5 mm (4.92 x 2.56 x 0.33 in),"5 MP, AF",Black,Yes,Dual SIM (Mini-SIM),"4.0 inches, 45.5 cm2(~56.1% screen-to-body ratio)",124 g (4.37 oz),"Li-Ion 1500 mAh, removable",4GB 512MB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-400,VGA,Archos 40 Titanium,TFT,microSDHC (dedicated slot),,,Up to 150 h
