,Announced,Resolution,Price,Dual,Chipset,Loudspeaker_1,CPU,Technology,Model Image,SAR EU,Video_1,Charging,WLAN,NFC,Talk time,OS,USB,Protection,Features,Status,Camera,3G bands,Positioning,Radio,SAR,Build,Bluetooth,Brand,Sensors,_1,Video,Speed,Battery (old),Features_1,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Loudspeaker,GPU,Single_1,Model Name,Type,Card slot,Performance,4G bands,Stand-by
eMMC 5.1,"2017, June. Released 2017, July","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",About 200 EUR,,Qualcomm MSM8940 Snapdragon 435 (28 nm),,Octa-core 1.4 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-gamma.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,,"Android 7 (Nougat), nubia UI 4","microUSB 2.0, OTG",,"LED flash, HDR, panorama",Discontinued,,HSDPA 850 / 900 / 1900 / 2100,GPS,No,,,"4.2, A2DP, LE",Archos,"Fingerprint (front-mounted), accelerometer, proximity",,1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,-,"13 MP, f/2.2, PDAF",Black,Yes,Nano-SIM + Nano-SIM,"5.5 inches, 83.4 cm2",-,"Li-Ion 3000 mAh, non-removable",32GB 3GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 505,"5 MP, f/2.4",Archos Diamond Gamma,IPS LCD,microSDXC (uses shared SIM slot),,"1, 3, 7, 20",
IP68 dust/water resistant (up to 1m for 30 min),"2017, June. Released 2017, July","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",About 170 EUR,,Mediatek MT6737T (28 nm),,Quad-core 1.5 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-sense-50x.jpg,,,,Wi-Fi 802.11 b/g/n,No,,Android 7.0 (Nougat),"microUSB 2.0, OTG",Corning Gorilla Glass 3,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,No,,,"4.0, A2DP, LE",Archos,"Accelerometer, proximity, compass",eMMC 5.0,1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,153 x 78.9 x 12.6 mm (6.02 x 3.11 x 0.50 in),"8 MP, AF",Black,Yes,Dual SIM,"5.0 inches, 68.9 cm2(~57.1% screen-to-body ratio)",223 g (7.87 oz),"Li-Ion 3500 mAh, non-removable",32GB 3GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-T720,3 MP,Archos Sense 50x,IPS LCD,microSDXC,,"1, 3, 7, 20",
IP68 dust/water resistant (up to 1m for 30 min),"2017, February. Released 2017, June","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Mediatek MT6737 (28 nm),,Quad-core 1.5 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-50-saphir.jpg,0.55 W/kg (head)     0.80 W/kg (body),,10W wired,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA",No,Up to 37 h (2G) / Up to 27 h (3G),Android 6.0 (Marshmallow),"microUSB 2.0, OTG",Corning Gorilla Glass 4,LED flash,Discontinued,,HSDPA 900 / 2100,GPS,FM radio,,,"4.0, A2DP, LE",Archos,"Accelerometer, proximity, compass",eMMC 5.0,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,146.6 x 75.9 x 13.9 mm (5.77 x 2.99 x 0.55 in),"8 MP, AF",Black,Yes,Nano-SIM + Nano-SIM,"5.0 inches, 68.9 cm2(~61.9% screen-to-body ratio)",-,"Li-Ion 5000 mAh, non-removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-T720MP2,2 MP,Archos 50 Saphir,IPS LCD,microSDXC,,LTE 800 / 1800 / 2100 / 2600,Up to 740 h (2G) / Up to 550 h (3G)
eMMC 5.0,"2017, February. Released 2017, June","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",About 180 EUR,"13 MP, AF2 MP, (depth)",Mediatek MT6737 (28 nm),,Quad-core 1.5 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-55-graphite.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,,Android 7.0 (Nougat),"microUSB 2.0, OTG",,"LED flash, HDR, panorama",Discontinued,,HSDPA 900 / 2100,GPS,FM radio,,,"4.1, A2DP, LE",Archos,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,157.8 x 77.2 x 7.8 mm (6.21 x 3.04 x 0.31 in),5 MP,Black,Yes,Dual SIM,"5.5 inches, 83.4 cm2(~68.5% screen-to-body ratio)",-,"Li-Ion 3000 mAh, non-removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-T720MP2,,Archos 55 Graphite,IPS LCD,microSDXC,,LTE 800 / 1800 / 2100 / 2600,
eMMC 5.0,"2017, February. Released 2017, June","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",About 130 EUR,"13 MP, AF2 MP, (depth)",Mediatek MT6737 (28 nm),,Quad-core 1.5 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-50-graphite.jpg,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,,Android 7.0 (Nougat),"microUSB 2.0, OTG",,"LED flash, HDR, panorama",Discontinued,,HSDPA 900 / 2100,GPS,FM radio,,,"4.1, A2DP, LE",Archos,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,144 x 72.7 x 8.9 mm (5.67 x 2.86 x 0.35 in),5 MP,Black,Yes,Dual SIM,"5.0 inches, 68.9 cm2(~65.8% screen-to-body ratio)",160 g (5.64 oz),"Li-Ion 2400 mAh, non-removable",16GB 1GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-T720MP2,,Archos 50 Graphite,IPS LCD,microSDXC,,LTE 800 / 1800 / 2100 / 2600,
eMMC 4.5,"2017, January. Released 2017, January","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,Qualcomm MSM8909 Snapdragon 210 (28 nm),,Quad-core 1.1 GHz,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-55b-cobalt.jpg,0.98 W/kg (head)     1.76 W/kg (body),,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,,Android 6.0 (Marshmallow),microUSB 2.0,,"LED flash, HDR, panorama",Discontinued,,HSDPA 900 / 2100,GPS,FM radio,,,"4.0, A2DP",Archos,"Fingerprint (rear-mounted), accelerometer, proximity",,720p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,155 x 79 x 0 mm (6.10 x 3.11 x 0.0 in),"13 MP, AF",Gray,Yes,"Dual SIM (Mini-SIM, dual stand-by)","5.5 inches, 83.4 cm2(~68.1% screen-to-body ratio)",188 g (6.63 oz),"Li-Ion 2600 mAh, removable","16GB 1GB RAM, 32GB 2GB RAM",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 304,2 MP,Archos 55b Cobalt,IPS LCD,microSDXC,,LTE 800 / 1800 / 2100 / 2600,
eMMC 4.5,"2017, January. Released 2017, January","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Qualcomm MSM8909 Snapdragon 210 (28 nm),,Quad-core 1.1 GHz,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-50b-cobalt.jpg,0.35 W/kg (head)     1.62 W/kg (body),,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,,Android 6.0 (Marshmallow),microUSB 2.0,,"LED flash, HDR, panorama",Discontinued,,HSDPA 900 / 2100,GPS,FM radio,,,"4.0, A2DP",Archos,"Fingerprint (rear-mounted), accelerometer, proximity",,720p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,144 x 72 x 0 mm (5.67 x 2.83 x 0.0 in),"13 MP, AF",Gray,Yes,"Dual SIM (Mini-SIM, dual stand-by)","5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",160 g (5.64 oz),"Li-Ion 2100 mAh, removable","16GB 1GB RAM, 32GB 2GB RAM",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Adreno 304,2 MP,Archos 50b Cobalt,IPS LCD,microSDXC,,LTE 800 / 1800 / 2100 / 2600,
eMMC 5.1,"2016, March. Released 2016, August","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",About 250 EUR,,Mediatek MT6755 Helio P10 (28 nm),,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-diamond2plus.jpg,0.57 W/kg (head)     1.65 W/kg (body),1080p@30fps,,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, Wi-Fi Direct",No,Up to 11 h (3G),Android 6.0 (Marshmallow),"USB Type-C 3.0, OTG",Asahi Dragontrail Glass,"Dual-LED dual-tone flash, HDR, panorama",Discontinued,,HSDPA 900 / 2100,"GPS, GLONASS, BDS",Stereo FM radio with RDS; recording,,,"4.0, A2DP, LE, EDR, aptX",Archos,"Fingerprint (front-mounted), accelerometer, proximity, compass",,1080p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,HDR,148.3 x 73.8 x 8.3 mm (5.84 x 2.91 x 0.33 in),"20.7 MP, f/2.4, PDAF",Black,Yes,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2(~76.2% screen-to-body ratio)",193 g (6.81 oz),"Li-Ion 2950 mAh, non-removable",64GB 4GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-T860MP2,"8 MP, f/1.9, 22mm (wide)",Archos Diamond 2 Plus,IPS LCD,microSDXC (uses shared SIM slot),,"1, 3, 7, 20",Up to 320 h (3G)
,"2016, January. Released 2016, March","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,Mediatek MT6735P (28 nm),,Quad-core 1.0 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-55-cobalt-plus.jpg,0.25 W/kg (head)     1.28 W/kg (body),,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",No,Up to 27 h,Android 5.1.1 (Lollipop),microUSB 2.0,,"LED flash, HDR, panorama",Discontinued,,HSDPA 900 / 2100,GPS,"Stereo FM radio, RDS, recording",,,"4.0, A2DP",Archos,"Accelerometer, gyro, proximity",,720p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,152.5 x 77 x 8.3 mm (6.00 x 3.03 x 0.33 in),"13 MP, AF",Blue/Gray,Yes,"Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2(~71.0% screen-to-body ratio)",130 g (4.59 oz),"Li-Ion 2700 mAh, non-removable",16GB 2GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-T720MP2,2 MP,Archos 55 Cobalt Plus,IPS LCD,microSDXC,,"1, 7, 9, 20",Up to 450 h
,"2016, January. Released 2016, March","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Mediatek MT6735P (28 nm),,Quad-core 1.0 GHz Cortex-A53,GSM / HSPA / LTE,https://fdn2.gsmarena.com/vv/bigpic/archos-55-cobalt.jpg,0.28 W/kg (head)     1.25 W/kg (body),,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",No,Up to 20 h,Android 5.1.1 (Lollipop),microUSB 2.0,,"LED flash, HDR, panorama",Discontinued,,HSDPA 900 / 2100,GPS,"Stereo FM radio, RDS, recording",,,"4.0, A2DP",Archos,"Accelerometer, gyro, proximity",,720p@30fps,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,141.5 x 71.5 x 9.2 mm (5.57 x 2.81 x 0.36 in),"8 MP, AF",Blue/Gray,Yes,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2(~68.1% screen-to-body ratio)",135 g (4.76 oz),"Li-Ion 2000 mAh, non-removable",8GB 1GB RAM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Mali-T720MP2,2 MP,Archos 50 Cobalt,IPS LCD,microSDXC,,"1, 7, 9, 20",Up to 330 h
