,Card slot,Dimensions,Bluetooth,2G bands,Talk time,Alert types,Positioning,Infrared port,Loudspeaker,EDGE,Radio,OS,Speed,Type,Weight,Sensors,Internal,Size,Colors,Single_1,Type_1,Browser,Technology,3G bands,WLAN,Model Name,Model Image,Features,Keyboard,Stand-by,Announced,_2,Video,_1,USB,Price,CPU,Resolution,Brand,3.5mm jack,Single,Video_1,Status,GPRS,SIM
Handwriting recognition,microSD (dedicated slot),113.5 x 60.5 x 15.8 mm (4.47 x 2.38 x 0.62 in),2.0,GSM 850 / 900 / 1800 / 1900,,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,,FM radio,Microsoft Windows Mobile 6.0 Professional,HSPA 1.8 Mbps,"TFT resistive touchscreen, 65K colors",146 g (5.15 oz),,"64MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~35.4% screen-to-body ratio)",Black,VGA videocall camera,"Removable Li-Po, 1530 mAh battery",HTML (PocketIE),GSM / HSPA,HSDPA 850 / 1900 / 2100,Wi-Fi 802.11 b/g,Eten glofiish X800,https://fdn2.gsmarena.com/vv/bigpic/eten-x800.gif,,,,"2007, March. Released 2007, November",,Yes,Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo,Proprietary,About 180 EUR,Samsung SC3 2440 500 MHz,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",Eten,No,"2 MP, AF",,Discontinued,,Mini-SIM
Handwriting recognition,microSD (dedicated slot),117.5 x 59 x 19.8 mm (4.63 x 2.32 x 0.78 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 7 h,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,Class 10,FM radio,Microsoft Windows Mobile 5.0 PocketPC,,"TFT resistive touchscreen, 65K colors",165 g (5.82 oz),,"64MB RAM, 128MB ROM","2.8 inches, 24.3 cm2(~35.0% screen-to-body ratio)",Silver,,Removable Li-Ion 1530 mAh battery,HTML (PocketIE),GSM,,Wi-Fi 802.11 b/g,Eten glofiish M700,https://fdn2.gsmarena.com/vv/bigpic/eten-m700.gif,,QWERTY,Up to 200 h,"2006, November",Pocket OfficeeBook ReaderWindows MPlayer 10OrganizerVoice memo,Yes,No,miniUSB,About 290 EUR,Samsung S3C2440 400 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,2 MP,,Discontinued,Class 10,Mini-SIM
Handwriting recognition,microSD (dedicated slot),113 x 59.5 x 15.5 mm (4.45 x 2.34 x 0.61 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 7 h,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,Class 10,FM radio,Microsoft Windows Mobile 5.0 PocketPC,,"TFT resistive touchscreen, 65K colors",146 g (5.15 oz),,"64MB RAM, 128MB ROM","2.8 inches, 24.3 cm2(~36.1% screen-to-body ratio)",Silver,,Removable Li-Ion 1530 mAh battery,HTML (PocketIE),GSM,,Wi-Fi 802.11 b/g,Eten glofiish X500,https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif,,,Up to 200 h,"2006, October",Pocket OfficeeBook ReaderWindows MPlayer 10OrganizerVoice memo,Yes,No,miniUSB,About 290 EUR,Samsung S3C2440 400 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,2 MP,,Discontinued,Class 10,Mini-SIM
Handwriting recognition,SD/SDIO,112 x 61 x 22 mm (4.41 x 2.40 x 0.87 in),1.2,GSM 850 / 900 / 1800 / 1900,Up to 4 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,,Yes,No,No,Microsoft Windows Mobile 5.0 PocketPC,,"TFT resistive touchscreen, 65K colors",165 g (5.82 oz),,"64MB RAM, 128MB ROM","2.8 inches, 42 x 57 mm, 24.3 cm2(~35.5% screen-to-body ratio)",White,,Removable Li-Ion 1440 mAh battery,HTML (PocketIE),GSM,,No,Eten M550,https://fdn2.gsmarena.com/vv/bigpic/eten-m550.gif,LED flash,,Up to 200 h,"2006, April",Pocket OfficeeBook readerWindows MPlayer 10OrganizerVoice memo,Yes,No,Proprietary,About 220 EUR,Samsung 2440 400 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,1.3 MP,,Discontinued,Class 10,Mini-SIM
Handwriting recognition,miniSD,119 x 62 x 23 mm (4.69 x 2.44 x 0.91 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 4 h,"Vibration; Downloadable polyphonic, MP3 ringtones","GPS, SiRF Star III chipset",,Yes,No,"Stereo FM radio, RDS",Microsoft Windows Mobile 5.0 PocketPC,,"TFT resistive touchscreen, 65K colors",191 g (6.74 oz),,"64MB RAM, 256MB ROM","2.8 inches, 42 x 57 mm, 24.3 cm2(~32.9% screen-to-body ratio)",,,Removable Li-Ion 1440 mAh battery,HTML (PocketIE),GSM,,No,Eten G500+,https://fdn2.gsmarena.com/vv/bigpic/eten-g500p.gif,LED flash,,Up to 200 h,"2006, August",Pocket OfficeeBook ReaderWindows MPlayer 10OrganizerVoice memo,Yes,No,Proprietary,,Samsung S3C 2440 400 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,1.3 MP,,Discontinued,Class 10,Mini-SIM
Handwriting recognition,SD/SDIO,111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 4 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,,Yes,No,No,Microsoft Windows Mobile 5.0 PocketPC,,"TFT resistive touchscreen, 65K colors",174 g (6.14 oz),,"64MB RAM, 256MB ROM","2.8 inches, 42 x 57 mm, 24.3 cm2(~35.8% screen-to-body ratio)",,,Removable Li-Ion 1440 mAh battery,HTML (PocketIE),GSM,,Wi-Fi 802.11b,Eten M600+,https://fdn2.gsmarena.com/vv/bigpic/eten-m600p.gif,,,Up to 200 h,"2006, June",Pocket OfficeeBook ReaderMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerVoice memo,Yes,No,Proprietary,About 320 EUR,Samsung S3C 2440 400 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,2 MP,,Discontinued,Class 10,Mini-SIM
Handwriting recognition,miniSD,119 x 62 x 23 mm (4.69 x 2.44 x 0.91 in),2.0,GSM 850 / 900 / 1800 / 1900,Up to 4 h,"Vibration; Downloadable polyphonic, MP3 ringtones",GPS,,Yes,No,No,Microsoft Windows Mobile 5.0 PocketPC,,"TFT resistive touchscreen, 65K colors",191 g (6.74 oz),,"64MB RAM, 128MB ROM","2.8 inches, 42 x 57 mm, 24.3 cm2(~32.9% screen-to-body ratio)",,,Removable Li-Ion 1440 mAh battery,HTML (PocketIE),GSM,,No,Eten G500,https://fdn2.gsmarena.com/vv/bigpic/eten-g500.gif,LED flash,,Up to 220 h,"2006, Q1",Pocket OfficeeBook ReaderWindows MPlayer 10OrganizerVoice memo,Yes,No,Proprietary,About 300 EUR,Samsung S3C2440 400 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,1.3 MP,,Discontinued,Class 10,Mini-SIM
Handwriting recognition,SD/SDIO,111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in),1.2,GSM 850 / 900 / 1800 / 1900,Up to 4 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,,Yes,No,No,Microsoft Windows Mobile 5.0 PocketPC,,"TFT resistive touchscreen, 65K colors",165 g (5.82 oz),,"64MB RAM, 128MB ROM","2.8 inches, 42 x 57 mm, 24.3 cm2(~35.8% screen-to-body ratio)",,,Removable Li-Ion 1440 mAh battery,HTML (PocketIE),GSM,,Wi-Fi 802.11b,Eten M600,https://fdn2.gsmarena.com/vv/bigpic/eten-m600.gif,LED flash,,Up to 200 h,"2005, Q4",Pocket OfficeeBook ReaderMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerVoice memo,Yes,No,Proprietary,About 310 EUR,Samsung 2440 400 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,1.3 MP,,Discontinued,Class 10,Mini-SIM
Handwriting recognition,SD/SDIO,111.7 x 60.7 x 22 mm (4.40 x 2.39 x 0.87 in),1.1,GSM 850 / 900 / 1800 / 1900,Up to 4 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,Yes,Yes,No,No,Microsoft Windows Mobile 2003 SE PocketPC,,"TFT resistive touchscreen, 65K colors",170 g (6.00 oz),,"64MB RAM, 128MB ROM","2.8 inches, 42 x 57 mm, 24.3 cm2(~35.8% screen-to-body ratio)",,,Removable Li-Ion 1440 mAh battery,HTML (PocketIE),GSM,,No,Eten M500,https://fdn2.gsmarena.com/vv/bigpic/eten-m500.gif,,,Up to 200 h,"2004, Q4",Pocket OfficeeBook ReaderWindows MPlayer 10OrganizerPredictive text inputVoice memo,Yes,No,Proprietary,,Samsung S3C 2440 400 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,1.3 MP,,Discontinued,Class 10,Mini-SIM
No,SD/SDIO,117 x 67 x 23 mm (4.61 x 2.64 x 0.91 in),1.1,GSM 900 / 1800 / 1900,,Vibration; Downloadable polyphonic ringtones,No,,Yes,No,No,Microsoft Windows Mobile 2003 PocketPC,,"STN resistive touchscreen, 4096 colors",165 g (5.82 oz),,64MB 64MB RAM,"2.8 inches, 42 x 57 mm, 24.3 cm2(~31.0% screen-to-body ratio)",,,Removable Li-Po 1300 mAh battery,HTML (PocketIE),GSM,,No,Eten P300B,https://fdn2.gsmarena.com/vv/bigpic/eten-p300b.gif,,,,"2004, Q2",,,Pocket OfficeeBook ReaderWindows MPlayer 9OrganizerPredictive text inputVoice memo,Proprietary,,Samsung 2410 200 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,,,Discontinued,Class 10,Mini-SIM
No,SD/SDIO,131 x 78 x 21 mm (5.16 x 3.07 x 0.83 in),1.1,GSM 900 / 1800 / 1900,,"Vibration; Downloadable polyphonic, MP3 ringtones",No,Yes,Yes,No,No,Microsoft Windows Mobile 2003 PocketPC,,"TFT resistive touchscreen, 65K colors",200 g (7.05 oz),,64MB 64MB RAM,"3.5 inches, 53 x 71 mm, 37.9 cm2(~37.1% screen-to-body ratio)",,,Removable Li-Ion 1440 mAh battery,HTML (PocketIE),GSM,,No,Eten P700,https://fdn2.gsmarena.com/vv/bigpic/eten-p700.gif,,,,"2004, Q1",,,Pocket OfficeWindows MPlayer 9OrganizerPredictive text inputVoice memo,Proprietary,,Intel PXA255 400 MHz,"240 x 320 pixels, 4:3 ratio (~114 ppi density)",Eten,No,,,Discontinued,Class 10,Mini-SIM
No,SD/SDIO,117 x 67 x 23 mm (4.61 x 2.64 x 0.91 in),No,GSM 900 / 1800 / 1900,,"Vibration; Downloadable polyphonic, MP3 ringtones",No,Yes,Yes,No,No,Microsoft Windows Mobile 2003 PocketPC,,"STN resistive touchscreen, 4096 colors",165 g (5.82 oz),,"64MB RAM, 32MB ROM","2.8 inches, 42 x 57 mm, 24.3 cm2(~31.0% screen-to-body ratio)",,,Removable Li-Po 1050 mAh battery,HTML (PocketIE),GSM,,No,Eten P300,https://fdn2.gsmarena.com/vv/bigpic/eten-p300.gif,,,,"2004, Q2",,No,Pocket OfficeWindows MPlayer 9OrganizerPredictive text inputVoice memo,Proprietary,,Samsung 2410 200 MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Eten,No,VGA,,Discontinued,Class 10,Mini-SIM
