,Type,Dimensions,Model Image,_1,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,Video,Brand,Languages,Status,Sensors,Resolution,Build,WLAN,Single,Price,_4,Models,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Talk time,OS,Loudspeaker,Single_1,Triple,CPU,SAR,Quad,Dual,Radio,Performance,Type_1,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,_2,Features,Stand-by,Protection,Positioning,_3,SAR EU,Speed,5G bands
,IPS LCD,173.8 x 78.6 x 9.5 mm (6.84 x 3.09 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-u30-new.jpg,,"4.2, A2DP",Yes,Mediatek MT6765G Helio G35 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 28, 40",1080p@30fps,Wiko,,"Available. Released 2021, June","Fingerprint (rear-mounted), accelerometer, proximity, compass",720 x 1640 pixels (~263 ppi density),,Wi-Fi 802.11 b/g/n,8 MP,About 150 EUR,,,,"USB Type-C, OTG",PowerVR GE8320,128GB 4GB RAM,microSDXC,"Carbon Blue, Midnight Blue, Mint",HSDPA 850 / 900 / 1900 / 2100,,Android 11,Yes,,"13 MP, AF2 MPQVGA",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),0.58 W/kg (head)     1.36 W/kg (body),,,No,,Li-Ion 6000 mAh,CDMA 800 / 1700 / 1900,"6.82 inches, 110.5 cm2(~80.9% screen-to-body ratio)",15W wired,214 g (7.55 oz),"2021, June",Wiko Power U30,,CDMA / HSPA / LTE,,"LED flash, HDR",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
,TN LCD,143.2 x 73.5 x 10.2 mm (5.64 x 2.89 x 0.40 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y52-new.jpg,,"4.2, A2DP",Yes,Unisoc SC9832E (28 nm),No,Nano-SIM + Micro-SIM,"1, 3, 7, 20",720p@30fps,Wiko,,"Available. Released 2021, November","Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 50 EUR,,W-K521-EEA,,microUSB 2.0,Mali-T820 MP1,16GB 1GB RAM,microSDXC,"Grey, Deep Blue, Green",HSDPA 850 / 900 / 1900 / 2100,,Android 11 (Go edition),Yes,5 MP,,Quad-core 1.4 GHz,0.75 W/kg (head)     0.94 W/kg (body),,,No,,"Li-Ion 2020 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.5% screen-to-body ratio)",,153 g (5.40 oz),"2021, November",Wiko Y52,,GSM / HSPA / LTE,,"LED flash, HDR",,,"GPS, GLONASS, BDS",,,HSPA 42.2/5.76 Mbps,
,IPS LCD,173.8 x 78.6 x 9.5 mm (6.84 x 3.09 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-poweru20-new.jpg,,"4.2, A2DP",Yes,Mediatek MT6765G Helio G35 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 28, 40",1080p@30fps,Wiko,,"Available. Released 2021, June","Fingerprint (side-mounted), accelerometer, proximity",720 x 1640 pixels (~270 ppi density),,Wi-Fi 802.11 b/g/n,5 MP,About 120 EUR,,W-V750BN-EEA,,"microUSB 2.0, OTG",PowerVR GE8320,"32GB 3GB RAM, 64GB 3GB RAM",microSDXC,"Slate Grey, Navy Blue, Mint",HSDPA 850 / 900 / 1900 / 2100,,Android 11,Yes,,"13 MP, AF2 MPQVGA",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),0.58 W/kg (head)     1.29 W/kg (body),,,No,,Li-Ion 6000 mAh,CDMA 800 / 1700 / 1900,"6.82 inches, 104.8 cm2(~76.7% screen-to-body ratio)",15W wired,210 g (7.41 oz),"2021, June",Wiko Power U20,,CDMA / HSPA / LTE,,"LED flash, HDR",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,173.8 x 78.6 x 9.5 mm (6.84 x 3.09 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-u10-new.jpg,,"4.2, A2DP",Yes,Mediatek MT6765G Helio G35 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 40",1080p@30fps,Wiko,,"Available. Released 2021, June","Fingerprint (side-mounted), accelerometer, proximity, compass",720 x 1640 pixels (~263 ppi density),,Wi-Fi 802.11 b/g/n,"13 MP, AF",About 100 EUR,,"W-V745-EEA, W-V745-OPE",,"USB Type-C 2.0, OTG",PowerVR GE8320,"32GB 2GB RAM, 32GB 3GB RAM",microSDXC,"Carbon Blue, Denim Blue, Turquoise",HSDPA 850 / 900 / 1900 / 2100,,Android 11 (Go edition),Yes,5 MP,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),0.52 W/kg (head)     1.36 W/kg (body),,,FM Radio,,Li-Ion 5000 mAh,CDMA 800 / 1700 / 1900,"6.82 inches, 110.5 cm2(~80.9% screen-to-body ratio)",,206 g (7.27 oz),"2021, June",Wiko Power U10,,CDMA / HSPA / LTE,,"LED flash, HDR",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,157 x 75.8 x 9.1 mm (6.18 x 2.98 x 0.36 in),https://fdn2.gsmarena.com/vv/bigpic/wilko-y62-new.jpg,,"4.2, A2DP",Yes,Mediatek MT6761D Helio A20 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,"Available. Released 2021, April","Accelerometer, proximity","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 70 EUR,,"W-K610-EEA, W-K610-TVM",LED flash,microUSB 2.0,PowerVR GE8320,16GB 1GB RAM,microSDXC,"Dark Blue, Light Blue, Mint",HSDPA 850 / 900 / 1900 / 2100,,Android 11 (Go edition),Yes,5 MP,,Quad-core 1.8 GHz Cortex-A53,0.42 W/kg (head)     1.61 W/kg (body),,,No,,"Li-Ion 3000 mAh, removable",GSM 850 / 900 / 1800 / 1900,"6.1 inches, 91.3 cm2(~76.8% screen-to-body ratio)",,171.5 g (6.03 oz),"2021, April",Wiko Y62,,GSM / HSPA / LTE,,"LED flash, HDR",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,TN LCD,146.6 x 72.3 x 9 mm (5.77 x 2.85 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-sunny5lite-new.jpg,,"4.2, A2DP",Yes,,No,Nano-SIM + Micro-SIM,,720p@30fps,Wiko,,"Available. Released 2020, November","Accelerometer, proximity","480 x 960 pixels, 18:9 ratio (~197 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 60 EUR,,,,microUSB 2.0,Mali-T820 MP1,32GB 1GB RAM,microSDXC,"Deep Grey, Gold, Mint",HSDPA 850 / 900 / 1900 / 2100,,Android 10 (Go Edition),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,0.70 W/kg (head)     1.55 W/kg (body),,,FM radio,pics,"Li-Ion 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.45 inches, 76.7 cm2(~72.3% screen-to-body ratio)",,175 g (6.17 oz),"2020, November",Wiko Sunny5 Lite,,GSM / HSPA,,"LED flash, HDR",,,"GPS, GLONASS",,,HSPA 21.1/5.76 Mbps,
,TN LCD,146.6 x 72.3 x 9 mm (5.77 x 2.85 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y51-new.jpg,,"4.2, A2DP",Yes,,No,Nano-SIM + Micro-SIM,,720p@30fps,Wiko,,"Available. Released 2021, January 14","Accelerometer, proximity","480 x 960 pixels, 18:9 ratio (~197 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 70 EUR,,W-K211-TH,,microUSB 2.0,Mali-T820 MP1,"8GB 1GB RAM, 16GB 1GB RAM",microSDXC,"Deep Grey, Gold, Mint",HSDPA 850 / 900 / 1900 / 2100,,Android 10 (Go edition),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,0.70 W/kg (head)     1.55 W/kg (body),,,FM Radio,,"Li-Ion 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.45 inches, 76.7 cm2(~72.3% screen-to-body ratio)",,175 g (6.17 oz),"2021, January 14",Wiko Y51,,GSM / HSPA,,"LED flash, HDR",,,GPS,,,HSPA 42.2/5.76 Mbps,
eMMC 5.1,IPS LCD,166 x 76.8 x 9.3 mm (6.54 x 3.02 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view5plus.jpg,,"4.2, A2DP",Yes,Mediatek MT6765 Helio P35 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 28, 40",1080p@30fps,Wiko,,"Available. Released 2020, September","Fingerprint (rear-mounted), accelerometer, proximity, compass","720 x 1600 pixels, 20:9 ratio (~268 ppi density)",,Wi-Fi 802.11 a/b/g/n/ac,8 MP,About 300 EUR,,W-V850-EEA,,"USB Type-C 2.0, OTG",PowerVR GE8320,128GB 4GB RAM,microSDXC,"Aurora Blue, Iceland Silver",HSDPA 850 / 900 / 1900 / 2100,,Android 10,Yes,,,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),0.91 W/kg (head)     1.54 W/kg (body),"48 MP, (wide), AF8 MP, (ultrawide)5 MP, (macro)2 MP, (depth)",,FM radio,,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,"6.55 inches, 103.6 cm2(~81.2% screen-to-body ratio)",,201 g (7.09 oz),"2020, September",Wiko View5 Plus,,GSM / HSPA / LTE,,"LED flash, HDR",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,"IPS LCD, 450 nits (peak)",166 x 76.8 x 9.3 mm (6.54 x 3.02 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view5.jpg,,"4.2, A2DP",Yes,Mediatek MT6762D Helio A25 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 28, 40",1080p@30fps,Wiko,,"Available. Released 2020, September","Fingerprint (rear-mounted), accelerometer, proximity, compass","720 x 1600 pixels, 20:9 ratio (~268 ppi density)",,Wi-Fi 802.11 a/b/g/n/ac,8 MP,About 370 EUR,,W-V851-EEA,,"USB Type-C 2.0, OTG",PowerVR GE8320,64GB 3GB RAM,microSDXC,"Midnight Blue, Pine Green, Peach Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 10,Yes,,,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),0.91 W/kg (head)     1.54 W/kg (body),"48 MP, (wide), AF8 MP, (ultrawide)5 MP, (macro)2 MP, (depth)",,FM radio,,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,"6.55 inches, 103.6 cm2(~81.2% screen-to-body ratio)",,201 g (7.09 oz),"2020, September",Wiko View5,,GSM / HSPA / LTE,,"LED flash, HDR",,,"GPS, GLONASS, GALILEO, BDS",,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,157.9 x 76.1 x 8.3 mm (6.22 x 3.00 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y81.jpg,,"4.2, A2DP, LE",Yes,Mediatek MT6761D Helio A20 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 40",1080p@30fps,Wiko,,"Available. Released 2020, August 18","Accelerometer, proximity, compass","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",About 80 EUR,,,,"microUSB 2.0, OTG",PowerVR GE8300,32GB 2GB RAM,microSDXC,"Deep Blue, Gold, Green",HSDPA 850 / 900 / 1900 / 2100,,Android 10 (Go edition),Yes,5 MP,,Quad-core 1.8 GHz Cortex-A53,,,,FM radio,,Li-Ion 4000 mAh,GSM 850 / 900 / 1800 / 1900,"6.2 inches, 95.9 cm2(~79.8% screen-to-body ratio)",,166 g (5.86 oz),"2020, August 18",Wiko Y81,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,GPS,,0.56 W/kg (head)     1.61 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
