,Type,Dimensions,Model Image,_1,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,Video,Brand,Languages,Status,Sensors,Resolution,Build,WLAN,Single,Price,_4,Models,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Talk time,OS,Loudspeaker,Single_1,Triple,CPU,SAR,Quad,Dual,Radio,Performance,Type_1,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,_2,Features,Stand-by,Protection,Positioning,_3,SAR EU,Speed,5G bands
eMMC 5.1,IPS LCD,161 x 77.6 x 9 mm (6.34 x 3.06 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-sunny5-new.jpg,,"4.2, A2DP",Yes,,No,Nano-SIM + Micro-SIM,,480p@30fps,Wiko,,"Available. Released 2020, September","Accelerometer, proximity","480 x 960 pixels, 18:9 ratio (~179 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 60 EUR,,,LED flash,microUSB 2.0,Mali-T820 MP1,32GB 1GB RAM,microSDXC,"Blue, Gold, Green",HSDPA 850 / 900 / 1900 / 2100,,Android 10 (Go Edition),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,0.57 W/kg (head)     1.69 W/kg (body),,,FM radio,,"Li-Ion 3000 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.99 inches, 92.6 cm2(~74.1% screen-to-body ratio)",,166 g (5.86 oz),"2020, September",Wiko Sunny5,,GSM / HSPA,,"LED flash, HDR",,,GPS,,,HSPA 21.1/5.76 Mbps,
eMMC 5.1,IPS LCD,161.3 x 78.1 x 9 mm (6.35 x 3.07 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y61.jpg,eMMC 5.1,"4.2, A2DP, LE",Yes,Mediatek MT6761WE,No,Nano-SIM + Micro-SIM,"1, 3, 7, 8, 20",1080p@30fps,Wiko,,Available. Released 2020,"Accelerometer, proximity, compass","480 x 960 pixels, 18:9 ratio (~179 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,About 60 EUR,,"W-K560-EEA, W-K560-ID",LED flash,microUSB 2.0,PowerVR GE8300,"16GB 1GB RAM, 32GB 2GB RAM",microSDXC,"Deep Grey, Deep Green, Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 10 (Go edition),Yes,5 MP,,Quad-core 1.8 GHz,,,,FM radio,,Li-Ion 3000 mAh,GSM 850 / 900 / 1800 / 1900,"5.99 inches, 92.6 cm2(~73.5% screen-to-body ratio)",,190 g (6.70 oz),2020,Wiko Y61,,GSM / HSPA / LTE,,LED flash,,,GPS,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,"IPS LCD, 450 nits (peak)",167 x 76.8 x 8.5 mm (6.57 x 3.02 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view4-lite.jpg,,"4.2, A2DP, LE",Yes,Mediatek MT6762D Helio A25 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 28, 40",1080p@30fps,Wiko,,Available. Released 2020,"Accelerometer, proximity, compass","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 80 EUR,,,,"microUSB 2.0, OTG",PowerVR GE8320,"32GB 2GB RAM, 64GB 2GB RAM",microSDXC,"Deep Blue, Deep Green, Deep Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 10,Yes,,13 MP5 MP2 MP,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,,,FM radio,,Li-Po 4000 mAh,GSM 850 / 900 / 1800 / 1900,"6.52 inches, 102.6 cm2(~80.0% screen-to-body ratio)",,174 g (6.14 oz),2020,Wiko View4 Lite,,GSM / HSPA / LTE,,"LED flash, HDR",,,GPS,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,"IPS LCD, 450 nits (peak)",165.7 x 75.8 x 8.9 mm (6.52 x 2.98 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view4.jpg,,"4.2, A2DP, LE",Yes,Mediatek MT6762D Helio A25 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 28, 40",1080p@30fps,Wiko,,"Available. Released 2020, February","Accelerometer, proximity, compass","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,About 160 EUR,,,,"microUSB 2.0, OTG",PowerVR GE8320,64GB 3GB RAM,microSDXC,"Cosmic Blue, Cosmic Gold, Cosmic Green",HSDPA 850 / 900 / 1900 / 2100,,Android 10,Yes,,"13 MP, (wide)5 MP, 114˚, (ultrawide)2 MP, (depth)",Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),0.38 W/kg (head)     1.69 W/kg (body),,,FM radio,,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,"6.52 inches, 102.6 cm2(~81.7% screen-to-body ratio)",,180 g (6.35 oz),"2020, February",Wiko View4,,GSM / HSPA / LTE,,"LED flash, HDR",,,GPS,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,TN TFT LCD,146 x 73.5 x 8.7 mm (5.75 x 2.89 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-sunny4.jpg,,"4.2, A2DP, LE",Yes,,No,Nano-SIM + Micro-SIM,,720p@30fps,Wiko,,Available. Released 2020,Accelerometer,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 50 EUR,,,LED flash,microUSB 2.0,,16GB 1GB RAM,microSDXC,"Dark Grey, Blue, Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 8.1 (Oreo),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,Li-Ion 2200 mAh,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",,160 g (5.64 oz),2020,Wiko Sunny4,,GSM / HSPA,,"LED flash, HDR, panorama",,,GPS,,,HSPA 21.1/5.76 Mbps,
eMMC 5.1,IPS LCD,155.5 x 73 x 8.7 mm (6.12 x 2.87 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view3-lite.jpg,,"4.2, A2DP, LE",Yes,Unisoc SC9863A (28 nm),No,Nano-SIM + Nano-SIM,"1, 3, 5, 7, 8, 20, 28, 40",1080p@30fps,Wiko,,Available. Released 2020,"Accelerometer, proximity, compass","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 90 EUR,,,,"microUSB 2.0, OTG",IMG8322,32GB 2GB RAM,microSDXC,"Night Blue (Anthracite Blue), Blush Gold, Arctic B",HSDPA 850 / 900 / 1900 / 2100,,Android 9.0 Pie,Yes,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,"13 MP, AF2 MP",FM radio,,Li-Po 4000 mAh,GSM 850 / 900 / 1800 / 1900,"6.09 inches, 91.0 cm2(~80.2% screen-to-body ratio)",,160.1 g (5.64 oz),2020,Wiko View3 Lite,,GSM / HSPA / LTE,,"LED flash, HDR",,,GPS,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,TFT LCD,146.8 x 71.8 x 9.3 mm (5.78 x 2.83 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y60.jpg,eMMC 5.1,"4.2, A2DP, LE",Yes,,No,Nano-SIM + Micro-SIM,"1, 3, 7, 8, 20",1080p@30fps,Wiko,,Available. Released 2020,"Accelerometer, proximity, compass","480 x 960 pixels, 18:9 ratio (~197 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 50 EUR,,W-K510-OPE,,microUSB 2.0,PowerVR GE8100,16GB 1GB RAM,microSDXC,"Gradient Dark Bleen (Anthracite Blue), Gradient Bl",HSDPA 850 / 900 / 1900 / 2100,,Android 9.0 Pie (Go edition),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A53,,,,FM radio,,Li-Ion 2500 mAh,GSM 850 / 900 / 1800 / 1900,"5.45 inches, 76.7 cm2(~72.7% screen-to-body ratio)",,177.7 g (6.28 oz),2020,Wiko Y60,,GSM / HSPA / LTE,,LED flash,,,GPS,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
,TN TFT LCD,148 x 72 x 9.3 mm (5.83 x 2.83 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view3-plus.jpg,,"4.0, A2DP, LE",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,Available. Released 2019,"Accelerometer, proximity","480 x 960 pixels, 18:9 ratio (~197 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 50 EUR,,,,microUSB 2.0,Mali-400 MP2,8GB 1GB RAM,microSDXC,"Anthracite, Gold, Cherry Red, Grey",HSDPA 850 / 900 / 2100,,Android 8.0 Oreo (Go edition),Yes,2 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,Li-Ion 2200 mAh,GSM 850 / 900 / 1800 / 1900,"5.45 inches, 76.7 cm2(~71.9% screen-to-body ratio)",,175 g (6.17 oz),2019,Wiko Sunny3 Plus,,GSM / HSPA,,"LED flash, HDR",,,GPS,,,HSPA 21.1/5.76 Mbps,
,TN LCD,146 x 73.5 x 8.7 mm (5.75 x 2.89 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y50-new.jpg,,"4.2, A2DP",Yes,,No,Nano-SIM + Micro-SIM,,720p@30fps,Wiko,,"Available. Released 2019, July",Accelerometer,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 50 EUR,,,LED flash,microUSB 2.0,Mali-T820 MP1,"16GB 1GB RAM, 32GB 1GB RAM",microSDXC,"Dark Grey, Blue, Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 8.1 (Oreo) (Go Edition),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,0.86 W/kg (head)     1.40 W/kg (body),,,FM Radio,,Li-Ion 2200 mAh,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",,160 g (5.64 oz),"2019, July",Wiko Y50,,GSM / HSPA,,"LED flash, HDR, panorama",,,GPS,,,HSPA 42.2/5.76 Mbps,
,IPS LCD,160 x 77 x 9 mm (6.30 x 3.03 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y70-new.jpg,,"4.2, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,"Available. Released 2019, July","Accelerometer, proximity, compass","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,"8 MP, AF",About 80 EUR,,,LED flash,"microUSB 2.0, OTG",Mali-T820 MP1,16GB 1GB RAM,microSDHC,"Gradient Dark Blue, Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 9.0 Pie (Go Edition),"Yes, with dual speakers",5 MP,,Quad-core 1.3 GHz Cortex-A7,0.50 W/kg (head)     1.61 W/kg (body),,,FM Radio,,Li-Ion 3730 mAh,GSM 850 / 900 / 1800 / 1900,"5.99 inches, 92.6 cm2(~75.2% screen-to-body ratio)",,167 g (5.89 oz),"2019, July",Wiko Y70,,GSM / HSPA,,"LED flash, HDR, panorama",,,GPS,,,HSPA 21/5.76 Mbps,
,IPS LCD,160 x 77 x 9 mm (6.30 x 3.03 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-jerry4-new.jpg,,"4.2, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,"Available. Released 2019, July","Accelerometer, proximity, compass","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,"8 MP, AF",About 80 EUR,,,LED flash,"microUSB 2.0, OTG",Mali-T820 MP1,16GB 1GB RAM,microSDHC,"Gradient Dark Blue, Gold",HSDPA 900 / 2100,,Android 9.0 Pie (Go Edition),"Yes, with dual speakers",5 MP,,Quad-core 1.3 GHz Cortex-A7,0.50 W/kg (head)     1.61 W/kg (body),,,FM radio,,Li-Po 3730 mAh,GSM 850 / 900 / 1800 / 1900,"5.99 inches, 92.6 cm2(~75.2% screen-to-body ratio)",,167 g (5.89 oz),"2019, July",Wiko Jerry4,,GSM / HSPA,,"LED flash, HDR, panorama",,,GPS,,,HSPA 21.1/5.76 Mbps,
eMMC 5.1,IPS LCD,147.6 x 71.3 x 8.4 mm (5.81 x 2.81 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-tommy3-plus.jpg,eMMC 5.1,"4.2, A2DP, LE",Yes,Mediatek MT6739WA (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,"Anthracite Matte, Anthracite Mirror, Gold, Cherry",Available. Released 2019,"Accelerometer, proximity, compass","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",About 80 EUR,,,LED flash,"microUSB 2.0, OTG",PowerVR GE8100,16GB 2GB RAM,microSDXC,,HSDPA 850 / 900 / 1900 / 2100,,Android 8.1 (Oreo),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A53,,,,FM radio,,Li-Po 2900 mAh,GSM 850 / 900 / 1800 / 1900,"5.45 inches, 76.7 cm2(~72.8% screen-to-body ratio)",,150 g (5.29 oz),2019,Wiko Tommy3 Plus,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,GPS,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,148 x 72 x 9.1 mm (5.83 x 2.83 x 0.36 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-jerry3.jpg,eMMC 5.1,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,Available. Released 2019,"Accelerometer, proximity, compass","480 x 960 pixels, 18:9 ratio (~197 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 60 EUR,,,,microUSB 2.0,Mali-400 MP2,16GB 1GB RAM,microSDXC,"Anthracite, Gold, Bleen, Cherry Red",HSDPA 900 / 2100,,Android 8.0 Oreo (Go edition),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,Li-Po 2500 mAh,GSM 850 / 900 / 1800 / 1900,"5.45 inches, 76.7 cm2(~71.9% screen-to-body ratio)",,172 g (6.07 oz),2019,Wiko Jerry3,,GSM / HSPA,,"LED flash, HDR",,,GPS,,,HSPA 21.1/5.76 Mbps,
,IPS LCD,160 x 76.5 x 8.6 mm (6.30 x 3.01 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-y80.jpg,,"4.2, A2DP, LE",Yes,Unisoc SC9863A (28 nm),No,Nano-SIM + Micro-SIM,"1, 3, 5, 7, 8, 20",1080p@30fps,Wiko,"Dark Blue, Bleen, Gold","Available. Released 2019, April","Accelerometer, proximity, compass","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,About 80 EUR,,W-V720-SUN,,"microUSB 2.0, OTG",IMG8322,16GB 2GB RAM,microSDXC,,HSDPA 850 / 900 / 1900 / 2100,,Android 9.0 Pie,Yes,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,"13 MP, AF2 MP",FM radio,,"Li-Po 4000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"5.99 inches, 92.6 cm2(~75.6% screen-to-body ratio)",,185 g (6.53 oz),"2019, April",Wiko Y80,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,GPS,,0.49 W/kg (head)     1.35 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
,TFT LCD,146.7 x 74 x 10 mm (5.78 x 2.91 x 0.39 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-sunny3.jpg,,"4.0, A2DP, LE",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,720p@30fps,Wiko,"Anthracite, Gold, Silver, Bleen, Cherry Red","Available. Released 2019, Q1","Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Wi-Fi 802.11 b/g/n,5 MP,,,,,microUSB 2.0,Mali-T820 MP1,8GB 512MB RAM,microSDXC,,HSDPA 900 / 2100,,Android 8.0 Oreo (Go edition),Yes,2 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Ion 2000 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~63.5% screen-to-body ratio)",,140 g (4.94 oz),"2019, Q1",Wiko Sunny3,,GSM / HSPA,,"LED flash, HDR, panorama",,,GPS,,0.48 W/kg (head)     1.80 W/kg (body),HSPA 21.1/5.76 Mbps,
eMMC 5.1,IPS LCD,159.5 x 75 x 8.1 mm (6.28 x 2.95 x 0.32 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view3-pro.jpg,,"4.2, A2DP, LE",Yes,Mediatek MT6771 Helio P60 (12 nm),Yes,Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20, 28, 40",1080p@30fps,Wiko,,"Available. Released 2019, May","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm, PDAF",About 250 EUR,,,HDR,USB Type-C 2.0,Mali-G72 MP3,"64GB 4GB RAM, 128GB 6GB RAM",microSDXC (uses shared SIM slot),"Nightfall (Anthracite Blue/Gold), Ocean (Deep Bleen)",HSDPA 850 / 900 / 1900 / 2100,,Android 9.0 (Pie),Yes,,"12 MP, 27mm (wide), 1/2.9"", 1.25µm, PDAF13 MP, 16mm (ultrawide)5 MP, f/2.4, (depth)",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,,FM radio,,"Li-Po 4000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"6.3 inches, 97.4 cm2(~81.4% screen-to-body ratio)",,184 g (6.49 oz),"2019, February",Wiko View3 Pro,1080p@30fps,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,"GPS, GLONASS, GALILEO, BDS",,0.61 W/kg (head)     1.50 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/150 Mbps",
eMMC 5.1,IPS LCD,159 x 76.5 x 8.2 mm (6.26 x 3.01 x 0.32 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view-3.jpg,,"4.2, A2DP, LE",Yes,Mediatek MT6762WB Helio P22 (12 nm),No,Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20, 28, 40",1080p@30fps,Wiko,,"Available. Released 2019, May","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",8 MP,About 180 EUR,,W-P311-EEA,HDR,"microUSB 2.0, OTG",PowerVR GE8320,"32GB 3GB RAM, 64GB 3GB RAM",microSDXC (uses shared SIM slot),"Night Blue (Anthracite Blue), Blush Gold, Electro Bleen",HSDPA 850 / 900 / 1900 / 2100,,Android 9.0 (Pie),Yes,,"12 MP, 27mm (wide), 1/2.9"", 1.25µm, PDAF13 MP, 120˚, 16mm (ulrawide)2 MP, (depth)",Octa-core 2.0 GHz Cortex-A53,,,,FM radio,,"Li-Po 4000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"6.26 inches, 97.8 cm2(~80.4% screen-to-body ratio)",,178 g (6.28 oz),"2019, February",Wiko View3,1080p@30fps,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,"GPS, GLONASS, GALILEO, BDS",,0.25 W/kg (head)     1.09 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,153.6 x 73.1 x 8.5 mm (6.05 x 2.88 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view2-go.jpg,,"4.2, A2DP, LE",Yes,Qualcomm MSM8937 Snapdragon 430 (28 nm),Yes (optional),Nano-SIM + Nano-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,"Available. Released 2018, September","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","720 x 1512 pixels, 19:9 ratio (~282 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","12 MP, 1/2.9"", 1.25μm, PDAF",,,View2 Go,HDR,"microUSB 2.0, OTG",Adreno 505,32GB 3GB RAM,microSDXC (uses shared SIM slot),"Anthracite, Gold, Cherry Red, Deep Bleen, Supernova",HSDPA 850 / 900 / 1900 / 2100,,Android 8.1 (Oreo),Yes,"5 MP, f/2.0",,Octa-core 1.4 GHz Cortex-A53,,,,FM radio,,"Li-Po 4000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"5.93 inches, 88.1 cm2(~78.4% screen-to-body ratio)",,160 g (5.64 oz),"2018, September",Wiko View2 Go,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,0.29 W/kg (head)     1.50 W/kg (body),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,153.4 x 73.2 x 8.6 mm (6.04 x 2.88 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view2-plus.jpg,,"4.2, A2DP, LE",Yes,Qualcomm SDM450 Snapdragon 450 (14 nm),Yes (optional),Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20, 40",1080p@60fps,Wiko,,"Available. Released 2018, September","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","720 x 1512 pixels, 19:9 ratio (~282 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","8 MP, f/2.0",,,,HDR,"microUSB 2.0, OTG",Adreno 506,64GB 4GB RAM,microSDXC (uses shared SIM slot),"Anthracite, Gold, Supernova",HSDPA 850 / 900 / 1900 / 2100,,Android 8.1 (Oreo),Yes,,,Octa-core 1.8 GHz Cortex-A53,,,"12 MP, 1/2.9"", 1.25μm, PDAF12 MP, 1/2.9"", 1.25μm, PDAF",FM radio,,"Li-Po 4000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"5.93 inches, 88.1 cm2(~78.4% screen-to-body ratio)",,166 g (5.86 oz),"2018, September",Wiko View2 Plus,1080p@30fps,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,0.38 W/kg (head)     1.50 W/kg (body),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,157.8 x 75.8 x 7.9 mm (6.21 x 2.98 x 0.31 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view-max-.jpg,,"4.2, A2DP, LE",Yes,Mediatek MT6739WA (28 nm),No,Nano-SIM + Nano-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,"Available. Released 2018, March","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, PDAF",,,"W_P200, W_P200CM",HDR,"microUSB 2.0, OTG",PowerVR GE8100,"16GB 2GB RAM, 32GB 3GB RAM",microSDXC,"Anthracite, Gold, Black",HSDPA 850 / 900 / 1900 / 2100,,Android 8.1 (Oreo),Yes,8 MP,,Quad-core 1.3 GHz Cortex-A53,,,,FM radio,,"Li-Po 4000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"5.99 inches, 92.6 cm2(~77.4% screen-to-body ratio)",,158 g (5.57 oz),"2018, March",Wiko View Max,1080p@30fps,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,0.32 W/kg (head)     1.25 W/kg (body),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,153 x 72.6 x 8.3 mm (6.02 x 2.86 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view2-pro.jpg,,"4.2, A2DP, LE",Yes,Qualcomm SDM450 Snapdragon 450 (14 nm),Yes,Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20",1080p@60fps,Wiko,,"Available. Released 2018, May","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",720 x 1528 pixels (~282 ppi density),"Glass front (Gorilla Glass), aluminum back, aluminum frame","Wi-Fi 802.11 b/g/n, Wi-Fi Direct","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",About 300 EUR,,W_C860,,"microUSB 2.0, OTG",Adreno 506,64GB 4GB RAM,microSDXC (uses shared SIM slot),"Black, Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 8.0 (Oreo),Yes,,,Octa-core 1.8 GHz Cortex-A53,,,"16 MP, f/1.8, dual pixel PDAF16 MP, f/1.8, dual pixel PDAF",Stereo FM radio,,"Li-Po 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"6.0 inches, 89.6 cm2(~80.6% screen-to-body ratio)",,164 g (5.78 oz),"2018, February",Wiko View2 Pro,1080p@30fps,GSM / HSPA / LTE,,"Dual-LED dual-tone flash, panorama",,Corning Gorilla Glass,GPS,,,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",
eMMC 5.1,IPS LCD,154.5 x 72 x 8.3 mm (6.08 x 2.83 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-view2.jpg,,"4.2, A2DP, LE",Yes,Qualcomm MSM8940 Snapdragon 435 (28 nm),Yes,Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20",1080p@30fps,Wiko,,"Available. Released 2018, May","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",720 x 1528 pixels (~282 ppi density),"Glass front (Gorilla Glass), aluminum back, aluminum frame","Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, PDAF",About 200 EUR,,W_C800,,"microUSB 2.0, OTG",Adreno 505,32GB 3GB RAM,microSDXC (uses shared SIM slot),"Anthracite, Gold, Grey",HSDPA 850 / 900 / 1900 / 2100,,Android 8.0 (Oreo),Yes,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",,Octa-core 1.4 GHz Cortex-A53,,,,Stereo FM radio,,"Li-Po 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"6.0 inches, 89.6 cm2(~80.5% screen-to-body ratio)",,153 g (5.40 oz),"2018, February",Wiko View2,1080p@30fps,GSM / HSPA / LTE,,"LED flash, panorama",,Corning Gorilla Glass,GPS,,0.43 W/kg (head)     1.33 W/kg (body),"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",
