,Stand-by,Card slot,Model Name,USB,_3,EDGE,Sensors,SIM,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,Video_1,Call records,Single,Announced,Radio,Loudspeaker,OS,Status,Type,Internal,Browser,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Phonebook,Features,Talk time,_1,3G bands,Alert types,Resolution,2G bands,WLAN
"Second external CSTN (96 x 64 pixels), 4096 colorsDownloadable games, screensavers, wallpapers",Up to 100 h,No,Amoi 2561,Proprietary,,No,,Mini-SIM,,MP3 PlayerPredictive text inputOrganizer,No,"SMS, EMS, MMS, Email",10 + Java downloadable,,GSM,Amoi,85 x 43 x 21 mm (3.35 x 1.69 x 0.83 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/am2561.gif,No,Class 10,Yes,,,,"10 dialed, 10 received, 10 missed calls",VGA,"2004, Q1",FM radio,No,,Discontinued,"TFT, 256K colors",,WAP,Removable Li-Ion 860 mAh battery,No,No,,,500,LED flash,Up to 3 h,No,,Vibration; Downloadable polyphonic ringtones,"132 x 176 pixels, 4:3 ratio",GSM 900 / 1800 / 1900,No
"Downloadable screensavers, wallpapers",Up to 100 h,No,Amoi CS6,,,No,,Mini-SIM,,Predictive text inputOrganizerPC Sync,,"SMS, EMS, MMS",6 + Java downloadable,,GSM,Amoi,91.5 x 44 x 21 mm (3.60 x 1.73 x 0.83 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/amcs6.gif,No,Yes,Yes,,,,"10 dialed, 10 received, 10 missed calls",,"2004, Q1",No,No,,Discontinued,"CSTN, 65K colors",,WAP,Removable Li-Ion 860 mAh battery,No,No,,,500,,Up to 3 h,No,,Vibration; Downloadable polyphonic ringtones,"128 x 128 pixels, 1:1 ratio",GSM 900 / 1800 / 1900,No
"Swivel and rotate 180 degDownloadable screensavers, wallpapers",Up to 100 h,No,Amoi 2560,,,No,,Mini-SIM,,Predictive text inputOrganizerVoice memo,No,"SMS, EMS, MMS, Email",10 + downloadable,,GSM,Amoi,88 x 44 x 21 mm (3.46 x 1.73 x 0.83 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/am2560.gif,No,Yes,No,,,,"10 dialed, 10 received, 10 missed calls",VGA,2003,No,No,,Discontinued,"TFT, 65K colors",,WAP,Removable Li-Ion 860 mAh battery,No,No,,,500,LED flash,Up to 3 h,No,,Vibration; Polyphonic(40) ringtones,128 x 160 pixels,GSM 900 / 1800 / 1900,No
Second external mono OLED display (80 x 48 pixels),Up to 90 h,No,Amoi A90,,Predictive text inputOrganizer,No,,Mini-SIM,,"Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers",,"SMS, MMS, Email",5 + downloadable,,GSM,Amoi,86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in),83 g (2.93 oz),https://fdn2.gsmarena.com/vv/bigpic/ama90.gif,No,Class 10,No,,,,"10 dialed, 10 received, 10 missed calls",,2004,No,No,,Discontinued,"Color graphics, 4K colors",,WAP 1.2.1,Removable Li-Ion 550 mAh battery,No,No,,,500 x 8 fields,,Up to 3 h,No,,Vibration; Downloadable polyphonic ringtones,128 x 160 pixels,GSM 900 / 1800 / 1900,No
Second external mono (32 x 63 pixels),Up to 100 h,No,Amoi F99b,,Predictive text inputOrganizer,No,,Mini-SIM,,"Polyphonic ringtonesDownloadable ringtones, screensavers, wallpapers",,"SMS, EMS, MMS, Email",5,,GSM,Amoi,86 x 49 x 24 mm (3.39 x 1.93 x 0.94 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/amf99b.gif,No,Yes,No,,,,"10 dialed, 10 received, 10 missed calls",,2003,No,No,,Discontinued,"CSTN, 65K colors",,WAP,Removable Li-Ion 860 mAh battery,No,No,,,500,,Up to 3 h,No,,Vibration; Polyphonic(40) ringtones,"128 x 128 pixels, 1:1 ratio",GSM 900 / 1800 / 1900,No
"Second external OLED (80 x 48 pixels)Screensavers, wallpapers",Up to 100 h,No,Amoi A9B,,,No,,Mini-SIM,,Predictive text inputOrganizer,,"SMS, EMS, MMS",5 + downloadable,,GSM,Amoi,86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/ama9b.gif,No,Yes,No,,,,"10 dialed, 10 received, 10 missed calls",,2003,No,No,,Discontinued,"CSTN, 65K colors",,WAP,Removable Li-Ion 860 mAh battery,No,No,,,Yes,,Up to 3 h,No,,Vibration; Polyphonic(40) ringtones,"128 x 128 pixels, 1:1 ratio",GSM 900 / 1800 / 1900,No
Second external OLED (96 x 64 pixels),Up to 100 h,No,Amoi CA8,,Predictive text inputOrganizer,No,,Mini-SIM,,"Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers",,"SMS, MMS",5 + Java downloadable,,GSM,Amoi,85.8 x 49 x 24.6 mm (3.38 x 1.93 x 0.97 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/amca8.gif,No,Yes,Yes,,,,"10 dialed, 10 received, 10 missed calls",,2003,No,No,,Discontinued,"CSTN, 65K colors",,WAP,Removable Li-Ion 860 mAh battery,No,No,,,500,,Up to 3 h,No,,Vibration; Polyphonic(40) ringtones,128 x 160 pixels,GSM 900 / 1800 / 1900,No
Second external OLED (96 x 64 pixels),Up to 100 h,No,Amoi CA6,,Predictive text inputOrganizer,No,,Mini-SIM,,"Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers",,"SMS, MMS",5 + downloadable,,GSM,Amoi,85.8 x 49 x 24.6 mm (3.38 x 1.93 x 0.97 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/amca6.gif,No,Yes,No,,,,"10 dialed, 10 received, 10 missed calls",,2003,No,No,,Discontinued,"CSTN, 65K colors",,WAP,Removable Li-Ion 860 mAh battery,No,No,,,500,,Up to 3 h,No,,Vibration; Polyphonic(40) ringtones,128 x 160 pixels,GSM 900 / 1800 / 1900,No
Second external OLED (80 x 48 pixels),Up to 100 h,No,Amoi A90B,,Predictive text inputOrganizer,No,,Mini-SIM,,"Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers",,SMS,5 + downloadable,,GSM,Amoi,86 x 44 x 20 mm (3.39 x 1.73 x 0.79 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/ama90b.gif,No,Yes,No,,,,"10 dialed, 10 received, 10 missed calls",,2003,No,No,,Discontinued,"CSTN, 65K colors",,WAP,Removable Li-Ion 860 mAh battery,No,No,,,500,,Up to 3 h,No,,Vibration; Polyphonic(40) ringtones,"128 x 128 pixels, 1:1 ratio",GSM 900 / 1800 / 1900,No
Blue backlight,Up to 100 h,No,Amoi S6,,Predictive text inputOrganizerPC SyncE-book (downloadable),No,,Mini-SIM,,"Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers",,"SMS, Email",6,,GSM,Amoi,91.5 x 44 x 21 mm (3.60 x 1.73 x 0.83 in),80 g (2.82 oz),https://fdn2.gsmarena.com/vv/bigpic/ams6.gif,No,Class 10,No,,,,"10 dialed, 10 received, 10 missed calls",,2003,No,No,,Discontinued,"OLED, Grayscale (16 shades)",,WAP 1.2.1,Removable Li-Ion 860 mAh battery,No,No,,,200 x 8 fields,,Up to 3 h,No,,Vibration; Polyphonic(40) ringtones,"128 x 128 pixels, 1:1 ratio",GSM 900 / 1800 / 1900,No
