,CPU,Single,Internal,Model Image,SIM,WLAN,Price,Dimensions,_3,_4,Performance,128GB 8GB RAM,Battery (new),Dual,Camera,Dual_1,NFC,Infrared port,Quad,OS,4G bands,USB,Protection,Video,_5,5G bands,Size,Speed,Card slot,3G bands,2G bands,64GB 3GB RAM,Positioning,Announced,Type,Video_1,Type_1,Build,256GB 8GB RAM,SAR,Bluetooth,Loudspeaker_1,512GB 8GB RAM,Radio,Chipset,256GB 12GB RAM,Display,Features,Sensors,Technology,Colors,Weight,Status,Features_1,Single_1,Loudspeaker,Models,Charging,_1,Battery (old),GPU,_2,64GB 4GB RAM,3.5mm jack,Resolution,Model Name,Brand,Triple
eMMC 5.1,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),16 MP,64GB 4GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-note-11i.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 140 EUR,173.2 x 78.7 x 8.8 mm (6.82 x 3.10 x 0.35 in),,,,,,,,,No,,,"Android 11, XOS 7.6","1, 3, 7, 8, 20, 28","USB Type-C 2.0, OTG",,"1440p@30fps, 1080p@30fps",,,"6.95 inches, 114.7 cm2(~84.2% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, November 15",IPS LCD,1080p@30fps,5000 mAh,"Glass front, plastic frame, plastic back",,,Yes,,,FM radio,Mediatek MT6769Z Helio G85 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Black, Blue, Green",-,"Available. Released 2021, November 15",,,"Yes, with dual speakers",,18W wired,,,Mali-G52 MC2,,,Yes,1080 x 2460 pixels (~387 ppi density),Infinix Note 11i,Infinix,"48 MP, f/1.8, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)"
HSDPA 850 / 900 / 2100,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),16 MP,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-11s.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 180 EUR,173.1 x 78.4 x 8.7 mm (6.81 x 3.09 x 0.34 in),UFS 2.2,,,,,,,,No,,,"Android 11, XOS 10","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41, 40","USB Type-C 2.0, OTG",,1440p@30fps,,,"6.95 inches, 114.7 cm2(~84.5% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, November 08","IPS LCD, 120Hz",1080p@30fps,5000 mAh,"Glass front, plastic frame, plastic back",,,Yes,,,FM radio,Mediatek MT6781 Helio G96 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Haze Green, Mithril Gray, Symphony Cyan",-,"Available. Released 2021, November 08",,,"Yes, with dual speakers",X698,33W wired,"1, 3, 5, 8, 38, 40, 41",,Mali-G57 MC2,"1, 3, 7, 8, 20, 28",,Yes,1080 x 2460 pixels (~387 ppi density),Infinix Note 11s,Infinix,"50 MP, f/1.6, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)"
HSDPA 850 / 900 / 2100,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),16 MP,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note11.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 100 EUR,164.4 x 76.7 x 7.9 mm (6.47 x 3.02 x 0.31 in),,,,,,,,,Yes (market/region dependent),,,"Android 11, XOS 10","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41, 40","USB Type-C 2.0, OTG",,1440p@30fps,,,"6.7 inches, 108.4 cm2(~86.0% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, November 03","AMOLED, 650 nits (peak)",1080p@30fps,5000 mAh,"Glass front, plastic frame, plastic back",,,Yes,,,FM radio,Mediatek MT6769H Helio G88 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Celestial Snow, Glacier Green, Graphite Black",184 g (6.49 oz),"Available. Released 2021, December 08",,,"Yes, with dual speakers","X663, X663B",33W wired,"1, 3, 5, 8, 38, 40, 41",,Mali-G52 MC2,"1, 3, 7, 8, 20, 28",,Yes,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Infinix Note 11,Infinix,"50 MP, f/1.6, (wide), PDAF2 MP, f/2.4, (depth)QVGA"
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),5 MP,"32GB 2GB RAM, 64GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-6.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 b/g/n,About 100 EUR,165.6 x 76.4 x 9.1 mm (6.52 x 3.01 x 0.36 in),,,,,,"8 MP, AF0.8 MP, (depth)",,,Yes (market/region dependent),,,"Android 11 (Go edition), XOS 7.6","1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.6 inches, 105.2 cm2(~83.1% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, October 26","IPS LCD, 500 nits (typ)",720p@30fps,5000 mAh,"Glass front, plastic back, plastic frame",,,Yes,,,FM radio,Unisoc SC9863A (28 nm),,,Dual-LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Purple, Ocean Blue, Light Sea Green, Polar Black",-,"Available. Released 2021, October 26",LED flash,,Yes,"X6511B, X6511, X6511E",10W wired,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",,IMG8322,eMMC 5.1,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix Smart 6,Infinix,
HSDPA 850 / 900 / 2100,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),16 MP,"128GB 4GB RAM, 128GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-11-pro.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,173.1 x 78.4 x 8.7 mm (6.81 x 3.09 x 0.34 in),UFS 2.2,,"AnTuTu:  290797 (v8),  343527 (v9)GeekBench: 1800 (v5.1)GFXBench: 11fps (ES 3.1 onscreen)",,,,Photo/Video,,No,,,"Android 11, XOS 10","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41, 40","USB Type-C 2.0, OTG",,1440p@30fps,,,"6.95 inches, 114.7 cm2(~84.5% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, October 12","IPS LCD, 120Hz",1080p@30fps,5000 mAh,"Glass front, plastic frame, plastic back",,,Yes,-23.0 LUFS (Excellent),,FM radio,Mediatek MT6781 Helio G96 (12 nm),,"1610:1 contrast ratio, 470 nits max brightness (measured)","Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Mithril Grey, Haze Green, Mist Blue",209 (7.37 oz),"Available. Released 2021, November 19",,,"Yes, with dual speakers",X697,33W wired,"1, 3, 5, 8, 38, 40, 41",Endurance rating 128h,Mali-G57 MC2,"1, 3, 7, 8, 20, 28",,Yes,1080 x 2460 pixels (~387 ppi density),Infinix Note 11 Pro,Infinix,"64 MP, f/1.7, (wide), 1/1.72"", 0.8µm, PDAF13 MP, f/2.5, 50mm (telephoto), 1/3.1"", 1.12µm, PDAF, 2x optical zoom2 MP, f/2.4, (depth)"
eMMC 5.1,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"8 MP, f/2.0, (wide)","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot11s.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,About 140 EUR,168.9 x 77 x 8.8 mm (6.65 x 3.03 x 0.35 in),,,,,,,,,No,,,"Android 11, XOS 7.6","1, 3, 5, 8, 38, 40, 41","USB Type-C 2.0, OTG",NEG Dinorex T2X-1,1440p@30fps,,,"6.78 inches, 108.6 cm2(~83.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, September 17","IPS LCD, 90Hz, 500 nits (peak)",1440p@30fps,5000 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769H Helio G88 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Polar Black, Green Wave, Purple",205 g (7.23 oz),"Available. Released 2021, September 21",Dual-LED flash,,"Yes, with dual speakers","X6812, X6812B",,,,Mali-G52 MC2,,,Yes,1080 x 2480 pixels (~399 ppi density),Infinix Hot 11s,Infinix,"50 MP, f/1.6, (wide), PDAF2 MP, (depth)QVGA"
eMMC 5.1,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),"8 MP, f/2.0, (wide)","64GB 4GB RAM, 128GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot11.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,About 110 EUR,164.7 x 76.2 x 8.9 mm (6.48 x 3.00 x 0.35 in),,,,,,"13 MP, f/1.8, (wide), PDAFQVGA",,,No,,,"Android 11, XOS 7.6","1, 3, 5, 8, 38, 40, 41","USB Type-C 2.0, OTG",,1440p@30fps,,,"6.6 inches, 104.9 cm2(~83.6% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, September 17","IPS LCD, 500 nits (peak)",1440p@30fps,5200 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769V/CB Helio G70 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Silver Wave, Purple, Emerald Green, Polar Black",201 g (7.09 oz),"Available. Released 2021, September 21",Dual-LED flash,,"Yes, with dual speakers","X662, X662B, X689F",,,,Mali-G52 2EEMC2,,,Yes,"1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",Infinix Hot 11,Infinix,
UFS 2.2,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"16 MP, (wide), 1/2.76"", 1.12µm","128GB 8GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/zero-x-series.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",About 180 EUR,164.1 x 75.7 x 7.8 mm (6.46 x 2.98 x 0.31 in),,,"AnTuTu: 313652 (v8), 363939 (v9)GeekBench: 1674 (v5.1)GFXBench: 18fps (ES 3.1 onscreen)",,,,Photo/Video,,No,,,"Android 11, XOS 10","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",,"4K@30/60fps, 1080p@30fps",,,"6.67 inches, 107.4 cm2(~86.5% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, September 13","AMOLED, 120Hz, 700 nits (peak)","4K@30fps, 1080p@30/60fps",4500 mAh,"Glass front, glass back, plastic frame",,,Yes,-28.3 LUFS (Average),,FM radio,Mediatek MT6785V/CD Helio G95 (12 nm),,515 nits max brightness (measured),"Quad-LED flash, HDR, panorama","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Nebula Black, Starry Silver, Tuscany Brown",193 g (6.81 oz),"Available. Released 2021, September 17",Dual-LED flash,,Yes,"X6810, X6811, X6811B, MZ-Infinix X6811","45W wired, 40% in 15 min",,Endurance rating 119h,Mali-G76 MC4,,,Yes,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Infinix Zero X Pro,Infinix,"108 MP, f/1.8, (wide), 1/1.52"", 0.7µm, PDAF, OIS8 MP, f/3.4, 125mm (periscope telephoto), 1/4.4"", 1.0µm, PDAF, 5x optical zoom, OIS8 MP, f/2.3, 13mm, 120˚ (ultrawide), 1/4.0"", 1.12µm, AF"
UFS 2.2,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"16 MP, (wide)",128GB 8GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-x-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",About 320 EUR,164.1 x 75.7 x 7.8 mm (6.46 x 2.98 x 0.31 in),,,,,,,,,No,,,"Android 11, XOS 7.6","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",,"4K@30fps, 1080p@30fps",,,"6.67 inches, 107.4 cm2(~86.5% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, September 13","AMOLED, 120Hz, 700 nits (peak)",1080p@30fps,4500 mAh,"Glass front, glass back, plastic frame",,,Yes,,,FM radio,Mediatek MT6785V/CD Helio G95 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Nebula Black, Starry Silver",193 g (6.81 oz),"Available. Released 2021, September 17",Dual-LED flash,,"Yes, with dual speakers",,"45W wired, 40% in 15 min",,,Mali-G76 MC4,,,Yes,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Infinix Zero X,Infinix,"64 MP, f/1.9, (wide), PDAF, OIS8 MP, f/3.4, 125mm (periscope telephoto), PDAF, 5x optical zoom, OIS8 MP, f/2.3, 13mm, 120˚ (ultrawide), 1/4.0"", 1.12µm, AF"
HSDPA 850 / 900 / 2100,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"16 MP, (wide)",128GB 8GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-x-neo-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",About 210 EUR,168.4 x 76.5 x 8.8 mm (6.63 x 3.01 x 0.35 in),,,,,,,,,No,,,"Android 11, XOS 7.6","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",,"4K@30fps, 1080p@30fps",,,"6.78 inches, 109.2 cm2(~84.7% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, September 13","IPS LCD, 90Hz",1080p@30fps,5000 mAh,,,,Yes,,,FM radio,Mediatek MT6785V/CD Helio G95 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Nebula Black, Starry Silver, Bahamas Blue",-,"Available. Released 2021, October 02",Dual-LED flash,,"Yes, with dual speakers",,18W wired,"1, 3, 5, 8, 38, 40, 41",,Mali-G76 MC4,UFS 2.2,,Yes,1080 x 2460 pixels (~396 ppi density),Infinix Zero X Neo,Infinix,"48 MP, f/1.8, 25mm (wide), PDAF8 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom2 MP, f/2.4, (depth)"
HSDPA 850 / 900 / 2100,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),"5 MP, (wide)","32GB 3GB RAM, 64GB 2GB RAM, 64GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-10i.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 100 EUR,164.3 x 76 x 9.6 mm (6.47 x 2.99 x 0.38 in),,,,,,"13 MP, f/1.8, (wide), AFQVGA",,,No,,,"Android 11, XOS 7.5","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66",microUSB 2.0,,1440p@30fps,,,"6.52 inches, 102.6 cm2(~82.2% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, May 20","IPS LCD, 500 nits (peak)",Unspecified,6000 mAh,,,,Yes,,,FM radio,Mediatek MT6769V Helio G70 (12 nm),,,Quad-LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Black, Purple, Morandi Green, Heart of Ocean",-,"Available. Released 2021, May 20",,,Yes,"X659B, PR652B, X658E, PR652C, X658B",18W wired,"1, 3, 5, 8, 38, 40, 41",,Mali-G52 MC2,eMMC 5.1,,Yes,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Infinix Hot 10i,Infinix,
HSDPA 850 / 900 / 2100,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"16 MP, (wide)","128GB 6GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-10-pro-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,172.8 x 78.3 x 7.8 mm (6.80 x 3.08 x 0.31 in),UFS 2.2,,,,,,,,Yes,,"64 MP, (wide), 1/1.72"", 0.8µm, PDAF8 MP, 120˚ (ultrawide)2 MP, f/2.4, (depth)2 MP, f/2.4, (monochrome)","Android 11, XOS 7.6","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41, 40, 66","USB Type-C 2.0, OTG",,"4K@30fps, 1080p@30fps",,,"6.95 inches, 114.7 cm2(~84.8% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, May 12","IPS LCD, 90Hz",1080p@30fps,5000 mAh,,,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6785V/CD Helio G95 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Black, Purple, Nordic Secret",-,"Available. Released 2021, June 07",,,"Yes, with dual speakers",X695C,33W wired,"1, 3, 5, 8, 38, 40, 41",,Mali-G76 MC4,"1, 3, 7, 8, 20, 28",,Yes,1080 x 2460 pixels (~387 ppi density),Infinix Note 10 Pro NFC,Infinix,
HSDPA 850 / 900 / 2100,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),16 MP,"64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-10-pro-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","₹ 14,499",172.8 x 78.3 x 7.8 mm (6.80 x 3.08 x 0.31 in),UFS 2.2,,,,,,Photo/Video,,No,,"64 MP, (wide), 1/1.72"", 0.8µm, PDAF8 MP, 120˚ (ultrawide)2 MP, f/2.4, (depth)2 MP, f/2.4, (monochrome)","Android 11, XOS 7.6","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41, 40, 66","USB Type-C 2.0, OTG",,"4K@30fps, 1080p@30fps",,,"6.95 inches, 114.7 cm2(~84.8% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, May 12","IPS LCD, 90Hz",1080p@30fps,5000 mAh,,"₹ 14,499",0.61 W/kg (head)     0.22 W/kg (body),"5.0, A2DP, LE",-25.3 LUFS (Very good),,FM radio,Mediatek MT6785V/CD Helio G95 (12 nm),,"1326:1 contrast ratio, 447 nits max brightness (measured)","Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Black, Purple, Nordic Secret",209 g (7.37 oz),"Available. Released 2021, June 07",,,"Yes, with dual speakers","X695, X695D",33W wired,"1, 3, 5, 8, 38, 40, 41",Endurance rating 128h,Mali-G76 MC4,"1, 3, 7, 8, 20, 28",,Yes,1080 x 2460 pixels (~387 ppi density),Infinix Note 10 Pro,Infinix,
HSDPA 850 / 900 / 2100,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),16 MP,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-10.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 170 EUR,173.2 x 78.7 x 8.8 mm (6.82 x 3.10 x 0.35 in),,,,,,,,,No,,,"Android 11, XOS 7.6","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41, 40, 66","USB Type-C 2.0, OTG",,"1440p@30fps, 1080p@30fps",,,"6.95 inches, 114.7 cm2(~84.2% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, May 12",IPS LCD,1080p@30fps,5000 mAh,"Glass front, plastic frame, plastic back",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769Z Helio G85 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Black, Purple, Emerald Green",-,"Available. Released 2021, June 07",,,"Yes, with dual speakers",X693,18W wired,"1, 3, 5, 8, 38, 40, 41",,Mali-G52 MC2,"1, 3, 7, 8, 20, 28",,Yes,1080 x 2460 pixels (~387 ppi density),Infinix Note 10,Infinix,"48 MP, PDAF2 MP, f/2.4, (depth)2 MP, f/2.4, (monochrome)"
eMMC 5.1,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),"8 MP, (wide)","64GB 4GB RAM, 128GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-10t-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 140 EUR,171.5 x 77.5 x 9.2 mm (6.75 x 3.05 x 0.36 in),,,,,,,,,No,,,"Android 11, XOS 7.6","1, 3, 7, 8, 20, 28","microUSB 2.0, OTG",,1080p@30fps,,,"6.82 inches, 110.5 cm2(~83.1% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, May 04",IPS LCD,1080p@30fps,5000 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769V/CB Helio G70 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Black, Purple, Morandi Green, Heart of Ocean",-,"Available. Released 2021, May 04",Dual-LED flash,,Yes,X689C,,,,Mali-G52 2EEMC2,,,Yes,720 x 1640 pixels (~263 ppi density),Infinix Hot 10T,Infinix,"48 MP, (wide), PDAF2 MPThird, unknown camera"
eMMC 5.1,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"8 MP, (wide)","64GB 4GB RAM, 128GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-10s--.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 110 EUR,171.5 x 77.5 x 9.2 mm (6.75 x 3.05 x 0.36 in),,,,,,,,,NFC,,,"Android 11, XOS 7.6","1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.82 inches, 110.5 cm2(~83.1% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, April 21","IPS LCD, 90Hz",1080p@30fps,5000 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769Z Helio G85 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Black, Purple, Morandi Green, Heart of Ocean",-,"Available. Released 2021, May 12",Dual-LED flash,,Yes,,,,,Mali-G52 MC2,,,Yes,720 x 1640 pixels (~263 ppi density),Infinix Hot 10s NFC,Infinix,"48 MP, f/1.8, (wide), 1/2.0, 0.8µm, PDAF2 MP, f/2.4, (depth)Third, unknown camera"
