,Chipset,Brand,Positioning,Loudspeaker_1,GPRS,_1,_3,Audio quality,Status,WLAN,Sensors,Loudspeaker,Resolution,Talk time,Weight,Video_1,CPU,Java,Type_1,Keyboard,3.5mm jack,Card slot,Browser,Internal,_2,Games,Single_1,Phonebook,Bluetooth,USB,Dimensions,Model Name,2G bands,Model Image,Stand-by,Price,Languages,Speed,Announced,Technology,SAR EU,EDGE,GPU,Infrared port,Features,Colors,OS,Type,Video,3G bands,Call records,SIM,Single,Radio,Messaging,Alert types,Size
TouchFLO finger swipe navigationHandwriting recognition,Qualcomm MSM7200,O,No,,,Pocket OfficeVoice memoMP3/AAC player,,,Cancelled,No,,Yes,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 5 h,120 g (4.23 oz),,400 MHz ARM 11,,Removable Li-Ion 1120 mAh battery,Half-QWERTY,No,microSD,"WAP 2.0/xHTML, HTML (PocketIE)","96MB RAM, 128MB ROM",,,CIF videocall camera,,2.0,miniUSB,107 x 55 x 15.8 mm (4.21 x 2.17 x 0.62 in),O2 XDA Star,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-star.gif,Up to 250 h,,,HSPA 3.6/0.384 Mbps,"2007, October",GSM / HSPA,,,Adreno 130,,,Black,Microsoft Windows Mobile 6.0 Professional,"TFT resistive touchscreen, 65K colors",Yes,HSDPA 2100,,Mini-SIM,2 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.6 inches, 20.9 cm2(~35.6% screen-to-body ratio)"
Hidden LED display on front shell,,O,No,Voice 65dB / Noise 65dB / Ring 78dB,,MP3/AAC/AAC+ playerPredictive text inputOrganizer,,Noise -80.1dB / Crosstalk -79.6dB,Discontinued,No,,Yes,"240 x 320 pixels, 4:3 ratio (~175 ppi density)",Up to 5 h,114 g (4.02 oz),,,Yes,Removable Li-Ion battery,,Yes,microSD (dedicated slot),"WAP 2.0/xHTML, HTML",2GB,,"Tetris, Ice Hockey, Sims2 + downloadable",Videocall camera,"1000 entries, Photocall","2.0, A2DP",2.0,94 x 49 x 21 mm (3.70 x 1.93 x 0.83 in),O2 Cocoon,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-cocoon.gif,Up to 350 h,,,"Yes, 384 kbps","2007, June",GSM / HSPA,,,,,LED flash,White,,"TFT, 256K colors",Yes,HSDPA 2100,"20 dialed, 20 received, 20 missed calls",Mini-SIM,"2 MP, AF","Stereo FM radio, RDS","SMS, MMS, Email","Vibration; Downloadable polyphonic, MP3 ringtones","2.28 inches, 16.1 cm2(~35.0% screen-to-body ratio)"
Handwriting recognition,,O,No,,,Pocket OfficeVoice memoMP3/AAC playerTV-out,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"480 x 640 pixels, 4:3 ratio (~222 ppi density)",Up to 6 h,190 g (6.70 oz),,Intel XScale PXA 270 520 MHz,,Removable Li-Po 1620 mAh battery,,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML (PocketIE)","128MB RAM, 2GB ROM",,,VGA videocall camera,,2.0,"miniUSB, OTG",126 x 74 x 17.5 mm (4.96 x 2.91 x 0.69 in),O2 XDA Flame,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-flame.gif,Up to 200 h,About 280 EUR,,"Yes, 384 kbps","2007, February",GSM / UMTS,,,,Yes,LED flash,Silver,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 256K colors (65K effective)",Yes,UMTS 2100,,Mini-SIM,"2 MP, AF","Stereo FM radio, RDS",,"Vibration; Downloadable polyphonic, MP3 ringtones","3.6 inches, 40.1 cm2(~43.0% screen-to-body ratio)"
Handwriting recognition,,O,No,,,Pocket OfficeVoice memoMP3/AAC player,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",Up to 4 h,145 g (5.11 oz),,Intel XScale PXA 270 620 MHz,,Removable Li-Po 1530 mAh battery,,No,miniSD,"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 1GB ROM",,,VGA videocall camera,,1.2,miniUSB,106 x 58 x 18 mm (4.17 x 2.28 x 0.71 in),O2 XDA Atom Life,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-atom-life.gif,Up to 200 h,About 250 EUR,,HSPA,"2007, January",GSM / HSPA,,,,Yes,LED flash,Silver,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 256K colors (65K effective)",Yes,HSDPA 1900 / 2100,,Mini-SIM,2 MP,"Stereo FM radio, RDS",,"Vibration; Downloadable polyphonic, MP3 ringtones","2.7 inches, 22.6 cm2(~36.7% screen-to-body ratio)"
Handwriting recognition,,O,No,,,Pocket OfficeVoice memoMP3/AAC player,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,175 g (6.17 oz),,Intel XScale PXA 270 520 MHz,,Removable Li-Ion 1300 mAh battery,QWERTY,No,miniSD,"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 128MB ROM",,,VGA videocall camera,,Yes,miniUSB,109 x 58 x 22.6 mm (4.29 x 2.28 x 0.89 in),O2 XDA Zinc,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zinc.gif,Up to 220 h,About 240 EUR,,"Yes, 384 kbps","2006, December",GSM / UMTS,,,,Yes,LED flash,Silver,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 65K colors",Yes,UMTS 2100,,Mini-SIM,2 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.8 inches, 24.3 cm2(~38.4% screen-to-body ratio)"
Video telephonyMP3/WMA/WAV/AMR-NB/AAC playerPredictive text inputOrganizerVoice memo,,O,No,,,,,,Discontinued,Wi-Fi 802.11b/g,,"Yes, with stereo speakers","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 4 h,105 g (3.70 oz),,Intel XScale PXA 270 416 MHz,,Removable Li-Ion 1100 mAh battery,,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 128MB ROM",,,VGA videocall camera,,1.2,miniUSB,109.5 x 46.9 x 18 mm (4.31 x 1.85 x 0.71 in),O2 XDA Graphite,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-graphite.gif,Up to 200 h,About 290 EUR,,"Yes, 384 kbps","2006, December",GSM / UMTS,,,,,LED flash,,Microsoft Windows Mobile 5.0 Smartphone,"TFT, 65K colors",Yes,UMTS 2100,,Mini-SIM,2 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.2 inches, 15.0 cm2(~29.2% screen-to-body ratio)"
Handwriting recognition,TI OMAP 850,O,"GPS, CoPilot Live Navigator",,Class 10,No,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,129 g (4.55 oz),,200 MHz ARM926EJ-S,,Removable Li-Ion battery,,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 128MB ROM",Pocket OfficeVoice memoMP3/AAC player,,,,2.0,Proprietary,108 x 58 x 16.8 mm (4.25 x 2.28 x 0.66 in),O2 XDA Orbit,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit.gif,Up to 200 h,,,,"2006, September",GSM,,Class 10,,,,"Silver, Black",Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 65K colors",QCIF,,,Mini-SIM,2 MP,FM radio,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.8 inches, 24.3 cm2(~38.8% screen-to-body ratio)"
HTC JOGGR touch-sensitive navigation bar,TI OMAP 850,O,No,,Class 10,No,,,Discontinued,Wi-Fi 802.11b,,Yes,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h,130 g (4.59 oz),,200 MHz ARM926EJ-S,,Removable Li-Ion battery,QWERTY,No,microSD (dedicated slot),"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 128MB ROM",MP3/AAC playerPocket OfficePredictive text inputOrganizer,,,,2.0,miniUSB,111 x 62 x 13 mm (4.37 x 2.44 x 0.51 in),O2 Cosmo,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-cosmo.gif,Up to 200 h,,,,"2006, September",GSM,,Class 10,,Yes,,,Microsoft Windows Mobile 5.0 Smartphone,"TFT, 65K colors",Yes,,,Mini-SIM,1.3 MP,No,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer","2.4 inches, 50 x 37 mm, 17.8 cm2(~25.9% screen-to-body ratio)"
Handwriting recognition,,O,No,,Class 10,No,,,Discontinued,Wi-Fi 802.11b/g,,Yes,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h 30 min,140 g (4.94 oz),,Intel XScale PXA 272 416 MHz,,Removable Li-Po 1300 mAh battery,,No,miniSD,"WAP 2.0/xHTML, HTML (PocketIE)","64MB RAM, 192MB ROM",Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPredictive text inputVoice dial,,,,1.2,miniUSB,110 x 53 x 22.5 mm (4.33 x 2.09 x 0.89 in),O2 XDA Stealth,GSM 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stealth.gif,Up to 150 h,About 250 EUR,,,"2006, September",GSM,,No,,Yes,LED flash,Silver,Microsoft Windows Mobile 5.0 PocketPC,"TFT resistive touchscreen, 65K colors",Yes,,,Mini-SIM,"2 MP, AF",No,,"Vibration; Downloadable polyphonic, MP3 ringtones","2.4 inches, 17.8 cm2(~30.6% screen-to-body ratio)"
No,,O,No,,Yes,Predictive text inputOrganizerStopwatch,,,Discontinued,No,,Yes,176 x 220 pixels (~141 ppi density),Up to 9 h 50 min,121 g (4.27 oz),,,Yes,Removable Li-Ion battery,,No,No,WAP,56MB,,Yes+ downloadable,,Yes,2.0,miniUSB,117 x 47 x 20 mm (4.61 x 1.85 x 0.79 in),O2 Jet,GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/o2-jet.gif,Up to 540 h,,,,"2006, October",GSM,,No,,,,Black,,"TFT, 65K colors",,,"20 dialed, 20 received, 20 missed calls",Mini-SIM,,No,"SMS, MMS, Email","Vibration; Downloadable polyphonic, MP3 ringtones","2.0 inches, 12.6 cm2(~22.9% screen-to-body ratio)"
