,CPU,Features,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Triple,Quad,Status,WLAN,Infrared port,Call records,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,Build,NFC,Announced,Video_1,Technology,_1,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Performance,Internal,5G bands,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,Sensors,Java
IP68 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),"LED flash, HDR, panorama","1, 3, 8, 28, 38, 41",,,,"Android 12, upgradable to Android 13",Yes,"5.1, A2DP, LE",,,,,About 380 EUR,,Yes,,Nano-SIM +eSIMNano-SIM + Nano-SIM,"50.3 MP, f/1.9, 23mm (wide), 1/1.55"", dual pixel PDAF8 MP, f/2.4, 15mm (ultrawide)","8 MP, f/2.0, (wide)",158 g (5.57 oz),Qualcomm SM6375 Snapdragon 695 5G (6 nm),,,"Available. Released 2023, September","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,1080 x 2432 pixels (~436 ppi density),,microSDXC,,,"HSPA, LTE, 5G",,Yes,"2023, August",1080p@30fps,GSM / HSPA / LTE / 5G,,,Sharp,,Adreno 619,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense7.jpg,"6.1 inches, 89.0 cm2(~83.7% screen-to-body ratio)",Sharp Aquos sense7,,Black,"IGZO OLED, 1B colors, 1300 nits (peak)",,,152 x 70 x 8 mm (5.98 x 2.76 x 0.31 in),,128GB 6GB RAM,"1, 28, 38, 41, 78 SA/NSA",USB Type-C,,GPS,No,HSDPA 900 / 2100,,,Yes,Li-Ion 4570 mAh,Fingerprint (side-mounted); unspecified sensors,
,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),LED flash,LTE,,,,Android 12,Yes,"5.0, A2DP, LE, aptX HD, aptX Adaptive",,,,,About 150 EUR,,Yes,,Nano-SIM + Nano-SIM,,8 MP,190 g (6.70 oz),Mediatek MT6762G Helio G25 (12 nm),"50 MP, (wide)2 MP, (macro)2 MP, (depth)",,"Available. Released 2022, February 16","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,microSDXC,,,"HSPA, LTE","Glass front, plastic frame, plastic back",Yes,"2022, February 16",1080p@30fps,GSM / HSPA / LTE,,,Sharp,,PowerVR GE8320,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v6plus.jpg,"6.52 inches, 102.6 cm2(~82.3% screen-to-body ratio)",Sharp Aquos V6 Plus,,"Grey Sand, Deep Blue Sea",IPS LCD,,,165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),,64GB 4GB RAM,,USB Type-C 3.0,,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",No,HSDPA 900 / 2100,USB Power Delivery 3.0,SH-C04,1080p@30fps,Li-Ion 5000 mAh,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),LED flash,LTE,,,,Android 12,Yes,"5.0, A2DP, LE, aptX HD, aptX Adaptive",,,,,About 130 EUR,,Yes,,Nano-SIM + Nano-SIM,,5 MP,190 g (6.70 oz),Mediatek MT6762G Helio G25 (12 nm),"13 MP, (wide)2 MP, (macro)2 MP, (depth)",,"Available. Released 2022, February 16","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,microSDXC,,,"HSPA, LTE","Glass front, plastic frame, plastic back",Yes,"2022, February 16",Yes,GSM / HSPA / LTE,,,Sharp,,PowerVR GE8320,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v6.jpg,"6.52 inches, 102.6 cm2(~82.3% screen-to-body ratio)",Sharp Aquos V6,,"Grey Sand, Deep Blue Sea",IPS LCD,,,165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),,32GB 3GB RAM,,USB Type-C 3.0,,GPS,No,HSDPA 900 / 2100,USB Power Delivery 3.0,,1080p@30fps,Li-Ion 5000 mAh,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
IPX5/IP6X/IPX7 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810G compliant,Octa-core (2x2.0 GHz Kryo 460 & 6x1.8 GHz Kryo 460),LED flash,"1, 3, 7, 8, 28, 38, 41",8 MP,,,Android 11,Yes,"5.1, A2DP, LE",,,,,About 230 EUR,,Yes,,Nano-SIM +eSIM,,"13 MP, (wide), AF",162 g (5.71 oz),Qualcomm SM4350 Snapdragon 480 5G (8 nm),,,"Available. Released 2022, January 21","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,microSDXC,,,"HSPA, LTE, 5G","Plastic body, plastic frame",Yes,"2022, January 19",1080p@30fps,GSM / HSPA / LTE / 5G,,,Sharp,,Adreno 619,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-wish.jpg,"5.7 inches, 81.1 cm2(~77.7% screen-to-body ratio)",Sharp Aquos wish,,"Spring Bud Green, Foggy Black",IPS LCD,,,147 x 71 x 8.9 mm (5.79 x 2.80 x 0.35 in),,64GB 4GB RAM,"1, 3, 7, 28, 38, 41, 78 SA/NSA",USB Type-C,,GPS,No,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 3730 mAh,"Fingerprint (side-mounted), accelerometer",
IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min),Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),"LED flash, HDR, panorama","1, 3, 7, 8, 28, 38, 41",,,,Android 11,Yes,"5.1, A2DP, LE",,,,,About 400 EUR,,Yes,,Nano-SIM +eSIM,,12.6 MP,146 g (5.15 oz),Qualcomm SM7225 Snapdragon 750G 5G (8 nm),"48 MP, f/1.8, (wide), AF8 MP, f/2.4, (telephoto), AF, 2x optical zoom8 MP, f/2.4, 120˚ (ultrawide)TOF 3D (depth)",,"Available. Released 2021, October 14","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",,microSDXC,,,"HSPA, LTE, 5G",,Yes,"2021, October 14",1080p@30fps,GSM / HSPA / LTE / 5G,,,Sharp,Corning Gorilla Glass Victus,Adreno 619,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero6.jpg,"6.4 inches, 100.5 cm2(~87.2% screen-to-body ratio)",Sharp Aquos zero6,,Swan Black,"OLED, 1B colors, 240Hz",,,158 x 73 x 7.9 mm (6.22 x 2.87 x 0.31 in),,128GB 8GB RAM,"1, 3, 28, 78, 257 SA/NSA/mmWave",USB Type-C,,"GPS, GLONASS, BDS, GALILEO, QZSS",No,HSDPA 900 / 2100,,,1080p@30fps,Li-Ion 4010 mAh,"Fingerprint (under display, optical), accelerometer",
IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver),"LED flash, HDR, panorama","1, 3, 7, 8, 20, 28, 38, 41",,,,Android 11,Yes,"5.1, A2DP, LE",,,,,About 250 EUR,,Yes,,Nano-SIM + Nano-SIM,,8 MP,178 g (6.28 oz),Qualcomm SM6350 Snapdragon 690 5G (8 nm),"12 MP, f/2.0, (wide), AF8 MP, f/2.4, (telephoto), AF12 MP, f/2.4, 121˚ (ultrawide)",,"Available. Released 2021, June 10","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2280 pixels, 19:9 ratio (~435 ppi density)",,microSDXC,,,"HSPA, LTE, 5G","Glass front, aluminum frame, aluminum back",Yes,"2020, September 25",1080p@30fps,GSM / HSPA / LTE / 5G,UFS,,Sharp,,Adreno 619L,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense5g.jpg,"5.8 inches, 84.0 cm2(~79.9% screen-to-body ratio)",Sharp Aquos sense5G,,"Satin Gold, Titanium Black","IGZO IPS LCD, HDR10",,,148 x 71 x 8.9 mm (5.83 x 2.80 x 0.35 in),,128GB 8GB RAM,"1, 3, 28, 78 SA/NSA",USB Type-C 3.1,,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",No,HSDPA 850 / 900 / 1900 / 2100,27W wired,SHG03,"4K@30fps, 1080p@60fps, 1080p@30fps",Li-Ion 4570 mAh,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min),Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),"LED flash, HDR, panorama","1, 2, 3, 4, 5, 7, 8, 11, 12, 17, 18, 19, 20, 26, 28, 38, 40, 41",,,,Android 10,Yes,"5.1, A2DP, LE",,,,,About 600 EUR,,Yes,,Nano-SIM,,8 MP,198 g (6.98 oz),Qualcomm SM7125 Snapdragon 720G (8 nm),,"48 MP, f/1.8, (wide), AF5 MP, f/2.2, 115˚ (ultrawide)2 MP, f/2.4, 40mm (telephoto macro)2 MP, f/2.4, (depth)","Available. Released 2020, September 11","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,microSDXC,,,"HSPA, LTE",,No,"2020, September 11",1080p@30fps,GSM / HSPA / LTE,,,Sharp,,Adreno 618,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense4plus.jpg,"6.7 inches, 108.4 cm2(~83.7% screen-to-body ratio)",Sharp Aquos sense4 plus,,"Deep Fog Black, Cloud White","IPS LCD, 90Hz",,,166 x 78 x 8.8 mm (6.54 x 3.07 x 0.35 in),,128GB 8GB RAM,,USB Type-C,,"GPS, GLONASS, BDS, GALILEO, QZSS",No,HSDPA 850 / 900 / 1900 / 2100,,,1080p@30fps,Li-Po 4120 mAh,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
IP68 dust/water resistant (up to 1.5m for 30 min),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"LED flash, HDR, panorama","1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 28, 38, 39, 41 - Taiwan",,,,Android 10,"Yes, with stereo speakers","5.0, A2DP, LE, aptX HD, aptX Adaptive",,,,24-bit/192kHz Hi-Res audio,About 670 EUR,,No,,Nano-SIM,"12.2 MP, f/1.7, (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS20 MP, f/2.4, 125˚ (ultrawide), AF","8 MP, f/2.2, 23mm (wide)",141 g (4.97 oz),Qualcomm SM8150 Snapdragon 855 (7 nm),,,"Available. Released 2020, May 22","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,HDR,,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",,No,,,"HSPA, LTE",,Yes,"2020, May 22","1080p@30fps, gyro-EIS",GSM / HSPA / LTE,UFS 3.0,,Sharp,Corning Gorilla Glass 6,Adreno 640,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero2.jpg,"6.4 inches, 100.5 cm2(~86.0% screen-to-body ratio)",Sharp Aquos Zero 2,,Blue,"OLED, 1B colors, 240Hz, HDR10, Dolby Vision",,,158 x 74 x 8.8 mm (6.22 x 2.91 x 0.35 in),,256GB 8GB RAM,,USB Type-C 2.0,,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Wired, PD2.0","SH-Z20, SHV47, 906SH","4K@30fps, 1080p@30fps, gyro-EIS",Li-Ion 3130 mAh,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",
IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),"LED flash, panorama","1, 3, 7, 8, 20, 28, 38, 41",,,,Android 10,"Yes, with stereo speakers","5.1, A2DP, LE, aptX HD, aptX Adaptive",,,,24-bit/192kHz Hi-Res audio,About 700 EUR,,No,,Nano-SIM,,"16 MP, f/2.0, 26mm (wide), 0.7µm",189 g (6.67 oz),Qualcomm SM8250 Snapdragon 865 5G (7 nm+),"12 MP, f/1.7, 26mm (wide), 1.4µm, dual pixel PDAF, OIS12 MP, f/2.7, 52mm (telephoto), 1.0µm, PDAF, 2x optical zoom, OIS48 MP, f/2.9, 19mm (ultrawide), 0.8µmTOF 3D (depth)",,"Available. Released 2020, February","Wi-Fi 802.11 a/b/g/n/ac/ax/6, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,1440 x 3168 pixels (~544 ppi density),,No,,,"HSPA, LTE, 5G",,Yes,"2020, February",1080p@30fps,GSM / HSPA / LTE / 5G,UFS 3.0,,Sharp,,Adreno 650,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquosr5g.jpg,"6.4 inches, 99.5 cm2(~81.9% screen-to-body ratio)",Sharp Aquos R5G,,"Glare Black, Aurora White","IGZO IPS LCD, 1B colors, 120Hz, Dolby Vision",,,162 x 75 x 8.9 mm (6.38 x 2.95 x 0.35 in),,256GB 12GB RAM,"1, 3, 28, 78 SA/NSA",USB Type-C 3.1,,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",No,HSDPA 850 / 900 / 1900 / 2100,,"SH-51A, SHG01, SH-R50","8K@30fps, 1080p@30fps",Li-Ion 3730 mAh,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
,Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),"LED flash, HDR, panorama","1, 3, 5, 7, 8, 13, 20, 38, 40",,,,Android 9.0 (Pie),Yes,"5.0, A2DP, LE",,,,,About 210 EUR,,Yes,,Nano-SIM + Nano-SIM,"13 MP, f/2.0, PDAF, OIS13 MP B/W","8 MP, f/2.0",173 g (6.10 oz),Qualcomm MSM8998 Snapdragon 835 (10 nm),,,"Available. Released 2019, November","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,HDR,,"1080 x 2160 pixels, 18:9 ratio (~409 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat9 450/50 Mbps",,No,"2019, November",1080p@30fps (gyro-EIS),GSM / HSPA / LTE,,,Sharp,Corning Gorilla Glass 5,Adreno 540,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-v.jpg,"5.9 inches, 89.8 cm2(~75.3% screen-to-body ratio)",Sharp Aquos V,,Black,IPS LCD,,,157 x 76 x 9 mm (6.18 x 2.99 x 0.35 in),,64GB 4GB RAM,,USB Type-C 2.0,,"GPS, GLONASS, GALILEO, QZSS",No,HSDPA 850 / 900 / 1900 / 2100,,SH-C02,"4K@30fps, 1080p@30fps (gyro-EIS)","Li-Ion 3090 mAh, non-removable","Fingerprint (rear-mounted), accelerometer, proximity, compass",
IPX5/IP6X/IPX8 water/dust resistant (up to 1.5m for 30 min),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"Dual-LED flash, HDR, panorama","1, 3, 7, 8, 28, 38",,,,"Android 9.0 (Pie), upgradable to Android 10","Yes, with stereo speakers","5.0, A2DP, LE",,,,24-bit/192kHz Hi-Res audio,About 750 EUR,,Yes,,Nano-SIM + Nano-SIM,"12.2 MP, f/1.7, (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS20 MP, f/2.4, 125˚ (ultrawide), AF, OIS","16 MP, f/2.0",185 g (6.53 oz),Qualcomm SM8150 Snapdragon 855 (7 nm),,,"Available. Released 2019, August","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1440 x 3120 pixels, 19.5:9 ratio (~554 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA 42.2/5.76 Mbps, LTE (3CA) Cat15 1024/50 Mbps",,Yes,"2019, August",1080p@30fps,GSM / HSPA / LTE,UFS,,Sharp,Corning Gorilla Glass 5,Adreno 640,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquosa3.jpg,"6.2 inches, 94.4 cm2(~81.7% screen-to-body ratio)",Sharp Aquos R3,,Classic Black,"IGZO IPS LCD, 1B colors, 120Hz, HDR10, Dolby Vision",,,156 x 74 x 8.9 mm (6.14 x 2.91 x 0.35 in),,128GB 6GB RAM,,USB Type-C 3.0,,"GPS, GLONASS",No,HSDPA 900 / 2100,"Wired, PDWireless",,1080p@30fps,Li-Po 3200 mAh,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
IP68 dust/water resistant (up to 1.5m for 30 min),Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"LED flash, HDR, panorama","1, 3, 7, 8, 28, 38","8 MP, f/2.2, 23 mm",,,Android 9.0 (Pie),"Yes, with stereo speakers","5.0, A2DP, LE",,,,,About 600 EUR,,No,,Nano-SIM,,"22.6 MP, f/1.9, 22 mm, PDAF, OIS",146 g (5.15 oz),Qualcomm SDM845 Snapdragon 845 (10 nm),,,"Available. Released 2019, January","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,HDR,,"1440 x 2992 pixels, 18.7:9 ratio (~536 ppi density)",,No,,,"HSPA 42.2/5.76 Mbps, LTE (3CA) Cat15 1024/50 Mbps","Glass front (Gorilla Glass 5), aluminum frame",Yes,"2019, January",1080p@30fps,GSM / HSPA / LTE,24-bit/192kHz Hi-Res audio,,Sharp,Corning Gorilla Glass 5,Adreno 630,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-zero.jpg,"6.2 inches, 96.9 cm2(~86.2% screen-to-body ratio)",Sharp Aquos Zero,,Meteorite Black,"OLED, HDR10, Dolby Vision",,,154 x 73 x 8.8 mm (6.06 x 2.87 x 0.35 in),,128GB 6GB RAM,,USB Type-C 2.0,,"GPS, GLONASS, GALILEO, QZSS",No,HSDPA 900 / 2100,"18W wired, PD2.0",SH-Z10,"4K@30fps, 1080p@30fps (gyro-EIS)","Li-Ion 3130 mAh, non-removable","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
IP68 dust/water resistant (up to 1.5m for 30 min),Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"LED flash, HDR, panorama","1, 3, 5, 8, 11, 12, 17, 19, 26, 28, 41, 42","8 MP, f/2.2, 23 mm",,,Android 9.0 (Pie),Yes,"5.0, A2DP, LE",,,,,,,Yes,,Nano-SIM,,"22.6 MP, f/1.9, 22 mm, PDAF, OIS",135 g (4.76 oz),Qualcomm SDM845 Snapdragon 845 (10 nm),,,"Available. Released 2019, January","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2280 pixels, 19:9 ratio (~485 ppi density)",,microSDXC (dedicated slot),,,"HSPA, LTE","Glass front (Gorilla Glass 3), plastic back, aluminum frame",Yes,"2018, November",1080p@30fps,GSM / HSPA / LTE,24-bit/192kHz Hi-Res audio,,Sharp,Corning Gorilla Glass 3,Adreno 630,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r2-compact-.jpg,"5.2 inches, 67.5 cm2(~80.5% screen-to-body ratio)",Sharp Aquos R2 compact,,"Smokey Green, Deep White, Pure Black","IGZO IPS LCD, 120Hz, HDR10",,,131 x 64 x 9.3 mm (5.16 x 2.52 x 0.37 in),,64GB 4GB RAM,,USB Type-C 2.0,,"GPS, GLONASS, GALILEO, QZSS",No,HSDPA 800 / 850 / 900 / 2100,"18W wired, PD2.0",SH-M09,"4K@30fps, 1080p@30/60fps (gyro-EIS)","Li-Ion 2500 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
,Octa-core (4x2.6 GHz Cortex-A53 & 4x1.8 GHz Cortex A53),"Dual-LED dual-tone flash, panorama, HDR","1, 3, 5, 7, 8, 20",,,,"Android 8.0 (Oreo), Sharp UI",Yes,"4.0, A2DP, LE",,,,,About 400 EUR,,Yes,,Nano-SIM + Nano-SIM,"12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF13 MP, 1/3.4"", 1.0µm","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",165 g (5.82 oz),Qualcomm SDM630 Snapdragon 630 (14 nm),,,"Available. Released 2018, October","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA 14.4/5.76 Mbps, LTE Cat4 150/50 Mbps",,Yes,"2018, August",1080p@30fps,GSM / HSPA / LTE,,,Sharp,Corning Gorilla Glass 3,Adreno 508,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-d10-.jpg,"5.99 inches, 92.6 cm2(~84.2% screen-to-body ratio)",Sharp Aquos D10,,Black,IPS LCD,,,148.2 x 74.2 x 8 mm (5.83 x 2.92 x 0.31 in),,64GB 4GB RAM,,"USB Type-C 2.0, OTG",,"GPS, GLONASS, GALILEO",FM radio,HSDPA 850 / 900 / 1900 / 2100,,SH-D01,"4K@30fps, 1080p@30fps","Li-Ion 2900 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
eMMC 5.1,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),"LED flash, panorama, HDR","1, 3, 5, 7, 8, 20",,,,"Android 7.0 (Nougat), Sharp UI",Yes,"4.0, A2DP",0.47 W/kg (head),,,,About 300 EUR,,Yes,,Nano-SIM + Micro-SIM,"13 MP, f/2.0, AF8 MP","13 MP, f/2.2",175 g (6.17 oz),Mediatek MT6750T (28 nm),,,"Available. Released 2018, July","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA 14.4/5.76 Mbps, LTE Cat4 150/50 Mbps",,Yes,"2018, July",1080p@30fps,GSM / HSPA / LTE,,,Sharp,Corning Gorilla Glass (unspecified version),Mali-T860MP2,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-b10-.jpg,"5.7 inches, 83.8 cm2(~76.0% screen-to-body ratio)",Sharp Aquos B10,,Black,TFT,,,153.5 x 71.9 x 8.8 mm (6.04 x 2.83 x 0.35 in),,32GB 3GB RAM,,"microUSB 2.0, OTG",,GPS,"Stereo FM radio, RDS",HSDPA 850 / 900 / 1900 / 2100,,SH-A01,1080p@30fps,"Li-Ion 4000 mAh, non-removable","Fingerprint (rear-mounted), accelerometer, proximity",
,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex A53),"Dual-LED dual-tone flash, panorama, HDR","1, 3, 7, 8, 20",,,,"Android 8.0 (Oreo), Sharp UI",Yes,"5.0, A2DP, LE",0.35 W/kg (head),,,,About 400 EUR,,No,,Nano-SIM + Nano-SIM,"12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF8 MP, f/2.0, 1/3.2"", 1.4µm","8 MP, f/2.0, 1/3.2"", 1.4µm",140 g (4.94 oz),Qualcomm SDM630 Snapdragon 630 (14 nm),,,"Available. Released 2018, July","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,1080p@30fps,,"1080 x 2040 pixels, 17:9 ratio (~420 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Glass front (Gorilla Glass), glass back, aluminum frame",Yes,"2018, July",1080p@30fps,GSM / HSPA / LTE,,,Sharp,Corning Gorilla Glass (unspecified version),Adreno 508,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquous-c10-.jpg,"5.5 inches, 80.7 cm2(~79.0% screen-to-body ratio)",Sharp Aquos C10,,Black,IPS LCD,,,141.8 x 72 x 7.9 mm (5.58 x 2.83 x 0.31 in),,64GB 4GB RAM,,"USB Type-C 2.0, OTG",,"GPS, GLONASS, GALILEO",FM radio,HSDPA 850 / 900 / 1900 / 2100,18W wired,,1080p@30fps,"Li-Ion 2700 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
CDMA 800 & TD-SCDMA,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),"Dual-LED dual-tone flash, HDR, panorama","1, 3, 4, 5, 7, 8, 12, 17, 28, 34, 38, 39, 40, 41",,,,Android 8.0 (Oreo),Yes,"5.0, A2DP, LE",,,,,About 400 EUR,,Yes,,Nano-SIM + Nano-SIM,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF13 MP, 2x optical zoom","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",167.4 g (5.93 oz),Qualcomm SDM660 Snapdragon 660 (14 nm),,,"Available. Released 2018, July","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,Yes,"2018, June",1080p@30fps,GSM / CDMA / HSPA / LTE,eMMC 5.1,,Sharp,,Adreno 512,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-1.jpg,"6.0 inches, 92.9 cm2(~84.5% screen-to-body ratio)",Sharp Aquos S3 High,,"Black, Gold",IGZO IPS LCD,,,148.2 x 74.2 x 8 mm (5.83 x 2.92 x 0.31 in),,64GB 8GB RAM,,"USB Type-C 2.0, OTG",,"GPS, GLONASS",No,HSDPA 850 / 900 / 1900 / 2100,"18W wired, QC37.5W wireless (Qi)",,1080p@30fps,"Li-Ion 3200 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
