,Triple,Resolution,Games,Price,Phonebook,Type_1,Call records,Talk time,Video,_2,GPU,Card slot,Chipset,Java,Charging,Technology,Announced,Type,OS,Single_1,Brand,5G bands,Protection,Radio,CPU,_4,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,Colors,Dual,4G bands,WLAN,Positioning,NFC,Models,2G bands,Messaging,Features,_5,Dimensions
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,About 900 EUR,,"Li-Ion 4500 mAh, non-removable",,Up to 35 h (3G),"4K@30fps, 1080p@30fps",IP68 dust/water resistant (up to 3m for 60 min)Drop resistant up to 1.8mMIL-STD-810G compliant,Adreno 508,microSDXC (uses shared SIM slot),Qualcomm SDM630 Snapdragon 630 (14 nm),,"18W wired, QC4",GSM / HSPA / LTE,"2018, February",IPS LCD,"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)",8 MP,Cat,,Corning Gorilla Glass 5,FM radio,Octa-core 2.2 GHz Cortex-A53,,1080p@30fps,,Up to 888 h (3G),250 g (8.82 oz),"Glass front (Gorilla Glass 5), plastic back, aluminum frame",Nano-SIM (South Africa only)Nano-SIM + Nano-SIM,64GB 4GB RAM,"16 MP, PDAF, FLIR thermal camera (Lepton module)",Laser-assisted distance measurement tool,"5.2 inches, 74.5 cm2(~58.6% screen-to-body ratio)",Yes,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 29, 66 - USA","Available. Released 2018, June",https://fdn2.gsmarena.com/vv/bigpic/cat-s61.jpg,"USB Type-C 2.0, OTG","Accelerometer, gyro, proximity, compass, barometer, indoor air quality sensor",,Cat S61,HSDPA 850 / 900 / 1700 / 1900 / 2100 - EU/ROW,"HSPA 42.2/5.76 Mbps, LTE (3CA) Cat12 600/150 Mbps",Yes,"5.0, A2DP, LE",Black,,"1, 2, 3, 5, 7, 8, 19, 20, 26, 28, 38, 39, 40, 41 - EU/ROW","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","GPS, GLONASS, GALILEO, QZSS, SBAS",Yes,,GSM 850 / 900 / 1800 / 1900,,"Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama",,163 x 78 x 13 mm (6.42 x 3.07 x 0.51 in)
HSDPA 850 / 1700(AWS) / 1900 - North America,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,About 650 EUR,,"Li-Ion 3800 mAh, non-removable",,,1080p@30fps,IP68 dust/water resistant (up to 5m for 60 min)Drop resistant up to 1.8mMIL-STD-810G compliant,Adreno 405,microSDXC (dedicated slot),Qualcomm MSM8952 Snapdragon 617 (28 nm),,"18W wired, QC2",GSM / HSPA / LTE,"2016, February. Released 2016, June",a-Si AHVA,Android 6.0 (Marshmallow),5 MP,Cat,,Corning Gorilla Glass 4,FM radio,Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,1080p@30fps,,,223 g (7.87 oz),"Glass front (Gorilla Glass 4), plastic back, aluminum frame",Nano-SIM (South Africa only)Nano-SIM + Nano-SIM,32GB 3GB RAM,"13 MP, AF, FLIR thermal camera (Lepton module)",eMMC 5.1,"4.7 inches, 60.9 cm2(~56.1% screen-to-body ratio)",Yes,"2, 4, 5, 7, 12, 17 - North America",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/cat-s60-.jpg,"microUSB 2.0, OTG","Accelerometer, proximity, compass",,Cat S60,HSDPA 850 / 900 / 2100 - Global,"HSPA, LTE Cat4 150/50 Mbps",Yes,"4.1, A2DP",Black,,"1, 3, 7, 8, 20 - Global","Wi-Fi 802.11 b/g/n, Wi-Fi Direct","GPS, GLONASS, BDS",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Thermal imaging, heat palettes, temp. spot meter, dual-LED dual-tone flash, panorama",,147.9 x 73.4 x 12.7 mm (5.82 x 2.89 x 0.5 in)
HSDPA 850 / 1700(AWS) / 1900 - North America,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,About 340 EUR,,"Li-Ion 3000 mAh, non-removable",,Up to 18 h,1080p@60fps,IP68 dust/water resistant (up to 1m for 60 min)Drop resistant up to 1.8mMIL-STD-810G compliant,Adreno 304,microSDXC (dedicated slot),Qualcomm MSM8909 Snapdragon 210 (28 nm),,,GSM / HSPA / LTE,"2015, September. Released 2015, September",TFT,Android 5.1 (Lollipop),2 MP,Cat,,Corning Gorilla Glass 3,FM radio,Quad-core 1.1 GHz Cortex-A7,,,,Up to 936 h,181 g (6.38 oz),,Nano-SIM,8GB 1GB RAM,"5 MP, AF",eMMC 4.5,"4.5 inches, 55.8 cm2(~54.1% screen-to-body ratio)",Yes,"2, 4, 5, 7, 17 - North America",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/cat-s30.jpg,"microUSB 2.0, OTG","Accelerometer, proximity, compass",,Cat S30,HSDPA 850 / 900 / 2100 - Global,"HSPA, LTE Cat4 150/50 Mbps",Yes,"4.1, A2DP, LE",Black,,"1, 3, 7, 8, 20 - Global","Wi-Fi 802.11 b/g/n, hotspot","GPS, GLONASS",No,S30,GSM 850 / 900 / 1800 / 1900,,LED flash,,141.9 x 72.7 x 13.3 mm (5.59 x 2.86 x 0.52 in)
HSDPA 850 / 1700(AWS) / 1900 - North America,,"540 x 960 pixels, 16:9 ratio (~234 ppi density)",,About 440 EUR,,"Li-Ion 3000 mAh, non-removable",,Up to 18 h,1080p@60fps,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810G compliant,Adreno 304,microSDXC (dedicated slot),Qualcomm MSM8909 Snapdragon 210 (28 nm),,,GSM / HSPA / LTE,"2015, July. Released 2015, August",IPS LCD,Android 5.1 (Lollipop),2 MP,Cat,,Corning Gorilla Glass 4,FM radio,Quad-core 1.1 GHz Cortex-A7,,,,Up to 936 h,185 g (6.53 oz),,Nano-SIM,16GB 1GB RAM,"8 MP, AF",eMMC 4.5,"4.7 inches, 60.9 cm2(~56.7% screen-to-body ratio)",Yes,"2, 4, 5, 7, 12, 17 - North America",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/cat-s40.jpg,"microUSB 2.0, OTG","Accelerometer, proximity, compass",,Cat S40,HSDPA 850 / 900 / 2100 - Global,"HSPA, LTE Cat4 150/50 Mbps",Yes,"4.1, A2DP, LE",Black,,"1, 3, 7, 8, 20 - Global","Wi-Fi 802.11 b/g/n, hotspot","GPS, GLONASS",Yes,,GSM 850 / 900 / 1800 / 1900,,LED flash,,144.9 x 74.1 x 12.5 mm (5.70 x 2.92 x 0.49 in)
IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliantDrop resistant up to 1.8mFlashlight,,144 x 176 pixels (~114 ppi density),No,About 140 EUR,Yes,"Li-Ion 1000 mAh, non-removable",Yes,Up to 6 h,Yes,,,microSDHC,Spreadtrum 7701,,,GSM / HSPA,"2015, June. Released 2015, June",TFT,,,Cat,,Scratch-proof glass,FM radio,,,,,Up to 240 h,101 g (3.56 oz),,Dual SIM,,2 MP,,"2.0 inches, 12.6 cm2(~19.8% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/cat-b30.jpg,microUSB 2.0,,,Cat B30,HSDPA 900 / 2100,HSPA,Yes,2.1,Black,,,No,No,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,SMS,LED flash,,118 x 54 x 16 mm (4.65 x 2.13 x 0.63 in)
HSDPA 850 / 1700 / 1900 / 2100 - Latin America,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,About 320 EUR,,"Li-Ion 2000 mAh, removable",,Up to 16 h,1080p@30fps,,Mali-400MP2,microSDHC,Mediatek MT6582M (28 nm),,,GSM / HSPA,"2014, Q2. Released 2014, June",TFT,Android 4.4.2 (KitKat),VGA,Cat,,Corning Gorilla Glass,FM radio,Quad-core 1.3 GHz Cortex-A7,,,,Up to 504 h,170 g (6.00 oz),,"Dual SIM (Mini-SIM, dual stand-by)",4GB 1GB RAM,"5 MP, AF",,"4.0 inches, 45.5 cm2(~52.4% screen-to-body ratio)",Yes,IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliantDrop resistant up to 1.8m,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/cat-b15q.jpg,microUSB 2.0,"Accelerometer, proximity",,Cat B15 Q,"HSDPA 850 / 900 / 2100 - EU, EMEA",HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP, LE",Black,,,"Wi-Fi 802.11 b/g/n, hotspot",GPS,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,,125 x 69.5 x 15 mm (4.92 x 2.74 x 0.59 in)
HSDPA 850 / 1700 / 1900 / 2100,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,About 460 EUR,,"Li-Ion 2630 mAh, non-removable",,Up to 16 h,1080p@30fps,eMMC 4.5,Adreno 305,microSDXC (dedicated slot),Qualcomm MSM8926 Snapdragon 400 (28 nm),,Wireless (Qi),GSM / HSPA / LTE,"2014, September. Released 2014, November",IPS LCD,Android 4.4 (KitKat),VGA,Cat,,Corning Gorilla Glass 3,FM radio,Quadcore 1.2 GHz Cortex-A7,,,,Up to 792 h,185 g (6.53 oz),,Micro-SIM,8GB 2GB RAM,"8 MP, AF",,"4.7 inches, 60.9 cm2(~54.7% screen-to-body ratio)",Yes,IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliantDrop resistant up to 1.2m,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/cat-s50.jpg,"microUSB 2.0, OTG","Accelerometer, proximity, compass",,Cat S50,HSDPA 850 / 900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP, LE","Forest, Slate",,"1, 3, 5, 7, 8, 20","Wi-Fi 802.11 b/g/n, hotspot","GPS, GLONASS",Yes,,GSM 850 / 900 / 1800 / 1900,,LED flash,,144.5 x 77 x 12.7 mm (5.69 x 3.03 x 0.5 in)
HSDPA 850 / 1900,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,About 250 EUR,,"Li-Ion 2000 mAh, non-removable",,Up to 16 h,1080p@30fps,,PowerVR SGX531,microSDHC (dedicated slot),Mediatek MT6577 (40 nm),,,GSM / HSPA,2013. Released 2013,TFT,Android 4.1 (Jelly Bean),VGA,Cat,,Corning Gorilla Glass,FM radio,Dual-core 1.0 GHz Cortex-A9,,,,Up to 456 h,170 g (6.00 oz),,Dual SIM,4GB 512MB RAM,"5 MP, AF",,"4.0 inches, 45.5 cm2(~52.4% screen-to-body ratio)",Yes,IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliantDrop resistant up to 1.8m,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/cat-b15.jpg,microUSB 2.0,"Accelerometer, proximity",,Cat B15,HSDPA 900 / 2100,HSPA 7.2/3.6 Mbps,Yes,"3.0, A2DP",Black,,,"Wi-Fi 802.11 b/g/n, hotspot",GPS,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,125 x 69.5 x 15 mm (4.92 x 2.74 x 0.59 in)
IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliantDrop resistant up to 1.8m,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",No,About 140 EUR,Yes,"Li-Ion 1150 mAh, removable",Yes,Up to 10 h,320p@30fps,MP3/AAC+/MP4/H.264 playerPhoto viewer,No,microSDHC (dedicated slot),Mediatek MT6276W,,,GSM / HSPA,2013. Released 2013,TFT,,,Cat,,,FM radio,411 MHz,,,,Up to 552 h,136 g (4.80 oz),,Mini-SIM,"128MB ROM, 64MB RAM",3.15 MP,,"2.2 inches, 15.0 cm2(~21.8% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/cat-b100.jpg,microUSB 2.0,,,Cat B100,HSDPA 850 / 1700 / 1900 / 2100,HSPA,Yes,"2.0, A2DP, EDR",Black,,,No,GPS,No,,GSM 850 / 900 / 1800 / 1900,SMS,,,123 x 56 x 17.5 mm (4.84 x 2.20 x 0.69 in)
IP67 dust/water resistant (up to 1m for 30 min)Drop resistant up to 1.8mFlashlight,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",No,About 140 EUR,Yes,"Li-Ion 1300 mAh, removable",Yes,Up to 9 h 30 min,Yes,,,microSDHC (dedicated slot),Mediatek MT6235,,,GSM,2013. Released 2013,TFT,,,Cat,,,FM radio,208 MHz,,,Yes,Up to 156 h,161 g (5.68 oz),,Dual SIM,,"2 MP, AF",,"2.0 inches, 12.4 cm2(~17.4% screen-to-body ratio)",Yes,No,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/cat-b25.jpg,microUSB 2.0,,Yes,Cat B25,,,Yes,2.1,Black,,,No,No,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,SMS,,,125 x 57 x 22 mm (4.92 x 2.24 x 0.87 in)
