Unnamed: 0,Loudspeaker,Protection,Status,Loudspeaker_1,Size,Model Image,Dual,Triple,Features,Type_1,_4,64GB 4GB RAM,1TB 24GB RAM,Card slot,Battery (old),Speed,Chipset,Internal,Camera,128GB 6GB RAM,3.5mm jack,Dual_1,Announced,Performance,SAR,Charging,Type,_2,Battery (new),Positioning,Display,Colors,512GB 16GB RAM,512GB 12GB RAM,256GB 12GB RAM,Video_1,Price,256GB 4GB RAM,4G bands,USB,Radio,512GB 8GB RAM,Sensors,256GB 8GB RAM,Quad,WLAN,NFC,Video,Dimensions,EDGE,3G bands,Build,_6,Models,Triple_1,GPU,5G bands,Infrared port,Bluetooth,GPRS,OS,Audio quality,_1,1TB 16GB RAM,Weight,Brand,SAR EU,_5,Features_1,2G bands,CPU,Stand-by,Single_1,Technology,Model Name,SIM,128GB 8GB RAM,Single,Talk time,Resolution,_3,128GB 4GB RAM,URL,Image
24-bit/192kHz Hi-Res audio,"Yes, with stereo speakers",,"Available. Released 2024, April 12",,"6.8 inches, 111.3 cm2(~87.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-90-smart.jpg,,"108 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","LED flash, HDR, panorama",Li-Po 5330 mAh,,,,No,,"HSPA, LTE, 5G",Mediatek Dimensity 6020 (7 nm),"128GB 4GB RAM, 256GB 4GB RAM, 256GB 6GB RAM",,,Yes,,"2024, April 09",,,35W wired,"IPS LCD, 90Hz, 850 nits (peak)",,,"GPS, GLONASS, GALILEO, BDS",,"Emerald Green, Midnight Black",,,,1080p@30fps,$ 355.00 / £ 107.50 / € 119.00,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (side-mounted), accelerometer, compass",,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,1080p@30fps,166.7 x 76.5 x 8.2 mm (6.56 x 3.01 x 0.32 in),,HSDPA 850 / 900 / 1900 / 2100,,,"CLK-NX1, CLK-NX3",,Mali-G57 MC2,SA/NSA,,"5.1, A2DP, LE",,"Android 13, Magic OS 7.2",,Virtual proximity sensing,,199 g (7.02 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,GSM / HSPA / LTE / 5G,Honor 90 Smart,Nano-SIM + Nano-SIM,,"8 MP, f/2.0, (wide)",,"1080 x 2412 pixels, 20:9 ratio (~389 ppi density)",,$ 355.00,,
24-bit/192kHz Hi-Res audio,"Yes, with stereo speakers",,"Available. Released 2024, May",,"6.8 inches, 111.3 cm2(~87.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-x7b-5g.jpg,,"108 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","LED flash, HDR, panorama",Li-Po 6000 mAh,,,,No,,"HSPA, LTE, 5G",Mediatek Dimensity 6020 (7 nm),256GB 8GB RAM,,,Yes,,"2024, April 04",,,35W wired,"IPS LCD, 90Hz, 850 nits (peak)",,,"GPS, GLONASS, GALILEO, BDS",,"Crystal Silver, Emerald Green, Midnight Black",,,,1080p@30fps,$ 144.91,,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","USB Type-C 2.0, OTG",No,,"Fingerprint (side-mounted), accelerometer, compass",$ 144.91,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,1080p@30fps,166.7 x 76.5 x 8.2 mm (6.56 x 3.01 x 0.32 in),,HSDPA 850 / 900 / 1900 / 2100,,,,,Mali-G57 MC2,"1, 5, 8, 28, 41, 78 SA/NSA",,"5.1, A2DP, LE, aptX HD",,"Android 13, Magic OS 7.2",,Virtual proximity sensing,,199 g (7.02 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,GSM / HSPA / LTE / 5G,Honor X7b 5G,Nano-SIM + Nano-SIM,,"8 MP, f/2.0, (wide)",,"1080 x 2412 pixels, 20:9 ratio (~389 ppi density)",,,,
CDMA 800,"Yes, with stereo speakers",NanoCrystal Shield,"Available. Released 2024, March 22",,"6.8 inches, 112.8 cm2(~91.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-magic6-rsr-porsche-design.jpg,,"50 MP, f/1.4-2.0, 23mm (wide), 1/1.3"", LiDAR AF, PDAF, OIS180 MP, f/2.6, (periscope telephoto), 1/1.49"", 0.56µm, PDAF, OIS, 2.5x optical zoom50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.88"", AF","Color spectrum sensor, LED flash, HDR, panorama",Si/C Li-Ion 5600 mAh,Emergency SOS via satellite (messages and calls),,"$ 1,559.00",No,,"HSPA, LTE, 5G",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),1TB 24GB RAM,,,No,,"2024, March 18",,,80W wired66W wirelessReverse wireless5W reverse wired,"LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 1800 nits (HBM), 5000 nits (peak)",IP68 dust/water resistant (up to 1.5m for 30 min),Active use score 14:14h,"GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a)",1731 nits max brightness (measured),"Agate Grey, Frozen Berry",,,,"4K@30fps, 1080p@30/60fps, gyro-EIS","$ 1,559.00 / £ 1,246.00",,LTE,"USB Type-C 3.2, DisplayPort 1.2, OTG",No,,"Fingerprint (under display, optical), Face ID, accelerometer, gyro, proximity, compass",,,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","Yes, HCE, NFC-SIM","4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR, 10-bit video",162.5 x 75.8 x 8.9 mm (6.40 x 2.98 x 0.35 in),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (NanoCrystal Shield), glass back (NanoCrystal Shield), titanium frame",,"BVL-N59, BVL-AN20",,Adreno 750,SA/NSA,Yes,"5.3, A2DP, LE, aptX HD",,"Android 14, MagicOS 8",,CDMA2000 1x,,237 g (8.36 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor Magic6 RSR Porsche Design,Nano-SIM +eSIMNano-SIM + Nano-SIM,,"50 MP, f/2.0, 22mm (wide), 1/2.93"", AFTOF 3D, (depth/biometrics sensor)",,"1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density)",UFS 4.0,,,
CDMA 800,"Yes, with stereo speakers",King Kong Rhinoceros,"Available. Released 2024, March 22",,"6.8 inches, 112.8 cm2(~91.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-magic6-ultimate.jpg,,"50 MP, f/1.4-2.0, 23mm (wide), 1/1.3"", LiDAR AF, PDAF, OIS180 MP, f/2.6, (periscope telephoto), 1/1.49"", PDAF, OIS, 2.5x optical zoom50 MP, f/2.0, 13mm, 122˚ (ultrawide), AF","Color spectrum sensor, LED flash, HDR, panorama",Li-Po 5600 mAh,Emergency SOS via satellite (messages and calls),,,No,,"HSPA, LTE, 5G",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"512GB 16GB RAM, 1TB 16GB RAM",,,No,,"2024, March 18",,,80W wired66W wirelessReverse wireless5W reverse wired,"LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 1600 nits (HBM), 5000 nits (peak)",IP68 dust/water resistant (up to 1.5m for 30 min),,"GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a)",,"Black, Purple",,,,"4K@30fps, 1080p@30/60fps, gyro-EIS",About 900 EUR,,LTE,"USB Type-C 3.2, DisplayPort 1.2, OTG",No,,"Fingerprint (under display, optical), Face ID, accelerometer, gyro, proximity, compass",,,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","Yes, HCE, NFC-SIM","4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR, 10-bit video",162.5 x 75.8 x 8.9 mm (6.40 x 2.98 x 0.35 in),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front, silicone polymer back (eco leather)",,BVL-AN20,,Adreno 750,SA/NSA,Yes,"5.3, A2DP, LE, aptX HD",,"Android 14, MagicOS 8",,CDMA2000 1x,,227 g (8.01 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor Magic6 Ultimate,Nano-SIM + Nano-SIM,,"50 MP, f/2.0, (ultrawide), AFTOF 3D, (depth/biometrics sensor)",,"1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density)",UFS 4.0,,,
50m water resistant5 ATMCompatible with standard 22mm straps,Yes,,"Available. Released 2024, March 29",,1.43 inches,https://fdn2.gsmarena.com/vv/bigpic/honor-watch-gs4.jpg,,,,Li-Po 451 mAh,,,,No,,No,,4GB 32MB RAM,,,No,,"2024, March 18",,,,AMOLED,,,"GPS (L1+L5), BDS (B1I+B2a), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS",,"Black, Steel, Gold",,,,,About 120 EUR,,,No,No,,"Accelerometer, gyro, heart rate, barometer, compass, SpO2",,,No,Yes (China only),,45.9 x 45.9 x 10.5 mm (1.81 x 1.81 x 0.41 in),No,,"Glass front, plastic back, stainless steel frame 316L",,MUS-B19,,,,,"5.0, LE, EDR",No,Proprietary OS,,No,,44 g (1.55 oz),Honor,,,,,,,,No cellular connectivity,Honor Watch GS 4,No,,,,466 x 466 pixels (~326 ppi density),,,,
5ATM water resistant,Yes,,"Available. Released 2024, February 24",,1.95 inches,https://fdn2.gsmarena.com/vv/bigpic/honor-choice-haylou-watch.jpg,,,,300 mAh,,,,No,,No,,,,,No,,"2024, February 15",,,,"AMOLED, 550 nits (peak)",,,"GPS, GLONASS, BDS, GALILEO, QZSS",,"Black, White",,,,,About 70 EUR,,,No,No,,"Accelerometer, heart rate, compass, SpO2",,,No,No,,49.7 x 39.9 x 10.2 mm (1.96 x 1.57 x 0.40 in),No,,"Glass front, plastic back, plastic frame",,,,,,,"5.3, LE",No,Proprietary OS,,No,,-,Honor,,,,,,,,No cellular connectivity,Honor Choice Watch,No,,,,410 x 502 pixels (~332 ppi density),,,,
CDMA 800,"Yes, with stereo speakers",,"Available. Released 2024, January 12",,"7.92 inches, 201.6 cm2(~88.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-magic-v2-rsr-porsche-design.jpg,,"50 MP, f/1.9, (wide), PDAF, OIS20 MP, f/2.4, 62mm (telephoto), PDAF, 2.5x optical zoom, OIS50 MP, f/2.0, 13mm (ultrawide), AF","Multi-zone Laser AF (8x8 dToF), color spectrum sensor, LED flash, HDR, panorama",Si/C Li-Ion 5000 mAh,24-bit/192kHz Hi-Res audioIMAX Enhanced,,,No,,"HSPA, LTE, 5G",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),1TB 16GB RAM,,,No,,"2024, January 11",,,66W wired5W reverse wired,"Foldable LTPO OLED, 1B colors, 120Hz, HDR10+, 1600 nits (peak)",Stylus support,,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",,Agate Gray,,,,"4K@30fps, 1080p@30fps, gyro-EIS",About 2700 EUR,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66","USB Type-C 3.1, OTG, Display Port 1.2",No,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct","Yes; NFC-SIM, HCE","4K@30/60fps (10-bit), 1080p@30/60fps, gyro-EIS, HDR10+, OIS",Unfolded: 156.7 x 145.4 x 4.7 mm or 4.8 mmFolded: 156.7 x 74 x 9.9 mm or 10.1 mm,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front, glass back, magnesium alloy frame, titanium alloy folding mechanism",,VER-AN10,,Adreno 740,"1, 3, 5, 8, 28, 38, 41, 77, 78 SA/NSA",Yes,"5.3, A2DP, LE, aptX HD",,"Android 13, upgradable to Android 14, MagicOS 8",,CDMA2000 1x,,234 g (8.25 oz),Honor,,,HDR,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor Magic V2 RSR Porsche Design,Nano-SIM +eSIMNano-SIM + Nano-SIM,,"16 MP, f/2.2, (wide)",,2156 x 2344 pixels (~402 ppi density),"Cover display:LTPO OLED, 1B colors, 120Hz, HDR10+, 2500 nits6.43 inches, 1060 x 2376 pixels, 402 ppi, nanocrystal glass 2.0",,,
CDMA 800,"Yes, with stereo speakers",NanoCrystal Shield,"Available. Released 2024, January 18",-25.6 LUFS (Very good),"6.8 inches, 112.8 cm2(~91.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-magic6-pro.jpg,,"50 MP, f/1.4-2.0, 23mm (wide), 1/1.3"", 1.2µm, PDAF, OIS180 MP, f/2.6, (periscope telephoto), 1/1.49"", 0.56µm, PDAF, OIS, 2.5x optical zoom50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.88"", 0.61µm, AF","Laser AF, color spectrum sensor, LED flash, HDR, panorama",Si/C Li-Ion 5600 mAh,Emergency SOS via satellite (messages and calls),,,No,,"HSPA, LTE, 5G",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,,No,,"2024, January 11",AnTuTu: 2017400 (v10)GeekBench: 6787 (v6)3DMark: 5254 (Wild Life Extreme),,80W wired66W wirelessReverse wireless5W reverse wired,"LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 1600 nits (HBM), 5000 nits (peak)",IP68 dust/water resistant (up to 1.5m for 30 min),Active use score 14:06h,"GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a)",1578 nits max brightness (measured),"Black, Green, Blue, Purple, White",,$ 819.00,,"4K@30fps, 1080p@30/60fps, gyro-EIS","$ 819.00 / £ 689.99 / € 895.07 / ₹ 89,999",,LTE,"USB Type-C 3.2, DisplayPort 1.2, OTG",No,,"Fingerprint (under display, optical), Face ID, accelerometer, gyro, proximity, compass",,,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","Yes, HCE, NFC-SIM","4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR, 10-bit video",162.5 x 75.8 x 8.9 mm (6.40 x 2.98 x 0.35 in),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front (NanoCrystal Shield), glass back or silicone polymer back (eco leather)",,"BVL-AN16, BVL-N49",,Adreno 750,SA/NSA,Yes,"5.3, A2DP, LE, aptX HD",,"Android 14, up to 4 major Android upgrades, MagicOS 8",,CDMA2000 1x,,225 g or 229 g (7.94 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor Magic6 Pro,Nano-SIM +eSIMNano-SIM + Nano-SIM,,"50 MP, f/2.0, 22mm (wide), 1/2.93"", 0.6µm, AFTOF 3D, (depth/biometrics sensor)",,"1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density)",UFS 4.0,,,
CDMA 800,"Yes, with stereo speakers",Jurhino glass,"Available. Released 2024, January 18",,"6.78 inches, 111.2 cm2(~91.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-magic6.jpg,,"50 MP, f/1.9, (wide), 1/1.3"", PDAF, OIS32 MP, f/2.4, (telephoto), PDAF, OIS, 2.5x optical zoom50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.88"", AF","Laser AF, color spectrum sensor, LED flash, HDR, panorama",Li-Po 5450 mAh,,,,No,,"HSPA, LTE, 5G",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",,,No,,"2024, January 11",,,66W wired50W wirelessReverse wireless5W reverse wired,"LTPO OLED, 1B colors, 120Hz, HDR, 1600 nits (HBM), 5000 nits (peak)",UFS 4.0,,"GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a)",,"Black, Green, Blue, Purple, White",,,,"4K@30fps, 1080p@30/60fps, gyro-EIS",About 570 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (under display, optical), Face ID, accelerometer, gyro, proximity, compass",,,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","Yes, HCE, NFC-SIM","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR, 10-bit video",161.8 x 75.4 x 8.1 mm (6.37 x 2.97 x 0.32 in),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Glass front, glass back or silicone polymer back (eco leather)",,BVL-AN00,,Adreno 750,SA/NSA,Yes,"5.3, A2DP, LE, aptX HD",,"Android 14, MagicOS 8",,CDMA2000 1x,,199 g or 206 g (7.02 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor Magic6,Nano-SIM + Nano-SIM,,"50 MP, f/2.0, 22mm (wide), 1/2.93"", AF",,1264 x 2800 pixels (~453 ppi density),,,,
CDMA 800,Yes,,"Available. Released 2024, January 09",,"6.78 inches, 112.6 cm2(~91.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-x50-gt.jpg,"108 MP, f/1.8, (wide), 1/1.67"", PDAF2 MP, f/2.4, (depth)",,"LED flash, panorama, HDR",Li-Po 5800 mAh,,,,No,,"HSPA, LTE, 5G",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,,No,,"2024, January 04",,,35W wired7.5W reverse wired,"AMOLED, 1B colors, 120Hz","IP53, dust and splash resistant",,"GPS, GLONASS, GALILEO, BDS",,"Black, Silver",,,,1080p@30fps,About 260 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (under display, optical), accelerometer, gyro, ultrasound proximity, compass",,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,"4K@30fps, 1080p@30fps",163.6 x 75.5 x 8 mm (6.44 x 2.97 x 0.31 in),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,ALP-AN00,,Adreno 730,SA/NSA,,"5.2, A2DP, LE, aptX HD",,"Android 13, MagicOS 7.2",,CDMA2000 1x,,192 g (6.77 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor X50 GT,Nano-SIM + Nano-SIM,,"8 MP, f/2.0, (wide)",,"1220 x 2652 pixels, 19.5:9 ratio (~431 ppi density)",,,,
CDMA 800,Yes,,Cancelled,,"6.78 inches, 112.6 cm2(~91.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-x50-pro.jpg,"108 MP, f/1.8, (wide), 1/1.67"", PDAF2 MP, f/2.4, (depth)",,"LED flash, panorama, HDR",Li-Po 5800 mAh,,,,No,,"HSPA, LTE, 5G",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),256GB 12GB RAM,,,No,,"2023, December 29",,,35W wired7.5W reverse wired,"AMOLED, 1B colors, 120Hz",,,"GPS, GLONASS, GALILEO, BDS",,"Black, Green",,,,1080p@30fps,About 360 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (under display, optical), accelerometer, gyro, ultrasound proximity, compass",,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,"4K@30fps, 1080p@30fps",163.6 x 75.5 x 8 mm (6.44 x 2.97 x 0.31 in),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,ALP-AN00,,Adreno 730,SA/NSA,,"5.2, A2DP, LE",,Android 14,,CDMA2000 1x,,192 g (6.77 oz),Honor,,,,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor X50 Pro,Nano-SIM + Nano-SIM,,"8 MP, f/2.0, (wide)",,"1220 x 2652 pixels, 19.5:9 ratio (~431 ppi density)",,,,
CDMA 800,"Yes, with stereo speakers",,"Available. Released 2023, December 21",,"6.7 inches, 108.5 cm2(~90.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-90-gt.jpg,"50 MP, f/2, (wide), 1/1.56"", 1.0µm, PDAF, OIS12 MP, f/2.2, 112˚ (ultrawide), AF",,"LED flash, HDR, panorama",Li-Po 5000 mAh,,,,No,,"HSPA, LTE, 5G",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 24GB RAM",,,No,,"2023, December 21",,,"100W wired, 3-100% in 32 min5W reverse wired","AMOLED, 1B colors, 120Hz, HDR, 2600 nits (peak)",,,"GPS, GALILEO, GLONASS, BDS (B1I+B1c)",,"Black, Blue, Gold",,,,"1080p@30fps, gyro-EIS",About 330 EUR,,LTE,"USB Type-C 2.0, OTG",No,,"Fingerprint (under display, optical), accelerometer, gyro, compass, ultrasound proximity",,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,"4K@30fps, 1080p@30/60fps, gyro-EIS, OIS",161 x 74.2 x 7.9 mm (6.34 x 2.92 x 0.31 in),,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,MAG-AN00,,Adreno 740,SA/NSA,Yes,"5.3, A2DP, LE, aptX HD",,"Android 13, MagicOS 7.2",,CDMA2000 1x,,185 g (6.53 oz),Honor,,,HDR,GSM 850 / 900 / 1800 / 1900,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Honor 90 GT,Nano-SIM + Nano-SIM,,"16 MP, f/2.4",,1200 x 2664 pixels (~436 ppi density),,,,
Stylus support,"Yes, with stereo speakers (8 speakers)",Anti-glare glass,"Available. Released 2023, December 21",-22.0 LUFS (Excellent),"12.1 inches, 424.5 cm2(~84.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-pad9.jpg,,,HDR,Li-Po 8300 mAh,,,,microSDXC (cellular model only),,"LTE, 5G",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,,No,,"2023, December 21","AnTuTu: 495329 (v9), 470527 (v10)GeekBench: 2724 (v5), 2767 (v6)3DMark: 608 (Wild Life Extreme)",,35W wired,"IPS LCD, 1B colors, 120Hz, 500 nits (typ)",,Active use score 9:18h,No,"1128:1 contrast ratio, 530 nits max brightness (measured)","Gray, Blue, White",,,,1080p@30fps,About 190 EUR,,LTE,"USB Type-C 2.0, OTG",No,,Accelerometer,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,"4K@30fps, 1080p@30fps",278.2 x 180.1 x 6.9 mm (10.95 x 7.09 x 0.27 in),No,,"Glass front, aluminum frame, aluminum back",,HEY2-W09,,Adreno 710,SA/NSA,,"5.1, A2DP, LE",No,"Android 13, up to 1 major Android upgrades, Magic OS 7.2",,,,555 g or 568 g (1.22 lb),Honor,,,,,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),,"8 MP, f/2.2, (wide)",LTE / 5G,Honor Pad 9,Yes (cellular model only),,"13 MP, f/2.0, (wide), AF",,"1600 x 2560 pixels, 16:10 ratio (~249 ppi density)",,,,
Virtual proximity sensing,Yes,,"Available. Released 2023, December 22",,"6.7 inches, 108.0 cm2(~89.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/honor-x8b.jpg,,"108 MP, f/1.8, 24mm (wide), 1/1.67"", PDAF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)","LED flash, HDR, panorama",Li-Po 4500 mAh,,,,No,,"HSPA, LTE",Qualcomm SM6225 Snapdragon 680 4G (6 nm),"128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",,,No,,"2023, December 14",,,35W wired,"AMOLED, 90Hz, 1200 nits (HBM), 2000 nits (peak)",,,"GPS, GLONASS, GALILEO, BDS",,"Glamorous Green, Titanium Silver, Midnight Black",,,,1080p@30fps,$ 194.00 / € 189.90,,LTE,"USB Type-C 2.0, OTG",No,$ 195.00,"Fingerprint (side-mounted), accelerometer, compass",$ 265.00,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,1080p@30fps,161.1 x 74.6 x 6.8 mm (6.34 x 2.94 x 0.27 in),,HSDPA 850 / 900 / 1900 / 2100,,,"LLY-LX1, LLY-LX2, LLY-LX3",,Adreno 610,,,"5.0, A2DP, LE",,"Android 13, MagicOS 7.2",,,,166 g (5.86 oz),Honor,,,LED flash,GSM 850 / 900 / 1800 / 1900,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,,GSM / HSPA / LTE,Honor X8b,Nano-SIM + Nano-SIM,,"50 MP, f/2.1, (wide)",,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,,,
