,Positioning,Dual,Java,Build,3G bands,OS,CPU,GPU,Loudspeaker_1,Quad,Audio quality,Single,Dimensions,_2,Stand-by,Colors,Speed,USB,WLAN,Call records,Models,Video_1,Single_1,Status,Camera,Size,Infrared port,_4,2G bands,Features,Technology,Messaging,Keyboard,GPRS,Model Image,Type_1,SIM,Dual_1,SAR EU,Sensors,Loudspeaker,SAR,Talk time,Bluetooth,_1,Video,Battery (old),Resolution,Radio,Chipset,5G bands,Display,Protection,Triple,Phonebook,Weight,EDGE,Charging,Features_1,Card slot,NFC,3.5mm jack,Model Name,_3,Internal,Price,Announced,Games,Type,4G bands,Performance,Brand
eMMC 5.1,GPS,"13 MP, (wide), 1/3.1"", 1.12µm, PDAF2 MP, f/2.4, (depth)",,"Glass front, plastic back, plastic frame",HSDPA 850 / 900 / 2100,Android 9.0 (Pie),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,,,,5 MP,155 x 75 x 12 mm (6.10 x 2.95 x 0.47 in),,,"Black, Blue","HSPA, LTE",microUSB 2.0,Wi-Fi 802.11 b/g/n,,L19111,,,"Available. Released 2019, April 13",,"6.09 inches, 91.0 cm2(~78.3% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7.jpg,Li-Po 4000 mAh,Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,,,Yes,,1080p@30fps,,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",FM radio,Unisoc SC9863A (28 nm),,,,,,-,,,,microSDXC (dedicated slot),No,Yes,Lenovo A7,,64GB 4GB RAM,About 100 EUR,"2019, April 13",,IPS LCD,"1, 3, 5, 8, 38, 40, 41",,Lenovo
eMMC 5.1,GPS - cellular model only,,,,N/A,Android 9.0 (Pie),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,,,,"8 MP, AF",244.2 x 153.3 x 8.2 mm (9.61 x 6.04 x 0.32 in),,,Iron Grey,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps - cellular model only",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"TB-X606, TB-X606F, TB-X606X, TB-X606V",,5 MP,"Available. Released 2020, March 27",,"10.3 inches, 307.6 cm2(~82.2% screen-to-body ratio)",,,N/A,,LTE,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-plus.jpg,Li-Po 5000 mAh,Nano-SIM (cellular model only),,,Accelerometer,"Yes, with stereo speakers",,,"5.0, LE",,1080p@30fps,,"1200 x 1920 pixels, 16:10 ratio (~220 ppi density)",No,Mediatek MT6762 Helio P22T (12 nm),,,,,,460 g (1.01 lb),No,10W wired,,microSDXC (dedicated slot),No,Yes,Lenovo M10 Plus,,"32GB 2GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 200 EUR,"2020, March 27",,"IPS LCD, 330 nits (typ)",LTE,,Lenovo
eMMC 5.1,GPS - cellular model only,,,,N/A,Android 9.0 (Pie),Octa-core 1.8 GHz Cortex-A53,Adreno 506,,,,"8 MP, AF",-,,,Black,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps - cellular model only",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"TB-X605FC, TB-X605LC, ZA4Y0079IN, TB-X605M",,5 MP,"Available. Released 2020, January 24",,"10.1 inches, 295.8 cm2",,,N/A,,LTE,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-fhd-rel.jpg,Li-Po 7000 mAh,Yes - cellular model only,,,Accelerometer,"Yes, with stereo speakers",,,"4.2, A2DP",,1080p@30fps,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",FM radio,Qualcomm SDM450 Snapdragon 450 (14 nm),,,,,,520 g (1.15 lb),No,,,microSDXC (dedicated slot),No,Yes,Lenovo M10 FHD REL,,32GB 3GB RAM,About 180 EUR,"2020, January 24",,"IPS LCD, 320 nits (typ)",LTE,,Lenovo
Built-in 3-stage kickstand,No,,,,N/A,Android 9.0 (Pie),Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53),Adreno 505,,,,"8 MP, AF",242mm x 166mm x 8.5-24mm,,,Iron Grey,,USB Type-C 2.0,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",,,1080p@30fps,5 MP,"Available. Released 2019, October",,"10.1 inches, 295.8 cm2(~73.6% screen-to-body ratio)",,,N/A,,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-smart-tab.jpg,"Li-Po 7000 mAh, non-removable",No,,,Accelerometer,"Yes, with stereo speakers",,,"4.2, A2DP",eMMC 5.1,1080p@30fps,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",No,Qualcomm SDM439 Snapdragon 439 (12 nm),,,,,,580 g (1.28 lb),No,10W wired,,microSDXC (dedicated slot),No,Yes,Lenovo Yoga Smart Tab,,64GB 4GB RAM,About 320 EUR,"2019, October",,IPS LCD,N/A,,Lenovo
CDMA 800 & TD-SCDMA,"GPS, GLONASS",,,"Glass front, plastic back, plastic frame",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"Android 9.0 (Pie), ZUI 11",Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),Adreno 506,,,,"16 MP, f/2.0, 13mm (ultrawide), 1/2.8"", 1.12µm",158.3 x 75.8 x 8.3 mm (6.23 x 2.98 x 0.33 in),,,"Black, Sprite","HSPA, LTE","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"PAGW0015IN, L39051",1080p@30fps,,"Available. Released 2019, September 30",,"6.22 inches, 96.6 cm2(~80.5% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"LED flash, panorama, HDR",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k10-plus.jpg,"Li-Po 4050 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,0.34 W/kg (head)     0.90 W/kg (body),,"5.0, A2DP, LE",eMMC 5.1,1080p@30fps,,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","FM radio, recording",Qualcomm SDM632 Snapdragon 632 (14 nm),,,,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm, PDAF8 MP, 13mm (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.2, (depth)",,172 g (6.07 oz),,10W wired,HDR,microSDXC (dedicated slot),No,Yes,Lenovo K10 Plus,,64GB 4GB RAM,,"2019, September 23",,IPS LCD,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,GPS,,,"Glass front, plastic back, plastic frame",HSDPA 850 / 900 / 1900 / 2100,"Android 9.0 (Pie), ZUI 11",Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",156.6 x 74.3 x 7.9 mm (6.17 x 2.93 x 0.31 in),,,"Knight Black, Stardust Blue","HSPA, LTE","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA",,"PAFR0026IN, PAFR0026, PAFR0033IN, PAFR0033, PAFR0013IN, PAFR0013",1080p@30fps,,"Available. Released 2019, September 16",,"6.3 inches, 97.4 cm2(~83.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"LED flash, panorama, HDR",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-youth.jpg,"Li-Po 4050 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Yes,,,"5.0, A2DP, LE",UFS 2.1,"4K@30fps, 1080p@30fps",,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","FM radio, recording",Qualcomm SDM710 Snapdragon 710 (10 nm),,,,"16 MP, f/1.8, PDAF8 MP, f/2.4, (telephoto), PDAF, 2x optical zoom2 MP, f/2.2, (depth)",,164 g (5.78 oz),,18W wired,HDR,microSDXC (uses shared SIM slot),No,Yes,Lenovo K10 Note,,"64GB 4GB RAM, 128GB 6GB RAM",About 180 EUR,"2019, September 05",,IPS LCD,"1, 2, 3, 5, 7, 8, 34, 38, 39, 40, 41",,Lenovo
eMMC 5.1,"GPS, GLONASS, GALILEO","13 MP, f/2.0, 1/3.1"", 1.12µm, AF2 MP, f/2.4, (depth)",,,HSDPA 850 / 900 / 1900 / 2100,Android 9.0 (Pie),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,,"5 MP, 1/5.0"", 1.12µm",154.7 x 72.9 x 9.2 mm (6.09 x 2.87 x 0.36 in),,,"Black, Blue","HSPA, LTE",microUSB 2.0,Wi-Fi 802.11 b/g/n,,"PAGK0027IN, PAGK0027, L19041",,,"Available. Released 2019, September",,"6.09 inches, 91.0 cm2(~80.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"LED flash, panorama, HDR",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6-note-.jpg,"Li-Po 4000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,,,"5.0, A2DP, LE",,1080p@30fps,,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",FM radio,Mediatek MT6762 Helio P22 (12 nm),,,,,,172 g (6.07 oz),,10W wired,,microSDXC (dedicated slot),No,Yes,Lenovo A6 Note,,"16GB 2GB RAM, 32GB 3GB RAM",About 100 EUR,"2019, September",,IPS LCD,"1, 2, 3, 5, 7, 8, 20, 38, 40, 41",,Lenovo
"1, 3, 5, 7, 8, 19, 34, 38, 39, 40, 41","GPS, GLONASS, BDS, GALILEO - cellular model only",,,"Glass front, aluminum back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,"Android 9.0 (Pie), upgradable to Android 10",Octa-core 2.3 GHz Cortex-A53,PowerVR GE8320,,,,"13 MP, AF",198.2 x 122.6 x 8.2 mm (7.80 x 4.83 x 0.32 in),,,"Iron Grey, Platinum Grey","HSPA, LTE - cellular model only","microUSB 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,1080p,5 MP,"Available. Released 2019, October",,"8.0 inches, 185.6 cm2(~76.4% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-HD.jpg,"Li-Po 5100 mAh, non-removable",Nano-SIM (cellular model only),,,"Accelerometer, proximity",Yes,,,"5.0, A2DP, LE",eMMC 5.1,1080p,,"1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",FM radio,Mediatek MT6762 Helio P22T (12 nm),,,,,,305 g (10.76 oz),,,,microSDXC (dedicated slot),No,Yes,Lenovo Tab M8 (FHD),,"16GB 2GB RAM, 32GB 3GB RAM",About 160 EUR,"2019, September",,"IPS LCD, 350 nits (typ)","1, 2, 3, 4, 5, 7, 8, 19, 20, 38, 40",,Lenovo
"1, 3, 5, 7, 8, 19, 34, 38, 39, 40, 41","GPS, GLONASS, BDS - cellular model only",,,"Glass front, aluminum back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,Android 9.0 (Pie),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,,"5 MP, AF",199.1 x 121.8 x 8.2 mm (7.84 x 4.80 x 0.32 in),,,"Iron Grey, Platinum Grey","HSPA, LTE - cellular model only","microUSB 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"TB-8505X, TB-8505F, TB-8505FS",720p,2 MP,"Available. Released 2019, October",,"8.0 inches, 185.6 cm2(~76.5% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-HD.jpg,"Li-Po 5000 mAh, non-removable",Nano-SIM (cellular model only),,,"Accelerometer, proximity",Yes,,,"5.0, A2DP, LE",eMMC 5.1,1080p,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",FM radio,Mediatek MT6761 Helio A22 (12 nm),,,,,,305 g (10.76 oz),,,,microSDXC (dedicated slot),No,Yes,Lenovo Tab M8 (HD),,"16GB 2GB RAM, 32GB 3GB RAM",About 140 EUR,"2019, September",,IPS LCD,"1, 2, 3, 4, 5, 7, 8, 19, 20, 38, 40",,Lenovo
,"GPS, GLONASS - cellular model only",,,"Glass front, aluminum back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,"Android 9.0 (Pie) - 2GB RAM, Android 9.0 Pie (Go edition) - 1GB RAM",Quad-core 1.3 GHz,Mali-400,,,,2 MP,176.3 x 102.9 x 8.3 mm (6.94 x 4.05 x 0.33 in),,,"Iron Grey, Platinum Grey, Onyx Black","HSPA, LTE - cellular model only",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,"TB-7305F, TB-7305X, TB-7305I",720p,2 MP,"Available. Released 2019, October",,"7.0 inches, 137.9 cm2(~76.0% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m7.jpg,"Li-Po 3590 mAh, non-removable",Nano-SIM (cellular model only),,,Accelerometer,Yes,,,"4.2, A2DP, LE",,720p,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",FM radio,Mediatek MT8321 (28 nm) - Wi-FiMediatek MT8765B - Wi-Fi/LTE,,,,,,236 g (8.32 oz),,,,microSDXC (dedicated slot),No,Yes,Lenovo Tab M7,,"8GB 1GB RAM, 16GB 1GB RAM, 32GB 2GB RAM",About 100 EUR,"2019, September",,IPS LCD,"1, 3, 4, 7, 8, 20",,Lenovo
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS",,,"Glass front (Gorilla Glass), glass back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,"Android 9.0 (Pie), ZUI 11",Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",157 x 74.5 x 8 mm (6.18 x 2.93 x 0.31 in),,,Blue,"HSPA, LTE","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L78121,1080p@30fps,,"Available. Released 2019, July 09",,"6.39 inches, 100.2 cm2(~85.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, panorama, HDR",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6.jpg,"Li-Po 4000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (under display, optical), accelerometer, proximity, compass",Yes,,,"5.0, A2DP, EDR, LE, aptX HD",UFS 2.1,"4K@30fps, 1080p@30fps",,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",No,Qualcomm SDM730 Snapdragon 730 (8 nm),,,Corning Gorilla Glass (unspecified),"24 MP, f/1.8, (wide), 1/2.8"", 0.9µm, PDAF8 MP, f/2.4, (telephoto), PDAF, 2x optical zoom5 MP, f/2.2, (depth)",,159 g (5.61 oz),,15W wired,HDR,microSDXC (uses shared SIM slot),No,Yes,Lenovo Z6,,"64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 250 EUR,"2019, July 04",,"Super AMOLED, 120Hz, HDR10","1, 2, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS",,,,HSDPA 850 / 900 / 1900 / 2100,"Android 9.0 (Pie), ZUI 11",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.4, (telephoto), PDAF16 MP, f/2.2, 12mm (ultrawide)2 MP, f/1.8, 2.9µm, PDAF, OIS (dedicated video camera)TOF 3D, (depth)",,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",157.5 x 74.6 x 8.7 mm (6.20 x 2.94 x 0.34 in),,,"Red, Blue","HSPA 42.2/5.76 Mbps, LTE (5CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL)","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,1080p@30fps,,"Available. Released 2019, November 15",,"6.39 inches, 100.2 cm2(~85.3% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, panorama, HDR",GSM / CDMA / HSPA / LTE / 5G,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-pro.jpg,"Li-Po 4000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Yes,,,"5.0, A2DP, EDR, LE, aptX HD",UFS 2.1,"4K@30fps, 1080p@120fps, gyro-EIS",,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",No,Qualcomm SM8150 Snapdragon 855 (7 nm),"41, 78 NSA/Sub6",,,,,185 g (6.53 oz),,18W wired,HDR,microSDXC (uses shared SIM slot),Yes,Yes,Lenovo Z6 Pro 5G,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 12GB RAM",About 400 EUR,"2019, June 26",,"Super AMOLED, HDR10","1, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,GPS,,,"Glass front, plastic back, plastic frame",HSDPA 850 / 900 / 1900 / 2100,"Android 9.0 (Pie), ZUI 11",Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",156.6 x 74.3 x 7.9 mm (6.17 x 2.93 x 0.31 in),,,"Red, Green","HSPA, LTE",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L38111,1080p@30fps,,"Available. Released 2019, May",,"6.3 inches, 97.4 cm2(~83.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, panorama, HDR",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-youth.jpg,"Li-Po 4050 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Yes,,,"5.0, A2DP, LE",,1080p@30fps,,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",FM radio,Qualcomm SDM710 Snapdragon 710 (10 nm),,,,"16 MP, f/1.8, PDAF8 MP, f/2.4, (telephoto), PDAF, 2x optical zoom5 MP, f/2.2, (wide)",,164 g (5.78 oz),,15W wired,HDR,microSDXC (uses shared SIM slot),Yes,Yes,Lenovo Z6 Youth,,"64GB 4GB RAM, 128GB 6GB RAM",About 160 EUR,"2019, May",,"IPS LCD, HDR10","1, 2, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS",,,"Glass front, glass back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,"Android 9.0 (Pie), ZUI 11.1",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,Voice 66dB / Noise 74dB / Ring 90dB,"48 MP, f/1.8, 28mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.4, (telephoto), PDAF16 MP, f/2.2, 12mm (ultrawide), AF2 MP, f/1.8, 2.9µm, PDAF, OIS (dedicated video camera)TOF 3D, (depth)",Noise -96.3dB / Crosstalk -97.0dB,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",157.5 x 74.6 x 8.7 mm (6.20 x 2.94 x 0.34 in),,,"Red, Blue/Green","HSPA 42.2/5.76 Mbps, LTE (5CA) Cat18 1200/150 Mbps","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L78051,1080p@30fps,,"Available. Released 2019, April 23",Photo/Video,"6.39 inches, 100.2 cm2(~85.3% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, panorama, HDR",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-pro.jpg,"Li-Po 4000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Yes,,,"5.0, A2DP, EDR, LE, aptX HD",UFS 2.1,"4K@30fps, 1080p@30/120fps, gyro-EIS",Endurance rating 100h,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",FM radio,Qualcomm SM8150 Snapdragon 855 (7 nm),,450 nits max brightness (measured),,,,185 g (6.53 oz),,18W wired,HDR,microSDXC (uses shared SIM slot),No,Yes,Lenovo Z6 Pro,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 12GB RAM",About 430 EUR,"2019, April 23",,"Super AMOLED, HDR10","1, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",AnTuTu: 357672 (v7)GeekBench: 11155 (v4.4)GFXBench: 36fps (ES 3.1 onscreen),Lenovo
CDMA 800 & TD-SCDMA,GPS,,,,HSDPA 850 / 900 / 1900 / 2100,Android 9.0 (Pie),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,,8 MP,156.4 x 75 x 8 mm (6.16 x 2.95 x 0.31 in),,,"Blue, Black","HSPA, LTE",USB Type-C 2.0,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct",,"L38082, 8082",1080p@30fps,,"Available. Released 2019, April",,"6.22 inches, 96.6 cm2(~82.3% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED flash, HDR, panorama",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k6-enjoy.jpg,"Li-Ion 3300 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,,,"5.0, A2DP, LE",eMMC 5.1,1080p@30fps,,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",FM radio,Mediatek MT6762 Helio P22 (12 nm),,,,"12 MP, PDAF8 MP5 MP, f/2.4, (depth)",,161 g (5.68 oz),,10W wired,HDR,microSDXC (uses shared SIM slot),No,Yes,Lenovo K6 Enjoy,,"64GB 4GB RAM, 128GB 4GB RAM",About 190 EUR,"2019, April",,IPS LCD,"1, 2, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",,Lenovo
eMMC 5.1,GPS,,,,HSDPA 850 / 900 / 1800 / 1900 / 2100,Android 9.0 (Pie),Octa-core 1.8 GHz Cortex-A53,Adreno 506,,,,"13 MP, AF",177.9 x 86.5 x 7.9 mm (7.00 x 3.41 x 0.31 in),,,Black,"HSPA, LTE",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,"PB-6505M, PB-6505MC",,5 MP,"Available. Released 2019, April",,"6.95 inches, 122.5 cm2(~79.6% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-v7.jpg,"Li-Ion 5180 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Yes, with stereo speakers",,,"4.2, A2DP, LE",,1080p@30fps,,"1080 x 2160 pixels, 18:9 ratio (~350 ppi density)",FM radio,Qualcomm SDM450 Snapdragon 450 (14 nm),,,,,,195 g (6.88 oz),,,,microSDXC (dedicated slot),No,Yes,Lenovo Tab V7,,"64GB 3GB RAM, 64GB 4GB RAM",About 250 EUR,"2019, February",,IPS LCD,"1, 2, 3, 4, 5, 7, 8, 20, 38, 40",,Lenovo
CDMA 800 & TD-SCDMA,GPS,"12 MP, f/1.8, 1/2.9"", 1.25µm, PDAF20 MP, f/2.6, 2x optical zoom",,,HSDPA 850 / 900 / 1900 / 2100,"Android 8.1 (Oreo), ZUI 10",Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,,,,,154.5 x 75.5 x 7.7 mm (6.08 x 2.97 x 0.30 in),,,"Black, Gold, Blue","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat9 450/50 Mbps",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L58091,1080p@30fps,,"Available. Released 2018, December",,"6.2 inches, 96.9 cm2(~83.0% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s5-pro.jpg,"Li-Ion 3500 mAh, non-removable",Nano-SIM + Nano-SIM,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm8 MP",,"Infrared Face ID, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Yes, with stereo speakers",,,"5.0, A2DP, LE",eMMC 5.1,"4K@30fps, 1080p@30fps",,"1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)",FM radio,Qualcomm SDM660 Snapdragon 660 (14 nm),,,,,,170 g (6.00 oz),,18W wired,HDR,microSDXC (uses shared SIM slot),No,Yes,Lenovo S5 Pro GT,,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",About 200 EUR,"2018, December",,IPS LCD,"1, 2, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",,Lenovo
