Unnamed: 0,Type,Loudspeaker,SAR,NFC,256GB 12GB RAM,Features_1,3.5mm jack,Dimensions,Clock,Resolution,256GB 6GB RAM,2G bands,Video_1,Chipset,Internal,512GB 12GB RAM,Music play,SAR EU,512GB 8GB RAM,Keyboard,Alert types,CPU,Model Image,Stand-by,Sensors,Radio,Dual,Phonebook,4G bands,3G bands,_1,Talk time,Languages,64GB 4GB RAM,128GB 4GB RAM,256GB 8GB RAM,WLAN,32GB 3GB RAM,128GB 6GB RAM,Call records,Video,_2,Infrared port,GPRS,GPU,Performance,Charging,OS,Weight,EDGE,Models,Model Name,Loudspeaker_1,Talk time_1,_7,_5,Colors,Battery (old),Java,5G bands,128GB 8GB RAM,_3,Single,_8,Brand,SIM,_4,Type_1,Single_1,Card slot,Dual_1,Triple,Announced,Quad,Status,Games,Bluetooth,64GB 2GB RAM,USB,Features,Camera,Build,Alarm,_6,Technology,Price,Browser,Speed,Protection,Stand-by_1,Size,Display,Audio quality,Messaging,Positioning,Battery (new),1TB 16GB RAM,URL,Image,Network,Launch,Body,Platform,Memory,Main Camera,Selfie camera,Sound,Comms,Battery,Misc,
Water-repellent design,IPS LCD,Yes,,Yes,,HDR,Yes,165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Qualcomm SM4250 Snapdragon 460 (11 nm),"64GB 4GB RAM, 128GB 4GB RAM",,,,,,,Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g10.jpg,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",FM radio,,,"1, 2, 3, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41",HSDPA 850 / 900 / 1900 / 2100,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,1080p@30/60fps,,,,Adreno 610,AnTuTu: 140230 (v8)GeekBench: 1139 (v5.1)GFXBench: 9.2fps (ES 3.1 onscreen),10W wired,Android 11,200 g (7.05 oz),,XT2127-2,Motorola Moto G10,-29.2 LUFS (Average),,,,"Aurora Grey, Iridescent Pearl",Endurance rating 152h,,,,,"8 MP, f/2.2, (wide), 1/4.0"", 1.12µm",,Motorola,Nano-SIMNano-SIM + Nano-SIM,,Li-Po 5000 mAh,,microSDXC (uses shared SIM slot),,,"2021, February 16","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Available. Released 2021, February 27",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",Photo/Video,"Glass front, plastic back, plastic frame",,,GSM / HSPA / LTE,About 140 EUR,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,"6.5 inches, 102.8 cm2(~82.2% screen-to-body ratio)","1878:1 contrast ratio, 370 nits max brightness (measured)",,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
eMMC 5.1,IPS LCD,Yes,,No,,,Yes,155.6 x 73 x 8.5 mm (6.13 x 2.87 x 0.33 in),,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Unisoc SC9863A (28 nm),32GB 2GB RAM,,,,,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e6i.jpg,,"Fingerprint (rear-mounted), accelerometer, proximity",Unspecified,"13 MP, f/2.2, 26mm (wide), 1/3.1"", 1.12µm, PDAF2 MP, f/2.4, (depth)",,"1, 2, 3, 4, 5, 7, 8, 19, 28, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,,,,Wi-Fi 802.11 b/g/n,,,,1080p@30fps,,,,IMG8322,,10W wired,Android 10 (Go edition),160 g (5.64 oz),,XT2053-5,Motorola Moto E6i,,,,,"Titanium Gray, Pink",,,,,,"5 MP, f/2.2, 27mm (wide), 1.12µm",,Motorola,Nano-SIM + Nano-SIM,,Li-Ion 3000 mAh,,microSDXC (uses shared SIM slot),,,"2021, February 11",,"Available. Released 2021, February 11",,"4.2, A2DP, LE",,"microUSB 2.0, OTG","LED flash, HDR, panorama",,"Glass front, plastic back, plastic frame",,,GSM / HSPA / LTE,About 170 EUR,,"HSPA, LTE",,,"6.1 inches, 91.3 cm2(~80.4% screen-to-body ratio)",,,,"GPS, GLONASS",,,,,,,,,,,,,,,,
CDMA 800,"IPS LCD, 90Hz, HDR10, 560 nits (HBM)",Yes,,Yes,,HDR,Yes,168.4 x 74 x 9.7 mm (6.63 x 2.91 x 0.38 in),,"1080 x 2520 pixels, 21:9 ratio (~409 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,,,,,,Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-edge-s.jpg,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",No,"16 MP, f/2.2, (wide), 1.0µm8 MP, f/2.4, 100˚ (ultrawide), 1.12µm",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1x,,,,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,"6K@30fps, 4K@30/60fps, 1080p@30/60/120fps, gyro-EIS",Water repellent design,,,Adreno 650,,20W wired,"Android 11, upgradable to Android 12",215 g (7.58 oz),,,Motorola Edge S,,,,,"Blue, Silver",,,"1, 3, 5, 7, 8, 28, 38, 41, 66, 77, 78 SA/NSA",,UFS 3.1,,,Motorola,Nano-SIM + Nano-SIM,Smart Connect (Ready For) support,Li-Po 5000 mAh,,microSDXC (uses shared SIM slot),,"64 MP, f/1.7, (wide), 1/2.0"", 0.7µm, PDAF16 MP, f/2.2, 121˚ (ultrawide), 1.0µm, PDAF2 MP, f/2.4, (depth)TOF 3D","2021, January 26",,"Available. Released 2021, February 03",,"5.1, A2DP, LE",,"USB Type-C 3.1, OTG","Laser AF, Dual-LED flash, ring flash (macro mode), panorama, HDR",,,,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,About 250 EUR,,"HSPA 42.2/5.76 Mbps, LTE (CA) Cat20 2000/200 Mbps, 5G",,,"6.7 inches, 104.9 cm2(~84.1% screen-to-body ratio)",,,,"GPS (L1+L5), GLONASS, BDS, GALILEO",,,,,,,,,,,,,,,,
Water-repellent coating,"IPS LCD, HDR10",Yes,,Yes,,HDR,Yes,166.1 x 76.1 x 9.9 mm (6.54 x 3.00 x 0.39 in),,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Qualcomm SM7225 Snapdragon 750G 5G (8 nm),"64GB 4GB RAM, 128GB 6GB RAM",,,,,,,Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),https://fdn2.gsmarena.com/vv/bigpic/motorola-one-5g-ace.jpg,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Unspecified,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 38, 39, 40, 41, 66, 71",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,$ 69.88,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,$ 94.00,,"4K@30fps, 1080p@30/60fps, gyro-EIS",,,,Adreno 619,,15W wired,Android 10,212 g (7.48 oz),,"XT2113-2, XT2113-5",Motorola One 5G Ace,,,,,"Volcanic Gray, Frosted Silver",,,"2, 5, 25, 41, 66, 71 Sub6",,,"16 MP, f/2.2, (wide), 1.0µm",,Motorola,Nano-SIM,,Li-Po 5000 mAh,,microSDXC (dedicated slot),,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide), 1.12µm2 MP, f/2.4, (macro), AF","2021, January 08",,"Available. Released 2021, January 14",,"5.1, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",,,,,GSM / HSPA / LTE / 5G,$ 69.88,,"HSPA, LTE, 5G",,,"6.7 inches, 108.4 cm2(~85.7% screen-to-body ratio)",,,,"GPS (L1+L5), GLONASS, GALILEO",,,,,,,,,,,,,,,,
CDMA 800 / 1900,IPS LCD,Yes,,No,,HDR,Yes,169.8 x 77.9 x 9 mm (6.69 x 3.07 x 0.35 in),,"1080 x 2400 pixels, 20:9 ratio (~386 ppi density)",,GSM 850 / 900 / 1800 / 1900,"1080p@30fps, gyro-EIS",Qualcomm SDM678 Snapdragon 678 (11 nm),128GB 4GB RAM,,,,,,,Octa-core (2x2.2 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-2021.jpg,,"Fingerprint (side-mounted), accelerometer, gyro, proximity",Unspecified,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 29, 38, 40, 41, 66, 71",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,StylusWater-repellent coating,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,"4K@30fps, 1080p@30/60fps; gyro-EIS",,,,Adreno 612,,10W wired,Android 10,213 g (7.51 oz),,"XT2115, XT2115-1",Motorola Moto G Stylus (2021),,,,,"Aurora Black, Aurora White",,,,,,"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",,Motorola,Nano-SIM,,Li-Po 4000 mAh,,microSDXC (dedicated slot),,,"2021, January 08","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide), 1/4.0, 1.12µm2 MP, f/2.2, (macro)2 MP, f/2.4, (depth)","Available. Released 2021, January 14",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",,"Glass front, plastic frame, plastic back",,,GSM / CDMA / HSPA / LTE,About 90 EUR,,"HSPA, LTE",,,"6.8 inches, 112.2 cm2(~84.8% screen-to-body ratio)",,,,"GPS, GLONASS, BDS, GALILEO",,,,,,,,,,,,,,,,
CDMA 800 / 1900,IPS LCD,Yes,,No,,HDR,Yes,165.3 x 75.9 x 9.5 mm (6.51 x 2.99 x 0.37 in),,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",,GSM 850 / 900 / 1800 / 1900,"1080p@30fps, gyro-EIS",Qualcomm SM6115 Snapdragon 662 (11 nm),"32GB 3GB RAM, 64GB 4GB RAM",,,,,,,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-power-2021.jpg,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",FM radio,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 25, 26, 29, 30, 38, 41, 66, 71",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,"1080p@30/60fps, gyro-EIS",Water-repellent coating,,,Adreno 610,,15W wired,Android 10,206.5 g (7.30 oz),,,Motorola Moto G Power (2021),,,,,"Flash Gray, Polar Silver",,,,,eMMC 5.1,"8 MP, f/2.0, 1.12µm",,Motorola,Nano-SIM,,Li-Po 5000 mAh,,microSDXC (dedicated slot),,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","2021, January 08",,"Available. Released 2021, January 14",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",,"Glass front, plastic back, plastic frame",,,GSM / CDMA / HSPA / EVDO / LTE,About 60 EUR,,"HSPA, LTE",,,"6.6 inches, 105.2 cm2(~83.8% screen-to-body ratio)",,,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
CDMA 800 / 1900,IPS LCD,Yes,,No,,HDR,Yes,166.6 x 76 x 9.4 mm (6.56 x 2.99 x 0.37 in),,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Qualcomm SM4250 Snapdragon 460 (11 nm),32GB 3GB RAM,,,,,,,Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-play-2021.jpg,,"Fingerprint (rear-mounted), accelerometer, proximity",Unspecified,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm, PDAF2 MP, f/2.4, (depth)",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 38, 41, 66, 71",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2, 4, 5, 12, 14, 30, 66",,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,1080p@30/60fps,Water-repellent coating,,,Adreno 610,,10W wired,Android 10,204 g (7.20 oz),,"XT2093-3, XT2093-7, XT2093-DL, XT2093DL",Motorola Moto G Play (2021),,,,,Misty Blue,,,,,eMMC 5.1,"5 MP, f/2.2, (wide), 1.12µm",,Motorola,Nano-SIM,,Li-Po 5000 mAh,,microSDXC (dedicated slot),,,"2021, January 08",,"Available. Released 2021, January 14",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",,"Plastic frame, plastic back",,,GSM / CDMA / HSPA / LTE,About 60 EUR,,"HSPA, LTE",,,"6.5 inches, 102.0 cm2(~80.6% screen-to-body ratio)",,,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,IPS LCD,Yes,,No,,HDR,Yes,164.9 x 75.7 x 8.9 mm (6.49 x 2.98 x 0.35 in),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Mediatek MT6762G Helio G25 (12 nm),"32GB 2GB RAM, 64GB 2GB RAM, 64GB 4GB RAM",,,,,,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e7-r1.jpg,,"Fingerprint (rear-mounted), accelerometer, proximity",FM radio,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (macro)",,"1, 3, 5, 7, 8, 20, 38, 40, 41 - Europe","HSDPA 850 / 900 / 1900 / 2100 - Europe, Asia","1, 2, 3, 4, 5, 7, 8, 19, 28, 66 - LATAM",,,,,,Wi-Fi 802.11 b/g/n,,,,1080p@30fps,"1, 2, 3, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41 - Asia",,,PowerVR GE8320,,10W wired,Android 10,180 g (6.35 oz),,,Motorola Moto E7,,,,,"Mineral Gray, Aqua Blue, Satin Coral",,,,,Water-repellent coating,"5 MP, f/2.2",,Motorola,Nano-SIM + Nano-SIM,eMMC 5.1,Li-Po 4000 mAh,,microSDXC (uses shared SIM slot),,,"2020, November 24",,"Available. Released 2020, December 09",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",,"Glass front, plastic frame, plastic back",,,GSM / HSPA / LTE,About 110 EUR,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,"6.5 inches, 102.8 cm2(~82.3% screen-to-body ratio)",,,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
,"IPS LCD, HDR10",Yes,,Yes,,HDR,Yes,166.1 x 76.1 x 9.9 mm (6.54 x 3.00 x 0.39 in),,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Qualcomm SM7225 Snapdragon 750G 5G (8 nm),"64GB 4GB RAM, 128GB 2GB RAM, 128GB 6GB RAM",,,,,,,Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-5g.jpg,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","FM radio, RDS",,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41, 42, 43",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,"4K@30fps, 1080p@30/60fps, gyro-EIS",,,,Adreno 619,AnTuTu: 312461 (v8)GeekBench: 1980 (v5.1)GFXBench: 17fps (ES 3.1 onscreen),20W wired,Android 10,212 g (7.48 oz),,,Motorola Moto G 5G,-28.1 LUFS (Average),,,,"Volcanic Gray, Frosted Silver",Endurance rating 131h,,"1, 3, 5, 7, 8, 28, 38, 41, 77, 78 SA/NSA",,,"16 MP, f/2.2, (wide), 1.0µm",,Motorola,Nano-SIM + Nano-SIM,,Li-Po 5000 mAh,,microSDXC (uses shared SIM slot),,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide), 1.12µm2 MP, f/2.4, (macro), AF","2020, November 05",,"Available. Released 2020, December 07",,"5.1, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",Photo/Video,"Glass front, plastic back, plastic frame",,,GSM / HSPA / LTE / 5G,About 90 EUR,,"HSPA, LTE, 5G",,,"6.7 inches, 108.4 cm2(~85.7% screen-to-body ratio)","1419:1 contrast ratio, 484 nits max brightness (measured)",,,"GPS (L1+L5), GLONASS, GALILEO",,,,,,,,,,,,,,,,
"1, 2, 3, 4, 5, 7, 28, 66 - LATAM",IPS LCD,Yes,,Yes (market/region dependent),,HDR,Yes,172.1 x 76.8 x 9.7 mm (6.78 x 3.02 x 0.38 in),,720 x 1640 pixels (~263 ppi density),,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Qualcomm SM6115 Snapdragon 662 (11 nm),"64GB 4GB RAM, 128GB 4GB RAM",,,,,,,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-power.jpg,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",FM radio,,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41 - Europe, APEM",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Water-repellent coating,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,1080p@30/60fps,,,,Adreno 610,AnTuTu: 182875 (v8)GeekBench: 1374 (v5.1)GFXBench: 13fps (ES 3.1 onscreen),20W wired,Android 10,221 g (7.80 oz),,"XT2091-3, XT2091-4",Motorola Moto G9 Power,-28.6 LUFS (Average),,,,"Electric Violet, Metallic Sage",Endurance rating 155h,,,,,"16 MP, f/2.2, 1.0µm",,Motorola,Nano-SIMNano-SIM + Nano-SIM,,Li-Po 6000 mAh,,microSDXC (uses shared SIM slot),,"64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF2 MP, f/2.4, (macro), AF2 MP, f/2.4, (depth)","2020, November 05",,"Available. Released 2020, December 05",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",Photo/Video,,,,GSM / HSPA / LTE,About 260 EUR,,"HSPA, LTE",,,"6.8 inches, 109.8 cm2(~83.1% screen-to-body ratio)","1680:1 contrast ratio, 521 nits max brightness (measured)",,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
CDMA 800 / 1900,Foldable P-OLED,Yes,,Yes,,Auto HDR,No,Unfolded: 169.2 x 72.6 x 7.9 mmFolded: 91.7 x 72.6 x 16 mm,,876 x 2142 pixels (~373 ppi density),,GSM 900 / 1800 / 1900,1080p@30/60fps,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),256GB 8GB RAM,,,,,,,Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-5g-brush-gold.jpg,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",No,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,CDMA2000 1xEV-DO,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",Water-repellent coating,,,Adreno 620,,15W wired,"Android 10, upgradable to Android 11",192 g (6.77 oz),,"XT2071-4, XT2071-3",Motorola Razr 5G,,,,,"Polished Graphite, Blush Gold, Liquid Mercury",,,"2, 5, 25, 41, 66, 71, 78 SA/NSA/Sub6",,"Second external G-OLED display, 2.7 inches, 600 x 800 pixels","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS",,Motorola,Nano-SIM +eSIM,,Li-Po 2800 mAh,"20 MP, f/2.2, (wide), 0.8µm",No,,,"2020, September 09",,"Available. Released 2020, September 15",,"5.1, A2DP, LE",,USB Type-C 3.1,"Dual-LED dual-tone flash, auto HDR, panorama",,"Plastic front (unfolded), glass front (folded, Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame (7000 series), hinge (stainless steel)",,,GSM / CDMA / HSPA / EVDO / LTE / 5G,About 490 EUR,,"HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/150 Mbps, 5G",,,"6.2 inches, 86.9 cm2(~70.7% screen-to-body ratio)",,,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
,"IPS LCD, HDR10",Yes,,Yes,,HDR,Yes,170 x 78.1 x 9.7 mm (6.69 x 3.07 x 0.38 in),,"1080 x 2400 pixels, 20:9 ratio (~386 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Qualcomm SDM730 Snapdragon 730G (8 nm),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",,,,,,,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g9-plus-new.jpg,,"Fingerprint (side-mounted), accelerometer, gyro, proximity",FM radio,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 66 Brazil",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",,,,Adreno 618,AnTuTu: 253105 (v8)GeekBench: 1695 (v5.1)GFXBench: 15fps (ES 3.1 onscreen),30W wired,Android 10,223 g (7.87 oz),,XT2087-1,Motorola Moto G9 Plus,-29.0 LUFS (Average),,,,"Rose Gold, Indigo Blue",Endurance rating 136h,,,,,"16 MP, f/2.0, 29mm (standard)",,Motorola,Nano-SIMNano-SIM + Nano-SIM,,Li-Po 5000 mAh,,microSDXC (uses shared SIM slot),,,"2020, September 07","64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.2, (macro)2 MP, f/2.2, (depth)","Available. Released 2020, September 07",,"5.0, A2DP, LE",,USB Type-C 2.0,"LED flash, HDR, panorama",Photo/Video,"Glass front, plastic back, plastic frame",,,GSM / HSPA / LTE,About 300 EUR,,"HSPA, LTE",,,"6.81 inches, 112.0 cm2(~84.3% screen-to-body ratio)","1356:1 contrast ratio, 522 nits max brightness (measured)",,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
eMMC 5.1,IPS LCD,Yes,,No,,HDR,Yes,165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in),,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,GSM 850 / 900 / 1800 / 1900,1080p@30fps,Qualcomm SM4250 Snapdragon 460 (11 nm),64GB 4GB RAM,,,,,,,Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e7-plus.jpg,,"Fingerprint (rear-mounted), accelerometer, proximity",FM radio,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF2 MP, (depth)",,"1, 2, 3, 4, 5, 7, 8, 19, 28, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,,,,,Wi-Fi 802.11 b/g/n,,,,1080p@30/60fps,,,,Adreno 610,,10W wired,Android 10,200 g (7.05 oz),,"XT2081-1, XT2081-2",Motorola Moto E7 Plus,,,,,"Navy Blue, Amber Bronze",,,,,,"8 MP, f/2.2, 26mm (wide), 1/4.0"", 1.12µm",,Motorola,Nano-SIM + Nano-SIM,,Li-Po 5000 mAh,,microSDXC (uses shared SIM slot),,,"2020, September 11",,"Available. Released 2020, September 16",,"5.0, A2DP, LE",,"microUSB 2.0, OTG","LED flash, HDR, panorama",,,,,GSM / HSPA / LTE,About 350 EUR,,"HSPA, LTE",,,"6.5 inches, 102.0 cm2(~81.6% screen-to-body ratio)",,,,"GPS, GLONASS, GALILEO",,,,,,,,,,,,,,,,
