,Status,Type,3.5mm jack,Model Image,Positioning,Protection,Triple,Build,Features,Size,4G bands,NFC,SAR EU,Chipset,GPU,Colors,Video,Quad,Single_1,GPRS,Features_1,Video_1,2G bands,Speed,Card slot,_2,Type_1,Resolution,_3,Model Name,5G bands,3G bands,Dimensions,Sensors,Announced,Talk time,Bluetooth,Price,Loudspeaker,OS,CPU,Stand-by,_1,USB,Charging,SIM,Internal,Dual,_4,SAR,Weight,Models,Technology,Brand,Infrared port,WLAN,Single,EDGE,Radio
,"Available. Released 2021, January 08",IPS LCD,No,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-s.jpg,GPS,,,"Glass front, glass back, plastic frame","Dual-LED flash, panorama, HDR","6.53 inches, 104.7 cm2(~85.2% screen-to-body ratio)",LTE,No,,Mediatek MT6771 Helio P60 (12 nm),Mali-G72 MP3,"Moon White, Lapis Blue, Night Black",1080p@30fps,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.0, 120˚ (ultrawide)5 MP, f/2.0, (macro)0.3 MP, (depth)",,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC,,Li-Po 5000 mAh,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",,Coolpad Cool S,,HSDPA 850 / 900 / 2100,161.2 x 76.2 x 8.9 mm (6.35 x 3.00 x 0.35 in),"Fingerprint (side-mounted), accelerometer, proximity, compass","2021, January 08",,Yes,About 160 EUR,Yes,Android 10,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,USB Type-C 2.0,10W wired,Nano-SIM + Nano-SIM,128GB 4GB RAM,,,,-,2039,GSM / HSPA / LTE,Coolpad,,Yes,"25 MP, f/2.0, (wide), 1/2.78"", 0.9µm",,Unspecified
,"Available. Released 2020, October 15",IPS LCD,No,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool6.jpg,GPS,,"48 MP, (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,"LED flash, panorama, HDR","6.53 inches, 104.7 cm2(~84.3% screen-to-body ratio)",LTE,No,,Mediatek MT6771T Helio P70 (12 nm),Mali-G72 MP3,"Gray, Blue",1080p@30fps,,,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (uses shared SIM slot),,Li-Po 4000 mAh,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",,Coolpad Cool 6,,HSDPA 850 / 900 / 2100,162.4 x 76.5 x 9.2 mm (6.39 x 3.01 x 0.36 in),"Fingerprint (rear-mounted), accelerometer, proximity, compass","2020, October 15",,Yes,About 130 EUR,Yes,Android 10,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,USB Type-C 2.0,,Nano-SIM + Nano-SIM,"64GB 4GB RAM, 128GB 6GB RAM",,,,198 g (6.98 oz),,GSM / HSPA / LTE,Coolpad,,Yes,Motorized pop-up 21 MP,,FM radio
eMMC 5.1,"Available. Released 2020, October 05",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool12a.jpg,GPS,,,"Glass front, plastic frame, glass back","LED flash, panorama, HDR","6.3 inches, 97.4 cm2(~82.9% screen-to-body ratio)",LTE,No,,Spreadtrum,,"Dream Black, Dream Blue, Fantasy Silver",1080p@30fps,,,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSD,,Li-Po 4000 mAh,"720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",,Coolpad Cool 12A,,HSDPA 2100,156.2 x 75.2 x 8.9 mm (6.15 x 2.96 x 0.35 in),"Fingerprint (side-mounted), accelerometer, proximity","2020, October 05",,"4.2, A2DP",About 70 EUR,Yes,Android,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),,,USB Type-C 2.0,,Nano-SIM,64GB 4GB RAM,"16 MP, PDAF2 MP",,,202.5 g (7.16 oz),,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",8 MP,,FM radio
,"Available. Released 2020, June 12",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool10.jpg,GPS,,"16 MP, f/1.5, PDAF0.3 MP0.3 MP",,"LED flash, panorama, HDR","6.52 inches, 106.6 cm2(~84.1% screen-to-body ratio)",LTE,No,,Mediatek MT6758 Helio P30 (16 nm) - ChinaMediatek MT6771 Helio P60 (12 nm) - International,Mali-G71 MP2,"Glazed Black, Seashell White, Science Blue",1080p@30fps,,,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSD,,Li-Po 5000 mAh,"720 x 1600 pixels, 20:9 ratio (~264 ppi density)",,Coolpad Cool 10,,HSDPA 2100,165.7 x 76.5 x 9.1 mm (6.52 x 3.01 x 0.36 in),"Fingerprint (side-mounted), accelerometer, proximity","2020, June 05",,"4.2, A2DP",About 110 EUR,Yes,Android 10,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53) - ChinaOcta-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53) - International,,,USB Type-C 2.0,,Nano-SIM,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",,,,202.8 g (7.16 oz),SEA-A0,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",8 MP,,Unspecified
CDMA 800 / 1900,Cancelled,"IPS LCD, HDR10",Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy-5g-.jpg,"GPS (L1+L5), GLONASS, BDS, GALILEO",,,,"LED flash, panorama, HDR","6.53 inches, 104.7 cm2(~82.4% screen-to-body ratio)",LTE,No,,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Adreno 620,Yellow/Blue,"4K@30fps, 1080p@30fps",,,,HDR,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G (2+ Gbps DL)",microSD,UFS 2.1,Li-Po 4000 mAh,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",,Coolpad Legacy 5G,SA/NSA/Sub6,HSDPA 850 / 1700(AWS) / 1900,165 x 77 x 9.5 mm (6.50 x 3.03 x 0.37 in),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2020, January",,"5.0, A2DP, LE",About 360 EUR,Yes,Android 10,Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),,CDMA2000 1xEV-DO,USB Type-C 2.0,"18W wired, QC3",Nano-SIM,64GB 4GB RAM,"48 MP, (wide), 1/2.0"", 0.8µm, PDAF8 MP, (ultrawide)",,,195 g (6.88 oz),,GSM / CDMA / HSPA / EVDO / LTE / 5G,Coolpad,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",16 MP,,FM radio
eMMC 5.1,"Available. Released 2019, May",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy.jpg,GPS,Corning Gorilla Glass 3,,,"LED flash, panorama, HDR","6.36 inches, 104.4 cm2(~78.2% screen-to-body ratio)","2, 4, 5, 12, 66, 71",No,,Qualcomm SDM450 Snapdragon 450 (14 nm),Adreno 506,Silver,1080p@30fps,,,,,1080p@30fps,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (dedicated slot),,"Li-Po 4000 mAh, non-removable","1080 x 2160 pixels, 18:9 ratio (~380 ppi density)",,Coolpad Legacy,,HSDPA 850 / 1700(AWS) / 1900,165.9 x 80.5 x 8.4 mm (6.53 x 3.17 x 0.33 in),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2019, May",,"4.2, A2DP",About 160 EUR,Yes,Android 9.0 (Pie),Octa-core 1.8 GHz Cortex-A53,,,USB Type-C 2.0,15W wired,Nano-SIM,32GB 3GB RAM,"16 MP, AF5 MP",,,170 g (6.00 oz),,GSM / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",13 MP,,FM radio
eMMC 5.1,"Available. Released 2019, October",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-5.jpg,GPS,,,,"LED flash, panorama, HDR","6.22 inches, 96.6 cm2(~80.9% screen-to-body ratio)","1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40",No,,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,"Gradient Blue, Midnight Blue",1080p@30fps,,,,,,GSM 850 / 900 / 1800 / 1900,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,,"Li-Po 4000 mAh, non-removable","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",,Coolpad Cool 5,,HSDPA 850 / 900 / 2100,157 x 76 x 8 mm (6.18 x 2.99 x 0.31 in),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2019, October",,"5.0, A2DP, LE",About 8000 INR,Yes,Android 9.0 (Pie),Octa-core 2.0 GHz Cortex-A53,,,"USB Type-C 2.0, OTG",,Nano-SIM + Nano-SIM,64GB 4GB RAM,"13 MP, AF2 MP",,,145 g (5.11 oz),,GSM / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",,FM radio
eMMC 5.1,"Available. Released 2019, June",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-3-plus.jpg,GPS,,,,"LED flash, panorama, HDR","5.71 inches, 81.4 cm2(~78.8% screen-to-body ratio)","1, 2, 3, 4, 5, 6, 7, 8, 19, 20, 28",No,,Mediatek MT6761 Helio A22 (12 nm),PowerVR GE8320,"Ocean Blue, Cherry Black",1080p@30fps,,8 MP,,,,GSM 850 / 900 / 1800 / 1900,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),,"Li-Ion 3000 mAh, non-removable","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,Coolpad Cool 3 Plus,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,145.7 x 70.9 x 8.2 mm (5.74 x 2.79 x 0.32 in),"Fingerprint (rear-mounted), accelerometer, proximity","2019, June",,"5.0, A2DP, LE",About 6000 INR,Yes,Android 9.0 (Pie),Quad-core 2.0 GHz Cortex-A53,,,"microUSB 2.0, OTG",,Nano-SIM + Nano-SIM,"16GB 2GB RAM, 32GB 3GB RAM",,,,135 g (4.76 oz),1825-I01,GSM / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, AF",,No
eMMC 5.1,"Available. Released 2018, December",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-8.jpg,"GPS, GLONASS, BDS",,,,"LED flash, panorama, HDR","6.2 inches, 96.9 cm2(~83.3% screen-to-body ratio)","1, 3, 5, 40",No,,Mediatek MT6750 (28 nm),Mali-T860MP2,"Black, Red",1080p@30fps,,,,,,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC,,"Li-Ion 4000 mAh, non-removable","1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)",,Coolpad Cool Play 8,,HSDPA 850 / 900 / 1900 / 2100,155.5 x 74.8 x 8.5 mm (6.12 x 2.94 x 0.33 in),"Fingerprint (rear-mounted), accelerometer, proximity","2018, December",,"4.2, A2DP, LE",About 150 EUR,Yes,"Android 8 (Oreo), Cool UI 9",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,USB Type-C 2.0,10W wired,Dual SIM,64GB 4GB RAM,"16 MP, AF2 MP, (depth)",,,177 g (6.24 oz),,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",8 MP,,FM radio
CDMA 800 & TD-SCDMA,"Available. Released 2018, August",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-mega-5a-.jpg,GPS,,,,"LED flash, panorama, HDR","5.45 inches, 76.7 cm2","1, 3, 5, 40",No,,Spreadtrum SC9850K,Mali-820MP1,Gold,1080p@30fps,,,,LED flash,,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (uses shared SIM slot),,"Li-Ion 2500 mAh, non-removable","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,Coolpad Mega 5A,,HSDPA 850 / 900 / 1900 / 2100,-,"Fingerprint (rear-mounted), accelerometer","2018, August",,"4.0, A2DP, LE",About 7000 INR,Yes,Android 8.1 (Oreo),Quad-core 1.3 GHz Cortex-A7,,,microUSB 2.0,,Nano-SIM + Nano-SIM,16GB 2GB RAM,"8 MP, f/2.0, PDAF0.3 MP, (depth)",,,-,,GSM / CDMA / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",5 MP,,FM radio
eMMC 5.1,"Available. Released 2018, May",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-note-6-.jpg,"GPS, GLONASS, BDS",,,,"LED flash, panorama, HDR","5.5 inches, 83.4 cm2(~71.0% screen-to-body ratio)","1, 3, 5, 40",No,,Qualcomm MSM8940 Snapdragon 435 (28 nm),Adreno 505,Gold,1080p@30fps,,,,,,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (dedicated slot),,"Li-Ion 4070 mAh, non-removable","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Coolpad Note 6,,HSDPA 850 / 900 / 1900 / 2100,153.7 x 76.4 x 8.6 mm (6.05 x 3.01 x 0.34 in),"Fingerprint (front-mounted), accelerometer, proximity","2018, May",,"4.0, A2DP, LE",About 9000 INR,Yes,Android 7.1 (Nougat),Octa-core 1.4 GHz Cortex-A53,,,microUSB 2.0,,Dual SIM,"32GB 3GB RAM, 64GB 4GB RAM","8 MP5 MP, depth sensor",,,170 g (6.00 oz),,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, 2.2, AF",,FM radio
CDMA 800 & TD-SCDMA,"Available. Released 2018, June",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-2.jpg,"GPS, GLONASS, BDS",,,"Glass front, aluminum back, aluminum frame","LED flash, panorama, HDR","5.7 inches, 83.8 cm2(~73.9% screen-to-body ratio)","1, 3, 5, 7, 8, 38, 39, 40, 41",No,,Mediatek MT6750 (28 nm),Mali-T860MP2,"Gold, Blue",1080p@30fps,,,,,,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",microSDXC (uses shared SIM slot),eMMC 5.1,"Li-Ion 3200 mAh, non-removable","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,Coolpad Cool 2,,HSDPA 850 / 900 / 1900 / 2100,154.7 x 73.3 x 9 mm (6.09 x 2.89 x 0.35 in),"Fingerprint (rear-mounted), accelerometer, proximity","2018, April",,"4.0, A2DP, LE",,Yes,Android 7.0 (Nougat),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,Splash resistant,microUSB 2.0,,Nano-SIM + Nano-SIM,64GB 4GB RAM,"13 MP, AF0.3 MP, (depth)",,,160 g (5.64 oz),,GSM / CDMA / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",8 MP,,No
CDMA 800 / 1900 & TD-SCDMA,"Available. Released 2017, September",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-play-6-.jpg,GPS,,,,"Dual-LED dual-tone flash, panorama, HDR","5.5 inches, 83.4 cm2(~73.0% screen-to-body ratio)","1, 3, 5, 7, 8, 38, 39, 40, 41",No,,Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),Adreno 510,"Gold, Black","4K@30fps, 1080p@30fps",,"8 MP, f/2.2, 1/3.2"", 1.4µm",,,1080p@30fps,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA, LTE",No,,"Li-Ion 4060 mAh, non-removable","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Coolpad Cool Play 6,,HSDPA 850 / 900 / 1900 / 2100,152 x 75.2 x 8.5 mm (5.98 x 2.96 x 0.33 in),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2017, August",,"4.1, A2DP, LE",About 15000 INR,Yes,"Android 7.1.1 (Nougat), Journey UI",Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A72),,eMMC 5.1,USB Type-C 2.0,,Nano-SIM + Nano-SIM,64GB 6GB RAM,,,,175 g (6.17 oz),COR-I0,GSM / CDMA / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct","13 MP, f/2.0, PDAF13 MP",,No
CDMA 800 & TD-SCDMA,"Available. Released 2017, August",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-m7.jpg,GPS,,,,"LED flash, HDR, panorama","5.5 inches, 83.4 cm2(~74.3% screen-to-body ratio)","1, 3, 7, 38, 39, 40, 41",No,,Qualcomm MSM8953 Snapdragon 625 (14 nm),Adreno 506,"Matte Black, Dark Blue",1080p@30fps,,"13 MP, f/2.2, (wide), 1/3.1"", 1.12µm",,,1080p@30fps,GSM 900 / 1800 - SIM 1 & SIM 2,"HSPA, LTE",No,,"Li-Ion 3200 mAh, non-removable","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Coolpad Cool M7,,HSDPA 850 / 900 / 1900 / 2100,151.1 x 74.3 x 6.9 mm (5.95 x 2.93 x 0.27 in),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","2017, August",,"4.1, A2DP, LE",About 350 EUR,Yes,Android 7.1.1 (Nougat),Octa-core 2.0 GHz Cortex-A53,,eMMC 5.1,USB Type-C 2.0,,Nano-SIM + Nano-SIM,64GB 4GB RAM,,,,152 g (5.36 oz),,GSM / CDMA / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct","12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF",,No
,"Available. Released 2017, August",IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-nx1-.jpg,GPS,,,,Dual-LED flash,"5.0 inches, 68.9 cm2",LTE,No,,Mediatek MT6735P (28 nm),Mali-T720MP2,"Black, White",720p,,"2 MP, f/2.4",Yes,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,,"Li-Po 2000 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Coolpad NX1,,HSDPA,-,"Accelerometer, proximity","2017, August",,"4.0, A2DP",About 10300 INR,Yes,Android 5.0 (Lollipop),Quad-core 1.0 GHz Cortex-A53,,,microUSB 2.0,,Dual SIM,8GB 1GB RAM,,,,-,,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, f/2.4, AF",Yes,FM radio
eMMC 5.1,Discontinued,TFT,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-defiant.jpg,GPS,,,,LED flash,"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)","2, 4, 12",No,,Qualcomm MSM8917 Snapdragon 425 (28 nm),Adreno 306,Storm gray,720p@24fps,,2 MP,,,,GSM 850 / 900 / 1800 / 1900,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC,,Li-Ion 2450 mAh battery,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Coolpad Defiant,,HSDPA 850 / 1700(AWS) / 1900,144.5 x 71.4 x 10.2 mm (5.69 x 2.81 x 0.40 in),Accelerometer,"2017, June. Released 2017, June",Up to 15 h (3G),"4.2, A2DP, LE",About 80 EUR,Yes,Android 7.0 (Nougat),Quad-core 1.4 GHz Cortex-A53,Up to 216 h (3G),,microUSB 2.0,,Micro-SIM,8GB 1GB RAM,,,,184.3 g (6.49 oz),,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 b/g/n,"5 MP, AF",,No
,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-note-5-lite.jpg,GPS,,,,"LED flash, HDR, panorama","5.0 inches, 68.9 cm2(~65.6% screen-to-body ratio)","1, 3, 5, 40",No,,Mediatek MT6735CP,Mali-T720MP2,"Gold, Gray",1080p@30fps,,"8 MP, f/2.2",,LED flash,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA, LTE",microSDXC (uses shared SIM slot),,"Li-Ion 2500 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Coolpad Note 5 Lite,,HSDPA 900 / 1900 / 2100,145.3 x 72.3 x 8.7 mm (5.72 x 2.85 x 0.34 in),"Fingerprint (rear-mounted), accelerometer, proximity","2017, March. Released 2017, March",,"4.0, A2DP",About 120 EUR,Yes,"Android 6 (Marshmallow), Cool UI 8",Quad-core 1.0 GHz Cortex-A53,,,"microUSB 2.0, OTG",,Nano-SIM + Nano-SIM,16GB 3GB RAM,,,,148 g (5.22 oz),3505I,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 b/g/n,"13 MP, f/2.2, AF",,FM radio
CDMA 800 / 1900,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/leeco-cool1-dual.jpg,"GPS, GLONASS, BDS",,,,"Dual-LED dual-tone flash, panorama, HDR","5.5 inches, 83.4 cm2(~73.3% screen-to-body ratio)","1, 3, 5, 7, 8, 38, 39, 40, 41",No,,Qualcomm MSM8976 Snapdragon 652 (28 nm),Adreno 510,"Gold, Silver, Rose Gold","4K@30fps, 1080p@30fps, 720p@120fps",,"8 MP, f/2.2, 1/3.2"", 1.4µm",,,1080p@30fps,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA, LTE",No,eMMC 5.1,"Li-Ion 4060 mAh, non-removable","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Coolpad Cool1 dual,,HSDPA 850 / 900 / 1900 / 2100,152 x 74.8 x 8.2 mm (5.98 x 2.94 x 0.32 in),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2016, August. Released 2016, August",,"4.1, A2DP, LE",About 200 EUR,Yes,"Android 6.0 (Marshmallow), eUI 5.6",Octa-core (4x1.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A72),,TD-SCDMA,USB Type-C,"18W wired, QC2, 50% in 30 min",Nano-SIM + Nano-SIM,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",,,,167 g (5.89 oz),"R116, C1-U02",GSM / CDMA / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","13 MP, f/2.0, PDAF13 MP",,No
,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-conjr.jpg,GPS,,,,"LED flash, HDR, panorama","5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)","2, 4, 5, 7, 12",No,,Mediatek MT6735CP,Mali-T720MP2,Gray,1080p@30fps,,"8 MP, f/2.2",,LED flash,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC,,"Li-Ion 2500 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Coolpad Conjr,,HSDPA 850 / 1700(AWS) / 1900 / 2100,143 x 72 x 8.7 mm (5.63 x 2.83 x 0.34 in),"Fingerprint (rear-mounted), accelerometer, proximity","2017, January. Released 2017, January",,"4.0, A2DP",About 210 EUR,Yes,"Android 6 (Marshmallow), Cool UI 8",Quad-core 1.0 GHz Cortex-A53,,,microUSB 2.0,,Nano-SIM + Nano-SIM,16GB 3GB RAM,,,,148 g (5.22 oz),,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 b/g/n,"13 MP, f/2.2, AF, OIS",,FM radio
Tuned by Harman Kardon,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-s1.jpg,GPS,,,,"Dual-LED dual-tone flash, HDR, panorama","5.5 inches, 83.4 cm2(~73.7% screen-to-body ratio)",LTE,No,,Qualcomm MSM8996 Snapdragon 821 (14 nm),Adreno 530,Gold,Yes,,8 MP,Yes,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA, LTE",No,,"Li-Po 4070 mAh, non-removable","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Coolpad Cool S1,,HSDPA,151.4 x 74.7 x 7.5 mm (5.96 x 2.94 x 0.30 in),"Fingerprint (rear-mounted), accelerometer, proximity","2016, December. Released 2017, January",,"4.1, A2DP, LE",About 420 EUR,"Yes, with stereo speakers","Android 6.0.1 (Marshmallow), eUI 5.8",Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo),,,USB Type-C,"18W wired, QC3",Dual SIM,"64GB 4GB RAM, 128GB 6GB RAM",,,,168 g (5.93 oz),,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","16 MP, f/2.0, PDAF",Yes,FM radio
eMMC 4.5,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-note-3s.jpg,GPS,Scratch-resistant glass,,,"LED flash, HDR, panorama","5.5 inches, 83.4 cm2(~69.7% screen-to-body ratio)","3, 5, 40",No,0.57 W/kg (head)     0.65 W/kg (body),Qualcomm MSM8929 Snapdragon 415 (28 nm),Adreno 405,"White, Gold",1080p@30fps,,"5 MP, f/2.2",,,1080p@30fps,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC,,"Li-Po 2500 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Coolpad Note 3s,,HSDPA 900 / 2100,154.5 x 77.4 x 8.3 mm (6.08 x 3.05 x 0.33 in),"Fingerprint (rear-mounted), accelerometer, proximity","2016, November. Released 2016, December",Up to 8 h (3G),"4.0, A2DP",,"Yes, with stereo speakers",Android 6.0 (Marshmallow),Octa-core (4x1.3 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Up to 200 h (3G),,"microUSB 2.0, OTG",,Dual SIM,32GB 3GB RAM,,,,163 g (5.75 oz),Y91-I00,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, f/2.2, AF",,Stereo FM radio; recording
