,Features,CPU,4G bands,Single_1,Stand-by,Loudspeaker,Bluetooth,Games,OS,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Languages,Speed,NFC,Build,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Video,Type_1,_4,Sensors,Java
IP68 dust/water resistant (up to 1.5m for 30 min),LED flash,Quad-core 1.3 GHz Cortex-A7z,,5 MP,Up to 793 h (2G) / Up to 600 h (3G),Yes,"4.0, A2DP",,Android 7.0 (Nougat),,,Yes,,Dual SIM,"13 MP, AF",221.5 g (7.83 oz),Mediatek MT6580 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 44 h (2G) / Up to 25 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2017, October. Released 2017, November",,GSM / HSPA,,Plum,Corning Gorilla Glass (unspecified version),Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-4.jpg,"5.0 inches, 68.9 cm2(~61.9% screen-to-body ratio)",Plum Gator 4,,"Black, Orange",IPS LCD,,,146.6 x 75.9 x 14 mm (5.77 x 2.99 x 0.55 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,720p@30fps,"Li-Ion 5000 mAh, non-removable",,Accelerometer,
,LED flash,Quad-core 1.3 GHz Cortex-A7,,8 MP,Up to 620 h (2G) / Up to 600 h (3G),Yes,"4.0, A2DP",,Android 6.0 (Marshmallow),,,Yes,,"Dual SIM (Micro-SIM, dual stand-by)",13 MP,138 g (4.87 oz),Mediatek MT6580A (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Up to 25 h (2G) / Up to 10 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2017, September. Released 2017, October",,GSM / HSPA,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-z623.jpg,"6.0 inches, 99.2 cm2(~71.2% screen-to-body ratio)",Plum Phantom,,"Gray, Gold, Rose Gold, White",IPS LCD,,,165.5 x 84.2 x 8.8 mm (6.52 x 3.31 x 0.35 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Ion 2500 mAh, removable",,Accelerometer,
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mFlashlight,,,,,Up to 900 h,Yes,3.0,No,,MP3/WAV/AAC playerMP4/H.263 playerOrganizerPhoto viewer,,Yes,,Dual SIM,1.3 MP,107.3 g (3.77 oz),Mediatek MT6276A,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 24 h,microSDHC,,,No,,"2017, June. Released 2017, June",,GSM,No,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-r6.jpg,"2.4 inches, 17.8 cm2(~22.0% screen-to-body ratio)",Plum Ram 6,"SMS, MMS","Black, Orange, Red, Yellow","TFT, 256K colors",Yes,Yes,133 x 61 x 19.3 mm (5.24 x 2.40 x 0.76 in),128MB 64MB RAM,microUSB 2.0,Yes,No,FM radio; built-in antenna,,,Yes,"Li-Ion 1700 mAh, removable",,,No
Flashlight,,,,,Up to 190 h,Yes,2.1,No,,Audio/video playerOrganizerPredictive text input,,Yes,,Dual SIM,1.3 MP,60 g (2.12 oz),Spreadtrum SC6531DA,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,128 x 160 pixels (~116 ppi density),Up to 4 h,microSDHC,,,No,,"2016, December. Released 2017, January",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-play.jpg,"1.77 inches, 9.9 cm2(~17.9% screen-to-body ratio)",Plum Play,"SMS, MMS","Black, Blue, Lime, Red, White","TFT, 256K colors",Yes,Class 12,116 x 47.5 x 14.1 mm (4.57 x 1.87 x 0.56 in),"32MB ROM, 32MB RAM",microUSB 1.1,No,No,FM radio,,,Yes,"Li-Ion 600 mAh, removable",,,No
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mFlashlight,,,,1.3 MP,Up to 900 h,Yes,3.0,No,,,,Yes,,Dual SIM,5 MP,107.3 g (3.77 oz),Mediatek MT6276A,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 24 h,microSDHC,,HSPA,No,,"2016, December. Released 2017, February",,GSM / HSPA,MP3/WAV/AAC playerMP4/H.263 playerOrganizerPhoto viewer,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-ram6.jpg,"2.4 inches, 17.8 cm2(~22.0% screen-to-body ratio)",Plum Ram 7 - 3G,"SMS, MMS","Black, Black/Orange","TFT, 256K colors",Yes,,133 x 61 x 19.3 mm (5.24 x 2.40 x 0.76 in),128MB 64MB RAM,microUSB 2.0,,No,FM radio; built-in antenna,HSDPA 850 / 1900 / 2100,,Yes,"Li-Ion 1700 mAh, removable",,,No
,LED flash,Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 620 h (2G) / Up to 600 h (3G),Yes,"4.0, A2DP",,Android 6.0 (Marshmallow),,,Yes,,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, AF",168.7 g (5.93 oz),Spreadtrum SC7731C,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 25 h (2G) / Up to 20 h (3G),microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2016, December. Released 2017, January",,GSM / HSPA,,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-compass.jpg,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)",Plum Compass,,"Black, Blue, Red, Gold, White",IPS LCD,,,146 x 72.6 x 9.8 mm (5.75 x 2.86 x 0.39 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,Yes,"Li-Ion 2000 mAh, removable",,Accelerometer,
Flashlight,LED flash,,,,Up to 100 h,Yes,2.0,,,Audio/video playerOrganizerPredictive text input,,Yes,,Dual SIM,Yes,46.5 g (1.66 oz),Mediatek MTK6261D,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,128 x 160 pixels (~114 ppi density),Up to 4 h,microSDHC,,,No,,"2016, December. Released 2016, December",,GSM,No,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-hero.jpg,"1.8 inches, 10.2 cm2(~18.9% screen-to-body ratio)",Plum Hero,"SMS, MMS","Black, White, Red, Blue, Pink, Orange, Lime","TFT, 256K colors",Yes,Class 12,112.5 x 48 x 12.8 mm (4.43 x 1.89 x 0.50 in),"32MB ROM, 32MB RAM",microUSB,No,No,FM radio,,,Yes,"Li-Ion 600 mAh, removable",,,No
IP68 dust/water resistant (up to 1.5m for 30 min),LED flash,Quad-core 1.3 GHz Cortex-A7,,1.3 MP,Up to 550 h (2G) / Up to 400 h (3G),Yes,"4.0, A2DP",,Android 6.0 (Marshmallow),,,Yes,,Dual SIM,"8 MP, AF",146.7 g (5.19 oz),Mediatek MT6580 (28 nm),,Discontinued,Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 24 h (2G) / Up to 14 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2016, September. Released 2016, November",,GSM / HSPA,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-3.jpg,"4.0 inches, 45.5 cm2(~44.8% screen-to-body ratio)",Plum Gator 3,,"Black, Orange/Silver",IPS LCD,,,137.5 x 74 x 16.7 mm (5.41 x 2.91 x 0.66 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1700(AWS) / 1900 / 2100,,Yes,"Li-Po 2400 mAh, removable",,"Accelerometer, proximity",
,"LED flash, panorama, HDR",Quad-core 1.3 GHz Cortex-A7,,1.3 MP,Up to 950 h (2G) / Up to 850 h (3G),Yes,"4.0, LE",,Android 6.0 (Marshmallow),,,Yes,,Dual SIM,"5 MP, AF",108.5 g (3.84 oz),Mediatek MT6580M (28 nm),,Discontinued,Wi-Fi 802.11 b/g/n,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 25 h (2G) / Up to 20 h (3G),microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2016, May. Released 2016, May",,GSM / HSPA,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/Plum-Axe-Plus2.jpg,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",Plum Axe Plus 2,,"Black, White, Blue",TFT,,,124.5 x 64.3 x 10.5 mm (4.90 x 2.53 x 0.41 in),8GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Ion 1400 mAh, removable",,Accelerometer,
,"HDR, panorama",Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 900 h (2G) / Up to 800 h (3G),Yes,"4.0, A2DP",,Android 5.1 (Lollipop),,,Yes,,"Dual SIM (MIni-SIM, dual stand-by)",5 MP,509 g (1.12 lb),Mediatek MT8321 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Up to 24 h (2G) / Up to 14 h (3G),microSDHC (dedicated slot),,HSPA 21.1/5.76 Mbps,No,,"2016, March. Released 2016, April",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-z11.jpg,"10.1 inches, 295.8 cm2(~72.4% screen-to-body ratio)",Plum Optimax 10,,"Black, White",IPS LCD,,,240.2 x 170.2 x 9.2 mm (9.46 x 6.70 x 0.36 in),8GB 1GB RAM,USB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Po 4500 mAh, non-removable",,"Accelerometer, proximity",
,"HDR, panorama",Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 875 h (2G) / Up to 775 h (3G),Yes,"4.0, A2DP",,Android 5.1 (Lollipop),,,Yes,,"Dual SIM (Micro-SIM, dual stand-by)",5 MP,305 g (10.76 oz),Mediatek MT6580 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Up to 24 h (2G) / Up to 14 h (3G),microSDHC (dedicated slot),,HSPA 21.1/5.76 Mbps,No,,"2016, March. Released 2016, April",,GSM / HSPA,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-z710-1.jpg,"8.0 inches, 185.6 cm2(~72.4% screen-to-body ratio)",Plum Optimax 8.0,,"Black, White",IPS LCD,,,210.6 x 121.7 x 8.7 mm (8.29 x 4.79 x 0.34 in),8GB 1GB RAM,USB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Po 3400 mAh, non-removable",,"Accelerometer, gyro, proximity",
,"HDR, panorama",Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 800 h (2G) / Up to 650 h (3G),Yes,"4.0, A2DP",,Android 5.1 (Lollipop),,,Yes,,Dual SIM,5 MP,276 g (9.74 oz),Mediatek MT8321 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 21 h (2G) / Up to 12 h (3G),microSDHC (dedicated slot),,HSPA 21.1/5.76 Mbps,No,,"2016, March. Released 2016, April",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-z708-1.jpg,"7.0 inches, 137.9 cm2(~67.9% screen-to-body ratio)",Plum Optimax 7.0,,"Black, White",IPS LCD,,,188 x 108 x 10 mm (7.40 x 4.25 x 0.39 in),8GB 1GB RAM,USB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Po 2800 mAh, non-removable",,Accelerometer,
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mFlashlight,,,,,Up to 900 h,Yes,"4.0, A2DP",No,,MP3/WAV/AAC playerMP4/H.263 playerOrganizerPhoto viewer,,Yes,,Dual SIM,1.3 MP,107.3 g (3.77 oz),Mediatek MT6261D,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 24 h,microSDHC,,,No,,"2016, April. Released 2016, April",,GSM,No,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-ram-4.jpg,"2.4 inches, 17.8 cm2(~22.0% screen-to-body ratio)",Plum Ram 4,"SMS, MMS","Black, Orange","TFT, 256K colors","500 entries, Photocall",Yes,133 x 61 x 19.3 mm (5.24 x 2.40 x 0.76 in),32MB 32MB RAM,microUSB 2.0,,No,FM radio; built-in antenna,,,Yes,"Li-Ion 2700 mAh, removable",,,No
Flashlight,,,,,Up to 190 h,Yes,2.0,,,Audio/video playerOrganizerPredictive text input,,Yes,,Dual SIM,Yes,46.5 g (1.66 oz),Mediatek MTK6261D,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,128 x 160 pixels (~114 ppi density),Up to 4 h,microSDHC,,,No,,"2016, May. Released 2016, May",,GSM,No,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-star.jpg,"1.8 inches, 10.2 cm2(~18.9% screen-to-body ratio)",Plum Star,"SMS, MMS","Black, Blue, Lime, Orange, Pink, Red, White","TFT, 256K colors",Yes,Class 12,112.5 x 48 x 12.8 mm (4.43 x 1.89 x 0.50 in),"32MB ROM, 32MB RAM",microUSB,No,No,FM radio,,,Yes,"Li-Ion 600 mAh, removable",,,No
,"LED flash, panorama, HDR",Quad-core 1.2 GHz Cortex-A7,,2 MP,Up to 900 h (2G) / Up to 750 h (3G),Yes,"4.0, A2DP",,Android 5.1 (Lollipop),,,Yes,,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)","8 MP, f/2.8, AF",116.2 g (4.09 oz),Mediatek MT6580M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 24 h (2G) / Up to 14 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2016, March. Released 2016, March",,GSM / HSPA,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-might-plus-ii.jpg,"5.0 inches, 68.9 cm2(~64.8% screen-to-body ratio)",Plum Might Plus II,,"Black, White",IPS LCD,,,145.9 x 72.9 x 8.9 mm (5.74 x 2.87 x 0.35 in),"4GB 512MB RAM, 8GB 512MB RAM",microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1700 / 1900 / 2100,,720p@30fps,"Li-Po 2000 mAh, removable",,"Accelerometer, gyro, proximity",
,LED flash,Quad-core 1.2 GHz Cortex-A7,"2, 4, 12, 17",1.3 MP,Up to 830 h (3G),Yes,"4.0, A2DP",,Android 5.1 (Lollipop),,,Yes,,Dual SIM,"5 MP, AF",124 g (4.37 oz),Mediatek MT6580 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",Up to 19 h (3G),microSDHC,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,,"2015, September. Released 2015, December",,GSM / HSPA / LTE,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-axe-lte.jpg,"4.0 inches, 44.1 cm2(~58.8% screen-to-body ratio)",Plum Axe LTE,,"Black, White",IPS LCD,,,128.8 x 58.2 x 8.9 mm (5.07 x 2.29 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900,,720p@30fps,"Li-Po 1600 mAh, removable",,"Accelerometer, gyro",
,LED flash,Quad-core 1.2 GHz Cortex-A7,"2, 4, 12, 17",1.3 MP,Up to 830 h (3G),Yes,"4.0, A2DP",,Android 5.1 (Lollipop),,,Yes,,Dual SIM,5 MP,138 g (4.87 oz),Mediatek MT6580 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~326 ppi density)",Up to 19 h (3G),microSDHC,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,,"2015, November. Released 2015, December",,GSM / HSPA / LTE,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-check-lte.jpg,"4.5 inches, 55.8 cm2(~69.7% screen-to-body ratio)",Plum Check LTE,,"Black, White",IPS LCD,,,130.8 x 61.2 x 9.3 mm (5.15 x 2.41 x 0.37 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900,,720p@30fps,"Li-Po 1600 mAh, removable",,"Accelerometer, gyro",
No,,360 MHz,,,Up to 62 h,Yes,2.1,No,,,,Yes,,Dual SIM,1.3 MP,82 g (2.89 oz),Mediatek MT6260A,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,128 x 160 pixels (~116 ppi density),Up to 4 h 30 min,microSDHC,,,No,,"2015, November. Released 2015, December",,GSM,Audio/video playerOrganizerCalculatorPhoto viewerPredictive text input,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-boot2.jpg,"1.77 inches, 9.9 cm2(~25.2% screen-to-body ratio)",Plum Boot 2,"SMS, MMS","Black, Blue, Red, White","TFT, 256K colors",1000 entries,Yes,89 x 44 x 17 mm (3.50 x 1.73 x 0.67 in),"128MB ROM, 64MB RAM",microUSB,No,No,FM radio,,,240p@15fps,"Li-Ion 800 mAh, removable",,,No
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mFlashlight,,411 MHz,,,Up to 800 h,Yes,"3.0, A2DP",Yes,,MP3/WAV/AAC playerMP4/H.263 playerOrganizerPhoto viewer,,Yes,,"Dual SIM, (Mini-SIM)",2 MP,174 g (6.14 oz),Mediatek MT6276W,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 13 h,microSDHC,,384 Kbps,No,,"2015, June. Released 2015, November",,GSM / HSPA,No,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-ram-3g.jpg,"2.4 inches, 17.8 cm2(~25.3% screen-to-body ratio)",Plum Ram 3G,"SMS, MMS","Black, Orange","TFT, 256K colors","500 entries, Photocall",,125.6 x 56.2 x 17 mm (4.94 x 2.21 x 0.67 in),"64MB RAM, 128MB",microUSB 2.0,,No,FM radio,HSDPA 850 / 1900,,320p@30fps,"Li-Po 1300 mAh, removable",,,No
Flashlight,,Dual-core 1.0 GHz Cortex-A7,,1.3 MP,Up to 180 h,Yes,2.0,,Android 4.4 (KitKat),,,Yes,,Dual SIM,1.3 MP,84.8 g (3.00 oz),Mediatek MT6572 (28 nm),,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 2 h 30 min,microSDHC,,,No,,"2015, June. Released 2015, July",,GSM,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-x400b.jpg,"4.0 inches, 45.5 cm2(~57.6% screen-to-body ratio)",Plum Sync 4.0b,,"Black, White, Red, Blue",TFT,,Class 12,124.5 x 63.5 x 10.4 mm (4.90 x 2.5 x 0.41 in),512MB 256MB RAM,microUSB 2.0,Class 12,GPS,FM radio,,,720p@30fps,"Li-Ion 1300 mAh, removable",,Accelerometer,
IP68 dust/water resistant (up to 1.5m for 30 min),,Dual-core 1.0 GHz,,1.3 MP,Up to 432 h (2G) / Up to 360 h (3G),Yes,"4.0, A2DP",,Android 4.4 (KitKat),,,Yes,,Dual SIM (Mini-SIM),5 MP,171.5 g (6.07 oz),,,Discontinued,No,Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 11 h (2G) / Up to 7 h (3G),microSDHC,,HSPA,No,,"2015, June. Released 2015, July",,GSM / HSPA,,Plum,Corning Gorilla Glass 3,,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-2.jpg,"3.5 inches, 36.5 cm2(~45.7% screen-to-body ratio)",Plum Gator Plus II,,"Black, Orange",IPS LCD,,,121 x 66 x 16.4 mm (4.76 x 2.60 x 0.65 in),4GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Po 2100 mAh, removable",,Accelerometer,
IP67 dust/water resistant (up to 1m for 30 min)Flashlight,,,,,Up to 800 h,Yes,2.0,Yes,,,,Yes,,Dual SIM,1.3 MP,188 g (6.63 oz),Mediatek MT6261A,Yes,Discontinued,No,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,176 x 220 pixels (~141 ppi density),Up to 12 h,microSDHC,,,No,,"2015, June. Released 2015, August",,GSM,No,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-ram-plus.jpg,"2.0 inches, 12.6 cm2(~16.3% screen-to-body ratio)",Plum Ram Plus,"SMS, MMS","Black/Silver, Black/Red","TFT, 256K colors","500 entries, Photocall",Yes,127.8 x 60.5 x 23.8 mm (5.03 x 2.38 x 0.94 in),128Mb 32Mb RAM,"microUSB 2.0, USB 2.0",Yes,No,FM radio,,Reverse wired,Yes,"Li-Po 2800 mAh, removable",,,No
,"LED flash, panorama, HDR",Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 780 h (2G) / Up to 690 h (3G),Yes,"4.0, A2DP",,Android 4.4.2 (KitKat),,,Yes,,Dual SIM,"8 MP, AF",156 g (5.50 oz),Mediatek MT6582M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Up to 16 h (2G) / Up to 8 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2014, December. Released 2015, January",,GSM / HSPA,,Plum,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-622.jpg,"6.0 inches, 99.2 cm2(~85.0% screen-to-body ratio)",Plum Coach Pro,,"Black, White",IPS LCD,,,157.8 x 74 x 9.9 mm (6.21 x 2.91 x 0.39 in),16GB 1GB RAM,microUSB 2.0,,GPS,Stereo FM radio,HSDPA 850 / 1700 / 1900,,1080p@30fps,"Li-Ion 2400 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Dual-core 1.0 GHz Cortex-A7,,1.3 MP,Up to 780 h,Yes,"4.0, A2DP",,Android 4.4.2 (KitKat),,,Yes,,Dual SIM,"1.3 MP, AF",97.5 g (3.42 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 14 h,microSDHC,,HSPA,No,,"2015, January. Released 2015, January",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-306.jpg,"3.5 inches, 36.5 cm2(~50.3% screen-to-body ratio)",Plum Trigger Plus III,,"Black, White, Red, Blue",TFT,,,117.8 x 61.5 x 10.5 mm (4.64 x 2.42 x 0.41 in),512MB 256MB RAM,microUSB,,GPS,Stereo FM radio,HSDPA 850 / 1900,,Yes,"Li-Ion 1300 mAh, removable",,Accelerometer,
Flashlight,"LED flash, panorama, HDR",Quad-core 1.2 GHz Cortex-A7,"2, 4, 12, 17",2 MP,Up to 750 h (2G) / Up to 650 h (3G),Yes,"4.0, A2DP",,Android 4.4.2 (KitKat),,,Yes,,Mini-SIM,"8 MP, AF",138 g (4.87 oz),Qualcomm MSM8926 Snapdragon 400 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 20 h (2G) / Up to 11 h 30 min (3G),microSDXC (dedicated slot),,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,,"2014, September. Released 2014, October",,GSM / HSPA / LTE,eMMC 4.5,Plum,,Adreno 305,https://fdn2.gsmarena.com/vv/bigpic/plum-might-lte.jpg,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",Plum Might LTE,,"Black, White",IPS LCD,,,143.3 x 73.9,8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1700 / 1900 / 2100,,720p@30fps,"Li-Ion 2000 mAh, removable",,"Accelerometer, gyro, proximity",
,"LED flash, panorama, HDR",Dual-core 1.2 GHz Cortex-A7,,1.3 MP,Up to 860 h,Yes,"4.0, A2DP",,Android 4.2.2 (Jelly Bean),,,Yes,,Dual SIM,"5 MP, AF",109 g (3.84 oz),Mediatek MT6572M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,face detection,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 18 h,microSDHC,,,No,,"2014, May. Released 2014, August",,GSM,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-x500.jpg,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",Plum Sync 5.0,,"Black/Gold, White/Silver, Pink/Silver, Blue/Silver",TFT,,Class 12,145.6 x 71.2 x 9.6 mm (5.73 x 2.80 x 0.38 in),4GB 512MB RAM,microUSB 2.0,Class 12,GPS,FM radio,,,720p@30fps,"Li-Ion 1900 mAh, removable",,"Accelerometer, gyro, proximity",
