,Features,CPU,4G bands,Single_1,Stand-by,Loudspeaker,Bluetooth,Games,OS,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Languages,Speed,NFC,Build,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Video,Type_1,_4,Sensors,Java
IP68 dust/water resistant (up to 1.5m for 30 min)Flashlight,LEd flash,,,,Up to 120 h (3G),Yes,3.0,No,,MP4/H.264 playerMP3 playerPhoto editor,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",5 MP,134 g (4.73 oz),Mediatek MT6276A,Yes,"Available. Released 2018, December",No,,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h (3G),microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2018, December",,GSM / HSPA,,Plum,,No,https://fdn2.gsmarena.com/vv/bigpic/plum-ram8.jpg,"2.4 inches, 17.8 cm2(~27.8% screen-to-body ratio)",Plum Ram 8,"SMS, MMS","Black, Black/Orange","TFT, 256K colors",Yes,,111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in),128MB 64MB RAM,microUSB 2.0,,No,FM radio; built-in antenna,HSDPA 850 / 1900 / 2100,,240p@15fps,"Li-Ion 1200 mAh, removable",,,Yes
IP68 dust/water resistant (up to 1.2m for 30 min)Drop resistant up to 1.8m,LED flash,Quad-core 1.3 GHz Cortex-A7,,5 MP,Up to 528 h (3G),Yes,"4.0, A2DP",,Android 8.1 (Oreo),,,Yes,,Nano-SIM + Nano-SIM,"13 MP, AF",210 g (7.41 oz),Mediatek MT6580 (28 nm),,"Available. Released 2018, November","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Up to 46 h (3G),microSDXC,,HSPA 21.1/5.76 Mbps,No,,"2018, October",480p@30fps,GSM / HSPA,,Plum,Panda Glass,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-5.jpg,"5.2 inches, 74.5 cm2(~66.0% screen-to-body ratio)",Plum Gator 5,,"Black, Orange",IPS LCD,,,148 x 76.3 x 12 mm (5.83 x 3.00 x 0.47 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Ion 3700 mAh, non-removable",,"Accelerometer, proximity",
Flashlight,,,,,Up to 120 h,Yes,"2.1, EDR",No,,Audio playerDocument viewer,,Yes,,Dual SIM,1.3 MP,82 g (2.89 oz),Spreadtrum 7701B,Yes,"Available. Released 2018, March",No,,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h,microSDHC,,"Yes, 384 kbps",No,,"2018, March",,GSM / HSPA,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-tag-3g.jpg,"2.4 inches, 17.8 cm2(~25.6% screen-to-body ratio)",Plum Tag 3G,SMS,"Black, Gold","TFT, 256K colors",Yes,,126.5 x 55 x 15 mm (4.98 x 2.17 x 0.59 in),"128MB ROM, 64MB RAM",microUSB 2.0,,No,FM radio,HSDPA 850 / 1900,,Yes,"Li-Ion 800 mAh, removable",,,No
,LED flash,Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 800 h,Yes,2.1,,Android 6.0 (Marshmallow),,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",5 MP,330 g (11.64 oz),Spreadtrum SC7731G,,"Available. Released 2018, April","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Up to 40 h,microSDHC,,HSPA 21.1/11 Mbps,No,,"2018, March",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-z811.jpg,"8.0 inches, 185.6 cm2(~72.5% screen-to-body ratio)",Plum Optimax 11,,"Black, White, Gray, Gold, Rose Gold",IPS LCD,,,208 x 123 x 10 mm (8.19 x 4.84 x 0.39 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,Li-Ion 3500 mAh battery,,Accelerometer,
,LED flash,Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 132 h,Yes,"4.0, A2DP",,Android 6.0 (Marshmallow),,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",5 MP,272 g (9.59 oz),Mediatek MT8321 (28 nm),,"Available. Released 2018, April","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 3 h,microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2018, March",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-z712.jpg,"7.0 inches, 137.9 cm2(~68.2% screen-to-body ratio)",Plum Optimax 12,,"Black, Silver, Rose Gold",TN TFT,,,188 x 107.5 x 10.3 mm (7.40 x 4.23 x 0.41 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,Li-Ion 2400 mAh battery,,Accelerometer,
,,Quad-core 1.2 GHz Cortex-A7,,2 MP,Up to 170 h,Yes,2.1,,Android 6.0 (Marshmallow),,,Yes,,No,5 MP,270 g (9.52 oz),,,"Available. Released 2018, April","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,N/A,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Up to 12 h,microSDHC,,,No,,"2018, March",,No cellular connectivity,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-z702n.jpg,"7.0 inches, 137.9 cm2(~65.5% screen-to-body ratio)",Plum Optimax 2,,"Black, Silver, Pink, Gold, Rose Gold",TN TFT,,No,192 x 109.7 x 11.5 mm (7.56 x 4.32 x 0.45 in),8GB 1GB RAM,microUSB 2.0,No,No,FM radio,,,720p@30fps,Li-Ion 2400 mAh battery,,Accelerometer,
,LED flash,Quad-core 1.2 GHz Cortex-A7,,2 MP,Up to 170 h (2G) / Up to 200 h (3G),Yes,"2.1, EDR",,Android 6.0 (Marshmallow),,,Yes,,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, AF",165 g (5.82 oz),Spreadtrum SC7731C,,"Available. Released 2018, March","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 5 h 30 min (2G) / Up to 5 h 30 min (3G),microSDHC,,HSPA 14.4/5.76 Mbps,No,,"2018, March",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-z518.jpg,"5.0 inches, 68.9 cm2(~65.8% screen-to-body ratio)",Plum Compass 2,,"Black, Silver, Gold, Rose Gold",TN TFT,,,144 x 72.7 x 9.8 mm (5.67 x 2.86 x 0.39 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Ion 2000 mAh, removable",,Accelerometer,
Flashlight,,,,,Up to 200 h,Yes,3.0,No,,MP3/WAV playerPhoto viewer/editor,,No,,Dual SIM,1.3 MP,96.2 g (3.39 oz),Mediatek MT6261D,Yes,"Available. Released 2018, March",No,,GSM 850 / 900 / 1800 / 1900,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h,microSDHC,,,No,,"2018, March",,GSM,No,Plum,,,https://fdn2.gsmarena.com/vv/bigpic/plum-d105-2018.jpg,"2.4 inches, 17.8 cm2(~34.2% screen-to-body ratio)",Plum Flipper (2018),SMS,"Black, Gold","TFT, 65K colors",Yes,Yes,104.2 x 50 x 17.8 mm (4.10 x 1.97 x 0.70 in),"32MB ROM, 32MB RAM",microUSB 2.0,No,No,FM radio,,,Yes,"Li-Ion 600 mAh, removable",,,No
,LED flash,Quad-core 1.2 GHz Cortex-A7,,2 MP,Up to 170 h (3G),Yes,"4.0, A2DP",,Android 6.0 (Marshmallow),,,Yes,,"Dual SIM (Micro-SIM, dual stand-by)",5 MP,107 g (3.77 oz),Spreadtrum SC7731C,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 8 h (3G),microSDHC,,HSPA 21.1/5.76 Mbps,No,,"2017, December. Released 2018, January",,GSM / HSPA,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-axe-4.jpg,"4.0 inches, 45.5 cm2(~57.4% screen-to-body ratio)",Plum Axe 4,,"Black, Blue, Red, White",IPS LCD,,,124 x 64 x 9.9 mm (4.88 x 2.52 x 0.39 in),8GB 512MB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Ion 1400 mAh, removable",,Accelerometer,
eMMC 5.0,LED flash,Quad-core 1.3 GHz Cortex-A53,"2, 4, 5, 7, 17",5 MP,Up to 200 h (3G),Yes,"4.0, A2DP",,Android 7.0 (Nougat),,,Yes,,"Dual SIM (Micro-SIM, dual stand-by)",8 MP,146 g (5.15 oz),Mediatek MT6737M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 5 h (3G),microSDHC,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2017, November. Released 2018, January",,GSM / HSPA / LTE,,Plum,,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/plum-compass-lte.jpg,"5.0 inches, 68.9 cm2(~64.1% screen-to-body ratio)",Plum Compass LTE,,"Black, Gray, Gold, Rose gold, White",TN TFT,,,150 x 71.6 x 9.3 mm (5.91 x 2.82 x 0.37 in),8GB 1GB RAM,microUSB 2.1,,GPS,FM radio,HSDPA 850 / 1900 / 2100,,720p@30fps,"Li-Ion 2100 mAh, removable",,Accelerometer,
