,Java,Status,Type,3.5mm jack,Model Image,Positioning,Messaging,Features,Size,NFC,SAR EU,Chipset,Colors,GPU,Video,Single_1,Keyboard,GPRS,Features_1,Video_1,2G bands,Card slot,Speed,_2,Type_1,Resolution,_3,Model Name,3G bands,Dimensions,Sensors,Announced,Talk time,Bluetooth,Price,Loudspeaker,OS,CPU,Stand-by,_1,USB,Games,SIM,Internal,SAR,Phonebook,Weight,Technology,Brand,Infrared port,WLAN,Single,Call records,EDGE,Radio
No,No,Discontinued,TFT,Yes,https://fdn2.gsmarena.com/vv/bigpic/celkon-c5.JPG,No,"SMS, MMS",,"2.0 inches, 12.6 cm2(~21.4% screen-to-body ratio)",,,,Black,,Yes,,QWERTY,Yes,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC (dedicated slot),,,Removable Li-Ion 1000 mAh battery,220 x 176 pixels (~141 ppi density),,Celkon C5,,109 x 54 x 13 mm (4.29 x 2.13 x 0.51 in),,2011,Up to 6 h,2.0,,Yes,,,Up to 400 h,Audio/video player,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,94 g (3.32 oz),GSM,Celkon,,No,1.3 MP,"20 dialed, 20 received, 20 missed calls",No,Stereo FM radio
No,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c7.jpg,No,"SMS, MMS",,"2.0 inches, 12.6 cm2(~21.2% screen-to-body ratio)",,,,"Black, Red",,Yes,,QWERTY,Yes,,,GSM 900 / 1800 - SIM 1 & SIM 2,microSDHC (dedicated slot),,,Removable Li-Ion 1000 mAh battery,220 x 176 pixels (~141 ppi density),,Celkon C7,,104 x 57 x 11.5 mm (4.09 x 2.24 x 0.45 in),,2011,Up to 5 h,2.0,,Yes,,,Up to 400 h,Audio/video player,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,102 g (3.60 oz),GSM,Celkon,,No,VGA,"20 dialed, 20 received, 20 missed calls",No,Stereo FM radio
Flashlight,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c22.jpg,No,"SMS, MMS",,"1.8 inches, 10.2 cm2(~20.1% screen-to-body ratio)",,,,Black/Red,,Yes,,,Yes,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,Audio/video player,Removable Li-Ion 1000 mAh battery,176 x 220 pixels (~157 ppi density),,Celkon C22,,108 x 47 x 15 mm (4.25 x 1.85 x 0.59 in),,2011,Up to 5 h,2.0,,Yes,,,Up to 400 h,No,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,75 g (2.65 oz),GSM,Celkon,,No,1.3 MP,"20 dialed, 20 received, 20 missed calls",No,Stereo FM radio
Flashlight,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c347.jpg,No,"SMS, MMS",,"1.8 inches, 10.2 cm2(~22.6% screen-to-body ratio)",,,,Black/Red,,Yes,,,Yes,,,GSM 850 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,Audio/video player,Removable Li-Ion 1000 mAh battery,176 x 220 pixels (~157 ppi density),,Celkon C347,,105 x 43 x 11 mm (4.13 x 1.69 x 0.43 in),,2011,Up to 5 h 20 min,2.0,,Yes,,,Up to 400 h,No,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,69 g (2.43 oz),GSM,Celkon,,No,VGA,"20 dialed, 20 received, 20 missed calls",No,Stereo FM radio
Flashlight,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c357.jpg,No,"SMS, MMS",,"1.8 inches, 10.2 cm2(~22.6% screen-to-body ratio)",,,,Black/Blue,,Yes,,,Yes,,,GSM 850 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,Black/white listAudio/video player,Removable Li-Ion 1000 mAh battery,176 x 220 pixels (~157 ppi density),,Celkon C357,,105 x 43 x 14 mm (4.13 x 1.69 x 0.55 in),,2010,Up to 5 h 20 min,2.0,,Yes,,,Up to 400 h,No,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,80 g (2.82 oz),GSM,Celkon,,No,VGA,"20 dialed, 20 received, 20 missed calls",No,Stereo FM radio
Flashlight,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c367.jpg,No,"SMS, MMS",,"1.8 inches, 10.2 cm2(~22.5% screen-to-body ratio)",,,,Black,,Yes,,,Yes,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,Black/white listAudio/video player,Removable Li-Ion 1000 mAh battery,176 x 220 pixels (~157 ppi density),,Celkon C367,,103 x 44 x 12 mm (4.06 x 1.73 x 0.47 in),,2010,Up to 5 h,2.0,About 30 EUR,Yes,,,Up to 400 h,No,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,86 g (3.03 oz),GSM,Celkon,,No,VGA,"20 dialed, 20 received, 20 missed calls",No,"Stereo FM radio, WFM"
Flashlight,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c409.jpg,No,"SMS, MMS",,"1.8 inches, 10.2 cm2(~21.1% screen-to-body ratio)",,,,Black/Red,,Yes,,,Yes,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,Audio/video player,Removable Li-Ion 1800 mAh battery,176 x 220 pixels (~157 ppi density),,Celkon C409,,110 x 44 x 16 mm (4.33 x 1.73 x 0.63 in),,2011,Up to 7 h 30 min,2.0,,Yes,,,Up to 600 h,No,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,86 g (3.03 oz),GSM,Celkon,,No,1.3 MP,"20 dialed, 20 received, 20 missed calls",No,"Stereo FM radio, WFM"
No,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c449.jpg,No,"SMS, MMS",,"1.8 inches, 10.2 cm2(~20.2% screen-to-body ratio)",,,,"Black/Silver, White/Silver",,Yes,,,Yes,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,,Removable Li-Ion 1000 mAh battery,176 x 220 pixels (~157 ppi density),,Celkon C449,,110 x 46 x 11 mm (4.33 x 1.81 x 0.43 in),,2010,Up to 5 h,2.0,,Yes,,,Up to 400 h,Audio/video playerMobile tracker,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,89 g (3.14 oz),GSM,Celkon,,No,1.3 MP,"20 dialed, 20 received, 20 missed calls",No,Stereo FM radio
Flashlight,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c517.jpg,No,"SMS, MMS",,"1.8 inches, 10.2 cm2(~20.5% screen-to-body ratio)",,,,Black,,Yes,,,Yes,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,Audio/video playerBlacklist,Removable Li-Ion 1800 mAh battery,176 x 220 pixels (~157 ppi density),,Celkon C517,,108 x 46 x 14 mm (4.25 x 1.81 x 0.55 in),,2010,Up to 7 h 30 min,2.0,,Yes,,,Up to 600 h,No,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,106 g (3.74 oz),GSM,Celkon,,No,VGA,"20 dialed, 20 received, 20 missed calls",No,Stereo FM radio
Flashlight,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c567.jpg,No,"SMS, MMS",,"2.0 inches, 12.6 cm2(~26.6% screen-to-body ratio)",,,,Black,,Yes,,,Yes,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,Audio/video player,Removable Li-Ion battery,176 x 220 pixels (~141 ppi density),,Celkon C567,,105 x 45 x 20 mm (4.13 x 1.77 x 0.79 in),Accelerometer,2010,,2.0,About 30 EUR,Yes,,,,No,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,80 g (2.82 oz),GSM,Celkon,,No,VGA,"20 dialed, 20 received, 20 missed calls",No,WFM
No,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c747.jpg,No,"SMS, MMS",,"2.2 inches, 15.2 cm2(~28.9% screen-to-body ratio)",,,,Black/Gray,,Yes,,,Yes,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,,Removable Li-Ion 1500 mAh battery,176 x 220 pixels (~128 ppi density),,Celkon C747,,112 x 47 x 13 mm (4.41 x 1.85 x 0.51 in),Accelerometer,2010,Up to 6 h 40 min,2.0,About 50 EUR,Yes,,,Up to 550 h,Audio/video player,microUSB,Yes,Dual SIM (Mini-SIM),,,1000 entries,128 g (4.52 oz),GSM,Celkon,,No,2 MP,"20 dialed, 20 received, 20 missed calls",No,WFM
CDMA 800 / 1900,No,Discontinued,TFT,,https://fdn2.gsmarena.com/vv/bigpic/celkon-c867.jpg,No,"SMS, MMS",,"2.0 inches, 12.4 cm2(~25.6% screen-to-body ratio)",,,,Black,,Yes,,,Yes,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,No,Removable Li-Ion 1000 mAh battery,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Audio/video playerBlacklist,Celkon C867,,110 x 44 x 16 mm (4.33 x 1.73 x 0.63 in),Accelerometer,2010,Up to 5 h,2.0,About 70 EUR,Yes,,,Up to 400 h,Flashlight,microUSB,Yes,Dual SIM (Mini-SIM),,,500 entries,100 g (3.53 oz),GSM / CDMA,Celkon,,No,1.3 MP,"20 dialed, 20 received, 20 missed calls",No,"Stereo FM radio, WFM"
