,Price,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Infrared port,EDGE,Bluetooth,GPU,Keyboard,Chipset,Model Image,OS,3G bands,2G bands,Languages,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Video_1,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,CPU,Colors,Announced,Type,Alert types,_1,Sensors,Single_1,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio
,About 550 EUR,,Up to 3 h 30 min,GPS,"320 x 240 pixels, 4:3 ratio (~163 ppi density)",Removable Li-Po 1200 mAh battery,Wi-Fi 802.11 b/g,,,"2.0, A2DP",,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/i-mate-810-f.jpg,Microsoft Windows Mobile 6.1 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,No,2GB 128MB RAM,Discontinued,,GSM / HSPA,Up to 200 h,Yes,,2 MP,No,i_mate,HSPA 7.2/0.384 Mbps,111 x 66 x 15.5 mm (4.37 x 2.60 x 0.61 in),,,150 g (5.29 oz),624 MHz Marvell PXA310,Blue,"2009, February. Released 2009","TFT resistive touchscreen, 65K colors",,Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager,"Accelerometer, compass",Yes,"2.46 inches, 18.7 cm2(~25.6% screen-to-body ratio)",i-mate 810-F,Yes,Proprietary,"WAP 2.0/xHTML, HTML (Internet Explorer Mobile 6)",Mini-SIM,No
Handwriting recognition,About 150 EUR,,Up to 5 h,GPS,"320 x 240 pixels, 4:3 ratio (~143 ppi density)",Removable Li-Ion 1660 mAh battery,Wi-Fi 802.11 b/g,Yes,Class 10,1.2,,QWERTY,TI OMAP 850,https://fdn2.gsmarena.com/vv/bigpic/imate-jaq4.gif,Microsoft Windows Mobile 6.0 Professional,,GSM 850 / 900 / 1800 / 1900,,miniSD,"64MB RAM, 128MB ROM",Cancelled,,GSM,Up to 200 h,Yes,,"2 MP, AF",No,i_mate,,125 x 71 x 15.5 mm (4.92 x 2.80 x 0.61 in),Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile managerPocket Office,Class 10,184 g (6.49 oz),200 MHz ARM926EJ-S,Black,"2007, February","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.8 inches, 24.3 cm2(~27.4% screen-to-body ratio)",i-mate JAQ4,Yes,1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition,About 220 EUR,,Up to 4 h,No,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1100 mAh battery,Wi-Fi 802.11 b/g,,Class 10,"1.2, A2DP",,,TI OMAP 850,https://fdn2.gsmarena.com/vv/bigpic/imate-pdal.gif,Microsoft Windows Mobile 5.0 PocketPC,,GSM 850 / 900 / 1800 / 1900,,microSD (dedicated slot),"64MB RAM, 128MB ROM",Discontinued,,GSM,Up to 150 h,Yes,,2 MP,No,i_mate,,112 x 56 x 17 mm (4.41 x 2.20 x 0.67 in),Pocket OfficeVoice memoMP3/AAC playerFile manager,Class 10,116 g (4.09 oz),200 MHz ARM926EJ-S,Silver,"2006, November","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.4 inches, 17.8 cm2(~28.4% screen-to-body ratio)",i-mate PDAL,Yes,1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition,About 240 EUR,,Up to 4 h,No,"320 x 240 pixels, 4:3 ratio (~160 ppi density)",Removable Li-Ion 1200 mAh battery,Wi-Fi 802.11 b/g,Yes,Class 10,"1.2, A2DP",,QWERTY,TI OMAP 850,https://fdn2.gsmarena.com/vv/bigpic/imate-jaq3.gif,Microsoft Windows Mobile 5.0 PocketPC,,GSM 850 / 900 / 1800 / 1900,,microSD (dedicated slot),"64MB RAM, 128MB ROM",Discontinued,,GSM,Up to 150 h,Yes,,2 MP,No,i_mate,,126 x 67.5 x 14.5 mm (4.96 x 2.66 x 0.57 in),Pocket OfficeVoice memoMP3/AAC playerFile manager,Class 10,160 g (5.64 oz),200 MHz ARM926EJ-S,Black,"2006, November","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.5 inches, 19.4 cm2(~22.8% screen-to-body ratio)",i-mate JAQ3,Yes,1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
GSM 850 / 1800 / 1900 - US version,About 130 EUR,,Up to 4 h,No,"240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1100 mAh battery,No,,No,1.2,,,,https://fdn2.gsmarena.com/vv/bigpic/imate-spl.gif,Microsoft Windows Mobile 5.0 Smartphone,,GSM 900 / 1800 / 1900,,miniSD,"64MB RAM, 128MB ROM",Discontinued,Voice memoMP3/AAC playerFile explorerPredictive text input,GSM,Up to 150 h,QCIF,,2 MP,No,i_mate,,114.5 x 49 x 12 mm (4.51 x 1.93 x 0.47 in),No,Class 10,102 g (3.60 oz),200 MHz ARM926EJ-S,Black,"2006, September","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",5-way navigation,,,"2.2 inches, 34 x 45 mm, 15.0 cm2(~26.7% screen-to-body ratio)",i-mate SPL,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition,About 180 EUR,,Up to 4 h,No,"320 x 240 pixels, 4:3 ratio (~143 ppi density)",Removable Li-Ion 1440 mAh battery,No,Yes,Class 10,1.2,,QWERTY,TI OMAP 850,https://fdn2.gsmarena.com/vv/bigpic/imate-jaq.gif,Microsoft Windows Mobile 5.0 PocketPC,,GSM 850 / 900 / 1800 / 1900,,miniSD,"64MB RAM, 128MB ROM",Discontinued,,GSM,Up to 150 h,,,,No,i_mate,,122 x 71 x 22 mm (4.80 x 2.80 x 0.87 in),Pocket OfficeVoice memoMP3/AAC playerFile managerPredictive text input,Class 10,160 g (5.64 oz),200 MHz ARM926EJ-S,Silver,"2006, September","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.8 inches, 24.3 cm2(~28.0% screen-to-body ratio)",i-mate JAQ,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition,About 220 EUR,LED flash,Up to 5 h,No,"240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Removable Li-Ion 1300 mAh battery,Wi-Fi 802.11b/g,Yes,,2.0,,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/imate-jasjam.gif,Microsoft Windows Mobile 5.0 PocketPC,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,microSD (dedicated slot),"64MB RAM, 128MB ROM",Discontinued,,GSM / HSPA,Up to 200 h,Yes,,2 MP,No,i_mate,HSPA 1.8 Mbps,112.5 x 58 x 22 mm (4.43 x 2.28 x 0.87 in),,,176 g (6.21 oz),400 MHz Samsung,Silver,"2006, June","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",Pocket OfficeVoice memoMP3/AAC player,,QCIF videocall camera,"2.8 inches, 42 x 57 mm, 24.3 cm2(~37.2% screen-to-body ratio)",i-mate JASJAM,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
5-way navigation button,About 110 EUR,,,No,"240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1190 mAh battery,No,Yes,,1.2,,,,https://fdn2.gsmarena.com/vv/bigpic/imate-spjas.gif,Microsoft Windows Mobile 5.0 Smartphone,UMTS 2100,GSM 900 / 1800 / 1900,,microSD (dedicated slot),"64MB RAM, 128MB ROM",Discontinued,,GSM / UMTS,,Yes,,1.3 MP,No,i_mate,"Yes, 384 kbps",112.4 x 49 x 14.8 mm (4.43 x 1.93 x 0.58 in),,,115 g (4.06 oz),Samsung 2442 300 MHz,,"2006, August","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",Windows MPlayer 10 mobileFile managerPocket OfficePredictive text inputOrganizerVioce dial/memo,,CIF videocall camera,"2.2 inches, 34 x 45 mm, 15.0 cm2(~27.2% screen-to-body ratio)",i-mate SPJAS,Yes,1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
"Second external 1.2-inch TFT display, 65K colors (128 x 128 pixels)",About 110 EUR,,,No,"240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",Removable Li-Ion 750 mAh battery,No,,Class 10,1.2,,,TI OMAP 850,https://fdn2.gsmarena.com/vv/bigpic/imate-smartflip.gif,Microsoft Windows Mobile 5.0 Smartphone,,GSM 850 / 900 / 1800 / 1900,,microSD (dedicated slot),"64MB RAM, 64MB ROM",Discontinued,,GSM,,Yes,,1.3 MP,No,i_mate,,98.5 x 51.4 x 15.8 mm (3.88 x 2.02 x 0.62 in),Pocket OfficeVoice memo/dialMP3/AAC playerPredictive text input,Class 10,99 g (3.49 oz),200 MHz ARM926EJ-S,Stylish black,"2006, February","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.2 inches, 34 x 45 mm, 15.0 cm2(~29.6% screen-to-body ratio)",i-mate Smartflip,Yes,1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition,About 220 EUR,,,No,"240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Removable Li-Po 1200 mAh battery,Wi-Fi 802.11b/g,Yes,Class 10,2.0,,,TI OMAP 850,https://fdn2.gsmarena.com/vv/bigpic/imate-jamin.gif,Microsoft Windows Mobile 5.0 PocketPC,,GSM 850 / 900 / 1800 / 1900,,"SD/MMC, up to 2 GB","64MB RAM, 128MB ROM",Discontinued,,GSM,,CIF,,2 MP,No,i_mate,,108 x 58 x 18.2 mm (4.25 x 2.28 x 0.72 in),Pocket OfficeVoice memoMP3/AAC player,Class 10,150 g (5.29 oz),200 MHz ARM926EJ-S,Stylish black,"2006, Q1","TFT resistive touchscreen, 65K colors",Vibration; Downloadable polyphonic ringtones,No,,,"2.8 inches, 42 x 57 mm, 24.3 cm2(~38.8% screen-to-body ratio)",i-mate JAMin,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
180-degree pivot displayHandwriting recognition,About 260 EUR,,Up to 8 h,No,"640 x 480 pixels, 3.6 inches, 4:3 ratio (~222 ppi density)",Removable Li-Ion 1620 mAh battery,Wi-Fi 802.11b,Yes,,Yes,,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/imate-jasjar.gif,Microsoft Windows Mobile 5.0 PocketPC,UMTS 2100,GSM 900 / 1800 / 1900,,"SDIO/MMC, up to 2 GB","64MB RAM, 128MB ROM",Discontinued,,GSM / UMTS,Up to 260 h,Yes,,1.3 MP,Yes,i_mate,"Yes, 384 kbps",127.7 x 81 x 25 mm (5.03 x 3.19 x 0.98 in),Pocket OfficeVoice memoMP3/AAC playerPredictive text input,,285 g (10.05 oz),Intel Bulverde 520 MHz,Stylish black,"2005, August","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3, AAC ringtones",Dual speakers,,VGA videocall camera,"3.6 inches, 73 x 55 mm, 40.1 cm2(~38.8% screen-to-body ratio)",i-mate JASJAR,"Yes, with stereo speakers",miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
