,Price,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Infrared port,EDGE,Bluetooth,GPU,Keyboard,Chipset,Model Image,OS,3G bands,2G bands,Languages,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Video_1,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,CPU,Colors,Announced,Type,Alert types,_1,Sensors,Single_1,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio
,About 550 EUR,,Up to 3 h 30 min,GPS,"320 x 240 pixels, 4:3 ratio (~163 ppi density)",Removable Li-Po 1200 mAh battery,Wi-Fi 802.11 b/g,,,"2.0, A2DP",,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/i-mate-810-f.jpg,Microsoft Windows Mobile 6.1 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,No,2GB 128MB RAM,Discontinued,,GSM / HSPA,Up to 200 h,Yes,,2 MP,No,i_mate,HSPA 7.2/0.384 Mbps,111 x 66 x 15.5 mm (4.37 x 2.60 x 0.61 in),,,150 g (5.29 oz),624 MHz Marvell PXA310,Blue,"2009, February. Released 2009","TFT resistive touchscreen, 65K colors",,Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager,"Accelerometer, compass",Yes,"2.46 inches, 18.7 cm2(~25.6% screen-to-body ratio)",i-mate 810-F,Yes,Proprietary,"WAP 2.0/xHTML, HTML (Internet Explorer Mobile 6)",Mini-SIM,No
No,About 280 EUR,LED flash,Up to 5 h,No,"240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Removable Li-Po 1250 mAh battery,Wi-Fi 802.11b/g,Yes,Class 10,2.0,,QWERTY,TI OMAP 850,https://fdn2.gsmarena.com/vv/bigpic/imate-k-jam.gif,Microsoft Windows Mobile 5.0 PocketPC,,GSM 850 / 900 / 1800 / 1900,,"miniSD, up to 2 GB","64MB RAM, 128MB ROM",Discontinued,,GSM,Up to 200 h,Yes,,1.3 MP,No,i_mate,,108 x 58 x 23.7 mm (4.25 x 2.28 x 0.93 in),,Class 10,160 g (5.64 oz),200 MHz ARM926EJ-S,Stylish black,"2005, September","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",Microsoft ActiveSyncPocket OfficeMP3/AAC player,,,"2.8 inches, 42 x 57 mm, 24.3 cm2(~38.8% screen-to-body ratio)",i-mate K-JAM,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
5-way navigation button,About 150 EUR,,Up to 5 h,No,"240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1050 mAh battery,Wi-Fi 802.11b,Yes,Class 10,1.1,,,TI OMAP 850,https://fdn2.gsmarena.com/vv/bigpic/imate-sp5.gif,Microsoft Windows Mobile 5.0 Smartphone,,GSM 850 / 900 / 1800 / 1900,,MiniSD,"64MB RAM, 64MB ROM",Discontinued,,GSM,Up to 250 h,Yes,,1.3 MP,No,i_mate,,107.5 x 46.2 x 17.5 mm (4.23 x 1.82 x 0.69 in),MP3/AAC playerPredictive text inputOrganizer,Class 10,106 g (3.74 oz),200 MHz ARM926EJ-S,,"2005, August","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones, composer",No,,,"2.2 inches, 33 x 45 mm, 15.0 cm2(~30.2% screen-to-body ratio)",i-mate SP5,Yes,miniUSB 1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
5-way navigation button,About 150 EUR,,Up to 5 h,No,"240 x 320 pixels, 2.2 inches, 4:3 ratio (~182 ppi density)",Removable Li-Ion 1050 mAh battery,Wi-Fi 802.11b,Yes,Class 10,1.1,,,TI OMAP 730,https://fdn2.gsmarena.com/vv/bigpic/imate-sp5m.gif,Microsoft Windows Mobile 5.0 Smartphone,,GSM 850 / 900 / 1800 / 1900,,MiniSD,"64MB RAM, 64MB ROM",Discontinued,,GSM,Up to 250 h,Yes,,1.3 MP,No,i_mate,,107.5 x 46.2 x 17.5 mm (4.23 x 1.82 x 0.69 in),MP3/AAC playerPredictive text inputOrganizer,Class 10,106 g (3.74 oz),200 MHz ARM926EJ-S,,"2005, August","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones, composer",No,,,"2.2 inches, 33 x 45 mm, 15.0 cm2(~30.2% screen-to-body ratio)",i-mate SP5m,Yes,miniUSB 1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
No,About 130 EUR,,Up to 3 h,No,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Removable Li-Po 1150 mAh battery,No,Yes,No,1.2,,,TI OMAP 850,https://fdn2.gsmarena.com/vv/bigpic/imate-sp4m.gif,Microsoft Windows Mobile 5.0 Smartphone,,GSM 900 / 1800 / 1900,,miniSD,"64MB RAM, 64MB ROM",Discontinued,,GSM,Up to 150 h,Yes,,1.3 MP,No,i_mate,,109 x 48 x 19 mm (4.29 x 1.89 x 0.75 in),,Class 10,100 g (3.53 oz),200 MHz ARM926EJ-S,Silver,"2005, September","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",Microsoft ActiveSyncMP3/AAC playerPredictive text input,,,"2.2 inches, 33 x 45 mm, 15.0 cm2(~28.6% screen-to-body ratio)",i-mate SP4m,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition,About 270 EUR,,,No,"240 x 320 pixels, 2.8 inches, 4:3 ratio (~143 ppi density)",Removable Li-Po 1200 mAh battery,No,Yes,No,1.2,,,,https://fdn2.gsmarena.com/vv/bigpic/imate-jam_black.gif,Microsoft Windows Mobile 2003 SE PocketPC,,GSM 900 / 1800 / 1900,,SDIO/MMC,"128MB RAM, 64MB ROM",Discontinued,,GSM,,Yes,,1.3 MP,No,i_mate,,108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in),Pocket OfficeVoice memoMP3/AAC playerPredictive text input,Class 10,160 g (5.64 oz),Intel Bulverde 416 MHz,Stylish black,"2005, Q3","TFT resistive touchscreen, 65K colors",Vibration; Downloadable polyphonic ringtones,No,,,"2.8 inches, 42 x 57 mm, 24.3 cm2(~38.8% screen-to-body ratio)",i-mate JAM Black,Yes,Proprietary,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition,About 260 EUR,,Up to 3 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Removable Li-Ion 1200 mAh battery,No,Yes,No,Yes,,,,https://fdn2.gsmarena.com/vv/bigpic/imjam.gif,Microsoft Windows Mobile 2003 SE PocketPC,,GSM 900 / 1800 / 1900,,"SDIO/MMC, up to 2 GB",64MB RAM,Discontinued,,GSM,Up to 180 h,Yes,,1.3 MP,No,i_mate,,108 x 58 x 18 mm (4.25 x 2.28 x 0.71 in),Pocket OfficeVoice memoMP3/AAC playerPredictive text input,Class 10,150 g (5.29 oz),Intel PXA272 416 MHz,Stylish black and silver,"2004, Q4","TFT resistive touchscreen, 65K colors",Vibration; Downloadable polyphonic ringtones,No,,,"2.8 inches, 42 x 57 mm, 24.3 cm2(~38.8% screen-to-body ratio)",i-mate JAM,Yes,Proprietary,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition,,,Up to 3 h 30 min,No,"240 x 320 pixels, 3.5 inches, 4:3 ratio (~114 ppi density)",Removable Li-Ion 1300 mAh battery,Wi-Fi 802.11b,Yes,No,v.1.2,,,,https://fdn2.gsmarena.com/vv/bigpic/imate-pda2.gif,Microsoft Windows Mobile 2003 SE PocketPC,,GSM 900 / 1800 / 1900,,"MMC/SDIO, up to 2 GB","128MB RAM, 64MB ROM",Discontinued,,GSM,Up to 150 h,Yes,,1.3 MP,No,i_mate,,130 x 69 x 19 mm (5.12 x 2.72 x 0.75 in),"Pocket OfficeMP3/MP4 playerPDF, PPT viewerVoice memo",Class 10,190 g (6.70 oz),Intel XScale PXA272 520 MHz,,"2004, Q4","TFT resistive touchscreen, 65K colors",Vibration; Downloadable polyphonic ringtones,No,,,"3.5 inches, 53 x 71 mm, 37.9 cm2(~42.3% screen-to-body ratio)",i-mate PDA2,Yes,Proprietary,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
No,,,Up to 4 h,No,"240 x 320 pixels, 3.5 inches, 4:3 ratio (~114 ppi density)",Removable Li-Ion 1050 mAh battery,Wi-Fi 802.11b,Yes,No,1.1,,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/impda2k.gif,Microsoft Windows Mobile 2003 SE PocketPC,,GSM 850 / 900 / 1800 / 1900,8,SDIO/MMC,"128MB RAM, 64MB ROM",Discontinued,,GSM,Up to 168 h,Yes,,VGA,No,i_mate,,125 x 71.6 x 18.7 mm (4.92 x 2.82 x 0.74 in),,Class 10,210 g (7.41 oz),Intel PXA263 400 MHz,Stylish black and silver,"2004, Q3","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, WAV ringtones",Microsoft ActiveSyncMP3/AAC playerPredictive text input,,,"3.5 inches, 53 x 71 mm, 37.9 cm2(~42.4% screen-to-body ratio)",i-mate PDA2k,Yes,Proprietary,HTML (PocketIE),Mini-SIM,No
5-way navigation button3-color LED indicatorDownloadable logos,,,Up to 3 h 30 min,No,"176 x 220 pixels, 2.2 inches (~128 ppi density)",Removable Li-Ion 1050 mAh battery,No,Yes,No,1.1,,,TI OMAP 730,https://fdn2.gsmarena.com/vv/bigpic/imsp3i.gif,Microsoft Windows Mobile 2003 SE Smartphone,,GSM 900 / 1800 / 1900,8,MiniSD,"32MB RAM, 64MB ROM",Discontinued,,GSM,Up to 140 h,Yes,,VGA,No,i_mate,,107.5 x 44.5 x 18 mm (4.23 x 1.75 x 0.71 in),MP3/AAC playerPredictive text inputOrganizer,Class 10,102 g (3.60 oz),200 MHz ARM926EJ-S,Stylish black and silver,"2004, Q3","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.2 inches, 35 x 44 mm, 15.2 cm2(~31.8% screen-to-body ratio)",i-mate SP3i,Yes,Proprietary,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
5-way navigation button3-color LED indicatorDownloadable logos,,,Up to 3 h 30 min,No,"176 x 220 pixels, 2.2 inches (~128 ppi density)",Removable Li-Ion 1050 mAh battery,No,Yes,No,1.1,,,TI OMAP 730,https://fdn2.gsmarena.com/vv/bigpic/imsp3.gif,Microsoft Windows Mobile 2003 SE Smartphone,,GSM 900 / 1800 / 1900,8,MiniSD,"32MB RAM, 64MB ROM",Discontinued,,GSM,Up to 140 h,Yes,,VGA,No,i_mate,,107.5 x 46.2 x 17 mm (4.23 x 1.82 x 0.67 in),Microsoft ActiveSyncMP3/AAC playerPredictive text input,Class 10,106.3 g (3.74 oz),200 MHz ARM926EJ-S,"Cool metallic, Light blue","2004, Q2","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.2 inches, 35 x 44 mm, 15.2 cm2(~30.7% screen-to-body ratio)",i-mate SP3,Yes,Proprietary,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
5-way navigation buttonDownloadable logos,,,Up to 3 h 30 min,No,"240 x 320 pixels, 4:3 ratio (~114 ppi density)",Removable Li-Ion 1200 mAh battery,No,Yes,No,Yes,,,,https://fdn2.gsmarena.com/vv/bigpic/impocket.gif,Microsoft Windows Mobile 2003 PocketPC,,GSM 900 / 1800 / 1900,7,SDIO/MMC,64MB RAM (128MB optional),Discontinued,,GSM,Up to 160 h,Yes,,VGA,No,i_mate,,"130 x 70 x 18 mm, 105 cc (5.12 x 2.76 x 0.71 in)",Microsoft ActiveSyncMP3 playerPredictive text input,Class 10,190 g (6.70 oz),Intel PXA263 400 MHz,Silver,"2004, Q2","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"3.5 inches, 53 x 71 mm, 37.9 cm2(~41.7% screen-to-body ratio)",i-mate Pocket PC,Yes,Proprietary,HTML (PocketIE),Mini-SIM,No
White LED back light5-way navigation buttonDownloadable logos,,,Up to 3 h 30 min,No,"176 x 220 pixels, 2.2 inches (~128 ppi density)",Removable Li-Ion 1000 mAh battery,No,Yes,No,Yes,,,TI OMAP 710,https://fdn2.gsmarena.com/vv/bigpic/imsmart2.gif,Microsoft Smartphone 2003 OS,,GSM 900 / 1800 / 1900,7,"SDIO/MMC, up to 2 GB","32MB RAM, 64MB ROM",Discontinued,,GSM,Up to 90 h,No,,VGA,No,i_mate,,"120.4 x 50.1 x 24.4 mm, 105 cc (4.74 x 1.97 x 0.96 in)",Microsoft ActiveSyncCalculatorPredictive text inputMP3 player,Class 8,130 g (4.59 oz),133 MHz  ARM925,,"2004, Q1","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.2 inches, 35 x 44 mm, 15.2 cm2(~25.3% screen-to-body ratio)",i-mate Smartphone2,Yes,1.1,HTML (PocketIE),Mini-SIM,No
White LED back light5-way navigation buttonDownloadable logos,,,Up to 6 h,No,176 x 220 pixels (~128 ppi density),Removable Li-Ion battery,No,Yes,No,No,,,,https://fdn2.gsmarena.com/vv/bigpic/imsmart.gif,Microsoft Windows Mobile Smartphone,,GSM 900 / 1800 / 1900,7,SD/SDIO,"16MB RAM, 32MB ROM",Discontinued,,GSM,Up to 90 h,,,,No,i_mate,,"120 x 50 x 23.5 mm, 105 cc (4.72 x 1.97 x 0.93 in)",OrganizerPredictive text inputMP3 player,Class 8,130 g (4.59 oz),120 MHz,,"2004, Q1","TFT, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.2 inches, 35 x 44 mm, 15.2 cm2(~25.4% screen-to-body ratio)",i-mate Smartphone,Yes,Proprietary,HTML (PocketIE),Mini-SIM,No
