,CPU,Features,Stand-by,Camera,Single_1,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Loudspeaker_1,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Battery (old),Display,Browser,Resolution,Talk time,Card slot,Alarm,Speed,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Audio quality,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Models,Video,Type_1,_4,Sensors,Java
HSDPA 850 / 1900 / 2100 - Satio(a) for the Americas,600 MHz Cortex-A8,"xenon flash, video LED flash",Up to 360 h (2G) / Up to 340 h (3G),Photo,VGA videocall camera,,"Symbian 9.4, Series 60 rel. 5",Yes,"2.0, A2DP",1.58 W/kg (head),,,,About 180 EUR,,No,,Mini-SIM,"12 MP, AF",126 g (4.44 oz),,Voice 71dB / Noise 66dB / Ring 78dB,,Discontinued,"Wi-Fi 802.11 b/g, DLNA",,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML, RSS reader","360 x 640 pixels, 16:9 ratio (~210 ppi density)",Up to 11 h (2G) / Up to 4 h 50 min (3G),"microSDHC (dedicated slot), 8 GB included",,HSPA 7.2/3.6 Mbps,"2009, February. Released 2009, October",,GSM / HSPA,Gesture controlMP4/H.264/WMV playerMP3/WAV/WMA/eAAC+ playerTV-outOffice document viewerOrganizerPredictive text input,,,Sony_Ericsson,,PowerVR SGX,Noise -87.0dB / Crosstalk -84.3dB,https://fdn2.gsmarena.com/vv/bigpic/se-idou.jpg,"3.5 inches, 33.8 cm2(~54.8% screen-to-body ratio)",Sony Ericsson Satio (Idou),,,"Black, Silver, Bordeaux","TFT resistive touchscreen, 16M colors",,,112 x 55 x 13 mm (4.41 x 2.17 x 0.51 in),128MB; 256MB RAM,2.0,,"GPS, A-GPS",Stereo FM radio,HSDPA 900 / 2100,,w480p@30fps (via SW update),Removable Li-Po 1000 mAh battery,,"Accelerometer, proximity",
HSDPA 850 / 1900 / 2100 Aino (a) for Americas,,LED flash,Up to 380 h (2G) / Up to 367 h (3G),Photo,,,,"Yes, with stereo speakers","2.1, A2DP",0.74 W/kg (head),"Yes, incl. motion-based + downloadable",,No,About 120 EUR,Remote play for Playstation 3Photo editorOrganizerVoice memoSensMePredictive text input,No,,Mini-SIM,"8.1 MP, AF",134 g (4.73 oz),,Voice 66dB / Noise 66dB / Ring 75dB,"30 received, dialed and missed calls",Discontinued,"Wi-Fi 802.11 b/g, DLNA",,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront 3.5), RSS reader",240 x 432 pixels (~165 ppi density),Up to 13 h (2G) / Up to 4 h 30 min (3G),"microSDHC (dedicated slot), 8 GB included",,HSPA 7.2/2 Mbps,"2009, May. Released 2009, October",,GSM / HSPA,Limited touchscreen functionality,1.00 W/kg (head)     0.95 W/kg (body),,Sony_Ericsson,,,Noise -81.4dB / Crosstalk -80.2dB,https://fdn2.gsmarena.com/vv/bigpic/se-aino.jpg,"3.0 inches, 24.6 cm2(~47.4% screen-to-body ratio)",Sony Ericsson Aino,Up to 31 h,"SMS(threaded view), MMS, Email","Obsidian Black, Luminous White",TFT,"1000 x 20 fields, Photo call",,104 x 50 x 15.5 mm (4.09 x 1.97 x 0.61 in),55MB,2.0,,"GPS, A-GPS; Wayfinder Navigator","Stereo FM radio, RDS",HSDPA 900 / 2100,,480p@30fps,Removable Li-Po 1000 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
HSDPA 850 / 1900 / 2100 - Yari (a) for Americas,,LED flash,Up to 450 h (2G) / Up to 450 h (3G),Photo,Yes,,,"Yes, with stereo speakers","2.0, A2DP",0.69 W/kg (head),"Yes, gesture and motion gaming + downloadable",,,About 120 EUR,,No,,Mini-SIM,"5 MP, AF",115 g (4.06 oz),,Voice 75dB / Noise 69dB / Ring 76dB,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 10 h (2G) / Up to 4 h 30 min (3G),"microSDHC (dedicated slot), 1 GB included",,HSPA 7.2/1.8 Mbps,"2009, May. Released 2009, September",,GSM / HSPA,MP3/eAAC+/WAV playerMP4/H.264 playerTrackID music recognitionPhoto editorYouTube applicationOrganizerVoice memoShake controlSensMePredictive text input,,,Sony_Ericsson,,,Noise -86.5dB / Crosstalk -86.2dB,https://fdn2.gsmarena.com/vv/bigpic/se-yari.jpg,"2.4 inches, 17.8 cm2(~37.2% screen-to-body ratio)",Sony Ericsson Yari,,"SMS(threaded view), MMS, Email","Achromatic Black, Cranberry White, Metal Rose","TFT, 16M colors","1000 x 20 fields, Photo call",,100 x 48 x 15.7 mm (3.94 x 1.89 x 0.62 in),60MB,2.0,,"GPS, A-GPS; WisePilot Navigator","Stereo FM radio, RDS",HSDPA 900 / 2100,,480p@30fps,Removable Li-Po 1000 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,LED flash,Up to 400 h,,,,,Yes,"2.0, A2DP",0.73 W/kg (head),Yes + downloadable,,MP3/MP4 playerTrackID music recognitionOrganizerVoice memoBuilt-in handsfreePredictive text input,About 80 EUR,,No,,Mini-SIM,2 MP,80.1 g (2.82 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 8 h,"Memory Stick Micro (M2), up to 4 GB",,,"2009, April. Released 2009, June",,GSM,No,,,Sony_Ericsson,Scratch-resistant glass,,,https://fdn2.gsmarena.com/vv/bigpic/se-s312.jpg,"2.0 inches, 12.6 cm2(~27.4% screen-to-body ratio)",Sony Ericsson S312,,"SMS, MMS, Email","Dawn Blue, Honey Silver","TFT, 256K colors","1000 entries, Photo call",Class 10,100 x 46 x 12.5 mm (3.94 x 1.81 x 0.49 in),15MB,Proprietary,Class 10,No,"FM radio, RDS",,,Yes,Removable Li-Po 930 mAh battery (BST-38),,,"Yes, MIDP 2.0"
GSM 850 / 1900 -W205a,,,Up to 425 h,,,,,Yes,2.0,0.87 W/kg (head),Yes + downloadable,,Walkman media playerTrackID music recognitionPredictive text inputOrganizerVoice memo,About 80 EUR,,No,,Mini-SIM,1.3 MP,96 g (3.39 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,,WAP 2.0/HTML (Opera Mini),128 x 160 pixels (~114 ppi density),Up to 9 h,"Memory Stick Micro (M2), up to 2 GB",,,"2009, March. Released 2009, July",,GSM,No,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/se-w205.jpg,"1.8 inches, 10.2 cm2(~23.6% screen-to-body ratio)",Sony Ericsson W205,Up to 13 h 30 min,"SMS, MMS","Ambient Black, Sakura Pink, Windy Blue","TFT, 65K colors","1000 contacts, Photo call",Class 10,92 x 47 x 16.4 mm (3.62 x 1.85 x 0.65 in),5MB,2.0,No,No,"Stereo FM radio, RDS",,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
HSDPA 850 / 1900 / 2100 - T707a,,,Up to 400 h (2G) / Up to 400 h (3G),,,,,Yes,"2.0, A2DP",0.62 W/kg (head),1 + downloadable,,No,About 110 EUR,MP3/eAAC+/WMA/WMApro playerMP4/WMV/H.263 playerGesture controlTrackIDPredictive text inputOrganizerVoice memo,No,,Mini-SIM,3.15 MP,95 g (3.35 oz),,Voice 74dB / Noise 81dB / Ring 75dB,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,WAP 2.0/HTML (NetFront),"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 10 h (2G) / Up to 4 h (3G),"Memory Stick Micro (M2), up to 16 GB",,HSPA,"2009, March. Released 2009, May",,GSM / HSPA,"Secondary external monochrome display, 36 x 128 pixels, 1.1""",,,Sony_Ericsson,Scratch-resistant glass,,Noise -86.2dB / Crosstalk -85.7dB,https://fdn2.gsmarena.com/vv/bigpic/se-t707.jpg,"2.2 inches, 15.0 cm2(~32.2% screen-to-body ratio)",Sony Ericsson T707,,"SMS(threaded view), MMS, Email, Push Email","Mysterious Black, Spring Rose, Lucid Blue, Lime Forest, Sensitive Bronze","TFT, 256K colors","1000 contacts, Photo call",,93 x 50 x 14.1 mm (3.66 x 1.97 x 0.56 in),100MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 2100,,320p@15fps,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
HSDPA 850 / 1900 - W995a,369 MHz ARM 11,LED flash,Up to 370 h (2G) / Up to 360 h (3G),,,,,"Yes, with stereo speakers","2.0, A2DP",1.18 W/kg (head),"Yes, incl. motion-based + downloadable",,Videocall camera,About 100 EUR,MP3/AAC/MP4 playerTrackID music recognitionPhoto editorOrganizerVoice memo/dialWalkman 4.0 playerShake controlSensMe,Yes,,Mini-SIM,"8.1 MP, AF",113 g (3.99 oz),,Voice 66dB / Noise 66dB / Ring 75dB,"30 received, dialed and missed calls",Discontinued,"Wi-Fi 802.11 b/g, DLNA",,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader","240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 9 h (2G) / Up to 4 h (3G),"Memory Stick Micro (M2), up to 16 GB, 8 GB included",,HSPA 7.2/2 Mbps,"2009, February. Released 2009, May",,GSM / HSPA,Built-in kickstand,,,Sony_Ericsson,,,Noise -89.1dB / Crosstalk -88.7dB,https://fdn2.gsmarena.com/vv/bigpic/se-w995.jpg,"2.6 inches, 20.9 cm2(~44.0% screen-to-body ratio)",Sony Ericsson W995,Up to 20 h,"SMS, MMS, Email, IM","Progressive Black, Cosmic Silver, Energetic Red","TFT, 256K colors","1000 x 20 fields, Photo call",,97 x 49 x 15 mm (3.82 x 1.93 x 0.59 in),118MB,2.0,,"GPS, A-GPS; Wayfinder navigator","Stereo FM radio, RDS",HSDPA 900 / 2100,,320p@30fps,Removable Li-Po 930 mAh battery (BST-38),,Accelerometer,"Yes, MIDP 2.0"
HSDPA 850 / 1900 / 2100 - C903a,,LED flash,Up to 400 h (2G) / Up to 350 h (3G),,,,,Yes,"2.0, A2DP",0.55 W/kg (head),"Yes, incl. motion-based + downloadable",,MP3/AAC/MP4 playerTrackID music recognitionPhoto editorYouTube applicationTV-outOrganizerVoice memo/dialPredictive text input,About 110 EUR,,No,,Mini-SIM,"5 MP, AF",96 g (3.39 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 10 h (2G) / Up to 4 h (3G),"Memory Stick Micro (M2), up to 16 GB",,HSPA,"2009, February. Released 2009, July",,GSM / HSPA,No,,,Sony_Ericsson,Scratch-resistant glass,,,https://fdn2.gsmarena.com/vv/bigpic/se-c903.jpg,"2.4 inches, 17.8 cm2(~37.5% screen-to-body ratio)",Sony Ericsson C903,,"SMS(threaded view), MMS, Email, Push Email, IM","Lacquer Black, Techno White, Glamour Red, Metal Pink, Warm Silver","TFT, 256K colors","1000 x 20 fields, Photo call",,97 x 49 x 16 mm (3.82 x 1.93 x 0.63 in),105MB,2.0,,"GPS, A-GPS; Wayfinder Navigator 7","Stereo FM radio, RDS",HSDPA 900 / 2100,,320p@30fps,Removable Li-Po 1000 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
No,,"xenon flash, LED flash",Up to 430 h,Photo,,,,Yes,"2.0, A2DP",1.57 W/kg (head),"Yes, incl. motion-based + downloadable",,,About 110 EUR,,No,,Mini-SIM,"5 MP, AF",107 g (3.77 oz),,Voice 66dB / Noise 65dB / Ring 71dB,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 9 h 30 min,"Memory Stick Micro (M2), up to 8 GB",,HSPA 3.6/0.384 Mbps,"2009, February. Released 2009, May",,GSM / HSPA,MP3/AAC/MP4 playerTrackID music recognitionPhoto editorYouTube applicationOrganizerVoice memo/dialPredictive text input,,,Sony_Ericsson,,,Noise -86.2dB / Crosstalk -84.9dB,https://fdn2.gsmarena.com/vv/bigpic/se-c901.jpg,"2.2 inches, 15.0 cm2(~31.7% screen-to-body ratio)",Sony Ericsson C901,,"SMS(threaded view), MMS, Email, IM","Noble Black, Sincere Silver, Precious Peach","TFT, 256K colors","1000 x 20 fields, Photo call",,105 x 45 x 13 mm (4.13 x 1.77 x 0.51 in),110MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 900 / 2100,,320p,Removable Li-Po 950 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
No,,,Up to 480 h,,,,,"Yes, with stereo speakers","2.0, A2DP",0.88 W/kg (head),"Yes, incl. motion-based + downloadable",,,About 80 EUR,,No,,Mini-SIM,2 MP,96 g (3.39 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML (Openwave), RSS reader",176 x 220 pixels (~141 ppi density),Up to 8 h,"Memory Stick Micro (M2), up to 4 GB, 1 GB included",,,"2009, February. Released 2009, March",,GSM,Walkman playerTrackID music recognitionPhoto editorOrganizerVoice memoPredictive text input,,,Sony_Ericsson,Scratch-resistant glass,,,https://fdn2.gsmarena.com/vv/bigpic/se-w395.jpg,"2.0 inches, 12.6 cm2(~27.9% screen-to-body ratio)",Sony Ericsson W395,Up to 12 h 30 min,"SMS, EMS, MMS, Email, IM","Dusky Grey, Blush Titanium, Fiesta Black, Happy Pink","TFT, 256K colors","1000 x 20 fields, Photo call",Class 10,96 x 47 x 14.9 mm (3.78 x 1.85 x 0.59 in),10MB,2.0,Class 10,No,"Stereo FM radio, RDS",,,Yes,Removable Li-Ion 950 mAh battery,,,"Yes, MIDP 2.0"
GSM 850 / 900 / 1800 / 1900  - C510a,,LED flash,Up to 400 h (2G) / Up to 350 h (3G),,,,,Yes,"2.0, A2DP",1.18 W/kg (head),Yes + downloadable,,,About 110 EUR,Videocall camera,No,,Mini-SIM,"3.15 MP, AF",92 g (3.25 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 10 h (2G) / Up to 4 h (3G),"Memory Stick Micro (M2), up to 8 GB",,HSPA,"2009, January. Released 2009, February",,GSM / HSPA,HSDPA 850 / 1900 / 2100 - C510a,1.36 W/kg (head)     0.93 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/se-c510.jpg,"2.2 inches, 15.0 cm2(~29.8% screen-to-body ratio)",Sony Ericsson C510,,"SMS(threaded view), MMS, Email, Instant Messaging","Future Black, Radiation Silver, Energetic Red","TFT, 256K colors","1000 x 20 fields, Photo call",,107 x 47 x 12.5 mm (4.21 x 1.85 x 0.49 in),100MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 2100,,320p@30fps,Removable Li-Po 930 mAh battery,"Face, smile detection, geo-tagging (cell-id)MP3/AAC/MP4 playerTrackID music recognitionYouTube service in Media CenterOrganizerVoice memo/dialMotion gaming",Accelerometer,"Yes, MIDP 2.0"
HSDPA 850 / 1900 / 2100 - W508a,,,Up to 400 h (2G) / Up to 400 h (3G),,Yes,,,Yes,"2.0, A2DP",0.85 W/kg (head),"3, incl. motion-based + downloadable",,Walkman media playerShake and gesture controlTrackID music recognitionPhoto editorOrganizerExchangeable Style-Up covers,About 100 EUR,,No,,Mini-SIM,3.15 MP,98 g (3.46 oz),,Voice 75dB / Noise 82dB / Ring 76dB,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML (NetFront)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 10 h (2G) / Up to 4 h (3G),"Memory Stick Micro (M2), up to 16 GB, 1 GB included",,HSPA,"2009, January. Released 2009, May",,GSM / HSPA,"Secondary external monochrome display, 36 x 128 pixels, 1.1""",0.73 W/kg (head)     0.85 W/kg (body),,Sony_Ericsson,Scratch-resistant glass,,Noise -85.9dB / Crosstalk -84.7dB,https://fdn2.gsmarena.com/vv/bigpic/se-w508.jpg,"2.2 inches, 15.0 cm2(~32.1% screen-to-body ratio)",Sony Ericsson W508,,"SMS, EMS, MMS, Email, Instant Messaging","Metal Grey, Poetic White","TFT, 256K colors","1000 x 24 fields, Photo call",,93.5 x 50 x 14 mm (3.68 x 1.97 x 0.55 in),100MB,Proprietary,,No,"Stereo FM radio, RDS",HSDPA 2100,,320p@15fps,Removable Li-Po 930 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
,,LED flash,Up to 400 h (2G) / Up to 350 h (3G),,,,,Yes,"2.0, A2DP",0.93 W/kg (head),Yes + downloadable,,Vodafone Find&GoTrackID music recognitionMP3/AAC/MP4 playerWalkman 3.0 playerShake controlSensMeTrackID music recognitionYouTube service in Media CenterOrganizerVoice memoMotion gaming,About 120 EUR,,No,,Mini-SIM,3.15 MP,98 g (3.46 oz),,,"30 received, dialed and missed calls",Discontinued,"Wi-Fi 802.11 b/g, DLNA",,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML, RSS","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 10 h (2G) / Up to 4 h (3G),"Memory Stick Micro (M2), up to 8 GB",,HSPA 7.2/2 Mbps,"2009, January. Released 2009, June",,GSM / HSPA,Videocall camera,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/se-w715.jpg,"2.4 inches, 17.8 cm2(~39.5% screen-to-body ratio)",Sony Ericsson W715,,"SMS(threaded view), MMS, Email, Push Email, IM","Galactic Black, Luxury Silver","TFT, 256K colors","Yes, up to 2000 entries, Photocall",,95 x 47.5 x 14.3 mm (3.74 x 1.87 x 0.56 in),120MB,2.0,,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 900 / 1900 / 2100 / 1700,,320p@15fps,Removable Li-Ion 1000 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
HSDPA 850 / 1900 / 2100 W705a,,LED flash,Up to 400 h (2G) / Up to 350 h (3G),,,,,Yes,"2.0, A2DP",1.01 W/kg (head),Yes + downloadable,,Videocall camera,About 160 EUR,MP3/AAC/MP4 playerWalkman 3.0 playerShake controlSensMeTrackID music recognitionYouTube service in Media CenterPhoto editorOrganizerVoice memoPredictive text input,No,,Mini-SIM,3.15 MP,98 g (3.46 oz),,,"30 received, dialed and missed calls",Discontinued,"Wi-Fi 802.11 b/g, DLNA",,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML, RSS","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 10 h (2G) / Up to 4 h (3G),"Memory Stick Micro (M2), up to 8 GB, 4 GB included",,HSPA 7.2/2 Mbps,"2008, October. Released 2009, March",,GSM / HSPA,,1.15 W/kg (head)     0.74 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/se-w705.jpg,"2.4 inches, 17.8 cm2(~39.5% screen-to-body ratio)",Sony Ericsson W705,,"SMS(threaded view), MMS, Email, Push Email, IM","Luxury Silver, Passionate Red","TFT, 256K colors","1000 entries, Photocall",,95 x 47.5 x 14.3 mm (3.74 x 1.87 x 0.56 in),120MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 900 / 2100,,Yes,Removable Li-Po 950 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
HSDPA 850 / 1900 / 2100 - American version,,LED flash,Up to 400 h,,,,,Yes,"2.0, A2DP",1.01 W/kg (head),Yes + downloadable,,YouTube applicationMP3/AAC/MP4 playerTrackID music recognitionPhoto editorOrganizerVoice memo,About 150 EUR,,No,,Mini-SIM,3.15 MP,98 g (3.46 oz),,Voice 69dB / Noise 71dB / Ring 77dB,"30 received, dialed and missed calls",Discontinued,"Wi-Fi 802.11 b/g, DLNA",,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML(NetFront 3.4), Web shortcut keys, RSS","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 10 h,"Memory Stick Micro (M2), up to 8 GB, 1 GB included",,HSPA 7.2/0.384 Mbps,"2008, September. Released 2008, November",,GSM / HSPA,Videocall camera,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/se-g705.jpg,"2.4 inches, 17.8 cm2(~39.9% screen-to-body ratio)",Sony Ericsson G705,,"SMS, MMS, Email, Push Email, IM","Silky Gold, Majestic Black","TFT, 256K colors","Yes, up to 1000 entries, Photocall",,95 x 47 x 14.3 mm (3.74 x 1.85 x 0.56 in),120MB,2.0,,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 2100,,Yes,Removable Li-Po 950 mAh battery (BST-33),,Accelerometer,"Yes, MIDP 2.0"
"Secondary external monochrome display, 36 x 128 pixels",,,Up to 250 h (2G) / Up to 250 h (3G),,,,,Yes,"2.0, A2DP",,Yes + downloadable,,MP3/eAAC+/WMA playerMP4 playerPredictive text inputOrganizerVoice memo,About 80 EUR,,No,,Mini-SIM,2 MP,96 g (3.39 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 1800 / 1900,,,WAP 2.0/HTML (NetFront),"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 9 h 30 min (2G) / Up to 3 h 30 min (3G),Memory Stick Micro (M2),,HSPA 3.6/0.384 Mbps,"2008, August. Released 2008, September",,GSM / HSPA,No,1.43 W/kg (head)     0.62 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/se-tm506.jpg,"2.0 inches, 12.4 cm2(~27.2% screen-to-body ratio)",Sony Ericsson TM506,,"SMS, MMS, Email, Push Email, IM","Chrome with Amber, Emerald, Scarlet","TFT, 256K colors","1000 contacts, Photo call",,95 x 48 x 17 mm (3.74 x 1.89 x 0.67 in),35MB,Proprietary,,"GPS, A-GPS",No,HSDPA 1700 / 2100,,Yes,Removable Li-Po 950 mAh battery,,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,LED flash,Up to 370 h,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",1.55 W/kg (head),Yes + downloadable,,MP3/eAAC+/WMA/WMApro playerMP4/WMV/H.263 playerTrackIDPredictive text inputOrganizerVoice memo,About 130 EUR,,No,,Mini-SIM,3.15 MP,78 g (2.75 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,WAP 2.0/HTML(NetFront),"240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 9 h 30 min,"Memory Stick Micro (M2),  up to 8 GB, 512 MB included",,HSPA 3.6/0.384 Mbps,"2008, August. Released 2008, September",,GSM / HSPA,No,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/se-t700.jpg,"2.0 inches, 12.4 cm2(~24.8% screen-to-body ratio)",Sony Ericsson T700,,"SMS, MMS, Email, Push Email","Black on Silver, Black on Red, Silver, Black, Red on Silver","TFT, 256K colors","1000 contacts, Photo call",,104 x 48 x 10 mm (4.09 x 1.89 x 0.39 in),25MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 2100,,320p@15fps,Removable Li-Po 950 mAh battery (BST-33),,,"Yes, MIDP 2.0"
,,LED flash,Up to 380 h (2G) / Up to 360 h (3G),,Videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,Yes,"2.0, A2DP",1.48 W/kg (head),Yes + downloadable,,Walkman playerTrackID music recognitionSensMeShake controlPredictive text inputPhoto editorOrganizerVoice memo,About 180 EUR,,No,,Mini-SIM,"5 MP, AF",99.8 g (3.49 oz),,Voice 68dB / Noise 69dB / Ring 75dB,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML (NetFront)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 9 h (2G) / Up to 4 h (3G),"Memory Stick Micro (M2), up to 8 GB, 8 GB included",,HSPA 3.6/0.384 Mbps,"2008, July. Released 2008, October",,GSM / HSPA,Dedicated music keys,,,Sony_Ericsson,,,Noise -81.7dB / Crosstalk -85.4dB,https://fdn2.gsmarena.com/vv/bigpic/se-w902.jpg,"2.2 inches, 15.0 cm2(~27.8% screen-to-body ratio)",Sony Ericsson W902,,"SMS, EMS, MMS, Email, Push Email","Volcanic Black, Wine Red, Earth Green","TFT, 256K colors","1000 x 20 fields, Photo call",,110 x 49 x 11.7 mm (4.33 x 1.93 x 0.46 in),25MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 2100,,320p@30fps,Removable Li-Ion 930 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
,,,Up to 385 h (2G) / Up to 365 h (3G),,,"Vibration, MP3, AAC ringtones",,"Yes, with stereo speakers","2.0, A2DP",1.00 W/kg (head),Yes + downloadable,,Walkman playerTrackID music recognitionSensMeShake controlPredictive text inputPhoto editorOrganizerVoice memo,About 120 EUR,,No,,Mini-SIM,3.15 MP,104 g (3.67 oz),,Voice 75dB / Noise 75dB / Ring 83dB,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML (NetFront )","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 9 h (2G) / Up to 4 h 30 min (3G),"Memory Stick Micro (M2), up to 8 GB, 2 GB included",,HSPA 3.6/0.384 Mbps,"2008, July. Released 2008, September",,GSM / HSPA,No,1.41 W/kg (head)     1.20 W/kg (body),,Sony_Ericsson,,,Noise -86.4dB / Crosstalk -85.3dB,https://fdn2.gsmarena.com/vv/bigpic/se-w595.jpg,"2.2 inches, 15.0 cm2(~31.9% screen-to-body ratio)",Sony Ericsson W595,Up to 26 h,"SMS, EMS, MMS, Email","Jungle Grey, Lava Black, Ruby Black, Cosmopolitan White, Active Blue, Peachy Pink, Sandy Gold","TFT, 256K colors","1000 x 20 fields, Photo call",,100 x 47 x 14 mm (3.94 x 1.85 x 0.55 in),40MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 2100 - W595 only,,320p@15fps,Removable Li-Ion 950 mAh battery (BST-33),,Accelerometer,"Yes, MIDP 2.0"
