,Announced,Call records,Resolution,Infrared port,Languages,_3,Technology,Model Image,Alert types,Phonebook,WLAN,GPRS,Games,Messaging,Talk time,USB,EDGE,Status,Positioning,Radio,Bluetooth,Brand,Sensors,_1,Video,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Browser,Loudspeaker,_2,Model Name,Type,Card slot,Java,Stand-by
No,2007,"20 dialed, 20 received, 20 missed calls",128 x 160 pixels (~114 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-d611.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,Class 12,Yes,"SMS, EMS, MMS",Up to 4 h,Proprietary,No,Discontinued,No,FM radio,Yes,Bird,,"MP3/ MP4 playerAudio RecorderData/ Fax ModemFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese, Hindi",Yes,105.5 x 44 x 12.2 mm (4.15 x 1.73 x 0.48 in),1.3 MP,Black,No,Mini-SIM,"1.8 inches, 10.2 cm2(~22.0% screen-to-body ratio)",71.4 g (2.50 oz),Removable Li-Ion 650 mAh battery,60MB,GSM 900 / 1800,WAP 2.0,Yes,,Bird D611,"TFT, 65K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 140 h
No,2007,"20 dialed, 20 received, 20 missed calls",128 x 160 pixels (~114 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-d515.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,Class 12,Yes,"SMS, EMS, MMS",Up to 3 h 20 min,Proprietary,No,Cancelled,No,FM radio (optional),Optional,Bird,,"MP3/ MP4 playerAudio RecorderData/ Fax ModemFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese, Hindi",Yes,106.7 x 46.3 x 10.3 mm (4.20 x 1.82 x 0.41 in),VGA,Black,No,Mini-SIM,"1.8 inches, 10.2 cm2(~20.6% screen-to-body ratio)",75 g (2.65 oz),Removable Li-Ion 650 mAh battery,,GSM 900 / 1800,WAP 2.0,Yes,,Bird D515,"CSTN, 65K colors",microSD,"Yes, MIDP 2.0",Up to 120 h
No,2007,"20 dialed, 20 received, 20 missed calls",128 x 160 pixels (~114 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-d612.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,Class 12,Yes,"SMS, EMS, MMS",Up to 4 h,Proprietary,No,Discontinued,No,No,No,Bird,,"Data/ Fax ModemMP3/ MP4 playerAudio RecorderFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese, Hindi",Yes,105.5 x 44 x 12.2 mm (4.15 x 1.73 x 0.48 in),VGA,"Blue, Silver",No,Mini-SIM,"1.8 inches, 10.2 cm2(~22.0% screen-to-body ratio)",71.4 g (2.50 oz),Removable Li-Ion 650 mAh battery,,GSM 900 / 1800,WAP 2.0,Yes,,Bird D612,"TFT, 65K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 140 h
No,2007,"20 dialed, 20 received, 20 missed calls",128 x 160 pixels (~128 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-M29.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,Class 10,Yes,"SMS, EMS, MMS",Up to 3 h,Proprietary,No,Discontinued,No,No,No,Bird,,"Data/ Fax ModemMP3 playerAudio RecorderFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Arabic, Spanish, Portuguese",No,107 x 44 x 15.2 mm (4.21 x 1.73 x 0.60 in),VGA,"Black, Silver",No,Mini-SIM,"1.6 inches, 8.1 cm2(~17.1% screen-to-body ratio)",90 g (3.17 oz),Removable Li-Ion 700 mAh battery,37MB,GSM 900 / 1800,WAP 2.0,Yes,,Bird M29,"TFT, 65K colors",microSD (dedicated slot),"Yes, MIDP 2.0",Up to 150 h
No,2007,"20 dialed, 20 received, 20 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-M01.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,No,Yes,SMS,Up to 4 h,Proprietary,No,Discontinued,No,No,No,Bird,,"MP3 PlayerAudio RecorderFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese",,89.5 x 44 x 18.2 mm (3.52 x 1.73 x 0.72 in),,"Black, White",No,Mini-SIM,"1.5 inches, 7.3 cm2(~18.4% screen-to-body ratio)",75 g (2.65 oz),Removable Li-Ion 650 mAh battery,62MB,GSM 900 / 1800,No,Yes,,Bird M01,"OLED, 260K colors",No,No,Up to 140 h
No,2007,"20 dialed, 20 received, 20 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-M07.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,No,Yes,SMS,Up to 3 h,Proprietary,No,Discontinued,No,No,No,Bird,,"MP3 PlayerFR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese",,105 x 44 x 15.3 mm (4.13 x 1.73 x 0.60 in),,"Black, White Blue, Pink",No,Mini-SIM,"1.5 inches, 7.3 cm2(~15.7% screen-to-body ratio)",80 g (2.82 oz),Removable Li-Ion 700 mAh battery,57MB,GSM 900 / 1800,No,Yes,,Bird M07,"CSTN, 65K colors",No,No,Up to 150 h
No,2007,"20 dialed, 20 received, 20 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-s1130.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,No,Yes,SMS,Up to 4 h,No,No,Discontinued,No,No,No,Bird,,"FR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Spanish, Portuguese",,89.5 x 44 x 18.2 mm (3.52 x 1.73 x 0.72 in),,"Black, White",No,Mini-SIM,"1.5 inches, 7.3 cm2(~18.4% screen-to-body ratio)",75 g (2.65 oz),Removable Li-Ion 650 mAh battery,,GSM 900 / 1800,No,Yes,,Bird S1130,"OLED, 260K colors",No,No,Up to 140 h
"Second external LCD, monochrome display, 1.1 inches",2007,"20 dialed, 20 received, 20 missed calls",128 x 160 pixels (~114 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-V5518+.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,No,Yes,SMS,Up to 3 h,No,No,Discontinued,No,No,No,Bird,,No,,87.8 x 43.8 x 21.9 mm (3.46 x 1.72 x 0.86 in),,Silver,No,Mini-SIM,"1.8 inches, 10.2 cm2(~26.5% screen-to-body ratio)",80 g (2.82 oz),Removable Li-Ion 700 mAh battery,,GSM 900 / 1800,No,Yes,"FR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Arabic, Hindi, Spanish, Portuguese",Bird V5518+,"CSTN, 65K colors",No,No,Up to 120 h
No,2007,"20 dialed, 20 received, 20 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-s663.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,No,Yes,SMS,Up to 3 h,No,No,Discontinued,No,No,No,Bird,,"FR,HR,EFR,AMR voice codecsLanguages: Chinese, English, French, Hindi",,105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in),,"Black, White",No,Mini-SIM,"1.5 inches, 7.3 cm2(~15.7% screen-to-body ratio)",80 g (2.82 oz),Removable Li-Ion 700 mAh battery,,GSM 900 / 1800,No,Yes,,Bird S663,"CSTN, 65K colors",No,No,Up to 140 h
No,2007,"20 dialed, 20 received, 20 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-s661.gif,"Vibration; Downloadable polyphonic, MIDI ringtones",Yes,No,No,Yes,SMS,Up to 3 h,No,No,Discontinued,No,No,No,Bird,,"FR,HR,EFR voice codecsLanguages: Chinese, English, French, Arabic",,105.3 x 44 x 15.8 mm (4.15 x 1.73 x 0.62 in),,"Black, Pink",No,Mini-SIM,"1.5 inches, 7.3 cm2(~15.7% screen-to-body ratio)",80 g (2.82 oz),Removable Li-Ion 700 mAh battery,,GSM 900 / 1800,No,No,,Bird S661,"CSTN, 65K colors",No,No,Up to 140 h
