,Dimensions,Phonebook,_4,Model Image,Type_1,_1,Model Name,Models,Messaging,Card slot,Brand,Speed,EDGE,Stand-by,SAR,Sensors,Video_1,SAR EU,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,4G bands,Features,Java,Features_1,Price,Single_1,Type,Games,Chipset,Talk time,WLAN,Call records,3G bands,Size,Single,Protection,Dual,Bluetooth,Radio,USB,Status,Internal,Dual_1,OS,Colors,Browser,GPRS,Weight,Resolution
,154.8 x 78.2 x 8.8 mm (6.09 x 3.08 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5528.jpg,Li-Po 3000 mAh battery,,verykool s5528 Cosmo,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 288 h (3G),0.37 W/kg (head)     0.96 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2017, August. Released 2017, August",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"5 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 9 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700(AWS) / 1900,"5.5 inches, 83.4 cm2(~68.9% screen-to-body ratio)","8 MP, f/2.4, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 1GB RAM,,Android 7.0 (Nougat),"Black, Gold",,,169 g (5.96 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
"2, 3, 4, 5, 7, 28",156.4 x 79.2 x 8.8 mm (6.16 x 3.12 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-SL5565.jpg,"Li-Po 2700 mAh, non-removable",eMMC 5.0,verykool SL5565 Rocket,,,microSDXC,verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 240 h (3G),0.45 W/kg (head)     1.29 W/kg (body),"Fingerprint (front-mounted), accelerometer, proximity",,,,Mali-T720MP2,"2017, August. Released 2017, August",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,"2, 3, 4, 5, 7, 12, 17","Triple-LED flash, panorama",,LED flash,,"8 MP, f/2.8",IPS LCD,,Mediatek MT6737 (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700(AWS) / 1900 / 2100,"5.5 inches, 83.4 cm2(~67.3% screen-to-body ratio)","13 MP, f/2.2, AF",,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 2GB RAM,,Android 7.0 (Nougat),"Darg Gray, Gold, White",,,172 g (6.07 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
,189.8 x 109.7 x 10.6 mm (7.47 x 4.32 x 0.42 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-t7445.jpg,Li-Po 2500 mAh battery,,verykool T7445,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 216 h (3G),0.48 W/kg (head)     1.21 W/kg (body),Accelerometer,,,,Mali-400,"2017, June. Released 2017, June",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Mini-SIM, Micro-SIM)",,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, panorama",,LED flash,,2 MP,TFT,,Mediatek MT8321 (28 nm),Up to 10 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900,"7.0 inches, 137.9 cm2(~66.2% screen-to-body ratio)","5 MP, f/2.4",,,"4.0, A2DP, LE",FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 7.0 (Nougat),Black,,,275 g (6.17 oz),"600 x 1024 pixels, 16:9 ratio (~170 ppi density)"
,127 x 66 x 10.7 mm (5.0 x 2.60 x 0.42 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s4009.jpg,"Li-Ion 1200 mAh, removable",,verykool s4009 Crystal,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 150 h (3G),1.13 W/kg (head)     0.81 W/kg (body),Accelerometer,,,,Mali-400,"2017, June. Released 2017, June",Dual-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, panorama",,,,2 MP,TFT,,Mediatek MT6570 (28 nm),Up to 4 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900 / 2100,"4.0 inches, 45.5 cm2(~54.3% screen-to-body ratio)","5 MP, f/2.4",,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 512MB RAM,,Android 6.0 (Marshmallow),Black/Gold,,,-,"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,152.9 x 76.8 x 8.2 mm (6.02 x 3.02 x 0.32 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5526.jpg,Li-Po 2800 mAh battery,,verykool s5526 Alpha,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 288 h (3G),0.49 W/kg (head)     1.27 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2017, May. Released 2017, May",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"5 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 9 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900,"5.5 inches, 83.4 cm2(~71.0% screen-to-body ratio)","8 MP, f/2.4, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 6.0 (Marshmallow),Black,,,148 g (5.22 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
,146.5 x 72 x 7.9 mm (5.77 x 2.83 x 0.31 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5034.jpg,Li-Ion 2050 mAh battery,,verykool s5034 Spear Jr.,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.59 W/kg (head)     1.41 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2017, May. Released 2017, May",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,LED flash,,"5 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)","8 MP, f/2.4, AF",Scratch-resistant glass,,"4.0, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 6.0 (Marshmallow),"Black, Blue",,,145 g (5.11 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,146.5 x 72 x 7.9 mm (5.77 x 2.83 x 0.31 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5035.jpg,Li-Po 2000 mAh battery,,verykool s5035 Spear,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.59 W/kg (head)     1.41 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2017, April. Released 2017, April",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"8 MP, f/2.8",IPS LCD,,Mediatek MT6580M (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700 / 1900 / 900,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)","8 MP, f/2.8, AF",Scratch-resistant glass,,"4.0, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 6.0 (Marshmallow),"Black, Blue",,,145 g (5.11 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,144.8 x 72.8 x 10 mm (5.70 x 2.87 x 0.39 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5027-s5028.jpg,Li-Ion 2000 mAh battery,,verykool s5028 Bolt,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,Accelerometer,,,,Mali-400,"2017, April. Released 2017, April",Quad-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, panorama",,,,"2 MP, f/2.8",TFT,,Spreadtrum SC7731C,Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900,"5.0 inches, 68.9 cm2(~65.4% screen-to-body ratio)","8 MP, f/2.4, AF",,,"2.1, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 6.0 (Marshmallow),"Black, Gold",,,154 g (5.43 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,144.8 x 72.8 x 10 mm (5.70 x 2.87 x 0.39 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5027-s5028.jpg,"Li-Ion 2000 mAh, removable",,verykool s5027 Bolt Pro,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,Accelerometer,,,,Mali-400,"2017, April. Released 2017, April",Quad-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, panorama",,,,"8 MP, f/2.4",TFT,,Spreadtrum SC7731C,Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900,"5.0 inches, 68.9 cm2(~65.4% screen-to-body ratio)","8 MP, f/2.4, AF",,,"2.1, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 6.0 (Marshmallow),"Black, Gold",,,154 g (5.43 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,144.8 x 72.8 x 9.8 mm (5.70 x 2.87 x 0.39 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5007.jpg,Li-Ion 2000 mAh battery,,verykool s5007 Lotus Plus,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.53 W/kg (head)     1.16 W/kg (body),"Accelerometer, proximity",,,,Mali-400,"2017, April. Released 2017, April",Quad-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, panorama",,,,"5 MP, f/2.8",IPS LCD,,Spreadtrum SC7731C,Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"5.0 inches, 68.9 cm2(~65.4% screen-to-body ratio)","8 MP, f/2.8, AF",,,"2.1, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 5.1 (Lollipop),"Black, White, Rose Gold",,,148 g (5.22 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
