,Dimensions,Phonebook,_4,Model Image,Type_1,_1,Model Name,Models,Messaging,Card slot,Brand,Speed,EDGE,Stand-by,SAR,Sensors,Video_1,SAR EU,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,4G bands,Features,Java,Features_1,Price,Single_1,Type,Games,Chipset,Talk time,WLAN,Call records,3G bands,Size,Single,Protection,Dual,Bluetooth,Radio,USB,Status,Internal,Dual_1,OS,Colors,Browser,GPRS,Weight,Resolution
,133 x 72 x 10.2 mm (5.24 x 2.83 x 0.40 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s4513.jpg,Li-Ion 1700 mAh battery,,verykool s4513 Luna II,,,microSDHC (dedicated slot),verykool,HSPA 21.1/5.76 Mbps,,Up to 192 h (3G),,Accelerometer,,,,Mali-400,"2017, March. Released 2017, March",Quad-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,,LED flash,,,,"2 MP, f/2.8",IPS LCD,,Spreadtrum SC7731C,Up to 7 h (3G),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 1900,"4.5 inches, 55.8 cm2(~58.3% screen-to-body ratio)","5 MP, f/2.4",,,"2.1, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 6.0 (Marshmallow),"Black, Blue",,,135 g (4.76 oz),"480 x 854 pixels, 16:9 ratio (~218 ppi density)"
eMMC 5.0,153.5 x 78 x 10 mm (6.04 x 3.07 x 0.39 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5560.jpg,"Li-Po 3000 mAh, removable",,verykool SL5560 Maverick Pro,,,microSDXC,verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 288 h (3G),0.49 W/kg (head)     1.20 W/kg (body),"Fingerprint (rear-mounted), accelerometer, proximity",,,,Mali-T720MP2,"2017, February. Released 2017, February",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA / LTE,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 1900 / 900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,"2, 4, 5, 7, 12, 17","LED flash, panorama",,LED flash,,"8 MP, f/2.8",IPS LCD,,Mediatek MT6737 (28 nm),Up to 9 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700(AWS) / 1900,"5.5 inches, 83.4 cm2(~69.7% screen-to-body ratio)","13 MP, f/2.4, AF",,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 1GB RAM,,Android 6.0 (Marshmallow),"Blue, Gray",,,179 g (6.31 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
,145.8 x 73 x 9.7 mm (5.74 x 2.87 x 0.38 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5021.jpg,"Li-Po 2000 mAh, removable",,verykool s5021 Wave Pro,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.73 W/kg (head)     0.87 W/kg (body),Accelerometer,,,,Mali-400,"2017, February. Released 2017, February",Quad-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, panorama",,,,"5 MP, f/2.8",IPS LCD,,Spreadtrum SC7731C,Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900,"5.0 inches, 68.9 cm2(~64.7% screen-to-body ratio)","8 MP, f/2.4",,,"2.1, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 6.0 (Marshmallow),"Black, White, Blue",,,168 g (5.93 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,145.8 x 73 x 9.7 mm (5.74 x 2.87 x 0.38 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5021.jpg,"Li-Po 2000 mAh, removable",,verykool s5019 Wave,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.73 W/kg (head)     0.87 W/kg (body),Accelerometer,,,,Mali-400,"2017, February. Released 2017, February",Quad-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, panorama",,,,"2 MP, f/2.8",IPS LCD,,Spreadtrum SC7731C,Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900,"5.0 inches, 68.9 cm2(~64.7% screen-to-body ratio)","5 MP, f/2.4",,,"2.1, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 6.0 (Marshmallow),"Black, White, Blue, Brown, Dark Blue",,,168 g (5.93 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,126 x 65 x 10.5 mm (4.96 x 2.56 x 0.41 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s4008.jpg,Li-Ion 1400 mAh battery,,verykool s4008 Leo V,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 192 h (3G),0.85 W/kg (head)     1.22 W/kg (body),Accelerometer,,,,Mali-400,"2016, November. Released 2016, November",Quad-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, panorama",,,,"2 MP, f/2.8",IPS LCD,,Spreadtrum SC7731,Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1900,"4.0 inches, 45.5 cm2(~55.6% screen-to-body ratio)","5 MP, f/2.8",,,"2.1, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 5.1 (Lollipop),"Black, Blue",,,141 g (4.97 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,149.8 x 73.4 x 8.8 mm (5.90 x 2.89 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5200.jpg,Li-Po 2900 mAh battery,,verykool Sl5200 Eclipse,,,microSDXC,verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 288 h (3G),,"Accelerometer, proximity",,,,Mali-T720,"2016, November. Released 2016, November",Octa-core 1.3 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,"2, 4, 5, 7, 12, 17","LED flash, panorama",,LED flash,,"8 MP, f/2.8",IPS LCD,,Mediatek MT6753 (28 nm),Up to 10 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700(AWS) / 1900 / 2100,"5.2 inches, 74.5 cm2(~67.8% screen-to-body ratio)","16 MP, f/2.4, AF",Asahi Dragontrail Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 2GB RAM,,Android 6.0 (Marshmallow),Black,,,141 g (4.97 oz),"720 x 1280 pixels, 16:9 ratio (~282 ppi density)"
eMMC 5.0,145.5 x 70.5 x 7.2 mm (5.73 x 2.78 x 0.28 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5050.jpg,"Li-Po 2500 mAh, non-removable",,verykool sl5050 Phantom,,,microSDXC,verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 240 h (3G),,"Accelerometer, proximity",,,,Mali-T720,"2016, November. Released 2016, November",Quad-core 1.3 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,"2, 4, 5, 7, 12, 17","LED flash, panorama",,LED flash,,"8 MP, f/2.8",AMOLED,,Mediatek MT6737 (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700(AWS) / 1900 / 2100,"5.0 inches, 68.9 cm2(~67.2% screen-to-body ratio)","16 MP, f/2.4, AF",Asahi Dragontrail Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 1GB RAM,,Android 6.0 (Marshmallow),"Dark Blue, Gold",,,121 g (4.27 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,166 x 85.3 x 9 mm (6.54 x 3.36 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s6004.jpg,Li-Ion 2600 mAh battery,,verykool s6004 Cyprus Jr.,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Accelerometer, proximity",,,,Mali-400MP2,"2016, September. Released 2016, September",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"5 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900,"6.0 inches, 99.2 cm2(~70.1% screen-to-body ratio)","8 MP, f/2.8, AF",Asahi Dragontrail Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 6.0 (Marshmallow),Gray,,,165 g (5.82 oz),"720 x 1280 pixels, 16:9 ratio (~245 ppi density)"
,153 x 77 x 8.2 mm (6.02 x 3.03 x 0.32 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5525.jpg,Li-Po 2800 mAh battery,,verykool s5524 Maverick III Jr.,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 264 h (3G),,"Accelerometer, proximity",,,,Mali-400MP2,"2016, September. Released 2016, September",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"5 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900,"5.5 inches, 83.4 cm2(~70.8% screen-to-body ratio)","8 MP, f/2.8, AF",Asahi Dragontrail Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 6.0 (Marshmallow),Black,,,148 g (5.22 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
,153 x 77 x 8.2 mm (6.02 x 3.03 x 0.32 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5525.jpg,"Li-Po 2800 mAh, removable",,verykool s5525 Maverick III,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 264 h (3G),,"Accelerometer, proximity",,,,Mali-400MP2,"2016, September. Released 2016, September",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"8 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700(AWS) / 1900 / 2100,"5.5 inches, 83.4 cm2(~70.8% screen-to-body ratio)","13 MP, f/2.4, 1/4.0"", 1.12µm, AF",Asahi Dragontrail Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 6.0 (Marshmallow),Black,,,148 g (5.22 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
,211 x 125.3 x 8.5 mm (8.31 x 4.93 x 0.33 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-tl8010.jpg,Li-Ion 4060 mAh battery,,verykool Kolorpad LTE TL8010,,,microSDXC,verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 192 h (3G),0.47 W/kg (head)     1.23 W/kg (body),"Accelerometer, proximity",,,,Mali-T720MP2,"2016, July. Released 2016, July",Quad-core 1.0 GHz Cortex-A53,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,"LED flash, panorama",,,,"5 MP, f/2.8",IPS LCD,,Mediatek MT8735,Up to 12 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"8.0 inches, 185.6 cm2(~70.2% screen-to-body ratio)","8 MP, f/2.8, AF",,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 5.1 (Lollipop),Black/Gray,,,334 g (11.78 oz),"800 x 1280 pixels, 16:10 ratio (~189 ppi density)"
,126 x 65 x 10.5 mm (4.96 x 2.56 x 0.41 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s4007.jpg,Li-Ion 1300 mAh battery,,verykool s4007 Leo IV,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 192 h (3G),0.47 W/kg (head)     0.51 W/kg (body),Accelerometer,,,,Mali-400,"2016, July. Released 2016, July",Dual-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"2 MP, f/2.8",IPS LCD,,Mediatek MT6572 (28 nm),Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1900,"4.0 inches, 45.5 cm2(~55.6% screen-to-body ratio)","5 MP, f/2.8",,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 4.4 (KitKat),"White, Black",,,113 g (3.99 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,166 x 85.3 x 9 mm (6.54 x 3.36 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s6005.jpg,"Li-Ion 3000 mAh, removable",,verykool s6005 Cyprus II,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 264 h (3G),0.26 W/kg (head)     0.53 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2016, July. Released 2016, July",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"8 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700(AWS) / 1900,"6.0 inches, 99.2 cm2(~70.1% screen-to-body ratio)","13 MP, f/2.4, AF",Asahi Dragontrail Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 6.0 (Marshmallow),Gray,,,165 g (5.82 oz),"720 x 1280 pixels, 16:9 ratio (~245 ppi density)"
,157.2 x 77.7 x 8.5 mm (6.19 x 3.06 x 0.33 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5530.jpg,Li-Ion 2800 mAh battery,,verykool s5530 Maverick II,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Accelerometer, proximity",,,,Mali-400MP2,"2016, June. Released 2016, June",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,LED flash,,"5 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.5 inches, 83.4 cm2(~68.3% screen-to-body ratio)","13 MP, f/2.4, 1/4.0"", 1.12µm, AF",Asahi Dragontrail Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 5.1 (Lollipop),Gray,,,156 g (5.50 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
,147.1 x 72 x 7.5 mm (5.79 x 2.83 x 0.30 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5030.jpg,Li-Ion 2200 mAh battery,,verykool s5030 Helix II,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Accelerometer, proximity",,,,Mali-400MP2,"2016, June. Released 2016, June",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,"Yes, dual speakers",Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,LED flash,,"5 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900 / 2100,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)","8 MP, f/2.8, AF",Asahi Dragontrail Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 5.1 (Lollipop),Black,,,132 g (4.66 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,143 x 71.1 x 7.5 mm (5.63 x 2.80 x 0.30 in),,,https://fdn2.gsmarena.com/vv/bigpic/verycool-spark-lte-sl5011.jpg,"Li-Po 2200 mAh, non-removable",,verykool SL5011 Spark LTE,,,microSDXC (dedicated slot) - single-SIM model,verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 264 h (3G),0.32 W/kg (head)     0.88 W/kg (body),"Accelerometer, proximity",,,,Mali-T720MP2,"2016, February. Released 2016, February",Quad-core 1.0 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,720p@30fps,No,,"2, 4, 5, 7, 17","Dual-LED flash, panorama",,LED flash,About 160 EUR,"8 MP, f/2.8, 1/3.2"", 1.4µm",IPS LCD,,Mediatek MT6735P (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"5.0 inches, 68.9 cm2(~67.8% screen-to-body ratio)","13 MP, f/2.2, 1/4.0"", 1.12µm, AF",Scratch-resistant glass,,"4.0, A2DP, LE",FM radio,microUSB 2.0,Discontinued,16GB 1GB RAM,,Android 5.1 (Lollipop),"Black/Silver, White/Gold",,,153 g (5.40 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,167.3 x 84 x 7.5 mm (6.59 x 3.31 x 0.30 in),,,https://fdn2.gsmarena.com/vv/bigpic/verycool-cyprus-lte-sl6010.jpg,"Li-Po 2500 mAh, non-removable",,verykool SL6010 Cyprus LTE,,,microSDXC (uses shared SIM slot),verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 288 h (3G),0.14 W/kg (head)     0.85 W/kg (body),"Accelerometer, proximity",,,,Mali-T720MP2,"2016, January. Released 2016, January",Quad-core 1.0 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,"Hybrid Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,"2, 4, 5, 7, 17","Dual-LED flash, panorama",,LED flash,About 190 EUR,"8 MP, f/2.2, 1/3.2"", 1.4µm",IPS LCD,,Mediatek MT6735P (28 nm),Up to 9 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"6.0 inches, 99.2 cm2(~70.6% screen-to-body ratio)","13 MP, f/2.0, 1/3.2"", 1.4µm, AF",Scratch-resistant glass,,"4.0, A2DP, LE",FM radio,microUSB 2.0,Discontinued,16GB 1GB RAM,,Android 5.1 (Lollipop),"Black, White",,,207 g (7.30 oz),"720 x 1280 pixels, 16:9 ratio (~245 ppi density)"
,143.5 x 72.5 x 7.9 mm (5.65 x 2.85 x 0.31 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5025.jpg,"Li-Ion 1950 mAh, non-removable",,verykool s5025 Helix,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.68 W/kg (head)     1.25 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2015, December. Released 2015, December",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,5 MP,IPS LCD,,Mediatek MT6580 (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)","13 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 5.1 (Lollipop),"Black, Blue",,,136 g (4.80 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,145 x 76.5 x 8.5 mm (5.71 x 3.01 x 0.33 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5020.jpg,"Li-Ion 3000 mAh, removable",,verykool s5020 Giant,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 360 h (3G),1.07 W/kg (head)     1.18 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2015, December. Released 2015, December",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,5 MP,IPS LCD,,Mediatek MT6580M (28 nm),Up to 11 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"5.0 inches, 68.9 cm2(~62.1% screen-to-body ratio)","8 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 5.1 (Lollipop),"Black, White",,,139 g (4.90 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,145 x 71.5 x 8.9 mm (5.71 x 2.81 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5001.jpg,Li-Ion 2000 mAh battery,,verykool s5001 Lotus,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.30 W/kg (head)     0.80 W/kg (body),Accelerometer,,,,Mali-400,"2015, December. Released 2015, December",Dual-core 1.0 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,480p,No,,,"LED flash, panorama",,,,1.3 MP,IPS LCD,,Mediatek MT6572M (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)",5 MP,,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 4.4 (KitKat),"Drak Blue, White",,,159 g (5.61 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,139.9 x 65.2 x 9 mm (5.51 x 2.57 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl4502.jpg,"Li-Ion 1800 mAh, removable",,verykool SL4502 Fusion II,,,microSDXC,verykool,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Up to 240 h (3G),0.67 W/kg (head)     0.89 W/kg (body),"Accelerometer, proximity",,,,Mali-T720MP2,"2015, December. Released 2015, December",Quad-core 1.0 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,"2, 4, 5, 7","LED flash, panorama",,,,5 MP,IPS LCD,,Mediatek MT6735M (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"4.5 inches, 55.8 cm2(~61.2% screen-to-body ratio)","8 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 5.1 (Lollipop),"Black, White",,,107 g (3.77 oz),"480 x 854 pixels, 16:9 ratio (~218 ppi density)"
,155 x 76.5 x 8.8 mm (6.10 x 3.01 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5550.jpg,"Li-Ion 2500 mAh, removable",,verykool SL5550 Maverick LTE,,,microSDXC,verykool,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Up to 288 h (3G),0.35 W/kg (head)     1.29 W/kg (body),"Accelerometer, proximity",,,,Mali-T720MP2,"2015, December. Released 2015, December",Quad-core 1.0 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 1900 / 900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,"1, 2, 4, 5, 7, 17","LED flash, panorama",,LED flash,,"8 MP, AF",IPS LCD,,Mediatek MT6735P (28 nm),Up to 9 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.5 inches, 83.4 cm2(~70.3% screen-to-body ratio)","13 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 1GB RAM,,Android 5.1 (Lollipop),"Black, White",,,166 g (5.86 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
