,Features,CPU,Stand-by,Alert types,Single_1,Loudspeaker,Bluetooth,Games,OS,Stand-by_1,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,Announced,Video_1,Technology,_1,Clock,Brand,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,_4,Sensors,Java
Navi key,,,Up to 12 days,Vibration; Downloadable polyphonic ringtones,,No,1.1,Yes,,,Predictive text inputOrganizerStopwatchVoice dialVoice commandUser profilesSyncMLExternal digital camera (included),,No,,Mini-SIM,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 1.2.1,"101 x 80 pixels, 7 lines",Up to 6 h,No,,Yes,,2002,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sis55.gif,,Siemens S55,"SMS, MMS, Email",,"CSTN, 256 colors","500 x 14 entries, 9 contact groups, Photo call",Class 10,"101 x 42 x 18 mm, 69 cc (3.98 x 1.65 x 0.71 in)",400 KB,,No,No,No,,,Removable Li-Ion 700 mAh battery (EBA-510),,,Yes
Dual screen displayNavi key,,,220 h,Downloadable monophonic ringtones,,No,No,Yes,,,Personalized sounds and pictures,Predictive text inputOrganizer,No,,Mini-SIM,,73 g (2.57 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"112 x 64 pixels, 16:9 ratio",5 h,No,,Yes,,"2002, Aug",,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sicl50.gif,,Siemens CL50,"SMS, EMS","2 - Champagne, Pearl white",Monochrome graphic,,No,"73 x 39 x 22 mm, 59 cc (2.87 x 1.54 x 0.87 in)",,,No,No,No,,,Removable Li-Ion 600 mAh battery,,,No
Navi key,,,250 h,"Vibration; Downloadable polyphonic, recorded ringtones",,No,No,"2 - The Prince of Persia, Galaxy Hero",,,Predictive text inputOrganizerChangeable coverUser profilesBuilt-in hadsfree,,No,,Mini-SIM,,80 g (2.82 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"101 x 64 pixels, 5 lines",6 h,No,20,Yes,,"2002, Sep",,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic55.gif,,Siemens C55,"SMS, EMS, Instant Messaging","3 - aqua, champagne, bordeaux",Monochrome graphic,yes,Class 8,"101 x 44 x 21 mm, 69 cc (3.98 x 1.73 x 0.83 in)",,,No,No,No,,,Removable Li-Ion 700 mAh battery (EBA-510),,,Yes
"SoftkeysDownloadable logos, screensavers",,,250 h,Vibration; Downloadable monophonic ringtones,,No,No,2,,,Predictive text inputExchangeable Clip-it covers,,No,,Mini-SIM,,95 g (3.35 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"101 x 64 pixels, 5 lines",5 h,No,,Yes,,"2002, Oct",,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sia50.gif,,Siemens A50,"SMS, EMS","2 blueberry, vanilla",Monochrome graphic,50,No,"109 x 46 x 23 mm, 84 cc (4.29 x 1.81 x 0.91 in)",,,No,No,No,,,Removable NiMH battery,,,No
Orange or blue backlightNavi key,,,260 h,Vibration; Downloadable monophonic ringtones,,No,No,Downloadable,,,Predictive text inputReminder listOrganizerChangeable coverUser profiles,,No,,Mini-SIM,,97 g (3.42 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"101 x 64 pixels, 5 lines",6 h,No,20,Yes,,"2002, June",,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sim50.gif,,Siemens M50,"SMS, EMS","2 - chromium blue, chromium orange",Monochrome graphic,50,Class 8,"109 x 46 x 23 mm, 82 cc (4.29 x 1.81 x 0.91 in)",,,No,No,No,,,Removable Li-Ion battery,,,Yes
Navi key,,,,"Vibration; Monophonic ringtones, composer",,No,No,Downloadable,,,Predictive text inputStopwatchOrganizerVoice dialVoice memoUser profiles,,No,,Mini-SIM,,93 g (3.28 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.2,"101 x 80 pixels, 7 lines",,No,20,Yes,,May 2002,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sis45i.gif,,Siemens S45i,"SMS, Email",2 - Titan Silver and Royal Champagne,Monochrome graphic,500 x 14 entries,Class 8,"109 x 46 x 20 mm, 69 cc (4.29 x 1.81 x 0.79 in)",,,No,No,No,,,Removable Li-Ion battery,,,No
57.6 mm x 76.8 mm0.24 mm pixel pitch,,64-bit NEC VR4122 150 MHz,Up to 150 h,Monophonic ringtones,,No,No,,Microsoft Windows CE 3.0 for PocketPC,,No,Full PocketPC functionalityMedia player (MP3),No,,Mini-SIM,,330 g (11.64 oz),,,Discontinued,No,Yes,,GSM 900 / 1800,"WAP 1.2, HTML","240 x 320 pixels, 4:3 ratio",Up to 2 h,No,,Yes,,2001,,GSM,Expandable through MMC or CF,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/six45.gif,,Siemens SX45,,,"TFT resistive touchscreen, 65K colors",,No,"134 x 87 x 26 mm, 309 cc (5.28 x 3.43 x 1.02 in)",32MB,,No,No,No,,,Removable Li-Ion 1550 mAh battery,,,
Navi keyDownloadable screensavers bitmaps,,,up to 200 h,"Vibration; Monophonic ringtones, composer",,No,No,Downloadable Java games,,up to 350 h,No,MP3 playerPredictive text inputOrganizerStopwatchReminder listVoice dialVoice memo (300 min)User profiles,No,,Mini-SIM,,88 g (3.10 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,up to 7 h,GSM 900 / 1800,WAP 1.1,"101 x 80 pixels, 7 lines (~86 ppi density)",up to 4 h,"MMC, 32 MB included",20,Yes,,2001,,GSM,100 SMS messages,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sisl45i.gif,"1.5 inches, 24 x 29 mm, 7.1 cm2(~14.6% screen-to-body ratio)",Siemens SL45i,SMS,,Monochrome graphic,"500, 14 fields each",No,"105 x 46 x 17 mm, 69 cc (4.13 x 1.81 x 0.67 in)",,,No,No,No,,,Removable Li-Ion 540 mAh battery,,,Yes
Navi key,,,up to 200 h,"Vibration; Monophonic ringtones, composer",,No,No,7,,up to 350 h,No,MP3 playerPredictive text inputOrganizerStopwatchReminder listVoice dialVoice memo (150 min)User profiles,No,,Mini-SIM,,88 g (3.10 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,up to 7 h,GSM 900 / 1800,WAP 1.1,"101 x 80 pixels, 7 lines (~86 ppi density)",up to 4 h,"MMC, 16 MB included",20,Yes,,2001,,GSM,100 SMS messages,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sisl42.gif,"1.5 inches, 24 x 29 mm, 7.1 cm2(~14.6% screen-to-body ratio)",Siemens SL42,SMS,,Monochrome graphic,"500, 14 fields each",No,"105 x 46 x 17 mm, 69 cc (4.13 x 1.81 x 0.67 in)",,,No,No,No,,,Removable Li-Ion 540 mAh battery,,,No
"Dust, shock and splash resistant",,,60 - 300 h,"Vibration; Downloadable monophonic ringtones, composer",,Yes,No,Yes,,,Flexible memory20 voice dial numbers10 voice commands,No,No,,Mini-SIM,,99 g (3.49 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.2,"101 x 80 pixels, 7 lines",100 - 300 min,No,,Yes,,2001,,GSM,Navi keyDownloadable screensavers and bitmaps,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sime45.gif,,Siemens ME45,SMS,2 - Pebble Grey and Safari Grey,Monochrome graphic,500 x 14 entries,Class 8,"109 x 46 x 21 mm, 76 cc (4.29 x 1.81 x 0.83 in)",,,No,No,No,,,Removable Li-Ion 840 mAh battery,OrganizerStopwatchVoice memo/dialPredictive text input,,No
Navi key,,,up to 300 h,"Vibration; Downloadable monophonic ringtones, composer",,No,No,Yes,,,Predictive text inputStopwatchOrganizerVoice dialVoice memoUser profiles,,No,,Mini-SIM,,93 g (3.28 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.2,"101 x 80 pixels, 7 lines",up to 6 h,No,20,Yes,,2001,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sis45.gif,,Siemens S45,SMS,"2 - diamond silver, sapphire blue",Monochrome graphic,500 x 14 fields,Class 8,"109 x 46 x 20 mm, 69 cc (4.29 x 1.81 x 0.79 in)",,,No,No,No,,,Removable Li-Ion 850 mAh battery,,,No
SoftkeysDownloadable logos and screensaver,,,up to 200 h,Vibration; Downloadable monophonic ringtones,,No,No,"3 - Stack Attack, Balloon Shooter, BattleMail",,,Predictive text inputOrganizerExchangeable Clip-it covers,,No,,Mini-SIM,,107 g (3.77 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2,"101 x 64 pixels, 5 lines",up to 5 h,No,20,Yes,,"2001, Q4",,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic45.gif,,Siemens C45,SMS,2 - Oriental Blue and African Grey,Monochrome graphic,50,No,"109 x 46 x 23 mm, 82 cc (4.29 x 1.81 x 0.91 in)",,,No,No,No,,,Removable NiMH battery,,,No
Navi key,,,60 - 170 h,"Vibration; Monophonic ringtones, composer",,No,No,7,,,No,MP3 playerPredictive text inputVoice memo (300 min)OrganizerStopwatchVoice dialComes with headset and datacableUser profiles,No,,Mini-SIM,,88 g (3.10 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.1,"101 x 80 pixels, 7 lines (~86 ppi density)",1 - 4 h,"MMC, 32 MB included",20,Yes,,2000,,GSM,100 SMS messages,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sisl45b.gif,"1.5 inches, 24 x 29 mm, 7.1 cm2(~14.6% screen-to-body ratio)",Siemens SL45,SMS,,Monochrome graphic,"500, 14 fields each",No,"105 x 46 x 17 mm, 69 cc (4.13 x 1.81 x 0.67 in)",,,No,No,No,,,Removable Li-Ion 540 mAh battery,,,No
SoftkeysBlue backlight,,,260 h,"Vibration; Monophonic ringtones, composer",,No,No,No,,,No,Predictive text inputOrganizerVoice memo (5 min)Data cable included,No,,Mini-SIM,,97 g (3.42 oz),,"10 dialed, 10 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 1.1,6 lines,380 min,No,,Yes,,2001,,GSM,Advanced fully featured address book,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sis40.gif,,Siemens S40,SMS,Silver only,Monochrome graphic,1000,No,"112 x 44 x 22 mm, 85 cc (4.41 x 1.73 x 0.87 in)",,,No,No,No,,,Removable Li-Ion battery,,,No
Fixed iconsSoftkey,,,60 h - 220 h,"Vibration; Monophonic ringtones, composer",,No,No,"4 - Wayout, Reversi, Quattropoli, Minesweeper",,,Predictive text inputOrganizerStopwatchVoice dialVoice memo (20 sec)User profiles,,No,,Mini-SIM,,99 g (3.49 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.1,"101 x 80 pixels, 7 lines",100 min - 360 min,No,20,Yes,,2000,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sis35ib.gif,,Siemens S35i,SMS,"3 - Emerald/Black, Titanium/Black, Titanium/Silver",Monochrome graphic,100,No,"118 x 46 x 21 mm, 89 cc (4.65 x 1.81 x 0.83 in)",,,No,No,No,,,Removable Li-Ion 650 mAh battery,,,No
Fixed iconsSoftkey,,,50 h - 180 h,"Vibration; Monophonic ringtones, composer",,No,No,"4 - Wayout, Reversi, Quattropoli, Minesweeper",,,DJ sounds,Predictive text inputOrganizerStopwatch,No,,Mini-SIM,,125 g (4.41 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.1,"101 x 54 pixels, 5 lines, 17:9 ratio",90 min - 300 min,No,20,Yes,,2000,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sim35ib.gif,,Siemens M35i,SMS,"3 - Hurricane Yellow, Half Pipe Blue, Summit Grey",Monochrome graphic,100,No,"118 x 47 x 22 mm, 99 cc (4.65 x 1.85 x 0.87 in)",,,No,No,No,,,Removable NiMH 500 mAh battery,,,No
Fixed iconsSoftkey,,,50 h - 180 h,"Vibration; Monophonic ringtones, composer",,No,No,"4 - Wayout, Reversi, Quattropoli, Minesweeper",,,DJ sounds,Predictive text inputCurrency converterCalculatorStopwatch,No,,Mini-SIM,,110 g (3.88 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.1,"101 x 54 pixels, 5 lines, 17:9 ratio",90 min - 300 min,No,20,Yes,,2000,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic35ib.gif,,Siemens C35i,SMS,"7 -  Anthracite, Steel Grey, Classic blue ...",Monochrome graphic,100,No,"118 x 46 x 21 mm, 88 cc (4.65 x 1.81 x 0.83 in)",,,No,No,No,,,Removable NiMH 500 mAh battery,,,No
Fixed iconsSoftkey,,,50 h - 180 h,"Vibration; Monophonic ringtones, composer",,No,No,"4 - Wayout, Reversi, Quattropoli, Minesweeper",,,DJ sounds,Predictive text inputCurrency converterCalculatorStopwatch,No,,Mini-SIM,,110 g (3.88 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,"101 x 54 pixels, 5 lines, 17:9 ratio",90 min - 300 min,No,20,Yes,,2000,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic35b.gif,,Siemens C35,SMS,"7 -  Anthracite, Steel Grey, Classic blue ...",Monochrome graphic,20,No,"118 x 46 x 21 mm, 88 cc (4.65 x 1.81 x 0.83 in)",,,No,No,No,,,Removable NiMH 500 mAh battery,,,No
Dedicated icon-line,,,60 h - 150 h,Vibration; Monophonic ringtones,,No,No,No,,,Exchangeable covers,,No,,Mini-SIM,,122 g (4.30 oz),,"10 dialed, 0 received, 5 missed calls",Discontinued,No,,,GSM 900 / 1800,,2 x 16 chars,90 min - 240 min,No,20,No,,2001,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sia40.gif,,Siemens A40,SMS,"7 - Royal Blue, Anthracite, Raspberry Red...",Alphanumeric,SIM only,No,"118 x 46 x 27 mm, 106 cc (4.65 x 1.81 x 1.06 in)",,,No,No,No,,,Removable NiMH 600 mAh battery,,,No
No,,,60 h - 150 h,Monophonic ringtones,,No,No,No,,,,,No,,Mini-SIM,,120 g (4.23 oz),,"10 dialed, 0 received, 5 missed calls",Discontinued,No,,,GSM 900 / 1800,,3 x 12 chars,90 min - 240 min,No,20,No,,2000,,GSM,,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sia36.gif,,Siemens A36,SMS,,Alphanumeric,SIM only,No,118 x 46 x 21 mm (4.65 x 1.81 x 0.83 in),,,No,No,No,,,Removable NiMH 600 mAh battery,,,No
No,,,up to 150 h,Monophonic ringtones,,No,No,No,,,,,No,,Mini-SIM,,122 g (4.30 oz),,10 dialed and 5 missed calls,Discontinued,No,,,GSM 900 / 1800,,2 lines x 16 chars,up to 4 h,No,25,No,,2000,,GSM,,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sia35.gif,,Siemens A35,SMS,"7 - caribic blue, pineapple, magma red, moon white, anthracite, oriental blue, aubergine",Alphanumeric,SIM only,No,118 x 46 x 28 mm (4.65 x 1.81 x 1.10 in),,,No,No,No,,,Removable NiMH 600 mAh battery,,,No
Dynamic font sizeSoftkey,,,60 h - 200 h,Vibration; Monophonic ringtones,,No,No,3,,,Voice memo (20 sec)Organizere-business cardHelp function,,No,,Mini-SIM,,125 g (4.41 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,"97 x 54 pixels, 6 lines, 16:9 ratio",300 min,No,20,Yes,,1999,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sis25b.gif,,Siemens S25,SMS,Mid-Silver Grey (Titanium) / Blue Metallic / Dark Grey / Green Metallic,Color graphic,50,No,"117 x 47 x 23 mm, 108 cc (4.61 x 1.85 x 0.91 in)",,,No,No,No,,,Removable Li-Ion 650 mAh battery,,,No
Red backlightFixed iconsSoftkey,,,Up to 180 hours,Monophonic ringtones,,No,No,Yes,,,,,No,,Mini-SIM,,110 g (3.88 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,2 x 12 chars,Up to 6 hours,No,,No,,2000,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sim30.gif,,Siemens M30,SMS,,Alphanumeric,,No,"124 x 44 x 24 mm, 99 cc (4.88 x 1.73 x 0.94 in)",,,No,No,No,,,Removable NiMH battery,,,No
Fixed iconsSoftkey,,,160 h,"Monophonic ringtones, composer",,No,No,No,,,DJ sounds1 self-composable ringer tone,,No,,Mini-SIM,,135 g (4.76 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,3 x 12 chars,300 min,No,20,No,,2000,,GSM,No,No,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic28.gif,,Siemens C28,SMS,,Alphanumeric,8,No,"117 x 47 x 27 mm, 120 cc (4.61 x 1.85 x 1.06 in)",,,No,No,No,,,Removable NiMH 650 mAh battery,,,No
Fixed iconsSoftkey,,,160 h,"Monophonic ringtones, composer",,No,No,No,,,DJ sounds1 self-composable ringer tone,,No,,Mini-SIM,,135 g (4.76 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,3 x 12 chars,300 min,No,20,No,,1999,,GSM,No,No,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic25b.gif,,Siemens C25,SMS,"5 - Classic Green, Blue, Anthracite, Bright Blue, Yellow",Alphanumeric,8,No,"117 x 47 x 27 mm, 120 cc (4.61 x 1.85 x 1.06 in)",,,No,No,No,,,Removable NiMH 650 mAh battery,,,No
Dynamic font sizeSoftkey,,,46 h,Monophonic ringtones,,No,No,No,,,ProSLIDE systemHelp function,,No,,Mini-SIM,,138 g (4.87 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900,,"97 x 54 pixels, 6 lines, 16:9 ratio",3 h,No,20,Yes,,1999,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sisl10b.gif,,Siemens SL10,SMS,Anthracite,Color graphic,50,No,"129 x 50 x 26 mm, 121 cc (5.08 x 1.97 x 1.02 in)",,,No,No,No,,,Removable Li-Ion battery,,,No
Dynamic font sizeSoftkey,,,120 h,Monophonic ringtones,,No,No,No,,,Voice memo (20 sec)Help function,,No,,Mini-SIM,,185 g (6.53 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900,,"97 x 54 pixels, 6 lines, 16:9 ratio",10 h,No,20,Yes,,1998,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sis10ab.gif,,Siemens S10 active,SMS,"3 - Green, Grey, Red",Color graphic,50,No,"150 x 49 x 25 mm, 170 cc (5.91 x 1.93 x 0.98 in)",,,No,No,No,,,Removable Li-Ion 1800 mAh battery,,,No
Dynamic font sizeSoftkey,,,120 h,Monophonic ringtones,,No,No,No,,,Voice memo (20 sec)Help function,,No,,Mini-SIM,,185 g (6.53 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900,,"97 x 54 pixels, 6 lines, 16:9 ratio",10 h,No,20,Yes,,1998,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sis10b.gif,,Siemens S10,SMS,Anthracite,Color graphic,50,No,"147 x 46 x 25 mm, 160 cc (5.79 x 1.81 x 0.98 in)",,,No,No,No,,,Removable Li-Ion 1800 mAh battery,,,No
Dynamic font sizeSoftkey,,,120 h,Monophonic ringtones,,No,No,No,,,Voice memo (20 sec)Help function,,No,,Mini-SIM,,185 g (6.53 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 1800,,"97 x 54 pixels, 6 lines, 16:9 ratio",10 h,No,20,Yes,,1998,,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sis11b.gif,,Siemens S11,SMS,Anthracite,Color graphic,50,No,"147 x 46 x 25 mm, 160 cc (5.79 x 1.81 x 0.98 in)",,,No,No,No,,,Removable Li-Ion 1800 mAh battery,,,No
Fixed iconsSoftkey,,,80 h,Monophonic ringtones,,No,No,No,,,,,No,,Mini-SIM,,165 g (5.82 oz),,"5 dialed, 4 received, 4 missed calls",Discontinued,No,,,GSM 900,,3 x 12 chars,5 h,No,20,No,,1998,,GSM,No,No,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic10b.gif,,Siemens C10,SMS,"3 - blue, red, grey",Alphanumeric,50,No,"137 x 55 x 22 mm, 149 cc (5.39 x 2.17 x 0.87 in)",,,No,No,No,,,Removable NiMH 700 mAh battery,,,No
Fixed iconsSoftkey,,,80 h,Monophonic ringtones,,No,No,No,,,,,No,,Mini-SIM,,165 g (5.82 oz),,"5 dialed, 4 received, 4 missed calls",Discontinued,No,,,GSM 1800,,3 x 12 chars,5 h,No,20,No,,1998,,GSM,No,No,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic11b.gif,,Siemens C11,SMS,"3 - blue, red, grey",Alphanumeric,50,No,"137 x 55 x 22 mm, 149 cc (5.39 x 2.17 x 0.87 in)",,,No,No,No,,,Removable NiMH 700 mAh battery,,,No
