,Features,CPU,Stand-by,Alert types,Single_1,Loudspeaker,Bluetooth,Games,OS,Stand-by_1,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,Announced,Video_1,Technology,_1,Clock,Brand,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,_4,Sensors,Java
Screensaver,,,Up to 290 h,Vibration; Downloadable polyphonic ringtones,,No,No,No,,,Predictive text inputOrganizerVoice dial,,No,,Mini-SIM,,67 g (2.36 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,101 x 80 pixels,Up to 4 h,No,,,,"2003, Q4",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sixel8.gif,,Siemens Xelibri 8,"SMS, EMS",Diamond pink and Silver glam,"CSTN, 4096 colors",Yes,No,91 x 56 x 23 mm (3.58 x 2.20 x 0.91 in),,,No,No,FM radio,,,Removable Li-Ion battery,,,No
Screensaver,,,Up to 290 h,Vibration; Downloadable polyphonic ringtones,,No,No,Yes,,,Predictive text inputVoice dialOrganizer,,No,,Mini-SIM,,83 g (2.93 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,101 x 80 pixels,Up to 4 h,No,,,,"2003, Q4",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sixel7.gif,,Siemens Xelibri 7,"SMS, EMS",Copper Polished and Midnight Blue,"CSTN, 4096 colors",Yes,No,105 x 46 x 26 mm (4.13 x 1.81 x 1.02 in),,,No,No,No,,,Removable Li-Ion battery,,,No
Round keypad designTwo integrated mirrors flat and magnifyingScreensaver,,,Up to 290 h,Vibration; Downloadable polyphonic ringtones,,No,No,Downloadable,,,Predictive text inputOrganizerVoice dial,,No,,Mini-SIM,,89 g (3.14 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,101 x 80 pixels,Up to 4 h,No,Major European and Asian languages,,,"2003, Q4",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sixel6.gif,,Siemens Xelibri 6,"SMS, EMS",Platinum Blush and Sheer Bronze,"FSTN, 4096 colors",Yes,No,"84 x 75 x 26 mm, 101 cc (3.31 x 2.95 x 1.02 in)",,,No,No,No,,,Removable Li-Ion battery,,,No
Screensaver,,,Up to 390 h,Vibration; Downloadable polyphonic ringtones,,No,No,2,,,Predictive text inputOrganizerVoice dial,,No,,Mini-SIM,,74 g (2.61 oz),,Yes,Discontinued,No,,,GSM 900 / 1800,,"101 x 80 pixels, 5 lines",Up to 5 h 40 min,No,,,,"2003, Q4",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sixel5.gif,,Siemens Xelibri 5,"SMS, EMS",Ultra Blue and Mercury,"FSTN, 4096 colors",Yes,No,"87 x 52 x 17 mm, 58 cc (3.43 x 2.05 x 0.67 in)",,,No,No,No,,,Removable Li-Ion battery,,,No
Screensavers,,,Up to 250 h,Vibration; Downloadable polyphonic ringtones,Yes,No,Yes,Satin green,,,MP3/MP4 playerOrganizerSync MLPredictive text inputVoice dial,,No,,Mini-SIM,2 cameras VGA,140 g (4.94 oz),,Yes,Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels,Up to 1h 50 min,No,,,"Yes, 384 kbps","2003, Q4",,GSM / UMTS,64 MB flash memory included,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siu15.gif,,Siemens U15,"SMS, EMS, MMS, Email",,"TFT, 65K colors",500 entries,,"136 x 53 x 24 mm, 140 cc (5.35 x 2.09 x 0.94 in)",,Proprietary,,No,No,UMTS 2100,Yes,Removable Li-Po 800 mAh battery (EBA-010),,,Yes
Navi key,,,Up to 250 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,"2 - Achevo, Falling",,,No,Predictive text inputOrganizerVoice memoOptional digital camera (VGA 640 x 480),No,,Mini-SIM,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 1.2.1,"128 x 128 pixels, 7 lines, 1:1 ratio",Up to 4 h 30 min,No,,,,"2003, Q4",,GSM,600 KB memory free100 short messages100 calendar eventsMessage templates30 sec voice memo,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic62.gif,,Siemens C62,"SMS, EMS, MMS, Email","3 -  Eagle White, Pidgeon Blue and Cherry Red","CSTN, 4096 colors","50 x 4 fields, 4 contact groups",Class 8,"101 x 44 x 20 mm, 82 cc (3.98 x 1.73 x 0.79 in)",1.6MB,,No,No,No,,,Removable Li-Ion 630 mAh battery (EBA-610),,,No
Navi keyScreensaver,,,Up to 260 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,"2 - StackAttack , Mosaic",,,Predictive text inputStopwatchCalculatorExchangeable Clip-it covers,,No,,Mini-SIM,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 1.2.1,"101 x 80 pixels, 7 lines",Up to 2 h,No,,,,"2003, Q4",,GSM,No,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sia60.gif,,Siemens A60,"SMS, EMS",Stone,"CSTN, 4096 colors","100 x 2 fields, contact groups",Class 8,"110 x 47 x 23 mm, 91 cc (4.33 x 1.85 x 0.91 in)",550 KB,,No,No,No,,,Removable Li-Ion 700 mAh battery (EBA-510),,,No
Unique keypad arrangement,,120 MHz ARM9,Up to 300 h,Vibration; Downloadable polyphonic ringtones,,No,1.1,,"Symbian 6.1, Series 60 v1.0 UI",,No,Loud speaker,No,,Mini-SIM,VGA,116 g (4.09 oz),TI OMAP 310,,Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels (~128 ppi density),Up to 4 h,MMC,,Yes,,"2003, Q3",,GSM,4 MB available,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sisx1.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2(~25.0% screen-to-body ratio)",Siemens SX1,,Ice blue,"TFD, 65K colors",,Class 10,"109 x 56 x 19 mm, 110 cc (4.29 x 2.20 x 0.75 in)",16MB,Proprietary,No,No,FM radio,,Yes,Removable Li-Ion 1000 mAh battery (EBA-540),MP3 player/recorderPredictive text inputOrganizerUser profilesSyncML,,
5-way navi key,,,Up to 140 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,"3 - Wacko, Toggle, Tetris + Java",,,No,Predictive text inputOrganizerUser profilesSyncML,No,,Mini-SIM,VGA,87 g (3.07 oz),,"10 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 2.0/xHTML,"120 x 160 pixels, 7 lines, 4:3 ratio",Up to 4 h 30 min,No,,Yes,,"2003, Q3",,GSM,1.2 MB for photos1.3 MB for MMS1.1 MB for email messages100 short messages,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sist55.gif,,Siemens ST55,"SMS, EMS, MMS, Email",,"TFT, 65K colors",255 x 15 entries,Class 10,99 x 47 x 22 mm (3.90 x 1.85 x 0.87 in),,,No,No,No,,No,Removable Li-Ion 750 mAh battery (EBA-595),,,No
Navi key,,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,No,Yes,,,No,Predictive text inputOrganizerStopwatchVoice command/dialUser profilesExchangeable covers,No,,Mini-SIM,CIF,86 g (3.03 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 1.2.1,"101 x 80 pixels, 7 lines",Up to 6 h,No,,Yes,,"2003, Q3",,GSM,10 voice dial commands20 voice dial numbers500 calendar items,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/simc60.gif,,Siemens MC60,"SMS, EMS, MMS, Email","3 - Aquamarine, Titanium and Grenadine","CSTN, 4096 colors","50 x 14 fields, 5 contact groups",Class 8,"110 x 46 x 21 mm, 88 cc (4.33 x 1.81 x 0.83 in)",1MB,,No,No,No,,No,Removable Li-Ion 700 mAh battery (EBA-510),,,Yes
