,Single_1,Alert types,OS,Stand-by_1,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,Display,128GB 8GB RAM,Browser,Talk time,Alarm,Clock,_7,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,Price,_3,Dual,Single,Talk time_1,2G bands,Resolution,Announced,Technology,_1,SAR,_6,_8,GPU,Battery (new),Model Image,Size,Model Name,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,SAR EU,_2,_9,SIM,Triple,Infrared port,Battery (old),Card slot,Protection,Messaging,Dimensions,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,Games,Quad,Weight,WLAN,Video,Speed,Build,NFC,_5,Brand,256GB 12GB RAM,Audio quality,Colors,Type,Performance,3G bands,Video_1,_4,Sensors
"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 34, 38, 39, 40, 41, 46, 66 - Asia",,,"Android 14, up to 3 major Android upgrades",,Yes,-24.3 LUFS (Very good),Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),,"Available. Released 2024, June 03",HDR,1310 nits max brightness (measured),,,,,,,,,,,No,"30W wired, PD3.0, PPS, 50% in 30 min15W wirelessReverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66 - Europe",,,"€ 1,195.00 / $ 957.00 / £ 902.21",UFS 4.0,,"12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.22µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","2024, May 15",GSM / HSPA / LTE / 5G,"1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78, 79 SA/NSA/Sub6 - Asia",,,,Adreno 750,Active use score 17:27h,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-vi-red.jpg,"6.5 inches, 103.7 cm2(~86.5% screen-to-body ratio)",Sony Xperia 1 VI,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 75, 77, 78 SA/NSA/Sub6 - Europe","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,5000 mAh,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking",Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),,IP65/IP68 dust/water resistant (up to 1.5m for 30 min),,Nano-SIM +eSIMNano-SIM + Nano-SIM,"48 MP, f/1.9, 24mm (wide), 1/1.35"", 1.12µm, dual pixel PDAF, OIS12 MP, f/2.3, 85mm (telephoto), f/3.5, 170mm (telephoto), 1/3.5"", 1.0µm, dual pixel PDAF, 3.5x-7.1x continuous optical zoom, OIS, 4cm macro @ 120mm, no AF12 MP, f/2.2, 16mm, 123˚ (ultrawide), 1/2.5"", 1.4µm, dual pixel PDAF",,,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus 2,,162 x 74 x 8.2 mm (6.38 x 2.91 x 0.32 in),"256GB 12GB RAM, 512GB 12GB RAM","USB Type-C 3.2, OTG, video output","XQEC54EUKCB.GC, XQEC54EUKCG.GC, XQEC54EUKCS.GC, XQ-EC72","€ 1,653.31","Yes, with stereo speakers","5.4, A2DP, LE Audio, aptX HD, aptX Adaptive, aptX Lossless",,,192 g (6.77 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct, DLNA","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","HSPA, LTE, 5G","Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus), aluminum frame",Yes,Native Sony Alpha camera support,Sony,"€ 1,195.00",,"Black, Platinum silver, Khaki green, Scar red","LTPO OLED, 1B colors, 120Hz, HDR BT.2020",AnTuTu: 1612156 (v10)GeekBench: 6119 (v6)3DMark: 4731 (Wild Life Extreme),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30/60fps, 1080p@30/60fps, 5-axis gyro-EIS",24-bit/192kHz Hi-Res & Hi-Res wireless audioDynamic vibration systemSnapdragon Sound,"Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass"
IP65/IP68 dust/water resistant (up to 1.5m for 30 min),,,"Android 14, up to 3 major Android upgrades",,Yes,-27.1 LUFS (Good),Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),,"Available. Released 2024, June 13",HDR,1010 nits max brightness (measured),€ 261.58,,,,,,,,,,No,"Wired, PD, QC","1, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41",,,€ 261.58 / $ 360.50 / £ 253.00,24-bit/192kHz Hi-Res & Hi-Res wireless audio,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm","8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","2024, May 15",GSM / HSPA / LTE / 5G,Triluminos display,,,,Adreno 710,Active use score 13:56h,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-vi.jpg,"6.1 inches, 86.9 cm2(~82.5% screen-to-body ratio)",Sony Xperia 10 VI,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),,UFS,,Nano-SIM +eSIMNano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus,,155 x 68 x 8.3 mm (6.10 x 2.68 x 0.33 in),128GB 8GB RAM,"USB Type-C 2.0, OTG","XQ-ES72, XQ-ES72/L2TWCX0, XQ-ES72/B2TWCX0, XQ-ES72/W2TWCX0",,"Yes, with stereo speakers","5.2, A2DP, LE, aptX HD, aptX Adaptive",,,164 g (5.78 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","HSPA, LTE, 5G","Glass front (Gorilla Glass Victus), plastic frame, plastic back",Yes,,Sony,,,"Blue, Black, White","OLED, 1B colors, HDR","AnTuTu: 490025 (v9), 559136 (v10)GeekBench: 2769 (v5), 2765 (v6)3DMark: 613 (Wild Life Extreme)",HSDPA 850 / 900 / 1700(AWS) / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 34, 38, 39, 40, 41, 46, 66 - Asia",,,"Android 13, upgradable to Android 15",,Yes,-26.3 LUFS (Good),Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),,"Available. Released 2023, September 25",HDR,746 nits max brightness (measured),€ 686.69,,,,,,$ 758.00,,,,No,"30W wired, PD3.0, PPS, 50% in 30 minWirelessReverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66 - Europe",Photo/Video,,€ 686.69 / $ 758.00 / £ 494.50,UFS,"48 MP, f/1.9, 24mm (wide), 1/1.35"", 1.12µm, dual pixel PDAF, OIS12 MP, f/2.2, 16mm (ultrawide), 1/2.5"", dual pixel PDAF","12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","2023, September 01",GSM / HSPA / LTE / 5G,"1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78, 79 SA/NSA - Asia",,,,Adreno 740,Active use score 16:19h,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-v-new.jpg,"6.1 inches, 86.9 cm2(~83.0% screen-to-body ratio)",Sony Xperia 5 V,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - Europe","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,Li-Po 5000 mAh,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking",Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,IP65/IP68 dust/water resistant (up to 1.5m for 30 min),,Nano-SIM +eSIMNano-SIM + Nano-SIM,,,Endurance rating 130h,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus 2,,154 x 68 x 8.6 mm (6.06 x 2.68 x 0.34 in),"128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 3.2, OTG, DisplayPort",XQ-DE54,,"Yes, with stereo speakers","5.3, A2DP, LE Audio, aptX HD, aptX Adaptive",,,182 g (6.42 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct, DLNA","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","HSPA, LTE, 5G","Glass front (Gorilla Glass Victus 2), glass back, aluminum frame",Yes,Native Sony Alpha camera support,Sony,,,"Black, Blue, Platinum Silver","OLED, 1B colors, 120Hz, HDR10, BT.2020","AnTuTu: 946039 (v9), 1117716 (v10)GeekBench: 4546 (v5.5), 5059 (v6.0)GFXBench: 99fps (ES 3.1 onscreen)",HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30/60fps, 5-axis gyro-EIS",24-bit/192kHz Hi-Res audioDynamic vibration system,"Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass"
"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 46, 48, 66, 71 - USA",,,"Android 13, upgradable to Android 15",,Yes,-25.4 LUFS (Very good),Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),,"Available. Released 2023, July 28",HDR,936 nits max brightness (measured),,,,,,Native Sony Alpha camera support,,,,,No,"30W wired, PD3.0, PPS, 50% in 30 minWirelessReverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66 - Europe",Photo/Video,,"€ 1,050.00 / $ 839.99 / £ 569.00","1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78, 79 SA/NSA/Sub6 - Asia",,"12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm",,GSM 850 / 900 / 1800 / 1900,"1644 x 3840 pixels, 21:9 ratio (~643 ppi density)","2023, May 11",GSM / HSPA / LTE / 5G,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 34, 38, 39, 40, 41, 46, 66 - Asia",,24-bit/192kHz Hi-Res audioDynamic vibration systemSnapdragon Sound,,Adreno 740,Active use score 12:24h,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-v.jpg,"6.5 inches, 98.6 cm2(~84.2% screen-to-body ratio)",Sony Xperia 1 V,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6 - Europe","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,Li-Po 5000 mAh,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking",Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),,"1, 2, 3, 5, 7, 8, 20, 25, 28, 30, 38, 40, 41, 66, 71, 77, 78 SA/NSA/Sub6 - USA",,Nano-SIM +eSIMNano-SIM + Nano-SIM,"48 MP, f/1.9, 24mm (wide), 1/1.35"", 1.12µm, dual pixel PDAF, OIS12 MP, f/2.3, 85mm (telephoto), f/2.8, 125mm (telephoto), 1/3.5"", dual pixel PDAF, 3.5x-5.2x continuous optical zoom, OIS12 MP, f/2.2, 16mm (ultrawide), 1/2.5"", dual pixel PDAF",,Endurance rating 115h,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus 2,,165 x 71 x 8.3 mm (6.50 x 2.80 x 0.33 in),"256GB 12GB RAM, 512GB 12GB RAM","USB Type-C 3.2, OTG, video output","XQDQ62/B, XQ-DQ72, XQ-DQ54",$ 999.00,"Yes, with stereo speakers","5.3, A2DP, LE Audio, aptX HD, aptX Adaptive, aptX Lossless",,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct, DLNA","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","HSPA, LTE, 5G","Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus), aluminum frame",Yes,UFS 4.0,Sony,"€ 1,050.00",,"Black, Khaki Green, Platinum Silver","OLED, 1B colors, 120Hz, HDR BT.2020",AnTuTu: 1127931 (v9)GeekBench: 4916 (v6)GFXBench: 96fps (ES 3.1 onscreen),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30/60fps, 1080p@30/60fps, 5-axis gyro-EIS",IP65/IP68 dust/water resistant (up to 1.5m for 30 min),"Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass"
IP65/IP68 dust/water resistant (up to 1.5m for 30 min),,,"Android 13, upgradable to Android 14",,Yes,-27.4 LUFS (Good),Qualcomm SM6375 Snapdragon 695 5G (6 nm),,"Available. Released 2023, June 21",HDR,947 nits max brightness (measured),$ 349.99,,,,,,,,,,No,"Wired, PD, QC","1, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41",Photo/Video,,€ 318.31 / $ 349.99 / £ 253.05,24-bit/192kHz Hi-Res audio,,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","2023, May 11",GSM / HSPA / LTE / 5G,Triluminos display,,,,Adreno 619,Active use score 16:14h,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-v-10.jpg,"6.1 inches, 86.9 cm2(~82.5% screen-to-body ratio)",Sony Xperia 10 V,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",€ 318.31,Li-Po 5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),,UFS,,Nano-SIM +eSIMNano-SIM + Nano-SIM,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS8 MP, f/2.2, 54mm (telephoto), 1/4.4"", 1.0µm, PDAF, 2x optical zoom8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm",,Endurance rating 175h,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus,,155 x 68 x 8.3 mm (6.10 x 2.68 x 0.33 in),"128GB 6GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG","XQ-DC72, XQ-DC54",,"Yes, with stereo speakers","5.1, A2DP, LE, aptX HD, aptX Adaptive",,,159 g (5.61 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,"HSPA, LTE, 5G","Glass front (Gorilla Glass Victus), plastic frame, plastic back",Yes,,Sony,,,"Black, White, Sage Green, Lavender","OLED, 1B colors, HDR","AnTuTu: 357142 (v9)GeekBench: 1897 (v5.5), 2067 (v6)GFXBench: 16fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 1700(AWS) / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 48, 66, 71 - USA",,,"Android 12, upgradable to Android 13",,Yes,-26.9 LUFS (Good),Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),,"Available. Released 2022, September 22",HDR,979 nits max brightness (measured),€ 729.99,,,,,Native Sony Alpha camera support,$ 499.99,,,,No,"Wired, PD3.0, 50% in 30 minWirelessReverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66 - Europe",Photo/Video,,€ 729.99 / $ 499.99 / £ 529.00,"1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78, 79 SA/NSA/Sub6 - Asia",,"12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","2022, September 01",GSM / HSPA / LTE / 5G,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 34, 38, 39, 40, 41, 46, 66 - Asia",,24-bit/192kHz Hi-Res audioDynamic vibration systemSnapdragon Sound,,Adreno 730,,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-iv-ofic.jpg,"6.1 inches, 86.9 cm2(~83.2% screen-to-body ratio)",Sony Xperia 5 IV,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6 - Europe","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,Li-Po 5000 mAh,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking",Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 71, 77, 78 SA/NSA/Sub6 - USA",,Nano-SIM +eSIMNano-SIM + Nano-SIM,"12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, dual pixel PDAF, OIS12 MP, f/2.4, 60mm (telephoto), 1/3.5"", dual pixel PDAF, OIS12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.5"", dual pixel PDAF",,Endurance rating 116h,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus,,156 x 67 x 8.2 mm (6.14 x 2.64 x 0.32 in),"128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 3.2, OTG, video output","XQCQ62B-GC, XQCQ62G.GC, XQ-CQ72/B2TWCX0, XQ-CQ72/C2TWCX0, XQ-CQ72/G2TWCX0, XQCQ54C0B.YD, XQCQ54C0G.YD, XQCQ54C0C.YD, XQ-CQ54, XQ-CQ72",,"Yes, with stereo speakers","5.2, A2DP, LE, aptX HD, aptX Adaptive",,,172 g (6.07 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct, DLNA","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","HSPA, LTE, 5G","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",Yes,UFS 3.X,Sony,,,"Green, Black, Ecru White","OLED, 1B colors, 120Hz, HDR BT.2020",AnTuTu: 835038 (v9)GeekBench: 3448 (v5.1)GFXBench: 63fps (ES 3.1 onscreen),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30/60fps, 5-axis gyro-EIS",IP65/IP68 dust/water resistant (up to 1.5m for 30 min),"Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass"
"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 48, 66, 71 - USA",,,"Android 12, upgradable to Android 13",,Yes,-27.6 LUFS (Good),Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),,"Available. Released 2022, June 11",HDR,602 nits max brightness (measured),,,,,,24-bit/192kHz Hi-Res audioDynamic vibration systemSnapdragon Sound,,,,,No,"30W wired, PD3.0, PPS, 50% in 30 minWirelessReverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66 - Europe",Photo/Video,,€ 540.13 / $ 639.00 / £ 635.00,"1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78, 79 SA/NSA/Sub6 - Asia",,"12 MP, f/2.0, 24mm (wide), 1/2.9"", 1.25µm",,GSM 850 / 900 / 1800 / 1900,"1644 x 3840 pixels, 21:9 ratio (~643 ppi density)","2022, May 11",GSM / HSPA / LTE / 5G,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 34, 38, 39, 40, 41, 46, 66 - Asia",,UFS,Native Sony Alpha camera support,Adreno 730,,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iv-.jpg,"6.5 inches, 98.6 cm2(~84.2% screen-to-body ratio)",Sony Xperia 1 IV,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6 - Europe","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,Li-Po 5000 mAh,,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking",Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 71, 77, 78, 260, 261 SA/NSA/Sub6/mmWave - USA",,Nano-SIM +eSIMNano-SIM + Nano-SIM,"12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, dual pixel PDAF, OIS12 MP, f/2.3, 85mm (telephoto), f/2.8, 125mm (telephoto), 1/3.5"", dual pixel PDAF, 3.5x-5.2x continuous optical zoom, OIS12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.5"", dual pixel PDAF0.3 MP, TOF 3D, (depth)",,Endurance rating 100h,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus,,165 x 71 x 8.2 mm (6.50 x 2.80 x 0.32 in),"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","USB Type-C 3.2, OTG, video output","XQCT62-B, XQCT54, XQCT54C0V.YD, XQCT54C0B.YD, XQCT54C0W.YD, XQCT54C0V.EEAC, XQCT54C0B.EEAC, XQ-CT72, XQ-CT54, XQ-CT62",$ 649.00,"Yes, with stereo speakers","5.2, A2DP, LE Audio, aptX HD, aptX Adaptive",,,185 g (6.53 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (region dependent), Wi-Fi Direct, DLNA","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","HSPA, LTE, 5G","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",Yes,Runs at 1096 x 2560 pixels except for select use cases,Sony,€ 540.13,,"Black, Violet, White","OLED, 1B colors, 120Hz, HDR BT.2020",AnTuTu: 838832 (v9)GeekBench: 3403 (v5.1)GFXBench: 74fps (ES 3.1 onscreen),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30/60fps, 5-axis gyro-EIS",IP65/IP68 dust/water resistant (up to 1.5m for 30 min),"Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass"
IP65/IP68 dust/water resistant (up to 1.5m for 30 min),,,"Android 12, upgradable to Android 14",,Yes,-30.6 LUFS (Below average),Qualcomm SM6375 Snapdragon 695 5G (6 nm),,"Available. Released 2022, June 30",HDR,683 nits max brightness (measured),,,,,,,,,,,No,"21W wired (unofficial rating), PD, QC","1, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41",Photo/Video,,€ 296.83 / $ 284.99 / £ 233.59,24-bit/192kHz Hi-Res audio,,"8 MP, f/2.0, 27mm (wide), 1/4.0""",,GSM 850 / 900 / 1800 / 1900,"1080 x 2520 pixels, 21:9 ratio (~457 ppi density)","2022, May 11",GSM / HSPA / LTE / 5G,Triluminos display,,,,Adreno 619,,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iv.jpg,"6.0 inches, 84.1 cm2(~82.0% screen-to-body ratio)",Sony Xperia 10 IV,,"1, 3, 7, 8, 28, 38, 41, 77, 78, 79 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",€ 296.83,Li-Po 5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),,UFS,,Nano-SIM +eSIMNano-SIM + Nano-SIM,"12 MP, f/1.8, 27mm (wide), 1/2.8"", PDAF, OIS8 MP, f/2.2, 54mm (telephoto), 1/4.4"", PDAF, 2x optical zoom8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0""",,Endurance rating 163h,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus,,153 x 67 x 8.3 mm (6.02 x 2.64 x 0.33 in),128GB 6GB RAM,"USB Type-C 2.0, OTG","XQ-CC54, XQ-CC72",,Yes,"5.1, A2DP, LE, aptX HD, aptX Adaptive",,,161 g (5.68 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,"HSPA, LTE, 5G","Glass front (Gorilla Glass Victus), plastic frame, plastic back",Yes,,Sony,,,"Black, White, Mint, Lavender","OLED, 1B colors, HDR",AnTuTu: 396008 (v9)GeekBench: 1908 (v5.1)GFXBench: 16fps (ES 3.1 onscreen),HSDPA 850 / 900 / 1700(AWS) / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
