,Type,Dimensions,Messaging,Model Image,_1,Bluetooth,3.5mm jack,SIM,EDGE,Video,Brand,Phonebook,Status,Resolution,Sensors,WLAN,Single,Alert types,Browser,USB,Colors,Internal,Card slot,Talk time,Loudspeaker,Games,Radio,Type_1,Call records,2G bands,Size,Weight,Announced,Model Name,_2,Technology,Stand-by,Features,GPRS,Positioning,Java
No,"TFT, 16M colors",103 x 48 x 23 mm (4.06 x 1.89 x 0.91 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/xcute-dv80.gif,MP3 playerVideo playerTV-outPredictive text inputVoice memoOrganizer,Yes,No,Mini-SIM,No,480p@30fps,XCute,Yes,Cancelled,640 x 240 pixels,,No,"5 MP, AF","Vibration; Downloadable polyphonic, MP3, MIDI, WAV ringtones",WAP 2.0/xHTML,No,Black,,miniSD,,No,Yes,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800 / 1900,,135 g (4.76 oz),"2006, February",XCute DV80,,GSM,,LED flash,Class 10,No,"Yes, MIDP 2.0"
No,"TFT, 16M colors",104 x 46 x 19 mm (4.09 x 1.81 x 0.75 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/xcute-dv50.gif,MP3 playerVideo playerTV-outPredictive text inputVoice memoOrganizer,No,No,Mini-SIM,No,480p@30fps,XCute,Yes,Cancelled,640 x 240 pixels,,No,"5 MP, AF","Vibration; Downloadable polyphonic, MP3, MIDI, WAV ringtones",WAP 2.0/xHTML,Proprietary,Silver,,miniSD,,No,5,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800 / 1900,,100 g (3.53 oz),"2006, February",XCute DV50,,GSM,,LED flash,Class 10,No,No
"Second external OLED display, 65K colors (96 x 65 pixels)","TFT, 16M colors",87 x 46.6 x 22 mm (3.43 x 1.83 x 0.87 in),"SMS, EMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/xcute-dv2.gif,No,No,No,Mini-SIM,No,480p@30fps,XCute,500 entries,Discontinued,640 x 240 pixels,,No,3.15 MP,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",WAP 2.0/xHTML,Proprietary,Black & White,18MB,miniSD,Up to 4 h,Yes,"F1 Race, Color ball, Ninja",No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800 / 1900,,118 g (4.16 oz),"2005, Q4",XCute DV2,MP3 playerVideo playerTV-outPredictive text inputLanguage learningVoice memoOrganizer,GSM,Up to 150 h,"rotating lens, LED flash",Class 10,No,No
"Second external OLED display, 65K colors (96 x 65 pixels)","TFT, 16M colors",87 x 46.6 x 23.5 mm (3.43 x 1.83 x 0.93 in),"SMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/xcute-dv1.gif,No,No,No,Mini-SIM,No,480p@30fps,XCute,500 entries,Discontinued,640 x 240 pixels,,No,3.15 MP,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",WAP 2.0/xHTML,Proprietary,"Cool Blue, Titanic Silver, Sunny Orange",20MB,miniSD,Up to 4 h,Yes,,No,Removable Li-Ion battery,"10 dialed, 10 received, 10 missed calls",GSM 900 / 1800 / 1900,,118 g (4.16 oz),"2005, Q1",XCute DV1,MP3 playerVideo playerTV-outPredictive text inputLanguage learningVoice memoOrganizer,GSM,Up to 150 h,"rotating lens, LED flash",Class 10,No,No
