,CPU,Features,4G bands,Camera,OS,Loudspeaker,Bluetooth,_2,Price,_3,3.5mm jack,SIM,Dual,Single,Weight,Chipset,Loudspeaker_1,Status,WLAN,2G bands,Battery (old),Display,Resolution,Card slot,Speed,Build,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Audio quality,Model Image,Size,Model Name,Colors,Type,Dimensions,Performance,Internal,USB,Positioning,Radio,3G bands,Charging,Video,Type_1,_4,Sensors
CDMA 800 & TD-SCDMA,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"Dual-LED dual-tone flash, panorama, HDR","1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 26, 28, 29, 30, 32, 38, 39, 40, 41, 48, 66, 71",Photo/Video,"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)","Yes, with Dolby Atmos stereo speakers (THX-certified amplifiers)","5.0, A2DP, LE",Wide Colour Gamut,About 850 EUR,UFS 2.1,No,Nano-SIM,"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS12 MP, f/2.6, 1/3.1"", 1.0µm, 2x optical zoom","8 MP, f/2.0",220 g (7.76 oz),Qualcomm SDM845 Snapdragon 845 (10 nm),Voice 78dB / Noise 78dB / Ring 86dB,"Available. Released 2018, October","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",GSM 850 / 900 / 1800 / 1900,Endurance rating 70h,"Contrast ratio: 948 (nominal), 2.932 (sunlight)","1440 x 2560 pixels, 16:9 ratio (~513 ppi density)",microSDXC (dedicated slot),"HSPA 42.2/5.76 Mbps, LTE (5CA) Cat18 1200/150 Mbps","Glass front (Gorilla Glass 5), aluminum back, aluminum frame",Yes,"2018, October",1080p@30/60fps,GSM / CDMA / HSPA / LTE,IP67 dust/water resistant (up to 1m for 30 min)RGB Illuminated Razer Chroma Logo on the back,Razer,"Corning Gorilla Glass 5, oleophobic coating",Adreno 630,Noise -93.4dB / Crosstalk -92.8dB,https://fdn2.gsmarena.com/vv/bigpic/razer-phone2-.jpg,"5.72 inches, 90.2 cm2(~72.0% screen-to-body ratio)",Razer Phone 2,"Mirror back, Rugged satin","IGZO IPS LCD, 120Hz, 580 nits (typ)",158.5 x 79 x 8.5 mm (6.24 x 3.11 x 0.33 in),AnTuTu: 286076 (v7)GeekBench: 9110 (v4.4)GFXBench: 22fps (ES 3.1 onscreen),64GB 8GB RAM,USB Type-C,GPS,No,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"18W wired, QC415W wireless","4K@30/60fps, 1080p@30/30/60/120fps, stereo sound rec.","Li-Po 4000 mAh, non-removable",24-bit/192kHz Hi-Res audio,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
Wide Colour Gamut,Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),"Dual-LED dual-tone flash, panorama, HDR","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 66",Photo/Video,"Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)","Yes, with Dolby Atmos stereo speakers (THX-certified amplifiers)","4.2, A2DP, LE",,About 750 EUR,,No,Nano-SIM,"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF12 MP, f/2.6, 1/3.4"", 1.0µm, 2x optical zoom,  PDAF","8 MP, f/2.0",197 g (6.95 oz),Qualcomm MSM8998 Snapdragon 835 (10 nm),Voice 69dB / Noise 75dB / Ring 90dB,"Available. Released 2017, November","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",GSM 850 / 900 / 1800 / 1900,Endurance rating 62h,"Contrast ratio: 871 (nominal), 2.328 (sunlight)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",microSDXC (dedicated slot),"HSPA, LTE","Glass front (Gorilla Glass 3), aluminum back, aluminum frame",Yes,"2017, November",1080p@30fps,GSM / HSPA / LTE,24-bit/192kHz audio,Razer,Corning Gorilla Glass 3,Adreno 540,Noise -80.3dB / Crosstalk -75.3dB,https://fdn2.gsmarena.com/vv/bigpic/razer-phone.jpg,"5.7 inches, 89.6 cm2(~72.7% screen-to-body ratio)",Razer Phone,Black,"IGZO IPS LCD, 120Hz, 380 nits (typ)",158.5 x 77.7 x 8 mm (6.24 x 3.06 x 0.31 in),"AnTuTu: 190271 (v7), 291142 (v8)GeekBench: 6728 (v4.4), 1752 (v5.1)GFXBench: 15fps (ES 3.1 onscreen)",64GB 8GB RAM,USB Type-C,GPS,No,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"18W wired, QC4",4K@30fps,"Li-Po 4000 mAh, non-removable",,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
