,Resolution,Alert types,Talk time_1,Price,Display,Type_1,Talk time,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Features_1,Single_1,Music play,Brand,_6,Protection,Browser,Radio,Audio quality,Performance,CPU,_4,Stand-by_1,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,_7,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Battery (old),USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,SAR EU,Dual,Colors,4G bands,WLAN,Positioning,NFC,Keyboard,Models,2G bands,Features,_5,Dimensions,SAR
HSDPA 850 / 900 / 1900 / 2100 - Global,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,About 80 EUR,,"Li-Ion 2800 mAh, non-removable",Up to 25 h,"1080p@30fps, 720p@60fps",,Adreno 225,microSDXC (dedicated slot),Qualcomm MSM8960 Snapdragon S4 Plus,,GSM / HSPA / LTE,"2015, March. Released 2015, April","IPS LCD,",BlackBerry OS 10.3.1,,2 MP,,BlackBerry,,,,FM radio,,,Dual-core 1.5 GHz Krait,,,720p,,,170 g (6.00 oz),,Micro-SIM,16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",,,"5.0 inches, 68.9 cm2(~65.7% screen-to-body ratio)",Yes,"1, 3, 7, 8, 20 - Global",Photo/Video,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-leap1.jpg,Endurance rating 45h,microUSB 2.0,"Accelerometer, proximity",,BlackBerry Leap,HSDPA 850 / 900 / 1700 / 1900 / 2100 - North America,"HSPA, LTE",Yes,"4.0, A2DP, EDR, LE",,,"Black, White","1, 2, 4, 5, 7, 13, 17 - North America","Wi-Fi 802.11 b/g/n, hotspot",GPS,No,,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",,144 x 72.8 x 9.5 mm (5.67 x 2.87 x 0.37 in),
CDMA 800 / 1900,"720 x 720 pixels, 1:1 ratio (~291 ppi density)",,,About 180 EUR,,"Li-Ion 2500 mAh, non-removable",Up to 22 h (3G),,Optical trackpad,,microSDXC (dedicated slot),,,GSM / CDMA / HSPA / EVDO / LTE,"2015, February. Released 2015, March","IPS LCD,",BlackBerry OS 10.3.1,,,,BlackBerry,,Corning Gorilla Glass 3,,FM radio,,,Dual-core 1.5 GHz Krait,MP3/WMA/WAV/eAAC+/FlAC playerDivX/XviD/MP4/WMV/H.264 playerPhoto/video editorDocument viewer,,,,Up to 384 h (3G),178 g (6.28 oz),,Nano-SIM,16GB 2GB RAM,,No,,"3.5 inches, 39.5 cm2(~41.7% screen-to-body ratio)",Yes,CDMA2000 1xEV-DO,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-classic-no.jpg,,microUSB 2.0 (SlimPort),"Accelerometer, gyro, proximity, compass",,BlackBerry Classic Non Camera,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps",Yes,"4.0, A2DP, EDR, LE",,,Black,"4, 13","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",GPS,Yes,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,131 x 72.4 x 10.2 mm (5.16 x 2.85 x 0.40 in),1.41 W/kg (head)     0.78 W/kg (body)
HSDPA 850 / 1900 / 2100 - North America,"720 x 720 pixels, 1:1 ratio (~328 ppi density)",,,About 430 EUR,,"Li-Ion 2100 mAh, removable",Up to 9 h (2G) / Up to 14 h (3G),1080p@30fps,HDMI portBlackBerry mapsOrganizerDocument viewerPhoto/video editorMP3/WMA/WAV/eAAC+/FlAC playerDivX/XviD/MP4/WMV/H.264 playerVoice memo/dialPredictive text input,Adreno 225,microSDXC (dedicated slot),Qualcomm MSM8960T Snapdragon S4 Pro,,GSM / HSPA / LTE,"2014, September. Released 2014, October",IPS LCD,"BlackBerry OS 10.3, upgradable to 10.3.1",,2 MP,Up to 45 h,BlackBerry,,,,FM radio,,,Dual-core 1.5 GHz Krait,,,720p@30fps,,Up to 288 h (2G) / Up to 288 h (3G),140 g (4.94 oz),,Micro-SIM,64GB 2GB RAM,"8 MP, AF",,,"3.1 inches, 31.0 cm2(~38.8% screen-to-body ratio)",Yes,"2, 4, 5, 17 - North America",,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Porsche-Design-P9983-1.jpg,,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BlackBerry Porsche Design P'9983,"HSDPA 850 / 900 / 1900 / 2100 - EU, EMEA","HSPA, LTE",Yes,"4.0, A2DP, LE",,,Black,"3, 7, 8, 20 - EU, EMEA","Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","GPS, GLONASS",Yes,,,GSM 850 / 900 / 1800 / 1900 - all versions,"LED flash, HDR, panorama",,119 x 67.1 x 10.6 mm (4.69 x 2.64 x 0.42 in),
HSDPA 850 / 900 / 1700 / 1900 / 2100,"1440 x 1440 pixels, 1:1 ratio (~453 ppi density)",,,About 170 EUR,"Contrast ratio: 1256 (nominal), 2.595 (sunlight)","Li-Ion 3450 mAh, non-removable",Up to 18 h (2G) / Up to 23 h (3G),1080p@60fps,Capacitive touch 3-row BlackBerry keyboard,Adreno 330,microSDXC (dedicated slot),Qualcomm MSM8974AA Snapdragon 801 (28 nm),,GSM / HSPA / LTE,"2014, June. Released 2014, September",IPS LCD,"BlackBerry OS 10.3, upgradable to 10.3.2",,"2 MP, f/2.8, 28mm (wide)",Up to 84 h,BlackBerry,,Corning Gorilla Glass 3,,"FM radio, RDS",Noise -91.5dB / Crosstalk -92.5dB,Basemark X: 10682,Quad-core 2.26 GHz Krait 400,,,720p,,Up to 432 h (2G) / Up to 444 h (3G),196 g (6.91 oz),"Glass front (Gorilla Glass 3), plastic back, aluminum frame",Nano-SIM,32GB 3GB RAM,"13 MP, f/2.0, 30mm (standard), AF, OIS",eMMC 5.0,,"4.5 inches, 65.3 cm2(~56.5% screen-to-body ratio)",Yes,"1, 2, 3, 4, 5, 7, 8, 13, 17, 20",Photo/Video,Voice 76dB / Noise 71dB / Ring 76dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-passport-1.jpg,Endurance rating 73h,microUSB 2.0 (SlimPort),"Accelerometer, gyro, proximity, compass",,BlackBerry Passport,HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE","Yes, with stereo speakers","4.0, A2DP, LE",,,"Black, White, Red, Black&Gold, Silver","1, 3, 5, 7, 8","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","GPS, GLONASS",Yes,QWERTY,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",,128 x 90.3 x 9.3 mm (5.04 x 3.56 x 0.37 in),
HSDPA 850 / 900 / 1900 / 2100,"720 x 720 pixels, 1:1 ratio (~294 ppi density)",,,About 120 EUR,,"Li-Ion 2515 mAh, non-removable",Up to 11 h 40 min (2G) / Up to 17 h 10 min (3G),1080p@30fps,Optical trackpad,Adreno 225,microSDXC (dedicated slot),Qualcomm MSM8960 Snapdragon S4 Plus,,GSM / HSPA / LTE,"2014, June. Released 2014, December","IPS LCD,","BlackBerry OS 10.3.1, upgradable to 10.3.2",,2 MP,Up to 70 h,BlackBerry,,Corning Gorilla Glass 3,,FM radio,,,Dual-core 1.5 GHz Krait,,,,,Up to 348 h (2G) / Up to 365 h (3G),177 g (6.24 oz),,Nano-SIM,16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",,,"3.5 inches, 38.7 cm2(~40.8% screen-to-body ratio)",Yes,"1, 2, 3, 5, 7, 8, 20",,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Classic.jpg,,microUSB 2.0 (SlimPort),"Accelerometer, gyro, proximity, compass",,BlackBerry Classic,HSDPA 850 / 1700 / 1900 / 2100 - USA model,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP, EDR, LE",,,"Black, White, Blue, Bronze, Cobalt blue","1, 2, 4, 5, 7, 13, 17, 25 - USA model","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",GPS,Yes,QWERTY,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",,131 x 72.4 x 10.2 mm (5.16 x 2.85 x 0.40 in),
eMMC 4.5,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",,,About 90 EUR,,"Li-Ion 2500 mAh, non-removable",Up to 15 h 30 min,1080p@30fps,,Adreno 305,microSDHC (dedicated slot),Qualcomm MSM8230 Snapdragon 400 (28 nm),,GSM / HSPA,"2014, February. Released 2014, May",IPS LCD,"BlackBerry OS 10.2.1, upgradable to 10.3.1",,1.1 MP,Up to 84 h,BlackBerry,,,,FM radio,,,Dual-core 1.2 GHz Krait 200,,,720p,,Up to 384 h,164 g (5.78 oz),"Glass front, plastic back, plastic frame",Micro-SIM,8GB 1.5GB RAM,"5 MP, f/2.4, 30mm (standard), AF",,,"5.0 inches, 68.9 cm2(~67.6% screen-to-body ratio)",Yes,,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-z3-new.jpg,,microUSB 2.0,"Accelerometer, proximity",,BlackBerry Z3,HSDPA 900 / 1900 / 2100,HSPA,Yes,"4.0, A2DP, LE",,,Black,,"Wi-Fi 802.11 b/g/n, hotspot",GPS,No,,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",,140 x 72.8 x 9.3 mm (5.51 x 2.87 x 0.37 in),
Stainless steel body and leather-covered rear panelLimited edition with crocodile leather (500 units),"768 x 1280 pixels, 5:3 ratio (~355 ppi density)",,,About 390 EUR,,"Li-Ion 1800 mAh, removable",Up to 8 h (2G) / Up to 9 h (3G),1080p@30fps,,Adreno 225,microSDXC (dedicated slot),Qualcomm MSM8960T Snapdragon S4 Pro,,GSM / HSPA / LTE,"2013, November. Released 2013, December",IPS LCD,"BlackBerry OS 10.2, upgradable to 10.2.1",,2 MP,,BlackBerry,,,,No,,,Dual-core 1.5 GHz Krait,,,720p@30fps,,Up to 240 h,140 g (4.94 oz),,Micro-SIM,64GB 2GB RAM,"8 MP, AF",,,"4.2 inches, 50.2 cm2(~58.4% screen-to-body ratio)",Yes,HDMI portBlackBerry mapsOrganizerDocument viewerPhoto viewer/editorVideo editorMP3/WMA/WAV/eAAC+/FlAC playerDivX/XviD/MP4/WMV/H.264 playerVoice memo/dialPredictive text input,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Porsche-Design-P9982.jpg,,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BlackBerry Porsche Design P'9982,HSDPA 850 / 900 / 2100,"HSPA 21.1/5.76 Mbps, LTE",Yes,"4.0, A2DP, LE",,,Silver,"3, 7, 8, 20","Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",GPS,Yes,,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR",,131 x 65.6 x 9.5 mm (5.16 x 2.58 x 0.37 in),
HDMI port,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,About 140 EUR,,"Li-Ion 2880 mAh, non-removable",Up to 25 h (2G) / Up to 18 h (3G),1080p@30fps,,Adreno 320,microSDXC (dedicated slot),Qualcomm MSM8960T Snapdragon S4 Pro,,GSM / HSPA / LTE,"2013, September. Released 2013, October",Super AMOLED,"BlackBerry OS 10.2, upgradable to 10.3.1",,2 MP,,BlackBerry,,,,FM radio (after SW upgrade),,,Dual-core 1.7 GHz Krait,,,720p@30fps,,Up to 384 h (3G),170 g (6.00 oz),,Micro-SIM,16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",,,"5.0 inches, 68.9 cm2(~68.0% screen-to-body ratio)",Yes,,Photo/Video,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-z30.jpg,,"microUSB 2.0, OTG","Accelerometer, gyro, proximity, compass",,BlackBerry Z30,HSDPA 850 / 900 / 1900 / 2100 / 800,"HSPA, LTE","Yes, with stereo speakers","4.0, A2DP, LE",,,Black,"1, 3, 7, 8, 20","Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","GPS, GLONASS",Yes,,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",,140.7 x 72 x 9.4 mm (5.54 x 2.83 x 0.37 in),
Optical trackpad,"480 x 360 pixels, 4:3 ratio (~214 ppi density)",,,About 130 EUR,,"Li-Ion 1450 mAh, removable",Up to 7 h,480p@30fps,BBM keyMP3/eAAC+/WMA/WAV/Flac playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input,,microSDHC (dedicated slot),,,GSM / HSPA,"2013, August. Released 2013, August",IPS LCD,BlackBerry OS 7.1,,,Up to 30 h,BlackBerry,,,,"Stereo FM radio, RDS",,,806 MHz Tavor MG1,,,,,Up to 432 h,120 g (4.23 oz),,Mini-SIM,"512MB ROM, 512MB RAM",5 MP,,,"2.8 inches, 24.3 cm2(~32.3% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-9720.jpg,,microUSB 2.0,"Accelerometer, proximity",,BlackBerry 9720,HSDPA 850 / 900 / 1900 / 2100,HSPA 7.2/5.76 Mbps,Yes,"2.1, A2DP, EDR",1.10 W/kg (head),,"Black, White, Purple, Blue, Pure Pink",,"Wi-Fi 802.11 b/g/n, hotspot",GPS,No,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,114 x 66 x 12 mm (4.49 x 2.60 x 0.47 in),
"HSDPA 850 / 900 / 1900 / 2100 - SQR100-2, SQR100-3","720 x 720 pixels, 1:1 ratio (~328 ppi density)",,,About 70 EUR,Contrast ratio: 1293:1 (nominal) / 1.682:1 (sunlight),"Li-Ion 2180 mAh, non-removable",Up to 12 h 30 min (3G),1080p@30fps,,Adreno 225,microSDHC (dedicated slot),Qualcomm MSM8960 Snapdragon S4 Plus,,GSM / HSPA / LTE,"2013, May. Released 2013, June",IPS LCD,"BlackBerry OS 10.2, upgradable to 10.3.1",,2 MP,,BlackBerry,,,,FM radio (after SW upgrade),Noise -91.7dB / Crosstalk -90.7dB,,Dual-core 1.2 GHz Krait,,,720p,,Up to 336 h (3G),120 g (4.23 oz),,Micro-SIM,8GB 2GB RAM,"5 MP, f/2.4, 30mm (standard), AF",,,"3.1 inches, 31.0 cm2(~39.1% screen-to-body ratio)",Yes,"3, 7, 8, 20 - SQR100-2",Photo/Video,Voice 75dB / Noise 69dB / Ring 76dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-q5.jpg,Endurance rating 55h,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BlackBerry Q5,HSDPA 800 / 850 / 1700 / 1900 / 2100 - SQR100-1,"HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps",Yes,"4.0, A2DP, LE",1.38 W/kg (head)     0.85 W/kg (body),,"Black, White, Red, Gray, Pink","2, 4, 5, 17 - SQR100-1","Wi-Fi 802.11 b/g/n, hotspot",GPS,Yes (market dependent),QWERTY,,GSM 850 / 900 / 1800 / 1900 - all versions,"LED flash, HDR, panorama",,120 x 66 x 10.8 mm (4.72 x 2.60 x 0.43 in),1.33 W/kg (head)     0.85 W/kg (body)
CDMA 800 / 1900 - STL100-4,"768 x 1280 pixels, 5:3 ratio (~355 ppi density)",,,About 120 EUR,Contrast ratio: 1532 (nominal) / 2.051:1 (sunlight),"Li-Ion 1800 mAh, removable",Up to 10 h,1080p@30fps,HSDPA 850 / 1700 / 1900 / 2100 / 800 - STL100-3HSDPA 900 / 2100 - STL100-4,Adreno 225,microSDXC (dedicated slot),Qualcomm MSM8960 Snapdragon S4 Plus,,GSM / CDMA / HSPA / LTE,"2013, January. Released 2013, January",TFT,"BlackBerry OS 10, upgradable to 10.3.1",,2 MP,,BlackBerry,13 - STL100-4,,,No,Noise -82.8dB / Crosstalk -80.5dB,,Dual-core 1.5 GHz Krait,LTE 700 / 850 / 1700 / 1900 - STL100-3,,720p@30fps,,Up to 312 h,137.5 g (4.83 oz),"Glass front, plastic back, plastic frame",Micro-SIM,16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",HSDPA 850 / 1900 / 2100 / 800 - STL100-3 RFF91LW,HDMI port,"4.2 inches, 50.2 cm2(~58.9% screen-to-body ratio)",Yes,HSDPA 850 / 900 / 2100 - STL100-2,Photo/Video,Voice 70dB / Noise 67dB / Ring 73dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-z10-ofic.jpg,Endurance rating 46h,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BlackBerry Z10,HSDPA 850 / 900 / 1900 / 2100 - STL100-1,"HSPA 21.1/5.76 Mbps, LTE, EV-DO Rev.A 3.1 Mbps",Yes,"4.0, A2DP, LE",0.87 W/kg (head)     0.99 W/kg (body),,"Black, White","3, 7, 8, 20 - STL100-2","Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",GPS,Yes,,,GSM 850 / 900 / 1800 / 1900 - all versions,"LED flash, HDR, panorama",LTE 700 / 850 / 1700 / 1900 - STL100-3 RFF91LW,130 x 65.6 x 9 mm (5.12 x 2.58 x 0.35 in),1.07 W/kg (head)     1.07 W/kg (body)
"CDMA 800 / 1900 - SQN100-2, SQN100-4","720 x 720 pixels, 1:1 ratio (~328 ppi density)",,,About 110 EUR,Contrast ratio: Infinite (nominal) / 2.856:1 (sunlight),"Li-Ion 2100 mAh, removable",Up to 10 h (2G) / Up to 13 h 30 min (3G),1080p@30fps,HSDPA 850 / 1700 / 1900 / 2100 - SQN100-5,Adreno 225  (LTE version)/ PowerVR SGX544 (Non-LTE),microSDXC (dedicated slot),Snapdragon S4 (LTE version)/ TI OMAP 4470 (Non-LTE),,GSM / CDMA / HSPA / LTE,"2013, January. Released 2013, April",Super AMOLED,"BlackBerry OS 10, upgradable to 10.3.1",,2 MP,,BlackBerry,HDMI port,,,FM radio (after SW upgrade),Noise -89.6dB / Crosstalk -82.7dB,,Dual-core 1.5 GHz Krait (LTE version)/ Cortex-A9 (Non-LTE),"3, 7, 8, 20 - SQN100-3",,720p,,Up to 360 h (3G),139 g (4.90 oz),"Glass front, plastic back, plastic frame",Micro-SIM,16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF","4, 13 - SQN100-2",,"3.1 inches, 31.0 cm2(~38.8% screen-to-body ratio)",Yes,"HSDPA 850 / 900 / 1900 / 2100 - SQN100-2, SQN100-3, SQN100-4",Photo/Video,Voice 69dB / Noise 66dB / Ring 75dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-q10.jpg,Endurance rating 56h,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,BlackBerry Q10,HSDPA 850 / 1900 / 2100 - SQN100-1,"EV-DO Rev.A 3.1 Mbps, HSPA, LTE (market dependent)",Yes,"4.0, A2DP",1.41 W/kg (head)     0.78 W/kg (body),,"Black, White","2, 4, 5, 17 - SQN100-1, SQN100-5","Wi-Fi 802.11 a/b/g/n, dual band, hotspot",GPS,Yes,QWERTY,,GSM 850 / 900 / 1800 / 1900 - all versions,"LED flash, HDR, panorama",25 - SQN100-4,119.6 x 66.8 x 10.4 mm (4.71 x 2.63 x 0.41 in),1.16 W/kg (head)     0.75 W/kg (body)
Micro HDMI portDocument viewer/editorBlackBerry BridgeMedia player MP3/WMA/AAC+Video player DivX/WMV/XviD/3gpOrganizerPredictive text input,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,About 470 EUR,,Non-removable Li-Po battery,,1080p@30fps,,,No,,,HSPA / LTE,"2012, August. Released 2012, August",TFT,BlackBerry Tablet 2.0,,3 MP,,BlackBerry,,,"HTML5, Adobe Flash",No,,,Dual-core 1.5 GHz,,,,,,425 g (14.99 oz),,No,32GB 1GB RAM,"5 MP, AF",,,"7.0 inches, 137.9 cm2(~54.7% screen-to-body ratio)",Yes,,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-playbook-4g-lte.jpg,,microUSB 2.0,"Accelerometer, gyro, compass",,BlackBerry 4G LTE Playbook,HSDPA 900 / 1700 / 1900 / 2100 / 800,"HSPA, LTE","Yes, with stereo speakers","3.1, A2DP, EDR",,,Black,"4, 17","Wi-Fi 802.11 a/b/g/n, dual-band","GPS, A-GPS",,,,,,,194 x 130 x 10 mm (7.64 x 5.12 x 0.39 in),
Optical trackpad,"320 x 240 pixels, 4:3 ratio (~164 ppi density)",,,About 110 EUR,,Removable Li-Ion 1450 mAh battery,Up to 7 h,Yes,BBM keyMP3/eAAC+/WMA/WAV/Flac playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input,,microSDHC (dedicated slot),,,GSM / HSPA,"2012, May. Released 2012, May","TFT, 65K colors",BlackBerry OS 7.1,,,Up to 30 h,BlackBerry,,,,"Stereo FM radio, RDS",,,,,,,Yes,Up to 432 h,103 g (3.63 oz),,Mini-SIM,"512MB ROM, 512MB RAM",3.15 MP,,,"2.44 inches, 18.4 cm2(~28.2% screen-to-body ratio)",Yes,No,Photo,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-9320.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",Yes,BlackBerry Curve 9320,HSDPA,HSPA 7.2/5.76 Mbps,Yes,"2.1, A2DP",1.24 W/kg (head)     0.72 W/kg (body),,"Black, White",,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,109 x 60 x 12.7 mm (4.29 x 2.36 x 0.5 in),1.56 W/kg (head)     0.75 W/kg (body)
Optical trackpad,"320 x 240 pixels, 4:3 ratio (~164 ppi density)",,,About 80 EUR,,Removable Li-Ion 1450 mAh battery (J-S1),Up to 7 h,Yes,MP3/eAAC+/WMA/WAV/FLAC playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,,microSDHC (dedicated slot),,,GSM,"2012, April. Released 2012, May","TFT, 65K colors",BlackBerry OS 7.1,,,Up to 28 h,BlackBerry,,,,"Stereo FM radio, RDS",,,,,,,Yes,Up to 432 h,102 g (3.49 oz),,Mini-SIM,"512MB ROM, 512MB RAM",2 MP,,,"2.44 inches, 18.4 cm2(~28.2% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-9220-ofic.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",Yes,BlackBerry Curve 9220,,,Yes,"2.1, A2DP",1.61 W/kg (head)     1.01 W/kg (body),,"Black, Fuchsia Pink, Pure White, Teal Blue",,Wi-Fi 802.11 b/g/n,No,,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,109 x 60 x 12.7 mm,1.31 W/kg (head)     0.61 W/kg (body)
HSDPA 900 / 1700 / 2100,"360 x 480 pixels, 4:3 ratio (~188 ppi density)",,,About 120 EUR,Contrast ratio: 863:1 (nominal),Removable Li-Ion battery (JM-1),Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G),480p,No,,microSDHC (dedicated slot),,,GSM / HSPA,"2011, November. Released 2011, December",TFT,BlackBerry OS 7.0,,,Up to 30 h,BlackBerry,,,,No,Noise -85.8dB / Crosstalk -80.3dB,,806 MHz,,,,,Up to 360 h (2G) / Up to 360 h (3G),98 g (3.46 oz),,Mini-SIM,512MB 512MB RAM,5 MP,MP3/eAAC+/WMA/WAV/FLACplayerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input,,"3.2 inches, 31.7 cm2(~48.5% screen-to-body ratio)",Yes,Optical trackpad,Photo,Voice 61dB / Noise 64dB / Ring 66dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-9380.jpg,Endurance rating 39h,microUSB 2.0,Proximity,,BlackBerry Curve 9380,HSDPA 850 / 1900 / 2100,HSPA,Yes,"2.1, A2DP, EDR",1.09 W/kg (head)     0.59 W/kg (body),,Black,,"Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","GPS, A-GPS",Carrier dependent,,,GSM 850 / 900 / 1800 / 1900,LED flash,,109 x 60 x 11.2 mm (4.29 x 2.36 x 0.44 in),1.38 W/kg (head)     0.77 W/kg (body)
HSDPA 900 / 1700 / 2100,"480 x 360 pixels, 4:3 ratio (~245 ppi density)",,,About 130 EUR,Contrast ratio: 1043:1 (nominal),Removable Li-Ion 1230 mAh battery (JM-1),Up to 5 h 10 min (2G) / Up to 5 h 20 min (3G),480p,No,,microSDHC (dedicated slot),,,GSM / HSPA,"2011, November. Released 2011, December",TFT,BlackBerry OS 7.0,,,Up to 33 h,BlackBerry,,,,No,Noise -89.4dB / Crosstalk -32.7dB,,Marvel Tavor MG1 1.0 GHz,,,,,Up to 432 h (2G) / Up to 408 h (3G),107 g (3.77 oz),,Mini-SIM,8GB 768MB RAM,"5 MP, AF",,,"2.45 inches, 18.6 cm2(~28.2% screen-to-body ratio)",Yes,Optical trackpad,Photo,Voice 61dB / Noise 60dB / Ring 63dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold-9790.jpg,Endurance rating 35h,microUSB 2.0,,,BlackBerry Bold 9790,HSDPA 850 / 1900 / 2100 / 800,HSPA 7.2/5.76 Mbps,Yes,"2.1, A2DP, EDR",1.56 W/kg (head)     0.84 W/kg (body),,"Black, White",,"Wi-Fi 802.11 a/b/g/n, dual-band","GPS, A-GPS",Carrier dependent,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,110 x 60 x 11.4 mm (4.33 x 2.36 x 0.45 in),1.35 W/kg (head)     0.81 W/kg (body)
Optical trackpad,"640 x 480 pixels, 4:3 ratio (~286 ppi density)",,,About 800 EUR,,Removable Li-Ion 1230 mAh battery,Up to 5 h 30 min,720p,MP3/eAAC+/Flac/WAV playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,Adreno 205,microSDHC (dedicated slot),Qualcomm MSM8655 Snapdragon S2,,GSM / HSPA,"2011, October. Released 2011, December",TFT,BlackBerry OS 7.0,,,,BlackBerry,,,,No,,,1.2 GHz,,,,,Up to 348 h,155 g (5.47 oz),,Mini-SIM,8GB 768MB RAM,"5 MP, AF",,,"2.8 inches, 24.3 cm2(~31.5% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-porsche-design-p9981.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",,BlackBerry Porsche Design P'9981,HSDPA 850 / 1900 / 2100,HSPA 14.4/5.76 Mbps,Yes,"2.1, A2DP, EDR",0.60 W/kg (head)     1.39 W/kg (body),,"Gray, Black",,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",Yes,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,115 x 67 x 11.3 mm (4.53 x 2.64 x 0.44 in),0.70 W/kg (head)     1.35 W/kg (body)
