,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Talk time,Alert types,Positioning,Loudspeaker,Stand-by_1,_4,Messaging,Loudspeaker_1,Phonebook,EDGE,Radio,Camera,OS,Speed,_3,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Browser,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Stand-by,Keyboard,Talk time_1,Announced,_2,Video,_1,USB,Chipset,Price,CPU,Resolution,Audio quality,Brand,Java,3.5mm jack,Single,GPU,Video_1,Status,GPRS,SIM,SAR EU
,No,,147 x 72.1 x 8.5 mm (5.79 x 2.84 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,Up to 12 h,,GPS,Yes,,,,,,,FM radio,,Android 4.2.2 (Jelly Bean),HSPA 42.2/11.5 Mbps,,IPS LCD,165 g (5.82 oz),"Accelerometer, proximity, compass",32GB 2GB RAM,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)",White,,5 MP,"Li-Ion 3000 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Guru (White Edition),https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-white.jpg,LED flash,Up to 300 h,,,"2014, August. Released 2014, August",,Yes,,microUSB 2.0,Mediatek MT6589T (28 nm),,Quad-core 1.5 GHz Cortex-A7,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Gigabyte,,Yes,"13 MP, AF",PowerVR SGX544,,Discontinued,,Micro-SIM,
,microSDHC (dedicated slot),,124.5 x 64 x 10.3 mm (4.90 x 2.52 x 0.41 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 4 h 30 min,,GPS,Yes,,,,,,,FM radio,,Android 4.2.2 (Jelly Bean),HSPA 21.1/5.76 Mbps,,TFT,115 g (4.06 oz),"Accelerometer, proximity",4GB 512MB RAM,"4.0 inches, 45.5 cm2(~57.2% screen-to-body ratio)",Black,,VGA,"Li-Ion 1300 mAh, removable",,,GSM / HSPA,HSDPA 850 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart T4 (Lite Edition),https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-t4-lite.jpg,,Up to 150 h,,,"2014, July. Released 2014, July",,Yes,,microUSB 2.0,Mediatek MT6572 (28 nm),,Dual-core 1.0 GHz Cortex-A7,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Gigabyte,,Yes,5 MP,Mali-400,,Discontinued,,Dual SIM (Mini-SIM),
,microSDHC (dedicated slot),,145 x 73.2 x 9.4 mm (5.71 x 2.88 x 0.37 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 8 h,,GPS,Yes,,,,,,,FM radio,,Android 4.4.2 (KitKat),HSPA 21.1/5.76 Mbps,,IPS LCD,165 g (5.82 oz),"Accelerometer, proximity",4GB 1GB RAM,"5.0 inches, 68.9 cm2(~64.9% screen-to-body ratio)",Black,,2 MP,"Li-Ion 2000 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Arty A3,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-a3.jpg,LED flash,Up to 300 h,,,"2014, July. Released 2014, July",,Yes,,microUSB 2.0,Mediatek MT6582 (28 nm),,Quad-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Gigabyte,,Yes,"8 MP, AF",Mali-400MP2,,Discontinued,,Dual SIM (Mini-SIM),
,microSDHC (dedicated slot),,145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 8 h,,GPS,Yes,,,,,,,FM radio,,Android 4.4.2 (KitKat),HSPA 21.1/5.76 Mbps,,IPS LCD,150 g (5.29 oz),"Accelerometer, proximity",8GB 1GB RAM,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Black,,5 MP,"Li-Ion 2000 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Mika M2,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-m2.jpg,LED flash,Up to 300 h,,,"2014, June. Released 2014, June",,Yes,,microUSB 2.0,Mediatek MT6582 (28 nm),About 190 EUR,Quad-core 1.3 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gigabyte,,Yes,"13 MP, AF",Mali-400MP2,,Discontinued,,Dual SIM (Mini-SIM),
,microSDHC (dedicated slot),,126 x 62 x 9.8 mm (4.96 x 2.44 x 0.39 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 4 h 30 min,,GPS,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA 21.1/5.76 Mbps,,IPS LCD,121 g (4.27 oz),"Accelerometer, proximity",4GB 512MB RAM,"4.0 inches, 45.5 cm2(~58.3% screen-to-body ratio)","Black, White",,VGA,"Li-Ion 1400 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart T4,https://fdn2.gsmarena.com/vv/bigpic/GSmart-T4.jpg,LED flash,Up to 150 h,,,"2014, April. Released 2014, April",,Yes,,microUSB 2.0,Mediatek MT6572 (28 nm),About 100 EUR,Dual-core 1.3 GHz Cortex-A7,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Gigabyte,,Yes,"8 MP, AF",Mali-400,,Discontinued,,Dual SIM,
,microSDHC (dedicated slot),,168 x 83 x 8.5 mm (6.61 x 3.27 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 12 h,,GPS,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA 21.1/5.76 Mbps,,IPS LCD,190 g (6.70 oz),"Accelerometer, proximity",8GB 1GB RAM,"6.0 inches, 99.2 cm2(~71.2% screen-to-body ratio)",Black,,2 MP,"Li-Ion 3000 mAh, non-removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Saga S3,https://fdn2.gsmarena.com/vv/bigpic/GSmart-Saga-S3.jpg,LED flash,Up to 255 h,,,"2014, April. Released 2014, April",,Yes,,microUSB 2.0,Mediatek MT6582 (28 nm),,Quad-core 1.3 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,Gigabyte,,Yes,"8 MP, AF",Mali-400MP2,,Discontinued,,Dual SIM,
,microSDHC (dedicated slot),,136 x 66 x 10.5 mm (5.35 x 2.60 x 0.41 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 8 h,,GPS,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA 21.1/5.76 Mbps,,IPS LCD,138 g (4.87 oz),"Accelerometer, proximity",4GB 1GB RAM,"4.5 inches, 55.8 cm2(~62.2% screen-to-body ratio)",Black,,VGA,"Li-Ion 1800 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Rey R3,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Rey-R3.jpg,LED flash,Up to 320 h,,,"2014, March. Released 2014, March",,Yes,,microUSB 2.0,Mediatek MT6572 (28 nm),,Dual-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Gigabyte,,Yes,"8 MP, AF",Mali-400,,Discontinued,,Dual SIM,
,No,,-,"4.0, A2DP",GSM 850 / 900 / 1800 / 1900,,Up to 10 h 30 min,,GPS,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA 42.2/5.76 Mbps,,IPS LCD,-,"Accelerometer, proximity, compass",32GB 2GB RAM,"5.0 inches, 68.9 cm2",Black,,5 MP,"Li-Ion 2500 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Guru,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru.jpg,LED flash,Up to 250 h,,,"2013, October. Released 2013, November",,Yes,,microUSB 2.0,Mediatek MT6589T (28 nm),About 440 EUR,Quad-core 1.5 GHz Cortex-A7,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Gigabyte,,Yes,"13 MP, AF",PowerVR SGX544,,Discontinued,,Yes,
,microSDHC (dedicated slot),,-,3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 3 h 30 min,,GPS,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA 21.1/5.76 Mbps,,TFT,-,"Accelerometer, proximity",4GB 1GB RAM,"5.0 inches, 68.9 cm2","Black, White",,VGA,"Li-Ion 2000 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Alto A2,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-alto-a2.jpg,LED flash,Up to 150 h,,,"2013, October. Released 2013, November",,Yes,,microUSB 2.0,Mediatek MT6572 (28 nm),,Dual-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Gigabyte,,Yes,5 MP,Mali-400,,Discontinued,,Dual SIM,
,microSDHC (dedicated slot),,-,3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 3 h 30 min,,GPS,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA 21.1/5.76 Mbps,,IPS LCD,-,"Accelerometer, proximity",4GB 1GB RAM,"4.0 inches, 45.5 cm2","Black, White, Blue, Red",,VGA,"Li-Ion 1400 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Roma R2,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-r2.jpg,LED flash,Up to 220 h,,,"2013, October. Released 2013, October",,Yes,,microUSB 2.0,Mediatek MT6572 (28 nm),About 140 EUR,Dual-core 1.3 GHz Cortex-A7,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Gigabyte,,Yes,5 MP,Mali-400,,Discontinued,,Dual SIM,
