,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Talk time,Alert types,Positioning,Loudspeaker,Stand-by_1,_4,Messaging,Loudspeaker_1,Phonebook,EDGE,Radio,Camera,OS,Speed,_3,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Browser,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Stand-by,Keyboard,Talk time_1,Announced,_2,Video,_1,USB,Chipset,Price,CPU,Resolution,Audio quality,Brand,Java,3.5mm jack,Single,GPU,Video_1,Status,GPRS,SIM,SAR EU
,microSDHC (dedicated slot),,136 x 67 x 12.4 mm (5.35 x 2.64 x 0.49 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 5 h,,GPS,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,TFT,147.7 g (5.19 oz),"Accelerometer, proximity",4GB 1GB RAM,"4.5 inches, 55.8 cm2(~61.2% screen-to-body ratio)","Black, White",,VGA,"Li-Ion 2000 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Aku A1,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-aku-a1.jpg,LED flash,Up to 333 h,,,"2013, July. Released 2013, July",,Yes,,microUSB 2.0,Mediatek MT6589 (28 nm),About 150 EUR,Quad-core 1.2 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Gigabyte,,Yes,"5 MP, AF",PowerVR SGX544,,Discontinued,,"Dual SIM (Mini-SIM, dual stand-by)",
,microSDHC (dedicated slot),,124 x 63.5 x 11.8 mm (4.88 x 2.5 x 0.46 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 7 h,,GPS,Yes,,,,,,,FM radio,,Android 4.0 (Ice Cream Sandwich),HSPA,,TFT,125 g (4.41 oz),"Accelerometer, proximity",4GB 512MB RAM,"4.0 inches, 45.5 cm2(~57.8% screen-to-body ratio)","Black, White, Orange, Blue, Green",,VGA,"Li-Ion 1500 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Tuku T2,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-tuku-t2.jpg,LED flash,Up to 225 h,,,"2013, July. Released 2013, July",,Yes,,microUSB 2.0,Qualcomm MSM8225 Snapdragon S4 Play,,Dual-core 1.0 GHz Cortex-A5,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Gigabyte,,Yes,"5 MP, AF",Adreno 203,,Discontinued,,"Dual SIM (Mini-SIM, dual stand-by)",
,microSDHC (dedicated slot),,136 x 67 x 9.7 mm (5.35 x 2.64 x 0.38 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 4 h 30 min,,GPS,Yes,,,,,,,FM radio,,Android 4.2.1 (Jelly Bean),HSPA,,IPS LCD,147 g (5.19 oz),"Accelerometer, proximity, compass",4GB 1GB RAM,"4.5 inches, 55.8 cm2(~61.3% screen-to-body ratio)","Gray, White, Red",,2 MP,"Li-Ion 1700 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Maya M1 v2,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Maya-M1-v2-new.jpg,Dual-LED flash,Up to 500 h,,,"2013, June. Released 2013, July",,Yes,,microUSB 2.0,Mediatek MT6589 (28 nm),About 200 EUR,Quad-core 1.2 GHz Cortex-A7,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",,Gigabyte,,Yes,"8 MP, AF",PowerVR SGX544,,Discontinued,,"Dual SIM (Mini-SIM, dual stand-by)",
,microSDHC (dedicated slot),,145.5 x 72.5 x 8.9 mm (5.73 x 2.85 x 0.35 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 4 h 30 min,,GPS,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA 42.2/11.5 Mbps,,IPS LCD,168 g (5.93 oz),"Accelerometer, proximity, compass",4GB 1GB RAM,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Black/White,,2 MP,"Li-Ion 2000 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Sierra S1,https://fdn2.gsmarena.com/vv/bigpic/GSmart-Sierra-new.jpg,LED flash,Up to 600 h,,,"2013, June. Released 2013, October",,1080p@30fps,,microUSB 2.0,Mediatek MT6589 (28 nm),About 220 EUR,Quad-core 1.5 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gigabyte,,Yes,"13 MP, AF",PowerVR SGX544,720p,Discontinued,,"Dual SIM (Mini-SIM, dual stand-by)",
HSDPA 850 / 2100,microSDHC (dedicated slot),,144 x 73 x 9.5 mm (5.67 x 2.87 x 0.37 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,GPS,Yes,,,,,,,FM radio,,Android 4.2 (Jelly Bean),HSPA,,IPS LCD,165 g (5.82 oz),"Accelerometer, proximity, compass",4GB 1GB RAM,"5.0 inches, 68.9 cm2(~65.6% screen-to-body ratio)",Black/White,,2 MP,"Li-Ion 1900 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Simba SX1,https://fdn2.gsmarena.com/vv/bigpic/GSmart-Simba-new.jpg,LED flash,,,,"2013, June. Released 2013, November",,Yes,eMMC 4.5,microUSB 2.0,Qualcomm MSM8230 Snapdragon 400 (28 nm),About 260 EUR,Dual-core 1.4 GHz Krait,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gigabyte,,Yes,"13 MP, AF",Adreno 305,,Discontinued,,"Dual SIM (Mini-SIM, dual stand-by)",
,microSDHC (dedicated slot),,136 x 67 x 9.7 mm (5.35 x 2.64 x 0.38 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 4 h,,GPS,Yes,,,,,,Yes,FM radio,,Android 4.1 (Jelly Bean),HSPA 7.2/5.76 Mbps,,IPS LCD,150.5 g (5.29 oz),"Accelerometer, proximity, compass",4GB 1GB RAM,"4.5 inches, 55.8 cm2(~61.3% screen-to-body ratio)","Brown, Brown/White, Brown/Red",,2 MP,"Li-Ion 1700 mAh, removable",,,GSM / HSPA,HSDPA,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart Maya M1,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Maya-M1.jpg,Dual-LED flash,Up to 300 h,,,"2013, April. Released 2013, April",,480p@30fps,,microUSB 2.0,Mediatek MT6577 (40 nm),About 220 EUR,Dual-core 1.0 GHz Cortex-A9,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",,Gigabyte,,Yes,"8 MP, AF",PowerVR SGX531u,,Discontinued,Yes,"Dual SIM (Mini-SIM, dual stand-by)",0.75 W/kg (head)
,microSDHC (dedicated slot),,124.2 x 63.8 x 10.5 mm (4.89 x 2.51 x 0.41 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 5 h,,GPS,Yes,,,,,,Yes,No,,Android 4.0 (Ice Cream Sandwich),HSPA 7.2/0.384 Mbps,,IPS LCD,130.5 g (4.59 oz),"Accelerometer, proximity",4GB 512MB RAM,"4.0 inches, 45.5 cm2(~57.5% screen-to-body ratio)","Black, Black/White, Black/Blue, Black/Pink, Black/Yellow",,VGA,"Li-Ion 1500 mAh, removable",,,GSM / HSPA,HSDPA,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gigabyte GSmart Rio R1,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-Rio-R1.jpg,LED flash,Up to 135 h,,,"2013, April. Released 2013, April",,720p,,microUSB 2.0,Qualcomm MSM8225 Snapdragon S4 Play,About 150 EUR,Dual-core 1.0 GHz Cortex-A5,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Gigabyte,,Yes,"5 MP, AF",Adreno 203,,Discontinued,Yes,"Dual SIM (Mini-SIM, dual stand-by)",0.58 W/kg (head)
,microSDHC (dedicated slot),,130.5 x 66.5 x 10.9 mm (5.14 x 2.62 x 0.43 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 4 h,,GPS,Yes,,,,,,,No,,Android 4.0 (Ice Cream Sandwich),HSPA 7.2/5.76 Mbps,,IPS LCD,147.6 g (5.19 oz),"Accelerometer, proximity, compass",4GB 512MB RAM,"4.3 inches, 52.6 cm2(~60.6% screen-to-body ratio)","White, Brown",,VGA,"Li-Ion 1500 mAh, removable",,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gigabyte GSmart GS202,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-gs202.jpg,LED flash,Up to 200 h,,,"2012, December. Released 2012, December",,Yes,,microUSB 2.0,Mediatek MT6577 (40 nm),About 110 EUR,Dual-core 1.0 GHz Cortex-A9,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,Gigabyte,,Yes,"5 MP, AF",PowerVR SGX531u,,Discontinued,,"Dual SIM (Mini-SIM, dual stand-by)",0.24 W/kg (head)
HSDPA 850 / 2100 - SIM 1 only,microSDHC (dedicated slot),,132.5 x 67.7 x 11 mm (5.22 x 2.67 x 0.43 in),3.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 4 h 30 min,,"GPS, A-GPS",Yes,,,,,,,No,,Android 4.0 (Ice Cream Sandwich),HSPA,,"TFT, 256K colors",155 g (5.47 oz),"Accelerometer, proximity",4GB 512MB RAM,"4.3 inches, 51.0 cm2(~56.8% screen-to-body ratio)","Gray, White",,VGA,Removable Li-Ion 1550 mAh battery,,,GSM / HSPA,HSDPA 900 / 2100 - SIM 1 only,"Wi-Fi 802.11 b/g/n, hotspot",,Gigabyte GSmart G1362,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-g1362.jpg,LED flash,Up to 200 h,,,"2012, August. Released 2012, September",,Yes,MP3/AAC+ playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memo/dialPredictive text input,microUSB 2.0,Qualcomm MSM8225 Snapdragon S4 Play,About 210 EUR,Dual-core 1.2 GHz Cortex-A5,"480 x 854 pixels, 16:9 ratio (~228 ppi density)",,Gigabyte,,Yes,"5 MP, AF",Adreno 203,,Discontinued,,Dual SIM (Mini-SIM),
HSDPA 850 / 2100 - SIM 1 only,microSDHC (dedicated slot),,129.8 x 69.8 x 11.5 mm (5.11 x 2.75 x 0.45 in),"2.1, A2DP, EDR",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Up to 4 h 30 min,,"GPS, A-GPS",Yes,,,,,,,No,,Android 2.3.4 (Gingerbread),HSPA,,"TFT, 256K colors",168 g (5.93 oz),"Accelerometer, proximity, compass",1GB 512MB RAM,"4.3 inches, 52.6 cm2(~58.1% screen-to-body ratio)",Gray,,,Removable Li-Ion 1500 mAh battery,,,GSM / HSPA,HSDPA 900 / 2100 - SIM 1 only,"Wi-Fi 802.11 b/g/n, hotspot",,Gigabyte GSmart G1355,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g1355.jpg,LED flash,Up to 115 h,,,"2012, February. Released 2012, September",MP3/AAC+ playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memo/dialPredictive text input,Yes,No,microUSB 2.0,Qualcomm MSM7227T Snapdragon S1,About 190 EUR,800 MHz ARM 11,"480 x 800 pixels, 5:3 ratio (~217 ppi density)",,Gigabyte,,Yes,"5 MP, AF",Adreno 200,,Discontinued,,Dual SIM (Mini-SIM),
GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),,120 x 62.5 x 13.9 mm (4.72 x 2.46 x 0.55 in),"2.1, A2DP, EDR",GSM 850 / 900 / 1800 / 1900 - SIM 1,,Up to 4 h 30 min,,"GPS, A-GPS",Yes,,,,,,,No,,Android 2.3 (Gingerbread),HSPA,MP3/AAC+ playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memoPredictive text input,"TFT, 256K colors",123.3 g (4.34 oz),"Accelerometer, proximity, compass","512MB RAM, 512MB","3.5 inches, 36.5 cm2(~48.6% screen-to-body ratio)",Black,,,Removable Li-Ion 1500 mAh battery,,,GSM / HSPA,HSDPA 900 / 2100 - SIM 1 only,"Wi-Fi 802.11 b/g, hotspot",,Gigabyte GSmart G1345,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-g1345.jpg,LED flash,Up to 115 h,,,"2011, Q2",No,Yes,HSDPA 850 / 2100 - SIM 1 only,microUSB 2.0,Qualcomm MSM7227T Snapdragon S1,,800 MHz ARM 11,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Gigabyte,,Yes,"5 MP, AF",Adreno 200,,Discontinued,,"Dual SIM (Mini-SIM, no dual stand-by)",
GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),,121 x 62.5 x 12.5 mm (4.76 x 2.46 x 0.49 in),"3.0, A2DP, EDR",GSM 850 / 900 / 1800 / 1900 - SIM 1,,Up to 4 h 30 min,,"GPS, A-GPS",Yes,,,,,,,FM radio,,Android 4.0 (Ice Cream Sandwich),HSPA,MP3/AAC+ playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memo/dialPredictive text input,"TFT, 256K colors",120 g (4.23 oz),"Accelerometer, proximity, compass",1GB 512MB RAM,"3.5 inches, 36.5 cm2(~48.2% screen-to-body ratio)",Black,,,Removable Li-Ion 1500 mAh battery,,,GSM / HSPA,HSDPA 900 / 2100 - SIM 1 only,"Wi-Fi 802.11 b/g/n, hotspot",,Gigabyte GSmart G1342 Houston,https://fdn2.gsmarena.com/vv/bigpic/huawei-houston-g1342.jpg,,Up to 115 h,,,2011,No,Yes,HSDPA 850 / 2100 - SIM 1 only,microUSB 2.0,Qualcomm MSM7225AA Snapdragon S1,,800 MHz Cortex-A5,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Gigabyte,,Yes,3.15 MP,Adreno 200,,Discontinued,,Dual SIM (Mini-SIM),
GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),Yes,110 x 59 x 13 mm (4.33 x 2.32 x 0.51 in),"2.1, A2DP, EDR",GSM 850 / 900 / 1800 / 1900 - SIM 1,,Up to 4 h 30 min (2G) / Up to 4 h (3G),,No,Yes,,,"SMS, MMS, Email, Push Email, IM",,"Yes, Photocall",,No,,,HSPA,,"TFT resistive touchscreen, 65K colors",95 g (3.35 oz),,"64MB RAM, 128MB ROM","2.4 inches, 17.8 cm2(~27.5% screen-to-body ratio)",Black,Yes,Yes,Removable Li-Ion 900 mAh battery,HTML,,GSM / HSPA,HSDPA 2100,No,,Gigabyte GSmart M3447,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart-M3447.jpg,,Up to 450 h (2G) / Up to 200 h (3G),QWERTY,,2011. Released 2011,,Yes,MP3/eAAC+ playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memoPredictive text input,Proprietary,,,MediaTek MT6268 246 MHz,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Gigabyte,,No,2 MP,,,Discontinued,,Dual SIM (Mini-SIM),
GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),,113.5 x 60 x 12.9 mm (4.47 x 2.36 x 0.51 in),"2.1, A2DP, EDR",GSM 850 / 900 / 1800 / 1900 - SIM 1,,Up to 4 h 40 min,,"GPS, A-GPS",Yes,,,,,,,FM radio,,Android 2.2 (Froyo),HSPA,,"TFT, 256K colors",117 g (4.13 oz),"Accelerometer, proximity, compass","256MB RAM, 512MB","3.2 inches, 30.5 cm2(~44.8% screen-to-body ratio)","Champagne gold, pearl white",,,Removable Li-Po 1260 mAh battery,HTML,,GSM / HSPA,HSDPA 900 / 2100 - SIM 1 only,"Wi-Fi 802.11 b/g, hotspot",,Gigabyte GSmart G1310,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g1310.jpg,,Up to 255 h,,,"2011, January. Released 2011, July",MP3/AAC+ playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memoPredictive text input,Yes,No,microUSB 2.0,Qualcomm MSM7225-1 Snapdragon S1,About 10 EUR,528 MHz ARM 11,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,Gigabyte,,Yes,"5 MP, AF",No,,Discontinued,,Dual SIM (Mini-SIM),
GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),,113.5 x 60 x 13.3 mm (4.47 x 2.36 x 0.52 in),"2.1, A2DP, EDR",GSM 850 / 900 / 1800 / 1900 - SIM 1,,Up to 6 h 30 min,,"GPS, A-GPS",Yes,,MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerOffice document viewerVoice memoPredictive text input,,,,,Stereo FM radio,,Android 2.2 (Froyo),HSPA,No,"TFT resistive touchscreen, 16M colors",116 g (4.09 oz),"Accelerometer, proximity, compass",512MB 256MB RAM,"3.2 inches, 29.1 cm2(~42.8% screen-to-body ratio)","Glossy Black, Glossy White",,,Removable Li-Ion 1260 mAh battery,HTML,,GSM / HSPA,HSDPA 900 / 2100 - SIM 1 only,"Wi-Fi 802.11 b/g, hotspot",,Gigabyte GSmart G1317 Rola,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-rola.jpg,LED flash,Up to 115 h,,,"2010, November. Released 2011, April",,Yes,HSDPA 850 / 2100 - SIM 1 only,microUSB 2.0,Qualcomm MSM7225 Snapdragon S1,About 130 EUR,528 MHz ARM 11,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",,Gigabyte,,Yes,3.15 MP,No,,Discontinued,,"Dual SIM (Mini-SIM, dual stand-by)",
GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),,113.5 x 61.3 x 13.3 mm (4.47 x 2.41 x 0.52 in),"2.1, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1,,Up to 6 h 30 min,,"GPS, A-GPS",Yes,,,,,,,Stereo FM radio,,Android 2.2 (Froyo),HSPA,,"TFT, 256K colors",118 g (4.16 oz),"Accelerometer, proximity, compass","256MB RAM, 512MB","3.5 inches, 36.5 cm2(~52.4% screen-to-body ratio)","Black, white",,,Removable Li-Ion 1260 mAh battery,HTML,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g, hotspot",,Gigabyte GSmart G1315 Skate,https://fdn2.gsmarena.com/vv/bigpic/GSmart-Skate-G1315.jpg,,Up to 115 h,,,"2011. Released 2011, October",MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerOrganizerOffice document viewerVoice memoPredictive text input,Yes,No,microUSB 2.0,Qualcomm MSM7225-1 Snapdragon S1,,528 MHz ARM 11,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Gigabyte,,Yes,"5 MP, AF",No,,Discontinued,,"Dual SIM (Mini-SIM, dual stand-by)",
GSM 850 / 900 / 1800 / 1900 - SIM 2,microSDHC (dedicated slot),,110.6 x 55 x 13.1 mm (4.35 x 2.17 x 0.52 in),"2.1, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1,,Up to 4 h,,"GPS, A-GPS",Yes,,,,Voice 67dB / Noise 75dB / Ring 66dB,,Class 10,Stereo FM radio,Photo,Microsoft Windows Mobile 6.5 Professional,,,"TFT resistive touchscreen, 65K colors",114.5 (4.02 oz),,"256MB ROM, 128MB RAM","3.2 inches, 29.1 cm2(~47.9% screen-to-body ratio)",Black,,,Removable Li-Po 1320 mAh battery,"WAP 2.0/xHTML, HTML",,GSM,,Wi-Fi 802.11 b/g,,Gigabyte GSmart S1205,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-s1205.jpg,,Up to 150 h,,,"2010, March. Released 2010, April",MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeOrganizerVoice memo/dialPredictive text input,480p,No,microUSB 2.0,,About 150 EUR,416 MHz Media Tek MT6516,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Noise -89.6dB / Crosstalk -88.2dB,Gigabyte,,Yes,3.15 MP,,,Discontinued,Class 12,"Dual SIM (Mini-SIM, dual stand-by)",
,microSDHC (dedicated slot),,116 x 56.8 x 12.4 mm (4.57 x 2.24 x 0.49 in),"2.0, A2DP",GSM 850 / 900 / 1800 / 1900,,Up to 7 h 10 min,,"GPS, A-GPS",Yes,,,,,,,,,Android 1.6 (Donut),HSPA 7.2/0.384 Mbps,,"TFT, 256K colors",118 g (4.16 oz),Accelerometer,256MB RAM,"3.2 inches, 30.5 cm2(~46.3% screen-to-body ratio)","Black, White",,,Removable Li-Po 1230 mAh battery,HTML,,GSM / HSPA,HSDPA 900 / 1900 / 2100,Wi-Fi 802.11 b/g,,Gigabyte GSmart G1305 Boston,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-g1305-codfish-ofic.jpg,LED flash,Up to 410 h,,,"2010, April. Released 2010, April",,Yes,MP3/WAV/eAAC+ playerMP4/H.264 playerDocument viewerPhoto viewer/editorOrganizerVoice memoPredictive text input,2.0,Qualcomm MSM7227 Snapdragon S1,About 110 EUR,600 MHz ARM 11,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",,Gigabyte,,Yes,"5 MP, AF",Adreno 200,,Discontinued,,Mini-SIM,
Pocket OfficeMP3/eAAC+/WMA/WAV/AMR playerWMV/MP4/3gp playerOrganizerBusiness card scannerPredictive text input,microSD (dedicated slot),,117 x 59.8 x 14.8 mm (4.61 x 2.35 x 0.58 in),"2.0, A2DP",GSM 900 / 1800 / 1900,,Up to 4 h,,"GPS, A-GPS; SiRF Star III chipset",Yes,,,,,,,"Stereo FM radio, RDS",,Microsoft Windows Mobile 6.1 Professional,HSPA 3.6/0.384 Mbps,,"TFT resistive touchscreen, 65K colors",130 g (4.59 oz),,"128MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~34.7% screen-to-body ratio)",Iron Gray,,VGA videocall camera,Removable Li-Po 1300 mAh battery,WAP 2.0/xHTML,,GSM / HSPA,HSDPA 2100,Wi-Fi 802.11b/g,,Gigabyte GSmart MS802,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-ms802.jpg,,Up to 150 h,,,"2009, June. Released 2009, Q3",,Yes,,miniUSB 2.0,,,520MHz Marvell PXA270,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Gigabyte,,No,"3.15 MP, AF",,,Discontinued,,Mini-SIM,
No,microSD (dedicated slot),,117 x 59.8 x 14.8 mm (4.61 x 2.35 x 0.58 in),"2.0, A2DP",GSM 900 / 1800 / 1900,,Up to 4 h,,"GPS, A-GPS; SiRF Star III chipset",Yes,,,,,,Yes,"Stereo FM radio, RDS",,Microsoft Windows Mobile 6.1 Professional,,,"TFT resistive touchscreen, 65K colors",130 g (4.59 oz),,"128MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~34.7% screen-to-body ratio)",Iron Gray,,,Removable Li-Po 1300 mAh battery,WAP 2.0/xHTML,,GSM,,Wi-Fi 802.11b/g,,Gigabyte GSmart MW702,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mw702.jpg,,Up to 150 h,,,"2009, June. Released 2009, Q3",,Yes,Pocket OfficeMP3/eAAC+/WMA/WAV/AMR playerWMV/MP4/3gp playerOrganizerBusiness card scannerPredictive text input,miniUSB 2.0,,,520MHz Marvell PXA270,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Gigabyte,,No,"3.15 MP, AF",,,Discontinued,Class 12,Mini-SIM,
HSDPA 850 / 1900 / 2100 - American version,microSDHC (dedicated slot),,106 x 52 x 11.4 mm (4.17 x 2.05 x 0.45 in),"2.0, A2DP",GSM 850 / 900 / 1800 / 1900,,Up to 4 h,,"GPS, A-GPS; SiRF Star III chipset",Yes,,,,,,,"Stereo FM radio, RDS",,Microsoft Windows Mobile 6.1/6.5 Professional,HSPA 7.2/2 Mbps,,"TFT resistive touchscreen, 65K colors",102.5 g (3.60 oz),Accelerometer,"288MB RAM, 512MB ROM","3.1 inches, 27.4 cm2(~49.6% screen-to-body ratio)",Black,,VGA videocall camera,Removable Li-Po 1010 mAh battery,WAP 2.0/xHTML,,GSM / HSPA,HSDPA 900 / 2100,Wi-Fi 802.11b/g,,Gigabyte GSmart S1200,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-s1200.jpg,LED flash,Up to 150 h,,,"2009, February. Released 2009, August",Pocket OfficeMP3/еAAC+/WMA/AMR playerWMV/MP4/3gp playerOrganizerТ9,Yes,Smart Vision touch UIG-Widget,miniUSB 2.0,Qualcomm MSM7200A,,528 MHz ARM 11,"480 x 800 pixels, 5:3 ratio (~301 ppi density)",,Gigabyte,,No,"3.15 MP, AF",Adreno 130,,Discontinued,,Mini-SIM,
Pocket OfficeMP3/eAAC+/WMA/WAV/AMR playerWMV/MP4/3gp playerOrganizerBusiness card scannerPredictive text input,microSD (dedicated slot),,116 x 59 x 14.1 mm (4.57 x 2.32 x 0.56 in),"2.0, A2DP",GSM 900 / 1800 / 1900,,Up to 4 h,"Vibration; Downloadable polyphonic, MP3, WAV, WMA ringtones","GPS, A-GPS; SiRF Star III chipset",Yes,,,,,,,"Stereo FM radio, RDS",,Microsoft Windows Mobile 6.1 Professional,HSPA 7.2/0.384 Mbps,,"TFT resistive touchscreen, 65K colors",105 g (3.70 oz),Accelerometer,"128MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~35.5% screen-to-body ratio)",Dark Gray,,VGA videocall camera,Removable Li-Po 1300 mAh battery,WAP 2.0/xHTML,,GSM / HSPA,HSDPA 2100,Wi-Fi 802.11b/g,,Gigabyte GSmart MS820,https://fdn2.gsmarena.com/vv/bigpic/ms820.jpg,LED flash,Up to 150 h,,,"2008, June. Released 2009",,Yes,,miniUSB 2.0,,About 380 EUR,Marvell PXA270 520MHz,"480 x 640 pixels, 4:3 ratio (~286 ppi density)",,Gigabyte,,No,"5 MP, AF",,,Discontinued,,Mini-SIM,
Pocket OfficeMP3/eAAC+/WMA/WAV/AMR playerWMV/MP4/3gp playerOrganizerBusiness card scannerPredictive text input,microSD (dedicated slot),,116 x 59 x 15 mm (4.57 x 2.32 x 0.59 in),"2.0, A2DP",GSM 900 / 1800 / 1900,,Up to 4 h,"Vibration; Downloadable polyphonic, MP3, WAV, WMA ringtones","GPS, A-GPS; SiRF Star III chipset",Yes,,,,,,,"Stereo FM radio, RDS",,Microsoft Windows Mobile 6.0 Professional,HSPA 3.6/0.384 Mbps,,"TFT resistive touchscreen, 65K colors",133 g (4.69 oz),,"64MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~35.5% screen-to-body ratio)",Black,,VGA videocall camera,Removable Li-Po 1300 mAh battery,WAP 2.0/xHTML,,GSM / HSPA,HSDPA 2100,Wi-Fi 802.11b/g,,Gigabyte GSmart MS800,https://fdn2.gsmarena.com/vv/bigpic/ms800.jpg,,Up to 150 h,,,"2008, February. Released 2008, September",,Yes,,miniUSB 1.1,,About 360 EUR,Marvell PXA270 520MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Gigabyte,,No,2 MP,,,Discontinued,,Mini-SIM,
