,Announced,Call records,Resolution,Price,Infrared port,Keyboard,Chipset,_3,CPU,Technology,Model Image,Alert types,Phonebook,Video_1,WLAN,Games,GPRS,NFC,Messaging,Talk time,OS,USB,EDGE,Features,Status,3G bands,Positioning,Radio,Bluetooth,Brand,Sensors,_1,Video,Speed,Features_1,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Browser,Loudspeaker,_2,GPU,Single_1,Model Name,Type,Card slot,4G bands,Java,Stand-by
MP3/AAC/AAC/eAAC+/XMF playerMP4/3GP playerVoice memo,"2007, Q4",Yes,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,Qualcomm 6250A,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/benq-m7.gif,Vibration; Downloadable polyphonic ringtones,Yes,,No,Yes,,,"SMS, MMS, EMS, Email",Up to 5 h,,1.1,,,Cancelled,UMTS 2100,"GPS, A-GPS",No,1.1,BenQ,,,480p,"Yes, 384 kbps",,105 x 47.5 x 16.8 mm (4.13 x 1.87 x 0.66 in),2 MP,Charcoal with crimson trim,No,Mini-SIM,"2.0 inches, 12.4 cm2(~24.8% screen-to-body ratio)",93 g (3.28 oz),Removable Li-Ion 920 mAh battery,50MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,,,VGA videocall camera,BenQ M7,"TFT, 256K colors",microSD,,"Yes, MIDP 2.0",Up to 400 h
Wallpapers,"2007, August",,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",About 120 EUR,,,TI OMAP V1030,,260 MHz,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-e72.gif,"Vibration; Downloadable polyphonic, MP3, MIDI, Flash ringtones",,,Wi-Fi 802.11 b/g,,Class 10,,,Up to 4 h,Microsoft Windows Mobile 6.0,2.0,Yes,,Discontinued,,No,No,"2.0, A2DP",BenQ,,No,Yes,,,108 x 46 x 13 mm (4.25 x 1.81 x 0.51 in),2 MP,Bright red,No,Mini-SIM,"2.0 inches, 12.4 cm2(~24.9% screen-to-body ratio)",90 g (3.17 oz),Removable Li-Ion 900 mAh battery,128MB 64MB RAM,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML, Email, MSN",Yes,MP3/AAC/AAC+/WAV/WMA playerMP4/WMV/3GP playerVoice memo,,,BenQ E72,"TFT, 65K colors",microSD (dedicated slot),,,Up to 180 h
Wallpapers,"2007, September","10 dialed, 10 received, 10 missed calls",128 x 160 pixels (~114 ppi density),,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-c30.gif,"Vibration; Downloadable polyphonic, MP3, AAC, WAV, AMR, MIDI ringtones",Yes,,No,Yes,Class 12,,"SMS, EMS, MMS",Up to 4 h,,1.1,No,,Cancelled,,No,FM radio,No,BenQ,,No,Yes,,,108 x 47.3 x 14.4 mm (4.25 x 1.86 x 0.57 in),VGA,Vibrant grey,No,Mini-SIM,"1.8 inches, 10.2 cm2(~20.0% screen-to-body ratio)",77 g (2.72 oz),Removable Li-Ion 650 mAh battery,,GSM 900 / 1800,WAP 2.0/xHTML,Yes,"E-book readerHealth managementMP3, AAC, WAV playerVoice memo",,,BenQ C30,"TFT, 256K colors",microSD,,"Yes, MIDP 2.0",Up to 250 h
"Second external mono OLED display 128 x 32 pixels, 1 inchWallpapers","2007, August","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~157 ppi density),,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-t51.gif,"Vibration; Polyphonic(64), MP3, MIDI, iMelody ringtones",Yes,,No,Yes,Class 10,,"SMS, MMS",Up to 3 h 30 min,,1.1,No,,Cancelled,,No,FM radio,1.2,BenQ,,No,Yes,,,86.4 x 45.3 x 20.8 mm (3.40 x 1.78 x 0.82 in),2 MP,"Burnished graphite, Peach essence",No,Mini-SIM,"1.8 inches, 10.2 cm2(~26.1% screen-to-body ratio)",85.5 g (3.00 oz),Removable Li-Ion 750 mAh battery,23MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,Webcam funcitonPredictive text inputStopwatchOrganizer,,,BenQ T51,"TFT, 256K colors",microSD,,"Yes, MIDP 2.0",Up to 150 h
Wallpapers,"2007, August","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~157 ppi density),,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-t33.gif,"Vibration; Downloadable polyphonic, MP3, MIDI, Flash ringtones",Yes,,No,Yes,Class 10,,"SMS, MMS",Up to 3 h 30 min,,1.1,No,,Cancelled,,No,FM radio,"1.2, A2DP",BenQ,,No,Yes,,,92 x 48 x 19 mm (3.62 x 1.89 x 0.75 in),2 MP,Black Rock,No,Mini-SIM,"1.8 inches, 10.2 cm2(~23.1% screen-to-body ratio)",85 g (3.00 oz),Removable Li-Ion 750 mAh battery,23MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,MP3 playerWebcam functionPredictive text inputStopwatchOrganizer,,,BenQ T33,"TFT, 256K colors",microSD,,"Yes, MIDP 2.0",Up to 150 h
Wallpapers,"2006, February","100 dialed, 100 received, 100 missed calls","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-el71.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","1000 x 20 fields, Photo call",,No,Yes,Class 10,,"SMS, EMS, MMS",Up to 4 h,,2.0,Class 10,LED flash,Discontinued,,No,No,"1.2, A2DP",BenQ,,No,Yes,,,90 x 46.3 x 16.5 mm (3.54 x 1.82 x 0.65 in),1.3 MP,Vibrant grey,No,Mini-SIM,"2.0 inches, 30 x 40 mm, 12.4 cm2(~29.7% screen-to-body ratio)",94 g (3.32 oz),Removable Li-Ion 570 mAh battery,16MB,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, Email",No,MP3/AAC/WAV playerPredictive text inputStopwatchOrganizerVoice memo,,,BenQ EL71,"TFT, 256K colors",microSD (dedicated slot),,"Yes, MIDP 2.0",Up to 280 h
Second external mono OLED display 96 x 32 pixelsWallpapers,"2006, Q1","10 dialed, 10 received, 10 missed calls",128 x 160 pixels (~114 ppi density),,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-m580.gif,Polyphonic(40) ringtones,500 entries,,No,2 + downloadable,Class 10,,"SMS, MMS",Up to 5 h 30 min,,No,No,,Discontinued,,No,No,1.2,BenQ,,No,No,,,88 x 44 x 22 mm (3.46 x 1.73 x 0.87 in),VGA,"Mercury Silver, Ebony Black, Pearl White",No,Mini-SIM,"1.8 inches, 29 x 35 mm, 10.2 cm2(~26.3% screen-to-body ratio)",95 g (3.35 oz),Removable Li-Ion 870 mAh battery,2MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,Predictive text inputStopwatchOrganizer,,,BenQ M580,"CSTN, 65K colors",No,,"Yes, MIDP 2.0",Up to 155 h
WallpapersDownloadable pictures,"2005, Q1","10 dialed, 10 received, 10 missed calls",176 x 220 pixels,,Yes,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqu700.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",500 entries,,No,Yes,Class 10,,"SMS, EMS, MMS, EMail",Up to 4 h,,Proprietary,No,LED flash,Cancelled,,No,No,No,BenQ,,No,Yes,,,97 x 46 x 27 mm (3.82 x 1.81 x 1.06 in),1.3 MP,,No,Mini-SIM,,135 g (4.76 oz),Removable Li-Ion 1000 mAh battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,MP3/MP4 playeriTapPhoto editorOrganizer,,,BenQ U700,"TFT, 256K colors",miniSD,,Yes,Up to 200 h
WallpapersDownloadable pictures,"2005, Q1","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,MP3 playerChangeable front and back coversiTapVoice memoOrganizer,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqz2.gif,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",500 entries,,No,Yes,Class 10,,"SMS, EMS, MMS",Up to 5 h,,Proprietary,No,LED flash,Discontinued,,No,FM radio,No,BenQ,,No,No,,,66 x 66 x 20 mm (2.60 x 2.60 x 0.79 in),1.3 MP,"Vanilla White, Berry Blue, Wasabi Green, Bubblegum Pink",No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~16.7% screen-to-body ratio)",106 g (3.74 oz),Removable Li-Ion 1000 mAh battery,60MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,3D surround sound,,,BenQ Z2,"TFT, 256K colors",miniSD,,Yes,Up to 150 h
Wallpapers,"2005, Q1","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,iTapStopwatchOrganizer,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-m315.gif,"Polyphonic(16) - SMAF, iMelody, Midi ringtones",500 entries,,No,"Eda Mouse, Cherry Boy",Class 10,,"SMS, MMS",Up to 5 h,,Proprietary,No,,Discontinued,,No,No,1.1,BenQ,,300 SMS messages20 CIF(352 x 288) photos,No,,,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),CIF,Express Silver,No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~16.2% screen-to-body ratio)",86 g (3.03 oz),Removable Li-Ion 760 mAh battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,No,,,BenQ M315,"CSTN, 65K colors",No,,No,Up to 140 h
