,Announced,Call records,Resolution,Price,Infrared port,Keyboard,Chipset,_3,CPU,Technology,Model Image,Alert types,Phonebook,Video_1,WLAN,Games,GPRS,NFC,Messaging,Talk time,OS,USB,EDGE,Features,Status,3G bands,Positioning,Radio,Bluetooth,Brand,Sensors,_1,Video,Speed,Features_1,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Browser,Loudspeaker,_2,GPU,Single_1,Model Name,Type,Card slot,4G bands,Java,Stand-by
Wallpapers,"2005, Q1","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,iTapStopwatchOrganizer,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-m220.gif,"Vibration; Polyphonic(16) - SMAF, iMelody, Midi ringtones",500 entries,,No,"Eda Mouse, Cherry Boy",Class 10,,"SMS, EMS, MMS",Up to 5 h,,Proprietary,No,,Discontinued,,No,FM radio,No,BenQ,,300 SMS messages,,,,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),,"Cool Silver, Stark White, Crystal Black",No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~16.2% screen-to-body ratio)",86 g (3.03 oz),Removable Li-Ion 760 mAh battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,No,,,BenQ M220,"CSTN, 65K colors",No,,No,Up to 140 h
"Second CSTN display (96 x 64 pixels), 65K colorsWallpapersDownloadable pictures","2005, Q1","10 dialed, 10 received, 10 missed calls",176 x 220 pixels (~141 ppi density),,Yes,,,,,GSM / UMTS,https://fdn2.gsmarena.com/vv/bigpic/bqs80.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","500 entries, Photo call",,No,Yes,,,"SMS, MMS",Up to 4 h,,Proprietary,,LED flash,Discontinued,UMTS 2100,No,No,1.1,BenQ,,CIF videocall camera,Yes,"Yes, 384 kbps",,90 x 45 x 24 mm (3.54 x 1.77 x 0.94 in),1.3 MP,"Red, Black",No,Mini-SIM,"2.0 inches, 31 x 39 mm, 12.6 cm2(~31.1% screen-to-body ratio)",110 g (3.88 oz),Removable Li-Ion 840 mAh battery,10MB,GSM 900 / 1800,WAP 2.0/xHTML,No,MP3/MP4 playeriTapOrganizer,,,BenQ S80,"TFT, 256K colors",miniSD,,"Yes, MIDP 2.0",Up to 300 h
"Second external OLED, 65K colors display (96 x 39 pixels)WallpapersDownloadable pictures","2005, Q1","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqa520.gif,"Vibration; Downloadable polyphonic ringtones, composer",500 entries,,No,Yes,Class 10,,"SMS, EMS, MMS",Up to 3 h,,Proprietary,No,,Discontinued,,No,No,No,BenQ,,No,No,,,82.5 x 44.8 x 22.6 mm (3.25 x 1.76 x 0.89 in),VGA,"Black, White",No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~19.6% screen-to-body ratio)",96 g (3.39 oz),Removable Li-Ion 700 mAh battery,2MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,Webcamera functioniTapPhoto editorOrganizer,,,BenQ A520,"OLED, 65K colors",No,,"Yes, MIDP 1.0",Up to 120 h
"Second external STN, 65K colors display (96 x 32 pixels)","2005, Q2","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/benq-m350.gif,Vibration; Polyphonic(16) ringtones,"500 entries, Photo call",,No,Yes,Yes,,"SMS, EMS, MMS",Up to 5 h,,Proprietary,No,,Discontinued,,No,No,No,BenQ,,No,Yes,,,83 x 45 x 23 mm (3.27 x 1.77 x 0.91 in),CIF,"Black, White",No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~19.4% screen-to-body ratio)",85 g (3.00 oz),Removable Li-Ion 740 mAh battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,iTapPhoto editorOrganizer,,,BenQ M350,"CSTN, 65K colors",No,,Yes,Up to 200 h
"Second external CSTN display, 4096 colorsWallpapers, themesDownloadable pictures","2004, Q4","30 dialed, 30 received, 30 missed calls",128 x 160 pixels (~108 ppi density),,Yes,,,Predictive text inputMedia viewerOrganizer,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqa500.gif,"Vibration; Downloadable polyphonic ringtones, composer","500 x 8 fields, Photo call",,No,3 + 2 pre-loaded Java games + downloadable,Class 10,,"SMS, EMS, MMS",Up to 3 h,,,No,,Discontinued,,No,No,No,BenQ,,1000 short messages,Yes,,,83.5 x 45 x 23.1 mm (3.29 x 1.77 x 0.91 in),VGA,"3 - Electric Blue, Cool Pink, Funky Gold",No,Mini-SIM,"1.9 inches, 30 x 37 mm, 11.4 cm2(~30.2% screen-to-body ratio)",98 g (3.46 oz),Removable Li-Ion 700 mAh battery,20MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,No,,,BenQ A500,"TFT, 256K colors",No,,Yes,Up to 180 h
Second external OLED display 96 x 39 pixelsWallpapersDownloadable pictures,"2004, Q3","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqs680c.gif,Vibration; Downloadable polyphonic ringtones,500,,No,Yes + downloadable,Class 10,,"SMS, MMS",Up to 3 h,,,No,,Discontinued,,No,No,No,BenQ,,No,No,,,81 x 44 x 22 mm (3.19 x 1.73 x 0.87 in),VGA,,No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~20.4% screen-to-body ratio)",80 g (2.82 oz),Removable Li-Ion battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,Predictive text inputOrganizer,,,BenQ S680C,"CSTN, 65K colors",No,,"Yes, MIDP 1.0",Up to 100 h
WallpapersDownloadable pictures,"2004, Q1",,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Yes,QWERTY,,MP3/MP4 playerHandwriting recognitionPocket OfficeVoice command,Intel PXA272 416 MHz,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqp50.gif,"Vibration; Downloadable polyphonic, MP3 ringtones",,,Wi-Fi 802.11b,,Class 10,,,Up to 4 h,Microsoft Windows PocketPC 2003 Phone edition,Proprietary,No,,Discontinued,,No,No,1.1,BenQ,,,Yes,,,122 x 60 x 20 mm (4.80 x 2.36 x 0.79 in),1.3 MP,,No,Mini-SIM,"2.8 inches, 42 x 57 mm, 24.3 cm2(~33.2% screen-to-body ratio)",170 g (6.00 oz),Removable Li-Ion 1240 mAh battery,"64MB RAM, 64MB ROM",GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML",Yes,No,,,BenQ P50,"TFT resistive touchscreen, 65K colors","MMC/SDIO, up to 2 GB",,,Up to 120 h
WallpapersDownloadable pictures,"2004, Q1",,"208 x 320 pixels, 3:2 ratio",,Yes,,TI OMAP V1030,,144 MHz,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqp31.gif,Vibration; Downloadable polyphonic ringtones,,,No,,Class 10,,,Up to 5 h,"Symbian 7.0, UIQ v2.1 UI",Proprietary,No,,Discontinued,,No,No,1.1,BenQ,,No,Yes,,,118 x 52 x 17 mm (4.65 x 2.05 x 0.67 in),1.3 MP,,No,Mini-SIM,,150 g (5.29 oz),Removable Li-Ion battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,MP3/MP4 playerHandwriting recognitioniTap,,,BenQ P31,"TFT resistive touchscreen, 65K colors",SD/MMC,,,Up to 120 h
WallpapersDownloadable pictures,"2004, Q1",,"208 x 320 pixels, 3:2 ratio (~147 ppi density)",,Yes,,TI OMAP V1030,,144 MHz,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqp30.gif,Vibration; Downloadable polyphonic ringtones,,,No,,Class 10,,,Up to 5 h,"Symbian 7.0, UIQ v2.1 UI",Proprietary,No,,Discontinued,,No,No,1.1,BenQ,,No,Yes,,,118 x 52 x 17 mm (4.65 x 2.05 x 0.67 in),VGA,,No,Mini-SIM,"2.6 inches, 36 x 55 mm, 19.9 cm2(~32.5% screen-to-body ratio)",150 g (5.29 oz),Removable Li-Ion battery,,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (Opera)",Yes,MP3/MP4 playerHandwriting recognitioniTap,,,BenQ P30,"TFT resistive touchscreen, 256K colors",SD/MMC,,,Up to 120 h
"Second CSTN display (96 x 64 pixels), 4096 colorsAnimated wallpapersDownloadable pictures","2004, Q1","30 dialed, 30 received, 30 missed calls",128 x 160 pixels (~114 ppi density),,Yes,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqs700.gif,"Vibration; Downloadable polyphonic ringtones, composer","500 entries, Photo call",,No,4 + downloadable,Class 10,,"SMS, EMS, MMS",Up to 3 h,,Proprietary,No,LED flash,Discontinued,,No,No,No,BenQ,,No,Yes,,,82 x 41 x 21 mm (3.23 x 1.61 x 0.83 in),1.3 MP,"3 - Mysterious Black, Classic Silver, Progressive Blue",No,Mini-SIM,"1.8 inches, 29 x 35 mm, 10.2 cm2(~30.3% screen-to-body ratio)",90 g (3.17 oz),Removable Li-Ion battery,15MB,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,Yes,MP3/MP4 playerPredictive text inputOrganizer,,,BenQ S700,"TFT, 256K colors",miniSD,,"Yes, MIDP 2.0",Up to 100 h
WallpapersDownloadable pictures,"2004, Q1","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,iTapStopwatchOrganizerExchangeable covers,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqm300.gif,"Vibration; Downloadable polyphonic - SMAF, iMelody, Midi ringtones",500,,No,"Eda Mouse, Cherry Boy",Class 10,,"SMS, EMS, MMS",Up to 5 h,,,No,,Discontinued,,No,No,No,BenQ,,No,No,,,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),CIF,Arctic White,No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~16.2% screen-to-body ratio)",86 g (3.03 oz),Removable Li-Ion 760 mAh battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,"Formats: SMAF, iMelody, Midi",,,BenQ M300,"CSTN, 65K colors",No,,No,Up to 230 h
WallpapersDownloadable pictures,"2004, Q1","30 received, dialed and missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqm100.gif,Vibration; Downloadable polyphonic ringtones,500,,No,"3 - Box World, Mini Mouse, Cherry Boy",No,,SMS,Up to 3 h,,,No,,Discontinued,,No,No,No,BenQ,,No,,,,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),,"White, Dark blue, Claret, Gray",No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~16.2% screen-to-body ratio)",86 g (3.03 oz),Removable Li-Ion 760 mAh battery,,GSM 900 / 1800 / 1900,,No,iTapOrganizerExchangeable covers,,,BenQ M100,"CSTN, 65K colors",No,,No,Up to 120 h
Second external OLED display 96 x 39 pixelsWallpapersDownloadable pictures,"2004, Q1","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,iTapOrganizerVoice memoVoice dial,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqs670c.gif,"Vibration; Downloadable polyphonic ringtones, composer",500 entries,,No,Yes,Class 10,,"SMS, EMS, MMS",Up to 3 h,,,No,,Discontinued,,No,No,No,BenQ,,300KB memory for Java applications,No,,,81 x 44 x 22 mm (3.19 x 1.73 x 0.87 in),VGA,"2 - Genie silver, Party blue",No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~20.4% screen-to-body ratio)",80 g (2.82 oz),Removable Li-Ion battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,No,,,BenQ S670C,"CSTN, 65K colors",No,,"Yes, MIDP 1.0",Up to 100 h
Second external OLED display 96 x 39 pixelsWallpapersDownloadable pictures,"2004, Q1","10 dialed, 10 received, 10 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqs660c.gif,"Vibration; Downloadable polyphonic ringtones, composer",500 entries,,No,"2 - Champion Soccer, Dragon Fight",Class 6,,"SMS, EMS",Up to 3 h,,,No,,Discontinued,,No,No,No,BenQ,,No,,,,81 x 44 x 21 mm (3.19 x 1.73 x 0.83 in),,"3 - Light White, Sky Silver, Horizon Purple",No,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2(~20.4% screen-to-body ratio)",75 g (2.65 oz),Removable Li-Ion battery,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,No,iTapVoice memoOrganizer,,,BenQ S660C,"TFT, 65K colors",No,,"Yes, MIDP 1.0",Up to 100 h
Downloadable pictures,"2003, Q1","10 dialed, 10 received, 10 missed calls","98 x 64 pixels, 3:2 ratio",,,,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bqm775c.gif,"Vibration; Downloadable polyphonic ringtones, composer",Yes,,No,Yes,Class 10,,"SMS, EMS",Up to 3 h,,,No,,Discontinued,,No,No,No,BenQ,,No,,,,99 x 42 x 15 mm (3.90 x 1.65 x 0.59 in),,,No,Mini-SIM,,85 g (3.00 oz),Removable Li-Ion battery,,GSM 900 / 1800,WAP 1.2.1,No,iTapOrganizerSynchronization,,,BenQ M775C,"CSTN, 4096 colors",No,,No,Up to 150 h
