,Single,Stand-by,_1,Charging,Type_1,2G bands,Card slot,_3,OS,SIM,Model Name,Price,Speed,Weight,Protection,Announced,Sensors,Colors,_4,Technology,Single_1,Loudspeaker,NFC,USB,Size,Talk time,Resolution,SAR EU,Alert types,Infrared port,3G bands,WLAN,CPU,4G bands,GPU,GPRS,_2,EDGE,Internal,Features,Status,Model Image,Positioning,SAR,3.5mm jack,Radio,Browser,Chipset,Keyboard,Video_1,Brand,Dimensions,Type,Video,Bluetooth
HSDPA 900 / 2100,5 MP,Up to 300 h,No,,Removable Li-Ion 910 mAh battery,GSM 850 / 900 / 1800 / 1900,No,,HP webOS 2.2,Mini-SIM,HP Veer,About 320 EUR,HSPA 7.2/5.76 Mbps,103 g (3.63 oz),,"2011, February. Released 2011, June","Accelerometer, proximity",Black,,GSM / HSPA,,Yes,,microUSB 2.0,"2.6 inches, 21.3 cm2(~46.5% screen-to-body ratio)",Up to 5 h,320 x 400 pixels (~197 ppi density),,,,HSDPA 850 / 1900,Wi-Fi 802.11 b/g/n,800 MHz Scorpion,,Adreno 205,,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,,8GB (6.5GB user available),fixed focus,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-veer-ofic.jpg,"GPS, A-GPS",,Yes,No,"HTML, Adobe Flash",Qualcomm MSM7230,QWERTY,,HP,84 x 54.5 x 15.1 mm (3.31 x 2.15 x 0.59 in),"TFT, 256K colors",Yes,"2.1, A2DP"
CDMA 800 / 1900,"5 MP, AF",Up to 300 h,CDMA2000 1xEV-DO,,Removable Li-Ion 1230 mAh battery,GSM 850 / 900 / 1800 / 1900,No,,HP webOS 2.2,Mini-SIM,HP Pre 3 CDMA,,HSPA 7.2/5.76 Mbps / EV-DO Rev.A 3.1 Mbps,156 g (5.50 oz),,"2011, February","Accelerometer, proximity, compass",Black,,GSM / CDMA / HSPA / EVDO,VGA,Yes,,microUSB 2.0,"3.58 inches, 36.5 cm2(~51.4% screen-to-body ratio)",Up to 5 h,"480 x 800 pixels, 5:3 ratio (~261 ppi density)",,,,HSDPA 900 / 1900 / 2100,Wi-Fi 802.11 b/g/n,1.4 GHz Scorpion,,Adreno 205,,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,,"8GB 512MB RAM, 16GB 512MB RAM",LED flash,Cancelled,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-3-ofic.jpg,"GPS, A-GPS",,Yes,No,,Qualcomm MSM8655 Snapdragon S2,QWERTY,,HP,111 x 64 x 16 mm (4.37 x 2.52 x 0.63 in),TFT,720p,"2.1, A2DP, EDR"
MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,"5 MP, AF",Up to 300 h,,,Removable Li-Ion 1230 mAh battery,GSM 850 / 900 / 1800 / 1900,No,,HP webOS 2.2,Mini-SIM,HP Pre 3,About 350 EUR,HSPA 7.2/5.76 Mbps,156 g (5.50 oz),,"2011, February. Released 2011, August","Accelerometer, proximity, compass",Black,,GSM / HSPA,VGA,Yes,,microUSB 2.0,"3.58 inches, 36.5 cm2(~51.4% screen-to-body ratio)",Up to 5 h,"480 x 800 pixels, 5:3 ratio (~261 ppi density)",,,,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n, dual-band",1.4 GHz Scorpion,,Adreno 205,,,,8GB 512MB RAM,LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-3-ofic.jpg,"GPS, A-GPS",,Yes,No,"HTML, Adobe Flash",Qualcomm MSM8255 Snapdragon S2,QWERTY,,HP,111 x 64 x 16 mm (4.37 x 2.52 x 0.63 in),TFT,720p,"2.1, A2DP, EDR"
No,1.3 MP,Up to 300 h,Touchstone technologySNS applicationsMP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewer/editorPredictive text input,,Non-removable Li-Ion 6300 mAh battery,N/A,No,,HP webOS 3.0,No,HP TouchPad,About 280 EUR,,740 g (1.63 lb),,"2011, February. Released 2011, July","Accelerometer, gyro",Black,,No cellular connectivity,,"Yes, with stereo speakers",,microUSB 2.0,"9.7 inches, 291.4 cm2(~63.9% screen-to-body ratio)",Up to 9 h,"768 x 1024 pixels, 4:3 ratio (~132 ppi density)",,,,,"Wi-Fi 802.11 a/b/g/n, dual-band",Dual-core 1.2 GHz Scorpion,,Adreno 220,No,,No,"16GB 1GB RAM, 32GB 1GB RAM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-touch-pad-new.jpg,No,,Yes,No,"HTML, Adobe Flash",Qualcomm APQ8060 Snapdragon S3,,,HP,240 x 190 x 13.7 mm (9.45 x 7.48 x 0.54 in),"LED-backlit LCD,",No,"2.1, A2DP, EDR"
No,"3.15 MP, AF",,Pocket OfficeOrganizerMedia playerVoice memoPredictive text input,,Removable Li-Po battery,GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,Microsoft Windows Mobile 6.5 Professional,Mini-SIM,HP iPAQ Glisten,About 140 EUR,HSPA 7.2/0.384 Mbps,132 g (4.66 oz),,"2009, November. Released 2009, December",,Black,,GSM / HSPA,,Yes,,microUSB 2.0,"2.5 inches, 19.4 cm2(~27.3% screen-to-body ratio)",,"320 x 240 pixels, 4:3 ratio (~160 ppi density)",,,,HSDPA 900 / 1900 / 2100,Wi-Fi 802.11b/g,528 MHz ARM 11,,Adreno 130,,,,"256MB RAM, 512MB ROM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq-glisten.jpg,"GPS, A-GPS",0.59 W/kg (head)     1.08 W/kg (body),Yes,No,"WAP 2.0/xHTML, HTML",Qualcomm MSM7200,QWERTY,,HP,112.8 x 62.8 x 13.4 mm (4.44 x 2.47 x 0.53 in),"AMOLED resistive touchscreen, 256K colors (65K effective colors)",Yes,"2.0, A2DP"
No,"3.15 MP, AF",,Pocket OfficeMedia playerPredictive text inputVoice memo,,Removable Li-Po 1260 mAh battery,GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,Microsoft Windows Mobile 6.1 Standard,Mini-SIM,HP iPAQ Voice Messenger,About 80 EUR,HSPA 7.2/0.384 Mbps,107 g (3.77 oz),,"2008, October. Released 2009, March",,Blue,,GSM / HSPA,,Yes,,microUSB 2.0,"2.4 inches, 17.8 cm2(~31.3% screen-to-body ratio)",,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,HSDPA 900 / 1900 / 2100,Wi-Fi 802.11b/g,528 MHz ARM 11,,Adreno 130,,,,"128MB RAM, 256MB ROM",LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq-voice-messenger.jpg,"GPS, A-GPS",0.64 W/kg (head)     1.01 W/kg (body),No,No,"WAP 2.0/xHTML, HTML (PocketIE)",Qualcomm MSM7201A,QWERTY,,HP,114 x 50 x 13.6 mm (4.49 x 1.97 x 0.54 in),"TFT, 65K colors",Yes,"2.0, A2DP"
No,"3.15 MP, AF",,Pocket OfficeMedia playerPredictive text inputVoice memo,,Removable Li-Po 1140 mAh battery,GSM 850 / 900 / 1800 / 1900,microSDHC (dedicated slot),,Microsoft Windows Mobile 6.1 Professional,Mini-SIM,HP iPAQ Data Messenger,About 150 EUR,HSPA 7.2/2 Mbps,160 g (5.64 oz),,"2008, October. Released 2009, March",,Blue,,GSM / HSPA,,Yes,,microUSB 2.0,"2.81 inches, 24.5 cm2(~37.6% screen-to-body ratio)",,"240 x 320 pixels, 4:3 ratio (~142 ppi density)",,,,HSDPA 900 / 1900 / 2100,Wi-Fi 802.11b/g,528 MHz ARM 11,,Adreno 130,,,,"128MB RAM, 256MB ROM",LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq-data-messenger.jpg,"GPS, A-GPS",0.71 W/kg (head)     1.04 W/kg (body),No,No,"WAP 2.0/xHTML, HTML (PocketIE)",Qualcomm MSM7201A,QWERTY,,HP,114 x 57 x 17.4 mm (4.49 x 2.24 x 0.69 in),"TFT resistive touchscreen, 65K colors",Yes,"2.0, A2DP"
No,"3.15 MP, AF",,Pocket OfficeMedia playerPredictive text inputVoice memo,,Removable Li-Ion 1840 mAh battery,GSM 850 / 900 / 1800 / 1900,microSD (dedicated slot),,Microsoft Windows Mobile 6.1 Professional,Mini-SIM,HP iPAQ 910c,About 210 EUR,HSPA 7.2/0.384 Mbps,146 g (5.15 oz),,"2007, September. Released 2008, July",,Black,,GSM / HSPA,,Yes,,2.0,"2.46 inches, 18.7 cm2(~25.9% screen-to-body ratio)",,"240 x 320 pixels, 4:3 ratio (~163 ppi density)",,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,HSDPA 850 / 1900 / 2100,Wi-Fi 802.11b/g,Marvell PXA270 416 MHz,,,,,,"128MB RAM, 256MB ROM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-910c.jpg,"GPS, A-GPS",,No,No,"WAP 2.0/xHTML, HTML (PocketIE)",,QWERTY,,HP,113 x 64 x 16 mm (4.45 x 2.52 x 0.63 in),"TFT resistive touchscreen, 65K colors",QCIF,2.0
Smart Touch navigation wheel3-way thumb wheel,"3.15 MP, AF",Up to 250 h,No,,Removable Li-Po 1590 mAh battery,GSM 850 / 900 / 1800 / 1900,microSD (dedicated slot),,Microsoft Windows Mobile 6 Professional,Mini-SIM,HP iPAQ 610c,About 170 EUR,HSPA 7.2/0.384 Mbps,145 g (5.11 oz),,"2007, September",,Black,,GSM / HSPA,,Yes,,2.0,"2.8 inches, 24.3 cm2(~34.4% screen-to-body ratio)",Up to 4 h,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,HSDPA 850 / 1900 / 2100,Wi-Fi 802.11b/g,Marvell PXA270 520 MHz,,,,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPredictive text inputVoice memo,,"128MB RAM, 256MB ROM",LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq600.gif,"GPS, A-GPS",,No,No,"WAP 2.0/xHTML, HTML (PocketIE)",,,,HP,117 x 60.3 x 17.5 mm (4.61 x 2.37 x 0.69 in),"TFT resistive touchscreen, 65K colors",QCIF,"2.0, A2DP"
No,1.3 MP,Up to 188 h,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPredictive text inputVoice memo,,Removable Li-Ion 1100 mAh battery,GSM 850 / 900 / 1800 / 1900,microSD (dedicated slot),,Microsoft Windows Mobile 6.0 Standard,Mini-SIM,HP iPAQ 514,About 90 EUR,,102 g (3.60 oz),,"2007, February",,Black,,GSM,,Yes,,miniUSB,"2.0 inches, 12.6 cm2(~24.2% screen-to-body ratio)",Up to 6 h 30 min,176 x 220 pixels (~141 ppi density),,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,Wi-Fi 802.11b/g,200 MHz ARM926EJ-S,,,Class 10,,Class 10,"64MB RAM, 128MB ROM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-514.gif,No,,No,No,"WAP 2.0/xHTML, HTML (PocketIE)",TI OMAP 850,,,HP,107 x 48.6 x 16.3 mm (4.21 x 1.91 x 0.64 in),"TFT, 65K colors",Yes,1.2
Handwriting recognition,2 MP,Up to 240 h,No,,Removable Li-Ion 1530 mAh battery,GSM 900 / 1800 / 1900,miniSD,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerVoice memo,Microsoft Windows Mobile 5.0 PocketPC,Mini-SIM,HP iPAQ rw6815,About 150 EUR,,140 g (4.94 oz),,"2006, October",,Silver,,GSM,,"Yes, with stereo speakers",,miniUSB,"2.7 inches, 22.6 cm2(~38.2% screen-to-body ratio)",Up to 5 h 30 min,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Yes,,Wi-Fi 802.11b,Intel PXA272 416 MHz,,,Class 10,2.5 mm audio jack,Class 10,"64MB RAM, 128MB ROM",LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-rw6815.gif,No,,No,No,"WAP 2.0/xHTML, HTML (PocketIE)",,,,HP,102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in),"TFT resistive touchscreen, 256K colors (65K effective)",Yes,1.2
Handwriting recognition,2 MP,Up to 240 h,No,,Removable Li-Po 1530 mAh battery,GSM 900 / 1800 / 1900,miniSD,,Microsoft Windows Mobile 5.0 PocketPC,Mini-SIM,HP iPAQ rw6828,About 290 EUR,,140 g (4.94 oz),,"2006, Q2",,Silver,,GSM,,"Yes, with stereo speakers",,miniUSB,"2.7 inches, 22.6 cm2(~38.2% screen-to-body ratio)",Up to 5 h 30 min,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Yes,,Wi-Fi 802.11b,Intel PXA 272 416 MHz,,,Class 10,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerVoice memo,Class 10,"64MB RAM, 128MB ROM",LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif,No,,No,FM radio,"WAP 2.0/xHTML, HTML (PocketIE)",,,,HP,102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in),"TFT resistive touchscreen, 256K colors (65K effective)",Yes,1.2
Handwriting recognition,2 MP,Up to 240 h,No,,Removable Li-Po 1530 mAh battery,GSM 900 / 1800 / 1900,miniSD,,Microsoft Windows Mobile 5.0 PocketPC,Mini-SIM,HP iPAQ rw6818,About 290 EUR,,140 g (4.94 oz),,"2006, Q2",,Silver,,GSM,,"Yes, with stereo speakers",,miniUSB,"2.7 inches, 22.6 cm2(~38.2% screen-to-body ratio)",Up to 5 h 30 min,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Yes,,No,Intel PXA 272 416 MHz,,,Class 10,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerVoice memo,Class 10,"64MB RAM, 128MB ROM",LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif,No,,No,FM radio,"WAP 2.0/xHTML, HTML (PocketIE)",,,,HP,102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in),"TFT resistive touchscreen, 256K colors (65K effective)",Yes,1.2
No,1.3 MP,,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerVoice memo,,Removable Li-Ion 1200 mAh battery,GSM 850 / 900 / 1800 / 1900,miniSD,,Microsoft Windows Mobile 2005 PocketPC,Mini-SIM,HP iPAQ hw6915,About 550 EUR,,179 g (6.31 oz),,"2006, February",,Silver,,GSM,,Yes,,Proprietary,,,"240 x 240 pixels, 3 inch, 1:1 ratio",,Vibration; Polyphonic ringtones,Yes,,Wi-Fi 802.11b,Intel PXA 270 416 MHz,,,Class 10,,Class 10,"64MB RAM, 45MB ROM",LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif,GPS,,No,No,HTML (PocketIE),,QWERTY,,HP,118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in),"TFT resistive touchscreen, 65K colors",Yes,1.2
No,,,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizerVoice memo,,Removable Li-Ion 1200 mAh battery,GSM 850 / 900 / 1800 / 1900,miniSD,,Microsoft Windows Mobile 2005 PocketPC,Mini-SIM,HP iPAQ hw6910,About 470 EUR,,179 g (6.31 oz),,"2006, February",,Silver,,GSM,,Yes,,Proprietary,,,"240 x 240 pixels, 3 inch, 1:1 ratio",,Vibration; Polyphonic ringtones,Yes,,Wi-Fi 802.11b,Intel PXA 270 416 MHz,,,Class 10,,Class 10,"64MB RAM, 45MB ROM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif,GPS,,No,No,HTML (PocketIE),,QWERTY,,HP,118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in),"TFT resistive touchscreen, 65K colors",,1.2
No,1.3 MP,,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizer,,Removable Li-Ion 1200 mAh battery,GSM 850 / 900 / 1800 / 1900,SDIO/MMC + miniSD,,Microsoft Windows Mobile 2003 SE PocketPC Phone Edition,Mini-SIM,HP iPAQ hw6515,About 280 EUR,,165 g (5.82 oz),,"2005, Q2",,Silver,,GSM,,Yes,,Proprietary,"3.0 inches, 45 x 60 mm, 29.0 cm2(~34.7% screen-to-body ratio)",,"240 x 240 pixels, 1:1 ratio (~113 ppi density)",,Vibration; Polyphonic ringtones,Yes,,No,Intel PXA270 312 MHz,,,Class 10,,Class 10,"64MB RAM, 64MB ROM",LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6515.gif,GPS,,No,No,HTML (PocketIE),,QWERTY,,HP,118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in),"TFT resistive touchscreen, 65K colors",Yes,1.2
No,,,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizer,,Removable Li-Ion 1200 mAh battery,GSM 850 / 900 / 1800 / 1900,SDIO/MMC + miniSD,,Microsoft Windows Mobile 2003 SE PocketPC Phone Edition,Mini-SIM,HP iPAQ hw6510,About 280 EUR,,165 g (5.82 oz),,"2005, Q2",,Silver,,GSM,,Yes,,Proprietary,"3.0 inches, 45 x 60 mm, 29.0 cm2(~34.7% screen-to-body ratio)",,"240 x 240 pixels, 1:1 ratio (~113 ppi density)",,Vibration; Polyphonic ringtones,Yes,,No,Intel PXA270 312 MHz,,,Class 10,,Class 10,"64MB RAM, 64MB ROM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6510.gif,GPS,,No,No,HTML (PocketIE),,QWERTY,,HP,118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in),"TFT resistive touchscreen, 65K colors",,1.2
No,VGA,,Pocket OfficeOrganizer,,Removable Li-Ion 1800 mAh battery,GSM 850 / 900 / 1800 / 1900,"SD, up to 1 GB",,Microsoft Windows Mobile 2003 PocketPC Phone Edition,Mini-SIM,HP iPAQ h6325,About 180 EUR,,190 g (6.70 oz),,"2004, Q4",,Silver,,GSM,,Yes,,Proprietary,"3.5 inches, 53 x 71 mm, 37.9 cm2(~37.0% screen-to-body ratio)",,"240 x 320 pixels, 4:3 ratio (~114 ppi density)",,"Vibration; Polyphonic, WMA, WAV ringtones",Yes,,Wi-Fi 802.11b,ARM925T,,,Class 10,,No,"64MB RAM, 64MB ROM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-h6325.gif,No,,No,No,HTML (PocketIE),TI OMAP 1510,,,HP,137.6 x 74.6 x 20.8 mm (5.42 x 2.94 x 0.82 in),"TFT resistive touchscreen, 65K colors",No,1.1
No,,,Pocket OfficeOrganizer,,Removable Li-Ion 1800 mAh battery,GSM 850 / 900 / 1800 / 1900,"SD, up to 1 GB",,Microsoft Windows Mobile 2003 PocketPC Phone Edition,Mini-SIM,HP iPAQ h6320,About 190 EUR,,190 g (6.70 oz),,"2004, Q4",,Silver,,GSM,,Yes,,Proprietary,"3.5 inches, 53 x 71 mm, 37.9 cm2(~37.0% screen-to-body ratio)",,"240 x 320 pixels, 4:3 ratio (~114 ppi density)",,Vibration; Polyphonic ringtones,Yes,,Wi-Fi 802.11b,ARM925T,,,Class 10,,No,"64MB RAM, 64MB ROM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-h6320.gif,No,,No,No,HTML (PocketIE),TI OMAP 1510,,,HP,137.6 x 74.6 x 20.8 mm (5.42 x 2.94 x 0.82 in),"TFT resistive touchscreen, 65K colors",,1.1
No,VGA,,Pocket OfficeOrganizer,,Removable Li-Ion 1800 mAh battery,GSM 850 / 900 / 1800 / 1900,"SD, up to 1 GB",,Microsoft Windows Mobile 2003 PocketPC Phone Edition,Mini-SIM,HP iPAQ h6315,,,190 g (6.70 oz),,"2004, Q4",,Silver,,GSM,,Yes,,Proprietary,"3.5 inches, 53 x 71 mm, 37.9 cm2(~42.5% screen-to-body ratio)",,"240 x 320 pixels, 4:3 ratio (~114 ppi density)",,"Vibration; Polyphonic, MP3 ringtones",Yes,,Wi-Fi 802.11b,ARM925T,,,Yes,,No,"64MB RAM, 64MB ROM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-h6315.gif,No,,No,No,HTML (PocketIE),TI OMAP 1510,QWERTY,,HP,119 x 75 x 18.7 mm (4.69 x 2.95 x 0.74 in),"TFT resistive touchscreen, 65K colors",No,1.1
No,,,Pocket OfficeOrganizer,,Removable Li-Ion 1800 mAh battery,GSM 850 / 900 / 1800 / 1900,"SD, up to 1 GB",,Microsoft Windows Mobile 2003 PocketPC Phone Edition,Mini-SIM,HP iPAQ h6310,,,190 g (6.70 oz),,"2004, Q4",,Silver,,GSM,,Yes,,Proprietary,"3.5 inches, 53 x 71 mm, 37.9 cm2(~42.5% screen-to-body ratio)",,"240 x 320 pixels, 4:3 ratio (~114 ppi density)",,"Vibration; Polyphonic, MP3 ringtones",Yes,,Wi-Fi 802.11b,ARM925T,,,Yes,,No,"64MB RAM, 64MB ROM",,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-h6310.gif,No,,No,No,HTML (PocketIE),TI OMAP 1510,QWERTY,,HP,119 x 75 x 18.7 mm (4.69 x 2.95 x 0.74 in),"TFT resistive touchscreen, 65K colors",,1.1
