,Single,Stand-by,_1,Charging,Type_1,2G bands,Card slot,_3,OS,SIM,Model Name,Price,Speed,Weight,Protection,Announced,Sensors,Colors,_4,Technology,Single_1,Loudspeaker,NFC,USB,Size,Talk time,Resolution,SAR EU,Alert types,Infrared port,3G bands,WLAN,CPU,4G bands,GPU,GPRS,_2,EDGE,Internal,Features,Status,Model Image,Positioning,SAR,3.5mm jack,Radio,Browser,Chipset,Keyboard,Video_1,Brand,Dimensions,Type,Video,Bluetooth
,"13 MP, AF",Up to 480 h (3G),,,"Li-Po 5000 mAh, non-removable (19 Wh)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),microSDHC (dedicated slot),,Android 4.2.2 (Jelly Bean),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",HP Slate7 VoiceTab Ultra,About 400 EUR,"HSPA, LTE",239 g (8.43 oz),,2014. Released 2014,"Accelerometer, gyro, proximity, compass",Champagne,,GSM / HSPA / LTE,5 MP,"Yes, with stereo speakers",No,microUSB 2.0,"7.0 inches, 142.1 cm2(~74.5% screen-to-body ratio)",Up to 10 h (multimedia) (3G),"1200 x 1920 pixels, 16:10 ratio (~323 ppi density)",,,,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",Quad-core 1.6 GHz Cortex-A9,"1, 3, 7, 20, 40",,,,,16GB 2GB RAM,"LED flash, HDR, panorama",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-voicetab-ultra.jpg,GPS,,Yes,No,,HiSilicon Balong V9R1,,,HP,183.5 x 103.9 x 7.2 mm (7.22 x 4.09 x 0.28 in),IPS LCD,1080p@30fps,"4.0, LE"
,"5 MP, AF",,,,"Li-Ion 4100 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDHC (dedicated slot),,Android 4.2.2 (Jelly Bean),Dual SIM (Mini-SIM & Micro-SIM),HP Slate7 VoiceTab,About 180 EUR,HSPA,325 g (11.46 oz),,"2014, January. Released 2014, February","Accelerometer, gyro, proximity, compass",Black/White,,GSM / HSPA,2 MP,"Yes, with stereo speakers",No,microUSB 2.0,"7.0 inches, 142.1 cm2",,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,,,HSDPA,"Wi-Fi 802.11 b/g/n, hotspot",Quad-core 1.2 GHz,,,Yes,,Yes,16GB 1GB RAM,"LED flash, panorama",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/HP-Slate7-VoiceTab1.jpg,GPS,,Yes,No,,Marvell PXA1088,,,HP,9.5 mm thickness,IPS LCD,Yes,"3.0, EDR"
,"5 MP, AF",,,,"Li-Ion 3000 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDXC (dedicated slot),,Android 4.3 (Jelly Bean),"Dual SIM, (dual stand-by)",HP Slate6 VoiceTab,About 270 EUR,HSPA 21.1/5.76 Mbps,160 g (5.64 oz),,"2014, January. Released 2014, February","Accelerometer, gyro, proximity, compass",Black,,GSM / HSPA,2 MP,"Yes, with stereo speakers",No,microUSB 2.0,"6.0 inches, 99.2 cm2(~72.3% screen-to-body ratio)",,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,,,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",Quad-core 1.2 GHz,,,,,,16GB 1GB RAM,"LED flash, panorama",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/HP-Slate6-VoiceTab.jpg,GPS,,Yes,Stereo FM radio,,Marvell PXA1088,,,HP,165 x 83.2 x 8.8 mm (6.50 x 3.28 x 0.35 in),IPS LCD,Yes,"3.0, EDR"
,"8 MP, AF",,Beats Audio,,"Li-Po 5680 mAh, non-removable",N/A,microSDHC (dedicated slot),,Android 4.2.2 (Jelly Bean),No,HP Slate8 Pro,About 240 EUR,,453.6 g (1.00 lb),Corning Gorilla Glass 3,"2013, December. Released 2013, December","Accelerometer, gyro, compass",Black/White,,No cellular connectivity,,"Yes, with stereo speakers",No,microUSB 2.0,"8.0 inches, 198.2 cm2(~63.7% screen-to-body ratio)",Up to 11 h 30 min (multimedia),"1200 x 1600 pixels, 4:3 ratio (~250 ppi density)",,,,,"Wi-Fi 802.11 a/b/g/n, dual-band",Quad-core 1.8 GHz Cortex-A15,,,No,HDMI port,No,16GB 1GB RAM,LED flash,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-slate8-pro.jpg,GPS,,Yes,No,,Nvidia Tegra 4 T40 S,,,HP,220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in),IPS LCD,Yes,"4.0, LE"
Beats Audio,"5 MP, AF",,,,"Li-Po 7000 mAh, non-removable",N/A,microSDHC (dedicated slot),,Android 4.2.2 (Jelly Bean),No,HP Slate10 HD,About 220 EUR,,626 g (1.38 lb),,"2013, December. Released 2013, December","Accelerometer, gyro, compass",Black/Silver,,No cellular connectivity,2 MP,"Yes, with stereo speakers",No,microUSB 2.0,"10.0 inches, 290.0 cm2(~62.9% screen-to-body ratio)",Up to 10 h (multimedia),"800 x 1280 pixels, 16:10 ratio (~151 ppi density)",,,,,"Wi-Fi 802.11 a/b/g/n, dual-band",Dual-core 1.2 GHz,,,No,,No,16GB 1GB RAM,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-slate10-hd.jpg,GPS,,Yes,No,,Marvell PXA986,,720p,HP,259 x 178 x 9.7 mm (10.20 x 7.01 x 0.38 in),IPS LCD,1080p@30fps,3.0
,"5 MP, AF",,,,"Li-Po 4100 mAh, non-removable",N/A,microSDHC (dedicated slot),,Android 4.2.2 (Jelly Bean),No,HP Slate7 Extreme,About 150 EUR,,319.8 g (11.25 oz),,"2013, December. Released 2013, December","Accelerometer, gyro, compass",Black/Silver,,No cellular connectivity,VGA,"Yes, with stereo speakers",No,microUSB 2.0,"7.0 inches, 142.1 cm2(~59.2% screen-to-body ratio)",Up to 10 h 30 min (multimedia),"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,,,,Wi-Fi 802.11 b/g/n,Quad-core 1.8 GHz Cortex-A15,,,No,,No,16GB 1GB RAM,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-extreme.jpg,GPS,,Yes,No,,Nvidia Tegra 4,,,HP,200 x 120 x 9.4 mm (7.87 x 4.72 x 0.37 in),IPS LCD,720p,3.0
,"5 MP, AF",,,,"Li-Po 4000 mAh, non-removable",N/A,microSDHC (dedicated slot),,Android 4.2.2 (Jelly Bean),No,HP Slate7 Plus,About 110 EUR,,340.2 (11.99 oz),,"2013, December. Released 2013, December","Accelerometer, compass",Black/Silver,,No cellular connectivity,VGA,"Yes, with stereo speakers",No,microUSB 2.0,"7.0 inches, 142.1 cm2(~59.5% screen-to-body ratio)",Up to 7 h 30 min (multimedia),"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,,,,Wi-Fi 802.11 b/g/n,Quad-core 1.3 GHz Cortex-A9,,,No,,No,8GB 1GB RAM,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-plus.jpg,GPS,,Yes,No,,Nvidia Tegra 3,,,HP,194.7 x 122.7 x 10.7 mm (7.67 x 4.83 x 0.42 in),IPS LCD,720p,3.0
,3.15 MP,,,,"Li-Ion, non-removable",N/A,microSDHC (dedicated slot),,Android 4.1 (Jelly Bean),No,HP Slate 7,About 130 EUR,,372 g (13.12 oz),,"2013, February. Released 2013, April",Accelerometer,"Black/Silver, Red",,No cellular connectivity,VGA,"Yes, with stereo speakers",No,microUSB 2.0,"7.0 inches, 137.9 cm2(~60.3% screen-to-body ratio)",Up to 5 h (multimedia),"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,,,"Wi-Fi 802.11 b/g/n, DLNA",Dual-core 1.6 GHz Cortex-A9,,,No,,No,8GB 1GB RAM,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-7-new.jpg,No,,Yes,No,,,,,HP,197.1 x 116.1 x 10.7 mm (7.76 x 4.57 x 0.42 in),FFS+ LCD,720p@30fps,"2.1, A2DP, EDR"
No,1.3 MP,Up to 300 h,Touchstone technologySNS applicationsMP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewer/editorPredictive text input,,Non-removable Li-Ion 6300 mAh battery,GSM 850 / 900 / 1800 / 1900,No,,HP webOS 3.0,Mini-SIM,HP TouchPad 4G,,HSPA,740 g (1.63 lb),,"2011, July","Accelerometer, gyro, compass",Black,,GSM / HSPA,,"Yes, with stereo speakers",,microUSB 2.0,"9.7 inches, 291.4 cm2(~63.9% screen-to-body ratio)",Up to 6 h,"768 x 1024 pixels, 4:3 ratio (~132 ppi density)",,,,HSDPA 850 / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n, dual-band",Dual-core 1.2 GHz Scorpion,,Adreno 220,,,,32GB 1GB RAM,,Cancelled,https://fdn2.gsmarena.com/vv/bigpic/hp-touchpad-4g.jpg,"GPS, A-GPS",,Yes,No,,Qualcomm APQ8060 Snapdragon S3,,,HP,240 x 190 x 13.7 mm (9.45 x 7.48 x 0.54 in),"LED-backlit LCD,",No,"2.1, A2DP, EDR"
No,5 MP,Up to 300 h,AT&T dedicated applicationsMP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,,Removable Li-Ion 910 mAh battery,GSM 850 / 900 / 1800 / 1900,No,,HP webOS 2.1,Mini-SIM,HP Veer 4G,About 320 EUR,HSPA 14.4/5.76 Mbps,103 g (3.63 oz),,"2011, May. Released 2011, May 15","Accelerometer, proximity","White, black",,GSM / HSPA,,Yes,,microUSB 2.0,"2.6 inches, 21.3 cm2(~46.5% screen-to-body ratio)",Up to 5 h,320 x 400 pixels (~197 ppi density),,,,HSDPA 850 / 1900 / 2100,Wi-Fi 802.11 b/g/n,800 MHz Scorpion,,Adreno 205,,,,8GB (6.1GB user available),fixed focus,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/hp-veer-4g-new.jpg,"GPS, A-GPS",,No,No,"HTML, Adobe Flash",Qualcomm MSM7230,QWERTY,,HP,84 x 54.5 x 15.1 mm (3.31 x 2.15 x 0.59 in),"TFT, 256K colors",Yes,"2.1, A2DP"
